C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:50:36

dec >=0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5727

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 215686                                                                                                |Spectroscopic Binary                |22 46 18.3787404936 +43 52 07.876168932|100.2953938240580 -13.4345013871201| -3.096 -53.145    |8.44     |F2                  |    ~     ~    |    1|  115.896   pc  |  -0.2458     +0.2458  |paral   |2020yCat.1350....0G
24  |BD+43 4307                                                                                               |Star                                |22 47 59.0910179712 +43 50 51.879628320|100.5594157127976 -13.5960555483179|  18.998 -4.491    |10.69    |G0                  |    ~     ~    |    1|  266.667   pc  |  -2.6169     +2.6169  |paral   |2020yCat.1350....0G
25  |HD 215972                                                                                                |Star                                |22 48 17.1860483280 +43 58 50.421993996|100.6728991809242 -13.5041403598163|   3.076 -8.005    |9.86     |A3                  |    ~     ~    |    1|  371.775   pc  |  -5.2384     +5.2384  |paral   |2020yCat.1350....0G
26  |HD 216067                                                                                                |Star                                |22 49 06.0546172488 +44 13 16.263391260|100.9213046904143 -13.3597423875168|-22.135 -17.930    |9.95     |K0                  |    ~     ~    |    1| 1179.802   pc  | -21.4358    +21.4358  |paral   |2020yCat.1350....0G
27  |HD 216080                                                                                                |Star                                |22 49 13.4985353136 +43 50 32.119497168|100.7601560275088 -13.7054842990201|  -0.602 -4.281    |10.18    |A0                  |    ~     ~    |    1|  594.566   pc  | -14.7413    +14.7413  |paral   |2020yCat.1350....0G
28  |HD 216108                                                                                                |Eclipsing Binary                    |22 49 28.3515070800 +43 50 36.722815080|100.8014383314419 -13.7251200328302|  -9.609 -9.310    |8.04     |A0                  |    ~     ~    |    1|  391.650   pc  |  -3.7120     +3.7120  |paral   |2020yCat.1350....0G
29  |HD 216250                                                                                                |Spectroscopic Binary                |22 50 47.3530346304 +43 54 45.002179908|101.0508456994121 -13.7737502255077|-27.313 -34.276    |10.08    |F8                  |    ~     ~    |    1|  164.853   pc  |  -2.8372     +2.8372  |paral   |2020yCat.1350....0G
30  |HD 216283                                                                                                |Star                                |22 51 04.7465233272 +44 05 05.633368980|101.1800900680222 -13.6446264716804|   4.045 -2.933    |9.67     |A0                  |    ~     ~    |    1|  578.871   pc  |  -6.4338     +6.4338  |paral   |2020yCat.1350....0G
31  |HD 215520                                                                                                |Spectroscopic Binary                |22 45 07.7825237472 +43 40 09.073393680|100.0054633782475 -13.5085961204341|   1.397 -4.548    |9.41     |G5                  |    ~     ~    |    1|  309.530   pc  |  -8.0575     +8.0575  |paral   |2020yCat.1350....0G
32  |HD 215577                                                                                                |High Proper Motion Star             |22 45 30.4392481632 +43 38 22.160775516|100.0525214563899 -13.5673672762016|  93.601 70.371    |9.96     |G0                  |    ~     ~    |    1|  135.931   pc  |  -0.2347     +0.2347  |paral   |2020yCat.1350....0G
33  |BD+43 4301                                                                                               |Star                                |22 46 14.9171124792 +44 02 07.948233744|100.3673960816311 -13.2828943198395|  -3.567 -5.051    |10.12    |F4V                 |    ~     ~    |    1|  213.680   pc  |  -0.6940     +0.6940  |paral   |2020yCat.1350....0G
34  |TYC 3226-1291-1                                                                                          |Star                                |22 47 24.4483374552 +44 22 13.195177248|100.7179499272517 -13.0861100015678|  -1.146 -3.722    |10.97    |B9.5                |    ~     ~    |    1|  750.751   pc  | -12.3998    +12.3998  |paral   |2020yCat.1350....0G
35  |TYC 3226-878-1                                                                                           |Star                                |22 47 35.2423782072 +44 05 21.260146380|100.6112619498237 -13.3492917970704|-12.878 -22.679    |10.94    |F6V                 |    ~     ~    |    1|  419.270   pc  |  -2.6016     +2.6016  |paral   |2020yCat.1350....0G
36  |V* EV Lac                                                                                                |Eruptive Variable                   |22 46 49.7312610268 +44 20 02.374381562|100.6067176270883 -13.0693645782006|-706.216 -458.920  |10.26    |M4.0Ve              |    ~     ~    |    1|    5.0515  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
37  |HD 215548                                                                                                |Star                                |22 45 18.4341687000 +43 30 14.049670284|099.9530145715900 -13.6690746162697| 10.987 -10.925    |9.29     |A2                  |    ~     ~    |    1|  222.936   pc  |  -1.1878     +1.1878  |paral   |2020yCat.1350....0G
38  |HD 215897                                                                                                |Star                                |22 47 47.3094809208 +43 39 03.284318124|100.4319536006251 -13.7530961340565|  11.395 -2.239    |9.53     |G5                  |    ~     ~    |    1|  444.800   pc  |  -4.4318     +4.4318  |paral   |2020yCat.1350....0G
39  |HD 215898                                                                                                |Star                                |22 47 52.2620360688 +43 36 21.576879576|100.4237578174301 -13.7997591317616|  3.819 -11.213    |9.31     |K2                  |    ~     ~    |    1|  925.583   pc  | -12.3365    +12.3365  |paral   |2020yCat.1350....0G
