C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:50:36

dec >=0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5727

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1216|BD+54 2876                                                                                               |Star                                |22 52 38.2784046672 +55 20 53.907647424|106.5345323583126 -03.6955507376428|   1.946 -5.010    |10.02    |~                   |    ~     ~    |    1|  645.203   pc  | -12.6967    +12.6967  |paral   |2020yCat.1350....0G
1217|IRAS 22433+5511                                                                                          |Star                                |22 45 23.4857723256 +55 27 27.533098224|105.6660712266039 -03.1312224329891|  -1.495 -1.389    |10.83    |M3II                |    ~     ~    |    1| 1349.346   pc  | -36.0505    +36.0505  |paral   |2020yCat.1350....0G
1218|IRAS 22469+5523                                                                                          |Star                                |22 48 58.1689109736 +55 38 57.082586712|106.2042600764354 -03.1938572890651|  -6.642 -4.318    |9.87     |M1Ib-II             |    ~     ~    |    1| 1223.092   pc  | -24.8328    +24.8328  |paral   |2020yCat.1350....0G
1219|IRAS 22485+5532                                                                                          |Star                                |22 50 35.5914531696 +55 47 58.699310820|106.4765773109752 -03.1627557390761|    7.288 1.047    |9.88     |~                   |    ~     ~    |    1| 1027.749   pc  | -23.1323    +23.1323  |paral   |2020yCat.1350....0G
1220|IRAS 22489+5529                                                                                          |Star                                |22 51 02.1625466952 +55 45 20.116330200|106.5125822982329 -03.2300250156424|  -0.404 -0.895    |9.12     |M0Ib-II             |    ~     ~    |    1| 1343.725   pc  | -33.7647    +33.7647  |paral   |2020yCat.1350....0G
1221|BD+54 2868                                                                                               |Star                                |22 50 31.4138281464 +55 03 45.459234756|106.1363601680914 -03.8169463816459| -12.116 -1.342    |9.77     |~                   |    ~     ~    |    1|  116.488   pc  |  -0.1764     +0.1764  |paral   |2020yCat.1350....0G
1222|EM* VES 938                                                                                              |Emission-line Star                  |22 45 24.3155189616 +56 11 09.317805324|106.0073667348233 -02.4876507189905|  -3.420 -3.381    |10.9     |OB-                 |    ~     ~    |    1| 3233.107   pc  |-263.4151   +263.4151  |paral   |2020yCat.1350....0G
1223|TYC 3988-97-1                                                                                            |High Proper Motion Star             |22 45 56.5178760984 +56 07 36.782423292|106.0461387915805 -02.5746516362482| 50.066 -10.232    |9.85     |~                   |    ~     ~    |    1|  184.908   pc  |  -0.5847     +0.5847  |paral   |2020yCat.1350....0G
1224|TYC 3988-153-1                                                                                           |Star                                |22 50 01.2763180944 +56 02 22.981347060|106.5129529742640 -02.9122818366491|    1.629 2.008    |10.29    |~                   |    ~     ~    |    1|  907.523   pc  | -11.2009    +11.2009  |paral   |2020yCat.1350....0G
1225|TYC 3988-169-1                                                                                           |Star                                |22 47 57.8057536872 +55 58 01.186467204|106.2232519335676 -02.8465555222467|  -3.907 -4.429    |10.58    |~                   |    ~     ~    |    1| 1427.756   pc  | -25.6849    +25.6849  |paral   |2020yCat.1350....0G
1226|TYC 3988-171-1                                                                                           |Star                                |22 49 02.2306290192 +55 36 23.425554852|106.1933844236292 -03.2362268465784|  -4.121 -4.534    |10.82    |~                   |    ~     ~    |    1| 1153.536   pc  | -18.4960    +18.4960  |paral   |2020yCat.1350....0G
1227|TYC 3988-187-1                                                                                           |Star                                |22 45 13.4073989208 +55 25 57.280866204|105.6332634476257 -03.1422992117845|  -4.905 -2.378    |10.67    |~                   |    ~     ~    |    1| 2794.857   pc  |-110.1383   +110.1383  |paral   |2020yCat.1350....0G
1228|TYC 3988-257-1                                                                                           |Star                                |22 45 08.4237352536 +56 04 07.048262604|105.9199659198330 -02.5742336554068|  -3.467 -6.837    |10.30    |~                   |    ~     ~    |    1|  596.516   pc  |  -7.4725     +7.4725  |paral   |2020yCat.1350....0G
1229|TYC 3988-287-1                                                                                           |Star                                |22 51 48.5384864448 +55 37 37.304473224|106.5528341122810 -03.3936564532639| -1.186 -20.478    |10.7     |~                   |    ~     ~    |    1| 1286.505   pc  | -21.1852    +21.1852  |paral   |2020yCat.1350....0G
1230|TYC 3988-291-1                                                                                           |Star                                |22 45 13.3216235664 +56 07 20.382416580|105.9551147356159 -02.5320351513512|-12.576 -19.522    |10.93    |~                   |    ~     ~    |    1|  273.575   pc  | -15.6872    +15.6872  |paral   |2020yCat.1350....0G
1231|TYC 3988-293-1                                                                                           |Star                                |22 48 07.2408102072 +55 34 50.800780056|106.0661982904560 -03.2001885280825|  14.228 14.197    |10.68    |~                   |    ~     ~    |    1|  350.042   pc  |  -1.4458     +1.4458  |paral   |2020yCat.1350....0G
1232|TYC 3988-457-1                                                                                           |Star                                |22 48 52.8476287368 +55 21 05.230825488|106.0575983945327 -03.4534097438541|   17.845 7.822    |10.29    |~                   |    ~     ~    |    1|  225.367   pc  |  -0.6908     +0.6908  |paral   |2020yCat.1350....0G
1233|TYC 3988-534-1                                                                                           |Star                                |22 49 37.6227529296 +55 42 01.096051644|106.3102206066137 -03.1902652001301|  -5.902 -2.324    |10.75    |~                   |    ~     ~    |    1| 1213.740   pc  | -36.3871    +36.3871  |paral   |2020yCat.1350....0G
1234|TYC 3988-559-1                                                                                           |Star                                |22 49 22.4155419216 +55 48 05.148466344|106.3241610506679 -03.0839434665572|  -6.235 -3.600    |10.98    |~                   |    ~     ~    |    1| 1069.519   pc  | -15.3279    +15.3279  |paral   |2020yCat.1350....0G
1235|TYC 3988-620-1                                                                                           |Star                                |22 47 14.0861706048 +56 14 00.218761080|106.2550913700947 -02.5632200999279|  -5.443 -4.004    |10.93    |~                   |    ~     ~    |    0|                |                       |        |                   
1236|TYC 3988-622-1                                                                                           |Star                                |22 46 40.5115156272 +55 00 14.942143944|105.6177754094048 -03.6178759822853|  -2.248 -2.284    |9.91     |~                   |    ~     ~    |    1| 1448.226   pc  | -45.9321    +45.9321  |paral   |2020yCat.1350....0G
1237|TYC 3988-689-1                                                                                           |Star                                |22 46 58.7163637632 +55 48 12.353544792|106.0252584998532 -02.9285244086673|    0.776 9.511    |10.91    |~                   |    ~     ~    |    1|  275.376   pc  |  -0.9403     +0.9403  |paral   |2020yCat.1350....0G
1238|TYC 3988-707-1                                                                                           |Star                                |22 51 45.2663643312 +55 28 30.655619508|106.4782718556254 -03.5262373056103|   42.658 7.680    |10.69    |~                   |    ~     ~    |    1|  133.442   pc  |  -0.2066     +0.2066  |paral   |2020yCat.1350....0G
1239|GSC 03988-00719                                                                                          |Double or Multiple Star             |22 45 06.638832 +55 27 07.45416        |105.628202237 -03.117594203        |      -9.9 -5.4    |9.237    |~                   |    ~     ~    |    0|                |                       |        |                   
1240|TYC 3988-754-1                                                                                           |Star                                |22 46 00.0643062600 +55 00 12.468078432|105.5316132821358 -03.5737389287034|   1.309 -2.038    |10.81    |~                   |    ~     ~    |    1|  514.060   pc  |  -3.1975     +3.1975  |paral   |2020yCat.1350....0G
1241|TYC 3988-767-1                                                                                           |Star                                |22 49 43.8978944520 +55 00 59.267972232|106.0140090001641 -03.8070681439818|   7.934 -1.240    |10.62    |~                   |    ~     ~    |    1|  586.751   pc  |  -9.2955     +9.2955  |paral   |2020yCat.1350....0G
1242|TYC 3988-778-1                                                                                           |Star                                |22 49 57.2794047768 +54 59 42.402576768|106.0329476972386 -03.8405534290914|  -5.337 -9.335    |10.11    |~                   |    ~     ~    |    1|  962.649   pc  | -20.5726    +20.5726  |paral   |2020yCat.1350....0G
1243|TYC 3988-798-1                                                                                           |Star                                |22 49 37.9566305616 +55 10 57.242051328|106.0765588864171 -03.6524874479253|   3.326 -1.612    |10.13    |~                   |    ~     ~    |    1|  717.927   pc  |  -7.8859     +7.8859  |paral   |2020yCat.1350....0G
1244|TYC 3988-805-1                                                                                           |Star                                |22 50 54.1422280032 +55 19 23.899126980|106.3019067418408 -03.6081778857454|  -3.228 -3.499    |10.88    |~                   |    ~     ~    |    1| 1897.533   pc  | -42.4875    +42.4875  |paral   |2020yCat.1350....0G
1245|TYC 3988-833-1                                                                                           |Star                                |22 46 35.8756562376 +54 59 51.058507704|105.6048588684383 -03.6186418765924|-24.693 -15.616    |9.06     |~                   |    ~     ~    |    1|  365.925   pc  |  -1.8077     +1.8077  |paral   |2020yCat.1350....0G
1246|TYC 3988-892-1                                                                                           |Star                                |22 48 38.8445334072 +55 29 30.673067460|106.0920139018054 -03.3133079020065|  26.283 18.756    |10.75    |~                   |    ~     ~    |    1|  192.667   pc  |  -0.3712     +0.3712  |paral   |2020yCat.1350....0G
1247|TYC 3988-957-1                                                                                           |Star                                |22 45 31.8763223808 +56 06 00.884084724|105.9830067159238 -02.5716517394291|  -6.419 -9.612    |10.85    |~                   |    ~     ~    |    1|  786.164   pc  |  -6.5514     +6.5514  |paral   |2020yCat.1350....0G
1248|TYC 3988-963-1                                                                                           |Star                                |22 46 37.8036528720 +54 57 57.290817060|105.5943242906241 -03.6487983670881| -10.359 -2.570    |9.65     |~                   |    ~     ~    |    1|  647.752   pc  |  -4.9091     +4.9091  |paral   |2020yCat.1350....0G
1249|TYC 3988-1110-1                                                                                          |Star                                |22 50 02.2993680624 +55 40 39.095271192|106.3517369587768 -03.2367382586287|  -0.947 -3.710    |10.60    |~                   |    ~     ~    |    1| 1909.490   pc  | -71.8292    +71.8292  |paral   |2020yCat.1350....0G
1250|TYC 3988-1117-1                                                                                          |Star                                |22 46 19.1730308352 +55 56 28.755979656|106.0068786913511 -02.7635351675826|  -0.584 -0.770    |10.82    |~                   |    ~     ~    |    1| 1100.594   pc  | -60.0809    +60.0809  |paral   |2020yCat.1350....0G
1251|TYC 3988-1155-1                                                                                          |Star                                |22 47 08.9149275312 +55 50 15.267460164|106.0622138376189 -02.9091989607688|  -0.997 -1.252    |10.57    |~                   |    ~     ~    |    1| 1390.821   pc  | -25.5338    +25.5338  |paral   |2020yCat.1350....0G
1252|TYC 3988-1280-1                                                                                          |Star                                |22 50 13.2050109600 +55 18 19.661679000|106.2069695214032 -03.5805572714879|   3.658 -6.337    |10.41    |~                   |    ~     ~    |    1|  392.403   pc  |  -2.0171     +2.0171  |paral   |2020yCat.1350....0G
1253|TYC 3988-1289-1                                                                                          |Star                                |22 46 08.9966241048 +56 12 34.835072364|106.1102246065222 -02.5147042071136| 24.324 -10.138    |10.40    |~                   |    ~     ~    |    1|  351.655   pc  |  -7.1352     +7.1352  |paral   |2020yCat.1350....0G
1254|TYC 3988-1309-1                                                                                          |Star                                |22 47 10.3640205072 +56 03 36.472014828|106.1676865772895 -02.7131243866343|   0.361 -1.356    |10.85    |~                   |    ~     ~    |    1|  860.511   pc  |  -9.1079     +9.1079  |paral   |2020yCat.1350....0G
1255|TYC 3988-1344-1                                                                                          |Star                                |22 46 05.5879246800 +55 56 35.970842436|105.9796776023670 -02.7470814586980|   8.684 -5.500    |10.46    |~                   |    ~     ~    |    1|  415.939   pc  | -12.5083    +12.5083  |paral   |2020yCat.1350....0G
1256|TYC 3988-1376-1                                                                                          |Star                                |22 51 16.6342343544 +55 10 58.138507920|106.2868430928910 -03.7577247152667|   2.485 -4.651    |10.82    |~                   |    ~     ~    |    1|  672.133   pc  |  -6.5054     +6.5054  |paral   |2020yCat.1350....0G
1257|TYC 3988-1389-1                                                                                          |Star                                |22 47 36.8671207032 +54 59 10.115974716|105.7292968833269 -03.6958635908004|  -1.300 -0.887    |10.38    |~                   |    ~     ~    |    1|  948.407   pc  | -10.7937    +10.7937  |paral   |2020yCat.1350....0G
1258|TYC 3988-1431-1                                                                                          |Star                                |22 45 04.9868507736 +54 58 34.003598592|105.4021067306551 -03.5366468695139|  -1.075 -0.736    |10.27    |~                   |    ~     ~    |    1| 1610.047   pc  | -33.4400    +33.4400  |paral   |2020yCat.1350....0G
1259|TYC 3988-1494-1                                                                                          |Star                                |22 50 19.8622 +55 45 37.952            |106.4260135 -03.1811432            |   1.742 -1.714    |10.34    |~                   |    ~     ~    |    0|                |                       |        |                   
1260|TYC 3988-1496-1                                                                                          |Star                                |22 50 44.9378144016 +55 06 03.293163288|106.1824666850287 -03.7972014779524|    9.600 1.984    |10.42    |~                   |    ~     ~    |    1|  552.547   pc  |  -5.4040     +5.4040  |paral   |2020yCat.1350....0G
1261|TYC 3988-1522-1                                                                                          |Star                                |22 52 28.7298684576 +55 33 42.961752756|106.6088847068914 -03.4939606461909|   8.260 -0.839    |10.45    |~                   |    ~     ~    |    1|  723.746   pc  |  -6.5476     +6.5476  |paral   |2020yCat.1350....0G
1262|TYC 3988-1549-1                                                                                          |Star                                |22 46 46.5994260168 +55 15 49.866305832|105.7507684637500 -03.3941932176046|   2.115 -2.453    |10.63    |~                   |    ~     ~    |    1|  695.507   pc  |  -7.6429     +7.6429  |paral   |2020yCat.1350....0G
1263|TYC 3988-1570-1                                                                                          |Star                                |22 50 36.9230985624 +55 06 15.232746708|106.1668440959362 -03.7856681800545| -11.162 -2.651    |10.31    |~                   |    ~     ~    |    1| 1037.560   pc  | -13.1337    +13.1337  |paral   |2020yCat.1350....0G
1264|TYC 3988-1704-1                                                                                          |Star                                |22 47 20.1251373360 +54 53 10.639209876|105.6476682233757 -03.7661626353863|   0.103 -0.757    |10.88    |~                   |    ~     ~    |    1|  767.636   pc  | -19.9172    +19.9172  |paral   |2020yCat.1350....0G
1265|TYC 3988-1731-1                                                                                          |Star                                |22 45 29.2959451800 +55 11 35.543807160|105.5549134038361 -03.3716443242105|    4.816 1.155    |10.52    |~                   |    ~     ~    |    1|  971.534   pc  | -12.0816    +12.0816  |paral   |2020yCat.1350....0G
1266|TYC 3988-1776-1                                                                                          |High Proper Motion Star             |22 48 35.3696102808 +55 01 12.774070560|105.8695082234603 -03.7294680667671| 56.473 -49.804    |10.85    |~                   |    ~     ~    |    1|  152.367   pc  |  -0.2438     +0.2438  |paral   |2020yCat.1350....0G
1267|TYC 3988-1797-1                                                                                          |High Proper Motion Star             |22 45 43.2012668016 +55 37 17.169174408|105.7835935931174 -03.0078727581458| 117.370 24.777    |10.84    |~                   |    ~     ~    |    1|  199.013   pc  |  -1.1129     +1.1129  |paral   |2020yCat.1350....0G
1268|TYC 3988-1817-1                                                                                          |Star                                |22 48 17.0238856416 +55 03 24.154649640|105.8471198041672 -03.6770146705189|  -2.550 -0.628    |10.96    |~                   |    ~     ~    |    1|  898.796   pc  | -13.6524    +13.6524  |paral   |2020yCat.1350....0G
1269|TYC 3988-1926-1                                                                                          |Star                                |22 48 51.8024812176 +55 46 57.436353336|106.2516125667511 -03.0681922565098|    2.529 5.432    |10.69    |~                   |    ~     ~    |    1|  708.466   pc  |  -5.8725     +5.8725  |paral   |2020yCat.1350....0G
1270|TYC 3992-299-1                                                                                           |Star                                |22 45 50.2660808280 +57 39 38.574317664|106.7452978540737 -01.2091580622122|  19.552 17.992    |10.77    |~                   |    ~     ~    |    1|  379.133   pc  |  -1.6387     +1.6387  |paral   |2020yCat.1350....0G
1271|TYC 3992-1038-1                                                                                          |Star                                |22 45 58.5231865080 +57 21 21.363109272|106.6203440284861 -01.4877763760774|  -4.390 -4.152    |10.65    |~                   |    ~     ~    |    1| 1144.820   pc  | -22.4115    +22.4115  |paral   |2020yCat.1350....0G
1272|TYC 3992-1284-1                                                                                          |Star                                |22 47 18.0300878976 +57 16 37.099436052|106.7426991130422 -01.6403442930311|-11.387 -10.000    |10.39    |~                   |    ~     ~    |    1|  236.027   pc  |  -0.6685     +0.6685  |paral   |2020yCat.1350....0G
1273|TYC 3992-1484-1                                                                                          |Star                                |22 47 07.9745327280 +57 30 40.370773932|106.8302575704210 -01.4218996707124|  -3.886 -2.838    |10.75    |~                   |    ~     ~    |    1| 2190.581   pc  | -75.8186    +75.8186  |paral   |2020yCat.1350....0G
1274|TYC 3992-1577-1                                                                                          |Star                                |22 45 53.4469434552 +57 14 19.147300800|106.5558298113993 -01.5863999302704|  -0.954 -2.183    |10.63    |~                   |    ~     ~    |    1| 1263.424   pc  | -25.5398    +25.5398  |paral   |2020yCat.1350....0G
1275|GSC 03992-01585                                                                                          |Double or Multiple Star             |22 49 17.9601231408 +56 37 57.569578068|106.6915438854418 -02.3380343670400|  -2.644 -8.256    |10.920   |~                   |    ~     ~    |    1|  602.011   pc  |  -4.3852     +4.3852  |paral   |2020yCat.1350....0G
1276|TYC 3992-1591-1                                                                                          |Star                                |22 47 40.9014044064 +57 18 11.568923424|106.8005198795828 -01.6406278334803|  -2.274 -1.445    |9.62     |~                   |    ~     ~    |    1| 1019.472   pc  | -14.2387    +14.2387  |paral   |2020yCat.1350....0G
1277|TYC 3992-1665-1                                                                                          |Star                                |22 47 44.7729311352 +56 48 44.877875904|106.5835886137059 -02.0809694559483|   7.145 -0.516    |9.81     |~                   |    ~     ~    |    1|  299.383   pc  |  -1.0397     +1.0397  |paral   |2020yCat.1350....0G
1278|TYC 3992-1741-1                                                                                          |Star                                |22 46 42.5937783624 +56 45 02.356547400|106.4290223727888 -02.0706723845499|   19.877 1.429    |10.90    |~                   |    ~     ~    |    1|  189.970   pc  |  -0.4186     +0.4186  |paral   |2020yCat.1350....0G
1279|TYC 3992-1952-1                                                                                          |Star                                |22 47 59.8626363264 +57 06 33.030831708|106.7498278313984 -01.8327595072178|    0.213 0.266    |9.89     |~                   |    ~     ~    |    1|  699.154   pc  |  -5.7192     +5.7192  |paral   |2020yCat.1350....0G
1280|TYC 3992-2019-1                                                                                          |Star                                |22 45 04.1148595920 +56 29 34.148309208|106.1092122924532 -02.1943807995015|  -0.629 -4.293    |10.74    |~                   |    ~     ~    |    1| 1129.178   pc  | -18.6156    +18.6156  |paral   |2020yCat.1350....0G
1281|TYC 3992-2223-1                                                                                          |Star                                |22 48 16.5364510848 +56 52 09.275259540|106.6739786791431 -02.0635267771973|  -4.586 -2.723    |10.74    |~                   |    ~     ~    |    1| 1556.663   pc  | -70.0304    +70.0304  |paral   |2020yCat.1350....0G
1282|TYC 3992-2399-1                                                                                          |Star                                |22 46 01.1555624904 +56 24 05.455365300|106.1831046929168 -02.3362981988223|   2.699 -6.812    |10.34    |~                   |    ~     ~    |    1|  684.744   pc  |  -5.4858     +5.4858  |paral   |2020yCat.1350....0G
1283|TYC 3992-2424-1                                                                                          |Star                                |22 48 53.2350196392 +56 33 11.909902248|106.6049447281652 -02.3830573554868|  -4.373 -3.710    |10.80    |~                   |    ~     ~    |    1| 1141.162   pc  | -15.2363    +15.2363  |paral   |2020yCat.1350....0G
1284|TYC 3992-2525-1                                                                                          |Star                                |22 49 05.7497277072 +56 23 29.818379796|106.5572225816831 -02.5402217589490|   0.822 -7.297    |10.73    |~                   |    ~     ~    |    1|  349.369   pc  |  -1.5379     +1.5379  |paral   |2020yCat.1350....0G
1285|TYC 3992-2560-1                                                                                          |Star                                |22 45 55.7723633400 +56 46 27.724690020|106.3451212070919 -02.0002031216857|   28.912 8.114    |10.97    |~                   |    ~     ~    |    1|  679.025   pc  |  -7.0083     +7.0083  |paral   |2020yCat.1350....0G
1286|TYC 3992-2621-1                                                                                          |Star                                |22 49 29.7874181520 +56 20 28.301481348|106.5838938866146 -02.6102921595817|   7.287 15.382    |9.90     |~                   |    ~     ~    |    1|  151.449   pc  |  -0.2844     +0.2844  |paral   |2020yCat.1350....0G
1287|TYC 3992-2654-1                                                                                          |Star                                |22 50 06.1889542368 +56 20 48.693724728|106.6615551859385 -02.6431435821341|  14.270 -4.698    |9.68     |~                   |    ~     ~    |    1|  481.812   pc  |  -8.1018     +8.1018  |paral   |2020yCat.1350....0G
1288|TYC 3992-2825-1                                                                                          |Star                                |22 45 57.0817792368 +56 17 57.979099968|106.1273998277760 -02.4223821208990|  33.897 -9.202    |9.64     |~                   |    ~     ~    |    1|  120.378   pc  |  -0.2174     +0.2174  |paral   |2020yCat.1350....0G
1289|TYC 3992-2841-1                                                                                          |Star                                |22 45 19.7825229336 +56 16 04.725502032|106.0363137580992 -02.4101438989104|  -4.426 -0.894    |10.31    |~                   |    ~     ~    |    1|  915.583   pc  | -17.1850    +17.1850  |paral   |2020yCat.1350....0G
1290|BD+54 2887                                                                                               |Be Star                             |22 58 36.3156542952 +55 28 11.731211148|107.3527500785784 -03.9515655513309|    1.029 0.065    |9.87     |Be                  |    ~     ~    |    1|  739.973   pc  |  -7.7754     +7.7754  |paral   |2020yCat.1350....0G
1291|LS III +57 93                                                                                            |Star                                |22 49 20.6499821184 +57 45 31.441421376|107.2065882728524 -01.3364897409239|  -2.048 -2.865    |10.8     |O9.5V               |    ~     ~    |    1| 2853.881   pc  |-101.8080   +101.8080  |paral   |2020yCat.1350....0G
1292|HD 240103                                                                                                |Star                                |22 53 23.7170174640 +57 56 50.971729920|107.7733072399287 -01.4074811207906|  26.490 10.059    |8.87     |F5                  |    ~     ~    |    1|  259.195   pc  |  -0.7927     +0.7927  |paral   |2020yCat.1350....0G
1293|BD+57 2642                                                                                               |Spectroscopic Binary                |22 55 41.9810153544 +57 55 53.105715300|108.0418169173429 -01.5548710122042|   17.916 4.872    |9.42     |F0                  |    ~     ~    |    1|  197.254   pc  |  -0.5720     +0.5720  |paral   |2020yCat.1350....0G
1294|HD 240125                                                                                                |Star                                |22 56 21.9487275360 +57 58 55.641512064|108.1434231714200 -01.5470425207514| -10.811 -2.536    |9.43     |K0                  |    ~     ~    |    1|  387.672   pc  |  -1.9989     +1.9989  |paral   |2020yCat.1350....0G
1295|LS III +57 106                                                                                           |Star                                |22 57 13.5256334592 +57 59 51.570970476|108.2531040240248 -01.5816371114922|  -3.326 -2.317    |10.9     |B                   |    ~     ~    |    1| 3140.704   pc  |-125.2730   +125.2730  |paral   |2020yCat.1350....0G
1296|LS III +57 107                                                                                           |Emission-line Star                  |22 57 14.7747172272 +57 28 45.235043904|108.0348807442988 -02.0519568312178|  -3.037 -2.660    |10.96    |B                   |    ~     ~    |    1| 3119.152   pc  |-112.8576   +112.8576  |paral   |2020yCat.1350....0G
1297|HD 240137                                                                                                |Star                                |22 58 24.6277969176 +57 48 52.883227404|108.3182236914232 -01.8140520943618|  -5.605 -3.388    |10.86    |~                   |    ~     ~    |    1|  975.895   pc  | -15.3332    +15.3332  |paral   |2020yCat.1350....0G
1298|TYC 3993-636-1                                                                                           |Star                                |22 58 24.5660919192 +57 49 10.025813460|108.3201078302732 -01.8096763267745|   11.214 2.194    |10.35    |~                   |    ~     ~    |    1|  670.062   pc  |  -6.1511     +6.1511  |paral   |2020yCat.1350....0G
1299|HD 240142                                                                                                |Star                                |22 59 00.2588293272 +57 46 44.792756616|108.3750723664898 -01.8796065337792| -14.531 -6.646    |8.91     |M0                  |    ~     ~    |    1|  581.125   pc  |  -6.3826     +6.3826  |paral   |2020yCat.1350....0G
1300|LS III +57 111                                                                                           |Star                                |22 59 23.4866008800 +57 43 30.080631000|108.3993226702989 -01.9503511204605|  -3.497 -2.660    |10.31    |B0.2III             |    ~     ~    |    1| 2906.132   pc  |-105.5700   +105.5700  |paral   |2020yCat.1350....0G
1301|LS III +57 112                                                                                           |Star                                |22 59 48.9423283920 +57 45 35.145418284|108.4653049581876 -01.9424179443972|  -2.980 -2.131    |10.6     |B0.3III             |    ~     ~    |    1| 3661.662   pc  |-262.7923   +262.7923  |paral   |2020yCat.1350....0G
1302|HD 240085                                                                                                |Star                                |22 51 14.3156295576 +57 11 39.410560896|107.1806391000192 -01.9551717960250|  -1.176 -1.533    |9.64     |A2                  |    ~     ~    |    1|  869.187   pc  | -12.9188    +12.9188  |paral   |2020yCat.1350....0G
1303|BD+56 2881                                                                                               |Star                                |22 51 16.2484563480 +57 11 55.517775864|107.1865427922045 -01.9531122653860|  -0.547 -1.940    |10.20    |F0                  |    ~     ~    |    1|  887.075   pc  | -12.6691    +12.6691  |paral   |2020yCat.1350....0G
1304|HD 240086                                                                                                |Star                                |22 51 16.9414039176 +57 24 11.921522832|107.2791735771806 -01.7706994454678| -16.254 -1.634    |9.18     |F5                  |    ~     ~    |    1|  213.579   pc  |  -0.5246     +0.5246  |paral   |2020yCat.1350....0G
1305|BD+56 2883                                                                                               |Star                                |22 51 18.9808989384 +57 25 21.289276884|107.2918642754904 -01.7554898045225|  -3.169 -2.629    |9.94     |B                   |    ~     ~    |    1| 3195.909   pc  |-137.8868   +137.8868  |paral   |2020yCat.1350....0G
1306|HD 240087                                                                                                |Double or Multiple Star             |22 51 31.7368 +57 25 42.683            |107.3201460 -01.7629099            |      -2.9 -6.0    |9.42     |A0                  |    ~     ~    |    0|                |                       |        |                   
1307|HD 240091                                                                                                |Star                                |22 51 56.4003965616 +57 05 00.316349736|107.2165741095369 -02.0967809116328|   12.811 1.592    |9.13     |A0                  |    ~     ~    |    1|  385.802   pc  | -32.1651    +32.1651  |paral   |2020yCat.1350....0G
1308|HD 240100                                                                                                |Star                                |22 52 59.7420454560 +57 17 38.045588676|107.4380034534521 -01.9711408107713|  -3.437 -1.920    |9.36     |K0                  |    ~     ~    |    1| 2789.400   pc  |-102.7060   +102.7060  |paral   |2020yCat.1350....0G
1309|HD 240102                                                                                                |Star                                |22 53 22.4625130800 +57 18 53.331111828|107.4931619036159 -01.9748229972434|    4.533 0.317    |9.99     |B9                  |    ~     ~    |    1| 1028.278   pc  | -14.5915    +14.5915  |paral   |2020yCat.1350....0G
1310|HD 240104                                                                                                |High Proper Motion Star             |22 54 06.6091484832 +57 36 36.257933772|107.7114050210336 -01.7525950415115| 23.433 -89.486    |9.06     |G5                  |    ~     ~    |    1|   74.535   pc  |  -0.0950     +0.0950  |paral   |2020yCat.1350....0G
1311|HD 240105                                                                                                |Star                                |22 54 15.5180086632 +56 49 09.941542248|107.3845291966979 -02.4728865419678|   2.550 -1.410    |8.33     |K5                  |    ~     ~    |    1|  849.473   pc  | -13.0610    +13.0610  |paral   |2020yCat.1350....0G
1312|HD 240109                                                                                                |Star                                |22 54 45.2022440208 +56 53 18.550809708|107.4755482665524 -02.4401261249527| -4.657 -10.444    |9.27     |A0                  |    ~     ~    |    1|  295.011   pc  |  -1.3316     +1.3316  |paral   |2020yCat.1350....0G
1313|HD 216849                                                                                                |Star                                |22 55 27.6240072456 +57 22 30.758330388|107.7729656923764 -02.0429098844690|  20.392 -9.813    |8.77     |A0                  |    ~     ~    |    1|  189.154   pc  |  -0.5331     +0.5331  |paral   |2020yCat.1350....0G
1314|HD 216869                                                                                                |Spectroscopic Binary                |22 55 35.5490513544 +56 53 19.133878884|107.5790220811888 -02.4895741172537|   12.853 1.009    |8.92     |A                   |    ~     ~    |    1|  348.857   pc  |  -2.2028     +2.2028  |paral   |2020yCat.1350....0G
1315|HD 240118                                                                                                |Star                                |22 55 35.4207459144 +57 14 27.423817944|107.7308375505693 -02.1715999739152| 37.565 -12.859    |8.78     |G0                  |    ~     ~    |    1|   96.894   pc  |  -0.1202     +0.1202  |paral   |2020yCat.1350....0G
1316|LS III +56 109                                                                                           |Spectroscopic Binary                |22 55 44.9377506456 +56 28 36.644440404|107.4206849255419 -02.8703986704728|  -0.138 -4.349    |10.68    |O5.5V(n)((fc))+B    |    ~     ~    |    1| 4703.669   pc  |-287.6185   +287.6185  |paral   |2020yCat.1350....0G
1317|BD+56 2902                                                                                               |Star                                |22 55 44.1670558728 +57 43 10.499324664|107.9549201870423 -01.7481399323438|  -2.766 -2.140    |9.90     |B                   |    ~     ~    |    1| 3977.725   pc  |-221.5121   +221.5121  |paral   |2020yCat.1350....0G
