C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
700 |HD 13625                           |Star                                  |02 12 34.9679700168 -17 36 09.238081968|190.1892518211246 -69.0019197226532|   7.589 -4.422   |9.605    |K4/5(III)      |    ~     ~    
701 |BD-18 387                          |Spectroscopic Binary                  |02 14 28.5613459872 -17 26 29.337697572|190.4388340053018 -68.5312920934302|  -10.304 0.546   |10.47    |G0             |    ~     ~    
702 |HD 13094                           |High Proper Motion Star               |02 07 48.0473545248 -18 12 59.978165292|190.0545259479220 -70.2938050558418| 74.068 -39.170   |9.87     |G6V            |    ~     ~    
703 |HD 13215                           |Variable Star                         |02 08 45.6606376848 -17 46 44.963878044|189.2926219784090 -69.8740637765322|-11.006 -21.238   |6.056    |M1III          |    ~     ~    
704 |HD 13229                           |High Proper Motion Star               |02 08 54.0594714384 -17 50 52.373018040|189.5137294083519 -69.8809131851078|  80.396 35.980   |8.99     |G1V            |    ~     ~    
705 |HD 13774                           |Star                                  |02 13 51.8537511840 -17 58 04.355558796|191.4953670076353 -68.9203723443367|  5.628 -16.038   |8.67     |K1III          |    ~     ~    
706 |HD 13837                           |Spectroscopic Binary                  |02 14 30.7089756552 -17 47 21.356328624|191.2758944025827 -68.6982272769212| 59.012 -11.688   |9.17     |G8/K0V         |    ~     ~    
707 |V* BN Cet                          |alpha2 CVn Variable                   |02 06 15.8004336360 -19 07 26.305108608|191.9037338777573 -71.0563638908580|  25.469 -0.372   |10.17    |ApSrEuCr       |    ~     ~    
708 |HD 13004                           |High Proper Motion Star               |02 06 52.0494647088 -19 08 19.935947184|192.1521359308008 -70.9378653245717|143.287 -34.216   |6.39     |K1III          |    ~     ~    
709 |HD 13029                           |Star                                  |02 07 08.6872136280 -19 00 12.538469952|191.8837350134051 -70.8158348207848|   21.365 1.263   |9.81     |F6V            |    ~     ~    
710 |HD 13116                           |High Proper Motion Star               |02 07 57.5497823616 -18 22 04.213075008|190.4987510379867 -70.3371354382961|-41.638 -34.031   |9.43     |G5V            |    ~     ~    
711 |HD 13117                           |Star                                  |02 07 58.9851941352 -18 54 46.565821332|191.9297368971775 -70.5984554023094|  46.989 16.623   |8.54     |F2IV/V         |    ~     ~    
712 |HD 13166                           |High Proper Motion Star               |02 08 21.8937493896 -18 38 26.647051092|191.3463836779133 -70.3879394062127|-23.546 -62.909   |10.13    |F7/8V          |    ~     ~    
713 |HD 13165                           |Pulsating Variable                    |02 08 22.6651170984 -18 27 51.578671824|190.8937507730298 -70.2987945584809|   6.983 -5.896   |9.67     |A0V            |    ~     ~    
714 |BD-19 398                          |Star                                  |02 09 33.7195717104 -18 20 40.852027068|190.9955528860702 -69.9954228456300|  -9.798 -8.886   |10.42    |F8             |    ~     ~    
715 |HD 13443                           |Star                                  |02 11 00.3311717040 -18 32 15.399127500|191.9709702060641 -69.7905124963460|   -0.424 5.553   |9.83     |A9V            |    ~     ~    
716 |HD 13523                           |Star                                  |02 11 32.3056080984 -18 58 36.325699752|193.2669319698202 -69.8867144934698|-22.222 -16.437   |6.64     |G8III          |    ~     ~    
717 |BD-18 363                          |Star                                  |02 06 08.5410369552 -17 31 36.959628432|187.6999785673657 -70.2717942650842| -6.568 -10.903   |10.69    |~              |    ~     ~    
718 |BD-17 388                          |Star                                  |02 06 16.9824584880 -17 05 52.972479240|186.6934106377929 -70.0107211871342|   16.050 8.646   |10.91    |~              |    ~     ~    
719 |BD-19 385                          |Star                                  |02 06 46.7746264128 -18 24 33.645992796|190.1876036848006 -70.6002177793105|  43.803 -2.880   |10.188   |~              |    ~     ~    
720 |BD-17 390                          |Star                                  |02 07 15.5418598248 -17 15 10.273394736|187.4428946953951 -69.8997370818209|  6.083 -11.932   |10.98    |~              |    ~     ~    
721 |BD-17 397                          |Star                                  |02 08 24.2386162680 -16 57 53.062037532|187.1738524754473 -69.5135455234003| 17.003 -42.277   |10.265   |~              |    ~     ~    
722 |BD-17 398                          |Star                                  |02 08 26.4755941128 -17 03 15.994805904|187.4029786414022 -69.5548735505727| 13.379 -44.787   |10.11    |~              |    ~     ~    
723 |BD-18 376                          |High Proper Motion Star               |02 08 57.5886621192 -17 26 45.534680196|188.5424144850565 -69.6597353024055|  79.958 15.378   |10.68    |~              |    ~     ~    
724 |BD-17 401                          |Star                                  |02 09 16.7209275744 -16 57 23.083529724|187.4777378649614 -69.3335099661371|    1.824 4.028   |10.80    |~              |    ~     ~    
725 |BD-18 378                          |Star                                  |02 09 40.5077851680 -18 06 10.292887728|190.4234546018387 -69.8517809132771|  15.796 -4.242   |10.949   |~              |    ~     ~    
726 |BD-18 380                          |Star                                  |02 10 58.4668280928 -17 29 26.959138152|189.3673993480923 -69.2735991853960|  36.605 -3.320   |10.595   |~              |    ~     ~    
727 |BD-17 409                          |Star                                  |02 11 25.1278819320 -17 02 24.212288184|188.4473867807082 -68.9467481324651|  -16.918 1.856   |10.85    |~              |    ~     ~    
728 |BD-17 412                          |Star                                  |02 12 05.0801194032 -16 41 58.765885044|187.8886756791519 -68.6299059817982|   -24.00 30.50   |10.62    |~              |    ~     ~    
729 |BD-18 383                          |Spectroscopic Binary                  |02 12 16.6406024256 -17 41 40.659595332|190.3078876783044 -69.1113388189049|   17.253 9.130   |9.80     |~              |    ~     ~    
730 |BD-17 414                          |Spectroscopic Binary                  |02 12 29.6140339272 -17 10 08.325706044|189.1269347116173 -68.7965080164061|  52.030 -3.805   |10.63    |~              |    ~     ~    
731 |BD-17 416                          |Star                                  |02 12 56.2310857560 -17 17 45.585208500|189.5789688372217 -68.7721245092569|  15.284 -9.341   |10.633   |~              |    ~     ~    
732 |BD-19 409                          |Spectroscopic Binary                  |02 13 17.0704787136 -18 39 04.397661900|192.9931364202228 -69.3693927869656| 22.840 -21.606   |10.08    |~              |    ~     ~    
733 |BD-17 420                          |Star                                  |02 13 59.6925727032 -17 12 52.664138784|189.7460161185186 -68.5138860909689|  10.301 -6.317   |10.854   |~              |    ~     ~    
734 |BD-17 426                          |Star                                  |02 14 50.8526068656 -16 45 17.932103712|188.9732785604026 -68.1000478908774|   17.995 6.137   |10.33    |~              |    ~     ~    
735 |TYC 5859-879-1                     |Star                                  |02 10 03.2321697120 -16 47 37.275585720|187.3768774544224 -69.0893988660256|    3.234 2.878   |10.76    |~              |    ~     ~    
736 |BD-19 412                          |Star                                  |02 13 41.3208545520 -18 48 10.990183032|193.5008056171611 -69.3554641129026|  8.163 -16.038   |10.637   |~              |    ~     ~    
737 |TYC 5859-629-1                     |Star                                  |02 14 30.5783229144 -17 26 12.892434468|190.4391846520901 -68.5220651682940|  0.631 -14.256   |10.576   |~              |    ~     ~    
738 |TYC 5856-509-1                     |Star                                  |02 06 50.2066279008 -17 52 25.097770848|188.8320594688584 -70.3145973003991|-13.285 -16.303   |10.24    |~              |    ~     ~    
739 |TYC 5856-592-1                     |Star                                  |02 05 48.2567040720 -18 20 45.361176468|189.6689920194247 -70.7679537478808| 35.144 -25.713   |10.73    |~              |    ~     ~    
740 |TYC 5861-1372-1                    |High Proper Motion Star               |02 08 47.5670507136 -18 53 53.729246076|192.1648430782556 -70.4231360219627|  50.396 -4.530   |10.39    |~              |    ~     ~    
741 |TYC 5861-1380-1                    |Star                                  |02 11 37.4482181592 -18 47 42.978160932|192.8286701539884 -69.7841276471642| 39.742 -10.820   |10.696   |~              |    ~     ~    
742 |TYC 5861-1404-1                    |Star                                  |02 13 40.0973003976 -18 56 18.394888488|193.8359839127077 -69.4220366585038|  12.111 -7.220   |10.933   |~              |    ~     ~    
743 |HD 12628                           |High Proper Motion Star               |02 03 25.4257449888 -17 01 58.710724788|185.4049780594538 -70.5419105181858|  61.693 18.631   |8.16     |A7V            |    ~     ~    
744 |BD-15 360                          |Star                                  |02 03 16.7397666240 -15 15 08.956292544|181.1461353604074 -69.5135721737444|  14.756 -0.481   |10.03    |K2             |    ~     ~    
745 |HD 12539                           |Star                                  |02 02 33.3130198896 -15 36 49.704841368|181.6553899713599 -69.8737697609501|-16.448 -10.651   |9.35     |G5III          |    ~     ~    
746 |HD 12583                           |Red Giant Branch star                 |02 02 58.5696126264 -15 18 21.348597708|181.1363726315811 -69.6040058983552|   26.109 8.338   |5.864    |K0II/III       |    ~     ~    
747 |HD 12654                           |High Proper Motion Star               |02 03 34.2132156912 -15 28 28.795558908|181.7707602935386 -69.5953296626013|114.063 237.008   |9.07     |G8V            |    ~     ~    
748 |HD 12451                           |Star                                  |02 01 37.7028209256 -16 13 45.870407544|182.6995272867674 -70.4241553708130|  5.662 -20.195   |9.92     |G2V            |    ~     ~    
749 |BD-16 359                          |High Proper Motion Star               |02 03 36.7535847504 -15 58 40.484434116|182.9456984535931 -69.8918036703696| 61.235 -19.323   |10.163   |F8             |    ~     ~    
750 |HD 12480                           |Star                                  |02 01 56.6127807528 -16 34 07.771832616|183.6524284246996 -70.5644611721950|  22.555 -3.226   |7.73     |K3III          |    ~     ~    
751 |HD 12497                           |Rotating Variable                     |02 02 10.8587339880 -16 34 03.361750788|183.7495313864521 -70.5176424466743|    8.885 0.880   |9.78     |G2V            |    ~     ~    
752 |BD-17 375                          |Long-Period Variable Candidate        |02 02 12.3835411248 -16 19 54.012752400|183.1907176789305 -70.3737023673546|  -0.243 -3.521   |10.06    |K0             |    ~     ~    
753 |BD-17 378                          |Spectroscopic Binary Candidate        |02 02 57.2781251760 -16 19 11.130720780|183.4771478170926 -70.2218993784698|  20.447 -2.171   |10.309   |G0             |    ~     ~    
754 |BD-17 365                          |Star                                  |02 00 10.8902135544 -16 55 50.505202380|183.7954337414344 -71.1182482082551| 37.499 -31.412   |10.898   |~              |    ~     ~    
755 |BD-17 367                          |High Proper Motion Star               |02 00 48.4805914704 -16 48 15.549464268|183.7487607491237 -70.9227818349466|-22.742 -54.178   |10.944   |~              |    ~     ~    
756 |BD-17 370                          |Star                                  |02 01 46.3831297296 -16 56 48.384685248|184.5112759835218 -70.8171744413170|  9.041 -13.166   |10.210   |~              |    ~     ~    
757 |BD-17 376                          |Star                                  |02 02 30.7593573720 -16 21 22.104882756|183.3786966696841 -70.3289628542953|-19.971 -21.424   |10.236   |~              |    ~     ~    
758 |BD-15 359                          |Star                                  |02 03 09.8495006568 -15 09 09.507490164|180.8738115923585 -69.4731255241939| -6.808 -14.984   |10.33    |~              |    ~     ~    
759 |BD-17 379                          |Star                                  |02 03 19.2467306064 -16 37 00.993355104|184.3436240049793 -70.3243119343764|-34.449 -33.000   |10.81    |~              |    ~     ~    
760 |BD-16 357                          |Star                                  |02 03 28.2494979600 -16 08 57.479609688|183.2883941358003 -70.0211790758765|  14.819 -2.181   |10.880   |~              |    ~     ~    
761 |V* XZ Cet                          |RR Lyrae Variable                     |02 00 16.6337784768 -16 20 46.035996360|182.3948663179126 -70.7535426116645|  30.257 -7.916   |9.49     |A1w            |    ~     ~    
762 |BD-16 345                          |High Proper Motion Star               |02 00 48.7532338176 -16 08 02.902926768|182.1190331002395 -70.5231434546200|  74.211 44.533   |10.83    |~              |    ~     ~    
763 |BD-16 347                          |Star                                  |02 01 00.2332555344 -15 39 56.261028600|181.1008231040381 -70.1998390709836|  5.483 -15.024   |10.81    |~              |    ~     ~    
764 |BD-16 350                          |High Proper Motion Star               |02 01 31.6971044112 -16 12 54.944396784|182.6227308355884 -70.4349117098120|-18.380 -54.110   |10.649   |~              |    ~     ~    
765 |BD-16 351                          |High Proper Motion Star               |02 01 35.5659047928 -16 10 00.917785668|182.5351324032394 -70.3935088206806| 69.240 -26.753   |10.344   |~              |    ~     ~    
766 |HD 13115                           |High Proper Motion Star               |02 07 58.3592203248 -16 49 58.456480872|186.6970259335037 -69.5274701574276|  69.587 -6.027   |8.88     |F5V            |    ~     ~    
767 |HD 13365                           |Star                                  |02 10 17.9694736440 -16 43 08.573910420|187.2915945110910 -68.9994102733147| -1.505 -13.518   |9.15     |K2III          |    ~     ~    
768 |HD 13791                           |Star                                  |02 13 57.4638438792 -16 33 39.595798260|188.2275671517200 -68.1771574358286|  3.115 -11.067   |9.01     |G8/K0III       |    ~     ~    
769 |BD-17 411                          |Spectroscopic Binary                  |02 11 52.5906477216 -16 40 33.476671920|187.7599493987051 -68.6590385663184|  -1.378 -6.575   |10.77    |~              |    ~     ~    
770 |V* FN Cet                          |BY Dra Variable                       |02 04 59.3266918920 -15 40 41.173566852|182.8253842086630 -69.4471632353856| 20.714 -45.070   |7.77     |K0V            |    ~     ~    
771 |BD-16 366                          |Star                                  |02 05 33.6551889264 -15 36 15.188410224|182.8923280088494 -69.2926492185055|   1.708 10.359   |10.77    |F5             |    ~     ~    
772 |HD 12745                           |High Proper Motion Star               |02 04 30.3147475080 -16 13 01.320584844|183.8747816714648 -69.8604956392941|-44.382 -72.777   |7.49     |F5V            |    ~     ~    
773 |HD 12754                           |Star                                  |02 04 40.4995728408 -16 17 15.430438284|184.1103284799710 -69.8687124474548|   -5.844 4.530   |8.66     |F8.5V          |    ~     ~    
774 |BD-16 367                          |Spectroscopic Binary                  |02 05 42.1410778248 -15 46 19.204666752|183.3311325804943 -69.3655635682055| 78.099 -70.602   |10.335   |F8             |    ~     ~    
775 |HD 12755                           |Star                                  |02 04 41.9503858440 -16 23 08.999014416|184.3525720875990 -69.9211122740219| 36.745 -15.957   |8.69     |K1/2(III)      |    ~     ~    
776 |BD-15 362                          |Star                                  |02 03 47.3957004192 -14 53 57.655527720|180.5822350800495 -69.1967227983909|   -0.977 7.365   |10.361   |~              |    ~     ~    
777 |BD-15 364                          |Star                                  |02 04 23.6120709864 -14 34 57.538768584|180.1530747897877 -68.8836264881692|  16.851 -2.357   |10.896   |~              |    ~     ~    
778 |BD-15 365                          |High Proper Motion Star               |02 04 25.3338915600 -15 02 29.093394984|181.1628014563610 -69.1662587086144| 28.616 -57.333   |10.268   |~              |    ~     ~    
779 |BD-16 363                          |Star                                  |02 04 36.2035137864 -15 43 08.909887224|182.7599902705610 -69.5459687228422|    0.890 3.160   |10.545   |~              |    ~     ~    
780 |BD-16 368                          |Star                                  |02 05 54.8043023232 -15 58 47.541271116|183.8931738272866 -69.4474493983961|   0.756 -5.068   |10.984   |~              |    ~     ~    
781 |BD-16 360                          |Star                                  |02 04 26.9310199224 -15 55 52.186287792|183.1841790490261 -69.7025642791241|  4.166 -12.896   |10.725   |~              |    ~     ~    
782 |BD-15 373                          |Double or Multiple Star               |02 08 40.463 -14 58 26.56              |182.752241 -68.313734              |     -8.7 -36.0   |9.7      |K2             |    ~     ~    
783 |HD 13315                           |Star                                  |02 09 46.6156674120 -14 53 04.326025308|182.9928549334273 -68.0473755504050|  12.852 -2.443   |7.69     |K0III          |    ~     ~    
784 |HD 13442                           |Star                                  |02 11 04.0809419016 -15 04 15.121793568|183.8881740007917 -67.9086531376358|-17.510 -35.603   |6.745    |A2IV/V         |    ~     ~    
785 |HD 13457                           |High Proper Motion Star               |02 11 10.2683999184 -14 42 06.630916392|183.1444464170225 -67.6683224576999|-12.042 -88.409   |7.78     |G1V            |    ~     ~    
786 |HD 13498                           |Pulsating Variable                    |02 11 28.7683366104 -14 24 55.239423120|182.6653684447948 -67.4355490930254|    1.718 2.405   |9.21     |A9V            |    ~     ~    
787 |BD-15 383                          |Star                                  |02 11 41.0385790776 -14 27 07.310726892|182.8196401510497 -67.4185046479144|  7.066 -23.834   |9.56     |K2             |    ~     ~    
788 |HD 13722                           |Star                                  |02 13 19.1110422432 -14 54 27.224444772|184.3844893492905 -67.3734902020271|   0.874 -3.090   |7.65     |F0V            |    ~     ~    
789 |HD 12944                           |Star                                  |02 06 20.1758084016 -15 26 46.550222160|182.8527119524760 -69.0484528176390|  3.245 -30.406   |6.94     |K2/3III        |    ~     ~    
790 |BD-16 373                          |Spectroscopic Binary                  |02 06 45.1272098544 -15 20 03.226756848|182.7715863685130 -68.9009679436279|   13.334 3.019   |9.32     |K5             |    ~     ~    
791 |HD 13093                           |Star                                  |02 07 47.1324670056 -15 20 45.798789444|183.2114923113715 -68.7088197573874|  30.587 12.493   |8.66     |A9V            |    ~     ~    
792 |HD 13433                           |Star                                  |02 10 56.4584829600 -15 18 53.119970604|184.3659568956227 -68.0770804965042|   3.875 -1.344   |8.16     |A0V            |    ~     ~    
793 |HD 12945                           |High Proper Motion Star               |02 06 21.0046534176 -16 14 28.112837460|184.6733806465499 -69.5143295948821|-17.758 -59.088   |9.98     |F6V            |    ~     ~    
794 |HD 13239                           |Star                                  |02 08 55.2996705216 -16 00 34.436926296|185.1408704241005 -68.8759768917956|   9.493 18.081   |8.02     |F2V            |    ~     ~    
795 |HD 13304                           |Star                                  |02 09 36.9998470584 -16 07 34.790535804|185.6704228544925 -68.8054550215391| 29.780 -27.491   |7.66     |K0III          |    ~     ~    
796 |HD 13790                           |Star                                  |02 13 57.8133412368 -15 59 17.805730164|186.9474118829406 -67.8633759810645|-19.560 -11.146   |8.81     |F5V            |    ~     ~    
797 |HD 13080                           |Spectroscopic Binary                  |02 07 35.3325935040 -16 18 41.454556560|185.3222831276584 -69.3111803724113|  -4.659 -3.782   |9.03     |K0III          |    ~     ~    
798 |HD 13143                           |Star                                  |02 08 10.9566480480 -16 27 25.943810004|185.8899884756804 -69.2763346471787|  49.488 -2.416   |9.55     |G8V            |    ~     ~    
799 |HD 13240                           |Star                                  |02 09 03.2594022744 -16 38 54.540597804|186.6667845255520 -69.2097343361034| -10.825 -3.699   |8.67     |F3V            |    ~     ~    
800 |BD-17 400                          |High Proper Motion Star               |02 09 10.9011756479 -16 20 22.529309927|185.9955637294316 -69.0120754271745| 516.409 79.440   |10.877   |K9Vk:          |    ~     ~    
801 |HD 13573                           |High Proper Motion Star               |02 12 09.7918430256 -16 23 32.407406484|187.2121039204605 -68.4468075354427|-52.305 -137.675  |9.62     |G3/5V          |    ~     ~    
802 |HD 13613                           |Star                                  |02 12 31.1487174048 -16 23 29.762194956|187.3376683704327 -68.3750159308693| -8.729 -31.412   |9.592    |K0/1III        |    ~     ~    
803 |HD 13003                           |Star                                  |02 06 57.3232788000 -15 42 20.537543016|183.6844722376374 -69.0834310583671| -0.538 -21.143   |7.59     |M1III          |    ~     ~    
804 |BD-16 369                          |Star                                  |02 06 16.5486299088 -16 16 15.604947012|184.7137023910343 -69.5461168142380|  6.385 -12.583   |10.50    |K4             |    ~     ~    
805 |BD-16 372                          |Star                                  |02 06 30.8137208016 -16 11 35.353747788|184.6263104201066 -69.4545722484386| -15.662 -7.661   |10.74    |~              |    ~     ~    
806 |BD-17 389                          |Star                                  |02 06 57.3600353280 -16 31 12.748484136|185.5658696328460 -69.5546225394531|   3.516 -4.235   |10.34    |~              |    ~     ~    
807 |BD-15 371                          |Star                                  |02 07 51.3386193864 -14 37 14.917818324|181.6697646511099 -68.2543745488061|  15.417 -1.585   |10.325   |~              |    ~     ~    
808 |BD-16 378                          |Star                                  |02 08 01.7255380296 -15 18 49.033048752|183.2364264255849 -68.6424226146986|  21.898 -0.422   |9.89     |~              |    ~     ~    
809 |BD-15 372                          |Star                                  |02 08 21.9145056048 -14 44 36.475762128|182.1351876801697 -68.2326720108513|  2.304 -11.024   |10.975   |~              |    ~     ~    
810 |BD-15 374                          |Star                                  |02 08 41.7422197824 -14 46 13.820643480|182.3244056473707 -68.1859828260790|  -6.525 24.098   |10.71    |~              |    ~     ~    
811 |BD-15 375                          |Star                                  |02 08 43.4037250392 -14 36 32.982126480|181.9929570904096 -68.0818751530931|-32.396 -31.478   |10.629   |~              |    ~     ~    
812 |BD-16 384                          |Star                                  |02 09 58.3315992456 -15 50 50.615870676|185.1743492390233 -68.5760878442615|  10.461 -5.500   |10.240   |~              |    ~     ~    
813 |BD-16 386                          |Star                                  |02 10 31.5046526472 -16 06 59.392230228|185.9879779855225 -68.6199685519063|  15.001 16.648   |10.25    |~              |    ~     ~    
814 |BD-15 384                          |Star                                  |02 11 54.8020162824 -14 50 54.619390068|183.7355742081442 -67.6123482821675| 19.819 -21.757   |10.67    |~              |    ~     ~    
815 |BD-15 385                          |Double or Multiple Star               |02 12 02.7183908688 -15 06 03.615038748|184.3212538768568 -67.7359300650972| -29.584 -9.205   |10.605   |~              |    ~     ~    
816 |BD-16 395                          |Star                                  |02 12 22.2805564488 -15 30 17.801101548|185.3131300269370 -67.9066820879199| 15.976 -12.021   |10.796   |~              |    ~     ~    
817 |BD-16 396                          |Spectroscopic Binary                  |02 13 24.0002897472 -15 39 59.981249448|186.0402133803981 -67.7954578595128| -25.437 -8.893   |10.993   |~              |    ~     ~    
818 |BD-17 418                          |Star                                  |02 13 32.4739767096 -16 27 01.561518900|187.8320332944819 -68.2015535507307|   3.701 -7.795   |10.82    |~              |    ~     ~    
819 |BD-16 397                          |Star                                  |02 13 56.7678167736 -15 39 12.644085744|186.2077069364561 -67.6795742979047|-27.912 -30.729   |10.472   |~              |    ~     ~    
820 |BD-15 388                          |Star                                  |02 14 16.6576689432 -14 46 53.163657228|184.4727707540552 -67.1118383323399| -4.425 -11.338   |10.253   |~              |    ~     ~    
821 |BD-16 399                          |Star                                  |02 14 16.8545938656 -15 44 36.831834132|186.5229760924837 -67.6635973405427|  23.005 19.631   |10.282   |~              |    ~     ~    
822 |BD-15 389                          |Star                                  |02 14 22.6605899184 -15 00 37.145195856|184.9879213182485 -67.2259339156700|    4.290 3.352   |10.260   |~              |    ~     ~    
823 |TYC 5856-1715-1                    |Star                                  |02 06 51.3980647656 -16 08 41.386471224|184.6496116856221 -69.3594208620710|   4.945 -1.286   |10.91    |~              |    ~     ~    
824 |BD-17 395                          |Star                                  |02 08 02.6033726784 -16 22 16.346381124|185.6362446784674 -69.2553465165205|  19.859 -5.671   |9.8      |~              |    ~     ~    
825 |BD-16 381                          |Star                                  |02 09 29.8640572464 -15 54 29.026937700|185.1308223145183 -68.7043292581815|    8.744 8.863   |10.99    |~              |    ~     ~    
826 |BD-16 383                          |Star                                  |02 09 59.1276892392 -16 05 36.439125612|185.7343126760370 -68.7138512281578|  6.476 -14.045   |10.89    |~              |    ~     ~    
827 |BD-16 385                          |Spectroscopic Binary                  |02 10 07.3700561232 -16 05 13.387936740|185.7712549051351 -68.6830331375981| -4.237 -16.002   |10.67    |~              |    ~     ~    
828 |BD-16 388                          |Spectroscopic Binary                  |02 10 53.7530102664 -15 21 45.378528228|184.4529041635135 -68.1138994452078| -4.702 -20.028   |9.91     |~              |    ~     ~    
829 |BD-15 379                          |Star                                  |02 10 54.4870740000 -15 17 20.524586460|184.2977192407701 -68.0684195214310| 24.289 -27.993   |9.60     |~              |    ~     ~    
830 |TYC 5859-1599-1                    |Star                                  |02 14 28.5922574040 -15 27 00.975072348|185.9582635023417 -67.4591937764133| -6.407 -15.422   |10.936   |~              |    ~     ~    
831 |TYC 5283-1581-1                    |Spectroscopic Binary                  |02 09 33.5818005192 -14 22 40.711096416|181.8400255172732 -67.7800140967276|  8.214 -22.066   |10.73    |~              |    ~     ~    
832 |BD-15 357                          |High Proper Motion Star               |02 02 50.5615831704 -14 31 56.980529256|179.3764133617556 -69.1404505516853|  43.192 38.340   |10.314   |~              |    ~     ~    
833 |HD 12346                           |Star                                  |02 00 46.1527069152 -12 58 27.585478452|175.2358270975406 -68.4753711105003|   -7.554 0.197   |9.50     |A8V            |    ~     ~    
834 |HD 12345                           |High Proper Motion Star               |02 00 48.7507065000 -12 52 29.927704008|175.0606165641539 -68.3989832856084|216.444 118.249   |8.77     |G8III          |    ~     ~    
835 |HD 12461                           |Star                                  |02 01 51.8246662752 -13 00 52.175653632|175.8132418148331 -68.3095654521618|   28.721 0.846   |9.57     |A9V            |    ~     ~    
836 |HD 12521                           |Star                                  |02 02 33.9634670832 -13 08 29.651730576|176.3798263019701 -68.2711749576396|   9.903 -8.069   |8.77     |K2III          |    ~     ~    
837 |HD 12264                           |High Proper Motion Star               |02 00 05.3379490800 -13 32 46.000535316|176.0696425146259 -68.9880787880273| 49.419 -20.077   |7.98     |G5V            |    ~     ~    
838 |BD-14 378                          |High Proper Motion Star               |02 01 54.2123150592 -14 00 53.329616028|177.8628952603922 -68.9756936365088| 43.680 -46.677   |9.874    |F5             |    ~     ~    
839 |BD-15 358                          |High Proper Motion Star               |02 02 55.6179766896 -14 27 36.854644212|179.2580913298958 -69.0783456751301| 177.794 -5.044   |9.897    |G5             |    ~     ~    
840 |BD-12 369                          |Star                                  |02 00 10.1349305424 -12 15 14.199403428|173.5699956777278 -68.0750535807132|   9.306 -7.656   |10.806   |~              |    ~     ~    
841 |BD-14 374                          |High Proper Motion Star               |02 00 18.6359265672 -13 50 48.505862040|176.7914308632361 -69.1518925742961|-52.738 -44.183   |10.94    |~              |    ~     ~    
842 |BD-13 365                          |Star                                  |02 00 51.3566265840 -13 16 47.002709136|175.8826873828294 -68.6699724213613| -7.408 -14.729   |10.153   |~              |    ~     ~    
843 |BD-13 366                          |Star                                  |02 01 36.6053262456 -12 39 59.244034500|175.0194379282248 -68.1142648980358|   4.755 -0.484   |10.010   |~              |    ~     ~    
844 |BD-13 368                          |Star                                  |02 02 07.3985473608 -12 33 23.425854552|175.0403412039191 -67.9478162681747|   9.931 -7.133   |10.565   |~              |    ~     ~    
845 |BD-14 382                          |High Proper Motion Star               |02 02 40.0376022672 -13 42 41.305325796|177.5742596337247 -68.6358535181657|  5.186 -59.769   |10.581   |~              |    ~     ~    
846 |BD-12 377                          |Star                                  |02 02 51.6743595816 -12 13 11.317139976|174.7334580942796 -67.5840187040191|  15.023 -1.944   |10.79    |~              |    ~     ~    
847 |BD-14 383                          |Star                                  |02 02 59.2128203544 -13 25 46.238812932|177.1425361560456 -68.3898278408542|  2.464 -11.341   |10.78    |~              |    ~     ~    
848 |BD-14 379                          |Star                                  |02 02 01.7413213920 -13 20 07.394884440|176.5261214071691 -68.4986419841477|  17.804 -9.711   |9.956    |~              |    ~     ~    
849 |BD-14 380                          |Star                                  |02 02 04.1894407656 -13 19 45.752010672|176.5323730556427 -68.4872662572181|   8.666 -0.024   |10.487   |~              |    ~     ~    
850 |BD-13 370                          |Star                                  |02 02 41.6467505544 -12 36 35.660737512|175.3993433828587 -67.8843254204980|  31.893 10.389   |10.178   |~              |    ~     ~    
851 |HD 12684                           |High Proper Motion Star               |02 03 51.3322228152 -14 27 45.032504832|179.6655246251619 -68.9074596787987| -8.689 -61.061   |9.547    |G1V            |    ~     ~    
852 |BD-15 366                          |Star                                  |02 06 06.1934080056 -14 27 17.449843320|180.6001164836065 -68.4822124044320|  6.222 -17.350   |10.812   |~              |    ~     ~    
853 |HD 12966                           |High Proper Motion Star               |02 06 34.4983918920 -14 27 50.474491416|180.8149627535728 -68.3991859868808|-111.371 -84.284  |8.06     |G3V            |    ~     ~    
854 |HD 13020                           |Star                                  |02 07 08.0752820880 -14 24 00.681955416|180.9105078552371 -68.2536300539712|   6.879 17.077   |9.49     |F6V            |    ~     ~    
855 |BD-14 401                          |Star                                  |02 10 03.8134011456 -14 15 13.305266100|181.7812343075093 -67.6072585767211|  36.618 -2.826   |10.829   |~              |    ~     ~    
856 |BD-14 408                          |Star                                  |02 13 04.8910804512 -14 07 54.884537328|182.6950009523089 -66.9550704481253|    9.991 6.626   |10.624   |~              |    ~     ~    
857 |HD 12737                           |Star                                  |02 04 31.1745053016 -13 48 47.630531664|178.5920499000966 -68.3647081377167|  -3.987 11.354   |8.41     |F7V            |    ~     ~    
