C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
35  |CD-40 531                          |High Proper Motion Star               |02 03 59.6126779440 -40 22 34.931167644|259.0294284521738 -70.0001261418303|  39.878 68.717   |10.52    |~              |    ~     ~    
36  |CD-38 695                          |High Proper Motion Star               |02 04 16.7131311144 -38 11 14.305400052|253.4300849518599 -71.1549239239642| 120.115 35.033   |10.57    |~              |    ~     ~    
37  |CD-39 621                          |Star                                  |02 04 42.0548164632 -39 17 53.599039728|256.1719879357785 -70.4988958646954|  47.055 -5.216   |10.67    |~              |    ~     ~    
38  |CD-37 827                          |Star                                  |02 11 15.6942081984 -37 20 28.897781388|249.1984368670601 -70.3338001359124| 14.987 -33.558   |10.58    |G5             |    ~     ~    
39  |CD-37 841                          |Star                                  |02 14 12.2006453088 -37 08 26.106696924|247.9434173218659 -69.8856763004927|  19.753 16.398   |10.501   |G2             |    ~     ~    
40  |HD 13887                           |High Proper Motion Star               |02 14 20.5810948152 -37 06 27.757518228|247.8233090433135 -69.8734760729273| 194.268 48.452   |9.03     |G8IV           |    ~     ~    
41  |HD 13895                           |High Proper Motion Star               |02 14 29.4907565568 -37 05 34.142158068|247.7491302662638 -69.8523491263063| 56.079 -24.897   |9.949    |F8V            |    ~     ~    
42  |HD 13353                           |Star                                  |02 09 31.2538063176 -37 38 20.535075996|250.4507600435725 -70.5120169694492| 12.820 -15.070   |9.54     |K0             |    ~     ~    
43  |CD-38 738                          |Star                                  |02 12 23.5498273080 -37 45 06.221185272|249.9990727771534 -69.9534005982000|-24.491 -30.346   |10.64    |F8             |    ~     ~    
44  |HD 13946                           |Star                                  |02 14 47.9552114400 -37 31 58.464510564|248.8363797063086 -69.6165328882647|-14.045 -24.052   |7.45     |K1III          |    ~     ~    
45  |HD 12985                           |High Proper Motion Star               |02 06 10.6416655896 -37 48 40.715823780|251.8509455267089 -71.0160321505181| -4.535 102.007   |8.76     |F7V            |    ~     ~    
46  |HD 13084                           |Star                                  |02 07 06.8287858944 -38 05 54.141803304|252.3448146866455 -70.7155707762158|  -4.342 -3.007   |9.09     |Fm_dD          |    ~     ~    
47  |HD 13360                           |High Proper Motion Star               |02 09 31.9737172824 -37 48 13.866535440|250.8862787112658 -70.4346934842178| 62.474 -37.520   |9.26     |G0V            |    ~     ~    
48  |HD 13462                           |Star                                  |02 10 40.0417882704 -38 22 01.863575076|252.0499073283910 -69.9743653497306|  0.007 -31.506   |7.96     |K2/3III        |    ~     ~    
