C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
608  |BD-07 2076                                                                                               |Double or Multiple Star               |07 37 20.503920 -07 36 04.65516        |224.998140937 +06.614936614        |      97.2 84.9   |9.94     |~                    |    ~     ~          |    0|                |                         |        |                   
609  |HD 61175                                                                                                 |Star                                  |07 37 45.1911721584 -07 27 10.718233596|224.9161648776195 +06.7754613506027|   -1.084 0.255   |8.47     |K2/3(III)            |    ~     ~          |    1|  273.127   pc  |  -4.1253     +4.1253    |paral   |2020yCat.1350....0G
610  |BD-07 2085                                                                                               |Star                                  |07 37 54.9794815872 -07 19 29.569038672|224.8223846268192 +06.8722815070325| -15.829 -0.772   |9.16     |K2                   |    ~     ~          |    1|  436.662   pc  |  -2.5741     +2.5741    |paral   |2020yCat.1350....0G
611  |BD-07 2089                                                                                               |Star                                  |07 38 19.7636499384 -07 32 03.211301256|225.0568843958492 +06.8619277695227|  -7.264 -4.860   |10.16    |~                    |    ~     ~          |    1| 1158.078   pc  | -19.5807    +19.5807    |paral   |2020yCat.1350....0G
612  |HD 61345                                                                                                 |Star                                  |07 38 31.5031004976 -07 37 43.541951952|225.1638598372097 +06.8591665820170|   0.925 -3.061   |9.41     |A2/3IV               |    ~     ~          |    1|  404.236   pc  |  -4.7878     +4.7878    |paral   |2020yCat.1350....0G
613  |HD 61505                                                                                                 |Star                                  |07 39 22.6466496792 -07 36 50.872036536|225.2530169336622 +07.0515039632799|   -4.259 1.746   |9.10     |A1/2III              |    ~     ~          |    1|  962.742   pc  | -17.7033    +17.7033    |paral   |2020yCat.1350....0G
614  |BD-07 2106                                                                                               |Spectroscopic Binary                  |07 39 49.8402429192 -07 24 53.019234252|225.1310763896843 +07.2457753821327|  -6.073 -6.064   |9.90     |~                    |    ~     ~          |    1|  591.576   pc  |  -9.2740     +9.2740    |paral   |2020yCat.1350....0G
615  |HD 61631                                                                                                 |Star                                  |07 39 57.4725483240 -07 31 07.162865832|225.2382327554690 +07.2235256314676|    0.365 0.458   |8.90     |K2III                |    ~     ~          |    1|  932.836   pc  | -18.4479    +18.4479    |paral   |2020yCat.1350....0G
616  |BD-07 2113                                                                                               |Star                                  |07 40 21.9142346184 -07 28 10.227982008|225.2436840043192 +07.3356923807857|  -0.616 -1.493   |9.98     |~                    |    ~     ~          |    1|  796.940   pc  | -17.2116    +17.2116    |paral   |2020yCat.1350....0G
617  |BD-05 2189                                                                                               |Long-Period Variable Candidate        |07 38 01.0337865552 -05 42 29.892520800|223.4023031103822 +07.6657783510580|   -3.242 0.987   |8.980    |M3                   |    ~     ~          |    1| 1015.23    pc  | -29.993     +29.993     |paral   |2020yCat.1350....0G
618  |TYC 5397-373-1                                                                                           |Star                                  |07 32 35.1662282904 -07 41 55.498537464|224.5190696646437 +05.5328023414984|  -5.981 -1.357   |10.18    |~                    |    ~     ~          |    1|  762.602   pc  |  -9.5958     +9.5958    |paral   |2020yCat.1350....0G
619  |BD-05 2172                                                                                               |Spectroscopic Binary                  |07 34 42.2214732312 -05 56 53.238868224|223.2204162537082 +06.8266711411525|   0.471 15.024   |9.56     |~                    |    ~     ~          |    1|  461.510   pc  |  -4.9627     +4.9627    |paral   |2020yCat.1350....0G
620  |BD-06 2187                                                                                               |Star                                  |07 35 31.1218638552 -06 27 09.316803708|223.7643866749716 +06.7653844839424|   -3.868 1.726   |10.21    |~                    |    ~     ~          |    1|  810.767   pc  | -11.2406    +11.2406    |paral   |2020yCat.1350....0G
621  |TYC 4842-2801-1                                                                                          |Star                                  |07 36 33.3106381944 -06 43 05.831777424|224.1231250024574 +06.8652584259134|  -4.699 21.914   |10.36    |~                    |    ~     ~          |    1|  478.904   pc  |  -3.3485     +3.3485    |paral   |2020yCat.1350....0G
622  |BD-06 2201                                                                                               |Star                                  |07 37 01.0608158208 -06 58 21.300203280|224.4033911753107 +06.8448592518934| -6.221 -15.912   |10.06    |~                    |    ~     ~          |    1|  650.068   pc  |  -5.8740     +5.8740    |paral   |2020yCat.1350....0G
623  |BD-06 2208                                                                                               |Star                                  |07 37 53.2105037208 -06 50 50.117701740|224.3962385123448 +07.0942354773095| -14.966 -4.473   |10.02    |~                    |    ~     ~          |    1|  220.041   pc  |  -0.6827     +0.6827    |paral   |2020yCat.1350....0G
624  |BD-06 2213                                                                                               |Star                                  |07 38 14.6975146560 -06 34 07.893659856|224.1925143015420 +07.3053245521451|-28.672 -32.544   |10.22    |~                    |    ~     ~          |    1|  189.140   pc  |  -3.5988     +3.5988    |paral   |2020yCat.1350....0G
625  |BD-06 2217                                                                                               |Star                                  |07 38 37.4352213984 -06 44 44.236581324|224.3943942006146 +07.3035338442277|  -2.342 -6.136   |9.74     |~                    |    ~     ~          |    1|  838.223   pc  | -11.9445    +11.9445    |paral   |2020yCat.1350....0G
626  |BD-05 2200                                                                                               |Star                                  |07 39 29.6376238992 -05 52 00.640752528|223.7196229534349 +07.9131707629196|  1.763 -13.653   |9.97     |~                    |    ~     ~          |    1|  654.151   pc  |  -5.8196     +5.8196    |paral   |2020yCat.1350....0G
627  |TYC 4839-1541-1                                                                                          |Star                                  |07 39 51.1546723152 -05 21 53.421998868|223.3168734670472 +08.2309154511504|   -6.625 8.299   |9.98     |~                    |    ~     ~          |    1|  686.201   pc  |  -7.7223     +7.7223    |paral   |2020yCat.1350....0G
628  |BD-06 2230                                                                                               |Star                                  |07 40 04.1422999440 -06 29 52.006633224|224.3480147417945 +07.7372369220784|  -5.218 -0.363   |10.05    |~                    |    ~     ~          |    1|  771.664   pc  |  -7.1456     +7.1456    |paral   |2020yCat.1350....0G
629  |BD-05 2207                                                                                               |Star                                  |07 40 30.8230086936 -05 21 46.835134416|223.3944994677545 +08.3764611281023|  -4.004 -2.837   |10.22    |~                    |    ~     ~          |    1| 1192.179   pc  | -27.8573    +27.8573    |paral   |2020yCat.1350....0G
630  |BD-05 2210                                                                                               |High Proper Motion Star               |07 41 10.6036997496 -05 46 25.284752400|223.8388286200246 +08.3253757533422|-28.455 -70.899   |9.84     |~                    |    ~     ~          |    1|   87.211   pc  |  -2.1426     +2.1426    |paral   |2020yCat.1350....0G
631  |HD 59669                                                                                                 |Star                                  |07 30 51.1340417688 -05 13 35.376106260|222.1244306604042 +06.3230577532826|  -5.946 -3.089   |6.236    |K0II                 |    ~     ~          |    1|  567.279   pc  |  -7.3694     +7.3694    |paral   |2020yCat.1350....0G
632  |BD-04 1989                                                                                               |Star                                  |07 32 12.3599130264 -05 17 34.721913012|222.3432779592750 +06.5889741621224|  -10.654 3.619   |9.48     |~                    |    ~     ~          |    1|  338.238   pc  |  -1.7618     +1.7618    |paral   |2020yCat.1350....0G
633  |BD-04 1990                                                                                               |Star                                  |07 32 20.4910140720 -05 16 04.957784832|222.3371643475161 +06.6304826162374|  -0.918 -1.798   |9.85     |~                    |    ~     ~          |    1|  648.130   pc  | -21.5077    +21.5077    |paral   |2020yCat.1350....0G
634  |HD 60656                                                                                                 |Star                                  |07 35 26.0373127032 -05 10 41.170458612|222.6238288671056 +07.3515071219782| -11.447 -1.907   |8.96     |G8III(+A/F)          |    ~     ~          |    1|  486.665   pc  | -16.0343    +16.0343    |paral   |2020yCat.1350....0G
635  |HD 61504                                                                                                 |Star                                  |07 39 30.0874036320 -05 08 14.313784200|223.0726401411460 +08.2623486556982|-10.628 -10.481   |9.71     |F2V                  |    ~     ~          |    1|  216.123   pc  |  -2.1206     +2.1206    |paral   |2020yCat.1350....0G
636  |BD-04 1995                                                                                               |Star                                  |07 32 50.4947724096 -05 16 35.420810700|222.4038192096284 +06.7362458660802|  -2.012 -1.925   |9.35     |~                    |    ~     ~          |    1| 1680.390   pc  | -46.0265    +46.0265    |paral   |2020yCat.1350....0G
637  |BD-04 2003                                                                                               |Star                                  |07 34 00.5687492952 -05 13 06.791037780|222.4906848485355 +07.0198959361630| -5.092 -11.808   |9.88     |~                    |    ~     ~          |    1|  592.628   pc  |  -6.8134     +6.8134    |paral   |2020yCat.1350....0G
638  |IRAS 07291-0550                                                                                          |Star                                  |07 31 38.0948624976 -05 56 49.252200108|222.8559704537739 +06.1549965792972| -0.782 -10.214   |9.79     |M2/3?                |    ~     ~          |    1| 1212.856   pc  | -45.7487    +45.7487    |paral   |2020yCat.1350....0G
639  |BD-05 2169                                                                                               |Long-Period Variable                  |07 34 18.3252932928 -05 52 37.374884436|223.1101134684408 +06.7731570882679|   -7.000 4.535   |9.31     |~                    |    ~     ~          |    1| 1032.311   pc  | -29.4124    +29.4124    |paral   |2020yCat.1350....0G
640  |BD-05 2179                                                                                               |Star                                  |07 36 14.7130037712 -06 11 45.565441548|223.6234868739816 +07.0462147432645|  -4.049 -4.533   |9.91     |~                    |    ~     ~          |    1| 1299.714   pc  | -29.3931    +29.3931    |paral   |2020yCat.1350....0G
641  |TYC 4843-215-1                                                                                           |Star                                  |07 39 44.3489 -06 59 03.743            |224.7393651 +07.4322866            |   -9.336 1.716   |9.79     |~                    |    ~     ~          |    0|                |                         |        |                   
642  |TYC 4838-6-1                                                                                             |Star                                  |07 30 58.0743284784 -05 16 04.597720176|222.1748650653294 +06.3289433946136|  -1.352 -0.970   |10.55    |~                    |    ~     ~          |    1| 1032.951   pc  | -23.2603    +23.2603    |paral   |2020yCat.1350....0G
643  |TYC 4838-168-1                                                                                           |Star                                  |07 31 29.8854054432 -05 31 39.173020680|222.4678046352263 +06.3229768581031|   -9.215 0.620   |10.62    |~                    |    ~     ~          |    1|  546.956   pc  |  -4.4874     +4.4874    |paral   |2020yCat.1350....0G
644  |ASAS J073308-0532.5                                                                                      |Eclipsing Binary                      |07 33 08.2481036448 -05 32 31.068494412|222.6744357450039 +06.6757779036614|  -0.776 -0.208   |10.88    |~                    |    ~     ~          |    1| 1809.955   pc  | -97.2953    +97.2953    |paral   |2020yCat.1350....0G
645  |TYC 4838-402-1                                                                                           |Star                                  |07 37 21.1204732248 -05 17 11.745182616|222.9485059977700 +07.7205458660445|   -1.429 3.048   |10.48    |~                    |    ~     ~          |    1|  525.679   pc  |  -9.0915     +9.0915    |paral   |2020yCat.1350....0G
646  |TYC 4838-418-1                                                                                           |Star                                  |07 32 19.7794720512 -05 19 40.429781544|222.3888902135952 +06.5996430704267|  -10.006 0.154   |9.22     |~                    |    ~     ~          |    1|  524.962   pc  |  -3.9684     +3.9684    |paral   |2020yCat.1350....0G
647  |TYC 4838-586-1                                                                                           |Star                                  |07 30 05.8353384648 -05 17 10.428161460|222.0884634320492 +06.1291103978857|  -4.157 -0.258   |9.76     |~                    |    ~     ~          |    1|  591.646   pc  |  -6.8959     +6.8959    |paral   |2020yCat.1350....0G
648  |TYC 4838-648-1                                                                                           |Star                                  |07 32 43.5146845392 -05 13 04.300550436|222.3379935911915 +06.7383886216328|-34.670 -11.484   |10.95    |~                    |    ~     ~          |    1|  161.663   pc  |  -0.4391     +0.4391    |paral   |2020yCat.1350....0G
649  |TYC 4838-876-1                                                                                           |Star                                  |07 36 06.3966670128 -05 30 59.444785728|223.0042940819041 +07.3386009274115|-40.199 -27.607   |10.55    |~                    |    ~     ~          |    1|  232.347   pc  |  -0.8908     +0.8908    |paral   |2020yCat.1350....0G
650  |TYC 4838-898-1                                                                                           |Star                                  |07 30 22.9488368760 -05 16 16.906730988|222.1088753363524 +06.1987575788401|   -3.784 1.256   |10.90    |~                    |    ~     ~          |    1|  917.852   pc  | -24.1784    +24.1784    |paral   |2020yCat.1350....0G
651  |TYC 4838-900-1                                                                                           |Star                                  |07 37 25.7173245888 -05 30 31.863999996|223.1550064945379 +07.6317800052825|  -2.832 -3.235   |10.52    |~                    |    ~     ~          |    1|  791.327   pc  |  -9.4556     +9.4556    |paral   |2020yCat.1350....0G
652  |TYC 4838-940-1                                                                                           |Star                                  |07 33 51.0684946632 -05 10 15.598386552|222.4296912267091 +07.0076214409813|   -4.031 1.975   |10.74    |~                    |    ~     ~          |    1|  816.993   pc  | -29.1021    +29.1021    |paral   |2020yCat.1350....0G
653  |TYC 4838-1006-1                                                                                          |Star                                  |07 34 01.9012391784 -05 18 51.544348416|222.5783429971834 +06.9795025373996|   3.052 -4.441   |10.51    |~                    |    ~     ~          |    1|  977.326   pc  | -18.8168    +18.8168    |paral   |2020yCat.1350....0G
654  |TYC 4838-1138-1                                                                                          |Star                                  |07 32 37.3060466496 -05 11 21.103183932|222.3003037904033 +06.7291982487454|  -14.823 6.773   |9.84     |~                    |    ~     ~          |    1|  564.462   pc  |  -4.5881     +4.5881    |paral   |2020yCat.1350....0G
655  |TYC 4838-1212-1                                                                                          |Star                                  |07 37 18.2061259104 -05 08 27.578535864|222.8133679358888 +07.7789917142319|  -12.121 8.330   |10.39    |~                    |    ~     ~          |    1|  472.032   pc  |  -3.4091     +3.4091    |paral   |2020yCat.1350....0G
656  |TYC 4838-1358-1                                                                                          |Star                                  |07 31 14.3187994680 -05 37 03.079483608|222.5169917152876 +06.2236183965388|   1.602 -7.066   |10.35    |~                    |    ~     ~          |    1|  711.693   pc  |  -8.5600     +8.5600    |paral   |2020yCat.1350....0G
657  |TYC 4838-1360-1                                                                                          |Star                                  |07 32 21.4617446592 -05 12 22.163769396|222.2841373044216 +06.6632249158115|   3.099 -0.431   |10.71    |~                    |    ~     ~          |    1|  969.368   pc  | -12.4037    +12.4037    |paral   |2020yCat.1350....0G
658  |TYC 4838-1404-1                                                                                          |Star                                  |07 30 28.0891896408 -05 35 25.336091580|222.4020196550385 +06.0673492474663|  -5.026 -7.973   |10.12    |~                    |    ~     ~          |    1|  630.955   pc  |  -7.3649     +7.3649    |paral   |2020yCat.1350....0G
659  |TYC 4838-1424-1                                                                                          |Star                                  |07 33 32.3253471720 -05 12 49.502145888|222.4306406322627 +06.9188753667018|   -2.998 1.230   |10.09    |~                    |    ~     ~          |    1|  921.744   pc  | -28.0372    +28.0372    |paral   |2020yCat.1350....0G
660  |TYC 4838-1544-1                                                                                          |Star                                  |07 36 02.0576568984 -05 23 55.658850144|222.8911871413694 +07.3785782343319|   -1.596 1.213   |10.81    |~                    |    ~     ~          |    1|  549.390   pc  |  -6.6704     +6.6704    |paral   |2020yCat.1350....0G
661  |TYC 4838-2246-1                                                                                          |Star                                  |07 34 49.0798930032 -05 13 09.559765920|222.5872797257515 +07.1969024466158|  -2.860 -3.112   |10.24    |~                    |    ~     ~          |    1|  714.847   pc  | -12.8774    +12.8774    |paral   |2020yCat.1350....0G
662  |TYC 4839-89-1                                                                                            |Star                                  |07 39 47.9006475120 -05 09 44.370371844|223.1304182723117 +08.3154650738159|   -4.071 1.341   |10.37    |~                    |    ~     ~          |    1|  977.708   pc  | -19.4050    +19.4050    |paral   |2020yCat.1350....0G
663  |TYC 4839-143-1                                                                                           |Star                                  |07 40 29.0158952280 -05 17 59.712119448|223.3348266355777 +08.3999441071748|  -3.442 15.741   |10.48    |~                    |    ~     ~          |    1|  352.883   pc  |  -2.6275     +2.6275    |paral   |2020yCat.1350....0G
664  |TYC 4839-337-1                                                                                           |Star                                  |07 37 59.9134133040 -05 26 45.252921300|223.1671350166302 +07.7864880127809|   -4.518 0.605   |10.40    |~                    |    ~     ~          |    1|  821.828   pc  | -17.1552    +17.1552    |paral   |2020yCat.1350....0G
665  |TYC 4839-525-1                                                                                           |Star                                  |07 37 31.2309705624 -05 34 28.172996184|223.2242412277854 +07.6207063065509|  -7.292 -5.608   |10.42    |~                    |    ~     ~          |    1|  577.868   pc  |  -4.8086     +4.8086    |paral   |2020yCat.1350....0G
666  |TYC 4839-597-1                                                                                           |Star                                  |07 41 03.9308523480 -05 07 12.288246672|223.2447853486340 +08.6130215313613|  -11.502 0.121   |10.43    |~                    |    ~     ~          |    1|  310.251   pc  |  -1.5016     +1.5016    |paral   |2020yCat.1350....0G
667  |TYC 4839-1267-1                                                                                          |Star                                  |07 38 04.6922267208 -05 08 46.454479836|222.9104525928867 +07.9463044066665|   -6.502 0.616   |10.53    |~                    |    ~     ~          |    1|  872.220   pc  | -11.1072    +11.1072    |paral   |2020yCat.1350....0G
668  |TYC 4839-1373-1                                                                                          |Star                                  |07 38 03.6179376384 -05 22 34.850080380|223.1127372020542 +07.8330684656286|    2.548 2.150   |10.16    |~                    |    ~     ~          |    1|  467.443   pc  |  -3.0590     +3.0590    |paral   |2020yCat.1350....0G
669  |TYC 4839-2374-1                                                                                          |Star                                  |07 40 30.0487191576 -05 14 16.957273704|223.2819003083394 +08.4331986128611|  -4.670 -1.862   |10.15    |~                    |    ~     ~          |    1| 1696.065   pc  | -42.5742    +42.5742    |paral   |2020yCat.1350....0G
670  |HD 61888                                                                                                 |Star                                  |07 41 14.3561291880 -05 28 35.259294108|223.5823876824808 +08.4810352898117|   -3.027 0.468   |10.10    |B9IV/V               |    ~     ~          |    1|  857.854   pc  | -23.9908    +23.9908    |paral   |2020yCat.1350....0G
671  |TYC 4839-2505-1                                                                                          |Star                                  |07 39 29.4045062640 -05 08 19.138931844|223.0724692809956 +08.2592182779536|  -6.782 -9.985   |10.87    |~                    |    ~     ~          |    1|  212.707   pc  |  -0.8551     +0.8551    |paral   |2020yCat.1350....0G
672  |TYC 4842-17-1                                                                                            |Star                                  |07 32 08.1721296144 -07 19 34.532400756|224.1365066475680 +05.6116003417532|   -3.727 0.763   |10.63    |~                    |    ~     ~          |    1| 1000.901   pc  | -20.8375    +20.8375    |paral   |2020yCat.1350....0G
673  |TYC 4842-36-1                                                                                            |Star                                  |07 33 56.6124451128 -06 24 02.237494140|223.5312421412079 +06.4457116235659|   -6.979 0.461   |10.66    |~                    |    ~     ~          |    1|  549.481   pc  |  -5.8272     +5.8272    |paral   |2020yCat.1350....0G
674  |TYC 4842-175-1                                                                                           |Star                                  |07 34 19.3658210040 -07 19 40.869330240|224.3971205837888 +06.0877776335736|  -11.594 5.512   |10.08    |~                    |    ~     ~          |    1|  426.876   pc  |  -3.1525     +3.1525    |paral   |2020yCat.1350....0G
675  |TYC 4842-239-1                                                                                           |Star                                  |07 36 03.7264575552 -07 24 35.821674540|224.6763901214056 +06.4278069838268|   -4.531 3.352   |10.91    |~                    |    ~     ~          |    1|  807.494   pc  | -20.2786    +20.2786    |paral   |2020yCat.1350....0G
676  |TYC 4842-295-1                                                                                           |Star                                  |07 33 52.4908622784 -07 06 42.019084836|224.1525939962954 +06.0929924792701|  -10.288 0.671   |10.75    |~                    |    ~     ~          |    1|  374.686   pc  |  -3.0324     +3.0324    |paral   |2020yCat.1350....0G
677  |TYC 4842-345-1                                                                                           |Pulsating Variable                    |07 33 22.4448302448 -07 18 38.617248348|224.2693037355659 +05.8890901550329|   -0.457 0.371   |10.41    |~                    |    ~     ~          |    1| 1362.398   pc  | -36.3801    +36.3801    |paral   |2020yCat.1350....0G
678  |TYC 4842-470-1                                                                                           |Star                                  |07 37 01.0824049440 -06 20 58.769027772|223.8517867734846 +07.1419785225888| 13.847 -32.864   |10.65    |~                    |    ~     ~          |    1|  364.299   pc  |  -2.0969     +2.0969    |paral   |2020yCat.1350....0G
679  |TYC 4842-550-1                                                                                           |Star                                  |07 32 22.4208039480 -06 03 49.960040220|223.0468912044792 +06.2616273956612|   0.928 -3.360   |10.90    |~                    |    ~     ~          |    1|  777.242   pc  | -26.5806    +26.5806    |paral   |2020yCat.1350....0G
680  |TYC 4842-665-1                                                                                           |Star                                  |07 32 27.2375232840 -07 03 49.524962148|223.9418721902928 +05.8055363701541| -11.678 -3.169   |10.58    |~                    |    ~     ~          |    1|  412.524   pc  |  -3.1993     +3.1993    |paral   |2020yCat.1350....0G
681  |TYC 4842-905-1                                                                                           |Star                                  |07 30 16.6654889016 -07 02 52.624601052|223.6708958917361 +05.3375207940200|  4.225 -20.924   |10.34    |~                    |    ~     ~          |    1|  428.247   pc  |  -8.9864     +8.9864    |paral   |2020yCat.1350....0G
682  |TYC 4842-910-1                                                                                           |Star                                  |07 36 42.0965092056 -06 30 50.832649224|223.9597635007947 +06.9945170676028|   -1.149 0.080   |10.82    |~                    |    ~     ~          |    1| 1471.021   pc  | -48.2550    +48.2550    |paral   |2020yCat.1350....0G
683  |TYC 4842-917-1                                                                                           |Star                                  |07 30 45.8239860168 -06 57 22.463373420|223.6470416437159 +05.4871483121133|   3.744 -9.948   |10.44    |~                    |    ~     ~          |    1|  588.201   pc  |  -5.5703     +5.5703    |paral   |2020yCat.1350....0G
684  |TYC 4842-1016-1                                                                                          |Star                                  |07 30 28.3636931064 -06 26 45.865594356|223.1610318218187 +05.6646720895816|  -2.483 -1.852   |10.92    |~                    |    ~     ~          |    1| 1254.863   pc  | -40.6267    +40.6267    |paral   |2020yCat.1350....0G
685  |TYC 4842-1219-1                                                                                          |Star                                  |07 31 47.6121290304 -07 09 37.719338004|223.9493540980722 +05.6154271685194|  -5.832 -0.037   |10.46    |~                    |    ~     ~          |    1|  627.038   pc  | -10.3012    +10.3012    |paral   |2020yCat.1350....0G
686  |TYC 4842-1426-1                                                                                          |Star                                  |07 31 29.2914985608 -06 08 48.900876648|223.0158260993259 +06.0284048319781|  -10.364 0.112   |10.89    |~                    |    ~     ~          |    1|  496.376   pc  |  -5.1003     +5.1003    |paral   |2020yCat.1350....0G
687  |TYC 4842-1428-1                                                                                          |Star                                  |07 30 50.1942547224 -06 06 19.716383412|222.9021800409732 +05.9052087014960|  -1.264 -3.479   |10.66    |~                    |    ~     ~          |    1|  769.764   pc  | -12.0877    +12.0877    |paral   |2020yCat.1350....0G
688  |TYC 4842-1471-1                                                                                          |Star                                  |07 34 11.2709713200 -07 00 41.079921012|224.1010191187781 +06.2089813061702|  -0.945 -1.675   |10.59    |~                    |    ~     ~          |    1|  795.418   pc  | -13.0334    +13.0334    |paral   |2020yCat.1350....0G
689  |TYC 4842-1515-1                                                                                          |High Proper Motion Star               |07 36 05.2352177592 -07 00 25.195623660|224.3229375553544 +06.6255301107622|-45.540 -24.229   |10.61    |~                    |    ~     ~          |    1|  177.790   pc  |  -0.4805     +0.4805    |paral   |2020yCat.1350....0G
690  |TYC 4842-1535-1                                                                                          |Star                                  |07 35 13.0962252240 -07 18 10.338703236|224.4812760952941 +06.2949991674494|  -4.133 -3.334   |10.66    |~                    |    ~     ~          |    1|  286.755   pc  | -24.5287    +24.5287    |paral   |2020yCat.1350....0G
691  |TYC 4842-1554-1                                                                                          |Spectroscopic Binary                  |07 36 19.2572133360 -06 28 57.813182724|223.8865886480938 +06.9263275119139|  -1.418 -4.203   |10.58    |~                    |    ~     ~          |    1|  741.290   pc  | -17.4744    +17.4744    |paral   |2020yCat.1350....0G
692  |TYC 4842-1623-1                                                                                          |Star                                  |07 36 35.3036363640 -07 09 49.170827880|224.5212653231628 +06.6600592906519|   4.143 -2.166   |10.24    |~                    |    ~     ~          |    1|  812.810   pc  | -10.3724    +10.3724    |paral   |2020yCat.1350....0G
693  |TYC 4842-1645-1                                                                                          |Star                                  |07 37 28.9470699936 -07 14 43.395065952|224.7002399272228 +06.8158205390302|   2.853 -0.644   |9.95     |~                    |    ~     ~          |    1| 2009.646   pc  | -67.0421    +67.0421    |paral   |2020yCat.1350....0G
694  |TYC 4842-1660-1                                                                                          |Star                                  |07 32 03.8157234984 -05 53 21.476744016|222.8554591792938 +06.2762160809417|   1.854 -6.360   |10.45    |~                    |    ~     ~          |    1|  607.386   pc  | -10.1083    +10.1083    |paral   |2020yCat.1350....0G
695  |TYC 4842-1669-1                                                                                          |Star                                  |07 36 22.1349617088 -07 29 53.527377588|224.7909712200989 +06.4524825473471|   -3.516 0.672   |10.78    |~                    |    ~     ~          |    1|  853.097   pc  | -21.8332    +21.8332    |paral   |2020yCat.1350....0G
696  |GSC 04842-01790                                                                                          |Double or Multiple Star               |07 34 39.275664 -05 52 02.67816        |223.143013581 +06.854188261        |     -21.0 32.4   |10.668   |~                    |    ~     ~          |    0|                |                         |        |                   
697  |TYC 4842-1932-1                                                                                          |Star                                  |07 33 08.7672750288 -05 58 12.545247108|223.0552311267000 +06.4751636767938|  -1.574 -3.925   |10.96    |~                    |    ~     ~          |    1|  863.260   pc  | -14.9043    +14.9043    |paral   |2020yCat.1350....0G
698  |GSC 04842-02007                                                                                          |Double or Multiple Star               |07 33 56.454288 -07 10 21.94608        |224.214476681 +06.078357970        |       -1.7 2.9   |10.666   |~                    |    ~     ~          |    0|                |                         |        |                   
699  |TYC 4842-2012-1                                                                                          |Star                                  |07 36 00.2202696912 -06 04 41.776991796|223.4903722847338 +07.0493563114816|  -2.515 -2.081   |10.94    |~                    |    ~     ~          |    1|  720.669   pc  |  -9.3485     +9.3485    |paral   |2020yCat.1350....0G
700  |TYC 4842-2026-1                                                                                          |High Proper Motion Star               |07 34 08.8506137232 -05 53 42.771854688|223.1074863560136 +06.7299679748593| 11.435 -53.299   |10.30    |~                    |    ~     ~          |    1|   96.812   pc  |  -0.1500     +0.1500    |paral   |2020yCat.1350....0G
701  |TYC 4842-2038-1                                                                                          |Star                                  |07 36 50.1158428632 -05 52 44.577618888|223.4127634271609 +07.3259667077648|   1.127 -1.739   |10.5     |~                    |    ~     ~          |    1|  804.570   pc  | -10.8105    +10.8105    |paral   |2020yCat.1350....0G
702  |TYC 4842-2041-1                                                                                          |Star                                  |07 33 27.2826736032 -06 48 10.134054900|223.8294437769406 +06.1479827155516|   0.956 -2.122   |10.72    |~                    |    ~     ~          |    1|  566.316   pc  |  -6.2218     +6.2218    |paral   |2020yCat.1350....0G
703  |TYC 4842-2058-1                                                                                          |Star                                  |07 36 21.7524096192 -06 03 45.506746908|223.5192467313157 +07.1352775586081|  -10.894 5.800   |10.81    |~                    |    ~     ~          |    1|  274.115   pc  |  -1.3901     +1.3901    |paral   |2020yCat.1350....0G
704  |TYC 4842-2153-1                                                                                          |Star                                  |07 32 10.5041994168 -06 46 43.107487284|223.6565435453150 +05.8797854154762|   -2.611 1.440   |10.99    |~                    |    ~     ~          |    1| 1280.082   pc  | -33.5915    +33.5915    |paral   |2020yCat.1350....0G
705  |TYC 4842-2198-1                                                                                          |Star                                  |07 30 08.8732902696 -05 40 34.217705424|222.4403740751922 +05.9566441159384|  -1.312 -0.646   |10.96    |~                    |    ~     ~          |    1| 1567.152   pc  | -49.6105    +49.6105    |paral   |2020yCat.1350....0G
706  |TYC 4842-2239-1                                                                                          |Star                                  |07 36 14.2823865696 -06 49 29.528299740|224.1796969394667 +06.7452460463490|  -11.366 2.778   |10.76    |~                    |    ~     ~          |    1|  346.081   pc  |  -1.5570     +1.5570    |paral   |2020yCat.1350....0G
707  |TYC 4842-2243-1                                                                                          |Star                                  |07 36 41.1063798048 -06 48 47.455470108|224.2226314958507 +06.8483707434884| -15.273 19.111   |10.66    |~                    |    ~     ~          |    1|  268.731   pc  |  -0.9388     +0.9388    |paral   |2020yCat.1350....0G
708  |TYC 4842-2282-1                                                                                          |Star                                  |07 33 05.4523714056 -06 16 28.103538072|223.3184121933823 +06.3189716571041|  -5.632 -6.860   |10.54    |~                    |    ~     ~          |    1|  555.155   pc  |  -5.9174     +5.9174    |paral   |2020yCat.1350....0G
709  |TYC 4842-2403-1                                                                                          |Star                                  |07 31 55.0358777976 -06 45 25.323954804|223.6069346955490 +05.8336582493083|  -0.277 -4.977   |10.02    |~                    |    ~     ~          |    1|  679.995   pc  |  -6.2423     +6.2423    |paral   |2020yCat.1350....0G
