C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
23   |BD-00 1755                                                                                               |Star                                  |07 33 26.1404381640 -01 10 23.161089720|218.8150288713680 +08.7897785737062|   -3.540 2.471   |9.12     |F5                   |    ~     ~          |    1|  441.696   pc  |  -6.5747     +6.5747    |paral   |2020yCat.1350....0G
24   |BD-00 1757                                                                                               |Star                                  |07 34 16.5631448712 -01 00 31.645781460|218.7665465825878 +09.0521283849330|  -0.273 -6.758   |8.91     |K0                   |    ~     ~          |    1|  508.751   pc  |  -4.7624     +4.7624    |paral   |2020yCat.1350....0G
25   |BD-00 1761                                                                                               |Star                                  |07 35 16.4425951056 -01 10 34.898575260|219.0342766838613 +09.1950586512799|   1.150 -5.861   |9.84     |K0                   |    ~     ~          |    1| 1013.479   pc  | -17.1532    +17.1532    |paral   |2020yCat.1350....0G
26   |BD-00 1762                                                                                               |Star                                  |07 35 14.7678766008 -01 17 24.109094724|219.1328939214064 +09.1359753029732|   -2.337 0.433   |9.26     |K2                   |    ~     ~          |    1|  803.859   pc  |  -9.6282     +9.6282    |paral   |2020yCat.1350....0G
27   |BD-00 1763                                                                                               |Star                                  |07 35 50.4607302648 -00 39 21.383369388|218.6340347630778 +09.5624611481045|  -5.684 -1.885   |10.10    |F8                   |    ~     ~          |    1| 1765.225   pc  | -47.3635    +47.3635    |paral   |2020yCat.1350....0G
28   |BD-00 1764                                                                                               |Star                                  |07 35 56.0269820400 -01 17 11.653684188|219.2108790288492 +09.2896805615500|  -2.627 -4.556   |9.88     |K0                   |    ~     ~          |    0|                |                         |        |                   
29   |BD-00 1765                                                                                               |Star                                  |07 36 11.2805935992 -00 31 49.503228456|218.5621219918984 +09.6975676530783|  4.231 -16.109   |9.10     |F0                   |    ~     ~          |    1|  221.200   pc  |  -0.8220     +0.8220    |paral   |2020yCat.1350....0G
30   |TYC 4830-2364-1                                                                                          |Star                                  |07 36 17.3676959856 -00 48 36.024429384|218.8252122002050 +09.5901461162986| -5.010 -13.219   |9.81     |A5                   |    ~     ~          |    1|  351.543   pc  |  -2.1256     +2.1256    |paral   |2020yCat.1350....0G
31   |HD 61039                                                                                                 |Star                                  |07 37 12.4980644016 -01 11 55.441689180|219.2825741830159 +09.6124663919364|-38.754 -16.853   |8.12     |K0III                |    ~     ~          |    1|  257.354   pc  |  -1.7816     +1.7816    |paral   |2020yCat.1350....0G
32   |HD 61080                                                                                                 |High Proper Motion Star               |07 37 31.6911640632 -00 59 29.719070412|219.1344278324870 +09.7797308973324| -3.130 -53.947   |9.00     |F2V                  |    ~     ~          |    1|  149.710   pc  |  -0.4102     +0.4102    |paral   |2020yCat.1350....0G
33   |TYC 4831-314-1                                                                                           |Star                                  |07 37 56.5584167712 -01 00 37.371565044|219.2002836842768 +09.8626455462794| -6.674 -13.059   |10.00    |K2                   |    ~     ~          |    1|  699.839   pc  |  -7.4936     +7.4936    |paral   |2020yCat.1350....0G
34   |BD-00 1771                                                                                               |Star                                  |07 38 01.3343714496 -01 09 07.517116296|219.3369373625812 +09.8141918477570|  -1.968 -4.240   |9.87     |K0                   |    ~     ~          |    1| 1010.509   pc  | -17.3592    +17.3592    |paral   |2020yCat.1350....0G
35   |BD-00 1775                                                                                               |Star                                  |07 39 06.0885435000 -00 41 38.676091020|219.0530545085339 +10.2663118826670|   3.437 -2.056   |8.73     |M0                   |    ~     ~          |    1|  980.296   pc  | -23.1596    +23.1596    |paral   |2020yCat.1350....0G
36   |BD-00 1777                                                                                               |Star                                  |07 39 13.2756058152 -00 45 10.205813052|219.1200697777865 +10.2654446691581|   0.656 -0.911   |9.47     |K0                   |    ~     ~          |    1|  550.812   pc  |  -4.1868     +4.1868    |paral   |2020yCat.1350....0G
37   |HD 61481                                                                                                 |Star                                  |07 39 29.0183909736 -01 09 09.859937940|219.5105820941440 +10.1369603769101|  -11.780 4.162   |8.84     |A5/7IV               |    ~     ~          |    1|  340.078   pc  |  -4.6261     +4.6261    |paral   |2020yCat.1350....0G
38   |BD-00 1780                                                                                               |Star                                  |07 39 35.5683130680 -01 17 42.967912704|219.6515438057476 +10.0945099715430|  -8.415 10.046   |9.14     |K0                   |    ~     ~          |    1|  549.239   pc  |  -5.3696     +5.3696    |paral   |2020yCat.1350....0G
39   |HD 61647                                                                                                 |Star                                  |07 40 17.6342182032 -00 49 26.969988756|219.3112748369726 +10.4694258537518|  -8.297 -4.457   |9.03     |A0V                  |    ~     ~          |    1|  412.099   pc  |  -4.9249     +4.9249    |paral   |2020yCat.1350....0G
40   |BD-00 1784                                                                                               |High Proper Motion Star               |07 40 34.6510099896 -01 10 38.927402688|219.6626113890584 +10.3671470056428|-70.822 114.667   |9.04     |G0                   |    ~     ~          |    1|   88.413   pc  |  -0.1313     +0.1313    |paral   |2020yCat.1350....0G
41   |BD-00 1785                                                                                               |Eclipsing Binary                      |07 40 41.1094142616 -01 08 56.874745320|219.6499175031917 +10.4041815747368|  -7.308 -3.231   |9.54     |A5                   |    ~     ~          |    1|  423.101   pc  |  -3.5266     +3.5266    |paral   |2020yCat.1350....0G
42   |BD-00 1786                                                                                               |Star                                  |07 40 55.0261249848 -00 42 08.338471308|219.2755436982978 +10.6640560626963|  -2.416 -2.726   |8.62     |K5                   |    ~     ~          |    1| 1089.681   pc  | -23.7481    +23.7481    |paral   |2020yCat.1350....0G
43   |BD-01 1753                                                                                               |Star                                  |07 32 33.3941929008 -01 46 30.498506688|219.2506335827981 +08.3152626503197| -3.461 -48.467   |9.58     |A0                   |    ~     ~          |    1|  147.078   pc  |  -0.3375     +0.3375    |paral   |2020yCat.1350....0G
