C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
701 |* 29 Cam                                                                                                 |Star                           |05 50 33.8732896416 +56 55 08.177769264|155.9309579858966 +14.7470849024976| -19.646 -3.959  |6.590    |A4IV-V           |    ~     ~    
702 |BD+56 1065B                                                                                              |Star                           |05 50 36.4045431264 +56 54 51.871993452|155.9378542696425 +14.7501152697368|   2.627 -0.382  |10.42    |~                |    ~     ~    
703 |HD 237426                                                                                                |Star                           |05 50 59.4280164120 +56 22 19.658673084|156.4605945231911 +14.5474564506031|  3.036 -13.866  |9.63     |G0               |    ~     ~    
704 |HD 237428                                                                                                |Double or Multiple Star        |05 51 10.2424 +56 23 20.823            |156.4568716 +14.5774249            |     -2.3 -19.4  |8.96     |G0               |    ~     ~    
705 |HD 39166                                                                                                 |Spectroscopic Binary           |05 54 03.4598147184 +57 02 43.917597456|156.0380101318617 +15.2284993976449|  6.248 -37.455  |7.55     |F0               |    ~     ~    
706 |HD 39584                                                                                                 |Star                           |05 57 08.1735554280 +56 59 04.640724888|156.2877110981965 +15.5768132730140|    2.361 1.299  |8.40     |A0               |    ~     ~    
707 |BD+56 1081                                                                                               |Star                           |05 58 47.7286613760 +56 38 28.457356632|156.7114686440928 +15.6305574305119|  9.146 -11.972  |10.18    |K2               |    ~     ~    
708 |IRAS 05437+5621                                                                                          |Long-Period Variable           |05 47 56.5893241536 +56 22 49.069530768|156.2506462196272 +14.1777827884913|    1.704 1.622  |10.96    |~                |    ~     ~    
709 |IRAS 05478+5822                                                                                          |Star                           |05 52 13.3838803824 +58 23 06.835301736|154.6821703726906 +15.6111999694721|   2.967 -6.587  |10.25    |~                |    ~     ~    
710 |TYC 3754-117-1                                                                                           |Star                           |05 47 37.4957192088 +56 14 38.804310204|156.3531919057562 +14.0748057298719|  -1.931 -6.236  |10.48    |~                |    ~     ~    
711 |TYC 3757-523-1                                                                                           |Star                           |05 46 36.1657800864 +57 07 23.483092404|155.4849813734066 +14.3649298740443|   6.509 -2.307  |10.46    |~                |    ~     ~    
712 |TYC 3757-977-1                                                                                           |Star                           |05 45 20.6740925448 +57 07 40.743679872|155.3973276514165 +14.2167442072790|  -1.141 -2.296  |10.30    |~                |    ~     ~    
713 |TYC 3757-1154-1                                                                                          |Star                           |05 46 29.4234532992 +57 01 17.229728352|155.5701704640094 +14.3035192038127|   0.017 -5.981  |10.53    |~                |    ~     ~    
714 |TYC 3757-1347-1                                                                                          |Star                           |05 46 05.8458004536 +56 22 21.466243704|156.1332300696994 +13.9489346786020|    1.170 2.166  |10.40    |~                |    ~     ~    
715 |TYC 3757-1354-1                                                                                          |High Proper Motion Star        |05 45 46.6189402248 +56 38 01.695439140|155.8747278749242 +14.0340812022973| -54.056 -3.223  |10.95    |~                |    ~     ~    
716 |TYC 3757-1373-1                                                                                          |Star                           |05 46 11.3291486736 +56 38 00.489260328|155.9027255567393 +14.0837709186613|  -2.779 -8.886  |10.82    |~                |    ~     ~    
717 |TYC 3758-10-1                                                                                            |Red Giant Branch star Candidate|05 59 33.2571454320 +57 14 06.423460152|156.2019997775203 +15.9814162108528|  1.831 -13.360  |9.89     |~                |    ~     ~    
718 |TYC 3758-162-1                                                                                           |Star                           |05 52 02.0031923232 +56 46 26.499070092|156.1593122324205 +14.8592724250561|  5.196 -37.470  |10.04    |~                |    ~     ~    
719 |TYC 3758-393-1                                                                                           |Star                           |05 56 47.6237045832 +57 46 44.758805304|155.5249584782290 +15.8838912146999|   9.072 -1.618  |10.53    |~                |    ~     ~    
720 |TYC 3758-441-1                                                                                           |Star                           |05 58 25.9313260584 +58 05 26.623249152|155.3312234827504 +16.2151538280092|   -5.280 0.469  |9.74     |~                |    ~     ~    
721 |TYC 3758-553-1                                                                                           |Star                           |05 51 59.0474286720 +57 45 06.990814512|155.2538761213378 +15.2974860320998|-11.024 -19.424  |10.39    |~                |    ~     ~    
722 |TYC 3758-662-1                                                                                           |Star                           |05 48 40.7705159760 +57 15 37.078040700|155.4956474273915 +14.6777034585095|  1.240 -11.355  |10.02    |~                |    ~     ~    
723 |TYC 3758-717-1                                                                                           |Star                           |05 52 36.2994263400 +57 42 01.188589032|155.3404292103992 +15.3481283993076| -8.400 -19.224  |10.54    |~                |    ~     ~    
724 |TYC 3758-834-1                                                                                           |High Proper Motion Star        |05 55 21.5096640000 +57 05 57.629842980|156.0699832679279 +15.4106918931728| 50.748 -20.689  |10.61    |~                |    ~     ~    
725 |TYC 3758-869-1                                                                                           |Star                           |05 55 43.7889911640 +57 52 05.565463356|155.3770861727106 +15.7957668003210| 13.088 -26.560  |9.96     |~                |    ~     ~    
726 |TYC 3758-889-1                                                                                           |Spectroscopic Binary           |05 55 23.2062909960 +58 00 28.031569920|155.2260246829912 +15.8164278493878|  -0.192 30.554  |9.64     |~                |    ~     ~    
727 |TYC 3758-902-1                                                                                           |Star                           |05 48 57.5930711616 +56 53 04.726081536|155.8577259132132 +14.5369747203436|  -4.761 -1.857  |10.43    |~                |    ~     ~    
728 |TYC 3758-962-1                                                                                           |Star                           |05 56 18.0691856088 +56 48 28.730992536|156.3999651694348 +15.3965352496605|  -4.525 -4.641  |10.80    |~                |    ~     ~    
729 |TYC 3758-966-1                                                                                           |Star                           |05 57 48.1173851064 +56 55 28.076600352|156.3851887874625 +15.6319601698086|    3.679 0.829  |10.56    |~                |    ~     ~    
730 |TYC 3758-1018-1                                                                                          |Star                           |05 51 13.4429233032 +56 49 35.996207376|156.0585044067443 +14.7847876827705| -8.251 -32.291  |9.41     |~                |    ~     ~    
731 |TYC 3758-1272-1                                                                                          |Star                           |05 52 44.0772212808 +57 03 34.345017072|155.9410421760321 +15.0742385144505|   0.416 -9.222  |10.53    |~                |    ~     ~    
732 |TYC 3758-1300-1                                                                                          |High Proper Motion Star        |05 52 47.3061465792 +56 49 36.603854112|156.1592746048345 +14.9753390090557| -0.622 -53.275  |10.50    |~                |    ~     ~    
733 |TYC 3758-1425-1                                                                                          |Star                           |05 48 24.3282134952 +57 25 58.421471160|155.3198657947274 +14.7251000945109|  -1.434 -1.387  |10.58    |~                |    ~     ~    
734 |TYC 3758-1480-1                                                                                          |Star                           |05 48 54.4661429136 +56 43 55.928893692|155.9936953069026 +14.4597671359620|  -2.929 -9.314  |9.82     |~                |    ~     ~    
735 |TYC 3758-1549-1                                                                                          |Star                           |05 57 26.2783852584 +57 25 18.090410448|155.8982962757902 +15.8051709061445| -0.321 -28.906  |10.47    |~                |    ~     ~    
736 |TYC 3758-1617-1                                                                                          |Star                           |05 57 00.4436705376 +57 30 51.615103572|155.7853949534278 +15.7936609041497|    6.723 0.970  |9.55     |~                |    ~     ~    
737 |TYC 3758-1636-1                                                                                          |Star                           |05 48 19.9758301008 +56 46 39.598633452|155.9142382496640 +14.4112603725919| 20.763 -25.447  |10.65    |~                |    ~     ~    
738 |TYC 3758-1686-1                                                                                          |Star                           |05 54 22.8665531040 +56 57 47.949611760|156.1346340970241 +15.2309847302877|   -1.507 2.125  |10.79    |~                |    ~     ~    
739 |TYC 3758-1748-1                                                                                          |Star                           |05 48 36.0762505632 +56 44 47.203575036|155.9604655577671 +14.4292151534190|  8.933 -10.114  |9.97     |~                |    ~     ~    
740 |TYC 3758-1761-1                                                                                          |Star                           |05 49 28.8664691208 +57 36 11.899415880|155.2326569842933 +14.9319516369021|  7.635 -25.945  |10.60    |~                |    ~     ~    
741 |TYC 3758-1834-1                                                                                          |Star                           |05 57 23.2620355104 +57 04 06.388214484|156.2251305798655 +15.6443677761989| -0.106 -10.542  |10.11    |~                |    ~     ~    
742 |TYC 3758-1968-1                                                                                          |Star                           |05 47 19.0411723488 +57 27 32.841892944|155.2253710597949 +14.6078082473673|  -0.246 -6.098  |9.87     |~                |    ~     ~    
743 |TYC 3758-2078-1                                                                                          |High Proper Motion Star        |05 56 00.8870740200 +57 22 46.393107168|155.8501263028905 +15.6144609423460|-33.718 -83.307  |10.27    |~                |    ~     ~    
744 |TYC 3758-2162-1                                                                                          |Star                           |05 49 32.1859375176 +57 20 35.064283704|155.4751503624383 +14.8186014032752|  5.606 -10.287  |9.84     |~                |    ~     ~    
745 |TYC 3758-2191-1                                                                                          |Star                           |05 52 05.6673359904 +57 22 37.947248832|155.6070512693874 +15.1409363739644| -1.200 -11.974  |10.28    |~                |    ~     ~    
746 |TYC 3758-2210-1                                                                                          |Star                           |05 57 24.6196035240 +57 19 43.599832572|155.9834331283675 +15.7611837425266|   -1.087 3.048  |10.70    |~                |    ~     ~    
747 |TYC 3758-2230-1                                                                                          |Star                           |05 53 31.7415769320 +56 33 19.831415472|156.4573287088524 +14.9431181044402|   8.434 -2.377  |10.96    |~                |    ~     ~    
748 |TYC 3758-2249-1                                                                                          |Star                           |05 51 28.5766380768 +56 39 51.344614368|156.2241757146091 +14.7411335010114| -31.066 -5.949  |10.60    |~                |    ~     ~    
749 |TYC 3758-2253-1                                                                                          |Star                           |05 51 09.8220882072 +56 35 19.446372276|156.2731852171759 +14.6682977408054|   1.195 -2.414  |9.40     |~                |    ~     ~    
750 |TYC 3758-2268-1                                                                                          |High Proper Motion Star        |05 47 04.9321332072 +56 30 40.715695404|156.0736915239604 +14.1344521800973|17.347 -111.116  |10.48    |~                |    ~     ~    
751 |TYC 3758-2323-1                                                                                          |Star                           |05 56 00.8775963984 +56 32 49.732350792|156.6241904093520 +15.2454872380776|  2.731 -13.119  |10.83    |~                |    ~     ~    
752 |TYC 3758-2351-1                                                                                          |Star                           |05 52 11.5484702784 +56 18 07.445049084|156.6039007666256 +14.6633137752219|   1.207 -1.599  |10.60    |~                |    ~     ~    
753 |TYC 3758-2362-1                                                                                          |High Proper Motion Star        |05 49 29.6476355016 +56 33 53.485994664|156.1853936184310 +14.4533382881191|  3.558 -54.078  |10.75    |~                |    ~     ~    
754 |TYC 3758-2393-1                                                                                          |Star                           |05 46 50.0736846744 +56 39 42.912999972|155.9201452792736 +14.1754308022087|  3.294 -16.233  |10.88    |~                |    ~     ~    
755 |TYC 3758-2410-1                                                                                          |Star                           |05 52 24.4800481392 +56 25 49.897248600|156.4998329644992 +14.7485205245819|   6.334 -5.463  |10.05    |~                |    ~     ~    
756 |IRAS 05489+5640                                                                                          |Star                           |05 53 09.6901697520 +56 41 21.111169596|156.3102587757909 +14.9585433628620|  -3.338 -5.492  |9.68     |~                |    ~     ~    
757 |TYC 3758-2445-1                                                                                          |Star                           |05 53 14.0457271680 +56 37 56.783546076|156.3673110779681 +14.9417332910273|   1.273 -8.439  |10.31    |~                |    ~     ~    
758 |TYC 3758-2449-1                                                                                          |Star                           |05 53 58.4603392824 +56 21 03.760784316|156.6748616511690 +14.9055869031045|   -0.023 2.479  |10.34    |~                |    ~     ~    
759 |TYC 3758-2453-1                                                                                          |Star                           |05 56 04.6170160320 +56 19 22.707210036|156.8361756007011 +15.1534043035001|  9.353 -16.017  |10.96    |~                |    ~     ~    
760 |TYC 3758-2458-1                                                                                          |Star                           |05 48 45.9279274200 +56 22 24.403400940|156.3118837933466 +14.2751560678195|   5.576 -6.787  |10.31    |~                |    ~     ~    
761 |TYC 3758-2468-1                                                                                          |High Proper Motion Star        |05 54 50.9350491288 +56 15 55.063261836|156.8106498076600 +14.9752345381264|  66.879 13.265  |10.40    |~                |    ~     ~    
762 |TYC 3758-2482-1                                                                                          |Star                           |05 50 00.7382900228 +56 33 46.690407189|156.2212898863871 +14.5157138068885|  -2.520 -5.571  |9.82     |~                |    ~     ~    
763 |TYC 3761-44-1                                                                                            |Star                           |05 45 24.6258154104 +58 53 49.309799568|153.7890818580669 +15.0583957799100|   2.787 -0.893  |10.40    |~                |    ~     ~    
764 |TYC 3761-558-1                                                                                           |Star                           |05 45 36.9663327072 +58 08 35.396467584|154.4909921811266 +14.7283909910168|  -0.931 -1.162  |9.43     |~                |    ~     ~    
765 |TYC 3761-863-1                                                                                           |Star                           |05 46 15.2158883760 +58 56 26.682177876|153.8016524684727 +15.1750397163023|  -0.522 -6.496  |9.96     |~                |    ~     ~    
766 |TYC 3762-72-1                                                                                            |Star                           |05 56 39.1905588312 +59 02 17.056588164|154.3366201266051 +16.4153676514527| -2.122 -35.070  |10.94    |~                |    ~     ~    
767 |TYC 3762-104-1                                                                                           |Star                           |05 55 07.7746153824 +58 56 50.597565108|154.3326396791483 +16.1992411581345|   6.301 -8.387  |10.86    |~                |    ~     ~    
768 |TYC 3762-150-1                                                                                           |Star                           |05 58 13.0391841408 +58 55 36.994632240|154.5317208080520 +16.5493513137303|   5.979 -8.571  |10.17    |~                |    ~     ~    
769 |TYC 3762-358-1                                                                                           |Star                           |05 50 19.2571842816 +58 55 00.643996380|154.0736491241656 +15.6302443447041|  -9.015 -2.335  |10.86    |~                |    ~     ~    
770 |TYC 3762-654-1                                                                                           |Star                           |05 56 22.8176903328 +58 52 08.706934884|154.4794091869596 +16.3103743190212| -0.987 -12.539  |10.62    |~                |    ~     ~    
771 |TYC 3762-788-1                                                                                           |Star                           |05 58 12.5395818600 +58 24 13.444905744|155.0238227764400 +16.3235808675041|   0.272 -2.970  |9.97     |~                |    ~     ~    
772 |TYC 3762-1102-1                                                                                          |Star                           |05 46 54.1002622752 +58 46 50.020937904|153.9889548939202 +15.1747860529377|  -1.305 -2.927  |10.9     |~                |    ~     ~    
773 |TYC 3762-1250-1                                                                                          |Star                           |05 56 57.8790781320 +58 50 02.346203508|154.5465159723368 +16.3632437458789| -8.455 -26.625  |10.66    |~                |    ~     ~    
774 |TYC 3762-1554-1                                                                                          |Chemically Peculiar Star       |05 49 21.5302062384 +58 45 43.041461040|154.1580739416031 +15.4489579480506|   -1.694 0.289  |10.07    |A3mF2            |    ~     ~    
775 |TYC 3762-1608-1                                                                                          |Star                           |05 59 22.3747008192 +59 03 07.896895092|154.4797261424436 +16.7373907912492|   2.475 -2.799  |10.44    |~                |    ~     ~    
776 |TYC 3762-1734-1                                                                                          |Star                           |05 49 43.6885047672 +58 36 47.248466220|154.3181778928369 +15.4237428143891|  1.232 -11.635  |10.39    |~                |    ~     ~    
777 |TYC 3762-1860-1                                                                                          |Star                           |05 58 52.9789937016 +58 50 08.747909016|154.6560878189959 +16.5880981450795|    2.889 2.779  |10.65    |~                |    ~     ~    
778 |TYC 3762-1884-1                                                                                          |Star                           |05 57 28.1466038448 +58 16 27.247423620|155.1017602678797 +16.1800610185116|   1.041 -4.994  |10.23    |~                |    ~     ~    
779 |TYC 3762-1896-1                                                                                          |Star                           |05 57 03.7801339128 +58 46 07.706043012|154.6134957767089 +16.3465166348492| -5.978 -19.369  |10.69    |~                |    ~     ~    
780 |TYC 3762-1997-1                                                                                          |Star                           |05 54 26.6662676376 +58 31 34.028062932|154.6856243352440 +15.9340717931553|  -1.079 -3.336  |10.46    |~                |    ~     ~    
781 |TYC 3762-2023-1                                                                                          |Star                           |05 50 06.1583596680 +58 30 32.252668344|154.4374471120805 +15.4197506401278|  -5.795 -6.781  |10.70    |~                |    ~     ~    
782 |TYC 3762-2039-1                                                                                          |Star                           |05 57 14.9716801536 +58 16 01.986331944|155.0952993499936 +16.1510058822827|   1.199 -9.534  |10.37    |~                |    ~     ~    
783 |TYC 3762-2139-1                                                                                          |Star                           |05 47 48.0044589696 +58 28 25.591607076|154.3267535184731 +15.1363019411182|  0.470 -12.942  |10.29    |~                |    ~     ~    
784 |TYC 3762-2231-1                                                                                          |Star                           |05 50 13.3125848328 +58 45 40.835844000|154.2115021761157 +15.5483040758109|   13.595 0.324  |9.87     |~                |    ~     ~    
785 |TYC 3762-2253-1                                                                                          |High Proper Motion Star        |05 57 52.7508888456 +58 13 05.935523448|155.1785760704340 +16.2044751225758| 48.065 -44.055  |10.35    |~                |    ~     ~    
786 |TYC 3762-2292-1                                                                                          |Star                           |05 57 54.4779010344 +58 13 59.789505468|155.1662359942143 +16.2143610299840|  -4.737 -3.248  |9.99     |~                |    ~     ~    
787 |TYC 3762-2323-1                                                                                          |Star                           |05 49 41.3658501120 +58 29 20.592745656|154.4302969148463 +15.3626350224130| -8.280 -26.566  |10.85    |~                |    ~     ~    
788 |TYC 3762-2358-1                                                                                          |Star                           |05 51 17.0847408480 +58 23 39.360739200|154.6162795008343 +15.5055136414414|  -4.210 10.587  |10.96    |~                |    ~     ~    
789 |TYC 3762-2434-1                                                                                          |Star                           |05 47 36.9613981272 +58 10 42.624758100|154.5861420122735 +14.9781070484150|  0.878 -32.534  |10.23    |~                |    ~     ~    
790 |TYC 3762-2446-1                                                                                          |Star                           |05 56 29.4404768976 +58 13 12.403434000|155.0941706592107 +16.0406094470588| -14.746 -7.088  |10.94    |~                |    ~     ~    
791 |TYC 3762-2526-1                                                                                          |Star                           |05 59 18.3631248528 +58 09 20.447211708|155.3217974020976 +16.3472414051532|   5.869 -7.602  |10.28    |~                |    ~     ~    
792 |TYC 3762-2559-1                                                                                          |Star                           |05 55 59.5460022648 +58 09 19.869788556|155.1246890737658 +15.9533005424205|   2.166 -0.878  |10.14    |~                |    ~     ~    
793 |GSC 03762-02599                                                                                          |Double or Multiple Star        |05 52 37.8330761448 +58 36 44.830998432|154.4959703991802 +15.7606209461123|  -1.521 -1.262  |10.486   |~                |    ~     ~    
794 |TYC 3762-832-1                                                                                           |Star                           |05 54 57.7691563248 +58 53 19.482681876|154.3776938254336 +16.1541866271406|   -3.260 0.912  |9.87     |~                |    ~     ~    
795 |* 26 Cam                                                                                                 |High Proper Motion Star        |05 46 30.3898557096 +56 06 56.072459988|156.3940970396821 +13.8769030581221| 19.542 -58.818  |5.927    |A4Vn             |    ~     ~    
796 |HD 38197                                                                                                 |High Proper Motion Star        |05 47 17.5366874736 +55 38 51.770586444|156.8720818719397 +13.7520348665557|-17.518 -64.693  |7.95     |K0               |    ~     ~    
797 |HD 237420                                                                                                |Spectroscopic Binary           |05 47 09.4172914560 +55 39 25.360244424|156.8543089126486 +13.7396511225622|  -5.437 -6.608  |9.72     |F0               |    ~     ~    
798 |HD 37923                                                                                                 |Star                           |05 45 11.9318910600 +54 46 04.760176152|157.5194503213799 +13.0689952888255|  -1.185 -0.436  |8.53     |K5               |    ~     ~    
799 |HD 37995                                                                                                 |Spectroscopic Binary           |05 45 36.1173741984 +54 05 17.181867300|158.1592375727297 +12.7917840469697|  -2.502 -0.959  |7.97     |G5               |    ~     ~    
800 |HD 38006                                                                                                 |Star                           |05 45 47.7852510264 +54 26 09.536597484|157.8607995347232 +12.9846315502293|   2.533 -2.008  |9.38     |A0               |    ~     ~    
801 |BD+54 941                                                                                                |Star                           |05 47 30.9114776616 +54 36 26.687234844|157.8290581280913 +13.2856772388383|  -21.937 2.076  |10.74    |A                |    ~     ~    
802 |HD 38257                                                                                                 |Star                           |05 47 37.1301642864 +54 29 40.779169656|157.9382556686261 +13.2451477201509|-13.359 -13.076  |6.57     |K0               |    ~     ~    
803 |BD+54 943                                                                                                |Star                           |05 47 42.2563826424 +54 37 13.258211880|157.8307673562673 +13.3159079139314|  6.739 -21.410  |10.91    |F                |    ~     ~    
804 |HD 233160                                                                                                |Star                           |05 46 26.8269385344 +53 47 49.449378156|158.4821399261533 +12.7601356192297|   1.367 -5.094  |10.50    |A0               |    ~     ~    
805 |HD 233163                                                                                                |High Proper Motion Star        |05 48 32.7035913720 +53 48 19.067353272|158.6270007831128 +13.0359558441822| 63.888 -28.756  |9.60     |F5               |    ~     ~    
806 |HD 233164                                                                                                |Star                           |05 48 36.5654051208 +53 47 17.388339252|158.6471106192848 +13.0361563153927|  -1.793 -3.647  |9.14     |K0               |    ~     ~    
807 |HD 237429                                                                                                |Star                           |05 51 30.9305115816 +56 05 19.038243948|156.7552766801879 +14.4817613463641|  -0.603 -3.198  |9.12     |G5               |    ~     ~    
808 |HD 38925                                                                                                 |High Proper Motion Star        |05 52 31.5068961792 +56 04 30.565188768|156.8343467439163 +14.6007562793310|-28.421 -41.776  |8.26     |G5               |    ~     ~    
809 |HD 39221                                                                                                 |Star                           |05 54 23.5594360656 +56 12 47.247716520|156.8293309775903 +14.8951460269865|-27.032 -36.180  |8.47     |G5               |    ~     ~    
810 |HD 237436                                                                                                |Star                           |05 54 51.2499100728 +56 03 00.078470316|157.0099737769882 +14.8790606842940| -0.933 -25.511  |10.44    |G0               |    ~     ~    
811 |HD 38419                                                                                                 |Star                           |05 48 54.2509777704 +55 35 10.089701592|157.0385369245256 +13.9236667847713|  -3.033 -1.533  |9.07     |A0               |    ~     ~    
812 |HD 237423                                                                                                |Spectroscopic Binary           |05 49 13.8215287704 +55 07 31.699290180|157.4798095536853 +13.7482393380998|  -3.774 11.337  |9.64     |K5               |    ~     ~    
813 |HD 38793                                                                                                 |Spectroscopic Binary           |05 51 29.2030939752 +55 15 40.989878640|157.5106796206352 +14.0964482685155|  -3.327 -3.805  |7.54     |A0               |    ~     ~    
814 |HD 39075                                                                                                 |Star                           |05 53 25.7165803344 +55 22 35.517170532|157.5362517775979 +14.3946950288468| -11.659 -2.726  |8.58     |K5               |    ~     ~    
815 |HD 237434                                                                                                |Star                           |05 53 57.4149476136 +55 52 24.177545076|157.1142757286656 +14.6872390540472|  -3.058 -5.102  |8.60     |K7               |    ~     ~    
816 |* ksi Aur                                                                                                |Star                           |05 54 50.7669372792 +55 42 25.080150456|157.3261736487447 +14.7233977269124|  -7.049 12.959  |4.960    |A2V              |    ~     ~    
817 |HD 39628                                                                                                 |High Proper Motion Star        |05 57 07.7225535288 +55 56 50.225164656|157.2522652226542 +15.1175921947127|33.127 -112.477  |6.939    |K2IIIb           |    ~     ~    
818 |HD 237437                                                                                                |Star                           |05 57 06.7617908160 +55 28 16.551340176|157.6926484170737 +14.9038795808319| -6.779 -27.023  |9.49     |K7               |    ~     ~    
819 |HD 39696                                                                                                 |Star                           |05 57 26.5393009344 +55 59 23.137505016|157.2329684841861 +15.1757517331140|  -1.380 -0.125  |8.92     |G0               |    ~     ~    
820 |* 33 Cam                                                                                                 |Star                           |05 57 40.5722797968 +55 39 24.107310180|157.5573451731009 +15.0576577153820|    0.056 4.092  |7.15     |A0               |    ~     ~    
821 |HD 39799                                                                                                 |Double or Multiple Star        |05 58 12.7584586 +55 54 25.339426      |157.3592341825 +15.2359562815      |    3.79 -59.86  |7.93     |F8               |0.0050  0.0    
822 |HD 237441                                                                                                |Star                           |05 58 21.7914780792 +55 38 32.968058532|157.6149334414012 +15.1382904437868| -12.381 -4.129  |9.26     |K2               |    ~     ~    
823 |HD 237442                                                                                                |High Proper Motion Star        |05 58 49.1087471616 +55 49 53.244492672|157.4683421965452 +15.2790180169490|-5.171 -106.325  |9.57     |G5               |    ~     ~    
824 |* 34 Cam                                                                                                 |High Proper Motion Star        |05 59 45.8240921256 +55 19 15.074856444|158.0046102819939 +15.1750202942984| -4.808 -89.788  |6.410    |A5m              |    ~     ~    
825 |HD 237443                                                                                                |Star                           |05 59 52.7205210624 +55 12 59.610434760|158.1091651908820 +15.1440129918348|  -2.602 -4.923  |8.79     |K0               |    ~     ~    
826 |HD 233162                                                                                                |Star                           |05 48 33.0943710648 +54 45 38.298024756|157.7635540611143 +13.4902522080456|   3.202 -7.702  |10.14    |K7               |    ~     ~    
827 |HD 38461                                                                                                 |Star                           |05 49 07.8900093288 +54 47 52.066769496|157.7704767579032 +13.5815041177674|  -9.302 -5.235  |9.65     |A                |    ~     ~    
828 |HD 38582                                                                                                 |Star                           |05 49 59.6805241920 +54 03 22.683512484|158.5037728834457 +13.3427697126326|  -1.759 -3.329  |9.55     |A0               |    ~     ~    
829 |HD 38729                                                                                                 |Star                           |05 51 01.9534757448 +54 41 19.995375840|158.0018363763968 +13.7727878348221|  -1.811 -2.670  |8.57     |K5               |    ~     ~    
830 |HD 38996                                                                                                 |Star                           |05 52 37.5911260800 +54 20 31.291064196|158.4287655053984 +13.8165390287316|  0.327 -42.559  |9.23     |F5               |    ~     ~    
831 |HD 233174                                                                                                |Star                           |05 53 21.1984222968 +54 36 08.404404192|158.2409825021271 +14.0302865791475|  -0.160 -7.791  |9.23     |K0               |    ~     ~    
832 |HD 233176                                                                                                |Star                           |05 55 48.7408581180 +54 50 32.512277410|158.1875020005037 +14.4557092258428|   6.210 -3.920  |9.65     |F0               |    ~     ~    
833 |HD 233177                                                                                                |Star                           |05 55 48.0452261280 +54 13 06.290523048|158.7608386433184 +14.1716405266850|  2.220 -16.803  |9.28     |A7               |    ~     ~    
834 |HD 233178                                                                                                |Star                           |05 56 01.0362722472 +54 30 39.587880636|158.5064848023735 +14.3323402911662|   3.234 -0.321  |8.94     |K7               |    ~     ~    
835 |HD 39537                                                                                                 |High Proper Motion Star        |05 56 22.0637308824 +54 16 11.813009700|158.7521578545806 +14.2688258840879|-50.593 -110.241 |7.99     |G0               |    ~     ~    
836 |HD 233179                                                                                                |Star                           |05 56 26.0213234592 +54 26 00.618213552|158.6060523515217 +14.3512914675382|  -0.590 -3.524  |8.89     |K5               |    ~     ~    
837 |HD 39658                                                                                                 |Star                           |05 57 14.6715252984 +54 45 17.743050180|158.3640777264272 +14.6007161348837|   -4.957 1.295  |8.73     |A0               |    ~     ~    
838 |HD 233183                                                                                                |Star                           |05 57 40.0800351192 +54 50 34.391097528|158.3109596230916 +14.6946302272763| -9.248 -17.694  |8.62     |K2               |    ~     ~    
839 |* del Aur                                                                                                |Spectroscopic Binary           |05 59 31.6184193950 +54 17 05.056666306|158.9516527947396 +14.6878212915866|85.814 -142.928  |3.720    |K0IIIb           |    ~     ~    
840 |HD 40083                                                                                                 |Star                           |05 59 47.9476100856 +54 32 49.228101672|158.7264669872141 +14.8392718253285| -1.524 -42.740  |6.129    |K2III            |    ~     ~    
841 |HD 233188                                                                                                |Variable Star                  |05 59 51.5815213056 +54 18 31.531329576|158.9515839681253 +14.7419818902391|   -3.793 2.650  |10.04    |A0               |    ~     ~    
842 |V* V437 Aur                                                                                              |Eclipsing Binary               |05 49 03.0604211424 +54 01 57.034991352|158.4580477935386 +13.2094526247527|  -2.997 -3.327  |8.490    |B9               |    ~     ~    
843 |HD 38720                                                                                                 |Star                           |05 50 50.1345636456 +54 01 57.356201316|158.5849236054304 +13.4405749012809|  -1.390 -3.676  |9.03     |A0               |    ~     ~    
844 |HD 233184                                                                                                |Star                           |05 57 36.4928175432 +54 00 20.412439308|159.0801093936492 +14.3118489247811|  -0.552 -8.949  |9.82     |A0               |    ~     ~    
845 |HD 233167                                                                                                |Star                           |05 49 40.2522224400 +53 30 52.099202736|158.9710150993701 +13.0445677830036| 18.668 -11.468  |9.05     |K0               |    ~     ~    
846 |HD 38747                                                                                                 |Star                           |05 50 56.7387733968 +53 28 57.824253660|159.0916494821822 +13.1966947410687|-13.352 -19.017  |9.45     |F5               |    ~     ~    
847 |HD 38794                                                                                                 |Star                           |05 51 18.0419845320 +53 26 11.676576192|159.1590056407257 +13.2216556280848|-17.566 -18.762  |8.98     |F8               |    ~     ~    
848 |HD 38896                                                                                                 |High Proper Motion Star        |05 51 59.4723628344 +53 48 41.746774104|158.8676005438699 +13.4876160746852|19.825 -120.862  |8.67     |F5               |    ~     ~    
849 |BD+53 958                                                                                                |Star                           |05 53 03.2126109744 +53 55 24.658936824|158.8404970136917 +13.6782895621142| 11.929 -10.922  |9.43     |K2               |    ~     ~    
850 |HD 39270                                                                                                 |Star                           |05 54 34.4911028784 +53 59 16.905280452|158.8876769289320 +13.9066389280663|  -0.300 -2.950  |9.37     |F0               |    ~     ~    
