C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
33  |BD+45 1167                                                                                               |Star                           |05 45 18.0058247472 +45 12 04.103420256|165.9874937910263 +08.3425267108383|  22.442 -8.901  |9.91     |K5III            |    ~     ~    
34  |BD+45 1168                                                                                               |Star                           |05 45 34.2049810728 +45 34 57.316252584|165.6790228709826 +08.5763094092399| 15.532 -16.986  |10.77    |G0V              |    ~     ~    
35  |BD+45 1169                                                                                               |Star                           |05 46 36.7396802208 +45 16 17.620867056|166.0439022345130 +08.5775012676461|   0.814 -1.391  |9.97     |B3V              |    ~     ~    
36  |HD 38287                                                                                                 |Star                           |05 47 02.7740085552 +45 45 27.939817368|165.6570671893068 +08.8873012749414| 16.503 -19.884  |8.75     |A2V              |    ~     ~    
37  |BD+45 1171                                                                                               |Star                           |05 47 05.9634397656 +45 24 02.522568456|165.9744350386635 +08.7163782193711| 20.222 -25.540  |9.41     |F6V              |    ~     ~    
38  |BD+45 1173                                                                                               |Star                           |05 47 14.9543819928 +45 36 53.665863012|165.8001805236561 +08.8464426575259|  3.155 -12.800  |10.87    |K0IV             |    ~     ~    
39  |BD+45 1174                                                                                               |Star                           |05 47 32.2189018152 +45 05 29.608397988|166.2840801415144 +08.6280519791329| 18.508 -34.451  |9.93     |K0III            |    ~     ~    
40  |BD+45 1175                                                                                               |Star                           |05 48 07.0446511056 +45 28 42.631668372|165.9966433403965 +08.9099289283388|  -5.088 -1.588  |9.58     |B7I-III          |    ~     ~    
41  |BD+45 1177                                                                                               |Star                           |05 48 08.6928706560 +45 13 33.273314112|166.2206115465294 +08.7880473994871|  -1.397 -3.008  |10.73    |B9V              |    ~     ~    
42  |TYC 3360-13-1                                                                                            |Star                           |05 46 40.4885081856 +46 31 23.471286456|164.9534904468330 +09.2147876812003| 13.550 -14.131  |9.87     |~                |    ~     ~    
43  |TYC 3360-149-1                                                                                           |Star                           |05 47 07.2405709632 +46 43 42.689728704|164.8119794048569 +09.3836705956121|  4.286 -12.368  |10.29    |~                |    ~     ~    
44  |TYC 3360-313-1                                                                                           |Star                           |05 45 40.9216189488 +46 33 41.110587108|164.8332707541471 +09.0862669798255|  -2.101 -2.301  |10.45    |~                |    ~     ~    
45  |TYC 3360-399-1                                                                                           |Star                           |05 46 43.9253123808 +46 43 07.032458064|164.7869838489397 +09.3210219047791|  -1.283 -4.377  |10.88    |~                |    ~     ~    
46  |TYC 3360-461-1                                                                                           |Star                           |05 46 24.0632154000 +46 01 15.805117884|165.3695053022863 +08.9222070204091|  -0.477 -4.743  |10.73    |~                |    ~     ~    
47  |TYC 3360-636-1                                                                                           |Star                           |05 47 03.8107506864 +45 20 50.908542468|166.0178185794447 +08.6842277142216|   2.024 -0.593  |10.78    |~                |    ~     ~    
48  |TYC 3360-885-1                                                                                           |Star                           |05 46 41.6712519792 +46 15 26.746532676|165.1882489196896 +09.0847096228064|   2.523 -9.476  |10.75    |~                |    ~     ~    
49  |TYC 3360-918-1                                                                                           |Star                           |05 45 44.4021006936 +46 51 57.633201468|164.5715491787998 +09.2478655919275|  -2.761 -7.822  |10.63    |~                |    ~     ~    
50  |TYC 3360-1320-1                                                                                          |Star                           |05 47 12.8091049128 +45 38 18.183713208|165.7764460599294 +08.8527878562962|  -3.211 -3.904  |10.28    |~                |    ~     ~    
51  |TYC 3364-358-1                                                                                           |High Proper Motion Star        |05 45 37.5346214904 +47 31 02.668578888|163.9903786316533 +09.5576319309164|-24.680 -103.951 |10.37    |~                |    ~     ~    
52  |TYC 3364-503-1                                                                                           |Star                           |05 45 12.7647236112 +47 21 38.197805760|164.0924195402937 +09.4186029262676|   1.830 -2.769  |10.83    |~                |    ~     ~    
53  |2MASS J05460704+4655073                                                                                  |Red Giant Branch star          |05 46 07.0466089128 +46 55 07.279316472|164.5581217530159 +09.3300658268554|  4.318 -28.089  |10.43    |~                |    ~     ~    
54  |BD+88 19                                                                                                 |Star                           |05 50 26.5529279448 +88 46 39.826350012|124.2530966970373 +26.8006042755145|  0.343 -11.278  |9.75     |K0               |    ~     ~    
55  |BD+88 23                                                                                                 |Star                           |05 57 41.9584044408 +88 14 34.647505512|124.8450352969689 +26.7070791780933|  0.265 -31.597  |10.74    |F8               |    ~     ~    
56  |BD+87 36                                                                                                 |Star                           |05 52 37.7361229128 +87 54 36.891073188|125.1922166102800 +26.5798126481593| 14.203 -19.593  |10.45    |G0               |    ~     ~    
57  |BD+87 37                                                                                                 |Star                           |05 52 15.7310674272 +87 13 14.597004864|125.9317884298665 +26.3867682095499|  5.688 -30.157  |10.17    |G2               |    ~     ~    
58  |BD+86 70                                                                                                 |Star                           |05 55 07.3177814047 +86 21 48.334343496|126.8632371784005 +26.1890092517163|   6.307 14.068  |9.90     |G8               |    ~     ~    
59  |TYC 4621-450-1                                                                                           |Star                           |05 57 39.1298426232 +85 36 33.759473976|127.6849426825549 +26.0274729507981|  -0.893 18.372  |10.96    |~                |    ~     ~    
60  |TYC 4621-1065-1                                                                                          |Star                           |05 56 01.4619546480 +85 56 31.457114304|127.3193892553749 +26.0886230049353|  -5.097 -7.547  |10.86    |~                |    ~     ~    
61  |BD+84 107                                                                                                |Star                           |05 51 42.3797733192 +84 08 13.799012856|129.2086377200623 +25.4784985419284|    1.116 5.395  |10.25    |G5               |    ~     ~    
62  |BD+84 108                                                                                                |Star                           |05 55 05.7092754120 +84 07 59.976060096|129.2412296411324 +25.5600065374435|   -8.203 3.183  |10.28    |F8               |    ~     ~    
63  |BD+84 109                                                                                                |Star                           |05 58 40.4868998112 +84 06 34.337215332|129.2953149692511 +25.6411704909993|  5.222 -31.472  |10.23    |F8               |    ~     ~    
64  |BD+83 146                                                                                                |Star                           |05 47 12.6979074216 +83 15 33.890064444|130.0861585489198 +25.0835414942241|  17.666 -5.634  |10.31    |G0               |    ~     ~    
65  |BD+83 148                                                                                                |Star                           |05 53 29.4703415880 +83 17 09.526884792|130.1225764115632 +25.2664005334385| 30.232 -38.737  |9.63     |F2               |    ~     ~    
66  |HD 36989                                                                                                 |Star                           |05 55 14.0284055880 +83 36 34.522668252|129.7972964473088 +25.4105019295160| 14.758 -35.040  |8.05     |K0               |    ~     ~    
67  |BD+83 150                                                                                                |Star                           |05 54 21.3999211056 +83 24 50.385532968|129.9959054378024 +25.3288536219931|   -4.894 2.199  |10.50    |A2               |    ~     ~    
68  |BD+83 151                                                                                                |Star                           |05 53 30.3890949936 +83 07 59.474525736|130.2836581491451 +25.2203845946540| -18.249 19.344  |9.82     |F8               |    ~     ~    
69  |BD+83 153                                                                                                |Star                           |05 59 51.3517089936 +83 42 13.062223584|129.7376007612497 +25.5596242744508|  -8.987 17.388  |9.57     |F8               |    ~     ~    
70  |BD+82 147                                                                                                |Star                           |05 50 29.5158424752 +82 40 35.250921444|130.7306894758253 +24.9893138602853|   2.560 -5.171  |9.11     |K0               |    ~     ~    
71  |BD+82 148                                                                                                |Star                           |05 56 20.0069608344 +82 44 20.721200568|130.7279541863738 +25.1849527212415|  0.544 -23.927  |10.00    |F0               |    ~     ~    
72  |BD+82 149                                                                                                |Star                           |05 58 52.2970613112 +82 52 40.433303136|130.6065985161708 +25.3012649905197|   1.742 -3.303  |10.42    |K2               |    ~     ~    
73  |BD+82 151                                                                                                |Star                           |05 59 46.4697849000 +82 38 23.871580116|130.8678500302711 +25.2610493115715|  -2.418 -6.697  |10.16    |A5               |    ~     ~    
74  |AG+81 162                                                                                                |Long-Period Variable Candidate |05 47 03.2533396368 +81 39 29.517043248|131.7463528198227 +24.5421268446310|    2.081 5.913  |9.62     |K0               |    ~     ~    
75  |HD 37644                                                                                                 |Star                           |05 55 28.4333621592 +81 47 18.122956656|131.7188318622864 +24.8709411258257|  -0.515 13.192  |8.63     |A0               |    ~     ~    
76  |TYC 4536-507-1                                                                                           |Star                           |05 52 13.7123936856 +81 46 04.688930568|131.7001495817231 +24.7543634223920| -17.681 -9.731  |10.80    |~                |    ~     ~    
77  |TYC 4536-676-1                                                                                           |Star                           |05 57 30.0180124200 +81 53 01.215719808|131.6426185475163 +24.9683104602027|    0.447 2.164  |10.24    |~                |    ~     ~    
78  |TYC 4617-218-1                                                                                           |Star                           |05 46 27.8333479680 +84 16 55.715223360|129.0102104465767 +25.3985630346463| -22.901 -7.222  |10.82    |~                |    ~     ~    
79  |TYC 4617-353-1                                                                                           |Star                           |05 58 27.1228406088 +83 57 05.036651208|129.4620470764330 +25.5917917192321| 10.062 -12.299  |10.77    |~                |    ~     ~    
80  |TYC 4617-369-1                                                                                           |Star                           |05 53 48.5938802328 +84 21 39.729704616|128.9893676604370 +25.5957562289894|  -2.931 -4.208  |10.86    |~                |    ~     ~    
81  |TYC 4617-471-1                                                                                           |Spectroscopic Binary           |05 54 41.6575903512 +83 39 45.723535164|129.7362300896230 +25.4118745435151|    4.446 8.800  |10.65    |~                |    ~     ~    
82  |TYC 4617-982-1                                                                                           |Star                           |05 57 48.4159945656 +83 05 04.595828568|130.3771895514177 +25.3292209693381|   -6.721 1.134  |10.73    |~                |    ~     ~    
83  |TYC 4617-1052-1                                                                                          |Star                           |05 58 02.2901343984 +83 37 27.392956716|129.8065940146628 +25.4893712657801|  -0.600 -4.225  |10.55    |~                |    ~     ~    
84  |TYC 4617-1208-1                                                                                          |Star                           |05 50 38.2989005976 +83 50 07.158483348|129.5171008252571 +25.3590287689059| 15.373 -26.626  |10.76    |~                |    ~     ~    
85  |TYC 4617-1265-1                                                                                          |High Proper Motion Star        |05 45 14.2293655416 +83 07 08.055586524|130.2108114752288 +24.9814971297512|  0.633 -54.178  |10.74    |~                |    ~     ~    
86  |TYC 4617-1353-1                                                                                          |Star                           |05 47 38.3762190120 +82 51 11.501541828|130.5141056664124 +24.9618539381235|   3.772 -1.150  |10.54    |~                |    ~     ~    
87  |TYC 4617-1830-1                                                                                          |Star                           |05 54 04.9576698576 +82 37 14.493704448|130.8288277808354 +25.0809445363425|   2.524 -4.083  |10.56    |~                |    ~     ~    
88  |TYC 4617-2192-1                                                                                          |Star                           |05 45 22.7910740928 +82 47 46.393823904|130.5472358428146 +24.8762825776150|  -3.088 -3.843  |10.92    |~                |    ~     ~    
89  |AG+81 163                                                                                                |Long-Period Variable Candidate |05 48 47.6918268984 +81 23 55.108726980|132.0386639553163 +24.5145703478652|  1.016 -11.135  |10.20    |M2               |    ~     ~    
90  |HD 38126                                                                                                 |Star                           |05 58 11.2381773720 +81 21 50.122019304|132.1978027500828 +24.8372143298621|  5.690 -16.613  |7.89     |G5               |    ~     ~    
91  |HD 36638                                                                                                 |Star                           |05 46 14.9192285424 +80 23 43.487469204|133.0338829476514 +24.0743609304882|  7.596 -12.784  |7.94     |G5               |    ~     ~    
92  |BD+80 178                                                                                                |Star                           |05 49 31.6402477848 +80 04 35.301530856|133.4143716338994 +24.0938015482326| -8.134 -31.746  |10.11    |F5               |    ~     ~    
93  |BD+80 179                                                                                                |High Proper Motion Star        |05 50 03.2384739600 +80 05 32.153980272|133.4065853578096 +24.1205013612161|112.055 -48.639  |9.96     |G5               |    ~     ~    
94  |BD+80 180                                                                                                |Star                           |05 51 02.4425776272 +80 04 57.686576052|133.4321997192819 +24.1572245008072|   3.986 -4.440  |10.35    |F8               |    ~     ~    
95  |HD 37463                                                                                                 |Spectroscopic Binary           |05 52 10.8657565488 +80 36 32.136084576|132.9051812632977 +24.3771713703918|  -15.997 7.951  |8.04     |A2               |    ~     ~    
96  |HD 37910                                                                                                 |Star                           |05 54 51.6772681176 +80 15 38.680792344|133.3064090149673 +24.3696650497889|   9.708 -5.411  |8.71     |K0               |    ~     ~    
97  |BD+80 186                                                                                                |Star                           |05 58 29.9703661104 +81 02 48.929982756|132.5349247828687 +24.7537413100503|  -9.126 17.328  |9.54     |K0               |    ~     ~    
98  |HD 36737                                                                                                 |High Proper Motion Star        |05 46 02.1961665288 +79 37 14.403999504|133.8223631697535 +23.7898945412678| 35.271 -35.329  |7.75     |G5               |    ~     ~    
99  |BD+79 184                                                                                                |Star                           |05 46 50.0608743168 +79 19 39.835372476|134.1354062453710 +23.7188771824535| -5.291 -10.361  |10.02    |A2               |    ~     ~    
100 |TYC 4532-1175-1                                                                                          |Star                           |05 48 34.9176490296 +79 12 56.858871096|134.2812613168032 +23.7551799558015|  -0.839 10.302  |10.48    |K0               |    ~     ~    
101 |TYC 4532-807-1                                                                                           |Star                           |05 57 32.4912535272 +79 20 20.764053456|134.3063897803916 +24.1891406150169|    2.551 0.300  |9.99     |K5               |    ~     ~    
102 |TYC 4532-1262-1                                                                                          |Star                           |05 59 21.8533033944 +79 40 43.870624860|133.9804724053434 +24.3736772657565|   -3.655 3.183  |10.51    |K0               |    ~     ~    
103 |BD+79 189                                                                                                |Star                           |05 59 13.7494896768 +79 18 25.015833396|134.3666765351430 +24.2533371017428|  3.447 -11.870  |9.60     |F5               |    ~     ~    
104 |IRAS F05493+7903                                                                                         |Long-Period Variable           |05 57 38.8547311368 +79 03 31.804356312|134.5994503857739 +24.1051042256142|   0.861 -2.533  |10.93    |K5/6             |    ~     ~    
105 |TYC 4532-322-1                                                                                           |Star                           |05 52 19.9061932488 +80 30 55.263509532|133.0044412157000 +24.3522945579399| -8.916 -22.800  |10.95    |~                |    ~     ~    
106 |TYC 4532-324-1                                                                                           |Star                           |05 54 54.9576034584 +80 27 41.192430012|133.0983516762949 +24.4358906604526|  -6.251 -8.419  |10.33    |~                |    ~     ~    
107 |TYC 4532-357-1                                                                                           |Star                           |05 59 20.1868002432 +79 24 46.873411632|134.2576850357974 +24.2908054167638|   -0.291 2.855  |10.37    |~                |    ~     ~    
108 |TYC 4532-436-1                                                                                           |Star                           |05 48 12.1584174288 +80 17 12.673939596|133.1766848059559 +24.1132006509785| 14.985 -17.874  |10.50    |~                |    ~     ~    
109 |TYC 4532-503-1                                                                                           |Star                           |05 58 43.3170926160 +79 29 02.482701252|134.1740618035217 +24.2860070468160|   6.346 11.636  |10.51    |~                |    ~     ~    
110 |TYC 4532-584-1                                                                                           |Star                           |05 55 46.7930716488 +80 13 12.855776124|133.3621736689723 +24.3936749785649|  14.861 10.798  |9.73     |~                |    ~     ~    
111 |TYC 4532-605-1                                                                                           |Star                           |05 51 49.3119750576 +79 15 25.313753664|134.2960845475828 +23.9113800363735|   -0.431 1.280  |10.52    |~                |    ~     ~    
112 |TYC 4532-1089-1                                                                                          |Star                           |05 49 58.1686498848 +79 35 27.412907820|133.9209782422844 +23.9455144501987|   -5.019 2.839  |10.86    |~                |    ~     ~    
113 |TYC 4532-1271-1                                                                                          |Star                           |05 58 05.6430413688 +79 30 39.436628544|134.1362137071617 +24.2672003153040|-17.768 -39.254  |10.79    |~                |    ~     ~    
114 |TYC 4532-1410-1                                                                                          |Star                           |05 46 42.0776417112 +79 08 45.155349456|134.3183274494454 +23.6478236077989| -0.656 -15.764  |10.25    |~                |    ~     ~    
115 |TYC 4532-1709-1                                                                                          |Star                           |05 59 03.4388255664 +79 27 52.473572784|134.1995513374252 +24.2945500068271|   12.615 9.901  |10.73    |~                |    ~     ~    
116 |TYC 4536-608-1                                                                                           |Star                           |05 57 37.0949685768 +81 22 55.470761256|132.1716723588391 +24.8222980151609|  1.871 -10.507  |10.30    |~                |    ~     ~    
117 |TYC 4536-649-1                                                                                           |Star                           |05 46 09.0914219232 +81 00 46.575776340|132.3985492250866 +24.2875080047200| 12.498 -10.273  |10.43    |~                |    ~     ~    
118 |TYC 4536-728-1                                                                                           |Star                           |05 56 46.7228812248 +81 05 42.197659368|132.4621490850486 +24.7046965355998|    9.574 2.727  |10.84    |~                |    ~     ~    
119 |TYC 4536-915-1                                                                                           |Star                           |05 47 29.4168944208 +81 06 32.494009428|132.3193771024082 +24.3695630590205|    0.944 1.709  |10.38    |~                |    ~     ~    
120 |HD 37006                                                                                                 |High Proper Motion Star        |05 46 11.9065323144 +78 15 22.521872628|135.2120732795063 +23.3014102632545| -45.933 70.555  |8.20     |G0               |    ~     ~    
121 |BD+78 198                                                                                                |Star                           |05 49 03.2802479496 +78 26 38.896303092|135.0779648942281 +23.5037484437398|  3.047 -13.919  |10.38    |A2               |    ~     ~    
122 |V* EF Cam                                                                                                |Long-Period Variable Candidate |05 49 24.9065897088 +78 03 23.591786724|135.4798897447616 +23.3829846191653| 12.841 -29.036  |8.76     |M0               |    ~     ~    
123 |HD 37168                                                                                                 |Spectroscopic Binary           |05 46 40.7801082264 +77 37 27.177624912|135.8613627941126 +23.0917989870492|  -9.171 -7.051  |8.99     |F8               |    ~     ~    
124 |BD+77 208                                                                                                |Star                           |05 46 29.3545731144 +77 19 51.211510860|136.1531828114554 +22.9733813352406|   2.827 -7.645  |8.79     |G5               |    ~     ~    
125 |HD 37197                                                                                                 |Star                           |05 46 33.1755769896 +77 06 11.523756348|136.3840046167871 +22.8917359010069|  18.999 18.970  |8.93     |G0               |    ~     ~    
126 |BD+77 210                                                                                                |Star                           |05 47 13.5520730448 +77 42 08.369966340|135.7940948334482 +23.1476992883858|   -1.823 5.409  |9.60     |F5               |    ~     ~    
127 |BD+77 212                                                                                                |Star                           |05 48 37.4152500000 +77 15 23.174703000|136.2753710388897 +23.0550500301354|   0.051 -6.085  |9.19     |G5               |    ~     ~    
128 |BD+77 213                                                                                                |Double or Multiple Star        |05 50 28.8168872280 +77 43 18.100693056|135.8424285998911 +23.3161774532542|   13.149 1.104  |10.191   |G5               |    ~     ~    
