C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
214 |TYC 3358-3132-1                                                                                          |Star                                  |05 19 05.4150574128 +45 03 26.332173324|163.6033720928262 +04.3716995777589|   -0.472 0.511  |10.24    |~                 |    ~     ~    
215 |TYC 3362-983-1                                                                                           |Star                                  |05 15 23.5068090000 +47 05 06.910023624|161.5680827274020 +05.0113719442585|  -3.807 -1.374  |10.63    |~                 |    ~     ~    
216 |TYC 3362-1165-1                                                                                          |Star                                  |05 19 34.3666153776 +47 15 29.302282080|161.8343984720040 +05.6928966874069|   0.892 -2.547  |10.85    |~                 |    ~     ~    
217 |TYC 3362-1267-1                                                                                          |Star                                  |05 19 30.5928758280 +47 20 27.877660296|161.7596799072856 +05.7311693198812|   0.880 -6.465  |10.68    |~                 |    ~     ~    
218 |TYC 3362-1495-1                                                                                          |Star                                  |05 22 53.9944557360 +46 52 32.467756656|162.4728571888842 +05.9455201766047|  5.753 -22.287  |10.77    |~                 |    ~     ~    
219 |TYC 3362-1851-1                                                                                          |Star                                  |05 20 13.1863910616 +47 01 55.496887536|162.0842234240630 +05.6554519390909|  -5.223 -5.970  |9.99     |~                 |    ~     ~    
220 |TYC 3362-1947-1                                                                                          |Star                                  |05 20 51.9539924400 +47 16 31.877109228|161.9447230262009 +05.8836296930910|  -3.521 -1.478  |10.73    |~                 |    ~     ~    
221 |TYC 3362-2069-1                                                                                          |Star                                  |05 22 02.4931035168 +46 56 33.192934080|162.3345794246835 +05.8615924928390|   0.772 -1.983  |10.94    |~                 |    ~     ~    
222 |TYC 3362-2146-1                                                                                          |High Proper Motion Star               |05 21 51.6475730688 +46 54 16.072350840|162.3488260050667 +05.8146621167238|-45.648 -46.374  |10.29    |~                 |    ~     ~    
223 |TYC 3362-2230-1                                                                                          |Star                                  |05 21 08.4200093880 +47 00 22.897952100|162.1946182396859 +05.7703977716441|  7.856 -12.890  |10.03    |~                 |    ~     ~    
224 |TYC 3362-2264-1                                                                                          |Star                                  |05 22 19.6111217064 +46 57 24.459865344|162.3501968496021 +05.9098844956320|  -0.406 -7.932  |10.84    |~                 |    ~     ~    
225 |TYC 3362-2282-1                                                                                          |Star                                  |05 22 16.7356937448 +46 56 19.441611384|162.3606173530268 +05.8929835239681|   -4.152 0.729  |10.29    |~                 |    ~     ~    
226 |TYC 3358-1208-1                                                                                          |Star                                  |05 15 13.5474236760 +46 22 19.160756040|162.1354199520596 +04.5755602626584|   0.102 -0.085  |10.12    |~                 |    ~     ~    
227 |HD 33566                                                                                                 |Star                                  |05 15 20.1012796176 +61 56 50.671179492|149.1370846211477 +13.4150746090575|  -0.874 -0.867  |8.78     |B8                |    ~     ~    
228 |TYC 4080-23-1                                                                                            |Star                                  |05 15 50.3630820816 +61 26 16.126750212|149.6084312023324 +13.1851759655468| 11.356 -35.674  |10.61    |~                 |    ~     ~    
229 |HD 33840                                                                                                 |Spectroscopic Binary                  |05 17 01.3008947688 +61 14 35.310859656|149.8554663297097 +13.1971629223331|   3.695 -0.589  |8.28     |K2                |    ~     ~    
230 |BD+61 776                                                                                                |Spectroscopic Binary                  |05 18 10.4469640176 +61 13 00.161085540|149.9558126197252 +13.2990751726956|  2.383 -13.888  |8.60     |K2                |    ~     ~    
231 |HD 33653                                                                                                 |Star                                  |05 15 42.6703458288 +60 53 26.994041412|150.0685407994716 +12.8713514403931|   1.194 -3.790  |9.28     |A0                |    ~     ~    
232 |BD+60 866                                                                                                |Star                                  |05 16 26.7077975688 +60 15 58.808031480|150.6537932775607 +12.6025596765550| -4.175 -19.940  |9.70     |F2                |    ~     ~    
233 |HD 33814                                                                                                 |Star                                  |05 16 40.0972231944 +60 16 10.602141492|150.6665930975362 +12.6274645071138|  5.813 -21.373  |8.74     |kA8hF0mF5III      |    ~     ~    
234 |BD+60 868                                                                                                |Star                                  |05 16 48.0580488936 +60 39 17.108604252|150.3458334635034 +12.8526707030094|  -10.424 6.195  |9.35     |F0                |    ~     ~    
235 |HD 33924                                                                                                 |High Proper Motion Star               |05 17 27.5827773360 +60 10 53.982615648|150.7972093929253 +12.6613114904700|-8.518 -133.061  |6.952    |F5                |    ~     ~    
236 |HD 34128                                                                                                 |Spectroscopic Binary                  |05 18 55.5471404784 +60 14 55.122981612|150.8415118023418 +12.8504347841880|    0.559 0.660  |9.13     |A2                |    ~     ~    
237 |BD+60 875                                                                                                |Star                                  |05 20 10.7878251768 +60 19 11.048327256|150.8665168039086 +13.0195793577012|   1.313 -9.771  |10.01    |A0                |    ~     ~    
238 |BD+60 876                                                                                                |Star                                  |05 20 13.7530956504 +60 16 16.655928708|150.9117698775208 +12.9986014700153|  16.034 -8.307  |9.20     |F8                |    ~     ~    
239 |HD 33618                                                                                                 |Star                                  |05 15 11.4020613192 +59 24 20.477331000|151.2980078244239 +11.9947855550977| 20.091 -12.413  |6.135    |K2III-IV          |    ~     ~    
240 |BD+59 858                                                                                                |Star                                  |05 15 57.7589498184 +59 47 12.006771288|151.0293208542813 +12.2875352257510|   2.309 29.090  |9.38     |F5                |    ~     ~    
241 |HD 33925                                                                                                 |Star                                  |05 17 23.6005479792 +59 27 30.106696356|151.4116661039197 +12.2572700060498|   0.176 -9.572  |9.56     |A3                |    ~     ~    
242 |BD+59 862B                                                                                               |Star                                  |05 17 21.6524104968 +59 27 30.450273264|151.4092625989524 +12.2538777707191|  -0.097 -9.968  |10.45    |A2                |    ~     ~    
243 |HD 33955                                                                                                 |Star                                  |05 17 39.5140115136 +59 56 46.574354040|151.0129150812651 +12.5530886537366| -10.888 -4.818  |9.00     |F2                |    ~     ~    
244 |HD 34129                                                                                                 |Star                                  |05 18 52.3103316648 +59 45 46.974181572|151.2554080519867 +12.5805463495862|  -6.275 -1.936  |9.250    |A2                |    ~     ~    
245 |HD 237368                                                                                                |Star                                  |05 15 22.4621680776 +58 47 07.769592816|151.8376995300788 +11.6689280768119|  6.924 -14.149  |9.30     |K0                |    ~     ~    
246 |HD 237370                                                                                                |Star                                  |05 16 08.3692877736 +58 45 12.484213092|151.9212373512377 +11.7335012428892|  7.480 -12.934  |9.44     |K2                |    ~     ~    
247 |HD 237374                                                                                                |Star                                  |05 21 06.9313495728 +59 19 45.421861080|151.7867832085918 +12.5842478082812|  11.987 -7.169  |9.29     |K5                |    ~     ~    
248 |GSC 03760-01313                                                                                          |Double or Multiple Star               |05 20 57.9041563200 +59 19 14.701473444|151.7835321663282 +12.5634879396615|  -2.853 -3.531  |10.364   |A0                |    ~     ~    
249 |HD 34465                                                                                                 |Star                                  |05 21 17.2025759904 +59 10 26.728927788|151.9327494355760 +12.5189518444377| -4.539 -27.128  |8.62     |G5                |    ~     ~    
250 |HD 237375                                                                                                |Star                                  |05 21 24.4291800840 +58 59 50.003787660|152.0938215865616 +12.4365592986659|-19.606 -24.426  |9.16     |G0                |    ~     ~    
251 |IRAS 05106+6114                                                                                          |Star                                  |05 15 09.7085775048 +61 17 39.948845280|149.6854738438490 +13.0384861589306|    0.374 0.723  |9.69     |~                 |    ~     ~    
252 |TYC 3747-203-1                                                                                           |Star                                  |05 17 47.0051406768 +59 38 00.566540700|151.2896518361400 +12.3947608495510|    2.437 9.690  |9.77     |~                 |    ~     ~    
253 |TYC 3747-234-1                                                                                           |Star                                  |05 17 12.1512437304 +59 05 37.767719292|151.7091617194411 +12.0361425144073| -15.139 16.143  |9.47     |~                 |    ~     ~    
254 |TYC 3747-307-1                                                                                           |Star                                  |05 17 03.6777992184 +59 46 34.596316920|151.1162699642320 +12.3970922856118| 24.174 -13.659  |10.59    |~                 |    ~     ~    
255 |TYC 3747-390-1                                                                                           |Star                                  |05 17 00.8754327024 +58 58 57.553717872|151.7902936728452 +11.9546253096672|  1.126 -40.360  |10.45    |~                 |    ~     ~    
256 |TYC 3747-493-1                                                                                           |Star                                  |05 15 41.5987388304 +59 29 20.803487280|151.2634363052746 +12.0943194063453|  1.910 -14.031  |10.49    |~                 |    ~     ~    
257 |TYC 3747-889-1                                                                                           |High Proper Motion Star               |05 16 23.3512563984 +59 34 49.615581288|151.2356049651388 +12.2183445259997|  14.461 83.121  |10.11    |~                 |    ~     ~    
258 |TYC 3747-908-1                                                                                           |Star                                  |05 18 55.9230133224 +59 02 19.743421668|151.8810062740796 +12.1916960610979|   11.871 1.006  |10.57    |~                 |    ~     ~    
259 |TYC 3747-1379-1                                                                                          |Star                                  |05 16 29.0968857264 +59 45 19.131610140|151.0932501560656 +12.3249969618858| 14.857 -24.080  |10.11    |~                 |    ~     ~    
260 |TYC 3760-1011-1                                                                                          |Star                                  |05 20 19.9039851288 +59 21 48.111582132|151.7020802677733 +12.5186248286302|   1.637 -4.938  |10.70    |~                 |    ~     ~    
261 |TYC 3760-2039-1                                                                                          |High Proper Motion Star               |05 20 18.4408961400 +59 59 48.652472400|151.1542030581858 +12.8586614983606|  90.025 48.335  |10.40    |~                 |    ~     ~    
262 |TYC 3760-2088-1                                                                                          |Star                                  |05 21 55.3695610704 +58 43 27.010948224|152.3660726191665 +12.3454830231861| 16.373 -15.045  |10.70    |~                 |    ~     ~    
263 |TYC 3760-2196-1                                                                                          |Star                                  |05 20 05.7685994472 +59 04 44.865586380|151.9298560321529 +12.3391270386504|  -3.712 -8.955  |10.76    |~                 |    ~     ~    
264 |TYC 3760-2330-1                                                                                          |Star                                  |05 20 02.1516609840 +59 24 42.335455176|151.6395069915748 +12.5132058338853|   2.153 -8.569  |10.32    |~                 |    ~     ~    
265 |TYC 3760-2435-1                                                                                          |Star                                  |05 20 02.5873691040 +59 39 10.234187676|151.4324493451646 +12.6446686358227| -1.793 -11.586  |10.46    |~                 |    ~     ~    
266 |GSC 04080-00766                                                                                          |Double or Multiple Star               |05 19 11.916360 +60 39 11.36628        |150.511494300 +13.098103580        |       3.4 -0.8  |10.470   |~                 |    ~     ~    
267 |TYC 4080-811-1                                                                                           |Star                                  |05 18 38.3696472576 +61 14 10.352261472|149.9701760175065 +13.3567038794591|  28.891 -4.740  |9.97     |~                 |    ~     ~    
268 |GSC 04080-01306                                                                                          |Double or Multiple Star               |05 16 16.5281973480 +60 21 36.555848964|150.5616919736386 +12.6366989279658|  -4.800 -2.220  |10.898   |~                 |    ~     ~    
269 |TYC 4080-1601-1                                                                                          |Star                                  |05 18 51.9027700584 +61 03 46.735178616|150.1349914482695 +13.2858104255792| -11.590 -4.032  |10.50    |~                 |    ~     ~    
270 |TYC 4080-1937-1                                                                                          |Star                                  |05 17 20.9704327272 +61 09 27.599613156|149.9511608414286 +13.1835884432169|   -2.696 1.150  |10.88    |~                 |    ~     ~    
271 |TYC 4080-1992-1                                                                                          |Star                                  |05 18 52.3555676112 +60 21 03.633810516|150.7496857369522 +12.9005195809597|  -2.366 -3.794  |9.90     |~                 |    ~     ~    
272 |TYC 4080-2530-1                                                                                          |Star                                  |05 17 51.2065293888 +61 08 29.676631884|149.9990349189708 +13.2258020657371|   -4.973 0.872  |10.69    |~                 |    ~     ~    
273 |TYC 4080-2532-1                                                                                          |Star                                  |05 16 32.0501464944 +61 08 37.796654148|149.9078405687299 +13.0936733792579|  -3.127 -4.287  |10.24    |~                 |    ~     ~    
274 |TYC 4080-2630-1                                                                                          |Star                                  |05 17 50.2089497064 +61 24 24.938604504|149.7690740123640 +13.3683867333574|   1.390 -3.719  |10.35    |~                 |    ~     ~    
275 |TYC 4080-2730-1                                                                                          |Star                                  |05 17 38.6075329656 +60 56 41.701435152|150.1542044148848 +13.0973816587819|  7.946 -14.669  |10.74    |~                 |    ~     ~    
276 |TYC 4080-2760-1                                                                                          |Spectroscopic Binary                  |05 16 19.2766350408 +60 46 25.017434220|150.2108955036852 +12.8689070055372|   7.166 29.481  |9.98     |~                 |    ~     ~    
277 |HD 34189                                                                                                 |High Proper Motion Star               |05 19 01.3146519600 +58 06 35.136960192|152.6820565122467 +11.6926135831417| 31.597 -39.617  |8.96     |F5                |    ~     ~    
278 |HD 34361                                                                                                 |Star                                  |05 20 23.4902453424 +58 20 45.038798808|152.5807289874787 +11.9726192361998| 15.543 -33.052  |7.92     |A2                |    ~     ~    
279 |* 15 Cam                                                                                                 |Eclipsing Binary                      |05 19 27.8593918632 +58 07 02.515564308|152.7082678868681 +11.7456474292547|  5.854 -18.517  |6.125    |B5V               |    ~     ~    
280 |HD 237371                                                                                                |Spectroscopic Binary                  |05 16 11.2632702456 +57 21 44.037758448|153.1032379785027 +10.9637131146226| 16.281 -32.378  |9.16     |G0                |    ~     ~    
281 |HD 237372                                                                                                |Pulsating Variable                    |05 16 38.9082434616 +56 30 24.352393536|153.8609751182415 +10.5375786094823| 11.070 -16.711  |9.48     |F0                |    ~     ~    
282 |BD+55 971                                                                                                |Double or Multiple Star               |05 15 11.4303910608 +56 05 40.733053188|154.0920181931862 +10.1387367703906|  7.004 -21.972  |10.650   |F0                |    ~     ~    
283 |BD+55 972                                                                                                |Star                                  |05 15 15.2593283856 +56 06 37.389252384|154.0839184065898 +10.1549625793853| -0.055 -25.724  |10.38    |G5                |    ~     ~    
284 |HD 237373                                                                                                |Star                                  |05 20 09.2265954240 +57 19 29.062592364|153.4367275538531 +11.3886989828212|  3.791 -14.238  |9.43     |F0                |    ~     ~    
285 |* 16 Cam                                                                                                 |High Proper Motion Star               |05 23 27.8426747304 +57 32 39.837146280|153.4950561464666 +11.8820610581862| 15.017 -54.469  |5.250    |A0Vne             |    ~     ~    
286 |BD+56 1020                                                                                               |Star                                  |05 19 28.7096978808 +56 56 35.346352380|153.7106504361372 +11.1026528605197|  5.915 -19.608  |10.02    |F0                |    ~     ~    
287 |HD 237380                                                                                                |Star                                  |05 22 28.1254970328 +56 33 29.758500050|154.2675285866148 +11.2355162307373|    1.504 1.972  |9.674    |A0                |    ~     ~    
288 |TYC 3756-145-1                                                                                           |Star                                  |05 25 23.6306574624 +56 15 12.394001736|154.7517991548204 +11.4120151785531| -13.675 -9.897  |10.34    |A0                |    ~     ~    
289 |HD 34853                                                                                                 |Star                                  |05 23 43.3136508672 +56 05 20.038728588|154.7656343360545 +11.1273418844527|   13.592 7.026  |6.86     |K0II-III          |    ~     ~    
290 |BD+55 982                                                                                                |Star                                  |05 20 24.1136753568 +56 02 52.082043648|154.5435030577806 +10.7165245709756|  -6.028 -1.219  |9.77     |A5                |    ~     ~    
291 |HD 237379B                                                                                               |Star                                  |05 22 03.0955801704 +55 55 35.559651144|154.7753979845777 +10.8431416096663| -10.020 -4.532  |10.85    |A5                |    ~     ~    
292 |HD 237379A                                                                                               |Star                                  |05 22 02.0486720496 +55 55 32.940154380|154.7746614620010 +10.8406964224148|  -8.838 -4.760  |10.53    |A5                |    ~     ~    
293 |TYC 3739-17-1                                                                                            |Spectroscopic Binary                  |05 17 28.3243710216 +55 59 53.139061104|154.3549232523176 +10.3482110394132| 16.175 -49.706  |10.93    |~                 |    ~     ~    
294 |TYC 3739-240-1                                                                                           |Star                                  |05 15 02.5236342048 +55 46 38.829773964|154.3459061865936 +09.9424073149936| -10.472 -5.454  |9.90     |~                 |    ~     ~    
295 |TYC 3743-273-1                                                                                           |Star                                  |05 16 39.2888029224 +56 19 23.470685256|154.0162071184374 +10.4355834548260|  9.772 -17.782  |10.94    |~                 |    ~     ~    
296 |TYC 3743-475-1                                                                                           |Star                                  |05 16 40.1326728864 +56 20 38.397103800|153.9997785519105 +10.4488478450415|   -1.700 1.223  |10.58    |~                 |    ~     ~    
297 |TYC 3743-830-1                                                                                           |Star                                  |05 16 01.0365959736 +58 06 24.349645584|152.4605809667844 +11.3603429519471|  -0.351 -1.722  |9.82     |~                 |    ~     ~    
298 |TYC 3743-2081-1                                                                                          |High Proper Motion Star               |05 16 56.2911286512 +57 24 26.836429536|153.1224386787598 +11.0728728214913|  5.685 -50.434  |10.46    |~                 |    ~     ~    
299 |TYC 3747-346-1                                                                                           |Star                                  |05 19 33.6806461200 +58 28 32.821871808|152.4087929697681 +11.9523414071567|   -7.756 2.471  |10.46    |~                 |    ~     ~    
300 |TYC 3747-424-1                                                                                           |Star                                  |05 16 07.1043340920 +58 24 32.550562260|152.2119786375808 +11.5397346168251|  -3.423 -2.305  |10.57    |~                 |    ~     ~    
301 |TYC 3747-1950-1                                                                                          |Star                                  |05 16 01.5684404040 +58 14 46.864368960|152.3430069003904 +11.4390982571522| 14.448 -44.329  |9.72     |~                 |    ~     ~    
302 |TYC 3747-2054-1                                                                                          |Star                                  |05 17 42.0810789480 +58 08 19.583484180|152.5593171081151 +11.5630639385189|  9.639 -28.887  |10.41    |~                 |    ~     ~    
303 |TYC 3747-2187-1                                                                                          |Star                                  |05 15 50.8503790368 +58 13 29.819537004|152.3477672726108 +11.4076508269565|-18.226 -20.049  |10.88    |~                 |    ~     ~    
304 |TYC 3752-165-1                                                                                           |Star                                  |05 22 48.5571148320 +56 10 55.733860344|154.6155862489493 +11.0709672636400| -24.007 11.367  |10.95    |~                 |    ~     ~    
305 |TYC 3756-18-1                                                                                            |Emission-line Star                    |05 20 30.8878451520 +56 55 29.506074420|153.8053170521075 +11.2107678517245|   1.192 -2.391  |10.80    |~                 |    ~     ~    
306 |TYC 3756-56-1                                                                                            |Star                                  |05 24 50.9937048816 +56 49 43.026216240|154.2149924376614 +11.6565723331578| -1.814 -12.235  |10.11    |~                 |    ~     ~    
307 |TYC 3756-98-1                                                                                            |Star                                  |05 25 05.6116225152 +56 29 27.247531776|154.5244460597232 +11.5040262123653| -18.316 13.755  |10.58    |~                 |    ~     ~    
308 |TYC 3756-138-1                                                                                           |Star                                  |05 22 56.4783611040 +56 24 39.553852896|154.4297464980299 +11.2104506884096| -3.286 -10.372  |10.28    |~                 |    ~     ~    
309 |TYC 3756-212-1                                                                                           |Star                                  |05 25 14.6293246800 +56 26 55.024298412|154.5722313441586 +11.4989201730325|  2.856 -16.949  |10.82    |~                 |    ~     ~    
310 |TYC 3756-278-1                                                                                           |Star                                  |05 24 33.5908546896 +56 38 48.369006060|154.3499509098471 +11.5255289384084|  7.735 -18.682  |10.86    |~                 |    ~     ~    
311 |IRAS 05195+5645                                                                                          |Star                                  |05 23 47.7843246936 +56 48 28.787837040|154.1537563160698 +11.5238929088936|  6.475 -11.702  |10.38    |~                 |    ~     ~    
312 |TYC 3756-404-1                                                                                           |High Proper Motion Star               |05 22 55.6891771584 +56 37 01.307362980|154.2521328311218 +11.3205151890467| -8.943 -48.978  |10.28    |~                 |    ~     ~    
313 |TYC 3756-432-1                                                                                           |Star                                  |05 21 30.3412854144 +57 15 13.761541872|153.5990463229810 +11.5030561237186|   -3.180 2.885  |9.86     |~                 |    ~     ~    
314 |TYC 3756-981-1                                                                                           |Red Giant Branch star Candidate       |05 21 19.6886276712 +58 01 28.083221976|152.9250486302810 +11.9016480968173| 20.077 -24.707  |10.30    |~                 |    ~     ~    
315 |TYC 3756-1158-1                                                                                          |Star                                  |05 20 32.5075937472 +58 01 06.626053920|152.8723403740535 +11.8110160949741|  -15.646 4.811  |9.51     |~                 |    ~     ~    
316 |TYC 3756-1643-1                                                                                          |High Proper Motion Star               |05 22 26.4038356488 +57 25 37.385397372|153.5202457439483 +11.7029071535792| -52.069 23.616  |9.49     |~                 |    ~     ~    
317 |TYC 3760-468-1                                                                                           |Star                                  |05 22 48.8798281272 +58 20 34.352529144|152.7591063791460 +12.2384503641978|    4.062 1.646  |9.91     |~                 |    ~     ~    
318 |TYC 3760-1112-1                                                                                          |Star                                  |05 22 23.2591812984 +58 18 23.906523960|152.7595099669733 +12.1717036585989|   5.637 -5.014  |10.61    |~                 |    ~     ~    
319 |HD 33941                                                                                                 |Star                                  |05 16 42.9114129312 +53 27 52.626316248|156.4182318322698 +08.8343933900621| -7.756 -16.174  |8.08     |K0                |    ~     ~    
320 |HD 33957                                                                                                 |Star                                  |05 16 49.2577743672 +53 19 00.101370216|156.5507199162732 +08.7637696189482|   5.441 -3.648  |9.60     |A0                |    ~     ~    
321 |HD 233095                                                                                                |Spectroscopic Binary                  |05 17 13.5751152672 +53 34 43.288603500|156.3663384331805 +08.9614912652986| 49.712 -45.996  |9.52     |G0                |    ~     ~    
322 |HD 233096                                                                                                |Star                                  |05 17 11.7471950616 +53 11 13.542801252|156.6909607279139 +08.7368083673862|  7.545 -12.128  |8.83     |K2                |    ~     ~    
323 |V* R Aur                                                                                                 |S Star                                |05 17 17.6915798904 +53 35 10.031931312|156.3659371256506 +08.9740893693874| -0.815 -14.685  |6.5      |M6.5-8.5e         |    ~     ~    
324 |BD+53 885                                                                                                |Star                                  |05 17 54.7162182144 +53 23 31.814140992|156.5805236200031 +08.9407726588138|  6.425 -15.993  |9.78     |~                 |    ~     ~    
325 |TYC 3735-918-1                                                                                           |Star                                  |05 16 30.4130667168 +53 29 26.392289460|156.3787545513547 +08.8235675852506| 16.833 -28.959  |9.65     |~                 |    ~     ~    
326 |TYC 3735-1121-1                                                                                          |Star                                  |05 17 50.5157463480 +53 29 48.662956860|156.4869532676609 +08.9910106487491|   1.204 -3.006  |10.83    |~                 |    ~     ~    
327 |TYC 3735-1310-1                                                                                          |Star                                  |05 16 22.9467784752 +53 36 35.613791532|156.2686873248011 +08.8758065254153|  -1.184 -0.577  |10.93    |~                 |    ~     ~    
328 |HD 237369                                                                                                |Star                                  |05 15 14.5793910816 +55 28 50.728624464|154.6105683680091 +09.7980322158691| -1.544 -30.803  |9.60     |A0                |    ~     ~    
329 |HD 33956                                                                                                 |Star                                  |05 17 01.1773981512 +55 24 59.196817296|154.8084967510933 +09.9699902576816| -6.270 -29.659  |8.70     |K0                |    ~     ~    
330 |HD 34028                                                                                                 |Star                                  |05 17 35.9028428544 +55 31 00.702405840|154.7706211431814 +10.0941693188035|   -2.993 2.308  |7.63     |A0                |    ~     ~    
331 |HD 34173                                                                                                 |Star                                  |05 18 31.4068976496 +55 12 32.740432776|155.1045085927081 +10.0315497266513| -3.821 -13.970  |9.36     |A0                |    ~     ~    
332 |HD 33973                                                                                                 |Star                                  |05 16 58.8754248024 +54 10 25.661978220|155.8478367489255 +09.2670311719180|  10.749 -3.222  |7.74     |K0                |    ~     ~    
333 |HD 233097                                                                                                |Star                                  |05 17 27.1702634976 +54 58 49.339228296|155.2102171965731 +09.7767420099330|  0.687 -13.020  |9.55     |K5                |    ~     ~    
334 |HD 34075                                                                                                 |Star                                  |05 17 47.6738189304 +54 23 34.325006892|155.7317852606019 +09.4883264994683| -7.444 -16.227  |8.41     |A0                |    ~     ~    
335 |HD 34873                                                                                                 |Star                                  |05 23 49.5678911976 +55 25 53.384074860|155.3368556809973 +10.7839940523772| -5.953 -15.461  |9.49     |A                 |    ~     ~    
336 |HD 237387                                                                                                |Star                                  |05 25 17.2914383496 +55 24 40.815865728|155.4681245875408 +10.9477609118257|  2.276 -20.785  |8.59     |K7                |    ~     ~    
337 |HD 34278                                                                                                 |Star                                  |05 19 24.8699164704 +54 55 52.169821284|155.4111041688904 +09.9830261506022|  -2.538 -4.024  |9.18     |A0                |    ~     ~    
338 |HD 34423                                                                                                 |Star                                  |05 20 23.5437706056 +55 03 05.963076324|155.3880442784852 +10.1665354023486|  24.059 -0.319  |8.08     |G5                |    ~     ~    
339 |HD 34544                                                                                                 |Star                                  |05 21 17.3412999744 +54 15 09.168106536|156.1374553570215 +09.8338004837935|  -6.449 26.486  |6.630    |G5                |    ~     ~    
340 |HD 237378                                                                                                |Star                                  |05 21 50.6371600896 +55 03 01.961482680|155.5051969712748 +10.3395241141755|  -3.388 -3.147  |10.30    |B8                |    ~     ~    
341 |HD 233109                                                                                                |Star                                  |05 23 09.0378959544 +55 02 35.752967232|155.6153446426749 +10.4923065385045|   -1.105 9.164  |10.10    |F0                |    ~     ~    
342 |HD 34935                                                                                                 |Star                                  |05 24 07.9996850232 +54 58 02.139279528|155.7580932859790 +10.5693211607142|  -5.222 -7.428  |9.06     |K5                |    ~     ~    
343 |HD 35031                                                                                                 |Star                                  |05 24 51.8588349552 +54 33 51.363905256|156.1607542053968 +10.4398140626342|   2.447 -4.315  |9.57     |A0                |    ~     ~    
344 |BD+54 892                                                                                                |Star                                  |05 27 24.4240113240 +54 22 16.182227820|156.5283623133714 +10.6475676142827|  -0.414 -5.957  |9.24     |K2                |    ~     ~    
345 |HD 233111                                                                                                |High Proper Motion Star               |05 23 29.7796937136 +54 04 10.036140600|156.4727790635393 +10.0035337409481| 49.073 -59.807  |9.31     |G5                |    ~     ~    
346 |HD 233113                                                                                                |Rotating Variable                     |05 24 06.1814058240 +54 04 02.146811916|156.5238917280734 +10.0769750073690|  4.237 -13.365  |10.17    |K0                |    ~     ~    
347 |HD 233118                                                                                                |Star                                  |05 27 49.1958095160 +54 03 40.416603012|156.8277435727855 +10.5331106024107|    0.730 0.380  |9.77     |A0                |    ~     ~    
348 |HD 233120                                                                                                |High Proper Motion Star               |05 28 18.8058032640 +54 05 45.058573464|156.8371885989558 +10.6128072331196| 64.920 -93.830  |9.70     |F5                |    ~     ~    
349 |HD 233121                                                                                                |Star                                  |05 28 28.9642173504 +54 03 18.497825712|156.8857020455574 +10.6121715984838|   -2.620 1.775  |9.81     |K0                |    ~     ~    
350 |HD 233099                                                                                                |Star                                  |05 17 36.3923067024 +53 50 57.562146024|156.1719256439142 +09.1603586664735|  4.443 -12.103  |9.72     |A0                |    ~     ~    
351 |HD 233098                                                                                                |Star                                  |05 17 34.6513438512 +53 40 44.260759200|156.3121450472423 +09.0609961644325|   10.284 2.566  |8.98     |K0                |    ~     ~    
352 |HD 233102                                                                                                |Spectroscopic Binary                  |05 19 52.5701346672 +53 57 43.622988048|156.2665198643763 +09.5005711784752| -3.265 -17.533  |9.36     |A2                |    ~     ~    
353 |HD 233107                                                                                                |Star                                  |05 22 45.1242312792 +53 32 09.634067016|156.8648583999516 +09.6196380551124|  6.041 -24.247  |9.53     |F2                |    ~     ~    
354 |HD 34756                                                                                                 |Star                                  |05 22 51.9277497192 +53 37 23.932884936|156.8001803246553 +09.6816039479741| -1.229 -10.454  |9.28     |A0                |    ~     ~    
355 |HD 233108                                                                                                |Star                                  |05 22 56.7019848528 +53 49 41.631325788|156.6328100836825 +09.8037456203706|  -0.951 -8.574  |9.93     |A0                |    ~     ~    
356 |HD 34805                                                                                                 |Star                                  |05 23 06.8514540936 +53 38 20.681177280|156.8073017505130 +09.7210857435068|  -1.233 -2.976  |9.51     |A                 |    ~     ~    
357 |HD 34831                                                                                                 |Star                                  |05 23 23.4650418888 +53 59 41.818293852|156.5275971176717 +09.9499150046656|  -0.932 -3.686  |9.41     |A                 |    ~     ~    
358 |HD 233112                                                                                                |Star                                  |05 23 38.3369286288 +53 22 42.866261400|157.0718055869001 +09.6438461730847|   5.176 -2.093  |8.95     |K7                |    ~     ~    
359 |HD 34902                                                                                                 |Double or Multiple Star               |05 23 50.7507 +53 34 06.258            |156.9275499 +09.7733285            |     1.00 -1.70  |9.20     |A2                |    ~     ~    
360 |HD 35059                                                                                                 |Star                                  |05 24 54.9704423712 +53 56 19.547094480|156.6993912036218 +10.1075291789734|   -2.368 2.853  |8.39     |G5                |    ~     ~    
361 |HD 35145                                                                                                 |Star                                  |05 25 40.3715065320 +53 17 22.358573664|157.3152124237823 +09.8501765890115|   -0.688 2.638  |9.45     |A0                |    ~     ~    
362 |HD 35392                                                                                                 |Star                                  |05 27 24.2473047120 +53 35 27.866570568|157.1982493759151 +10.2298095219158|  -9.721 -0.453  |8.48     |F0                |    ~     ~    
