C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
32  |BD+48 1250                                                                                               |High Proper Motion Star               |05 19 02.1599531136 +49 03 54.396614124|160.2860704664079 +06.6434582431376| 73.566 -84.619  |8.94     |G0                |    ~     ~    
33  |HD 34439                                                                                                 |Star                                  |05 20 01.1755398624 +49 09 18.395875584|160.3028819120247 +06.8271196172792|  -5.255 -0.607  |9.01     |B8IVEuSi          |    ~     ~    
34  |BD+47 1115a                                                                                              |Star                                  |05 15 15.4045080576 +47 28 01.998326064|161.2418187163840 +05.2134166878859|  -0.163 -0.141  |9.96     |A0                |    ~     ~    
35  |BD+47 1118                                                                                               |Star                                  |05 15 26.7098138184 +47 29 08.411089020|161.2451637288980 +05.2500623736553|  -1.173 -0.052  |9.34     |A0                |    ~     ~    
36  |BD+47 1119                                                                                               |Star                                  |05 15 44.3256915312 +47 52 18.129865440|160.9570518758933 +05.5130938066988|   11.098 7.688  |9.82     |G5                |    ~     ~    
37  |BD+47 1120                                                                                               |Star                                  |05 15 58.9037430816 +47 53 54.957365808|160.9585289556302 +05.5618849278111|   6.064 10.519  |9.84     |K2                |    ~     ~    
38  |BD+47 1121                                                                                               |Star                                  |05 17 30.6168856632 +47 50 45.761274708|161.1495567532419 +05.7416917623471|  -4.380 -7.132  |9.10     |G5                |    ~     ~    
39  |BD+47 1125                                                                                               |Star                                  |05 18 53.7644785896 +47 45 40.935423600|161.3528294406664 +05.8846003429036|  -1.345 -3.879  |9.28     |M0                |    ~     ~    
40  |BD+47 1129                                                                                               |Star                                  |05 19 20.9705245776 +47 46 34.823805852|161.3839366783136 +05.9558166048337|   0.535 -8.004  |10.40    |A2                |    ~     ~    
41  |BD+47 1131                                                                                               |Star                                  |05 19 39.5690863584 +47 48 05.278686300|161.3927978463269 +06.0129522009466| 22.281 -32.743  |9.38     |F8                |    ~     ~    
42  |BD+47 1132                                                                                               |Star                                  |05 20 03.9160496904 +47 58 43.541051304|161.2844891759042 +06.1693562915499|   -4.113 1.868  |9.08     |A0                |    ~     ~    
43  |BD+47 1137                                                                                               |Star                                  |05 20 51.4689352440 +47 31 03.418678164|161.7429336582870 +06.0190202891645|-17.123 -10.064  |10.19    |F2                |    ~     ~    
44  |BD+47 1122                                                                                               |Star                                  |05 17 45.1299174600 +47 19 48.605418732|161.5982538392021 +05.4801808446956|  -3.060 -1.030  |10.11    |~                 |    ~     ~    
45  |TYC 3362-1211-1                                                                                          |Star                                  |05 17 48.2652 +47 20 02.157            |161.6002363 +05.4895972            |      9.3 -14.9  |10.75    |~                 |    ~     ~    
46  |BD+47 1133                                                                                               |Star                                  |05 20 07.3743455712 +48 00 18.987072552|161.2679688094369 +06.1922945474856|  -2.532 -3.988  |10.31    |A0V               |    ~     ~    
47  |TYC 3362-129-1                                                                                           |Star                                  |05 20 24.4876283928 +47 24 34.245452736|161.7895277258079 +05.8952649769789| -1.049 -13.428  |9.40     |~                 |    ~     ~    
48  |TYC 3362-142-1                                                                                           |Star                                  |05 16 21.7156703232 +48 33 08.732023596|160.4573123232087 +05.9894659554422|  5.929 -20.552  |10.81    |~                 |    ~     ~    
49  |TYC 3362-202-1                                                                                           |High Proper Motion Star               |05 21 15.4467988272 +48 35 20.746743828|160.8894184700857 +06.6770132360640| 26.943 -43.984  |10.87    |~                 |    ~     ~    
50  |TYC 3362-220-1                                                                                           |Star                                  |05 17 17.9374515288 +48 40 38.780260968|160.4434162830585 +06.1880169863170|   4.629 -6.257  |10.95    |~                 |    ~     ~    
51  |TYC 3362-237-1                                                                                           |Star                                  |05 16 17.6125215624 +47 44 03.974377344|161.1236907457671 +05.5102640331853|  -2.221 -0.367  |10.85    |~                 |    ~     ~    
52  |TYC 3362-350-1                                                                                           |Star                                  |05 16 41.9141954280 +48 30 40.700752596|160.5233198051699 +06.0115442166985|  -4.737 -0.339  |10.76    |~                 |    ~     ~    
53  |TYC 3362-432-1                                                                                           |Star                                  |05 20 24.0028281888 +48 19 08.766815916|161.0335844204022 +06.4075831032194|    3.875 4.779  |10.13    |~                 |    ~     ~    
54  |TYC 3362-464-1                                                                                           |Star                                  |05 15 11.0677231008 +48 37 02.832101076|160.2912102728907 +05.8676002713827|  -3.744 -4.705  |9.54     |~                 |    ~     ~    
55  |TYC 3362-527-1                                                                                           |Star                                  |05 15 16.4371241832 +47 35 26.740364172|161.1422470497502 +05.2871658606260|  -4.249 -8.597  |9.95     |~                 |    ~     ~    
56  |TYC 3362-569-1                                                                                           |Star                                  |05 16 46.0373726064 +47 37 11.808295356|161.2638626158931 +05.5097696359635|   5.713 -3.891  |9.85     |~                 |    ~     ~    
57  |TYC 3362-732-1                                                                                           |Star                                  |05 21 15.7791 +48 08 28.878            |161.2628269 +06.4263047            |    1.869 0.620  |10.79    |~                 |    ~     ~    
58  |TYC 3362-821-1                                                                                           |Star                                  |05 20 09.8143662744 +47 30 04.023756108|161.6900667669713 +05.9129470756063| -3.739 -14.263  |9.90     |~                 |    ~     ~    
59  |TYC 3362-1262-1                                                                                          |Star                                  |05 20 07.7554114224 +48 03 17.360463780|161.2274482177006 +06.2211636007592|    6.504 1.879  |10.04    |~                 |    ~     ~    
60  |TYC 3362-1264-1                                                                                          |Star                                  |05 15 58.2596067888 +48 37 10.106720004|160.3647909573657 +05.9750455324132|  -2.009 -5.797  |10.71    |~                 |    ~     ~    
61  |TYC 3362-1472-1                                                                                          |Star                                  |05 19 44.5626068856 +48 24 26.247255840|160.8983077051753 +06.3672681545296| 11.501 -12.636  |10.19    |~                 |    ~     ~    
62  |TYC 3362-1524-1                                                                                          |Star                                  |05 21 39.8583520512 +48 00 20.274661692|161.4137211712770 +06.4055650200682|   0.266 -7.632  |10.91    |~                 |    ~     ~    
63  |TYC 3362-1562-1                                                                                          |Star                                  |05 15 00.8335034088 +48 02 56.634671580|160.7411735350237 +05.5163253661083| -2.110 -10.900  |10.47    |~                 |    ~     ~    
64  |TYC 3362-1714-1                                                                                          |Star                                  |05 19 26.4492848112 +47 59 42.389721636|161.2114598001091 +06.0924669629414|   2.235 -4.877  |10.81    |~                 |    ~     ~    
65  |TYC 3362-1756-1                                                                                          |Star                                  |05 16 50.2789086408 +48 29 39.275244636|160.5506851431383 +06.0206976496994|  -4.421 -3.403  |10.64    |~                 |    ~     ~    
66  |TYC 3362-2074-1                                                                                          |High Proper Motion Star               |05 18 47.2318498368 +47 57 02.558408688|161.1857771277853 +05.9771994095342|-33.205 -143.790 |10.49    |~                 |    ~     ~    
67  |TYC 3362-2265-1                                                                                          |Star                                  |05 18 57.1525828488 +47 25 45.233334768|161.6329108493013 +05.7035997290818| -0.071 -13.005  |10.17    |~                 |    ~     ~    
68  |TYC 3366-240-1                                                                                           |Spectroscopic Binary                  |05 20 39.2349971136 +48 46 01.379682732|160.6848451327903 +06.6946147978401| 13.684 -14.308  |10.90    |~                 |    ~     ~    
69  |TYC 3366-445-1                                                                                           |Star                                  |05 19 27.9568938048 +49 48 48.599013780|159.7040322958522 +07.1241577065169| 23.604 -20.186  |10.06    |~                 |    ~     ~    
70  |TYC 3366-629-1                                                                                           |Star                                  |05 19 10.3053324912 +49 26 00.253322664|159.9929295483443 +06.8701496301863|  -3.064 -4.642  |10.90    |~                 |    ~     ~    
71  |TYC 3366-1083-1                                                                                          |Star                                  |05 18 10.7862554160 +50 04 32.432389212|159.3682003824077 +07.1018181379442|   2.578 -1.993  |10.66    |~                 |    ~     ~    
72  |TYC 3366-1115-1                                                                                          |Emission-line Star                    |05 17 46.1768 +49 27 05.633            |159.8476615 +06.6927527            |   1.046 -4.828  |10.12    |~                 |    ~     ~    
73  |TYC 3366-1380-1                                                                                          |Star                                  |05 19 35.6400407616 +49 35 13.929964980|159.9040774613877 +07.0135818306600|   -0.827 2.996  |10.57    |~                 |    ~     ~    
74  |TYC 3366-1510-1                                                                                          |Star                                  |05 20 33.4270803960 +49 04 24.921146928|160.4206170298456 +06.8539075853315|  -1.431 -2.001  |10.38    |~                 |    ~     ~    
75  |TYC 3366-1526-1                                                                                          |Star                                  |05 16 09.0963654744 +49 14 51.518840604|159.8646000149536 +06.3599808914055|   2.118 -4.682  |10.81    |~                 |    ~     ~    
76  |TYC 3366-1819-1                                                                                          |Star                                  |05 20 07.0882145544 +48 58 37.205805756|160.4601952264719 +06.7400510538077|  -4.163 -3.472  |9.77     |~                 |    ~     ~    
77  |TYC 3366-1822-1                                                                                          |Star                                  |05 17 00.4841077920 +49 00 03.709292508|160.1487587419447 +06.3336599896427|   5.556 -0.428  |10.67    |~                 |    ~     ~    
