C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:25:48

dec >=0&rah >=1.75&rah< 2.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5595

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
846 |TYC 3291-1852-1                                                                                          |Star                                |01 49 40.3200078216 +51 58 47.472877884|131.9735565163647 -09.8666277840449|   -0.749 2.315  |10.88    |~              |    ~     ~            |    1|  536.970   pc  | -10.3513    +10.3513  |paral   |2020yCat.1350....0G
847 |TYC 3291-1929-1                                                                                          |Star                                |01 50 24.2683196784 +51 47 47.446452528|132.1278003270393 -10.0192889872178|  -3.649 -2.263  |9.86     |~              |    ~     ~            |    1|  540.687   pc  |  -4.3851     +4.3851  |paral   |2020yCat.1350....0G
848 |IRAS 01461+5128                                                                                          |Long-Period Variable Candidate      |01 49 21.1164496704 +51 43 48.961864848|131.9820937830872 -10.1209211746064|   -0.490 3.609  |10.59    |~              |    ~     ~            |    1| 2085.51    pc  |-117.867    +117.867   |paral   |2020yCat.1350....0G
849 |TYC 3291-1991-1                                                                                          |Star                                |01 50 35.1995507040 +52 21 34.569763668|132.0239605446447 -09.4648705483434|  -1.675 -0.204  |10.85    |~              |    ~     ~            |    1|  370.975   pc  |  -2.7112     +2.7112  |paral   |2020yCat.1350....0G
850 |TYC 3291-2115-1                                                                                          |Star                                |01 49 49.8371348808 +51 43 35.287705560|132.0562971915248 -10.1077992742637|  -2.234 -3.630  |10.09    |~              |    ~     ~            |    1|  609.050   pc  |  -7.7156     +7.7156  |paral   |2020yCat.1350....0G
851 |TYC 3292-4-1                                                                                             |Star                                |01 54 15.3219440568 +51 14 33.264437280|132.8527454357799 -10.4151224303101|   0.096 -3.091  |10.66    |~              |    ~     ~            |    1|  720.773   pc  | -11.3254    +11.3254  |paral   |2020yCat.1350....0G
852 |TYC 3292-62-1                                                                                            |Star                                |01 52 50.1230947896 +51 04 51.449317572|132.6728925123357 -10.6258660723918|   4.092 -0.925  |10.82    |~              |    ~     ~            |    1|  548.486   pc  |  -5.7159     +5.7159  |paral   |2020yCat.1350....0G
853 |TYC 3292-132-1                                                                                           |Star                                |01 55 30.5092439040 +51 09 04.503143196|133.0691273689109 -10.4550530701082| -13.882 -9.041  |10.83    |~              |    ~     ~            |    1|  245.652   pc  |  -1.1284     +1.1284  |paral   |2020yCat.1350....0G
854 |TYC 3292-262-1                                                                                           |Spectroscopic Binary                |01 58 05.2938700056 +51 04 55.378654572|133.4851363731919 -10.4188985843820|   2.194 -0.667  |9.92     |~              |    ~     ~            |    1| 1122.460   pc  | -28.0962    +28.0962  |paral   |2020yCat.1350....0G
855 |TYC 3292-270-1                                                                                           |Star                                |01 54 23.9775249624 +50 48 37.978297488|132.9829732303209 -10.8283731980673|   2.575 -6.213  |10.85    |~              |    ~     ~            |    1|  895.576   pc  | -14.6776    +14.6776  |paral   |2020yCat.1350....0G
856 |TYC 3292-272-1                                                                                           |Star                                |01 57 44.6134640808 +51 20 42.041302548|133.3629956729171 -10.1788548515140|  -2.606 -4.093  |10.65    |~              |    ~     ~            |    1| 1494.322   pc  | -37.7376    +37.7376  |paral   |2020yCat.1350....0G
857 |TYC 3292-294-1                                                                                           |Star                                |01 55 00.1772930616 +50 53 32.759140452|133.0563253294907 -10.7255122387303|   4.229 -8.094  |10.94    |~              |    ~     ~            |    1|  605.144   pc  |  -9.0085     +9.0085  |paral   |2020yCat.1350....0G
858 |TYC 3292-351-1                                                                                           |Star                                |01 58 41.5194469872 +50 57 26.827726176|133.6113803966786 -10.5144405119980|   8.138 -3.534  |9.60     |~              |    ~     ~            |    1|  494.903   pc  |  -3.6984     +3.6984  |paral   |2020yCat.1350....0G
859 |TYC 3292-360-1                                                                                           |Spectroscopic Binary                |01 54 00.4098746568 +51 12 02.069082468|132.8248168409843 -10.4653605588549|  41.076 -8.464  |10.95    |~              |    ~     ~            |    1|  249.650   pc  |  -4.4313     +4.4313  |paral   |2020yCat.1350....0G
860 |TYC 3292-361-1                                                                                           |Star                                |01 56 45.3650792136 +51 06 57.452577696|133.2707647117233 -10.4398675294054|  -0.046 -2.184  |9.97     |~              |    ~     ~            |    1| 1333.867   pc  | -42.8787    +42.8787  |paral   |2020yCat.1350....0G
861 |TYC 3292-440-1                                                                                           |Star                                |01 55 28.8593 +51 24 15.109            |133.0007248 -10.2111846            |  -7.982 -4.590  |10.72    |~              |    ~     ~            |    0|                |                       |        |                   
862 |TYC 3292-580-1                                                                                           |Star                                |01 52 56.2184810688 +51 16 36.405782868|132.6408496370221 -10.4319408603047|  21.764 -0.434  |10.44    |~              |    ~     ~            |    1|  565.099   pc  |  -7.8876     +7.8876  |paral   |2020yCat.1350....0G
863 |TYC 3292-638-1                                                                                           |Star                                |01 55 05.2152896592 +51 11 36.614813244|132.9933564036979 -10.4305775065660|   21.201 4.880  |10.69    |~              |    ~     ~            |    1|  292.723   pc  |  -1.9108     +1.9108  |paral   |2020yCat.1350....0G
864 |TYC 3292-678-1                                                                                           |Star                                |01 55 35.2291444056 +50 47 55.869582768|133.1709662436579 -10.7931643414540|   7.077 -0.893  |10.83    |~              |    ~     ~            |    1|  832.639   pc  | -13.8658    +13.8658  |paral   |2020yCat.1350....0G
865 |TYC 3292-778-1                                                                                           |Star                                |01 53 49.2668690304 +50 55 55.474124052|132.8626194906640 -10.7328714928782|  -6.486 -1.469  |10.89    |~              |    ~     ~            |    1|  524.109   pc  |  -8.5703     +8.5703  |paral   |2020yCat.1350....0G
866 |TYC 3292-784-1                                                                                           |Star                                |01 58 41.5878615408 +51 24 59.067387144|133.4895057667059 -10.0714269410284|  -3.384 -1.535  |10.23    |~              |    ~     ~            |    1|  709.270   pc  |  -9.2061     +9.2061  |paral   |2020yCat.1350....0G
867 |TYC 3292-805-1                                                                                           |Star                                |01 58 40.5520319760 +50 56 53.103132456|133.6113822747049 -10.5241465113937|   7.725 -6.725  |10.21    |~              |    ~     ~            |    1|  485.225   pc  |  -5.0385     +5.0385  |paral   |2020yCat.1350....0G
868 |TYC 3292-808-1                                                                                           |Star                                |01 56 20.7788956368 +50 59 34.839883968|133.2391427182899 -10.5751302577326| -23.290 -0.269  |10.74    |~              |    ~     ~            |    1|  251.978   pc  |  -1.1810     +1.1810  |paral   |2020yCat.1350....0G
869 |TYC 3292-849-1                                                                                           |Star                                |01 53 49.3401177216 +51 16 49.319065812|132.7765727193079 -10.3950091309117|   1.683 -2.031  |10.37    |~              |    ~     ~            |    1| 1777.462   pc  | -77.0886    +77.0886  |paral   |2020yCat.1350....0G
870 |TYC 3292-881-1                                                                                           |Star                                |01 55 13.0710250776 +50 41 56.385692448|133.1387524642887 -10.9044424954430|  11.525 -8.432  |10.89    |~              |    ~     ~            |    1|  566.958   pc  |  -6.9753     +6.9753  |paral   |2020yCat.1350....0G
871 |TYC 3292-917-1                                                                                           |Star                                |01 53 30.9243715440 +51 14 54.209346684|132.7371047479578 -10.4376810355561|  -16.087 2.725  |9.87     |~              |    ~     ~            |    1|  162.602   pc  |  -0.5658     +0.5658  |paral   |2020yCat.1350....0G
872 |TYC 3292-1041-1                                                                                          |Star                                |01 53 35.5390542816 +50 47 32.708894460|132.8615388714109 -10.8771157503326|  -1.325 -1.568  |9.09     |~              |    ~     ~            |    1|  560.004   pc  |  -7.8715     +7.8715  |paral   |2020yCat.1350....0G
873 |TYC 3292-1069-1                                                                                          |Star                                |01 55 53.7635912304 +50 42 17.463104856|133.2431358557303 -10.8718989747259|  -3.967 -1.964  |9.96     |~              |    ~     ~            |    1|  592.839   pc  | -30.7877    +30.7877  |paral   |2020yCat.1350....0G
874 |TYC 3292-1110-1                                                                                          |Star                                |01 54 02.2808423712 +51 28 09.143805648|132.7629953460084 -10.2036586105088|   1.399 -2.215  |10.71    |~              |    ~     ~            |    1| 1191.327   pc  | -26.6821    +26.6821  |paral   |2020yCat.1350....0G
875 |TYC 3292-1117-1                                                                                          |Star                                |01 52 45.3007967424 +51 06 35.343087156|132.6533947304134 -10.6008694299427|  23.185 -7.547  |10.79    |~              |    ~     ~            |    1|  242.043   pc  |  -1.0018     +1.0018  |paral   |2020yCat.1350....0G
876 |TYC 3292-1236-1                                                                                          |High Proper Motion Star             |01 59 07.1182629240 +50 43 58.789713612|133.7374900056607 -10.7133166184338| 43.734 -39.431  |10.94    |~              |    ~     ~            |    1|  223.744   pc  |  -0.8060     +0.8060  |paral   |2020yCat.1350....0G
877 |TYC 3292-1250-1                                                                                          |Star                                |01 53 29.1853026600 +50 43 10.107738588|132.8630147595937 -10.9519444680840| -17.273 -7.065  |10.41    |~              |    ~     ~            |    1|  287.414   pc  |  -1.7843     +1.7843  |paral   |2020yCat.1350....0G
878 |TYC 3292-1272-1                                                                                          |Star                                |01 57 30.2554152672 +52 10 04.622460312|133.1118874292444 -09.3931274768240|   8.005 -5.396  |10.49    |~              |    ~     ~            |    1|  520.048   pc  | -11.1696    +11.1696  |paral   |2020yCat.1350....0G
879 |TYC 3292-1284-1                                                                                          |Star                                |01 54 05.4622684632 +52 24 14.370498288|132.5398849395535 -09.2950660669478|  -5.735 -2.569  |10.69    |~              |    ~     ~            |    1|  792.833   pc  |  -9.6173     +9.6173  |paral   |2020yCat.1350....0G
880 |HAT-P-60                                                                                                 |Star                                |01 53 07.7732565840 +52 03 14.020237332|132.4808670106134 -09.6703733034484|   26.181 6.130  |9.710    |~              |    ~     ~            |    1|  228.337   pc  |  -0.9593     +0.9593  |paral   |2020yCat.1350....0G
881 |TYC 3292-1352-1                                                                                          |Star                                |01 52 45.5412269832 +52 14 45.699020988|132.3782636835928 -09.4974276738356|   5.488 -2.768  |10.68    |~              |    ~     ~            |    1|  842.460   pc  | -10.8590    +10.8590  |paral   |2020yCat.1350....0G
882 |TYC 3292-1446-1                                                                                          |Star                                |01 59 42.6501053640 +52 07 20.561003904|133.4551708318504 -09.3489061322976|   3.699 -5.524  |10.50    |~              |    ~     ~            |    1|  840.831   pc  | -28.9162    +28.9162  |paral   |2020yCat.1350....0G
883 |TYC 3292-1475-1                                                                                          |Star                                |01 54 11.0653295472 +52 20 36.899057076|132.5688104349594 -09.3501808009900|  -1.156 -3.612  |10.54    |~              |    ~     ~            |    1|  760.225   pc  |  -9.7672     +9.7672  |paral   |2020yCat.1350....0G
884 |TYC 3292-1505-1                                                                                          |Star                                |01 57 03.6465360672 +51 56 22.494863796|133.1042682934256 -09.6313371335232|  -6.331 -4.442  |10.26    |~              |    ~     ~            |    1|  347.572   pc  |  -2.5853     +2.5853  |paral   |2020yCat.1350....0G
885 |TYC 3292-1506-1                                                                                          |Star                                |01 52 52.4628080856 +51 42 56.899259748|132.5243298072137 -10.0080430971621|  -5.043 -0.567  |10.47    |~              |    ~     ~            |    1|  675.265   pc  | -22.0240    +22.0240  |paral   |2020yCat.1350....0G
886 |TYC 3292-1516-1                                                                                          |Star                                |01 57 13.5048833832 +52 24 28.552204584|133.0078549437434 -09.1720570878750|   1.342 -5.472  |10.89    |~              |    ~     ~            |    1|  680.782   pc  | -11.1695    +11.1695  |paral   |2020yCat.1350....0G
887 |TYC 3292-1568-1                                                                                          |Star                                |01 57 38.2506920184 +52 24 50.280849504|133.0678741972720 -09.1501206954850|   1.140 -1.870  |10.47    |~              |    ~     ~            |    1|  717.875   pc  |  -7.4210     +7.4210  |paral   |2020yCat.1350....0G
888 |TYC 3292-1611-1                                                                                          |Star                                |01 53 28.0464899424 +52 24 19.497703824|132.4460279802989 -09.3167301256834| -26.935 13.848  |10.04    |~              |    ~     ~            |    1|  132.635   pc  |  -0.4011     +0.4011  |paral   |2020yCat.1350....0G
889 |TYC 3292-1619-1                                                                                          |Star                                |01 55 33.4306868376 +51 45 02.355543504|132.9246016079077 -09.8727258741543|  -0.728 -2.474  |10.06    |~              |    ~     ~            |    1|  898.392   pc  | -15.5772    +15.5772  |paral   |2020yCat.1350....0G
890 |TYC 3292-1659-1                                                                                          |Star                                |01 58 47.8891414776 +52 16 40.911177504|133.2769749889654 -09.2355086625764|   27.196 5.819  |9.51     |~              |    ~     ~            |    1|  364.392   pc  |  -6.4797     +6.4797  |paral   |2020yCat.1350....0G
891 |TYC 3292-1667-1                                                                                          |High Proper Motion Star             |01 57 10.9385805768 +51 42 04.697328924|133.1844093616343 -09.8569254442716| 86.172 -14.501  |10.28    |~              |    ~     ~            |    1|  171.412   pc  |  -0.6611     +0.6611  |paral   |2020yCat.1350....0G
892 |TYC 3292-1686-1                                                                                          |Star                                |01 56 46.5381858672 +51 42 14.628503952|133.1218536757799 -09.8703140810436|  -1.670 -0.506  |10.17    |~              |    ~     ~            |    1|  861.475   pc  | -25.5296    +25.5296  |paral   |2020yCat.1350....0G
893 |TYC 3292-1710-1                                                                                          |Star                                |01 59 54.4904815656 +52 12 43.914237408|133.4606109935853 -09.2542777233423|   0.522 -2.193  |10.92    |~              |    ~     ~            |    1| 1400.953   pc  | -45.3376    +45.3376  |paral   |2020yCat.1350....0G
894 |TYC 3292-1737-1                                                                                          |Star                                |01 59 37.9199432136 +52 20 49.727741784|133.3831421778625 -09.1353357865928|   1.270 -2.929  |10.79    |~              |    ~     ~            |    1|  565.163   pc  | -37.2432    +37.2432  |paral   |2020yCat.1350....0G
895 |TYC 3292-1794-1                                                                                          |Star                                |01 57 40.9570757808 +51 36 18.554448996|133.2855856277374 -09.9299481999256|   3.161 -7.026  |9.87     |~              |    ~     ~            |    1|  429.590   pc  |  -4.6691     +4.6691  |paral   |2020yCat.1350....0G
896 |TYC 3292-1798-1                                                                                          |Star                                |01 58 12.7524885216 +51 51 20.610634932|133.3003096158437 -09.6666838373714|  -5.617 -1.853  |10.09    |~              |    ~     ~            |    1|  757.232   pc  | -20.0690    +20.0690  |paral   |2020yCat.1350....0G
897 |TYC 3292-1809-1                                                                                          |Star                                |01 53 22.5417045840 +51 47 50.911147392|132.5808632234998 -09.9101246532910|   0.603 -3.737  |10.19    |~              |    ~     ~            |    1| 1133.658   pc  | -18.5066    +18.5066  |paral   |2020yCat.1350....0G
898 |TYC 3292-1822-1                                                                                          |Star                                |01 54 25.1989693368 +51 35 42.451144152|132.7902172072569 -10.0670343642973|   3.727 -1.446  |10.40    |~              |    ~     ~            |    1| 1503.081   pc  | -52.8665    +52.8665  |paral   |2020yCat.1350....0G
899 |TYC 3292-1833-1                                                                                          |Star                                |01 59 04.3267418688 +51 47 22.656627312|133.4478826567229 -09.6958286781874|  16.119 -4.709  |10.65    |~              |    ~     ~            |    1|  678.933   pc  |  -9.5878     +9.5878  |paral   |2020yCat.1350....0G
900 |TYC 3292-1899-1                                                                                          |Red Giant Branch star Candidate     |01 58 44.9129647416 +52 07 57.462949488|133.3080235058089 -09.3778490295295|  20.769 -9.246  |9.65     |~              |    ~     ~            |    1|  585.274   pc  |  -5.4807     +5.4807  |paral   |2020yCat.1350....0G
901 |TYC 3292-1909-1                                                                                          |Star                                |01 56 46.9369189944 +51 52 22.231071192|133.0793569008509 -09.7068103774704|  -1.800 -7.538  |10.36    |~              |    ~     ~            |    1|  579.139   pc  | -14.3552    +14.3552  |paral   |2020yCat.1350....0G
902 |TYC 3292-1933-1                                                                                          |Star                                |01 58 38.1882356424 +51 54 29.444405436|133.3505434941975 -09.5990189110510|   3.711 -2.242  |10.02    |~              |    ~     ~            |    1|  733.407   pc  | -13.2858    +13.2858  |paral   |2020yCat.1350....0G
903 |TYC 3292-1954-1                                                                                          |Star                                |01 52 34.3984589376 +51 31 37.801881984|132.5240073389895 -10.2023829620757|   -8.585 1.135  |9.52     |~              |    ~     ~            |    1|  595.557   pc  |  -5.2139     +5.2139  |paral   |2020yCat.1350....0G
904 |TYC 3292-1957-1                                                                                          |Star                                |01 58 16.3413776760 +51 42 41.087953764|133.3473703710845 -09.8036513574868|   0.509 -1.154  |9.99     |~              |    ~     ~            |    1| 1411.034   pc  | -52.1647    +52.1647  |paral   |2020yCat.1350....0G
905 |TYC 3292-1962-1                                                                                          |Star                                |01 58 46.2726835752 +51 39 00.846664848|133.4393181989974 -09.8425617056885|   -9.733 3.816  |10.38    |~              |    ~     ~            |    1|  779.666   pc  | -11.1850    +11.1850  |paral   |2020yCat.1350....0G
906 |TYC 3292-2005-1                                                                                          |Star                                |01 57 40.4045163240 +52 20 28.664311848|133.0921472677032 -09.2189462239492|  27.089 -7.298  |9.94     |~              |    ~     ~            |    1|  188.104   pc  |  -0.7501     +0.7501  |paral   |2020yCat.1350....0G
907 |TYC 3292-2027-1                                                                                          |Star                                |01 57 38.0966361408 +51 38 53.041944444|133.2671132526181 -09.8903860588868|  10.121 -7.027  |10.23    |~              |    ~     ~            |    1|  659.805   pc  | -10.0564    +10.0564  |paral   |2020yCat.1350....0G
908 |TYC 3292-2070-1                                                                                          |Star                                |01 56 21.9516623928 +51 30 28.888936308|133.1097932164288 -10.0760764076974|  -4.202 -3.827  |10.23    |~              |    ~     ~            |    1|  926.612   pc  | -15.8843    +15.8843  |paral   |2020yCat.1350....0G
909 |TYC 3292-2077-1                                                                                          |Star                                |01 52 37.7535559176 +52 29 29.503326336|132.2994798588235 -09.2637155099294|  11.445 -1.331  |9.44     |~              |    ~     ~            |    1|  543.242   pc  |  -4.7218     +4.7218  |paral   |2020yCat.1350....0G
910 |TYC 3292-2082-1                                                                                          |Star                                |01 58 21.0629663976 +52 09 11.156303664|133.2429416956308 -09.3739646560058|   -8.118 1.074  |10.73    |~              |    ~     ~            |    1|  607.940   pc  |  -7.9832     +7.9832  |paral   |2020yCat.1350....0G
911 |TYC 3292-2088-1                                                                                          |Star                                |01 56 53.2237416672 +52 28 04.226680596|132.9419456918655 -09.1272368565917|  -2.129 -3.024  |10.43    |~              |    ~     ~            |    1|  292.980   pc  |  -1.2446     +1.2446  |paral   |2020yCat.1350....0G
912 |TYC 3292-2123-1                                                                                          |Star                                |01 56 09.0454555008 +51 50 04.091170272|132.9934683045215 -09.7685883093903|   7.941 -2.003  |9.92     |~              |    ~     ~            |    1|  917.515   pc  | -15.4056    +15.4056  |paral   |2020yCat.1350....0G
913 |TYC 3684-658-1                                                                                           |Star                                |01 54 07.6676203344 +52 35 38.635827972|132.4984979345248 -09.1093506173572|   9.110 -7.555  |10.28    |~              |    ~     ~            |    1|  988.533   pc  | -17.1010    +17.1010  |paral   |2020yCat.1350....0G
914 |TYC 3684-1104-1                                                                                          |Star                                |01 55 02.2521208560 +52 31 27.419579580|132.6515938259267 -09.1430956261697|   6.804 -7.899  |10.87    |~              |    ~     ~            |    1|  281.326   pc  |  -1.1318     +1.1318  |paral   |2020yCat.1350....0G
915 |TYC 3684-1320-1                                                                                          |Star                                |01 54 45.7766573496 +52 37 49.391061312|132.5841711094706 -09.0505431333686|  -0.612 -2.501  |10.18    |~              |    ~     ~            |    1|  725.531   pc  | -10.2647    +10.2647  |paral   |2020yCat.1350....0G
916 |TYC 3684-1528-1                                                                                          |Star                                |01 55 13.3155037536 +52 35 41.705659176|132.6614048385730 -09.0677244079523|   -1.712 0.276  |10.92    |~              |    ~     ~            |    1|  835.911   pc  | -14.9532    +14.9532  |paral   |2020yCat.1350....0G
917 |TYC 3684-1874-1                                                                                          |Star                                |01 56 07.8799934088 +52 35 07.815082200|132.7992270611586 -09.0424064824479|   3.139 -5.158  |10.30    |~              |    ~     ~            |    1|  535.303   pc  |  -7.1351     +7.1351  |paral   |2020yCat.1350....0G
918 |TYC 3684-2140-1                                                                                          |Star                                |01 54 20.2543588392 +52 42 00.626959620|132.5035451013256 -08.9986859246697| 24.272 -10.076  |10.43    |~              |    ~     ~            |    1|  294.386   pc  |  -1.2913     +1.2913  |paral   |2020yCat.1350....0G
919 |BD+49 500                                                                                                |Star                                |01 56 14.3752035120 +50 21 33.808240548|133.3857648410380 -11.1924054662728|   -5.439 0.133  |10.10    |~              |    ~     ~            |    1|  545.078   pc  |  -5.8234     +5.8234  |paral   |2020yCat.1350....0G
920 |BD+49 496                                                                                                |High Proper Motion Star             |01 55 49.9435642872 +50 30 40.851501876|133.2827485177344 -11.0617229940158|119.922 -20.028  |10.88    |~              |    ~     ~            |    1|   89.849   pc  |  -0.1171     +0.1171  |paral   |2020yCat.1350....0G
921 |HD 12073                                                                                                 |High Proper Motion Star             |01 59 46.3423565520 +49 28 41.295019044|134.1801777121494 -11.8953586042013| -20.200 58.653  |7.22     |F0             |    ~     ~            |    1|   64.706   pc  |  -0.1168     +0.1168  |paral   |2020yCat.1350....0G
922 |HD 11925                                                                                                 |Star                                |01 58 25.5492704448 +49 54 54.176682312|133.8477128883073 -11.5315888173445| 20.002 -12.243  |8.81     |A2             |    ~     ~            |    1|  238.311   pc  |  -1.5163     +1.5163  |paral   |2020yCat.1350....0G
923 |HD 11883                                                                                                 |Star                                |01 58 03.2485906128 +49 38 33.863452836|133.8611867049505 -11.8101177677251|  1.578 -35.323  |6.98     |K2             |    ~     ~            |    1|  166.608   pc  |  -0.6190     +0.6190  |paral   |2020yCat.1350....0G
924 |TYC 3288-2336-1                                                                                          |Star                                |01 56 58.6779902832 +49 38 20.406111504|133.6902169388839 -11.8587762917793|  20.652 -0.631  |10.37    |~              |    ~     ~            |    1|  921.319   pc  | -16.3824    +16.3824  |paral   |2020yCat.1350....0G
925 |TYC 3288-2414-1                                                                                          |Star                                |01 59 39.8269180632 +49 41 07.936740996|134.1063018159746 -11.7001784997119|   5.413 -1.174  |9.46     |~              |    ~     ~            |    1|  835.073   pc  | -14.6443    +14.6443  |paral   |2020yCat.1350....0G
926 |TYC 3288-2491-1                                                                                          |Star                                |01 58 15.7350378648 +49 36 57.600497268|133.9015524703855 -11.8271357931197|   -8.797 1.604  |10.47    |~              |    ~     ~            |    1| 1627.075   pc  | -46.8585    +46.8585  |paral   |2020yCat.1350....0G
927 |TYC 3288-2554-1                                                                                          |Star                                |01 58 24.6835130736 +49 34 43.305401388|133.9353584297168 -11.8568160152708|  -9.366 -7.431  |9.99     |~              |    ~     ~            |    1|  492.975   pc  |  -7.1692     +7.1692  |paral   |2020yCat.1350....0G
928 |TYC 3675-285-1                                                                                           |Star                                |01 45 09.5174377224 +55 55 14.719561824|130.4536076018559 -06.1644703538276|   7.224 -4.903  |10.15    |~              |    ~     ~            |    1|  945.090   pc  | -11.0756    +11.0756  |paral   |2020yCat.1350....0G
929 |HD 232525                                                                                                |Emission-line Star                  |01 46 08.5876817976 +53 36 27.875077596|131.0839292023477 -08.3959043580627|  -1.149 -1.958  |8.83     |B0             |    ~     ~            |    1| 2445.586   pc  |-220.0967   +220.0967  |paral   |2020yCat.1350....0G
930 |HD 10900                                                                                                 |Star                                |01 48 18.7252189200 +53 14 55.680200592|131.4815838286292 -08.6762156120288|  -9.454 -0.928  |8.28     |K0             |    ~     ~            |    1|  398.613   pc  | -12.1553    +12.1553  |paral   |2020yCat.1350....0G
931 |HD 10965                                                                                                 |Star                                |01 48 58.3160699520 +53 06 02.296136088|131.6124548273892 -08.7986744005055|   0.734 -2.247  |9.51     |A0             |    ~     ~            |    1|  663.394   pc  |  -9.9461     +9.9461  |paral   |2020yCat.1350....0G
932 |HD 11141                                                                                                 |Star                                |01 50 54.4165063848 +53 09 09.941335560|131.8864575048403 -08.6819195012493|  6.042 -14.814  |8.80     |A2             |    ~     ~            |    1|  299.052   pc  |  -2.1374     +2.1374  |paral   |2020yCat.1350....0G
933 |HD 232553                                                                                                |Star                                |01 52 21.3031400400 +53 00 12.122542368|132.1357226854506 -08.7763314856863|  -0.224 -1.455  |9.00     |K5             |    ~     ~            |    1|  681.106   pc  | -12.3399    +12.3399  |paral   |2020yCat.1350....0G
934 |HD 11308                                                                                                 |Star                                |01 52 26.7577813272 +52 59 19.078997136|132.1527000669216 -08.7874087335427| 31.911 -15.778  |8.78     |A0             |    ~     ~            |    1|  265.972   pc  |  -2.3981     +2.3981  |paral   |2020yCat.1350....0G
935 |IRAS 01436+5311                                                                                          |Long-Period Variable Candidate      |01 46 54.4585626000 +53 26 18.992033664|131.2327682180146 -08.5367738592929|   7.957 -6.028  |9.94     |~              |    ~     ~            |    1|  865.127   pc  | -32.4076    +32.4076  |paral   |2020yCat.1350....0G
936 |HD 232524                                                                                                |Star                                |01 46 10.2131509800 +54 45 33.072570756|130.8408917508097 -07.2699069052724|  -0.806 -1.346  |9.23     |B2             |    ~     ~            |    1| 2550.370   pc  |-236.7597   +236.7597  |paral   |2020yCat.1350....0G
937 |HD 232526                                                                                                |High Proper Motion Star             |01 46 20.8429254576 +54 57 29.387020356|130.8233787376185 -07.0700581359535| 65.366 -11.540  |9.75     |K2             |    ~     ~            |    1|  213.138   pc  |  -0.6723     +0.6723  |paral   |2020yCat.1350....0G
938 |HD 232527                                                                                                |Star                                |01 46 26.7746292384 +54 45 30.627364896|130.8802586351839 -07.2620990509100|   -6.410 0.420  |9.38     |K7             |    ~     ~            |    1|  808.146   pc  | -12.2130    +12.2130  |paral   |2020yCat.1350....0G
939 |HD 10899                                                                                                 |Star                                |01 48 27.3663461472 +55 42 21.524892300|130.9550143813042 -06.2750437523634|   5.444 -8.061  |8.35     |A0             |    ~     ~            |    1|  406.686   pc  |  -4.0521     +4.0521  |paral   |2020yCat.1350....0G
940 |HD 10941                                                                                                 |Star                                |01 48 55.2572176368 +54 56 53.309032368|131.1889164232771 -06.9994123330355|  -17.152 2.108  |8.38     |A2             |    ~     ~            |    1|  234.571   pc  |  -1.4031     +1.4031  |paral   |2020yCat.1350....0G
941 |HD 232535                                                                                                |Star                                |01 49 01.1169055656 +55 09 26.619871212|131.1557130163689 -06.7922992064485|   -7.866 4.267  |9.77     |A3             |    ~     ~            |    0|                |                       |        |                   
942 |HD 10973                                                                                                 |Star                                |01 49 11.6786328000 +55 08 32.288609220|131.1837912241348 -06.8013988591566|   -3.943 1.922  |8.95     |A0             |    ~     ~            |    1|  540.044   pc  |  -8.8953     +8.8953  |paral   |2020yCat.1350....0G
943 |HD 232539                                                                                                |High Proper Motion Star             |01 50 01.2387425064 +54 52 14.420564508|131.3616193759906 -07.0393975051632| 99.680 -14.513  |9.67     |K0             |    ~     ~            |    1|  115.323   pc  |  -0.6596     +0.6596  |paral   |2020yCat.1350....0G
944 |HD 232541                                                                                                |Star                                |01 50 30.8843084928 +55 13 02.799469092|131.3515423711851 -06.6856189643565|  -1.844 -5.232  |8.02     |K0             |    ~     ~            |    1|  715.359   pc  | -10.6442    +10.6442  |paral   |2020yCat.1350....0G
945 |HD 232543                                                                                                |Star                                |01 50 38.5969774920 +54 56 59.976800736|131.4311875511305 -06.9417716120525|  11.168 -8.555  |9.37     |B9             |    ~     ~            |    1|  336.406   pc  |  -2.1502     +2.1502  |paral   |2020yCat.1350....0G
946 |BD+54 391                                                                                                |Star                                |01 51 05.1628840728 +54 43 50.890421928|131.5444746624321 -07.1404333151289|  0.310 -10.041  |10.89    |F0             |    ~     ~            |    1|  486.050   pc  |  -4.3942     +4.3942  |paral   |2020yCat.1350....0G
947 |HD 232547                                                                                                |Star                                |01 51 16.8024902280 +55 24 22.245180408|131.4145508095164 -06.4769112543583| 14.447 -11.825  |8.06     |K0             |    ~     ~            |    1|  376.605   pc  | -11.1196    +11.1196  |paral   |2020yCat.1350....0G
948 |HD 11187                                                                                                 |Star                                |01 51 26.6179346232 +54 55 28.849176732|131.5497402872339 -06.9399017572659|  7.710 -10.127  |7.94     |A0p            |    ~     ~            |    1|  388.244   pc  |  -5.4867     +5.4867  |paral   |2020yCat.1350....0G
