C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:25:48

dec >=0&rah >=1.75&rah< 2.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5595

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
23  |TYC 2827-1288-1                                                                                          |Star                                |01 47 14.1982117344 +44 07 25.880207628|133.3924680048722 -17.6116124923179|  8.532 -15.435  |10.86    |~              |    ~     ~            |    1|  528.905   pc  |  -4.5038     +4.5038  |paral   |2020yCat.1350....0G
24  |TYC 2827-1376-1                                                                                          |Star                                |01 45 30.8229641184 +44 05 54.633750252|133.0818945941109 -17.7049055915966|  -1.345 -5.033  |10.05    |~              |    ~     ~            |    1| 1063.490   pc  | -22.0547    +22.0547  |paral   |2020yCat.1350....0G
25  |BD+43 360                                                                                                |Star                                |01 45 44.2057708776 +44 15 33.617050992|133.0859269729115 -17.5392241773193|   -2.411 1.135  |9.63     |A2V            |    ~     ~            |    1|  404.891   pc  |  -3.4427     +3.4427  |paral   |2020yCat.1350....0G
26  |TYC 2827-1817-1                                                                                          |Star                                |01 46 47.3978190168 +44 16 20.962401168|133.2756976539202 -17.4847044214010|    0.785 1.960  |10.15    |~              |    ~     ~            |    1|  730.887   pc  | -10.2031    +10.2031  |paral   |2020yCat.1350....0G
27  |TYC 2827-1967-1                                                                                          |Star                                |01 46 37.2460615104 +43 29 15.892672380|133.4286087705428 -18.2564357872091| 42.867 -11.401  |10.13    |~              |    ~     ~            |    1|  222.054   pc  |  -0.8974     +0.8974  |paral   |2020yCat.1350....0G
28  |BD+43 383                                                                                                |Star                                |01 51 40.2936840528 +44 03 59.879978712|134.2184806689982 -17.4811029309779|   8.243 -4.673  |9.18     |G8V            |    ~     ~            |    1|  458.610   pc  |  -4.1644     +4.1644  |paral   |2020yCat.1350....0G
29  |BD+43 384                                                                                                |Star                                |01 51 56.7129340272 +43 54 56.864932812|134.3070047632873 -17.6154548397767| -0.809 -21.707  |9.49     |A5V            |    ~     ~            |    1|  274.650   pc  |  -1.8556     +1.8556  |paral   |2020yCat.1350....0G
30  |HD 10860                                                                                                 |Star                                |01 47 27.1522558800 +43 04 49.449386460|133.6808385622433 -18.6191869482039| -2.976 -11.066  |7.85     |A0             |    ~     ~            |    1|  302.033   pc  |  -3.6398     +3.6398  |paral   |2020yCat.1350....0G
31  |BD+42 375                                                                                                |Star                                |01 47 58.2394367736 +43 12 40.824589608|133.7463769960573 -18.4701386716881| 32.142 -13.051  |9.40     |G2III          |    ~     ~            |    1|  507.795   pc  |  -4.4609     +4.4609  |paral   |2020yCat.1350....0G
32  |BD+42 376a                                                                                               |Star                                |01 48 12.5709739152 +43 19 22.050931980|133.7640222848618 -18.3516823340539|  -9.349 -1.494  |10.47    |F2             |    ~     ~            |    1|  326.872   pc  |  -2.9596     +2.9596  |paral   |2020yCat.1350....0G
33  |HD 10916                                                                                                 |Star                                |01 48 06.1410610800 +43 16 25.433176152|133.7559016695504 -18.4039100565653|   4.571 -5.106  |9.38     |B8V            |    ~     ~            |    1|  491.352   pc  |  -9.4639     +9.4639  |paral   |2020yCat.1350....0G
34  |BD+42 378                                                                                                |Star                                |01 48 09.2043275448 +43 10 42.135284676|133.7885360527209 -18.4945841013147|  9.847 -10.918  |8.69     |G8III          |    ~     ~            |    1|  376.790   pc  |  -3.7054     +3.7054  |paral   |2020yCat.1350....0G
35  |BD+42 379                                                                                                |Double or Multiple Star             |01 48 11.0518984224 +42 51 21.393088596|133.8726360657833 -18.8070617883369|  -16.915 0.832  |10.289   |K0             |    ~     ~            |    0|                |                       |        |                   
36  |BD+42 380                                                                                                |High Proper Motion Star             |01 48 16.2241053672 +42 46 54.930290844|133.9069262395250 -18.8754378080381| 41.152 -32.282  |10.10    |G0             |    ~     ~            |    1|  188.750   pc  |  -0.6805     +0.6805  |paral   |2020yCat.1350....0G
37  |BD+42 381                                                                                                |Double or Multiple Star             |01 48 30.5529 +43 07 18.740            |133.8688703 -18.5345943            |  -1.035 -2.739  |10.42    |A7V            |    ~     ~            |    0|                |                       |        |                   
38  |BD+42 382                                                                                                |High Proper Motion Star             |01 49 19.1092164528 +43 02 07.478446668|134.0417128299246 -18.5842473767678|  119.908 8.461  |9.76     |G0             |    ~     ~            |    1|  109.597   pc  |  -0.1778     +0.1778  |paral   |2020yCat.1350....0G
39  |BD+42 383                                                                                                |High Proper Motion Star             |01 49 36.6663962928 +43 04 57.121294332|134.0848241706267 -18.5258763678491| 65.874 -16.018  |10.69    |G5V            |    ~     ~            |    1|  224.669   pc  |  -2.2260     +2.2260  |paral   |2020yCat.1350....0G
40  |BD+42 384                                                                                                |Star                                |01 49 46.7505235824 +43 42 06.023003076|133.9624809794538 -17.9169744424401|   7.220 -3.295  |9.92     |G2V            |    ~     ~            |    1|  638.896   pc  |  -9.8373     +9.8373  |paral   |2020yCat.1350....0G
41  |BD+42 387                                                                                                |Star                                |01 51 06.8706245352 +43 11 38.692778100|134.3375294060409 -18.3521228717969|  4.726 -10.141  |10.01    |F8             |    ~     ~            |    1|  369.276   pc  |  -2.1137     +2.1137  |paral   |2020yCat.1350....0G
42  |HD 11201                                                                                                 |Star                                |01 51 07.3890238464 +43 31 30.748131876|134.2550623684351 -18.0303943361101|-15.633 -10.584  |7.66     |K0             |    ~     ~            |    1|  221.273   pc  |  -1.5472     +1.5472  |paral   |2020yCat.1350....0G
43  |HD 11235                                                                                                 |Star                                |01 51 23.2525951848 +43 28 35.299913124|134.3163767735648 -18.0661058597735|   5.133 -5.063  |8.46     |A5             |    ~     ~            |    1|  714.592   pc  | -36.8683    +36.8683  |paral   |2020yCat.1350....0G
