C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 111663                                                                                                |High Proper Motion Star             |12 50 55.3961914680 -01 43 12.588525768|302.6653898739965 +61.1513177681776|-93.441 -44.865   |10.07    |G2/3V            |    ~     ~    |    1|  132.894   pc  |  -0.3832     +0.3832    |paral   |2020yCat.1350....0G
23  |HD 111662                                                                                                |High Proper Motion Star             |12 50 58.4063303400 -01 35 08.179351116|302.6903253948833 +61.2859243237158|-65.711 -38.431   |9.95     |G2V              |    ~     ~    |    1|  174.298   pc  |  -0.6835     +0.6835    |paral   |2020yCat.1350....0G
24  |HD 111692                                                                                                |Star                                |12 51 09.7415298792 -01 44 53.903700024|302.7893438490426 +61.1233647164118|  -5.018 -2.092   |9.41     |K2(III)          |    ~     ~    |    1|  851.934   pc  | -11.8304    +11.8304    |paral   |2020yCat.1350....0G
25  |HD 111853                                                                                                |Star                                |12 52 12.1897789896 -00 55 44.477133996|303.3386087184321 +61.9421218855678|   0.864 -6.410   |7.74     |K4III            |    ~     ~    |    1|  506.380   pc  |  -8.0260     +8.0260    |paral   |2020yCat.1350....0G
26  |HD 111942                                                                                                |High Proper Motion Star             |12 52 53.6375459088 -01 15 05.766470136|303.6975397530458 +61.6179812706192|-142.961 -9.746   |9.33     |G0V              |    ~     ~    |    1|   99.141   pc  |  -0.2162     +0.2162    |paral   |2020yCat.1350....0G
27  |HD 111941                                                                                                |Star                                |12 52 57.2549093664 -00 54 44.905850892|303.7381732530329 +61.9568999595272|  10.630 -5.848   |9.68     |G1V              |    ~     ~    |    1|  209.209   pc  |  -0.9410     +0.9410    |paral   |2020yCat.1350....0G
28  |BD-00 2627                                                                                               |Star                                |12 53 06.0102422832 -01 09 58.022298000|303.8084056269488 +61.7028013812854|   8.301 -8.647   |9.78     |K2               |    ~     ~    |    1|  534.245   pc  |  -6.0509     +6.0509    |paral   |2020yCat.1350....0G
29  |HD 112117                                                                                                |Star                                |12 54 08.4172567416 -01 28 17.012647200|304.3425853607464 +61.3929531274612| -28.796 -3.390   |9.39     |F0/2V            |    ~     ~    |    1|  188.441   pc  |  -0.8700     +0.8700    |paral   |2020yCat.1350....0G
30  |HD 112265                                                                                                |High Proper Motion Star             |12 55 32.6003172408 -01 07 28.557312528|305.0989139598685 +61.7298733975980|-63.487 -24.081   |8.82     |F8V              |    ~     ~    |    1|  222.891   pc  |  -6.0709     +6.0709    |paral   |2020yCat.1350....0G
31  |HD 112282                                                                                                |Star                                |12 55 40.4981546832 -01 43 11.889822180|305.1255005274841 +61.1337306147880| -2.220 -28.783   |8.84     |K1III            |    ~     ~    |    1|  468.757   pc  |  -4.2409     +4.2409    |paral   |2020yCat.1350....0G
