C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1128|CD-35 8291                                                                                               |Star                                |12 56 01.8267372312 -36 23 02.408670528|303.9645500180217 +26.4785369731675| -30.114 -7.737   |10.289   |F8               |    ~     ~    |    1|  316.464   pc  |  -7.2760     +7.2760    |ST-L    |2020AJ....160...83S
1129|HD 111323                                                                                                |Star                                |12 48 50.6964792192 -37 20 24.626724468|302.3607825900043 +25.5286979749379|-29.051 -21.680   |9.31     |K1III            |    ~     ~    |    1|  489.285   pc  |  -3.6149     +3.6149    |paral   |2020yCat.1350....0G
1130|HD 111353                                                                                                |Star                                |12 49 03.0555888840 -37 24 59.490917460|302.4070203654873 +25.4527895426859|   -6.165 8.332   |9.47     |K0/1III          |    ~     ~    |    1|  539.433   pc  |  -4.8886     +4.8886    |paral   |2020yCat.1350....0G
1131|HD 111414                                                                                                |Star                                |12 49 23.5990225632 -36 48 34.943539356|302.4763704839470 +26.0602325356458|-16.147 -15.027   |9.08     |F2/3V            |    ~     ~    |    1|  241.307   pc  |  -1.1064     +1.1064    |paral   |2020yCat.1350....0G
1132|HD 111415                                                                                                |Star                                |12 49 25.3586684256 -37 02 33.486445212|302.4851590057303 +25.8273642811321| -26.581 -7.861   |9.56     |F5V              |    ~     ~    |    1|  378.000   pc  |  -9.2160     +9.2160    |paral   |2020yCat.1350....0G
1133|HD 111670                                                                                                |Star                                |12 51 11.8631425704 -37 30 43.538601240|302.8792142078456 +25.3596289460051| -22.307 17.453   |8.46     |K1III            |    ~     ~    |    1|  303.426   pc  |  -2.0623     +2.0623    |paral   |2020yCat.1350....0G
1134|CD-36 8140                                                                                               |Star                                |12 51 34.8973514088 -36 43 28.718611356|302.9640048442886 +26.1470945746897|  -4.396 -6.639   |10.00    |F8               |    ~     ~    |    1|  261.090   pc  |  -1.2134     +1.2134    |paral   |2020yCat.1350....0G
1135|HD 111772                                                                                                |Star                                |12 51 55.6224974304 -37 25 23.418881688|303.0394733787302 +25.4484735325030|   1.756 -6.542   |9.45     |K2/3             |    ~     ~    |    1| 1050.420   pc  | -21.5160    +21.5160    |paral   |2020yCat.1350....0G
1136|CD-36 8150                                                                                               |Star                                |12 52 43.8843823128 -37 29 02.073510096|303.2159584356322 +25.3871249209754|  -5.405 -3.728   |10.184   |K0               |    ~     ~    |    1|  680.999   pc  | -30.8900    +30.8900    |ST-L    |2020AJ....160...83S
1137|CD-36 8165                                                                                               |High Proper Motion Star             |12 53 55.6069786416 -36 55 16.571866008|303.4851293875492 +25.9478042346593|  -69.629 6.391   |10.113   |K0               |    ~     ~    |    1|  333.829   pc  |  -8.4190     +8.4190    |ST-L    |2020AJ....160...83S
1138|HD 112133                                                                                                |Star                                |12 54 32.1592355496 -36 48 41.685587964|303.6221613047226 +26.0560161813387|   0.741 -8.588   |8.74     |K0III            |    ~     ~    |    1|  385.832   pc  |  -3.2304     +3.2304    |paral   |2020yCat.1350....0G
1139|CD-36 8176                                                                                               |Star                                |12 54 52.4585787408 -37 24 02.638065600|303.6878378800078 +25.4659710652701| -17.365 -1.918   |9.24     |K5               |    ~     ~    |    1|  696.330   pc  |  -7.3216     +7.3216    |paral   |2020yCat.1350....0G
1140|CD-36 8182                                                                                               |Star                                |12 55 04.0119968016 -37 27 20.148806952|303.7292424138950 +25.4105325943523|   8.400 -7.202   |9.98     |F8               |    ~     ~    |    1|  249.782   pc  |  -3.6260     +3.6260    |ST-L    |2020AJ....160...83S
1141|HD 112306                                                                                                |Star                                |12 56 06.5981196504 -36 53 00.501508320|303.9711663846766 +25.9788472671032|-17.875 -19.727   |8.69     |F0V              |    ~     ~    |    1|  190.375   pc  |  -0.9930     +0.9930    |paral   |2020yCat.1350....0G
1142|CD-37 8137                                                                                               |High Proper Motion Star             |12 47 45.0165183024 -38 03 56.295335700|302.1323702180821 +24.8003850203122|-236.596 -15.780  |9.76     |K5               |    ~     ~    |    1|   44.868   pc  |  -0.0336     +0.0336    |paral   |2020yCat.1350....0G
1143|HD 111584                                                                                                |Star                                |12 50 36.4326333792 -37 56 14.412202008|302.7512997300997 +24.9341195249643|  9.348 -27.204   |7.92     |K2/3III          |    ~     ~    |    1|  353.057   pc  |  -2.6301     +2.6301    |paral   |2020yCat.1350....0G
1144|HD 111967                                                                                                |Star                                |12 53 25.7183041128 -38 03 31.186805400|303.3636384147031 +24.8114158763729|  -18.058 4.739   |9.77     |A                |    ~     ~    |    1|  469.792   pc  |  -4.0389     +4.0389    |paral   |2020yCat.1350....0G
1145|HD 111982                                                                                                |Star                                |12 53 27.1930354368 -38 06 55.897647480|303.3684285766282 +24.7545124063613|  11.929 -1.908   |8.92     |K                |    ~     ~    |    1|  570.776   pc  | -15.0839    +15.0839    |paral   |2020yCat.1350....0G
1146|CD-37 8221                                                                                               |Star                                |12 54 08.9547882864 -38 15 41.602225824|303.5173141664837 +24.6071096277808| -27.875 -6.693   |9.76     |K0               |    ~     ~    |    1|  317.894   pc  |  -2.8094     +2.8094    |paral   |2020yCat.1350....0G
1147|CD-37 8219                                                                                               |Chemically Peculiar Star            |12 53 57.4200181848 -38 01 35.580781956|303.4785959956456 +24.8425234788297|-33.070 -55.563   |10.936   |Gwl              |    ~     ~    |    1| 1960.990   pc  |-272.0000   +272.0000    |ST-L    |2020AJ....160...83S
1148|SOPS IV e-57                                                                                             |Carbon Star                         |12 51 22.4558643840 -36 58 12.282684276|302.9177928648744 +25.9016673148832|  -2.278 -2.040   |10.891   |R                |    ~     ~    |    1| 1241.100   pc  |-113.3000   +113.3000    |ST-L    |2020AJ....160...83S
1149|HD 111264                                                                                                |Star                                |12 48 18.5093384352 -38 22 05.925730836|302.2578443320500 +24.4993389603104| -29.612 -3.609   |9.20     |A8V              |    ~     ~    |    1|  392.727   pc  |  -3.1155     +3.1155    |paral   |2020yCat.1350....0G
1150|HD 111896                                                                                                |Star                                |12 52 52.2865220928 -38 30 11.469282084|303.2398133145695 +24.3677046902427|  -8.096 -8.999   |9.59     |G0V              |    ~     ~    |    1|  222.836   pc  |  -0.6952     +0.6952    |paral   |2020yCat.1350....0G
1151|HD 111245                                                                                                |Star                                |12 48 12.1583641392 -38 42 08.466601536|302.2401008720015 +24.1650498252735|-32.521 -22.560   |9.10     |G5V              |    ~     ~    |    1|  101.452   pc  |  -2.2932     +2.2932    |paral   |2020yCat.1350....0G
1152|CD-36 8098                                                                                               |Star                                |12 47 57.9819413832 -37 07 02.205163812|302.1635829895226 +25.7492892766897| -9.940 -19.674   |10.688   |~                |    ~     ~    |    1|  157.136   pc  |  -1.6070     +1.6070    |ST-L    |2020AJ....160...83S
1153|CD-36 8118                                                                                               |Star                                |12 49 35.5597979184 -37 24 31.376544516|302.5260772391810 +25.4615777884677|  -20.266 2.274   |10.487   |~                |    ~     ~    |    1|  596.058   pc  | -21.6600    +21.6600    |ST-L    |2020AJ....160...83S
1154|CD-37 8165                                                                                               |Star                                |12 50 05.6278390872 -37 46 26.623403364|302.6386280326347 +25.0969200790268|  -5.489 -1.933   |10.381   |~                |    ~     ~    |    1|  281.783   pc  |  -5.3040     +5.3040    |ST-L    |2020AJ....160...83S
1155|CD-37 8179                                                                                               |High Proper Motion Star             |12 51 32.6542020408 -38 12 45.966877200|302.9549063887793 +24.6589742634103|  -71.798 2.999   |10.30    |~                |    ~     ~    |    1|  158.108   pc  |  -0.5050     +0.5050    |paral   |2020yCat.1350....0G
1156|CD-37 8190                                                                                               |Star                                |12 52 05.3310457032 -38 36 50.015121912|303.0713954005721 +24.2576782192795|-13.463 -10.764   |10.178   |~                |    ~     ~    |    1|  616.197   pc  | -46.7100    +46.7100    |ST-L    |2020AJ....160...83S
1157|CD-37 8193                                                                                               |High Proper Motion Star             |12 52 16.6370368440 -38 32 24.723126528|303.1120580090590 +24.3312531412201| -46.322 -6.917   |10.52    |~                |    ~     ~    |    1|  358.115   pc  |  -5.3735     +5.3735    |paral   |2020yCat.1350....0G
1158|CD-36 8152                                                                                               |Star                                |12 52 45.9632571864 -36 50 25.395581544|303.2276549349780 +26.0305972966989|  -10.880 7.350   |10.13    |~                |    ~     ~    |    1|  746.436   pc  | -10.5862    +10.5862    |paral   |2020yCat.1350....0G
1159|CD-37 8153                                                                                               |Star                                |12 49 19.2783847344 -37 48 20.966822244|302.4703873649791 +25.0640266719105| -13.797 -0.360   |9.64     |~                |    ~     ~    |    1|  847.170   pc  | -11.1243    +11.1243    |paral   |2020yCat.1350....0G
1160|CD-35 8236                                                                                               |High Proper Motion Star             |12 51 56.6420634504 -36 16 27.764221656|303.0460059061351 +26.5972565255592| -49.454 -0.987   |10.376   |~                |    ~     ~    |    1|  335.365   pc  |  -8.0770     +8.0770    |ST-L    |2020AJ....160...83S
1161|CD-35 8239                                                                                               |Star                                |12 52 10.8334912032 -36 13 05.116348308|303.0995215545149 +26.6534180426645|  -14.876 0.910   |10.605   |~                |    ~     ~    |    1| 1169.070   pc  | -95.0700    +95.0700    |ST-L    |2020AJ....160...83S
1162|CPD-36 5702                                                                                              |Star                                |12 52 46.1944906224 -36 55 52.400992224|303.2279315780552 +25.9397595319928|    2.107 6.321   |10.44    |~                |    ~     ~    |    1|  157.322   pc  |  -0.4257     +0.4257    |paral   |2020yCat.1350....0G
1163|CPD-36 5703                                                                                              |Star                                |12 52 48.2339129664 -36 54 30.590975520|303.2356341509089 +25.9624445715019|  -11.618 9.509   |10.75    |~                |    ~     ~    |    1|  547.375   pc  |  -6.8913     +6.8913    |paral   |2020yCat.1350....0G
1164|CD-35 8258                                                                                               |High Proper Motion Star             |12 53 11.4623794800 -36 13 28.029453888|303.3275026568609 +26.6459484228814| 27.660 -71.964   |10.74    |~                |    ~     ~    |    1|  142.243   pc  |  -0.3581     +0.3581    |paral   |2020yCat.1350....0G
1165|CD-35 8272                                                                                               |Star                                |12 54 26.9248902192 -36 28 27.859782252|303.6076251358736 +26.3933919159391| -14.001 -3.273   |10.610   |~                |    ~     ~    |    1|  837.960   pc  | -33.5600    +33.5600    |ST-L    |2020AJ....160...83S
1166|CD-36 8186                                                                                               |Star                                |12 55 24.8289707040 -37 23 10.512182616|303.8067737614811 +25.4787404257036|  -6.267 -2.891   |10.41    |~                |    ~     ~    |    1| 2137.209   pc  | -77.1935    +77.1935    |paral   |2020yCat.1350....0G
1167|TYC 7260-282-1                                                                                           |Star                                |12 47 04.9212160440 -37 07 20.755735968|301.9679907796173 +25.7411626957830|-43.192 -22.179   |10.94    |~                |    ~     ~    |    1|  246.901   pc  |  -1.1278     +1.1278    |paral   |2020yCat.1350....0G
1168|TYC 7260-539-1                                                                                           |Star                                |12 53 15.3615340992 -37 29 41.637136920|303.3310595693450 +25.3754393734528|-30.426 -10.427   |10.36    |~                |    ~     ~    |    1|  308.280   pc  |  -1.9578     +1.9578    |paral   |2020yCat.1350....0G
1169|TYC 7260-565-1                                                                                           |Star                                |12 51 20.0372003136 -37 08 37.792155048|302.9089286451667 +25.7279117887197| -27.668 -5.926   |10.880   |~                |    ~     ~    |    1|  293.124   pc  |  -7.5520     +7.5520    |ST-L    |2020AJ....160...83S
1170|TYC 7260-1130-1                                                                                          |Star                                |12 53 23.6629889784 -36 35 11.197822164|303.3699520009571 +26.2836397685326|  -11.060 0.399   |10.662   |~                |    ~     ~    |    1| 1387.210   pc  |-106.6000   +106.6000    |ST-L    |2020AJ....160...83S
1171|TYC 7260-1174-1                                                                                          |Star                                |12 49 55.7095018584 -36 17 17.730539088|302.5918050935594 +26.5824922858933| -33.631 18.028   |10.500   |~                |    ~     ~    |    1|  961.538   pc  | -55.6800    +55.6800    |ST-L    |2020AJ....160...83S
1172|TYC 7260-1205-1                                                                                          |High Proper Motion Star             |12 47 45.7353272376 -36 21 07.451752644|302.1048625569273 +26.5137749596035|-36.434 -72.940   |10.746   |~                |    ~     ~    |    1|  193.491   pc  |  -2.3090     +2.3090    |ST-L    |2020AJ....160...83S
1173|TYC 7260-1370-1                                                                                          |Star                                |12 46 10.3671298848 -36 47 25.770796440|301.7584391634009 +26.0692587904107| -12.642 -8.931   |10.74    |~                |    ~     ~    |    1|  263.276   pc  | -13.0310    +13.0310    |paral   |2020yCat.1350....0G
1174|TYC 7260-1471-1                                                                                          |Star                                |12 52 22.9408156152 -36 05 04.731154512|303.1456731850780 +26.7867080779627|  -8.130 -7.197   |10.662   |~                |    ~     ~    |    1|  395.011   pc  | -20.3900    +20.3900    |ST-L    |2020AJ....160...83S
1175|TYC 7260-1484-1                                                                                          |Star                                |12 50 20.8081787112 -36 50 02.409979704|302.6889404448363 +26.0372300356355| -15.940 -1.677   |10.844   |~                |    ~     ~    |    1| 1358.900   pc  |-104.7000   +104.7000    |ST-L    |2020AJ....160...83S
1176|TYC 7260-1585-1                                                                                          |Star                                |12 46 35.9204612496 -36 09 51.584879844|301.8386789512657 +26.6971459583645| -29.933 -1.696   |10.979   |~                |    ~     ~    |    1|  808.415   pc  | -40.3800    +40.3800    |ST-L    |2020AJ....160...83S
1177|TYC 7260-1609-1                                                                                          |Star                                |12 52 59.8689178752 -36 57 10.383533064|303.2784155923127 +25.9178138207792| -23.499 -6.268   |10.96    |~                |    ~     ~    |    1|  454.504   pc  |  -2.8714     +2.8714    |paral   |2020yCat.1350....0G
1178|TYC 7261-984-1                                                                                           |Star                                |12 54 40.9943754672 -36 32 52.595436444|303.6590914083686 +26.3192222716505| -49.670 -0.382   |10.93    |~                |    ~     ~    |    1|  171.119   pc  |  -1.8030     +1.8030    |ST-L    |2020AJ....160...83S
1179|TYC 7261-1183-1                                                                                          |High Proper Motion Star             |12 55 14.9543113992 -36 40 49.395666972|303.7834604087522 +26.1850582228283|-17.943 -80.408   |10.91    |~                |    ~     ~    |    1|  123.535   pc  |  -0.9263     +0.9263    |ST-L    |2020AJ....160...83S
1180|TYC 7261-1221-1                                                                                          |Star                                |12 55 57.5015713848 -37 02 46.429818720|303.9339184773938 +25.8167222811339|  -1.089 -0.155   |10.90    |~                |    ~     ~    |    1|  759.648   pc  |  -9.9255     +9.9255    |paral   |2020yCat.1350....0G
1181|TYC 7261-1284-1                                                                                          |Star                                |12 55 02.5120588416 -36 34 43.686622164|303.7389015370033 +26.2872987557104| -36.551 -1.207   |10.89    |~                |    ~     ~    |    1|  356.542   pc  |  -7.3660     +7.3660    |ST-L    |2020AJ....160...83S
1182|TYC 7261-1503-1                                                                                          |Star                                |12 55 03.4146451896 -37 14 19.852040868|303.7307954211702 +25.6272861963364|  -8.676 -6.020   |10.75    |~                |    ~     ~    |    1|  954.754   pc  | -45.1500    +45.1500    |ST-L    |2020AJ....160...83S
1183|TYC 7261-1540-1                                                                                          |Star                                |12 54 56.3445881280 -37 06 19.955604636|303.7070189737544 +25.7609351794601|   0.074 15.798   |10.56    |~                |    ~     ~    |    1|  285.550   pc  |  -8.6140     +8.6140    |ST-L    |2020AJ....160...83S
1184|TYC 7261-1567-1                                                                                          |High Proper Motion Star             |12 54 32.8388380440 -37 22 43.276743192|303.6162407271742 +25.4889280920364|  49.447 36.148   |10.814   |~                |    ~     ~    |    1|  209.942   pc  |  -2.5890     +2.5890    |ST-L    |2020AJ....160...83S
1185|GSC 07261-01571                                                                                          |Double or Multiple Star             |12 54 42.3177246312 -36 29 05.267218452|303.6650306679542 +26.3823001774463|   -7.594 0.421   |10.920   |~                |    ~     ~    |    1|  956.023   pc  | -14.6237    +14.6237    |paral   |2020yCat.1350....0G
1186|TYC 7261-1668-1                                                                                          |Star                                |12 55 45.1917956112 -37 08 40.822119816|303.8864160010890 +25.7190771656668|  -10.511 1.940   |10.77    |~                |    ~     ~    |    1|  848.176   pc  | -12.8773    +12.8773    |paral   |2020yCat.1350....0G
1187|TYC 7261-1727-1                                                                                          |Star                                |12 56 00.7916266944 -36 53 16.749285576|303.9495447422577 +25.9747213657085| -14.983 -4.706   |10.955   |~                |    ~     ~    |    1| 1514.230   pc  |-108.2000   +108.2000    |ST-L    |2020AJ....160...83S
1188|TYC 7261-1846-1                                                                                          |Star                                |12 54 16.8641431728 -36 38 59.431244028|303.5675866011014 +26.2183964261099|   -7.256 3.688   |10.664   |~                |    ~     ~    |    1| 1211.600   pc  | -88.8500    +88.8500    |ST-L    |2020AJ....160...83S
1189|TYC 7771-313-1                                                                                           |High Proper Motion Star             |12 46 54.3389396784 -38 41 02.388686388|301.9624069042898 +24.1792187320895| 70.061 -33.448   |9.82     |~                |    ~     ~    |    1|  104.616   pc  |  -0.1915     +0.1915    |paral   |2020yCat.1350....0G
1190|TYC 7771-679-1                                                                                           |Star                                |12 46 59.0851354152 -38 42 06.255354384|301.9796940505593 +24.1617763841639|    4.382 7.613   |10.73    |~                |    ~     ~    |    1|  616.029   pc  | -22.3900    +22.3900    |paral   |2020yCat.1350....0G
1191|TYC 7772-142-1                                                                                           |Star                                |12 52 11.1338291520 -37 36 29.379844008|303.0956583623380 +25.2633488286380|  20.552 -2.049   |10.852   |~                |    ~     ~    |    1|  313.501   pc  |  -6.7450     +6.7450    |ST-L    |2020AJ....160...83S
1192|TYC 7772-319-1                                                                                           |Star                                |12 52 11.2554663360 -37 48 55.260172512|303.0953660775629 +25.0561596294520|   -9.338 1.431   |10.821   |~                |    ~     ~    |    1|  948.035   pc  | -89.4200    +89.4200    |ST-L    |2020AJ....160...83S
1193|TYC 7772-739-1                                                                                           |Star                                |12 54 13.9579982952 -37 32 28.762203840|303.5448276222059 +25.3270988862858|  -5.749 -8.422   |10.896   |~                |    ~     ~    |    1| 1031.960   pc  | -48.1400    +48.1400    |ST-L    |2020AJ....160...83S
1194|TYC 7772-810-1                                                                                           |Star                                |12 52 51.6938934648 -38 15 53.249786820|303.2392833185026 +24.6061063642220|-22.426 -27.742   |10.66    |~                |    ~     ~    |    1|  211.162   pc  |  -0.7402     +0.7402    |paral   |2020yCat.1350....0G
1195|TYC 7771-328-1                                                                                           |Star                                |12 49 54.7418523144 -38 18 14.714411004|302.6028508251843 +24.5666855004981| -15.017 -0.421   |10.85    |~                |    ~     ~    |    1|  638.570   pc  | -11.3360    +11.3360    |paral   |2020yCat.1350....0G
1196|CD-38 7988                                                                                               |Star                                |12 47 08.7632960808 -39 00 25.799824476|302.0202806496391 +23.8569838389229| -20.717 -6.217   |9.55     |K0               |    ~     ~    |    1|  823.113   pc  | -10.5015    +10.5015    |paral   |2020yCat.1350....0G
1197|HD 111141                                                                                                |Star                                |12 47 27.1697521800 -38 49 19.099859088|302.0820033936501 +24.0431989141247| 12.453 -25.157   |7.75     |F2III/IV         |    ~     ~    |    1|  184.403   pc  |  -3.1998     +3.1998    |paral   |2020yCat.1350....0G
1198|CD-38 7973                                                                                               |Star                                |12 45 48.6963289944 -38 58 27.597722988|301.7360332864765 +23.8843501948789|  -3.731 -1.944   |10.4     |~                |    ~     ~    |    0|                |                         |        |                   
1199|CD-38 7964                                                                                               |Star                                |12 45 10.0355162376 -39 29 40.508284668|301.6142064155172 +23.3611175986961|   -3.097 5.805   |9.98     |K0               |    ~     ~    |    1|  459.474   pc  |  -3.3356     +3.3356    |paral   |2020yCat.1350....0G
1200|HD 111142                                                                                                |High Proper Motion Star             |12 47 23.0779778808 -39 28 54.496436196|302.0798499085508 +23.3832370380799|-101.114 -94.532  |8.80     |G3V              |    ~     ~    |    1|   81.458   pc  |  -0.1194     +0.1194    |paral   |2020yCat.1350....0G
1201|HD 110954                                                                                                |Star                                |12 46 00.3427135608 -40 02 26.687527980|301.8039691872373 +22.8191036857095|  -0.880 -1.208   |9.15     |K2III            |    ~     ~    |    1|  366.220   pc  |  -1.9581     +1.9581    |paral   |2020yCat.1350....0G
1202|CD-39 7819                                                                                               |High Proper Motion Star             |12 46 11.8687377048 -39 45 37.488210480|301.8371208595348 +23.1001948874580| 38.177 -90.839   |10.13    |K1               |    ~     ~    |    1|  110.935   pc  |  -0.1920     +0.1920    |paral   |2020yCat.1350....0G
1203|HD 110999                                                                                                |Star                                |12 46 22.2632445216 -40 00 28.099845684|301.8790508290301 +22.8535835778592|  -24.224 0.633   |9.18     |K2/3(III)        |    ~     ~    |    1|  888.573   pc  | -16.3439    +16.3439    |paral   |2020yCat.1350....0G
1204|HD 111118                                                                                                |Star                                |12 47 19.3529506104 -40 07 38.100309564|302.0789844856221 +22.7376818849008|   -8.146 0.370   |8.59     |M3III            |    ~     ~    |    1|  610.538   pc  |  -9.8780     +9.8780    |paral   |2020yCat.1350....0G
1205|CD-39 7825                                                                                               |Star                                |12 47 04.4110843992 -40 11 38.020359012|302.0287055173670 +22.6701989052083| 24.359 -39.246   |10.29    |Gwl              |    ~     ~    |    1|  552.822   pc  |  -8.0070     +8.0070    |paral   |2020yCat.1350....0G
1206|HD 110904                                                                                                |Star                                |12 45 42.6190639320 -40 16 38.602525404|301.7488319853708 +22.5812004377837|  -37.457 0.127   |9.19     |F5IV/V           |    ~     ~    |    1|  268.039   pc  |  -1.4441     +1.4441    |paral   |2020yCat.1350....0G
1207|HD 111018                                                                                                |High Proper Motion Star             |12 46 35.4633488616 -40 19 29.935483536|301.9317712531801 +22.5373529521512|-95.435 -44.886   |8.99     |G3V              |    ~     ~    |    1|   89.740   pc  |  -0.1466     +0.1466    |paral   |2020yCat.1350....0G
1208|HD 111048                                                                                                |High Proper Motion Star             |12 46 52.2126551856 -40 18 01.049355612|301.9888520801790 +22.5630919332813| -5.699 -51.632   |7.69     |G8III            |    ~     ~    |    1|  225.068   pc  |  -1.0030     +1.0030    |paral   |2020yCat.1350....0G
1209|HD 110905                                                                                                |Star                                |12 45 43.2710427408 -40 32 23.571478392|301.7578974005932 +22.3188346547065|    7.224 0.676   |9.97     |F2/3V            |    ~     ~    |    1|  214.381   pc  |  -0.6204     +0.6204    |paral   |2020yCat.1350....0G
1210|HD 110859                                                                                                |Star                                |12 45 23.7810760152 -41 21 56.649426192|301.7137119564727 +21.4917207924326|   6.131 -3.672   |8.80     |K2III            |    ~     ~    |    1|  347.090   pc  |  -2.4817     +2.4817    |paral   |2020yCat.1350....0G
1211|HD 110860                                                                                                |Star                                |12 45 25.3533352488 -41 26 16.916295264|301.7209437477960 +21.4195708963923| -23.221 -8.443   |9.44     |K1/3             |    ~     ~    |    1|  588.028   pc  | -24.0315    +24.0315    |paral   |2020yCat.1350....0G
1212|CD-40 7484                                                                                               |Star                                |12 46 55.7297782032 -40 53 23.628894288|302.0130075006417 +21.9738053365803|  -3.134 20.395   |10.49    |A0               |    ~     ~    |    1|  703.185   pc  | -10.5322    +10.5322    |paral   |2020yCat.1350....0G
1213|NGC 4696B                          ESO 322-81                                                            |Galaxy towards a Group of Galaxies  |12 47 21.7580187672 -41 14 15.042113484|302.1077827436330 +21.6277145384951|   -0.015 0.461   |     ~   |~                |1.187 0.688    |    1|   53.46    Mpc |                         |        |2016AJ....152...50T
1214|NGC 4696A                          ESO 322-77                                                            |Galaxy towards a Group of Galaxies  |12 46 55.6312903440 -41 29 48.702711156|302.0249829576088 +21.3669423452743|            ~ ~   |     ~   |~                |1.257 0.427    |    1|   32.59    Mpc |                         |redshift|2007ApJ...655..790C
1215|NGC 4677                           NGC 4677                                                              |Galaxy towards a Group of Galaxies  |12 46 57.1287119304 -41 34 57.144957888|302.0317199527693 +21.2813665732187|  -0.032 -0.817   |12.67    |~                |1.233 0.567    |    1|   60.87    Mpc |                         |redshift|2007ApJ...655..790C
1216|NGC 4661                           NGC 4650B                          NGC 4661                           |Galaxy towards a Group of Galaxies  |12 45 14.9354724120 -40 49 27.259100184|301.6689071128405 +22.0323309219664|   -1.558 0.985   |     ~   |~                |0.823 0.346    |    1|   62.81    Mpc |                         |        |2016AJ....152...50T
1217|CD-39 7816                                                                                               |Star                                |12 46 00.0994413432 -40 26 07.039918500|301.8129019688813 +22.4246467664180|   1.876 -5.763   |10.24    |~                |    ~     ~    |    1|  411.726   pc  |  -2.9496     +2.9496    |paral   |2020yCat.1350....0G
1218|CD-39 7823                                                                                               |High Proper Motion Star             |12 46 44.0623876632 -40 33 05.035251168|301.9661792595269 +22.3115289243456| -54.048 -7.682   |10.29    |~                |    ~     ~    |    1|  327.364   pc  |  -2.0040     +2.0040    |paral   |2020yCat.1350....0G
1219|NGC 4683                           NGC 4683                                                              |Galaxy towards a Group of Galaxies  |12 47 42.3423015120 -41 31 41.683104228|302.1820204768155 +21.3380679155866|            ~ ~   |13.80    |~                |1.160 0.603    |    1|   41.50    Mpc |                         |        |2016AJ....152...50T
1220|NGC 4679                           NGC 4679                                                              |Emission-line galaxy                |12 47 30.2590763880 -39 34 15.295008504|302.1066213053629 +23.2945288169112|            ~ ~   |11.90    |~                |1.443 0.606    |    1|   46.34    Mpc |  -3.13       +3.13      |T-F     |2020ApJ...902..145K
1221|CD-38 7962                                                                                               |Star                                |12 45 05.8876250448 -39 19 13.161209412|301.5945870458005 +23.5349622625024|    5.967 0.776   |10.839   |~                |    ~     ~    |    1|  895.027   pc  | -32.4400    +32.4400    |ST-L    |2020AJ....160...83S
1222|CD-38 7982                                                                                               |Star                                |12 46 44.8951697496 -39 39 27.491062464|301.9498882389918 +23.2051688816238|  -2.205 -4.661   |10.970   |~                |    ~     ~    |    1| 1719.900   pc  |-164.8000   +164.8000    |ST-L    |2020AJ....160...83S
1223|CD-40 7488                                                                                               |Star                                |12 47 40.3444146360 -41 26 30.165445248|302.1738714419122 +21.4244925321500| -20.555 -1.516   |10.481   |~                |    ~     ~    |    1|  732.260   pc  | -24.0100    +24.0100    |ST-L    |2020AJ....160...83S
1224|HD 111201                                                                                                |Star                                |12 47 48.4423940976 -38 51 42.479212680|302.1582835717925 +24.0044941499431|    1.177 5.251   |8.79     |A5IV             |    ~     ~    |    1|  194.780   pc  |  -0.7967     +0.7967    |paral   |2020yCat.1350....0G
1225|CD-38 8008                                                                                               |High Proper Motion Star             |12 48 56.8423320096 -39 00 44.493758100|302.4029369709971 +23.8568301316508|-66.666 -48.890   |9.92     |G0               |    ~     ~    |    1|  115.459   pc  |  -0.2546     +0.2546    |paral   |2020yCat.1350....0G
1226|CD-38 8036                                                                                               |High Proper Motion Star             |12 51 10.0539189768 -38 51 52.999090128|302.8743169980329 +24.0069953756581|125.842 -126.997  |9.94     |G2               |    ~     ~    |    1|  103.017   pc  |  -0.1518     +0.1518    |paral   |2020yCat.1350....0G
1227|CD-38 8053                                                                                               |Star                                |12 52 27.0315349008 -38 44 26.733823296|303.1482876857338 +24.1305627891742|  9.267 -10.016   |10.209   |F5               |    ~     ~    |    1|  228.406   pc  |  -3.3960     +3.3960    |ST-L    |2020AJ....160...83S
1228|CD-37 8237                                                                                               |Star                                |12 55 53.3102670240 -38 32 31.606439280|303.8869257261483 +24.3213818968588|  -19.763 1.412   |10.613   |~                |    ~     ~    |    1|  656.400   pc  | -24.6200    +24.6200    |ST-L    |2020AJ....160...83S
1229|CD-38 8035                                                                                               |Star                                |12 51 06.6278005848 -38 46 10.789589028|302.8620041540391 +24.1020393548587| -16.509 -3.469   |10.688   |~                |    ~     ~    |    1|  817.592   pc  | -39.6400    +39.6400    |ST-L    |2020AJ....160...83S
1230|HD 111576                                                                                                |Star                                |12 50 32.8007056152 -39 07 11.274367512|302.7430681943134 +23.7516223385405| -23.733 -2.613   |9.35     |K1III            |    ~     ~    |    1|  471.832   pc  |  -3.9850     +3.9850    |paral   |2020yCat.1350....0G
