C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:34:47

dec >=0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7139

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 201252                                                                                                |Star                              |21 07 12.2617623768 +36 57 00.568398132|081.0142547465967 -07.0663832406626|    2.999 0.327   |8.18     |A0                |    ~     ~          |    1|  718.907   pc  | -15.1431    +15.1431  |paral   |2020yCat.1350....0G
24  |BD+36 4420                                                                                               |Star                              |21 07 44.9066650680 +36 48 04.095055152|080.9759117247401 -07.2469348896070|    8.002 9.588   |9.68     |K0                |    ~     ~          |    1|  559.848   pc  |  -3.8552     +3.8552  |paral   |2020yCat.1350....0G
25  |BD+36 4422                                                                                               |Star                              |21 08 02.3583852744 +36 54 49.159578780|081.0994234414358 -07.2148108381964|  7.768 -14.818   |9.12     |F0                |    ~     ~          |    1|  186.930   pc  |  -0.4508     +0.4508  |paral   |2020yCat.1350....0G
26  |BD+35 4374                                                                                               |Star                              |21 03 25.5837227352 +36 28 11.215607196|080.1460000001225 -06.8189825064197| -13.953 -8.994   |8.83     |M0                |    ~     ~          |    1|  827.198   pc  | -12.7272    +12.7272  |paral   |2020yCat.1350....0G
27  |BD+35 4379                                                                                               |Star                              |21 03 41.5386488160 +36 16 30.986026788|080.0343058287490 -06.9875151819056|   1.564 -4.385   |9.65     |A2                |    ~     ~          |    1|  726.111   pc  |  -7.8031     +7.8031  |paral   |2020yCat.1350....0G
28  |BD+35 4380                                                                                               |Star                              |21 03 54.7888471272 +36 22 09.621363324|080.1350740742861 -06.9588384133320|-16.535 -15.376   |8.94     |K5                |    ~     ~          |    1|  701.459   pc  |  -8.0695     +8.0695  |paral   |2020yCat.1350....0G
29  |BD+35 4387                                                                                               |Star                              |21 04 43.8196873200 +36 18 43.307967744|080.2013935602044 -07.1201844921566| -8.144 -14.129   |9.38     |K2                |    ~     ~          |    1|  599.844   pc  |  -4.1378     +4.1378  |paral   |2020yCat.1350....0G
30  |BD+35 4388                                                                                               |Star                              |21 04 49.1810994240 +36 26 42.288816120|080.3138551838625 -07.0455485163029|  -0.772 -7.554   |10.20    |A5                |    ~     ~          |    1|  506.227   pc  |  -6.2785     +6.2785  |paral   |2020yCat.1350....0G
31  |BD+35 4392                                                                                               |Star                              |21 05 37.3647901080 +36 21 04.459000572|080.3510893851907 -07.2287297365090| -7.164 -11.603   |9.81     |K0                |    ~     ~          |    1| 1020.929   pc  | -11.5695    +11.5695  |paral   |2020yCat.1350....0G
32  |HD 201050                                                                                                |Star                              |21 06 05.4480508128 +36 25 23.951020332|080.4684887024677 -07.2512113196201|   4.711 -0.304   |9.37     |A0                |    ~     ~          |    1|  517.679   pc  |  -6.8606     +6.8606  |paral   |2020yCat.1350....0G
33  |BD+35 4400                                                                                               |Star                              |21 06 36.0089291112 +36 24 08.802599004|080.5215567412599 -07.3415785467386|   8.088 -4.953   |10.43    |F8                |    ~     ~          |    1|  376.733   pc  |  -4.6127     +4.6127  |paral   |2020yCat.1350....0G
34  |HD 201193                                                                                                |Spectroscopic Binary              |21 06 55.9873502472 +36 15 16.915213008|080.4555525590620 -07.4900459787576|-54.152 -68.382   |7.90     |F8                |    ~     ~          |    1|  112.750   pc  |  -0.2822     +0.2822  |paral   |2020yCat.1350....0G
35  |BD+35 4408                                                                                               |Star                              |21 08 05.7525214776 +36 15 55.773692640|080.6216092569759 -07.6572615869214|  25.144 14.690   |10.24    |A5                |    ~     ~          |    1|  319.448   pc  |  -2.1124     +2.1124  |paral   |2020yCat.1350....0G
36  |BD+35 4409                                                                                               |Spectroscopic Binary              |21 08 26.1497965704 +36 14 40.378699824|080.6522213710525 -07.7221863814510|   3.051 -7.372   |9.77     |A2                |    ~     ~          |    1|  531.773   pc  |  -4.1569     +4.1569  |paral   |2020yCat.1350....0G
37  |BD+35 4417                                                                                               |Star                              |21 09 26.1172319616 +36 32 18.100109940|081.0082255464737 -07.6740618609947|-22.871 -18.769   |9.96     |F8                |    ~     ~          |    1|  212.441   pc  |  -0.6815     +0.6815  |paral   |2020yCat.1350....0G
