C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:34:47

dec >=0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7139

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
677 |TYC 3172-2238-1                                                                                          |Star                              |21 07 50.9338931856 +40 28 32.273745672|083.7280083821353 -04.7948372114572|    4.913 4.437   |10.13    |~                 |    ~     ~          |    1|  701.213   pc  |  -5.9496     +5.9496  |paral   |2020yCat.1350....0G
678 |TYC 3172-2301-1                                                                                          |Star                              |21 02 35.2746511032 +40 29 53.389567464|083.0753834167430 -04.0347492737446|  0.890 -11.364   |10.76    |~                 |    ~     ~          |    1|  346.681   pc  |  -1.2379     +1.2379  |paral   |2020yCat.1350....0G
679 |TYC 3173-52-1                                                                                            |Star                              |21 11 32.1490232424 +39 23 23.776832688|083.4055921883748 -06.0499064134911|   38.519 9.177   |10.28    |~                 |    ~     ~          |    1|  276.098   pc  |  -0.8538     +0.8538  |paral   |2020yCat.1350....0G
680 |TYC 3173-53-1                                                                                            |Star                              |21 12 07.9214928696 +39 33 04.564599084|083.6031809295162 -06.0242775891523|   14.404 7.935   |10.98    |~                 |    ~     ~          |    1|  341.018   pc  |  -1.5816     +1.5816  |paral   |2020yCat.1350....0G
681 |TYC 3173-57-1                                                                                            |Star                              |21 12 27.1273412184 +39 35 10.545381924|083.6712277843586 -06.0455095441230|  6.300 -11.187   |9.51     |~                 |    ~     ~          |    1|  523.999   pc  |  -3.1302     +3.1302  |paral   |2020yCat.1350....0G
682 |TYC 3173-89-1                                                                                            |Star                              |21 11 58.1371493160 +39 30 06.458457960|083.5452257699808 -06.0349901564771|   2.810 -5.876   |10.19    |~                 |    ~     ~          |    1|  713.827   pc  |  -5.7579     +5.7579  |paral   |2020yCat.1350....0G
683 |TYC 3173-131-1                                                                                           |Star                              |21 11 37.4174518368 +39 35 24.432027576|083.5646659133367 -05.9260889318206|  -0.548 -2.571   |10.72    |~                 |    ~     ~          |    1|  460.575   pc  |  -2.5880     +2.5880  |paral   |2020yCat.1350....0G
684 |TYC 3173-202-1                                                                                           |Star                              |21 11 47.5477577736 +39 30 42.131306124|083.5292013778167 -06.0033178238721|-13.883 -14.117   |10.79    |~                 |    ~     ~          |    1|  380.011   pc  |  -2.4261     +2.4261  |paral   |2020yCat.1350....0G
685 |TYC 3173-454-1                                                                                           |High Proper Motion Star           |21 13 23.3078901840 +40 51 41.722651872|084.7287955697373 -05.3032829194490| 106.808 17.741   |9.61     |~                 |    ~     ~          |    1|   51.989   pc  |  -0.0346     +0.0346  |paral   |2020yCat.1350....0G
686 |TYC 3173-478-1                                                                                           |Star                              |21 12 02.5917818952 +41 12 51.944733324|084.8127357210668 -04.8768375422969|   1.588 -1.430   |10.98    |~                 |    ~     ~          |    1|  836.750   pc  |  -9.3120     +9.3120  |paral   |2020yCat.1350....0G
687 |TYC 3173-899-1                                                                                           |Star                              |21 12 06.7660734397 +41 04 23.014329731|084.7180895347123 -04.9829750188781|  -5.481 -7.657   |10.96    |~                 |    ~     ~          |    0|                |                       |        |                   
688 |TYC 3173-1034-1                                                                                          |Star                              |21 13 55.3046833488 +41 07 46.661961576|084.9938812852392 -05.1924342198230|   13.591 6.608   |9.90     |~                 |    ~     ~          |    1|  336.610   pc  |  -2.7420     +2.7420  |paral   |2020yCat.1350....0G
689 |TYC 3173-1189-1                                                                                          |Star                              |21 14 27.7600713360 +41 13 58.013546988|085.1393613393197 -05.1953516140576| -2.960 -15.957   |10.49    |~                 |    ~     ~          |    1|  166.257   pc  |  -0.3206     +0.3206  |paral   |2020yCat.1350....0G
690 |TYC 3173-1205-1                                                                                          |Star                              |21 12 12.6091953744 +40 39 40.148280216|084.4286708913052 -05.2777857813500|   2.677 -3.099   |10.58    |~                 |    ~     ~          |    1|  749.064   pc  | -12.4002    +12.4002  |paral   |2020yCat.1350....0G
691 |TYC 3173-1228-1                                                                                          |Star                              |21 12 47.8375968360 +41 10 49.700992188|084.8852497248246 -05.0035510164731|  0.028 -39.742   |10.23    |~                 |    ~     ~          |    1|  117.854   pc  |  -0.1681     +0.1681  |paral   |2020yCat.1350....0G
692 |TYC 3173-1321-1                                                                                          |High Proper Motion Star           |21 14 28.7876177448 +40 45 50.607795816|084.8000972391270 -05.5203380914221|-75.274 -79.812   |9.76     |~                 |    ~     ~          |    1|  190.462   pc  |  -0.4643     +0.4643  |paral   |2020yCat.1350....0G
693 |TYC 3173-1323-1                                                                                          |High Proper Motion Star           |21 10 58.8744665736 +40 11 45.907074492|083.9267484569201 -05.4235407917605| 30.293 -88.400   |10.19    |~                 |    ~     ~          |    1|  117.341   pc  |  -1.0547     +1.0547  |paral   |2020yCat.1350....0G
694 |TYC 3173-1507-1                                                                                          |Star                              |21 11 10.5061431360 +40 40 05.805839388|084.2995158486797 -05.1293502545126|    6.393 0.686   |10.96    |~                 |    ~     ~          |    1|  367.525   pc  |  -1.5939     +1.5939  |paral   |2020yCat.1350....0G
695 |TYC 3173-1538-1                                                                                          |Star                              |21 11 18.8833268424 +41 01 28.911901764|084.5795660448479 -04.9059600888908|  -1.778 -9.923   |10.83    |~                 |    ~     ~          |    1|  319.795   pc  |  -1.8511     +1.8511  |paral   |2020yCat.1350....0G
696 |TYC 3173-1737-1                                                                                          |Star                              |21 13 26.2227676800 +40 05 20.260633200|084.1699732423838 -05.8396628354638|    8.804 2.811   |9.72     |~                 |    ~     ~          |    1|  582.004   pc  |  -3.9293     +3.9293  |paral   |2020yCat.1350....0G
697 |TYC 3173-1800-1                                                                                          |Star                              |21 13 30.3783445368 +40 17 19.384691892|084.3252852930017 -05.7123828910550|  -4.353 -3.450   |10.79    |~                 |    ~     ~          |    1|  429.424   pc  |  -6.8599     +6.8599  |paral   |2020yCat.1350....0G
698 |TYC 3173-1822-1                                                                                          |Star                              |21 11 31.8104584584 +40 56 39.234149304|084.5482756399949 -04.9905547560167|  -1.097 -9.751   |10.45    |~                 |    ~     ~          |    1|  498.927   pc  |  -3.8335     +3.8335  |paral   |2020yCat.1350....0G
699 |TYC 3173-1823-1                                                                                          |Star                              |21 10 41.4522785208 +40 31 01.401752496|084.1254306889140 -05.1648059101935|-18.194 -16.886   |10.55    |~                 |    ~     ~          |    1| 1078.283   pc  | -14.5337    +14.5337  |paral   |2020yCat.1350....0G
700 |TYC 3173-1896-1                                                                                          |Star                              |21 11 09.2974645847 +40 03 12.899019395|083.8444682849811 -05.5447903408604|    3.021 8.414   |10.80    |~                 |    ~     ~          |    0|                |                       |        |                   
701 |TYC 3173-2098-1                                                                                          |Star                              |21 14 27.7696940760 +40 22 51.651657696|084.5185211833731 -05.7815207976509|    1.798 4.204   |9.76     |~                 |    ~     ~          |    1|  344.483   pc  |  -1.6020     +1.6020  |paral   |2020yCat.1350....0G
702 |TYC 3173-2145-1                                                                                          |Star                              |21 10 32.2243287672 +40 20 09.701981304|083.9720572461284 -05.2662884512816|   1.648 -3.647   |10.50    |~                 |    ~     ~          |    1|  497.686   pc  |  -2.9228     +2.9228  |paral   |2020yCat.1350....0G
703 |TYC 3173-2170-1                                                                                          |Star                              |21 13 48.0398635728 +40 28 31.514670516|084.5004447078885 -05.6250974067947|  -9.182 -2.350   |10.28    |~                 |    ~     ~          |    1|  356.888   pc  |  -1.5921     +1.5921  |paral   |2020yCat.1350....0G
704 |TYC 3173-2186-1                                                                                          |Star                              |21 13 10.1900523240 +40 16 30.506028132|084.2711598958418 -05.6749454137420|  -7.977 -7.457   |10.89    |~                 |    ~     ~          |    1|  810.833   pc  |  -6.6402     +6.6402  |paral   |2020yCat.1350....0G
705 |GSC 03173-02198                                                                                          |Double or Multiple Star           |21 11 57.6506274816 +39 59 47.372981892|083.9080305607311 -05.6966458129501|   1.670 26.967   |10.887   |~                 |    ~     ~          |    1|  226.106   pc  |  -0.6135     +0.6135  |paral   |2020yCat.1350....0G
706 |TYC 3173-2222-1                                                                                          |Star                              |21 10 29.6591379384 +40 20 42.646864308|083.9732496750115 -05.2540939244943|   1.176 -3.309   |9.97     |~                 |    ~     ~          |    1|  562.556   pc  |  -5.8863     +5.8863  |paral   |2020yCat.1350....0G
707 |TYC 3173-2373-1                                                                                          |Star                              |21 14 49.0919779200 +39 51 18.956012184|084.1818366983221 -06.1925010452319|    6.931 5.270   |10.31    |~                 |    ~     ~          |    1| 1011.941   pc  | -22.2213    +22.2213  |paral   |2020yCat.1350....0G
708 |TYC 3173-2413-1                                                                                          |Star                              |21 14 18.3910833936 +39 57 02.926879956|084.1837608785700 -06.0555503882231|  -0.332 -3.519   |10.97    |~                 |    ~     ~          |    1|  648.887   pc  | -14.4843    +14.4843  |paral   |2020yCat.1350....0G
709 |TYC 3173-2551-1                                                                                          |Star                              |21 11 30.5014505424 +40 16 59.597789052|084.0596476480832 -05.4379554473260|   0.601 -7.189   |10.86    |~                 |    ~     ~          |    1|  851.281   pc  |  -7.7541     +7.7541  |paral   |2020yCat.1350....0G
710 |TYC 3173-2574-1                                                                                          |Star                              |21 12 52.2018793008 +40 04 14.092020912|084.0818714609024 -05.7731835275881| -3.730 -12.366   |10.86    |~                 |    ~     ~          |    1|  557.010   pc  |  -3.7852     +3.7852  |paral   |2020yCat.1350....0G
711 |TYC 3173-2612-1                                                                                          |High Proper Motion Star           |21 14 30.4355506728 +40 01 00.068581236|084.2584543591951 -06.0382107463216|  51.942 76.951   |10.10    |~                 |    ~     ~          |    1|   73.895   pc  |  -0.0606     +0.0606  |paral   |2020yCat.1350....0G
712 |TYC 3173-2622-1                                                                                          |Star                              |21 10 03.1684650576 +40 04 37.979439960|083.7180835819083 -05.3739194444524|   4.596 -9.998   |10.50    |~                 |    ~     ~          |    1|  517.545   pc  |  -3.6160     +3.6160  |paral   |2020yCat.1350....0G
713 |TYC 3173-2665-1                                                                                          |Star                              |21 14 36.2646947736 +39 44 57.402261924|084.0760349154058 -06.2355873288280|   0.141 -6.546   |10.16    |~                 |    ~     ~          |    1|  597.836   pc  |  -3.9672     +3.9672  |paral   |2020yCat.1350....0G
714 |TYC 3173-2691-1                                                                                          |Star                              |21 13 36.3823111200 +39 42 33.346672884|083.9142882427926 -06.1234950456345|   18.589 2.855   |10.80    |~                 |    ~     ~          |    1|  370.851   pc  |  -1.4441     +1.4441  |paral   |2020yCat.1350....0G
715 |TYC 3173-2716-1                                                                                          |Star                              |21 12 47.0425903800 +39 42 38.492856936|083.8065006690548 -06.0071953046262|  -0.090 -4.505   |10.12    |~                 |    ~     ~          |    1| 1509.434   pc  | -39.6440    +39.6440  |paral   |2020yCat.1350....0G
716 |TYC 3173-2867-1                                                                                          |Star                              |21 11 42.3403211448 +40 29 23.370103896|084.2372436737346 -05.3246691640673|-16.765 -21.635   |10.59    |~                 |    ~     ~          |    1|  367.552   pc  |  -3.9718     +3.9718  |paral   |2020yCat.1350....0G
717 |TYC 3173-2929-1                                                                                          |Star                              |21 10 27.7854531840 +40 25 42.091547700|084.0305216742002 -05.1932562122062|-13.199 -15.849   |10.78    |~                 |    ~     ~          |    1|  756.830   pc  |  -6.0716     +6.0716  |paral   |2020yCat.1350....0G
718 |TYC 3173-3055-1                                                                                          |Star                              |21 12 08.9271497736 +40 04 19.106890788|083.9881594949082 -05.6714662394449|  -6.901 -8.457   |10.03    |~                 |    ~     ~          |    1|  792.519   pc  |  -7.4114     +7.4114  |paral   |2020yCat.1350....0G
719 |TYC 3173-3100-1                                                                                          |Star                              |21 13 30.3808855464 +39 56 49.042618188|084.0751381326844 -05.9466328863995|   -1.090 0.056   |10.53    |~                 |    ~     ~          |    1| 1410.437   pc  | -23.0763    +23.0763  |paral   |2020yCat.1350....0G
720 |TYC 3176-390-1                                                                                           |Star                              |21 08 03.0262729392 +41 38 34.125979344|084.6187099836475 -04.0364703460773|  21.461 -4.819   |10.62    |~                 |    ~     ~          |    1|  310.627   pc  |  -1.2737     +1.2737  |paral   |2020yCat.1350....0G
721 |TYC 3176-804-1                                                                                           |Star                              |21 09 57.6606216792 +41 34 01.895639808|084.8051615385404 -04.3506326283768| 10.888 -41.181   |9.53     |~                 |    ~     ~          |    1|  128.972   pc  |  -0.2079     +0.2079  |paral   |2020yCat.1350....0G
722 |TYC 3176-994-1                                                                                           |Star                              |21 09 56.1815133216 +41 16 47.492324688|084.5903181545089 -04.5422106017908|   -2.937 2.583   |10.92    |~                 |    ~     ~          |    1|  638.203   pc  |  -7.2907     +7.2907  |paral   |2020yCat.1350....0G
723 |TYC 3176-1980-1                                                                                          |Star                              |21 08 02.7311020296 +41 33 08.057964600|084.5510423100970 -04.0968747462522|    9.160 5.095   |10.13    |~                 |    ~     ~          |    1|  645.369   pc  |  -6.9556     +6.9556  |paral   |2020yCat.1350....0G
724 |TYC 3177-62-1                                                                                            |Star                              |21 12 44.3348885856 +41 45 37.227651444|085.3017246644170 -04.5984196223956|    3.786 1.689   |10.57    |~                 |    ~     ~          |    1|  306.138   pc  |  -1.0872     +1.0872  |paral   |2020yCat.1350....0G
725 |TYC 3177-122-1                                                                                           |Star                              |21 13 23.1894742968 +41 42 09.312105096|085.3426805494897 -04.7259579986049|   16.878 0.718   |10.58    |~                 |    ~     ~          |    1|  364.618   pc  |  -1.3959     +1.3959  |paral   |2020yCat.1350....0G
726 |TYC 3177-138-1                                                                                           |Star                              |21 11 58.2329856696 +41 43 53.447629836|085.1822632836017 -04.5136214101151|  -2.934 -8.615   |10.64    |~                 |    ~     ~          |    1| 1094.691   pc  | -21.8099    +21.8099  |paral   |2020yCat.1350....0G
727 |TYC 3177-356-1                                                                                           |Star                              |21 14 28.6662672240 +41 21 45.584949384|085.2358874210376 -05.1079734328887|  -5.323 -8.518   |10.52    |~                 |    ~     ~          |    1|  375.996   pc  |  -1.4703     +1.4703  |paral   |2020yCat.1350....0G
728 |TYC 3177-452-1                                                                                           |Star                              |21 13 27.3328495224 +41 40 46.849260648|085.3348500671767 -04.7510578151511|-10.038 -21.438   |10.17    |~                 |    ~     ~          |    1|  447.808   pc  |  -2.1256     +2.1256  |paral   |2020yCat.1350....0G
729 |TYC 3177-762-1                                                                                           |Star                              |21 12 20.1179777256 +41 24 33.611083344|084.9931402456105 -04.7836574241733|   0.535 -2.926   |9.73     |~                 |    ~     ~          |    1|  615.536   pc  | -11.7075    +11.7075  |paral   |2020yCat.1350....0G
730 |TYC 3177-910-1                                                                                           |Star                              |21 11 37.3147307400 +41 33 31.114924092|085.0109586092925 -04.5840882388522|   3.182 -1.372   |10.59    |~                 |    ~     ~          |    1|  638.121   pc  |  -6.0673     +6.0673  |paral   |2020yCat.1350....0G
731 |TYC 3177-1222-1                                                                                          |Star                              |21 13 18.4842657408 +41 15 55.902077028|085.0135033610575 -05.0151974316425|    4.442 2.184   |10.04    |~                 |    ~     ~          |    1|  622.161   pc  | -12.7738    +12.7738  |paral   |2020yCat.1350....0G
732 |BD+40 4448                                                                                               |Chemically Peculiar Star          |21 14 05.9764615488 +41 18 02.052247176|085.1416083056804 -05.0992022534268|   9.517 -0.547   |10.65    |A1III             |    ~     ~          |    1|  685.354   pc  |  -5.5896     +5.5896  |paral   |2020yCat.1350....0G
733 |TYC 3177-1622-1                                                                                          |Star                              |21 13 53.3908600584 +41 24 11.162248812|085.1891754000954 -05.0001213990274|   0.011 -7.499   |10.99    |~                 |    ~     ~          |    1|  523.752   pc  |  -4.5811     +4.5811  |paral   |2020yCat.1350....0G
734 |TYC 3177-2758-1                                                                                          |Star                              |21 11 07.5418471728 +41 52 08.582499156|085.1753255319889 -04.3046709729951|-11.583 -10.480   |10.44    |~                 |    ~     ~          |    1|  619.348   pc  |  -4.3730     +4.3730  |paral   |2020yCat.1350....0G
735 |TYC 3177-2821-1                                                                                          |High Proper Motion Star           |21 12 36.7337957424 +41 54 30.263650092|085.3937228883387 -04.4798043347520| -7.440 -58.131   |10.34    |~                 |    ~     ~          |    1|  177.462   pc  |  -0.4283     +0.4283  |paral   |2020yCat.1350....0G
736 |BD+40 4451                                                                                               |Double or Multiple Star           |21 14 26.1504 +40 36 32.887            |084.6813805 -05.6208843            | -8.630 -11.209   |10.46    |~                 |    ~     ~          |    0|                |                       |        |                   
737 |BD+41 4048                                                                                               |Star                              |21 14 28.6618181400 +42 17 56.158733040|085.9167995000029 -04.4628432665513|  -4.110 -2.784   |9.84     |A2                |    ~     ~          |    1|  486.429   pc  |  -4.5666     +4.5666  |paral   |2020yCat.1350....0G
738 |BD+41 4047B                                                                                              |Star                              |21 14 22.6392855624 +42 19 21.612287604|085.9212193048804 -04.4330372914351|-12.486 -10.698   |10.84    |~                 |    ~     ~          |    1|  263.255   pc  |  -1.4415     +1.4415  |paral   |2020yCat.1350....0G
739 |BD+41 4052                                                                                               |Star                              |21 14 57.0525403344 +42 02 19.334676984|085.7884693330460 -04.7058305049822| 11.917 -21.390   |9.06     |F2                |    ~     ~          |    1|  204.700   pc  |  -0.5531     +0.5531  |paral   |2020yCat.1350....0G
740 |V* V386 Cyg                                                                                              |Classical Cepheid Variable        |21 14 40.4340798432 +41 42 58.846926780|085.5185782401677 -04.8908741005793|  -0.990 -2.213   |9.75     |F5.5-G0Ib         |    ~     ~          |    1| 1157.675   pc  | -16.7527    +16.7527  |paral   |2020yCat.1350....0G
741 |TYC 3177-1008-1                                                                                          |Star                              |21 14 35.5326699600 +41 42 58.236839172|085.5079088082523 -04.8799466545149|   18.244 0.861   |10.96    |~                 |    ~     ~          |    1|  382.819   pc  |  -2.5939     +2.5939  |paral   |2020yCat.1350....0G
742 |TYC 3177-1783-1                                                                                          |Star                              |21 14 50.1113653296 +42 24 45.468590220|086.0450588792468 -04.4322265869473|  4.579 -33.387   |9.84     |~                 |    ~     ~          |    1|  281.215   pc  |  -1.7477     +1.7477  |paral   |2020yCat.1350....0G
743 |BD+41 4045                                                                                               |Double or Multiple Star           |21 14 09.118944 +42 11 02.78808        |085.791659965 -04.498262644        |      -0.6 -6.6   |10.891   |~                 |    ~     ~          |    0|                |                       |        |                   
744 |TYC 3177-2250-1                                                                                          |Star                              |21 12 43.1768980224 +42 12 38.752699608|085.6283091413087 -04.2871686596598|   7.628 -1.116   |10.38    |~                 |    ~     ~          |    1|  299.608   pc  |  -1.3016     +1.3016  |paral   |2020yCat.1350....0G
745 |TYC 3177-2555-1                                                                                          |Star                              |21 14 14.9377044888 +42 00 37.564918452|085.6777511899570 -04.6309010781870|    8.574 7.324   |10.65    |~                 |    ~     ~          |    1|  391.681   pc  |  -4.1575     +4.1575  |paral   |2020yCat.1350....0G
746 |TYC 3177-2646-1                                                                                          |Star                              |21 13 44.1090157368 +41 53 23.613854712|085.5240427813376 -04.6445114716856|   2.649 -7.283   |10.74    |~                 |    ~     ~          |    1|  591.751   pc  |  -4.4121     +4.4121  |paral   |2020yCat.1350....0G
747 |HD 200103                                                                                                |Star                              |21 00 00.3270195840 +42 55 52.543746084|084.5896366444781 -02.0685682096052|  39.785 15.809   |7.72     |A3                |    ~     ~          |    1|  131.139   pc  |  -0.3388     +0.3388  |paral   |2020yCat.1350....0G
748 |HD 200178                                                                                                |Eclipsing Binary                  |21 00 28.7298528984 +43 33 40.390986996|085.1212786394681 -01.7193635806092|    3.357 0.019   |8.43     |A2                |    ~     ~          |    1|  545.345   pc  | -13.2046    +13.2046  |paral   |2020yCat.1350....0G
749 |BD+42 3940                                                                                               |Double or Multiple Star           |21 01 28.4628241056 +43 01 17.179022856|084.8345971531376 -02.2113923485918|  -4.891 -4.520   |10.303   |OB-e              |    ~     ~          |    1| 1146.657   pc  | -42.9947    +42.9947  |paral   |2020yCat.1350....0G
750 |V* TX Cyg                                                                                                |Classical Cepheid Variable        |21 00 06.3809839512 +42 35 51.215534592|084.3500056694804 -02.3017220523044|  -1.084 -2.194   |9.50     |F5.5Ib-G5Ib:      |    ~     ~          |    1| 1257.229   pc  | -29.3996    +29.3996  |paral   |2020yCat.1350....0G
751 |BD+42 3937                                                                                               |Star                              |21 01 00.9146405856 +42 46 31.363414896|084.5940068504027 -02.3105002137968|    3.123 2.157   |9.41     |A0                |    ~     ~          |    1|  889.442   pc  | -45.8051    +45.8051  |paral   |2020yCat.1350....0G
752 |BD+42 3944                                                                                               |Star                              |21 02 02.0819079144 +42 51 12.916620144|084.7763359868647 -02.3992801360535|  26.401 13.430   |8.90     |K2                |    ~     ~          |    1|  345.304   pc  |  -1.5977     +1.5977  |paral   |2020yCat.1350....0G
753 |BD+42 3947                                                                                               |Star                              |21 02 10.0144410336 +42 59 57.717328416|084.9017670578025 -02.3209815303456|   15.935 6.069   |8.93     |K0                |    ~     ~          |    1|  423.101   pc  |  -2.2914     +2.2914  |paral   |2020yCat.1350....0G
754 |BD+42 3948                                                                                               |Double or Multiple Star           |21 02 22.4359 +42 36 03.765            |084.6280844 -02.6131077            |   12.451 1.291   |10.51    |A5                |    ~     ~          |    0|                |                       |        |                   
755 |BD+42 3953                                                                                               |Star                              |21 03 28.8170483832 +42 49 36.403907484|084.9321267560999 -02.6154206400110|-10.092 -45.884   |9.09     |K2                |    ~     ~          |    1|  409.232   pc  |  -2.3781     +2.3781  |paral   |2020yCat.1350....0G
756 |BD+42 3969                                                                                               |Star                              |21 06 02.8501068384 +42 51 28.503655776|085.2698994711273 -02.9449665732447|-16.549 -15.004   |9.66     |F0                |    ~     ~          |    1|  399.824   pc  |  -1.9343     +1.9343  |paral   |2020yCat.1350....0G
757 |BD+42 3977                                                                                               |Star                              |21 07 09.2756642112 +42 37 27.758599680|085.2334134286438 -03.2524272934572| 22.038 -14.176   |9.70     |F8                |    ~     ~          |    1|  130.019   pc  |  -0.1758     +0.1758  |paral   |2020yCat.1350....0G
758 |BD+41 3985                                                                                               |Star                              |21 03 46.0455099840 +42 16 40.891186740|084.5569602307924 -03.0197936921472|    3.742 1.816   |9.11     |B5                |    ~     ~          |    1|  862.292   pc  | -10.3353    +10.3353  |paral   |2020yCat.1350....0G
759 |BD+41 3989                                                                                               |Double or Multiple Star           |21 04 01.029 +42 25 23.85              |084.696287 -02.957570              |    -23.3 -17.0   |10.2     |A5                |    ~     ~          |    0|                |                       |        |                   
760 |BD+41 3993                                                                                               |Star                              |21 04 47.0021801520 +42 29 22.714717992|084.8401545507153 -03.0186796266294|   15.064 6.939   |8.38     |K0                |    ~     ~          |    1|  435.939   pc  | -10.2433    +10.2433  |paral   |2020yCat.1350....0G
761 |BD+41 3995                                                                                               |Star                              |21 05 11.5460749536 +42 25 55.780912416|084.8477854274510 -03.1132212763924|  -8.337 -4.199   |9.22     |K5                |    ~     ~          |    1|  610.799   pc  |  -5.2231     +5.2231  |paral   |2020yCat.1350....0G
762 |BD+41 4001                                                                                               |High Proper Motion Star           |21 06 24.1986888432 +42 22 45.954878016|084.9585215238965 -03.3145155122319| -23.326 78.579   |9.41     |F8                |    ~     ~          |    1|  111.215   pc  |  -0.1670     +0.1670  |paral   |2020yCat.1350....0G
763 |BD+41 4018                                                                                               |Pulsating Variable                |21 09 07.5232407312 +42 21 19.843909308|085.2804661685299 -03.7019584652426|-11.549 -10.713   |9.70     |F2                |    ~     ~          |    1|  225.561   pc  |  -0.6818     +0.6818  |paral   |2020yCat.1350....0G
764 |BD+41 4019                                                                                               |Star                              |21 09 18.9120188160 +42 21 41.335334604|085.3086742755268 -03.7237036107107|  -3.367 -4.285   |10.11    |B8                |    ~     ~          |    1|  830.841   pc  | -10.4925    +10.4925  |paral   |2020yCat.1350....0G
765 |V* V1059 Cyg                                                                                             |Mira Variable                     |21 04 35.2478718456 +42 26 31.985423160|084.7806416164474 -03.0234175884488|   25.452 5.770   |7.85     |M4                |    ~     ~          |    1|  584.864   pc  |  -7.1150     +7.1150  |paral   |2020yCat.1350....0G
766 |BD+41 3961                                                                                               |Star                              |21 00 29.3466746088 +41 35 02.580564624|083.6319078631802 -03.0212345091145|-10.061 -12.064   |10.02    |A                 |    ~     ~          |    1|  478.950   pc  |  -3.4868     +3.4868  |paral   |2020yCat.1350....0G
767 |BD+41 3962                                                                                               |Star                              |21 00 30.2133519336 +41 38 41.768607552|083.6796314564631 -02.9832470422441|  -1.803 -3.557   |8.88     |B8                |    ~     ~          |    1|  904.895   pc  | -27.3491    +27.3491  |paral   |2020yCat.1350....0G
768 |HD 200179                                                                                                |Star                              |21 00 29.8424944008 +42 11 14.974347516|084.0881613980181 -02.6256537709673| -5.223 -16.973   |9.12     |A0                |    ~     ~          |    1|  309.626   pc  |  -1.4476     +1.4476  |paral   |2020yCat.1350....0G
769 |BD+41 3966                                                                                               |Star                              |21 02 14.4766702896 +41 37 57.845704080|083.8848263099491 -03.2353952718818|  -3.302 -7.366   |10.55    |B5                |    ~     ~          |    1| 1329.434   pc  | -22.4459    +22.4459  |paral   |2020yCat.1350....0G
770 |BD+41 3972                                                                                               |Star                              |21 02 40.2789965472 +41 45 11.115537012|084.0284084586969 -03.2159263349917|  -5.236 -6.906   |9.03     |F0                |    ~     ~          |    1|  251.788   pc  |  -0.9129     +0.9129  |paral   |2020yCat.1350....0G
771 |BD+41 3973                                                                                               |Star                              |21 03 08.6323968096 +41 35 31.947596196|083.9663345313292 -03.3886373581085|-12.277 -43.865   |9.46     |F5                |    ~     ~          |    1|  188.473   pc  |  -0.3907     +0.3907  |paral   |2020yCat.1350....0G
772 |HD 200628                                                                                                |Star                              |21 03 13.4857294776 +41 40 39.364804020|084.0403838139862 -03.3432929365974| -12.121 17.302   |8.76     |G0                |    ~     ~          |    1|  156.079   pc  |  -0.3581     +0.3581  |paral   |2020yCat.1350....0G
773 |BD+41 3981                                                                                               |Star                              |21 03 35.3101427640 +41 57 15.477764184|084.2926863061317 -03.2102274723530|   7.899 -2.280   |10.40    |K                 |    ~     ~          |    1|  653.808   pc  |  -4.2747     +4.2747  |paral   |2020yCat.1350....0G
774 |BD+41 3986                                                                                               |High Proper Motion Star           |21 03 51.7162849824 +41 36 44.166917736|084.0706714215225 -03.4756712329568| -3.005 -54.538   |8.78     |F5V               |    ~     ~          |    1|  104.769   pc  |  -0.1405     +0.1405  |paral   |2020yCat.1350....0G
775 |HD 200723                                                                                                |High Proper Motion Star           |21 03 52.1356812000 +41 37 41.428427844|084.0834432503204 -03.4660699379263| -2.355 -53.924   |6.324    |F3IV              |    ~     ~          |    1|  104.970   pc  |  -0.1884     +0.1884  |paral   |2020yCat.1350....0G
776 |BD+41 3992                                                                                               |Double or Multiple Star           |21 04 47.3228 +41 43 50.205            |084.2745968 -03.5259439            |      -6.5 -4.7   |10.30    |A2                |    ~     ~          |    0|                |                       |        |                   
777 |BD+41 4000                                                                                               |Star                              |21 06 17.5411138104 +41 54 00.392474628|084.5886015160682 -03.6208383379210| -11.859 -0.885   |10.58    |F8                |    ~     ~          |    1|  272.822   pc  |  -0.9602     +0.9602  |paral   |2020yCat.1350....0G
778 |BD+41 4012                                                                                               |Star                              |21 08 19.3373081736 +42 00 57.793493988|084.9290448635218 -03.8219524589239|  5.482 -34.061   |9.55     |K0                |    ~     ~          |    1|  144.107   pc  |  -0.2534     +0.2534  |paral   |2020yCat.1350....0G
779 |BD+40 4391                                                                                               |Star                              |21 02 29.1100785120 +41 24 51.250644396|083.7509388214310 -03.4141686952992|-15.306 -17.577   |9.11     |K0                |    ~     ~          |    1|  453.330   pc  |  -2.3839     +2.3839  |paral   |2020yCat.1350....0G
