C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:30:16

dec< 0&rah >=2.25&rah< 2.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2419

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 14351                                                                                                 |High Proper Motion Star           |02 18 10.2933420312 -38 05 25.479849732|249.4801889990310 -68.7785775737479|-28.242 -96.079   |10.21    |G8V              |    ~     ~    |    1|  100.571   pc  |  -0.1345     +0.1345  |paral   |2020yCat.1350....0G
24  |HD 14390                                                                                                 |Star                              |02 18 30.4539066576 -37 55 22.506097008|248.9831776310956 -68.7876554091030| 15.544 -10.048   |8.96     |M1III            |    ~     ~    |    1| 1069.519   pc  | -19.5602    +19.5602  |paral   |2020yCat.1350....0G
25  |HD 14730                                                                                                 |Star                              |02 21 35.4434444544 -37 48 09.782274672|248.0187298390148 -68.2775703271650|   16.029 8.002   |9.64     |M1/3             |    ~     ~    |    1| 1006.644   pc  | -16.0106    +16.0106  |paral   |2020yCat.1350....0G
26  |HD 14777                                                                                                 |Star                              |02 21 55.0089436392 -37 54 59.986847124|248.2341818722543 -68.1739420846409|  15.028 -0.188   |9.21     |K2III            |    ~     ~    |    1|  436.624   pc  |  -2.3830     +2.3830  |paral   |2020yCat.1350....0G
27  |HD 14811                                                                                                 |Star                              |02 22 16.8565561080 -37 55 08.883258744|248.1651999702451 -68.1068324272036| -10.740 -9.834   |9.59     |K1/2(III)        |    ~     ~    |    1|  616.523   pc  |  -4.8653     +4.8653  |paral   |2020yCat.1350....0G
28  |HD 14926                                                                                                 |High Proper Motion Star           |02 23 23.6996090184 -37 55 33.525798204|247.9559660535877 -67.9014671600693|-5.148 -165.770   |8.91     |G0V              |    ~     ~    |    1|   86.830   pc  |  -0.1131     +0.1131  |paral   |2020yCat.1350....0G
29  |HD 14257                                                                                                 |Star                              |02 17 20.6657963520 -38 40 11.034335892|251.1136009549726 -68.6751133252309|  26.622 -6.273   |9.40     |K3III            |    ~     ~    |    1|  851.644   pc  |  -9.6464     +9.6464  |paral   |2020yCat.1350....0G
30  |HD 14297                                                                                                 |High Proper Motion Star           |02 17 39.2311927080 -39 13 52.390527492|252.4062775072154 -68.3671022960503|  76.149 17.933   |9.58     |G6/8IV           |    ~     ~    |    1|  220.868   pc  |  -0.6195     +0.6195  |paral   |2020yCat.1350....0G
31  |HD 14341                                                                                                 |Star                              |02 18 02.5306261704 -38 37 59.653395552|250.8588368279264 -68.5689725331563|   1.239 -8.639   |9.38     |K2III            |    ~     ~    |    1|  464.123   pc  |  -6.1177     +6.1177  |paral   |2020yCat.1350....0G
32  |CD-39 671                                                                                                |Star                              |02 18 15.8664805032 -38 31 01.401521160|250.5207488297471 -68.5805115260416|   13.483 5.150   |10.65    |G0               |    ~     ~    |    1|  238.658   pc  |  -0.8259     +0.8259  |paral   |2020yCat.1350....0G
