C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:30:16

dec< 0&rah >=2.25&rah< 2.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2419

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
188 |CD-33 778                                                                                                |Star                              |02 17 37.8661514184 -33 16 39.299542644|236.4712723844523 -70.4317474500167|  37.557 10.978   |10.00    |~                |    ~     ~    |    1|  201.102   pc  |  -2.5398     +2.5398  |paral   |2020yCat.1350....0G
189 |CD-33 780                                                                                                |High Proper Motion Star           |02 17 49.0505840832 -33 15 09.600588756|236.3734923690066 -70.3991145081816|   61.120 3.013   |9.88     |~                |    ~     ~    |    1|  282.550   pc  |  -1.0778     +1.0778  |paral   |2020yCat.1350....0G
190 |CD-33 788                                                                                                |Star                              |02 19 48.3691800240 -32 56 01.544901432|235.1992281498258 -70.0564704887619|   13.741 7.086   |10.95    |~                |    ~     ~    |    1| 1110.864   pc  | -24.9272    +24.9272  |paral   |2020yCat.1350....0G
191 |TYC 7007-1676-1                                                                                          |Star                              |02 21 25.4620506096 -31 13 32.100805812|230.1061493426074 -69.9726461569693|-17.255 -21.234   |10.30    |~                |    ~     ~    |    1|  525.652   pc  |  -3.7302     +3.7302  |paral   |2020yCat.1350....0G
192 |CD-31 959                                                                                                |High Proper Motion Star           |02 24 03.6957501936 -31 13 55.854295788|229.9594482931888 -69.4111361513874|  63.175 21.881   |10.84    |~                |    ~     ~    |    1|  282.558   pc  |  -1.5329     +1.5329  |paral   |2020yCat.1350....0G
193 |CD-31 971                                                                                                |High Proper Motion Star           |02 25 24.7581548544 -31 14 19.511222388|229.8997846289256 -69.1230352043244| 60.533 -64.089   |10.82    |~                |    ~     ~    |    1|  221.749   pc  |  -0.6884     +0.6884  |paral   |2020yCat.1350....0G
194 |CD-33 821                                                                                                |Star                              |02 25 33.0845897496 -33 04 20.866435752|234.9570410292696 -68.8469503765209|  32.789 -5.773   |10.774   |~                |    ~     ~    |    1|  302.559   pc  |  -4.6680     +4.6680  |ST-L    |2020AJ....160...83S
195 |CD-33 825                                                                                                |Star                              |02 25 59.4826751304 -32 34 09.374299860|233.5397678575281 -68.8378803406649| 25.973 -17.730   |10.772   |~                |    ~     ~    |    1| 1160.380   pc  | -66.8700    +66.8700  |ST-L    |2020AJ....160...83S
196 |GSC 07007-00633                                                                                          |Double or Multiple Star           |02 22 41.0215318968 -31 49 25.942635156|231.7354177798269 -69.6355522673207|   5.899 -5.503   |10.723   |~                |    ~     ~    |    1|  916.701   pc  | -34.2100    +34.2100  |ST-L    |2020AJ....160...83S
197 |TYC 7007-923-1                                                                                           |Star                              |02 22 46.9093836792 -32 39 34.100050464|234.0931702461927 -69.4907143245549| 36.400 -10.147   |10.91    |~                |    ~     ~    |    1|  345.531   pc  |  -2.1849     +2.1849  |paral   |2020yCat.1350....0G
198 |TYC 7007-1126-1                                                                                          |Star                              |02 16 23.4785088072 -32 50 42.807417936|235.3631153711386 -70.7767019320635|   -5.742 5.968   |10.806   |~                |    ~     ~    |    1| 1023.610   pc  | -41.4400    +41.4400  |ST-L    |2020AJ....160...83S
199 |GSC 07007-01151                                                                                          |Double or Multiple Star           |02 22 32.2864968288 -32 40 36.435178632|234.1666400701732 -69.5383526867036|    9.336 7.202   |10.806   |~                |    ~     ~    |    1|  216.990   pc  |  -0.7298     +0.7298  |paral   |2020yCat.1350....0G
200 |TYC 7007-1602-1                                                                                          |Star                              |02 16 49.8869591544 -31 40 54.202838628|231.8236976113752 -70.8873617423331|    7.609 0.323   |10.691   |~                |    ~     ~    |    1|  348.489   pc  |  -6.9120     +6.9120  |ST-L    |2020AJ....160...83S
201 |TYC 7007-2241-1                                                                                          |Star                              |02 16 33.6659184480 -31 35 29.313658608|231.5755551635241 -70.9572024210105|   9.006 31.094   |10.93    |~                |    ~     ~    |    1|  114.208   pc  |  -3.7290     +3.7290  |ST-L    |2020AJ....160...83S
202 |TYC 7010-922-1                                                                                           |Star                              |02 25 29.8488342960 -31 22 53.367020436|230.2932289323741 -69.0911701960938| 15.049 -21.772   |10.80    |~                |    ~     ~    |    1|  827.678   pc  | -10.4128    +10.4128  |paral   |2020yCat.1350....0G
203 |TYC 7010-1041-1                                                                                          |Spectroscopic Binary              |02 25 16.6315108920 -31 16 48.146155860|230.0229004144473 -69.1479303233052|-15.213 -21.440   |10.90    |~                |    ~     ~    |    1|  253.056   pc  |  -1.1847     +1.1847  |paral   |2020yCat.1350....0G
204 |HD 15338                                                                                                 |Star                              |02 27 12.5621362248 -33 17 32.847064332|235.3837183271388 -68.4666567155093|   29.783 0.597   |9.13     |K0III            |    ~     ~    |    1|  273.538   pc  |  -5.2152     +5.2152  |paral   |2020yCat.1350....0G
205 |CD-33 831                                                                                                |Star                              |02 27 27.7840795080 -33 15 02.587473612|235.2464081719761 -68.4218343101437|-44.271 -21.667   |10.16    |~                |    ~     ~    |    1|   72.901   pc  |  -0.2751     +0.2751  |ST-L    |2020AJ....160...83S
206 |HD 15288                                                                                                 |Star                              |02 26 47.7657112392 -31 32 17.368261512|230.6489163796359 -68.7997807049756|  3.262 -30.690   |8.56     |G8III            |    ~     ~    |    1|  334.930   pc  |  -2.1875     +2.1875  |paral   |2020yCat.1350....0G
207 |CD-32 886                                                                                                |Star                              |02 27 25.1744077848 -31 33 56.828318796|230.6871866016603 -68.6648231801491|   26.929 5.268   |10.984   |~                |    ~     ~    |    1|  585.265   pc  | -17.7500    +17.7500  |ST-L    |2020AJ....160...83S
208 |HD 15369                                                                                                 |Star                              |02 27 33.5419714013 -33 01 18.256506155|234.6233063809816 -68.4409954406649| -10.221 -6.318   |10.42    |F3V              |    ~     ~    |    1|  133.887   pc  |  -9.2530     +9.2530  |ST-L    |2020AJ....160...83S
209 |CD-33 826                                                                                                |Star                              |02 26 18.1079542920 -33 13 57.132217092|235.3150739976299 -68.6640265192048|  11.263 -5.124   |10.23    |~                |    ~     ~    |    1|  441.911   pc  |  -3.1636     +3.1636  |paral   |2020yCat.1350....0G
210 |CD-32 884                                                                                                |Star                              |02 27 02.1691767768 -31 45 13.874785380|231.2258379719530 -68.7258634061815|   14.321 6.442   |10.75    |~                |    ~     ~    |    1|  497.934   pc  |  -3.7439     +3.7439  |paral   |2020yCat.1350....0G
211 |CD-33 838                                                                                                |High Proper Motion Star           |02 28 07.5885596976 -32 33 29.968294140|233.3285472121535 -68.3945249482126| 129.214 -5.801   |10.70    |~                |    ~     ~    |    1|  102.652   pc  |  -0.5798     +0.5798  |ST-L    |2020AJ....160...83S
212 |HD 15471                                                                                                 |Star                              |02 28 35.4330784248 -31 06 08.812525068|229.3631029612251 -68.4574621888339|-38.539 -16.009   |6.105    |K2IIICNII        |    ~     ~    |    1|  119.995   pc  |  -0.3585     +0.3585  |paral   |2020yCat.1350....0G
213 |CD-31 1001                                                                                               |Double or Multiple Star           |02 29 36.3846431784 -31 23 58.125587280|230.1162391762231 -68.2164732780817|  -12.624 1.669   |10.486   |F5               |    ~     ~    |    1|  365.687   pc  |  -6.8340     +6.8340  |ST-L    |2020AJ....160...83S
214 |HD 15479                                                                                                 |Star                              |02 28 42.2175203808 -31 27 56.049686712|230.3415552002486 -68.4022658543743|  15.463 22.567   |9.83     |G2/3V            |    ~     ~    |    1|  215.507   pc  |  -2.6010     +2.6010  |ST-L    |2020AJ....160...83S
215 |HD 15542                                                                                                 |Spectroscopic Binary              |02 29 06.9965084184 -31 37 54.396458256|230.7669640336904 -68.2986571725143|  50.249 25.344   |9.61     |F2/3V            |    ~     ~    |    1|  224.388   pc  |  -4.8030     +4.8030  |ST-L    |2020AJ....160...83S
216 |CD-32 896                                                                                                |Star                              |02 29 09.3266911728 -31 47 09.700975428|231.1794030383545 -68.2745979304276|   19.404 5.695   |9.65     |K0               |    ~     ~    |    1|  542.564   pc  |  -4.7689     +4.7689  |paral   |2020yCat.1350....0G
217 |HD 15480                                                                                                 |Star                              |02 28 34.9120084824 -32 55 44.702243148|234.2818858222942 -68.2442089966324|  19.264 23.233   |9.11     |G8IV/VCNIII      |    ~     ~    |    1|  461.595   pc  |  -3.0043     +3.0043  |paral   |2020yCat.1350....0G
218 |CD-32 894                                                                                                |Star                              |02 29 05.7237243024 -31 50 14.875032660|231.3212791882197 -68.2817674990352|  2.604 -10.669   |10.26    |~                |    ~     ~    |    1|  271.282   pc  |  -1.3615     +1.3615  |paral   |2020yCat.1350....0G
219 |CD-31 998                                                                                                |Star                              |02 29 24.7782624144 -31 16 41.661702804|229.7998887124545 -68.2679898666556|   2.536 -8.975   |10.72    |~                |    ~     ~    |    1|  914.160   pc  | -13.2875    +13.2875  |paral   |2020yCat.1350....0G
220 |TYC 7010-355-1                                                                                           |Star                              |02 28 39.0945684288 -30 54 55.107896040|228.8522022755823 -68.4582187914497|  30.993 22.562   |10.80    |~                |    ~     ~    |    1|  533.305   pc  |  -7.7361     +7.7361  |paral   |2020yCat.1350....0G
221 |GSC 07010-00662                                                                                          |Double or Multiple Star           |02 27 07.9137838752 -32 19 28.830477972|232.7768886788362 -68.6349452496173|  32.337 -2.411   |10.794   |~                |    ~     ~    |    1|  166.251   pc  |  -5.3344     +5.3344  |paral   |2020yCat.1350....0G
222 |HD 14317                                                                                                 |Star                              |02 18 01.9438333872 -31 22 07.066308900|230.7765243414810 -70.6759026313452|  1.572 -13.090   |8.47     |K2IIICNII        |    ~     ~    |    1|  323.039   pc  |  -2.2332     +2.2332  |paral   |2020yCat.1350....0G
223 |HD 14789                                                                                                 |Star                              |02 22 15.2899324248 -31 02 46.920738984|229.5354937219451 -69.8138539768026|   10.157 0.299   |9.19     |K1III            |    ~     ~    |    1|  483.419   pc  |  -3.1782     +3.1782  |paral   |2020yCat.1350....0G
224 |CD-31 960                                                                                                |Star                              |02 24 05.1346504536 -30 56 38.027540364|229.1413350056901 -69.4322895495721|  -1.762 -0.916   |10.44    |G5               |    ~     ~    |    1|  277.693   pc  |  -1.1181     +1.1181  |paral   |2020yCat.1350....0G
225 |HD 14022                                                                                                 |Star                              |02 15 31.1994359232 -29 25 08.990467356|224.9305856351604 -71.3717763269041|  3.798 -15.136   |9.49     |G8/K0III         |    ~     ~    |    1|  494.462   pc  | -48.4585    +48.4585  |paral   |2020yCat.1350....0G
226 |HD 13963                                                                                                 |Star                              |02 15 04.3066919736 -30 18 25.156138032|227.7265014220347 -71.4176193107444|-25.840 -40.752   |10.20    |F5V              |    ~     ~    |    1|  238.061   pc  |  -1.6605     +1.6605  |paral   |2020yCat.1350....0G
227 |HD 13989                                                                                                 |High Proper Motion Star           |02 15 18.0325308480 -30 04 01.243747236|226.9645765617829 -71.3862408058799| 110.974 48.990   |10.65    |G8/K0            |    ~     ~    |    1|  121.904   pc  |  -0.7668     +0.7668  |paral   |2020yCat.1350....0G
228 |HD 14086                                                                                                 |High Proper Motion Star           |02 15 57.2129558088 -30 24 17.076977244|227.9817640396729 -71.2199948882312| 60.343 -67.818   |10.212   |G0V              |    ~     ~    |    1|  123.502   pc  |  -0.8612     +0.8612  |ST-L    |2020AJ....160...83S
229 |HD 14003                                                                                                 |Star                              |02 15 22.6185154944 -30 53 11.616413892|229.5116830992855 -71.2968392235359|  -5.856 -5.928   |10.36    |A0V              |    ~     ~    |    1|  930.319   pc  | -19.7333    +19.7333  |paral   |2020yCat.1350....0G
230 |CD-31 905                                                                                                |Star                              |02 16 10.5939549000 -31 21 24.935034528|230.8955714790406 -71.0703197080402|  31.866 11.452   |10.431   |G0               |    ~     ~    |    1|  308.804   pc  |  -9.6400     +9.6400  |ST-L    |2020AJ....160...83S
231 |HD 14215                                                                                                 |Star                              |02 17 08.7942959400 -30 26 39.266215296|228.0376558985491 -70.9604260083287|-12.259 -31.614   |9.64     |G6V              |    ~     ~    |    1|  310.887   pc  |  -1.2758     +1.2758  |paral   |2020yCat.1350....0G
232 |HD 14158                                                                                                 |High Proper Motion Star           |02 16 40.0320792408 -31 26 33.471758436|231.1141867743318 -70.9552226349393| 64.587 -17.043   |10.21    |G1V              |    ~     ~    |    1|  174.313   pc  |  -0.4619     +0.4619  |paral   |2020yCat.1350....0G
233 |CD-31 906                                                                                                |Star                              |02 16 15.9920559816 -31 16 12.274926852|230.6225154991829 -71.0624222116715| 10.780 -10.608   |10.228   |~                |    ~     ~    |    1|  328.817   pc  | -17.8700    +17.8700  |ST-L    |2020AJ....160...83S
234 |CD-30 800                                                                                                |Star                              |02 16 56.3776237680 -30 10 20.421756588|227.2154729661606 -71.0254212185977|   4.354 -1.607   |10.80    |~                |    ~     ~    |    1|  391.650   pc  |  -2.5156     +2.5156  |paral   |2020yCat.1350....0G
235 |CD-30 803                                                                                                |High Proper Motion Star           |02 17 07.2060559368 -30 16 07.995768744|227.5028330877959 -70.9796911831702|-49.301 -33.249   |10.51    |~                |    ~     ~    |    1|  139.128   pc  |  -0.2981     +0.2981  |paral   |2020yCat.1350....0G
236 |CD-29 811                                                                                                |Spectroscopic Binary              |02 16 45.2401613448 -29 21 06.568097652|224.6955707694456 -71.1051673098035|    3.095 3.728   |10.54    |~                |    ~     ~    |    1|  806.062   pc  | -17.6728    +17.6728  |paral   |2020yCat.1350....0G
237 |CD-28 763                                                                                                |Star                              |02 24 17.1115651896 -28 23 28.697538696|221.8669834156952 -69.4524339733341|  19.276 10.267   |10.107   |~                |    ~     ~    |    1|  708.188   pc  | -25.8100    +25.8100  |ST-L    |2020AJ....160...83S
238 |CD-28 773                                                                                                |Star                              |02 25 43.8555707688 -28 19 10.895059920|221.6984878973387 -69.1318943964331|   1.558 12.268   |10.24    |~                |    ~     ~    |    1|  427.095   pc  |  -3.8671     +3.8671  |paral   |2020yCat.1350....0G
239 |HD 14339                                                                                                 |Double or Multiple Star           |02 18 21.5064888024 -29 19 09.951437424|224.5699165698342 -70.7564045410576|   7.620 39.276   |10.005   |F7V              |    ~     ~    |    1|  406.741   pc  |-118.9000   +118.9000  |ST-L    |2020AJ....160...83S
240 |CD-29 824                                                                                                |High Proper Motion Star           |02 19 01.8793854168 -28 49 25.571894016|223.0674057111318 -70.6138104659960|  72.642 23.918   |10.30    |~                |    ~     ~    |    1|  218.705   pc  |  -2.6390     +2.6390  |ST-L    |2020AJ....160...83S
241 |HD 14420                                                                                                 |Spectroscopic Binary              |02 19 03.8215482984 -28 55 24.947418396|223.3681323993385 -70.6068927796270|  78.304 12.540   |8.18     |K1IV/V           |    ~     ~    |    1|  334.762   pc  |  -2.9025     +2.9025  |paral   |2020yCat.1350....0G
242 |HD 14565                                                                                                 |Star                              |02 20 31.2495360336 -28 51 11.228497380|223.1599271677329 -70.2877645798158|  1.641 -12.892   |9.20     |K4III            |    ~     ~    |    1| 1131.094   pc  | -25.2037    +25.2037  |paral   |2020yCat.1350....0G
243 |HD 14637                                                                                                 |High Proper Motion Star           |02 21 09.2440154928 -28 44 31.219694052|222.8353534672590 -70.1480297482809|-75.076 -77.172   |9.99     |G2V              |    ~     ~    |    1|  118.231   pc  |  -0.2069     +0.2069  |paral   |2020yCat.1350....0G
244 |HD 14758                                                                                                 |High Proper Motion Star           |02 21 59.1831095424 -29 21 07.497429624|224.6232825447529 -69.9652584552563|28.624 -172.131   |7.891    |G5V              |    ~     ~    |    1|   41.585   pc  |  -0.0327     +0.0327  |paral   |2020yCat.1350....0G
245 |HD 14868                                                                                                 |High Proper Motion Star           |02 23 11.1730868736 -29 02 12.064109748|223.7035273869729 -69.7054048783636|152.420 102.474   |8.27     |G1V              |    ~     ~    |    1|   54.221   pc  |  -0.1837     +0.1837  |ST-L    |2020AJ....160...83S
246 |HD 14881                                                                                                 |Star                              |02 23 16.3891541280 -29 14 29.023752444|224.2933380127568 -69.6859554401796|  -9.936 -1.816   |9.570    |K0III            |    ~     ~    |    1|  885.275   pc  | -52.1500    +52.1500  |ST-L    |2020AJ....160...83S
247 |HD 14924                                                                                                 |Star                              |02 23 42.6707703408 -29 14 32.459711532|224.2942813945969 -69.5903994635007|-24.311 -16.500   |8.52     |F3/5V            |    ~     ~    |    1|  135.759   pc  |  -0.3778     +0.3778  |paral   |2020yCat.1350....0G
248 |HD 14965                                                                                                 |Star                              |02 23 57.3037 -29 26 04.590            |224.8432823 -69.5352666            | -9.477 -13.571   |8.87     |A1V              |    ~     ~    |    0|                |                       |        |                   
249 |CD-29 863                                                                                                |High Proper Motion Star           |02 24 40.1452091208 -28 50 19.541370408|223.1452416059796 -69.3792817431688|-48.509 -112.541  |10.08    |~                |    ~     ~    |    1|  116.829   pc  |  -0.2157     +0.2157  |paral   |2020yCat.1350....0G
250 |HD 15047                                                                                                 |High Proper Motion Star           |02 24 45.6136093344 -28 39 05.389779636|222.6149840690741 -69.3557232670084|118.653 -36.238   |7.91     |F6V              |    ~     ~    |    1|   91.913   pc  |  -0.2011     +0.2011  |paral   |2020yCat.1350....0G
251 |HD 15058                                                                                                 |Star                              |02 24 47.8018515768 -28 52 50.895788376|223.2656329802142 -69.3519270028408|  16.700 -1.443   |9.54     |F0/2IV           |    ~     ~    |    1|  385.966   pc  |  -2.5623     +2.5623  |paral   |2020yCat.1350....0G
252 |HD 15133                                                                                                 |High Proper Motion Star           |02 25 32.8918930440 -28 59 15.653828220|223.5728132533749 -69.1887215192509|272.817 -82.448   |9.31     |K1III            |    ~     ~    |    1|   55.257   pc  |  -0.0504     +0.0504  |paral   |2020yCat.1350....0G
253 |HD 15171                                                                                                 |Star                              |02 25 48.7165670856 -28 45 30.022887168|222.9307365704183 -69.1275229651594|  17.789 12.422   |9.79     |F3V              |    ~     ~    |    1|  191.975   pc  |  -0.7408     +0.7408  |paral   |2020yCat.1350....0G
254 |HD 14638                                                                                                 |High Proper Motion Star           |02 21 08.2134387360 -29 43 42.492330120|225.7398933673584 -70.1404765104667|   60.516 2.222   |9.95     |G0V              |    ~     ~    |    1|  228.373   pc  |  -4.1932     +4.1932  |paral   |2020yCat.1350....0G
255 |HD 14700                                                                                                 |Star                              |02 21 37.0918407216 -29 36 36.550000368|225.3828503063975 -70.0397469022896|    4.898 6.537   |8.93     |K1IIICNII        |    ~     ~    |    1|  566.476   pc  |  -4.5567     +4.5567  |paral   |2020yCat.1350....0G
256 |HD 14850                                                                                                 |Be Star                           |02 23 00.5241013728 -29 37 10.076863152|225.3862474995830 -69.7373838428029|  -0.322 -3.800   |8.40     |B8IIIe           |    ~     ~    |    1| 1308.901   pc  | -62.3612    +62.3612  |paral   |2020yCat.1350....0G
257 |HD 14942                                                                                                 |Star                              |02 23 49.2353510256 -29 28 51.365019288|224.9771780649716 -69.5638033724066|   0.179 -1.625   |9.78     |F0/2V            |    ~     ~    |    1|  409.534   pc  | -11.3881    +11.3881  |paral   |2020yCat.1350....0G
258 |HD 15121                                                                                                 |Star                              |02 25 24.0204495048 -29 32 47.355300384|225.1470656102225 -69.2190653280265| 28.965 -16.880   |8.96     |K3III            |    ~     ~    |    1|  566.283   pc  |  -7.5359     +7.5359  |paral   |2020yCat.1350....0G
259 |HD 14310                                                                                                 |Star                              |02 18 01.0438536840 -29 49 37.639922592|226.1194929944222 -70.8126606312569|  0.382 -48.226   |9.09     |G8III+F/G        |    ~     ~    |    1|  138.426   pc  |  -0.3468     +0.3468  |paral   |2020yCat.1350....0G
260 |HD 14566                                                                                                 |High Proper Motion Star           |02 20 29.3274092040 -30 10 13.259694360|227.0624105872881 -70.2600133163522|-10.031 -68.273   |9.38     |G8IV/V           |    ~     ~    |    1|  458.211   pc  |  -2.8974     +2.8974  |paral   |2020yCat.1350....0G
261 |HD 14678                                                                                                 |Star                              |02 21 22.5824566848 -29 56 24.470845944|226.3554210632078 -70.0800953308902|  32.004 11.078   |9.99     |G8III            |    ~     ~    |    1|  311.294   pc  |  -2.2191     +2.2191  |paral   |2020yCat.1350....0G
262 |HD 14845                                                                                                 |Star                              |02 22 52.5775621104 -29 54 51.220958724|226.2400112139681 -69.7565021017926|  25.772 -9.354   |8.81     |K0III            |    ~     ~    |    1|  427.807   pc  |  -3.0930     +3.0930  |paral   |2020yCat.1350....0G
263 |HD 15059                                                                                                 |Double or Multiple Star           |02 24 48.86785 -29 51 47.3721          |226.05058926 -69.33852121          |    67.66 -3.59   |9.25     |F3V              |    ~     ~    |    0|                |                       |        |                   
264 |HD 15086                                                                                                 |Star                              |02 25 04.8886433808 -30 21 33.876427680|227.4460313316679 -69.2592326380378|   13.209 0.711   |8.84     |G8/K0III         |    ~     ~    |    1|  430.145   pc  |  -3.3304     +3.3304  |paral   |2020yCat.1350....0G
265 |CD-31 917                                                                                                |Star                              |02 17 16.8860078568 -31 07 34.005444528|230.1040149202293 -70.8643632708464|  18.639 -4.548   |10.60    |F8               |    ~     ~    |    1|  295.849   pc  |  -2.1006     +2.1006  |paral   |2020yCat.1350....0G
266 |CD-31 918                                                                                                |High Proper Motion Star           |02 17 18.9171408912 -30 45 37.690672968|228.9916472181032 -70.8959886179426|  99.856 15.891   |10.092   |G2               |    ~     ~    |    1|   98.381   pc  |  -0.6157     +0.6157  |ST-L    |2020AJ....160...83S
267 |HD 14296                                                                                                 |Star                              |02 17 55.2555331176 -30 28 05.811083508|228.0694466412388 -70.7921488428989|  28.948 12.519   |8.62     |K2/3III          |    ~     ~    |    1|  333.389   pc  |  -2.2563     +2.2563  |paral   |2020yCat.1350....0G
268 |HD 14326                                                                                                 |Spectroscopic Binary              |02 18 13.2449536872 -31 05 17.387799288|229.9206839234045 -70.6688675064018|  34.328 20.512   |9.914    |G0V              |    ~     ~    |    1|  257.862   pc  |  -3.6760     +3.6760  |ST-L    |2020AJ....160...83S
269 |HD 14340                                                                                                 |Star                              |02 18 14.7678276432 -30 47 22.494961896|229.0212198520149 -70.6941731418661|-16.115 -11.165   |8.31     |K2III            |    ~     ~    |    1|  275.862   pc  |  -1.6894     +1.6894  |paral   |2020yCat.1350....0G
270 |CD-31 928                                                                                                |Star                              |02 18 24.7096780704 -30 25 30.789974100|227.9140335757306 -70.6900673368777|  -1.856 11.969   |10.098   |K0               |    ~     ~    |    1|  430.244   pc  | -10.2300    +10.2300  |ST-L    |2020AJ....160...83S
271 |CD-31 938                                                                                                |Star                              |02 20 50.0152341120 -30 56 09.596630616|229.2988309778670 -70.1275189329635|    6.836 6.823   |9.84     |K0               |    ~     ~    |    1|  736.594   pc  |  -8.2471     +8.2471  |paral   |2020yCat.1350....0G
272 |HD 14679                                                                                                 |High Proper Motion Star           |02 21 21.1113564762 -30 32 52.161142828|228.1355508269885 -70.0492261197253|153.706 -304.898  |9.28     |G5V              |    ~     ~    |    1|   72.1735  pc  |  -0.0708     +0.0708  |paral   |2020yCat.1350....0G
273 |HD 14680                                                                                                 |High Proper Motion Star           |02 21 23.9952386189 -30 56 01.102387983|229.2587040085548 -70.0068253243837|551.518 110.242   |8.82     |K2+V             |    ~     ~    |    1|   31.293   pc  |  -0.0563     +0.0563  |ST-L    |2020AJ....160...83S
274 |CD-31 955                                                                                                |High Proper Motion Star           |02 23 25.6907012808 -30 28 47.264515932|227.8486873440703 -69.6078378924416|  52.050 13.226   |9.90     |G5               |    ~     ~    |    1|  175.187   pc  |  -0.4143     +0.4143  |paral   |2020yCat.1350....0G
275 |HD 14925                                                                                                 |Star                              |02 23 38.5124801184 -30 45 27.947215188|228.6338457689818 -69.5422467636440|-14.753 -21.640   |10.04    |F3V              |    ~     ~    |    1|  306.363   pc  |  -1.4454     +1.4454  |paral   |2020yCat.1350....0G
276 |CD-31 968                                                                                                |High Proper Motion Star           |02 25 16.8472462632 -30 48 28.259781372|228.6997895367306 -69.1874586235771|  49.590 17.706   |10.25    |G5               |    ~     ~    |    1|  388.606   pc  |  -2.4917     +2.4917  |paral   |2020yCat.1350....0G
277 |HD 14882                                                                                                 |Double or Multiple Star           |02 23 14.54149 -29 52 09.5215          |226.10178795 -69.67893391          |  -72.32 -93.11   |7.15     |G0V              |    ~     ~    |    0|                |                       |        |                   
278 |CD-30 810                                                                                                |High Proper Motion Star           |02 17 57.8050088880 -29 32 26.468622672|225.2496482234635 -70.8361748690770|-3.785 -104.837   |10.483   |~                |    ~     ~    |    1|  105.579   pc  |  -1.1880     +1.1880  |ST-L    |2020AJ....160...83S
279 |CD-30 812                                                                                                |Star                              |02 18 14.4026735448 -29 43 35.119803504|225.8070680895435 -70.7689782476783|   48.119 8.066   |9.98     |~                |    ~     ~    |    1|  321.079   pc  |  -2.0515     +2.0515  |paral   |2020yCat.1350....0G
280 |CD-30 819                                                                                                |High Proper Motion Star           |02 19 30.0037991016 -29 49 22.887108372|226.0622745935488 -70.4916229221072|  62.090 39.822   |10.337   |~                |    ~     ~    |    1|  211.970   pc  |  -2.7550     +2.7550  |ST-L    |2020AJ....160...83S
281 |CD-30 829                                                                                                |High Proper Motion Star           |02 20 36.2878221720 -29 44 09.684214980|225.7745059702495 -70.2556389995154|  61.793 23.078   |10.19    |~                |    ~     ~    |    1|  208.799   pc  |  -0.7106     +0.7106  |paral   |2020yCat.1350....0G
282 |CD-30 831                                                                                                |Star                              |02 20 52.7194162608 -29 39 14.734767600|225.5263620313841 -70.1990431599697|-13.243 -33.171   |10.68    |~                |    ~     ~    |    1|  312.363   pc  |  -1.4050     +1.4050  |paral   |2020yCat.1350....0G
283 |CD-30 840                                                                                                |Spectroscopic Binary              |02 21 52.1739220224 -29 43 07.538738376|225.6955095201785 -69.9818321816928|   29.926 7.921   |10.352   |~                |    ~     ~    |    1|  224.649   pc  |  -3.1420     +3.1420  |ST-L    |2020AJ....160...83S
284 |CD-31 934                                                                                                |Star                              |02 20 01.1377002336 -31 03 50.184486036|229.7256993536711 -70.2886132100868|  13.422 -0.589   |10.86    |~                |    ~     ~    |    1|  155.253   pc  |  -0.3591     +0.3591  |paral   |2020yCat.1350....0G
285 |CD-29 852                                                                                                |Star                              |02 22 53.1176389920 -28 43 27.839466984|222.8000557776973 -69.7683001454348|   34.945 2.002   |10.594   |~                |    ~     ~    |    1|  830.532   pc  | -35.1000    +35.1000  |ST-L    |2020AJ....160...83S
286 |CD-30 856                                                                                                |Star                              |02 23 50.8956819480 -29 52 02.734224600|226.0828582630482 -69.5477304520990|  15.554 -3.874   |10.25    |~                |    ~     ~    |    1| 1511.259   pc  | -33.3450    +33.3450  |paral   |2020yCat.1350....0G
287 |CD-29 862                                                                                                |Star                              |02 24 34.2091873800 -28 48 31.223362068|223.0588320752653 -69.4004874209007|   22.804 3.998   |10.70    |~                |    ~     ~    |    1|  390.076   pc  |  -4.3213     +4.3213  |paral   |2020yCat.1350....0G
288 |CD-30 865                                                                                                |Star                              |02 25 26.5212015288 -29 46 58.500550524|225.8125181743384 -69.2048609008508| -15.516 -8.803   |10.90    |~                |    ~     ~    |    1|  331.675   pc  |  -1.9691     +1.9691  |paral   |2020yCat.1350....0G
289 |TYC 6435-1478-1                                                                                          |Star                              |02 25 18.0127141872 -29 04 50.082952620|223.8335035403937 -69.2435948685123| -4.290 -10.035   |10.93    |~                |    ~     ~    |    1|  605.400   pc  |  -6.2673     +6.2673  |paral   |2020yCat.1350....0G
290 |TYC 6435-1658-1                                                                                          |Spectroscopic Binary              |02 23 07.0897734048 -29 32 47.406842880|225.1741133468484 -69.7153226629961|   15.710 4.500   |10.89    |~                |    ~     ~    |    1|  401.623   pc  |  -3.6777     +3.6777  |paral   |2020yCat.1350....0G
