C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |BD+00 2634                                                            |Star                           |10 16 17.3125262280 -00 38 29.616837648|243.1867296671340 +43.5174516238113|  -9.523 -1.505   |10.089   |K0             |    ~     ~    
2   |BD+00 2635                                                            |Star                           |10 17 37.8724422168 -00 38 32.924612040|243.4849710238502 +43.7745191758447|-17.841 -32.359   |10.262   |G5             |    ~     ~    
3   |BD-00 2313                                                            |Star                           |10 15 12.8124310848 -01 32 52.570900968|243.9014727963032 +42.7290459323127| -11.338 -6.441   |9.82     |F2             |    ~     ~    
4   |BD-00 2314                                                            |Star                           |10 15 35.1321410688 -01 39 56.340827604|244.1055331257422 +42.7237921873634| -2.366 -18.148   |10.29    |F8             |    ~     ~    
5   |HD 89026                                                              |Star                           |10 16 07.9227261312 -01 35 52.088269272|244.1557350900548 +42.8717731742257|-23.721 -10.353   |7.84     |K4III          |    ~     ~    
6   |BD-00 2317                                                            |Star                           |10 16 55.8483452688 -01 25 01.550536500|244.1445625989040 +43.1409125746359|-27.913 -10.592   |9.09     |K0             |    ~     ~    
7   |BD-00 2318                                                            |Star                           |10 17 04.2158495832 -00 44 05.619448248|243.4584153806631 +43.6076806146749|  -15.006 0.934   |10.370   |F8             |    ~     ~    
8   |HD 89322                                                              |Star                           |10 18 15.9299284896 -01 14 40.255543572|244.2615905688464 +43.5067186968255|-28.952 -20.487   |8.08     |F2/3V          |    ~     ~    
9   |HD 88989                                                              |Spectroscopic Binary           |10 15 50.7563151144 -02 01 22.784725524|244.5322120703949 +42.5410675942293| -15.193 18.342   |8.11     |K0III          |    ~     ~    
10  |BD-01 2367                                                            |Star                           |10 16 04.9782249672 -02 11 12.163801200|244.7529077744441 +42.4790792290336|  -12.732 0.775   |9.95     |M0             |    ~     ~    
11  |BD-01 2373                                                            |High Proper Motion Star        |10 18 01.7718269544 -01 55 31.974117780|244.9175001401202 +43.0176990558395|  -83.122 6.463   |9.80     |G5             |    ~     ~    
12  |BD-01 2364                                                            |Star                           |10 15 29.9693377440 -02 17 34.110878712|244.7326554509038 +42.2994174218164|  -7.768 -6.942   |10.85    |~              |    ~     ~    
13  |HD 88990                                                              |Star                           |10 15 54.9939442416 -02 24 51.760397412|244.9491122825911 +42.2986365736255| -15.223 -0.556   |8.74     |G8III          |    ~     ~    
14  |BD-01 2370                                                            |Star                           |10 17 02.6028743520 -02 23 23.553687084|245.1743408868316 +42.5270368981665|   -6.180 9.404   |10.550   |G0             |    ~     ~    
15  |BD-00 2315                                                            |Star                           |10 15 40.5176282928 -00 46 05.848453992|243.1859108970120 +43.3185510990102|  -9.220 -6.984   |10.4     |~              |    ~     ~    
16  |BD-01 2368                                                            |Star                           |10 16 08.6842875696 -02 22 14.786558688|244.9550973272691 +42.3702603463027| -15.749 -8.611   |10.527   |~              |    ~     ~    
17  |TYC 4904-1612-1                                                       |Star                           |10 16 18.0532432344 -01 19 48.313212564|243.9141377533265 +43.0772136897991| -22.532 -2.927   |10.627   |~              |    ~     ~    
18  |TYC 4904-1731-1                                                       |Star                           |10 17 17.1823777152 -01 57 05.516762256|244.7782683435317 +42.8603334644917|   1.288 -2.981   |10.829   |~              |    ~     ~    
19  |LP 609-74                                                             |High Proper Motion Star        |10 17 58.6011952680 -01 10 28.370211816|244.1236187151304 +43.4971848976866|-183.094 -33.045  |10.83    |~              |    ~     ~    
20  |TYC 4904-1504-1                                                       |Star                           |10 18 36.5466829680 -01 09 16.918415748|244.2442991447897 +43.6303554276431|-27.518 -16.660   |10.616   |~              |    ~     ~    
21  |BD-00 2322                                                            |Star                           |10 18 37.9281333264 -01 26 53.243380176|244.5567969627948 +43.4437784421459|  -40.479 8.426   |10.604   |~              |    ~     ~    
22  |TYC 4904-1341-1                                                       |Star                           |10 15 30.4426763568 -02 20 34.095993288|244.7855392355883 +42.2682286329574|   -6.848 3.713   |10.79    |~              |    ~     ~    
23  |TYC 4904-1459-1                                                       |Star                           |10 18 12.3208748784 -02 21 01.227659040|245.3937900190508 +42.7714784781121|  -11.534 0.779   |10.90    |~              |    ~     ~    
24  |TYC 4904-2007-1                                                       |Star                           |10 17 34.5668451096 -01 23 38.970402540|244.2641924114579 +43.2785150595844| -1.977 -15.929   |10.94    |~              |    ~     ~    
25  |HD 89087                                                              |High Proper Motion Star        |10 16 34.5861798072 -02 36 06.947324676|245.2866727869395 +42.2996820866917|-107.612 -3.532   |8.20     |K2III          |    ~     ~    
