C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:40:29

dec< 0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7195

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
750 |BD-22 2564                                                                                               |Star                              |09 19 02.9304034536 -22 57 40.575255840|252.0752317284628 +18.3110905478263| -10.801 12.890   |10.504   |G              |    ~     ~          |    1|  205.399   pc  |  -3.0420     +3.0420    |ST-L    |2020AJ....160...83S
751 |HD 80429                                                                                                 |Star                              |09 19 07.8625323648 -22 33 11.118862440|251.7656419037107 +18.5952194057608| -26.136 23.922   |7.18     |A0V            |    ~     ~          |    1|  213.183   pc  |  -4.1448     +4.1448    |paral   |2020yCat.1350....0G
752 |HD 80465                                                                                                 |Star                              |09 19 20.2439144496 -23 24 14.594433516|252.4704779962771 +18.0672516752167|  -3.564 -1.495   |8.94     |B9/9.5V        |    ~     ~          |    1|  381.505   pc  |  -3.4931     +3.4931    |paral   |2020yCat.1350....0G
753 |BD-22 2571                                                                                               |Star                              |09 19 47.2381117224 -23 06 27.867233952|252.3093908428936 +18.3412289483680|   -3.936 1.908   |10.39    |F0             |    ~     ~          |    1|  639.304   pc  |  -7.1116     +7.1116    |paral   |2020yCat.1350....0G
754 |HD 80552                                                                                                 |High Proper Motion Star           |09 19 59.1735771936 -22 57 45.472322880|252.2270102488804 +18.4717716868365| 22.554 -71.947   |8.43     |F7V            |    ~     ~          |    1|  195.771   pc  |  -0.7742     +0.7742    |paral   |2020yCat.1350....0G
755 |BD-21 2759                                                                                               |Star                              |09 20 02.7313833864 -22 33 25.694352144|251.9162836325342 +18.7508693995709|  2.422 -41.861   |10.22    |G5             |    ~     ~          |    1|  154.029   pc  |  -0.3725     +0.3725    |paral   |2020yCat.1350....0G
756 |HD 80618                                                                                                 |Double or Multiple Star           |09 20 15.909480 -23 28 46.59312        |252.678723017 +18.175972977        |    -21.3 -17.9   |8.754    |F3V            |    ~     ~          |    0|                |                         |        |                   
757 |HD 80618B                                                                                                |Star                              |09 20 16.0069080335 -23 28 45.450719067|252.6787347835320 +18.1764620692749|-13.422 -13.942   |9.46     |~              |    ~     ~          |    1|  160.717   pc  |  -1.0073     +1.0073    |paral   |2020yCat.1350....0G
758 |HD 80658                                                                                                 |Star                              |09 20 22.8934724952 -23 25 08.893115904|252.6499440961014 +18.2361578863175|   -6.382 5.219   |8.69     |G3Ib/II        |    ~     ~          |    1|  753.580   pc  | -12.8909    +12.8909    |paral   |2020yCat.1350....0G
759 |BD-22 2576                                                                                               |Star                              |09 20 26.3593903944 -22 51 46.659601836|252.2214636163633 +18.6159682206638|  -14.378 1.299   |10.59    |F              |    ~     ~          |    1|  432.900   pc  |  -2.6236     +2.6236    |paral   |2020yCat.1350....0G
760 |BD-22 2581                                                                                               |Star                              |09 20 49.3010722392 -22 40 47.035167708|252.1386787704200 +18.8035670742194|  -13.774 1.994   |10.269   |~              |    ~     ~          |    1|  502.165   pc  | -14.0500    +14.0500    |ST-L    |2020AJ....160...83S
761 |BD-22 2582                                                                                               |Star                              |09 21 34.4101901376 -23 29 57.365549916|252.9049263201688 +18.3863116105512| -22.091 -1.007   |9.789    |K0             |    ~     ~          |    1|  581.920   pc  | -14.7400    +14.7400    |ST-L    |2020AJ....160...83S
762 |BD-22 2583                                                                                               |High Proper Motion Star           |09 21 46.9657070232 -22 44 33.991437300|252.3442605715320 +18.9270716376151|-42.397 -26.715   |10.66    |G              |    ~     ~          |    1|  161.098   pc  |  -0.3633     +0.3633    |paral   |2020yCat.1350....0G
763 |BD-22 2586                                                                                               |Double or Multiple Star           |09 22 06.6174049560 -23 27 12.790974780|252.9559042349166 +18.5083858244372|  -15.161 4.839   |10.531   |G              |    ~     ~          |    1|  899.598   pc  | -68.1500    +68.1500    |ST-L    |2020AJ....160...83S
764 |HD 80960                                                                                                 |Star                              |09 22 19.6517442240 -22 35 17.693630592|252.3110600705941 +19.1237627340406|  11.410 -3.514   |9.33     |G3V            |    ~     ~          |    1|   85.259   pc  |  -0.1294     +0.1294    |paral   |2020yCat.1350....0G
765 |HD 80972                                                                                                 |Star                              |09 22 20.9206763088 -23 19 26.617113156|252.8930497878224 +18.6357064333873|  8.536 -10.717   |9.54     |F3V            |    ~     ~          |    1|  314.792   pc  |  -1.5855     +1.5855    |paral   |2020yCat.1350....0G
766 |CD-23 8201                                                                                               |Star                              |09 16 41.5982217360 -24 12 22.237117308|252.6804379475535 +17.0828254625274|  -6.222 -0.820   |10.22    |~              |    ~     ~          |    1|  758.913   pc  | -39.8400    +39.8400    |ST-L    |2020AJ....160...83S
767 |CD-23 8228                                                                                               |Star                              |09 17 54.2460406128 -24 11 50.178951132|252.8648710124800 +17.2955756788165|  -31.378 7.207   |10.08    |~              |    ~     ~          |    1|  236.899   pc  |  -0.8138     +0.8138    |paral   |2020yCat.1350....0G
768 |CD-23 8236                                                                                               |Star                              |09 18 18.5708815944 -24 01 03.219510756|252.7883310394516 +17.4840424144929|  -27.033 4.779   |9.81     |~              |    ~     ~          |    1|  314.149   pc  |  -3.1383     +3.1383    |paral   |2020yCat.1350....0G
769 |CD-23 8242                                                                                               |Double or Multiple Star           |09 18 44.0667948792 -23 52 01.803544392|252.7379802391619 +17.6564977444160|  -2.466 -4.671   |10.729   |~              |    ~     ~          |    1|  363.095   pc  |  -5.2603     +5.2603    |paral   |2020yCat.1350....0G
770 |CD-23 8248                                                                                               |Star                              |09 18 55.0094722248 -24 01 39.743854104|252.8929021793547 +17.5809518953549|   -3.129 6.134   |9.36     |~              |    ~     ~          |    1| 1240.695   pc  | -24.6292    +24.6292    |paral   |2020yCat.1350....0G
771 |HD 80416                                                                                                 |Star                              |09 19 00.7503916728 -23 44 07.323700596|252.6788879544387 +17.7915839053550|  -9.528 -3.841   |9.35     |A3/4V          |    ~     ~          |    1|  288.600   pc  |  -1.6158     +1.6158    |paral   |2020yCat.1350....0G
772 |CD-23 8269                                                                                               |Star                              |09 20 13.9545665808 -23 42 24.138159444|252.8516673123098 +18.0191142421853|  -2.581 20.828   |10.24    |~              |    ~     ~          |    1|  291.920   pc  |  -1.2697     +1.2697    |paral   |2020yCat.1350....0G
773 |HD 80638                                                                                                 |Star                              |09 20 16.0197778536 -23 56 53.667309084|253.0463550164233 +17.8638886063219|   -7.305 4.579   |9.47     |A8/9V          |    ~     ~          |    1|  375.164   pc  |  -4.9966     +4.9966    |paral   |2020yCat.1350....0G
774 |CD-23 8280                                                                                               |Star                              |09 20 39.7578922944 -23 54 39.662521488|253.0806704678895 +17.9560451858849|   5.870 -8.317   |9.98     |~              |    ~     ~          |    1|  257.792   pc  |  -1.1298     +1.1298    |paral   |2020yCat.1350....0G
775 |HD 80735                                                                                                 |Star                              |09 20 50.3847904608 -24 05 52.469244852|253.2551607281815 +17.8611958892930|  -34.692 5.767   |8.00     |K0III          |    ~     ~          |    1|  276.442   pc  |  -1.5437     +1.5437    |paral   |2020yCat.1350....0G
776 |HD 80830                                                                                                 |Star                              |09 21 26.6406175176 -23 47 10.693499028|253.1087664729256 +18.1722888836732| -17.308 20.177   |8.82     |G8V            |    ~     ~          |    1|   49.146   pc  |  -0.0461     +0.0461    |paral   |2020yCat.1350....0G
777 |CD-23 8291                                                                                               |Star                              |09 21 43.1665996680 -23 57 00.170065584|253.2811061585737 +18.1093972149360|  -11.968 2.420   |9.14     |~              |    ~     ~          |    1| 1092.180   pc  | -28.6286    +28.6286    |paral   |2020yCat.1350....0G
778 |CD-23 8293                                                                                               |Star                              |09 21 47.2669269168 -23 42 05.225033016|253.0978342508931 +18.2875312334922|  -1.680 -0.877   |10.53    |~              |    ~     ~          |    1|  561.640   pc  |  -6.1511     +6.1511    |paral   |2020yCat.1350....0G
779 |CD-23 8294                                                                                               |Star                              |09 21 50.4290998296 -24 08 13.173553536|253.4464587177234 +18.0045273249461|  -11.178 0.795   |9.5      |~              |    ~     ~          |    1|  286.262   pc  |  -6.4492     +6.4492    |paral   |2020yCat.1350....0G
780 |HD 80919                                                                                                 |Star                              |09 21 52.7799602928 -24 07 55.134555096|253.4488599831901 +18.0145173115136|  -12.841 2.439   |8.27     |A0IV           |    ~     ~          |    1|  278.489   pc  |  -2.1406     +2.1406    |paral   |2020yCat.1350....0G
781 |CD-23 8297                                                                                               |Star                              |09 21 52.7785234200 -23 57 37.330845552|253.3149813939581 +18.1296349640193|   1.588 -3.192   |9.62     |~              |    ~     ~          |    1|  969.932   pc  | -13.6411    +13.6411    |paral   |2020yCat.1350....0G
782 |CD-23 8303                                                                                               |Star                              |09 22 08.2662599640 -24 03 18.956788920|253.4306343987868 +18.1096744123572|   -5.230 0.240   |9.72     |~              |    ~     ~          |    1|  895.901   pc  | -43.3600    +43.3600    |ST-L    |2020AJ....160...83S
783 |HD 80372                                                                                                 |Star                              |09 18 48.6409952544 -24 27 27.707345496|253.2124062613889 +17.2767278355651| -36.444 -5.256   |8.45     |G1V            |    ~     ~          |    1|   82.267   pc  |  -0.1387     +0.1387    |paral   |2020yCat.1350....0G
784 |CD-23 8256                                                                                               |Spectroscopic Binary              |09 19 24.7317595104 -24 15 22.695217560|253.1507041752149 +17.5130732592496|  11.310 -1.339   |9.56     |~              |    ~     ~          |    1|  177.667   pc  |  -0.5082     +0.5082    |paral   |2020yCat.1350....0G
785 |CD-24 7968                                                                                               |Star                              |09 20 47.5635244104 -24 37 40.398352608|253.6607182494678 +17.4983080937487|  -3.750 -2.423   |10.25    |~              |    ~     ~          |    1|  197.985   pc  |  -0.8859     +0.8859    |paral   |2020yCat.1350....0G
786 |V* AO Hya                                                                                                |Long-Period Variable              |09 20 42.4549412856 -24 15 51.610191336|253.3638838983678 +17.7274421511015|   14.100 2.881   |9.96     |~              |    ~     ~          |    1| 1539.646   pc  | -56.6552    +56.6552    |paral   |2020yCat.1350....0G
787 |NGC 2815                           NGC 2815                                                              |Emission-line galaxy              |09 16 19.7483020320 -23 37 59.733390648|252.1722381341046 +17.3983910197491|            ~ ~   |11.84    |~              |1.743 0.767          |    1|   39.99    Mpc |  -3.24       +3.24      |T-F     |2020ApJ...902..145K
788 |BD-21 2752                                                                                               |Star                              |09 18 05.22 -22 23 12.6                |251.46603 +18.52351                |            ~ ~   |10.0     |~              |    ~     ~          |    0|                |                         |        |                   
789 |WT 1594                                                                                                  |Spectroscopic Binary              |09 18 59.0879513208 -23 03 02.958512364|252.1356492863199 +18.2407682206948|-229.378 -1.806   |10.67    |~              |    ~     ~          |    1|  113.422   pc  |  -3.9044     +3.9044    |paral   |2020yCat.1350....0G
790 |BD-22 2543                                                                                               |Star                              |09 15 18.7523488752 -23 00 59.907826836|251.5239239986858 +17.6273741431348|  -20.484 3.728   |10.14    |~              |    ~     ~          |    1|  327.300   pc  |  -1.8640     +1.8640    |paral   |2020yCat.1350....0G
791 |BD-22 2545                                                                                               |Star                              |09 15 42.1908303048 -23 27 58.957312212|251.9416266737633 +17.4001289339672|  -12.540 4.045   |10.451   |~              |    ~     ~          |    1|  658.604   pc  | -22.5200    +22.5200    |ST-L    |2020AJ....160...83S
792 |CPD-21 4173                                                                                              |Star                              |09 15 51.4140489240 -22 18 29.039818536|251.0470689512775 +18.1859049389791| -15.790 10.182   |10.811   |~              |    ~     ~          |    1|  607.138   pc  | -33.1000    +33.1000    |ST-L    |2020AJ....160...83S
793 |CD-23 8190                                                                                               |Star                              |09 15 52.5739263552 -23 55 33.580182252|252.3314065879822 +17.1276027431209| 15.483 -34.783   |10.996   |~              |    ~     ~          |    1|  385.557   pc  |  -9.8490     +9.8490    |ST-L    |2020AJ....160...83S
794 |CD-23 8194                                                                                               |Star                              |09 16 03.3794844744 -24 02 44.797840404|252.4540258389965 +17.0795922174700|  -6.627 -0.274   |10.24    |~              |    ~     ~          |    1| 1563.233   pc  | -44.7196    +44.7196    |paral   |2020yCat.1350....0G
795 |BD-22 2549                                                                                               |Star                              |09 16 11.1569414088 -23 02 24.144111600|251.6807751948313 +17.7637562453138|  -13.984 9.577   |10.80    |~              |    ~     ~          |    1| 2127.290   pc  |-683.6000   +683.6000    |ST-L    |2020AJ....160...83S
796 |MC79 1-81                                                                                                |S Star                            |09 16 31.2666131304 -22 25 54.112759320|251.2512594457603 +18.2211093364639|   0.669 -0.460   |10.92    |S2*3           |    ~     ~          |    1| 3591.954   pc  |-289.0078   +289.0078    |paral   |2020yCat.1350....0G
797 |BD-21 2750                                                                                               |Star                              |09 17 40.9464431280 -22 20 59.589083220|251.3718166213409 +18.4773544527618|  -2.966 -2.353   |10.29    |~              |    ~     ~          |    1|  669.523   pc  |  -6.4101     +6.4101    |paral   |2020yCat.1350....0G
798 |CD-23 8224                                                                                               |Star                              |09 17 47.4933626400 -23 37 13.676235888|252.3940341441574 +17.6584470155136|  -6.176 -5.782   |10.616   |~              |    ~     ~          |    1|  854.707   pc  | -45.7700    +45.7700    |ST-L    |2020AJ....160...83S
799 |CD-23 8226                                                                                               |Star                              |09 17 47.9938342632 -24 14 26.531358972|252.8823941121039 +17.2489846605878|   -4.252 6.320   |10.982   |~              |    ~     ~          |    1| 1253.740   pc  | -86.2300    +86.2300    |ST-L    |2020AJ....160...83S
800 |BD-22 2565                                                                                               |Star                              |09 19 07.0707938400 -23 00 17.480215476|252.1207139949575 +18.2941423767044|   -3.563 1.056   |10.775   |~              |    ~     ~          |    1| 1605.950   pc  |-178.3000   +178.3000    |ST-L    |2020AJ....160...83S
801 |BD-22 2567                                                                                               |Star                              |09 19 08.6581880856 -23 09 21.059183556|252.2440657451101 +18.1986841842036|   -6.608 7.490   |10.285   |~              |    ~     ~          |    1| 1508.010   pc  |-164.5000   +164.5000    |ST-L    |2020AJ....160...83S
802 |CD-23 8258                                                                                               |Star                              |09 19 34.4867710920 -23 46 17.284426752|252.7970680764661 +17.8636898169737| -10.358 11.889   |10.877   |~              |    ~     ~          |    1| 1001.220   pc  | -37.8900    +37.8900    |ST-L    |2020AJ....160...83S
803 |BD-21 2760                                                                                               |Star                              |09 20 10.5826926264 -22 20 31.721418564|251.7672272255471 +18.9158949803050|  -6.208 -0.525   |10.44    |~              |    ~     ~          |    1|  806.777   pc  | -11.8462    +11.8462    |paral   |2020yCat.1350....0G
804 |BD-22 2577                                                                                               |Star                              |09 20 27.3510685392 -23 17 55.216554360|252.5672368644280 +18.3290848285163|  -10.665 4.013   |10.861   |~              |    ~     ~          |    1| 1050.410   pc  | -45.1700    +45.1700    |ST-L    |2020AJ....160...83S
805 |CD-23 8284                                                                                               |High Proper Motion Star           |09 20 51.6125912232 -23 55 20.087986512|253.1211728035489 +17.9821337591183| -34.592 49.232   |10.51    |~              |    ~     ~          |    1|  314.179   pc  |  -1.5695     +1.5695    |paral   |2020yCat.1350....0G
806 |BD-21 2768                                                                                               |Spectroscopic Binary              |09 21 36.6594652080 -22 30 59.610101760|252.1378664364672 +19.0481345554243| -25.878 11.056   |10.06    |~              |    ~     ~          |    1|  354.271   pc  |  -3.7025     +3.7025    |paral   |2020yCat.1350....0G
807 |CD-23 8292                                                                                               |Star                              |09 21 44.6767088304 -23 55 08.376437352|253.2609107238544 +18.1344773893839|  7.466 -14.817   |10.532   |~              |    ~     ~          |    1| 1803.740   pc  |-211.6000   +211.6000    |ST-L    |2020AJ....160...83S
808 |BD-21 2769                                                                                               |Star                              |09 21 53.5543 -22 29 40.363            |252.1662834 +19.1113229            |      -14.0 8.0   |10.34    |~              |    ~     ~          |    0|                |                         |        |                   
809 |BD-22 2585                                                                                               |Star                              |09 22 00.0702926040 -23 16 10.977762144|252.7940935776094 +18.6127570014314| -15.515 -9.213   |10.730   |~              |    ~     ~          |    1|  534.803   pc  | -20.3800    +20.3800    |ST-L    |2020AJ....160...83S
810 |CD-23 8302                                                                                               |Red Giant Branch star Candidate   |09 22 07.4114838624 -23 49 35.388460668|253.2497924840570 +18.2607618735278|  -4.566 -1.162   |9.62     |~              |    ~     ~          |    1|  843.764   pc  | -38.3200    +38.3200    |ST-L    |2020AJ....160...83S
811 |CD-23 8308                                                                                               |Star                              |09 22 13.6582186128 -23 57 23.743157724|253.3681697767727 +18.1911229595582|  -5.479 -0.695   |10.01    |~              |    ~     ~          |    1|  734.738   pc  | -22.8100    +22.8100    |ST-L    |2020AJ....160...83S
812 |BD-22 2588                                                                                               |Star                              |09 22 29.7783 -22 42 53.639            |252.4383755 +19.0682424            |   -6.20 -11.70   |10.87    |~              |    ~     ~          |    0|                |                         |        |                   
813 |NGC 2835                           NGC 2835                                                              |Emission-line galaxy              |09 17 52.8523921416 -22 21 16.839119700|251.4074283665962 +18.5087773223736|    0.725 0.103   |     ~   |~              | 6.76  4.17          |    1|    8.00    Mpc |                         |T-F     |2011ApJS..192....6L
814 |CD-23 8214                                                                                               |Star                              |09 17 24.9250917192 -23 33 00.227258136|252.2788165198383 +17.6403195842326|  -9.483 11.319   |10.588   |~              |    ~     ~          |    1|  845.885   pc  | -50.6600    +50.6600    |ST-L    |2020AJ....160...83S
815 |TYC 6040-287-1                                                                                           |Star                              |09 15 28.2616752768 -22 07 03.629818272|250.8338647337470 +18.2425627434976|  -0.489 -1.052   |10.07    |~              |    ~     ~          |    1|  494.976   pc  |  -5.3165     +5.3165    |paral   |2020yCat.1350....0G
816 |TYC 6040-388-1                                                                                           |Spectroscopic Binary              |09 15 44.3926019928 -22 03 08.773794432|250.8245805449041 +18.3323242816454| -15.287 -3.089   |10.732   |~              |    ~     ~          |    1| 2212.270   pc  |-269.3000   +269.3000    |ST-L    |2020AJ....160...83S
817 |TYC 6040-416-1                                                                                           |Star                              |09 15 00.9811536192 -22 10 07.558420440|250.8024065895861 +18.1294165505327| -15.999 -3.280   |10.69    |~              |    ~     ~          |    1| 1304.802   pc  | -25.8781    +25.8781    |paral   |2020yCat.1350....0G
818 |TYC 6040-1737-1                                                                                          |Star                              |09 15 28.6786266888 -22 00 35.345584692|250.7488494588441 +18.3141100742327|  -4.188 -1.351   |10.989   |~              |    ~     ~          |    1|  939.508   pc  | -50.2900    +50.2900    |ST-L    |2020AJ....160...83S
819 |TYC 6587-41-1                                                                                            |High Proper Motion Star           |09 17 50.4657886056 -23 00 08.218482192|251.9143038655945 +18.0753435064135| -61.495 27.501   |10.98    |~              |    ~     ~          |    1|  145.391   pc  |  -0.6976     +0.6976    |paral   |2020yCat.1350....0G
820 |TYC 6587-209-1                                                                                           |Star                              |09 17 39.8494422144 -23 02 16.592550540|251.9142552091188 +18.0212225035008|   -5.638 0.995   |10.931   |~              |    ~     ~          |    1| 1617.170   pc  |-135.2000   +135.2000    |ST-L    |2020AJ....160...83S
821 |TYC 6587-376-1                                                                                           |Star                              |09 18 52.3110369720 -23 11 02.538825540|252.2226328254807 +18.1331017233513| -21.007 14.629   |10.738   |~              |    ~     ~          |    1|  940.709   pc  | -44.4200    +44.4200    |ST-L    |2020AJ....160...83S
822 |GSC 06587-00523                                                                                          |Double or Multiple Star           |09 19 07.0588424232 -23 21 46.799242884|252.4029777880776 +18.0567678954027|   -7.827 9.370   |10.650   |~              |    ~     ~          |    1|  360.724   pc  |  -2.0559     +2.0559    |paral   |2020yCat.1350....0G
823 |TYC 6587-637-1                                                                                           |Star                              |09 20 13.0537178904 -23 25 35.064996420|252.6292868335405 +18.2032466544765|   -6.897 1.465   |10.972   |~              |    ~     ~          |    1|  992.329   pc  | -67.6700    +67.6700    |ST-L    |2020AJ....160...83S
824 |TYC 6587-764-1                                                                                           |Star                              |09 20 33.6416873208 -23 13 53.320124316|252.5312923732287 +18.3917823292766|  2.904 -13.616   |10.93    |~              |    ~     ~          |    1|  345.483   pc  |  -2.3036     +2.3036    |paral   |2020yCat.1350....0G
825 |TYC 6587-822-1                                                                                           |Star                              |09 18 50.6115564720 -22 49 18.438972816|251.9320703441004 +18.3678811852006|  -6.926 -0.079   |10.876   |~              |    ~     ~          |    1|  896.363   pc  | -39.3600    +39.3600    |ST-L    |2020AJ....160...83S
826 |TYC 6587-1030-1                                                                                          |Star                              |09 20 39.0339978240 -22 40 04.800593028|252.1017212332754 +18.7818494072855|  -2.662 -5.974   |10.92    |~              |    ~     ~          |    1|  301.951   pc  |  -5.4890     +5.4890    |ST-L    |2020AJ....160...83S
827 |TYC 6587-1049-1                                                                                          |High Proper Motion Star           |09 20 44.0836811160 -23 26 54.090628908|252.7297271879391 +18.2770957440270|-61.205 -20.094   |10.72    |~              |    ~     ~          |    1|  177.261   pc  |  -1.8290     +1.8290    |ST-L    |2020AJ....160...83S
828 |TYC 6587-1509-1                                                                                          |Star                              |09 18 46.0713788760 -24 09 38.581009632|252.9733628497531 +17.4671072472808|  -15.371 9.806   |10.37    |~              |    ~     ~          |    1|  584.727   pc  |  -8.5818     +8.5818    |paral   |2020yCat.1350....0G
829 |TYC 6588-28-1                                                                                            |Star                              |09 22 14.5607326392 -22 53 59.838705960|252.5427699598469 +18.9011587201463|   -8.477 5.275   |10.99    |~              |    ~     ~          |    1| 1256.439   pc  | -35.3615    +35.3615    |paral   |2020yCat.1350....0G
830 |TYC 6588-366-1                                                                                           |Star                              |09 21 46.6363724016 -23 27 53.298481392|252.9108439729435 +18.4440980892969|   -3.397 0.224   |10.97    |~              |    ~     ~          |    1|  302.361   pc  |  -1.3713     +1.3713    |paral   |2020yCat.1350....0G
831 |TYC 6588-932-1                                                                                           |Star                              |09 21 22.3658913144 -24 07 22.955933820|253.3603537665278 +17.9347147615646|  -18.918 6.189   |10.83    |~              |    ~     ~          |    1|  520.237   pc  |  -3.4101     +3.4101    |paral   |2020yCat.1350....0G
832 |TYC 6591-509-1                                                                                           |Star                              |09 18 38.7604330296 -24 29 55.180768236|253.2182764058690 +17.2214956619963|  -10.885 2.696   |10.69    |~              |    ~     ~          |    1|  829.942   pc  | -36.5400    +36.5400    |ST-L    |2020AJ....160...83S
833 |TYC 6592-529-1                                                                                           |Star                              |09 21 33.4923445800 -24 33 42.821116056|253.7319033727999 +17.6715969882441|   -8.660 1.627   |10.98    |~              |    ~     ~          |    1|  408.547   pc  |  -2.6706     +2.6706    |paral   |2020yCat.1350....0G
834 |TYC 6587-451-1                                                                                           |Star                              |09 20 22.0726272984 -23 31 50.450845224|252.7353240542484 +18.1595217237410|   5.695 -4.146   |10.46    |~              |    ~     ~          |    1|  422.654   pc  | -32.8691    +32.8691    |paral   |2020yCat.1350....0G
835 |CD-24 7990                                                                                               |Star                              |09 21 58.3785669144 -24 50 39.820631028|254.0177075365387 +17.5512890869855|  -12.015 5.030   |10.236   |~              |    ~     ~          |    1|  600.099   pc  | -22.8800    +22.8800    |ST-L    |2020AJ....160...83S
836 |CD-24 7928                                                                                               |Star                              |09 18 09.6393725760 -24 30 56.980418328|253.1547938662173 +17.1276575182533|   -7.811 2.926   |10.15    |~              |    ~     ~          |    1|  302.700   pc  |  -1.6951     +1.6951    |paral   |2020yCat.1350....0G
837 |CD-23 8192                                                                                               |Star                              |09 15 58.2032369808 -24 27 16.614451332|252.7615424068927 +16.7949962937189| -10.526 34.266   |10.07    |~              |    ~     ~          |    1|  199.792   pc  |  -3.0457     +3.0457    |paral   |2020yCat.1350....0G
838 |CD-23 8215                                                                                               |Star                              |09 17 22.1083741488 -24 30 50.263842132|253.0281438184127 +16.9941908880261|  -5.536 -2.878   |9.49     |~              |    ~     ~          |    1|  338.375   pc  |  -1.5915     +1.5915    |paral   |2020yCat.1350....0G
839 |HD 79787                                                                                                 |delta Sct Variable                |09 15 18.7923401424 -24 31 41.752378704|252.7163411975937 +16.6341191991458| -24.000 24.304   |9.48     |A3mA8-F2/3     |    ~     ~          |    1|  210.327   pc  |  -0.7299     +0.7299    |paral   |2020yCat.1350....0G
840 |CD-24 7884                                                                                               |Star                              |09 15 32.8667941032 -25 24 59.741755200|253.4477203064785 +16.0868634965626|  -3.380 -3.094   |10.41    |~              |    ~     ~          |    1|  330.295   pc  |  -8.3894     +8.3894    |paral   |2020yCat.1350....0G
841 |CD-24 7891                                                                                               |Star                              |09 15 57.5518369776 -25 16 11.983583244|253.3975410167044 +16.2536252161849|  -0.358 21.876   |10.51    |~              |    ~     ~          |    1|  172.354   pc  |  -0.3832     +0.3832    |paral   |2020yCat.1350....0G
842 |CD-24 7893                                                                                               |Star                              |09 16 04.8943760304 -25 05 25.656037332|253.2765640173607 +16.3933399948539|-12.937 -23.102   |10.347   |~              |    ~     ~          |    1|  261.727   pc  |  -5.6760     +5.6760    |ST-L    |2020AJ....160...83S
843 |HD 79977                                                                                                 |High Proper Motion Star           |09 16 28.6279236744 -25 18 10.940592672|253.5042168088210 +16.3193073939590|-76.425 -18.607   |8.94     |G1/2IV/V       |    ~     ~          |    1|  163.500   pc  |  -0.4090     +0.4090    |paral   |2020yCat.1350....0G
844 |CD-24 7905                                                                                               |Spectroscopic Binary              |09 16 49.9726947144 -25 09 03.360445920|253.4413682191918 +16.4804717148582|  -5.752 -0.905   |10.47    |~              |    ~     ~          |    1|  638.265   pc  | -27.3100    +27.3100    |ST-L    |2020AJ....160...83S
845 |HD 80200                                                                                                 |Star                              |09 17 41.9988228216 -25 21 53.123125572|253.7438672876742 +16.4845470988456|  -18.801 2.769   |9.23     |G8III/IV       |    ~     ~          |    1|  435.939   pc  |  -3.8769     +3.8769    |paral   |2020yCat.1350....0G
846 |CD-24 7919                                                                                               |Star                              |09 17 45.7273381776 -25 05 08.391556608|253.5364673988163 +16.6809623148149| -23.246 11.112   |10.76    |~              |    ~     ~          |    1|  381.887   pc  |  -8.3090     +8.3090    |ST-L    |2020AJ....160...83S
847 |CD-24 7920                                                                                               |Star                              |09 17 50.9308780032 -25 25 41.759512140|253.8166021564576 +16.4672545582301| -21.198 11.246   |9.94     |~              |    ~     ~          |    1|  540.336   pc  |  -4.5254     +4.5254    |paral   |2020yCat.1350....0G
848 |CD-24 7942                                                                                               |Star                              |09 19 02.3053308120 -24 56 09.992196240|253.6215128935368 +16.9961626006890|  5.504 -10.872   |10.52    |~              |    ~     ~          |    1|  105.912   pc  |  -0.1615     +0.1615    |paral   |2020yCat.1350....0G
849 |CD-24 7952                                                                                               |Star                              |09 19 45.4909587528 -25 29 43.115577540|254.1694733691857 +16.7427212338084| -11.976 -1.945   |10.27    |~              |    ~     ~          |    1|  664.938   pc  |  -7.4280     +7.4280    |paral   |2020yCat.1350....0G
850 |CD-24 7954                                                                                               |Star                              |09 19 55.1405631912 -24 45 26.901323856|253.6222535457005 +17.2641513503406|  -13.631 0.797   |10.35    |~              |    ~     ~          |    1|  441.014   pc  |  -5.0568     +5.0568    |paral   |2020yCat.1350....0G
851 |HD 80587                                                                                                 |Star                              |09 20 03.9805180248 -25 14 55.074401268|254.0271525210338 +16.9598443361222| -42.058 14.806   |7.94     |K0III          |    ~     ~          |    1|  210.975   pc  |  -0.9614     +0.9614    |paral   |2020yCat.1350....0G
852 |CD-24 7964                                                                                               |Star                              |09 20 29.9503427160 -24 55 05.102464800|253.8394542601557 +17.2542662162083| -18.554 11.178   |9.980    |~              |    ~     ~          |    1|  586.994   pc  | -19.3800    +19.3800    |ST-L    |2020AJ....160...83S
853 |CD-24 7974                                                                                               |Spectroscopic Binary              |09 21 15.9984307248 -25 15 12.478817952|254.2216972420970 +17.1575603084256|  2.661 -13.442   |10.64    |~              |    ~     ~          |    1|  462.278   pc  |  -3.2483     +3.2483    |paral   |2020yCat.1350....0G
