C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:40:29

dec< 0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7195

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
23  |BD-00 2181                                                                                               |High Proper Motion Star           |09 21 07.3454689584 -00 45 29.249154360|232.9193224468305 +32.3260969025546|-54.483 -29.936   |9.777    |G5             |    ~     ~          |    1|  114.746   pc  |  -0.9024     +0.9024    |ST-L    |2020AJ....160...83S
24  |HD 80679                                                                                                 |Star                              |09 21 08.8167933000 -00 38 42.643780440|232.8114168435164 +32.3930769063378|  -28.688 2.444   |9.411    |F6V            |    ~     ~          |    1|  330.250   pc  |  -6.0880     +6.0880    |ST-L    |2020AJ....160...83S
25  |TYC 4880-129-1                                                                                           |Star                              |09 21 20.0869039008 -00 53 54.726386784|233.0926746065176 +32.2934298449790|  4.845 -21.326   |10.267   |G5             |    ~     ~          |    1|  116.712   pc  |  -0.9284     +0.9284    |ST-L    |2020AJ....160...83S
26  |HD 79685                                                                                                 |Star                              |09 15 25.4624157600 -01 51 00.248465016|233.0740964154869 +30.5363962594219|  -7.280 21.123   |9.715    |F3V            |    ~     ~          |    1|  183.066   pc  |  -2.3220     +2.3220    |ST-L    |2020AJ....160...83S
27  |HD 79802                                                                                                 |Star                              |09 16 03.9590151192 -01 49 55.456659012|233.1589009253220 +30.6802677421002|  -14.099 1.073   |9.61     |A3/5III        |    ~     ~          |    1|  544.873   pc  | -21.5000    +21.5000    |ST-L    |2020AJ....160...83S
28  |HD 80026                                                                                                 |Spectroscopic Binary              |09 17 25.0782961296 -01 44 30.829514712|233.2876053741843 +31.0120090898819|   -9.055 1.812   |10.580   |A8/9V          |    ~     ~          |    1|  337.014   pc  | -10.5600    +10.5600    |ST-L    |2020AJ....160...83S
29  |AG-01 1367                                                                                               |Star                              |09 17 23.3310282816 -01 47 48.006501000|233.3362610374151 +30.9757704393529| -17.101 -7.401   |10.077   |F2             |    ~     ~          |    0|                |                         |        |                   
30  |HD 80197                                                                                                 |Star                              |09 18 21.7855387848 -01 59 58.151325552|233.6904410160095 +31.0666828402412|  -14.357 9.800   |9.25     |K1/2III        |    ~     ~          |    1|  796.242   pc  | -11.0950    +11.0950    |paral   |2020yCat.1350....0G
31  |HD 80295                                                                                                 |Star                              |09 18 50.3078298600 -01 43 09.671807748|233.4943734909709 +31.3205593705690|-38.011 -20.647   |9.80     |G6/8V          |    ~     ~          |    1|   79.852   pc  |  -0.4184     +0.4184    |ST-L    |2020AJ....160...83S
32  |HD 80478                                                                                                 |Spectroscopic Binary              |09 19 57.1269295056 -02 07 56.649662688|234.0773640633166 +31.3230570215408|  11.636 -7.238   |9.02     |F6V            |    ~     ~          |    1|  148.150   pc  |  -4.5587     +4.5587    |paral   |2020yCat.1350....0G
33  |HD 80497                                                                                                 |Star                              |09 20 05.5598222952 -01 59 03.240862260|233.9560358215760 +31.4346708569724| -10.085 -5.182   |9.38     |A3V            |    ~     ~          |    1|  386.444   pc  |  -3.2854     +3.2854    |paral   |2020yCat.1350....0G
34  |HD 80568                                                                                                 |Star                              |09 20 36.7546151064 -01 49 16.477282596|233.8817378416997 +31.6332437601317| -15.978 -5.102   |9.85     |A9V            |    ~     ~          |    1|  319.688   pc  |  -7.2530     +7.2530    |ST-L    |2020AJ....160...83S
35  |HD 80848                                                                                                 |Star                              |09 22 03.5169619152 -01 45 24.790270716|234.0552594384417 +31.9693326765291|-12.543 -18.225   |9.63     |K1(III)        |    ~     ~          |    1|  277.904   pc  |  -5.5150     +5.5150    |ST-L    |2020AJ....160...83S
36  |HD 80849                                                                                                 |Star                              |09 22 07.4013487392 -02 06 35.753479020|234.4108244077552 +31.7856586876889|   -2.457 0.517   |9.24     |K1/2           |    ~     ~          |    1| 1439.550   pc  |-130.0000   +130.0000    |ST-L    |2020AJ....160...83S
37  |BD-00 2168                                                                                               |Star                              |09 16 35.2427074104 -01 34 55.707026880|232.9989297431091 +30.9263593767990| -20.289 -8.478   |10.425   |~              |    ~     ~          |    1|  398.481   pc  |  -9.3280     +9.3280    |ST-L    |2020AJ....160...83S
38  |TYC 4880-375-1                                                                                           |Star                              |09 16 41.2538257464 -01 43 11.274226608|233.1490453487280 +30.8717303291022|   1.345 -1.027   |10.10    |~              |    ~     ~          |    1| 1396.258   pc  | -39.3806    +39.3806    |paral   |2020yCat.1350....0G
39  |TYC 4880-267-1                                                                                           |Star                              |09 17 37.8324435264 -01 48 28.945940220|233.3861602260157 +31.0198961198542| -2.087 -10.615   |10.453   |~              |    ~     ~          |    1| 2065.900   pc  |-296.3000   +296.3000    |ST-L    |2020AJ....160...83S
40  |BD-00 2172                                                                                               |Star                              |09 18 00.5662717752 -01 31 50.207926944|233.1764888341770 +31.2516775041803|-15.463 -31.647   |10.157   |~              |    ~     ~          |    1|  624.443   pc  | -26.4800    +26.4800    |ST-L    |2020AJ....160...83S
41  |TYC 4880-1156-1                                                                                          |Star                              |09 18 43.0314683088 -00 47 51.169617420|232.5704603182460 +31.8010695444914|   -7.250 3.394   |10.7     |~              |    ~     ~          |    1| 1523.693   pc  | -40.1644    +40.1644    |paral   |2020yCat.1350....0G
42  |TYC 4880-778-1                                                                                           |Star                              |09 18 47.7815292168 -00 57 01.895863104|232.7339317272216 +31.7341485564887| -45.648 10.984   |10.706   |~              |    ~     ~          |    1|  275.996   pc  |  -8.5120     +8.5120    |ST-L    |2020AJ....160...83S
43  |BD+00 2497                                                                                               |Star                              |09 19 59.9962911360 -00 16 28.790468436|232.2585590417342 +32.3545973225044| -1.050 -17.345   |10.31    |~              |    ~     ~          |    1|  326.174   pc  |  -6.0620     +6.0620    |ST-L    |2020AJ....160...83S
44  |TYC 4880-814-1                                                                                           |Star                              |09 20 38.7952860648 -00 51 28.597564548|232.9409527542474 +32.1718969413083| -9.614 -15.489   |10.594   |~              |    ~     ~          |    1|  609.545   pc  | -22.6600    +22.6600    |ST-L    |2020AJ....160...83S
45  |TYC 4884-453-1                                                                                           |Star                              |09 20 45.3383954736 -02 03 12.401596620|234.1315759510598 +31.5337555604627| -17.069 11.033   |10.700   |~              |    ~     ~          |    1|  886.129   pc  | -35.4300    +35.4300    |ST-L    |2020AJ....160...83S
46  |BD-00 2182                                                                                               |Star                              |09 21 07.8576441144 -00 53 42.158995620|233.0561275711000 +32.2527712956700|  -11.445 8.972   |10.479   |~              |    ~     ~          |    1|  935.469   pc  | -75.8700    +75.8700    |ST-L    |2020AJ....160...83S
47  |TYC 4880-291-1                                                                                           |Star                              |09 15 21.7604533584 -01 50 39.696994104|233.0587349554863 +30.5266395536965|  8.156 -14.367   |10.566   |~              |    ~     ~          |    1|  688.033   pc  | -30.8900    +30.8900    |ST-L    |2020AJ....160...83S
48  |TYC 4880-759-1                                                                                           |Star                              |09 21 17.6535184104 -00 30 27.945911340|232.6989301432542 +32.4990371156294|  -5.981 20.499   |9.919    |~              |    ~     ~          |    1|  206.232   pc  |  -2.5740     +2.5740    |ST-L    |2020AJ....160...83S
49  |TYC 4880-190-1                                                                                           |Double or Multiple Star           |09 16 15.983664 -00 07 56.24724        |231.522983196 +31.645830059        |    -10.0 -20.8   |10.780   |~              |    ~     ~          |    0|                |                         |        |                   
50  |TYC 4880-697-1                                                                                           |Star                              |09 17 51.3849507624 -01 08 59.632038168|232.7791545367363 +31.4284291293689|  -9.806 -4.112   |10.712   |~              |    ~     ~          |    1|  280.821   pc  |  -5.1610     +5.1610    |ST-L    |2020AJ....160...83S
51  |TYC 4880-1080-1                                                                                          |High Proper Motion Star           |09 21 32.3743483824 -01 09 34.321029624|233.3836040237484 +32.1924740418401|-111.133 25.964   |10.654   |~              |    ~     ~          |    1|  135.534   pc  |  -1.9680     +1.9680    |ST-L    |2020AJ....160...83S
52  |HD 79874                                                                                                 |High Proper Motion Star           |09 16 36.1478144808 -02 10 26.816963088|233.5765011607484 +30.6036435918708|-40.703 -29.701   |9.55     |G8/K0III       |    ~     ~          |    1|  258.358   pc  |  -1.0947     +1.0947    |paral   |2020yCat.1350....0G
53  |HD 79891                                                                                                 |Star                              |09 16 41.3912327616 -02 07 56.114658192|233.5499720222640 +30.6449701596851| -24.787 -5.149   |9.39     |K2III          |    ~     ~          |    1|  655.609   pc  |  -8.2956     +8.2956    |paral   |2020yCat.1350....0G
54  |BD-01 2245                                                                                               |Star                              |09 21 32.7275230368 -02 14 34.178962524|234.4452828873530 +31.5916372740680| 12.751 -19.692   |10.231   |~              |    ~     ~          |    1|  205.013   pc  |  -3.2810     +3.2810    |ST-L    |2020AJ....160...83S
55  |TYC 4884-461-1                                                                                           |Chemically Peculiar Star          |09 21 47.8390756152 -02 14 58.228094904|234.4931566992719 +31.6400215074019| -9.378 -23.235   |10.682   |~              |    ~     ~          |    1| 1439.150   pc  |-159.4000   +159.4000    |ST-L    |2020AJ....160...83S
56  |HD 79636                                                                                                 |Star                              |09 15 13.9748942064 -02 21 52.579292220|233.5414934753897 +30.2132338489728| -45.525 11.566   |9.59     |F3V            |    ~     ~          |    1|  202.527   pc  |  -3.3100     +3.3100    |ST-L    |2020AJ....160...83S
57  |HD 80027                                                                                                 |Star                              |09 17 18.8846857680 -02 34 48.261158400|234.0834185343298 +30.5265791045623| -20.283 -1.695   |9.54     |kA6hF1mF1V     |    ~     ~          |    1|  209.060   pc  |  -9.1770     +9.1770    |ST-L    |2020AJ....160...83S
58  |HD 80340                                                                                                 |Star                              |09 19 07.5168673896 -02 27 28.806092892|234.2586879094999 +30.9700808930460|-30.776 -13.985   |7.72     |A5/7V(+F)      |    ~     ~          |    1|  155.092   pc  |  -0.6831     +0.6831    |paral   |2020yCat.1350....0G
59  |HD 80745                                                                                                 |Star                              |09 21 28.8857172024 -02 26 52.024320420|234.6338918553780 +31.4635090703318|  -3.598 -5.788   |10.187   |F3V            |    ~     ~          |    1|  260.698   pc  |  -4.2540     +4.2540    |ST-L    |2020AJ....160...83S
60  |HD 79875                                                                                                 |Star                              |09 16 34.9768381704 -02 41 31.109838432|234.0733350826826 +30.3124618384844|-11.282 -14.881   |8.35     |K0III          |    ~     ~          |    1|  315.249   pc  |  -2.5442     +2.5442    |paral   |2020yCat.1350....0G
61  |HD 79973                                                                                                 |Star                              |09 17 02.4792074280 -03 31 37.525497204|234.9476274343417 +29.9400539111277|-13.275 -21.684   |9.51     |K1III          |    ~     ~          |    1|  492.271   pc  |  -4.3620     +4.3620    |paral   |2020yCat.1350....0G
62  |HD 80011                                                                                                 |Star                              |09 17 09.9152547768 -03 32 41.102183976|234.9845620746304 +29.9556747258016|-10.477 -14.182   |9.03     |K2III          |    ~     ~          |    1|  881.601   pc  | -13.6791    +13.6791    |paral   |2020yCat.1350....0G
63  |HD 80103                                                                                                 |High Proper Motion Star           |09 17 37.7775433080 -03 32 41.726105484|235.0601005639936 +30.0513137180918| -63.507 -6.414   |10.267   |F8/G0V         |    ~     ~          |    1|  151.214   pc  |  -1.4730     +1.4730    |ST-L    |2020AJ....160...83S
64  |HD 80102                                                                                                 |Double or Multiple Star           |09 17 40.4493105035 -02 56 58.562632135|234.4972655838594 +30.3948516025202|  -9.895 -2.874   |10.164   |A5/7II/III     |    ~     ~          |    1|  472.649   pc  | -47.7800    +47.7800    |ST-L    |2020AJ....160...83S
65  |HD 80134                                                                                                 |Star                              |09 17 52.1995631208 -03 33 23.774519268|235.1103257479092 +30.0942607014401|  -7.264 -2.035   |9.56     |K0(III)        |    ~     ~          |    1|  514.854   pc  |  -4.3472     +4.3472    |paral   |2020yCat.1350....0G
66  |HD 80133                                                                                                 |High Proper Motion Star           |09 17 55.3834861296 -03 23 14.099315388|234.9571664365232 +30.2006338278745| 23.267 -63.897   |7.77     |K1/2V          |    ~     ~          |    1|   32.279   pc  |  -0.0364     +0.0364    |paral   |2020yCat.1350....0G
67  |HD 80296                                                                                                 |Star                              |09 18 50.7806925048 -03 08 44.743885764|234.8761200533473 +30.5270258542384|  0.147 -10.499   |9.20     |F5V            |    ~     ~          |    1|  290.436   pc  |  -1.6196     +1.6196    |paral   |2020yCat.1350....0G
68  |HD 80681                                                                                                 |Star                              |09 21 00.5469644808 -02 58 10.930018800|235.0609624811436 +31.0722827952062|  9.449 -15.719   |8.96     |F0V            |    ~     ~          |    1|  130.826   pc  |  -1.1850     +1.1850    |ST-L    |2020AJ....160...83S
69  |HD 80682                                                                                                 |High Proper Motion Star           |09 21 01.1247286464 -03 32 50.025932052|235.6172901898072 +30.7471471605289| -39.369 96.752   |9.44     |F7V            |    ~     ~          |    1|  146.602   pc  |  -0.5137     +0.5137    |paral   |2020yCat.1350....0G
70  |HD 80680                                                                                                 |Star                              |09 21 04.1624513328 -02 48 13.060523520|234.9106403684435 +31.1783407570467| -8.971 -16.809   |8.96     |K0III          |    ~     ~          |    1|  416.615   pc  |  -2.9854     +2.9854    |paral   |2020yCat.1350....0G
71  |HD 80796                                                                                                 |Star                              |09 21 44.7890767416 -02 47 34.406402424|235.0117453794877 +31.3240491640325| -15.717 -2.560   |7.21     |B9V            |    ~     ~          |    1|  283.272   pc  |  -5.9800     +5.9800    |ST-L    |2020AJ....160...83S
72  |HD 80797                                                                                                 |Star                              |09 21 43.4414336736 -03 31 49.603313316|235.7178032242660 +30.9014248899058|  -18.104 0.822   |9.52     |A0V            |    ~     ~          |    1|  524.198   pc  | -21.6900    +21.6900    |ST-L    |2020AJ....160...83S
73  |HD 80825                                                                                                 |Spectroscopic Binary              |09 21 52.6102962360 -03 33 05.726527956|235.7633733592235 +30.9207238346962| -13.344 -1.367   |9.43     |A5III          |    ~     ~          |    1|  415.148   pc  | -15.5400    +15.5400    |ST-L    |2020AJ....160...83S
74  |HD 80824                                                                                                 |Star                              |09 21 55.2650529840 -02 48 23.609759400|235.0537600907925 +31.3523302142115|-11.805 -13.520   |9.316    |K0III          |    ~     ~          |    1|  299.357   pc  |  -5.1040     +5.1040    |ST-L    |2020AJ....160...83S
