C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:45:06

dec< 0&rah >=4.5&rah< 4.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3608

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1001|HD 28728                                                                                                 |Star                                |04 30 48.4087073784 -23 24 28.017862380|221.4675711325640 -40.6513723787401|    4.265 8.199   |7.75     |K3III            |    ~     ~    |    1|  385.253   pc  |  -2.4934     +2.4934    |paral   |2020yCat.1350....0G
1002|HD 28787                                                                                                 |Star                                |04 31 14.7860386416 -23 22 52.590283752|221.4717612751672 -40.5471256066129|    3.282 2.131   |10.52    |A2/5(II)         |    ~     ~    |    1|  730.300   pc  |  -9.3868     +9.3868    |paral   |2020yCat.1350....0G
1003|HD 28809                                                                                                 |Spectroscopic Binary                |04 31 29.5715613672 -23 03 02.072958372|221.0765325966716 -40.3982180481169|   6.558 -1.095   |9.50     |G8/K0(III)       |    ~     ~    |    1|  656.340   pc  | -19.2560    +19.2560    |paral   |2020yCat.1350....0G
1004|BD-22 843                                                                                                |Star                                |04 30 52.8303390216 -21 46 39.766082160|219.4283077825624 -40.1553143690241|    1.533 4.258   |10.87    |~                |    ~     ~    |    1|  202.826   pc  |  -2.1720     +2.1720    |ST-L    |2020AJ....160...83S
1005|BD-22 845                                                                                                |Star                                |04 31 57.3807330480 -22 38 45.985311492|220.6101177969235 -40.1781797358679|   11.161 9.265   |10.68    |~                |    ~     ~    |    1|  345.997   pc  |  -2.3943     +2.3943    |paral   |2020yCat.1350....0G
1006|BD-22 842                                                                                                |Star                                |04 30 36.1666918464 -22 38 43.640032272|220.4888890520529 -40.4764950753696|    3.872 3.719   |10.743   |~                |    ~     ~    |    1|  957.091   pc  | -46.7200    +46.7200    |ST-L    |2020AJ....160...83S
1007|CD-23 1993                                                                                               |Star                                |04 31 16.6962534504 -22 45 31.932693936|220.6912694387048 -40.3607656329043|   -1.596 1.446   |10.46    |~                |    ~     ~    |    1|  819.807   pc  | -15.1219    +15.1219    |paral   |2020yCat.1350....0G
1008|BD-21 905                                                                                                |Double or Multiple Star             |04 32 29.784 -21 19 09.12              |219.011074 -39.656339              |      34.9 -4.0   |9.4      |F5               |    ~     ~    |    0|                |                         |        |                   
1009|HD 28971                                                                                                 |Star                                |04 33 04.7686591488 -21 08 46.348668924|218.8532519043590 -39.4730758481830|   1.485 17.710   |9.02     |K3(III)          |    ~     ~    |    1|  489.428   pc  |  -4.4315     +4.4315    |paral   |2020yCat.1350....0G
1010|HD 28995                                                                                                 |High Proper Motion Star             |04 33 16.1911193496 -21 08 07.114681896|218.8579610197234 -39.4275120575936|-31.004 -186.490  |9.80     |G5V              |    ~     ~    |    1|   76.761   pc  |  -0.0902     +0.0902    |paral   |2020yCat.1350....0G
1011|HD 29011                                                                                                 |Star                                |04 33 19.8149857224 -21 22 33.025486800|219.1595035620253 -39.4895578516362| -2.914 -30.170   |9.05     |G8IV             |    ~     ~    |    1|  451.162   pc  |  -3.5417     +3.5417    |paral   |2020yCat.1350....0G
1012|BD-21 912                                                                                                |Star                                |04 33 19.1152746192 -21 34 35.620387392|219.4057463662273 -39.5544921139939|  -0.886 -4.540   |10.47    |~                |    ~     ~    |    1|  761.789   pc  |  -8.0665     +8.0665    |paral   |2020yCat.1350....0G
1013|HD 29119                                                                                                 |Star                                |04 34 14.7974965224 -21 39 02.460722220|219.5834180020139 -39.3722723358998| -5.968 -20.374   |9.36     |K1/2(III)        |    ~     ~    |    1| 1054.407   pc  | -18.5666    +18.5666    |paral   |2020yCat.1350....0G
1014|HD 29263                                                                                                 |High Proper Motion Star             |04 35 45.6919890960 -21 20 23.768010168|219.3440532816491 -38.9406600538282|112.815 -41.042   |8.20     |G3V              |    ~     ~    |    1|   53.957   pc  |  -0.0568     +0.0568    |paral   |2020yCat.1350....0G
1015|HD 29312                                                                                                 |Star                                |04 36 16.7289011040 -21 19 04.014916464|219.3656207707081 -38.8193330282852|  -3.341 10.223   |8.20     |G6/8IV           |    ~     ~    |    1|  322.820   pc  |  -5.4191     +5.4191    |paral   |2020yCat.1350....0G
1016|BD-21 929                                                                                                |Spectroscopic Binary                |04 37 25.0120615704 -21 38 44.026658844|219.8709137154369 -38.6702722149387|  -0.091 -9.614   |9.73     |F5               |    ~     ~    |    1|  261.061   pc  | -17.2400    +17.2400    |ST-L    |2020AJ....160...83S
1017|HD 29541                                                                                                 |Star                                |04 38 18.0992964984 -21 23 07.812677364|219.6373697449928 -38.3935028567257|   0.451 18.918   |9.89     |A1IV             |    ~     ~    |    1|  599.233   pc  | -12.8192    +12.8192    |paral   |2020yCat.1350....0G
1018|HD 29584                                                                                                 |Star                                |04 38 46.0865903304 -21 24 52.943220288|219.7162479918048 -38.2996190288057| -12.629 -6.617   |9.71     |F3/5V            |    ~     ~    |    1|  212.094   pc  |  -0.6748     +0.6748    |paral   |2020yCat.1350....0G
1019|HD 29636                                                                                                 |Star                                |04 39 11.7216742176 -21 17 51.355404168|219.6146836778627 -38.1682961241637|  -0.099 15.690   |9.82     |K2(III)          |    ~     ~    |    1|  407.315   pc  |  -2.2397     +2.2397    |paral   |2020yCat.1350....0G
1020|BD-22 853                                                                                                |Star                                |04 34 34.0862146584 -22 06 26.226839160|220.1755546398115 -39.4409989693075| 11.178 -26.608   |10.161   |G5               |    ~     ~    |    1|  279.063   pc  |  -3.9280     +3.9280    |ST-L    |2020AJ....160...83S
1021|HD 29276                                                                                                 |Star                                |04 35 45.3517601976 -22 07 36.161689152|220.3073467275990 -39.1847673824481|  -2.521 -5.508   |10.06    |A8/9V            |    ~     ~    |    1|  475.127   pc  |  -5.6662     +5.6662    |paral   |2020yCat.1350....0G
1022|HD 29336                                                                                                 |Star                                |04 36 21.9868072416 -22 15 21.227951268|220.5212799711745 -39.0892103021168|-20.606 -12.884   |8.34     |K0III            |    ~     ~    |    1|  292.654   pc  |  -1.4817     +1.4817    |paral   |2020yCat.1350....0G
1023|HD 29369                                                                                                 |Star                                |04 36 40.3105600368 -22 16 46.812753876|220.5779685494701 -39.0290463678647|  -4.965 14.075   |8.29     |A0V              |    ~     ~    |    1|  239.912   pc  |  -1.3181     +1.3181    |paral   |2020yCat.1350....0G
1024|HD 29396                                                                                                 |Star                                |04 36 50.6409609096 -22 18 17.942794092|220.6245106124150 -38.9987284815232| -11.672 31.655   |8.82     |F7V              |    ~     ~    |    1|  165.829   pc  |  -0.4070     +0.4070    |paral   |2020yCat.1350....0G
1025|HD 29433                                                                                                 |Star                                |04 37 13.4920343448 -22 36 53.640674748|221.0389143009086 -39.0078097753674|  17.746 -2.738   |7.84     |A0V              |    ~     ~    |    1|  180.750   pc  |  -0.8527     +0.8527    |paral   |2020yCat.1350....0G
1026|BD-22 872                                                                                                |Star                                |04 38 58.4926738248 -22 09 15.204230100|220.6323140831975 -38.4831122304560|-40.617 -17.295   |9.82     |G0               |    ~     ~    |    1|  132.095   pc  | -11.6682    +11.6682    |paral   |2020yCat.1350....0G
1027|HD 29730                                                                                                 |Star                                |04 40 03.8922447696 -22 36 50.966591832|221.2892846617203 -38.3822067998747|    5.059 5.910   |8.69     |A0V              |    ~     ~    |    1|  340.592   pc  | -42.8200    +42.8200    |ST-L    |2020AJ....160...83S
1028|HD 29823                                                                                                 |Star                                |04 41 02.7764715168 -22 23 04.633018152|221.0978328801442 -38.0967993024568|   14.059 4.404   |9.32     |K0/1III          |    ~     ~    |    1|  487.638   pc  |  -2.8297     +2.8297    |paral   |2020yCat.1350....0G
1029|HD 28996                                                                                                 |High Proper Motion Star             |04 33 01.9980373392 -23 20 42.535042440|221.5795567870344 -40.1437285242410| -2.577 -60.750   |9.72     |G8V              |    ~     ~    |    1|   63.197   pc  |  -0.0671     +0.0671    |paral   |2020yCat.1350....0G
1030|HD 29044                                                                                                 |Star                                |04 33 24.4604313720 -22 59 45.444981732|221.1751138920712 -39.9607083024432|  10.219 -0.304   |10.01    |F7V              |    ~     ~    |    1|  373.023   pc  | -23.8636    +23.8636    |paral   |2020yCat.1350....0G
1031|HD 29238                                                                                                 |Star                                |04 35 18.1752938088 -23 17 20.806426140|221.7044180957804 -39.6284922942951|   23.406 7.073   |9.20     |K1IIICNIIp       |    ~     ~    |    1|  291.698   pc  |  -1.1147     +1.1147    |paral   |2020yCat.1350....0G
1032|HD 29443                                                                                                 |Star                                |04 37 17.0680808256 -23 02 54.849908652|221.5777455448022 -39.1228320541972|   8.029 17.567   |7.65     |B8V              |    ~     ~    |    1|  294.516   pc  |  -3.0532     +3.0532    |paral   |2020yCat.1350....0G
1033|HD 29523                                                                                                 |Star                                |04 38 01.3493365104 -22 55 17.479718616|221.4856606934606 -38.9231464534586|  32.719 -7.670   |9.65     |G0V              |    ~     ~    |    1|  124.126   pc  |  -0.7057     +0.7057    |paral   |2020yCat.1350....0G
1034|HD 29800                                                                                                 |Star                                |04 40 45.2728776576 -23 03 08.090331624|221.8830768156168 -38.3609172318953|   36.257 3.002   |8.79     |K1III            |    ~     ~    |    1|  357.424   pc  |  -1.8652     +1.8652    |paral   |2020yCat.1350....0G
1035|HD 29852                                                                                                 |Star                                |04 41 13.0981078656 -23 35 10.085200908|222.5741894857494 -38.4149724302537|   11.102 3.129   |9.20     |G8IV             |    ~     ~    |    1|  318.796   pc  |  -1.2806     +1.2806    |paral   |2020yCat.1350....0G
1036|CD-24 2470                                                                                               |Star                                |04 38 44.2487005848 -23 44 53.880003132|222.5645388407573 -39.0056597836614|   0.391 -7.062   |10.30    |~                |    ~     ~    |    1|  448.551   pc  |  -3.8026     +3.8026    |paral   |2020yCat.1350....0G
1037|StKM 1-505                                                                                               |Double or Multiple Star             |04 41 03.82 -23 29 16.5                |222.44110 -38.42048                |            ~ ~   |10.9     |K6               |    ~     ~    |    0|                |                         |        |                   
1038|BD-22 847                                                                                                |High Proper Motion Star             |04 32 49.6567728120 -22 21 33.914847384|220.3304546669918 -39.9009784767489| 63.415 -57.575   |10.84    |~                |    ~     ~    |    1|  185.141   pc  |  -1.8818     +1.8818    |paral   |2020yCat.1350....0G
1039|BD-22 850                                                                                                |Star                                |04 33 07.4762496408 -21 50 13.036567812|219.7093932164083 -39.6774600020261|  -2.678 -2.956   |10.75    |~                |    ~     ~    |    1|  299.985   pc  |  -1.1969     +1.1969    |paral   |2020yCat.1350....0G
1040|CD-23 2021                                                                                               |Star                                |04 34 22.5393283656 -23 25 28.211883420|221.7937107216548 -39.8712057070876|  9.573 -13.592   |10.241   |~                |    ~     ~    |    1| 2243.160   pc  |-240.8000   +240.8000    |ST-L    |2020AJ....160...83S
1041|BD-22 854                                                                                                |High Proper Motion Star             |04 34 49.9598166624 -21 55 19.907169996|219.9716032746168 -39.3262457820307|-28.565 -67.776   |10.41    |~                |    ~     ~    |    1|  105.059   pc  |  -0.5727     +0.5727    |ST-L    |2020AJ....160...83S
1042|CD-23 2026                                                                                               |Star                                |04 34 52.2639599112 -22 49 01.749527292|221.0808174209270 -39.5861610228612|  -15.556 2.557   |10.68    |~                |    ~     ~    |    1|  421.208   pc  |  -8.6090     +8.6090    |ST-L    |2020AJ....160...83S
1043|BD-22 866                                                                                                |Star                                |04 37 13.6287619272 -21 43 46.066891800|219.9556067609642 -38.7381938493500|   8.108 -0.534   |10.688   |~                |    ~     ~    |    1|  381.450   pc  |  -6.9770     +6.9770    |ST-L    |2020AJ....160...83S
1044|BD-21 930                                                                                                |Star                                |04 37 36.1389574152 -21 19 31.939030992|219.4992416350015 -38.5291912665736| -21.669 30.754   |10.617   |~                |    ~     ~    |    1|  210.094   pc  |  -2.7850     +2.7850    |ST-L    |2020AJ....160...83S
1045|BD-22 869                                                                                                |Star                                |04 37 52.6096356144 -22 23 24.493341588|220.8214252264009 -38.7967503279798| -4.083 -19.218   |10.50    |~                |    ~     ~    |    1|  297.850   pc  |  -1.7832     +1.7832    |paral   |2020yCat.1350....0G
1046|BD-21 939                                                                                                |Star                                |04 39 23.9667377688 -21 37 10.416287424|220.0225992920012 -38.2243574408834|  11.598 11.515   |10.54    |~                |    ~     ~    |    1|  399.537   pc  |  -2.6498     +2.6498    |paral   |2020yCat.1350....0G
1047|BD-22 881                                                                                                |Star                                |04 40 52.5902876688 -22 17 31.949091312|220.9707865570947 -38.1060787553161|   1.729 -1.023   |9.94     |~                |    ~     ~    |    1|  642.137   pc  | -10.3910    +10.3910    |paral   |2020yCat.1350....0G
1048|BD-22 848                                                                                                |Spectroscopic Binary                |04 32 49.0549640760 -22 35 25.042381008|220.6170474541720 -39.9718091795771|   3.768 -2.516   |10.53    |~                |    ~     ~    |    1| 1383.700   pc  | -28.1450    +28.1450    |paral   |2020yCat.1350....0G
1049|BD-21 909                                                                                                |Double or Multiple Star             |04 33 14.9564110608 -21 27 21.188964384|219.2504891636307 -39.5323950355043|  17.303 -6.017   |10.399   |~                |    ~     ~    |    1| 1795.977   pc  | -51.2860    +51.2860    |paral   |2020yCat.1350....0G
1050|BD-22 851                                                                                                |Star                                |04 33 36.3634563216 -21 51 41.667504516|219.7841847458929 -39.5786238586551|   0.511 -4.250   |10.82    |~                |    ~     ~    |    1|  911.743   pc  | -11.8041    +11.8041    |paral   |2020yCat.1350....0G
1051|TYC 5897-1491-1                                                                                          |Star                                |04 34 33.5718373344 -21 16 56.544388680|219.1605334190761 -39.1884160930423|   1.857 -4.993   |10.63    |~                |    ~     ~    |    1| 2888.370   pc  |-355.0000   +355.0000    |ST-L    |2020AJ....160...83S
1052|CD-23 2030                                                                                               |Star                                |04 35 07.2615311568 -22 45 22.713296976|221.0274154310597 -39.5131842157162|  -1.777 -3.572   |10.88    |~                |    ~     ~    |    1|  563.126   pc  |  -4.3444     +4.3444    |paral   |2020yCat.1350....0G
1053|BD-22 855                                                                                                |Star                                |04 35 08.9506532040 -22 38 44.522418912|220.8929829035638 -39.4742706901095|  0.221 -15.603   |10.48    |~                |    ~     ~    |    1|  707.764   pc  |  -6.7626     +6.7626    |paral   |2020yCat.1350....0G
1054|CD-23 2037                                                                                               |Star                                |04 35 47.4219252384 -23 34 52.091323716|222.1091964170835 -39.6049851587614|   3.555 -0.531   |10.443   |~                |    ~     ~    |    1|  881.099   pc  | -27.9400    +27.9400    |ST-L    |2020AJ....160...83S
1055|BD-21 920                                                                                                |Star                                |04 35 48.7860749952 -21 39 32.937734448|219.7390695852086 -39.0287555510814|   0.473 -0.385   |10.55    |~                |    ~     ~    |    1| 2195.390   pc  | -91.0930    +91.0930    |paral   |2020yCat.1350....0G
1056|CD-23 2040                                                                                               |Star                                |04 36 05.5103522400 -23 00 15.635068956|221.4194725730022 -39.3722890119832| -5.739 -19.070   |10.89    |~                |    ~     ~    |    1|  255.879   pc  |  -0.8904     +0.8904    |paral   |2020yCat.1350....0G
1057|CD-23 2051                                                                                               |Star                                |04 37 15.2813 -23 18 47.882            |221.9018457 -39.2064072            |   8.786 -8.650   |10.66    |~                |    ~     ~    |    1|  547.865   pc  | -21.1900    +21.1900    |ST-L    |2020AJ....160...83S
1058|CD-23 2061                                                                                               |High Proper Motion Star             |04 37 58.7190661464 -23 04 11.145222732|221.6640447242332 -38.9763566294783|  72.003 30.960   |10.92    |~                |    ~     ~    |    1|   72.089   pc  |  -0.0691     +0.0691    |paral   |2020yCat.1350....0G
1059|CD-23 2068                                                                                               |Star                                |04 38 32.8389641496 -23 30 27.520815276|222.2518214537324 -38.9785169221376|   4.420 -6.109   |10.42    |~                |    ~     ~    |    1|  641.643   pc  |  -4.4876     +4.4876    |paral   |2020yCat.1350....0G
1060|CD-23 2075                                                                                               |Star                                |04 39 03.7929362712 -23 19 35.628739752|222.0730435677523 -38.8128746752505|-25.108 -16.490   |10.89    |~                |    ~     ~    |    1|  308.223   pc  |  -1.5580     +1.5580    |paral   |2020yCat.1350....0G
1061|BD-22 877                                                                                                |Star                                |04 39 35.0615433600 -22 39 33.744109536|221.3019272971685 -38.5015357661560| 10.801 -33.314   |10.81    |~                |    ~     ~    |    1|  378.086   pc  |  -1.7869     +1.7869    |paral   |2020yCat.1350....0G
1062|BD-22 876                                                                                                |Star                                |04 39 36.3149911896 -22 01 25.279366692|220.5308349947438 -38.3041235396287|    0.212 3.379   |10.920   |~                |    ~     ~    |    1| 1182.040   pc  | -82.2600    +82.2600    |ST-L    |2020AJ....160...83S
1063|CD-23 2093                                                                                               |Star                                |04 40 53.9005881888 -23 44 51.716998932|222.7449211977718 -38.5316082788057|  26.980 21.101   |10.724   |~                |    ~     ~    |    1|  157.323   pc  |  -1.2470     +1.2470    |ST-L    |2020AJ....160...83S
1064|TYC 5898-902-1                                                                                           |Star                                |04 41 00.0538908480 -22 23 14.515815768|221.0971084641845 -38.1076267819918|  15.260 17.574   |10.99    |~                |    ~     ~    |    1|  385.193   pc  |  -9.1250     +9.1250    |paral   |2020yCat.1350....0G
1065|TYC 5897-593-1                                                                                           |Star                                |04 31 06.3560962368 -22 26 51.472503096|220.2857092742688 -40.3071310571965|  10.953 -2.509   |10.950   |~                |    ~     ~    |    1|  502.439   pc  | -13.5400    +13.5400    |ST-L    |2020AJ....160...83S
1066|TYC 5897-1312-1                                                                                          |Star                                |04 31 14.4127062672 -21 10 44.779594656|218.7187951174437 -39.8905075107522|  11.024 -5.493   |10.79    |~                |    ~     ~    |    1|  910.581   pc  | -11.2765    +11.2765    |paral   |2020yCat.1350....0G
1067|TYC 5897-1648-1                                                                                          |Star                                |04 32 29.7885 -21 19 08.676            |219.0109285 -39.6562843            |  39.114 -0.303   |10.30    |~                |    ~     ~    |    0|                |                         |        |                   
1068|TYC 5898-1565-1                                                                                          |Star                                |04 37 44.0867524896 -21 36 31.652206596|219.8555984368185 -38.5886168228943|   9.561 -7.711   |10.569   |~                |    ~     ~    |    1| 1521.300   pc  |-114.6000   +114.6000    |ST-L    |2020AJ....160...83S
1069|TYC 5898-1727-1                                                                                          |Star                                |04 40 37.0421653848 -21 29 45.991714380|219.9863863104508 -37.9167550318510|  25.316 23.161   |10.96    |~                |    ~     ~    |    1|  340.020   pc  |  -1.6764     +1.6764    |paral   |2020yCat.1350....0G
1070|TYC 5898-1842-1                                                                                          |Star                                |04 37 42.2237637264 -21 46 49.085764860|220.0614119060723 -38.6486920907322|  17.423 13.002   |10.614   |~                |    ~     ~    |    1|  291.788   pc  |  -4.4860     +4.4860    |ST-L    |2020AJ....160...83S
1071|TYC 5898-1966-1                                                                                          |Star                                |04 40 55.4335774680 -21 26 09.957277284|219.9426796208414 -37.8301713962247|  10.164 14.108   |10.85    |~                |    ~     ~    |    1|  896.700   pc  | -11.3374    +11.3374    |paral   |2020yCat.1350....0G
1072|TYC 6464-90-1                                                                                            |Pulsating Variable                  |04 38 57.4775674296 -22 35 13.150004028|221.1582335313750 -38.6177653731258|-13.434 -13.036   |10.81    |~                |    ~     ~    |    1|  439.155   pc  |  -2.6229     +2.6229    |paral   |2020yCat.1350....0G
1073|TYC 6464-706-1                                                                                           |Star                                |04 34 59.4149456064 -23 35 17.011554252|222.0501033370182 -39.7827120837429|    6.455 6.504   |10.50    |~                |    ~     ~    |    1|  878.637   pc  | -35.7600    +35.7600    |ST-L    |2020AJ....160...83S
1074|TYC 6464-726-1                                                                                           |Star                                |04 37 44.9436703680 -23 11 44.023206948|221.7990664664357 -39.0635752127283|    3.802 3.234   |10.780   |~                |    ~     ~    |    1|  224.054   pc  |  -2.5800     +2.5800    |ST-L    |2020AJ....160...83S
1075|TYC 6464-2165-1                                                                                          |Star                                |04 30 30.6470761368 -23 01 57.794420136|220.9683635602351 -40.6094030600976|   9.401 -3.250   |10.615   |~                |    ~     ~    |    1|  359.683   pc  | -10.7200    +10.7200    |ST-L    |2020AJ....160...83S
1076|TYC 6465-865-1                                                                                           |Star                                |04 41 12.5867846184 -23 03 19.238692680|221.9262610089157 -38.2617835629422|  24.852 36.814   |10.58    |~                |    ~     ~    |    1|  191.055   pc  |  -0.4745     +0.4745    |paral   |2020yCat.1350....0G
1077|TYC 6465-1724-1                                                                                          |Spectroscopic Binary                |04 40 13.5223171080 -23 08 32.060365224|221.9471310890547 -38.5037077194274| 17.263 -32.111   |10.937   |~                |    ~     ~    |    1|  274.517   pc  |  -4.0440     +4.0440    |ST-L    |2020AJ....160...83S
1078|HD 28997                                                                                                 |Star                                |04 33 02.8753557072 -26 13 50.578424328|225.2406892039924 -40.9076430259551|    9.028 4.650   |8.79     |K1III            |    ~     ~    |    1|  655.781   pc  |  -7.8699     +7.8699    |paral   |2020yCat.1350....0G
1079|CD-26 1734                                                                                               |Star                                |04 33 46.8532650000 -26 16 39.496928016|225.3541774053910 -40.7598739893833|   1.550 -1.025   |9.09     |~                |    ~     ~    |    1|  935.629   pc  | -13.5687    +13.5687    |paral   |2020yCat.1350....0G
1080|HD 29397                                                                                                 |Star                                |04 36 39.8409655512 -26 25 45.412826304|225.7564404132037 -40.1712413019777|   8.564 37.612   |8.63     |F5V              |    ~     ~    |    1|  173.509   pc  |  -0.5600     +0.5600    |paral   |2020yCat.1350....0G
1081|CD-26 1773                                                                                               |Star                                |04 38 37.5 -26 31 21                   |226.0159 -39.7691                  |            ~ ~   |9.3      |~                |    ~     ~    |    0|                |                         |        |                   
1082|CD-24 2383                                                                                               |Star                                |04 30 15.6310249896 -23 58 23.120085864|222.1384749516065 -40.9292333554092| -9.588 -17.461   |9.947    |~                |    ~     ~    |    1|  151.797   pc  |  -4.5840     +4.5840    |ST-L    |2020AJ....160...83S
1083|CD-24 2384                                                                                               |High Proper Motion Star             |04 30 20.8735938960 -24 22 16.545994212|222.6531259385555 -41.0184321647206|-29.554 -143.597  |9.902    |~                |    ~     ~    |    1|  123.416   pc  |  -0.7547     +0.7547    |ST-L    |2020AJ....160...83S
1084|HD 28845                                                                                                 |Double or Multiple Star             |04 31 48.4253573592 -24 06 36.761046480|222.4406409486094 -40.6273588475937|   1.149 -5.026   |7.86     |A0V              |    ~     ~    |    1|  228.029   pc  |  -5.3921     +5.3921    |paral   |2020yCat.1350....0G
1085|HD 28846                                                                                                 |High Proper Motion Star             |04 31 51.9161779608 -24 34 00.743371824|223.0250198630092 -40.7384139436292|  63.967 -5.784   |9.34     |G5III/IV         |    ~     ~    |    1|  152.050   pc  |  -0.2890     +0.2890    |paral   |2020yCat.1350....0G
1086|CD-25 1911                                                                                               |Star                                |04 30 04.8968984064 -25 05 28.261984776|223.5539260242261 -41.2669574666510|  -6.268 -2.059   |9.10     |~                |    ~     ~    |    1|  392.157   pc  |  -1.9685     +1.9685    |paral   |2020yCat.1350....0G
1087|CD-25 1914                                                                                               |High Proper Motion Star             |04 30 32.8374374376 -25 38 13.144544772|224.2919509897682 -41.3045828552298|  3.920 -54.190   |10.49    |~                |    ~     ~    |    1|  165.015   pc  |  -1.3760     +1.3760    |ST-L    |2020AJ....160...83S
1088|CD-25 1917                                                                                               |Spectroscopic Binary                |04 30 45.3935108664 -25 39 33.947285904|224.3366473036880 -41.2645830123287|  8.185 -27.356   |10.23    |~                |    ~     ~    |    1|  217.056   pc  |  -1.4464     +1.4464    |paral   |2020yCat.1350....0G
1089|CD-25 1918                                                                                               |Star                                |04 30 47.7028048248 -25 26 56.730403176|224.0689727912694 -41.2029675110655|   6.805 -5.910   |10.00    |~                |    ~     ~    |    1|  788.208   pc  |  -8.9463     +8.9463    |paral   |2020yCat.1350....0G
1090|HD 28753                                                                                                 |Star                                |04 30 59.6153216424 -24 58 47.594548236|223.4825851048054 -41.0385421117335|   4.092 -5.276   |9.14     |K0IV             |    ~     ~    |    1|  320.996   pc  |  -1.8959     +1.8959    |paral   |2020yCat.1350....0G
1091|CD-25 1928                                                                                               |Star                                |04 31 47.9915346816 -24 44 16.395595728|223.2374085737988 -40.7983550466410|  26.033 10.740   |10.189   |~                |    ~     ~    |    1|  208.353   pc  |  -2.3480     +2.3480    |ST-L    |2020AJ....160...83S
1092|HD 28860                                                                                                 |Star                                |04 31 56.2715258136 -24 45 45.167854572|223.2797913929679 -40.7746925811497| -1.909 -16.323   |9.43     |G8III            |    ~     ~    |    1|  549.753   pc  | -10.0944    +10.0944    |paral   |2020yCat.1350....0G
1093|HD 28754                                                                                                 |Star                                |04 30 55.4887039512 -25 45 12.296589516|224.4703207310126 -41.2514752759375|  -0.761 -3.498   |8.64     |G8/K0III/IV      |    ~     ~    |    1|  328.116   pc  |  -1.8625     +1.8625    |paral   |2020yCat.1350....0G
1094|HD 28765                                                                                                 |Star                                |04 31 04.7766153672 -26 00 17.271376992|224.8057753493402 -41.2802364928958|  17.365 24.290   |8.51     |F2V              |    ~     ~    |    1|  136.550   pc  |  -0.3095     +0.3095    |paral   |2020yCat.1350....0G
1095|CD-26 1716                                                                                               |Star                                |04 31 22.027 -25 44 20.02              |224.484813 -41.151416              |            ~ ~   |10.6     |~                |    ~     ~    |    0|                |                         |        |                   
1096|CD-23 1981                                                                                               |Star                                |04 30 26.1623207784 -23 37 27.803295624|221.7102382043170 -40.7939182127310| 12.793 -28.371   |10.440   |~                |    ~     ~    |    1|  151.705   pc  |  -1.3370     +1.3370    |ST-L    |2020AJ....160...83S
1097|CD-25 1915                                                                                               |Star                                |04 30 35.0151459840 -25 04 34.590650052|223.5739630904643 -41.1533218705540|    1.174 8.442   |10.412   |~                |    ~     ~    |    1|  350.289   pc  |  -6.0690     +6.0690    |ST-L    |2020AJ....160...83S
1098|CD-25 1916                                                                                               |Spectroscopic Binary                |04 30 41.7017862552 -25 42 55.721628756|224.4042088045781 -41.2920719885522|   6.272 -5.926   |10.42    |~                |    ~     ~    |    1|  204.937   pc  |  -2.1200     +2.1200    |ST-L    |2020AJ....160...83S
1099|CD-25 1925                                                                                               |Star                                |04 31 38.5568502672 -24 50 32.335934064|223.3580109855391 -40.8604146037464| -6.648 -13.026   |9.92     |~                |    ~     ~    |    1|   98.043   pc  |  -0.4564     +0.4564    |ST-L    |2020AJ....160...83S
1100|CD-24 2397                                                                                               |High Proper Motion Star             |04 31 33.7239981912 -23 56 20.559229296|222.2035203406910 -40.6340135888884| -9.745 -63.399   |10.515   |~                |    ~     ~    |    1|  243.122   pc  |  -2.9610     +2.9610    |ST-L    |2020AJ....160...83S
1101|HD 28982                                                                                                 |High Proper Motion Star             |04 33 06.2094056832 -24 00 47.879608752|222.4253359134926 -40.3161747899674| 48.032 -57.504   |9.06     |G6V              |    ~     ~    |    1|   54.501   pc  |  -0.1586     +0.1586    |paral   |2020yCat.1350....0G
1102|HD 29012                                                                                                 |Star                                |04 33 14.7380264544 -24 01 30.075054312|222.4518786173044 -40.2882249482572|   9.939 -8.491   |9.21     |K1III            |    ~     ~    |    1|  450.633   pc  |  -2.6805     +2.6805    |paral   |2020yCat.1350....0G
1103|V* HN Eri                                                                                                |Eclipsing Binary                    |04 33 24.8546730528 -23 56 19.702296312|222.3573276018697 -40.2273170125851|  7.465 -18.534   |8.68     |A7/8V            |    ~     ~    |    1|  244.571   pc  |  -2.1533     +2.1533    |paral   |2020yCat.1350....0G
1104|HD 29163                                                                                                 |Star                                |04 34 38.1422057856 -24 02 25.808220744|222.5863643751543 -39.9875477624048|  15.368 17.005   |6.38     |K1III            |    ~     ~    |    1|  123.925   pc  |  -0.2703     +0.2703    |paral   |2020yCat.1350....0G
