C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:45:06

dec< 0&rah >=4.5&rah< 4.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3608

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 28881                                                                                                 |Star                                |04 32 57.1158348504 -00 09 02.934327708|195.6056760793347 -30.4540675888660| -14.252 -5.200   |8.54     |A5/7IV           |    ~     ~    |    1|  210.208   pc  |  -1.0738     +1.0738    |paral   |2020yCat.1350....0G
24  |HD 28889                                                                                                 |Star                                |04 33 07.7895386184 -00 03 01.228863348|195.5339279481736 -30.3632713021841|   2.849 -2.873   |9.32     |K1III            |    ~     ~    |    1|  465.095   pc  |  -3.3529     +3.3529    |paral   |2020yCat.1350....0G
25  |BD-00 721                                                                                                |Star                                |04 34 09.2549161704 -00 01 43.986459360|195.6692002284773 -30.1343705056950|   2.763 -5.119   |10.6     |G                |    ~     ~    |    1|  899.442   pc  | -40.1262    +40.1262    |paral   |2020yCat.1350....0G
26  |BD-00 722                                                                                                |Star                                |04 34 13.4531313552 -00 09 24.208624656|195.8055600454071 -30.1867979096608|  -0.841 -1.889   |9.89     |K0               |    ~     ~    |    1|  622.510   pc  |  -7.3629     +7.3629    |paral   |2020yCat.1350....0G
27  |HD 29106                                                                                                 |Star                                |04 34 52.3128956568 -00 18 28.953310032|196.0528206085848 -30.1284374704169|  11.234 -4.925   |8.50     |K5/M0III         |    ~     ~    |    1|  528.123   pc  |  -6.3313     +6.3313    |paral   |2020yCat.1350....0G
28  |HD 29118                                                                                                 |Star                                |04 34 57.1050146736 -00 19 17.052805920|196.0780735630110 -30.1184325421574| -2.515 -39.285   |8.90     |K2III            |    ~     ~    |    1|  361.050   pc  |  -3.3241     +3.3241    |paral   |2020yCat.1350....0G
29  |2MASS J04351833-0028440                                                                                  |Star                                |04 35 18.3281496960 -00 28 44.237939700|196.2867918045385 -30.1254907707974|    1.092 4.763   |10.6     |A0               |    ~     ~    |    1| 1085.658   pc  | -67.7726    +67.7726    |paral   |2020yCat.1350....0G
30  |BD-00 728                                                                                                |Star                                |04 36 30.0581849256 -00 18 44.415485892|196.3029737900317 -29.7836036539396|    2.814 4.300   |9.32     |K0               |    ~     ~    |    1|  430.533   pc  |  -3.3550     +3.3550    |paral   |2020yCat.1350....0G
31  |BD-00 729                                                                                                |Star                                |04 36 33.6998901984 -00 29 01.053599820|196.4805428826466 -29.8600044904208| 18.953 -27.025   |10.02    |G5               |    ~     ~    |    1|  300.436   pc  |  -9.7663     +9.7663    |paral   |2020yCat.1350....0G
32  |HD 29301                                                                                                 |Star                                |04 36 55.1913792576 -00 07 14.968905456|196.1780523367931 -29.5942190979619|  9.053 -29.886   |8.78     |K1III            |    ~     ~    |    1|  547.106   pc  |  -7.0641     +7.0641    |paral   |2020yCat.1350....0G
33  |HD 29404                                                                                                 |Star                                |04 37 47.4533716824 -00 09 47.341972512|196.3502794501642 -29.4306777997026|-13.127 -20.023   |8.61     |K0III            |    ~     ~    |    1|  350.766   pc  |  -2.8052     +2.8052    |paral   |2020yCat.1350....0G
34  |BD-00 734                                                                                                |Spectroscopic Binary                |04 37 54.0063612048 -00 23 44.736409788|196.5946880773401 -29.5285741949792|   6.107 -0.924   |9.03     |K0               |    ~     ~    |    1|  477.327   pc  | -19.1842    +19.1842    |paral   |2020yCat.1350....0G
35  |HD 29432                                                                                                 |Pulsating Variable                  |04 38 05.7814331208 -00 39 24.845941620|196.8806098959320 -29.6222012748213|   6.414 -3.842   |9.20     |A0III            |    ~     ~    |    1|  453.865   pc  |  -4.7584     +4.7584    |paral   |2020yCat.1350....0G
36  |TYC 4735-41-1                                                                                            |Star                                |04 38 37.1795913000 -00 02 16.231111008|196.3517200014468 -29.1885429669434|  14.382 -7.975   |10.5     |F5               |    ~     ~    |    1|  269.346   pc  |  -1.2188     +1.2188    |paral   |2020yCat.1350....0G
37  |BD-00 739B                                                                                               |Star                                |04 38 39.5800965696 -00 23 50.838526572|196.7096850150089 -29.3672309943126|   16.453 9.515   |9.95     |~                |    ~     ~    |    1|  154.863   pc  |  -0.6116     +0.6116    |paral   |2020yCat.1350....0G
38  |HD 29500                                                                                                 |Star                                |04 38 39.4642642176 -00 23 46.531082220|196.7082241378871 -29.3670220394249|  17.576 11.381   |9.27     |F3/5V            |    ~     ~    |    1|  189.401   pc  |  -4.2402     +4.2402    |paral   |2020yCat.1350....0G
39  |BD-00 741                                                                                                |High Proper Motion Star             |04 38 44.1155746656 -00 33 15.662600388|196.8749012316002 -29.4324608562748| 14.226 -56.361   |9.53     |K2               |    ~     ~    |    1|  280.379   pc  |  -4.2844     +4.2844    |paral   |2020yCat.1350....0G
40  |HD 29583                                                                                                 |Star                                |04 39 28.3062913416 -00 05 03.945403608|196.5243332244399 -29.0310389873472| -5.696 -45.943   |7.23     |K2III            |    ~     ~    |    1|  232.499   pc  |  -1.7622     +1.7622    |paral   |2020yCat.1350....0G
41  |BD-00 745                                                                                                |Star                                |04 39 44.7355172280 -00 04 58.692667224|196.5636518662986 -28.9718303717404|   3.595 -7.371   |9.95     |A5               |    ~     ~    |    1|  394.992   pc  |  -5.2266     +5.2266    |paral   |2020yCat.1350....0G
42  |HD 29648                                                                                                 |Star                                |04 40 09.2556706272 -00 26 20.908514256|196.9724571668524 -29.0693261588195| 27.211 -10.453   |8.95     |F2IV/V           |    ~     ~    |    1|  205.668   pc  |  -0.9179     +0.9179    |paral   |2020yCat.1350....0G
43  |BD-00 747                                                                                                |Star                                |04 41 02.9664316248 -00 23 53.385381528|197.0646415997428 -28.8565928595382|    3.863 4.925   |10.11    |K2               |    ~     ~    |    1|  851.716   pc  | -22.4880    +22.4880    |paral   |2020yCat.1350....0G
44  |BD-01 666                                                                                                |Spectroscopic Binary                |04 33 15.1288647024 -01 22 04.865698236|196.8586666059042 -31.0263021087786|   4.087 -5.471   |9.64     |G0               |    ~     ~    |    1|  605.840   pc  |  -6.2030     +6.2030    |paral   |2020yCat.1350....0G
45  |BD-01 667                                                                                                |High Proper Motion Star             |04 33 14.8446459096 -01 17 37.630017672|196.7838773874377 -30.9888484882717| 48.274 -44.225   |9.51     |G0               |    ~     ~    |    1|  103.177   pc  |  -0.1565     +0.1565    |paral   |2020yCat.1350....0G
46  |BD-01 668                                                                                                |Star                                |04 34 21.1009678272 -01 00 16.983263736|196.6629841785257 -30.6028960847017|   19.942 8.275   |9.63     |F0               |    ~     ~    |    1|  307.768   pc  |  -1.9228     +1.9228    |paral   |2020yCat.1350....0G
47  |BD-01 669                                                                                                |Double or Multiple Star             |04 34 20.659 -00 45 02.68              |196.410080 -30.472291              |     -27.0 -7.0   |9.4      |A0               |    ~     ~    |    0|                |                         |        |                   
48  |BD-01 670                                                                                                |Star                                |04 34 31.2936561984 -00 44 42.720332748|196.4313856055286 -30.4315901548528|  0.447 -20.365   |9.22     |K0               |    ~     ~    |    1|  494.658   pc  |  -4.6001     +4.6001    |paral   |2020yCat.1350....0G
49  |HD 29071                                                                                                 |Star                                |04 34 38.5362687720 -00 58 20.500391712|196.6746929430062 -30.5240207735961|   3.827 -4.720   |8.90     |K2/3III          |    ~     ~    |    1|  993.937   pc  | -20.5485    +20.5485    |paral   |2020yCat.1350....0G
50  |HD 29160                                                                                                 |Star                                |04 35 27.9424750392 -01 21 46.475739180|197.1863562291647 -30.5500169095016|   3.397 10.973   |9.53     |F5V              |    ~     ~    |    1|  261.260   pc  |  -1.2081     +1.2081    |paral   |2020yCat.1350....0G
51  |BD-01 679                                                                                                |Star                                |04 36 33.7945091496 -01 07 41.976374304|197.1174664149405 -30.1940010118406| -3.000 -13.343   |10.438   |K2               |    ~     ~    |    1|  677.524   pc  | -28.6200    +28.6200    |ST-L    |2020AJ....160...83S
52  |BD-01 682                                                                                                |High Proper Motion Star             |04 37 33.4486577328 -01 05 31.257564828|197.2296525349327 -29.9623710287015| 24.713 -72.330   |9.41     |K0               |    ~     ~    |    1|  554.017   pc  |  -7.5813     +7.5813    |paral   |2020yCat.1350....0G
53  |BD-01 683                                                                                                |Star                                |04 37 53.6438383968 -00 51 35.445565260|197.0504113013910 -29.7704825153471|   6.325 -5.435   |9.40     |K5               |    ~     ~    |    1|  648.088   pc  |  -6.8043     +6.8043    |paral   |2020yCat.1350....0G
54  |BD-01 684                                                                                                |High Proper Motion Star             |04 38 17.8245840216 -00 59 41.162903376|197.2434269520465 -29.7538257843839| 47.989 -75.068   |9.33     |K5               |    ~     ~    |    1|  301.069   pc  |  -1.5772     +1.5772    |paral   |2020yCat.1350....0G
55  |HD 29513                                                                                                 |Star                                |04 38 48.5531966184 -00 52 47.615136600|197.2060988795753 -29.5849088185183|  -6.004 -2.731   |8.86     |K0III            |    ~     ~    |    1|  441.950   pc  |  -4.0431     +4.0431    |paral   |2020yCat.1350....0G
56  |HD 29610                                                                                                 |Star                                |04 39 47.2211599368 -01 03 08.860789548|197.5206848210689 -29.4641298981610|  21.264 -9.460   |6.099    |K0II/III         |    ~     ~    |    1|  138.806   pc  |  -0.6628     +0.6628    |paral   |2020yCat.1350....0G
57  |BD-01 693                                                                                                |Star                                |04 40 43.5440431536 -01 00 35.285415012|197.6168047568739 -29.2408430523976| -12.735 -0.773   |9.99     |F5               |    ~     ~    |    1|  257.142   pc  |  -1.2960     +1.2960    |paral   |2020yCat.1350....0G
58  |BD-01 695                                                                                                |Spectroscopic Binary                |04 41 06.8749300344 -00 53 28.586627304|197.5573937695430 -29.0966032839864|   -5.558 1.471   |9.79     |F5               |    ~     ~    |    1|  428.156   pc  |  -3.1347     +3.1347    |paral   |2020yCat.1350....0G
59  |HD 29107                                                                                                 |Star                                |04 34 49.3867218912 -01 51 53.053995888|197.5911808545671 -30.9457102950474|   7.058 -2.919   |8.21     |G2/3V            |    ~     ~    |    1|  304.702   pc  |  -2.2468     +2.2468    |paral   |2020yCat.1350....0G
60  |HD 28968                                                                                                 |Double or Multiple Star             |04 33 43.1909426664 -02 27 10.492823664|198.0178898424695 -31.4830577353534|  -4.684 -4.408   |8.80     |K0III            |0.0083  0.0    |    1|  460.617   pc  |  -7.1289     +7.1289    |paral   |2020yCat.1350....0G
61  |HD 29082                                                                                                 |Star                                |04 34 35.1168871584 -02 04 57.926992872|197.7742872767289 -31.1083253762855|   7.857 -0.662   |8.16     |A0V              |    ~     ~    |    1|  209.582   pc  |  -3.8961     +3.8961    |paral   |2020yCat.1350....0G
62  |HD 29226                                                                                                 |Star                                |04 36 01.9236736824 -02 13 49.052763372|198.1372500007212 -30.8725502387423|   0.014 -6.168   |7.67     |B8IV             |    ~     ~    |    1|  331.367   pc  |  -4.8753     +4.8753    |paral   |2020yCat.1350....0G
63  |BD-02 969                                                                                                |Star                                |04 38 22.6860237288 -01 56 25.857711240|198.1934439140095 -30.2205028346640|   3.660 -1.120   |9.75     |G0               |    ~     ~    |    0|                |                         |        |                   
64  |HD 29735                                                                                                 |Star                                |04 40 57.1031130936 -01 57 00.230111388|198.5791769804758 -29.6710749388878| -4.518 -12.742   |8.16     |K0III            |    ~     ~    |    1|  327.129   pc  |  -2.4399     +2.4399    |paral   |2020yCat.1350....0G
65  |NGC 1635                           NGC 1635                                                              |Galaxy towards a Group of Galaxies  |04 40 07.881 -00 32 51.22              |197.075274 -29.130291              |            ~ ~   |     ~   |~                |1.047 0.900    |    1|   44.62    Mpc |                         |redshift|2007ApJ...655..790C
66  |NGC 1620                           NGC 1620                                                              |Galaxy towards a Group of Galaxies  |04 36 37.3587737352 -00 08 36.824388684|196.1556130756228 -29.6694348121905|            ~ ~   |     ~   |~                |2.050 0.656    |    1|   38.02    Mpc |  -3.25       +3.25      |T-F     |2020ApJ...902..145K
67  |HD 28958                                                                                                 |Star                                |04 33 39.2494744296 -01 49 52.337716356|197.3826045018686 -31.1791989266966|  20.045 24.729   |7.46     |K1III            |    ~     ~    |    1|  379.968   pc  |  -3.2629     +3.2629    |paral   |2020yCat.1350....0G
