C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:15:41

Vmag< 11&dec< 0&rah >=5.5&rah< 5.75
-----------------------------------

Number of objects : 5061

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
425 |HD 36560                                                                                                                                                                       |Star                                  |05 32 18.9238561920 -06 23 33.089263620|209.6109329636686 -20.4925646700861|    0.904 0.101   |8.24     |F0V               |    ~     ~    
426 |BD-06 1214                                                                                                                                                                     |Spectroscopic Binary                  |05 32 26.4334511832 -06 17 42.119123892|209.5327925394399 -20.4210687741090|  4.330 -17.110   |9.39     |F0                |    ~     ~    
427 |HD 36593                                                                                                                                                                       |Star                                  |05 32 38.1003089952 -05 59 43.601127324|209.2704983319160 -20.2433131597171| -2.512 -41.160   |9.42     |K0III             |    ~     ~    
428 |HD 36607                                                                                                                                                                       |Star                                  |05 32 39.2751743712 -06 52 46.793188524|210.1166233052129 -20.6347874630773|    0.964 0.357   |9.19     |B8V               |    ~     ~    
429 |HD 36630                                                                                                                                                                       |Star                                  |05 32 51.6477200712 -06 29 40.596749088|209.7730935480173 -20.4171067313951|   1.339 -1.166   |9.50     |B9V               |    ~     ~    
430 |BD-06 1219                                                                                                                                                                     |Star                                  |05 33 15.6165829344 -06 06 34.725410424|209.4536581228430 -20.1558047072807|   -0.631 1.791   |10.20    |F4.0              |    ~     ~    
431 |HD 36714                                                                                                                                                                       |Star                                  |05 33 23.4783079536 -06 42 42.341760036|210.0431771196272 -20.3962358708841|   4.107 34.345   |9.57     |F2/3V             |    ~     ~    
432 |HD 36712                                                                                                                                                                       |Star                                  |05 33 27.8062445304 -06 02 56.239131228|209.4200851471943 -20.0834148422397|    0.304 1.389   |9.77     |A2IV              |    ~     ~    
433 |HD 36713                                                                                                                                                                       |Star                                  |05 33 26.0653415496 -06 31 58.307286324|209.8775478488681 -20.3067691809691|  4.890 -15.321   |8.77     |K(4)(III)         |    ~     ~    
434 |HD 36743                                                                                                                                                                       |Spectroscopic Binary                  |05 33 36.7563526152 -06 22 48.792916956|209.7531436412301 -20.1988932574434|  -5.750 25.716   |9.49     |G3V               |    ~     ~    
435 |HD 36783                                                                                                                                                                       |Star                                  |05 33 52.1200192272 -06 36 56.299652352|210.0078601596939 -20.2472623567175|   1.323 -0.152   |9.48     |B9V               |    ~     ~    
436 |HD 36813                                                                                                                                                                       |Spectroscopic Binary                  |05 34 05.4711396888 -06 50 17.131322652|210.2463835811258 -20.2970034029818|    2.211 0.301   |8.56     |A0III             |    ~     ~    
437 |HD 36918                                                                                                                                                                       |Star                                  |05 34 49.1226628608 -06 00 22.931336556|209.5406972636978 -19.7632780603959|    1.205 0.508   |8.26     |B8.3              |    ~     ~    
438 |HD 36959                                                                                                                                                                       |Young Stellar Object                  |05 35 01.0070120496 -06 00 33.366713364|209.5669599496548 -19.7205866805397|   0.961 -1.004   |5.53     |B1V               |    ~     ~    
439 |HD 37001                                                                                                                                                                       |Young Stellar Object                  |05 35 08.0821422096 -06 33 48.805425648|210.1077281691606 -19.9426727311444|    0.801 0.643   |8.87     |B8/9V             |    ~     ~    
440 |HD 37025                                                                                                                                                                       |Young Stellar Object                  |05 35 15.7459930968 -06 01 57.889342812|209.6183824923712 -19.6765709085894|    1.392 2.039   |7.17     |B3(III)           |    ~     ~    
441 |HD 37078                                                                                                                                                                       |Young Stellar Object                  |05 35 34.7926606680 -06 05 00.849288552|209.7042289291815 -19.6288750104813| -3.697 -11.389   |9.41     |A2V               |    ~     ~    
442 |HD 37091                                                                                                                                                                       |Star                                  |05 35 40.9755201216 -06 44 08.404980252|210.3361581208816 -19.8975994894848|   -1.975 0.982   |9.82     |A1/2IV            |    ~     ~    
443 |HD 37102                                                                                                                                                                       |Young Stellar Object                  |05 35 46.1112575376 -06 00 46.039001292|209.6594491860153 -19.5551892489282|-12.775 -31.889   |8.91     |F3/5V             |    ~     ~    
444 |HD 37131                                                                                                                                                                       |Young Stellar Object                  |05 35 59.2216280064 -06 16 30.077481720|209.9340854407353 -19.6242529120555|   1.237 -2.975   |8.32     |B7/8V             |    ~     ~    
445 |V* V1133 Ori                                                                                                                                                                   |alpha2 CVn Variable                   |05 36 30.9592251264 -06 27 13.813302564|210.1662627403129 -19.5866973662269|    1.185 0.729   |8.10     |B9IV/V            |    ~     ~    
446 |HD 37258                                                                                                                                                                       |Herbig Ae/Be Star                     |05 36 59.2496063912 -06 09 16.331028249|209.9379896461364 -19.3479772243136|   1.746 -0.718   |9.61     |A3Ve              |    ~     ~    
447 |BD-07 1097                                                                                                                                                                     |Star                                  |05 30 03.8 -07 13 01                   |210.1340 -21.3606                  |            ~ ~   |9.5      |~                 |    ~     ~    
448 |HD 36285                                                                                                                                                                       |Star                                  |05 30 20.7537108216 -07 26 05.338118076|210.3770584854858 -21.3944219689412|   0.272 -0.682   |6.313    |B2III             |    ~     ~    
449 |BD-07 1101                                                                                                                                                                     |Star                                  |05 30 51.0379644816 -07 19 19.958282760|210.3282048761271 -21.2323463038134|  -6.537 -4.497   |10.6     |~                 |    ~     ~    
450 |HD 36487                                                                                                                                                                       |Star                                  |05 31 41.4430036992 -07 02 55.128840396|210.1646420835689 -20.9241850839314|    1.080 0.094   |7.75     |B6IV              |    ~     ~    
451 |HD 36513                                                                                                                                                                       |Star                                  |05 31 51.2304967680 -07 42 58.199150700|210.8251543847088 -21.1835063261545|   0.607 -0.250   |9.53     |B9V               |    ~     ~    
452 |BD-07 1107                                                                                                                                                                     |Star                                  |05 31 58.2987840960 -07 49 19.220877732|210.9408468181001 -21.2039543578648|  -1.381 -0.071   |9.94     |F5                |    ~     ~    
453 |V* V1162 Ori                                                                                                                                                                   |delta Sct Variable                    |05 32 01.9910944584 -07 15 24.656437548|210.4047614973228 -20.9405165698398|-15.030 -23.311   |9.9      |~                 |    ~     ~    
454 |BD-07 1111                                                                                                                                                                     |Star                                  |05 32 32.1486883824 -07 40 56.128784628|210.8724049373541 -21.0169155990826|  -9.503 -6.040   |9.83     |~                 |    ~     ~    
455 |HD 36631                                                                                                                                                                       |Star                                  |05 32 48.2170418448 -07 37 47.839462572|210.8534905847714 -20.9342924229893|   4.034 -3.746   |9.47     |G8/K0(III)        |    ~     ~    
456 |HD 36697                                                                                                                                                                       |Spectroscopic Binary                  |05 33 16.4883119496 -07 35 15.232882596|210.8679398773528 -20.8108114820631| -4.044 -16.526   |8.65     |A0IV/V            |    ~     ~    
457 |BD-07 1118                                                                                                                                                                     |Star                                  |05 33 51.8258125200 -06 55 16.632586128|210.2990417219322 -20.3845802561470|    1.403 0.703   |10.01    |~                 |    ~     ~    
458 |HD 36814                                                                                                                                                                       |Variable Star                         |05 34 02.4722062656 -07 01 25.503438216|210.4178400869502 -20.3906987756527|-12.707 -40.736   |6.45     |K0III             |    ~     ~    
459 |BD-07 1121                                                                                                                                                                     |Star                                  |05 34 15.9116801064 -07 21 39.429625320|210.7666749499550 -20.4904352838162|  -1.506 -4.609   |10.20    |~                 |    ~     ~    
460 |HD 36867                                                                                                                                                                       |Star                                  |05 34 24.5931018336 -07 23 21.959824848|210.8108830709726 -20.4708663603810|    1.280 0.011   |9.33     |B9/9.5V           |    ~     ~    
461 |BD-07 1123                                                                                                                                                                     |Star                                  |05 34 38.2 -07 32 10                   |210.9779 -20.4853                  |            ~ ~   |9.5      |~                 |    ~     ~    
462 |HD 36920                                                                                                                                                                       |Double or Multiple Star               |05 34 48.0065238216 -07 12 01.398728556|210.6757771846833 -20.3003879019929|   2.674 -7.144   |6.70     |K1III             |0.0083  0.0    
463 |HD 37103                                                                                                                                                                       |High Proper Motion Star               |05 35 41.3381873376 -07 22 26.539135860|210.9457479791938 -20.1796470543591|117.791 113.827   |9.26     |G8/K0V            |    ~     ~    
464 |V* V1179 Ori                                                                                                                                                                   |alpha2 CVn Variable                   |05 36 06.2338022808 -07 23 47.317093944|211.0156364171276 -20.0973029942075|   -3.643 5.559   |7.38     |B8V               |    ~     ~    
465 |HD 37236                                                                                                                                                                       |Star                                  |05 36 45.0276064416 -07 05 11.660484552|210.7955819246374 -19.8162858328884|  1.429 -14.794   |8.29     |K1III             |    ~     ~    
466 |HD 37304                                                                                                                                                                       |Emission-line Star                    |05 37 19.0343962608 -07 10 30.596497104|210.9462084855596 -19.7295390826183|    0.037 0.007   |10.05    |A1/2(IV)          |    ~     ~    
467 |V* V1814 Ori                                                                                                                                                                   |Orion Variable                        |05 37 09.5211327120 -06 06 16.309879272|209.9108397588795 -19.2875212588320|   2.500 -2.126   |10.622   |K0IV/V            |    ~     ~    
468 |HD 36885                                                                                                                                                                       |Star                                  |05 34 29.5758089328 -08 12 26.213764788|211.6052760589398 -20.8124291231222| -1.818 -15.960   |7.780    |F0V               |    ~     ~    
469 |HD 36984                                                                                                                                                                       |Star                                  |05 34 56.9822551032 -07 58 25.472416404|211.4339213229078 -20.6083893159709|  -22.693 4.277   |8.70     |K0III/IV          |    ~     ~    
470 |HD 37063                                                                                                                                                                       |Star                                  |05 35 17.5021275984 -08 16 52.299205464|211.7688521620401 -20.6671062154778|  -5.216 -2.983   |9.13     |A1V               |    ~     ~    
471 |NGC 1980                           NAME Lower Sword                   NGC 1980                                                                                                 |Open Cluster                          |05 35 14.4 -05 55 26                   |209.5126 -19.6327                  |  1.2190 0.5980   |2.5      |~                 |    ~     ~    
472 |BD-05 1290                                                                                                                                                                     |High Proper Motion Star               |05 33 29.4540966240 -05 45 26.156772756|209.1461609746611 -19.9459929159693|-47.775 -84.806   |10.7     |~                 |    ~     ~    
473 |BD-05 1294                                                                                                                                                                     |High Proper Motion Star               |05 33 49.5240140136 -05 45 43.535380968|209.1906445519564 -19.8739051392598|  65.658 15.666   |10.74    |K3IV-V            |    ~     ~    
474 |BD-05 1343                                                                                                                                                                     |Star                                  |05 37 34.7882893560 -05 53 06.630200124|209.7530648191812 -19.0954879078793| 25.981 -21.217   |10.99    |F8IV              |    ~     ~    
475 |BD-06 1206                                                                                                                                                                     |Star                                  |05 31 20.7698148912 -06 10 10.836786864|209.2828340903570 -20.6078361112470|  13.145 19.655   |10.29    |F8                |    ~     ~    
476 |BD-06 1208                                                                                                                                                                     |Star                                  |05 32 08.4914940672 -06 10 13.522172412|209.3783741078109 -20.4315551797229|   -0.623 7.091   |10.73    |F8                |    ~     ~    
477 |BD-06 1213                                                                                                                                                                     |Star                                  |05 32 22.6005446424 -06 43 15.304357812|209.9319243070366 -20.6257749653420|  -6.974 -6.869   |10.13    |F2                |    ~     ~    
478 |BD-06 1220                                                                                                                                                                     |Star                                  |05 33 16.7365084320 -06 24 35.294137488|209.7417809130245 -20.2862628522513| 18.108 -12.461   |10.47    |F9.0              |    ~     ~    
479 |BD-06 1228                                                                                                                                                                     |Star                                  |05 34 12.5637467160 -06 51 43.874890920|210.2833141744960 -20.2814585214994|   0.460 -1.944   |9.78     |A5                |    ~     ~    
480 |BD-06 1246                                                                                                                                                                     |High Proper Motion Star               |05 35 47.2057357872 -06 41 50.210664180|210.3118333776132 -19.8574129222409|109.548 -97.700   |9.76     |G4.0              |    ~     ~    
481 |BD-06 1251                                                                                                                                                                     |Young Stellar Object                  |05 36 06.8614891200 -06 23 35.307260196|210.0612724825384 -19.6488185543887|   -3.356 0.027   |10.80    |F5.0              |    ~     ~    
482 |BD-06 1198                                                                                                                                                                     |Star                                  |05 30 05.9331880800 -06 35 56.254236396|209.5447531141759 -21.0772992454515|  -5.092 -9.105   |9.79     |F5                |    ~     ~    
483 |BD-06 1199                                                                                                                                                                     |Star                                  |05 30 11.7819853728 -06 16 32.613289140|209.2468854308771 -20.9107762383085|   6.016 -7.916   |9.33     |K5                |    ~     ~    
484 |BD-06 1201                                                                                                                                                                     |Star                                  |05 30 16.1707010784 -06 20 18.508431516|209.3156471525321 -20.9227014414561| -14.541 17.559   |9.87     |F5                |    ~     ~    
485 |BD-06 1203                                                                                                                                                                     |Star                                  |05 30 58.1154451920 -06 27 24.608286972|209.5122090056025 -20.8205142501351|   2.134 -4.815   |10.94    |F8                |    ~     ~    
486 |BD-06 1229                                                                                                                                                                     |Star                                  |05 34 21.1223178120 -06 39 13.949928756|210.1014080669976 -20.1569158832230| -15.030 -7.740   |10.53    |F7.0              |    ~     ~    
487 |2MASS J05353747-0653459                                                                                                                                                        |Young Stellar Object                  |05 35 37.4797149984 -06 53 45.941129268|210.4821251666745 -19.9819649371697| 16.059 -21.426   |10.76    |K0.0              |    ~     ~    
488 |BD-06 1210                                                                                                                                                                     |High Proper Motion Star               |05 32 15.4670873232 -06 07 59.417411592|209.3567155771510 -20.3890029622163|150.755 -226.194  |10.23    |F9                |    ~     ~    
489 |BD-06 1235                                                                                                                                                                     |Young Stellar Object                  |05 35 04.1530595472 -06 17 07.355407488|209.8354015269705 -19.8328117828392|    1.230 0.669   |9.81     |F8.0              |    ~     ~    
490 |BD-06 1236                                                                                                                                                                     |Young Stellar Object                  |05 35 09.0620063016 -06 14 20.166795852|209.8009530516288 -19.7938268765867|    1.367 0.711   |10.81    |F9.0              |    ~     ~    
491 |BD-06 1243                                                                                                                                                                     |Star                                  |05 35 34.8081278856 -06 21 51.350066064|209.9707753446831 -19.7546102590748|  35.323 12.647   |10.46    |F9.0              |    ~     ~    
492 |BD-06 1249                                                                                                                                                                     |Young Stellar Object                  |05 36 04.2122372616 -06 20 44.102670792|210.0109002343440 -19.6373568952220|    1.906 1.091   |10.63    |F0.0              |    ~     ~    
493 |BD-06 1252                                                                                                                                                                     |Star                                  |05 36 13.8678484416 -06 38 48.817690368|210.3161797123642 -19.7361818234572|   1.650 -0.908   |10.68    |F8.0              |    ~     ~    
494 |BD-06 1256                                                                                                                                                                     |Young Stellar Object                  |05 36 37.8106367904 -06 25 30.135833220|210.1523741119891 -19.5484500893504|  7.790 -21.083   |10.27    |A8.0              |    ~     ~    
495 |BD-06 1260                                                                                                                                                                     |Young Stellar Object                  |05 37 18.3296833728 -06 26 11.854627008|210.2428888776574 -19.4035435178051|   0.328 -1.072   |10.76    |F6.0              |    ~     ~    
496 |BD-08 1146                                                                                                                                                                     |Star                                  |05 30 48.6743155560 -07 57 33.568246692|210.9374564034683 -21.5224185438489|  6.726 -28.707   |9.98     |~                 |    ~     ~    
497 |BD-08 1152                                                                                                                                                                     |Spectroscopic Binary                  |05 31 30.6051953304 -08 15 08.006647212|211.3019355094080 -21.4955685482208|  18.817 14.387   |9.89     |~                 |    ~     ~    
498 |BD-08 1165                                                                                                                                                                     |Star                                  |05 33 49.7446091472 -08 04 39.466577208|211.4034977593476 -20.9032470797536| -15.082 -1.064   |9.86     |~                 |    ~     ~    
499 |BD-07 1133                                                                                                                                                                     |Star                                  |05 36 43.8557554056 -07 53 39.413705640|211.5645047707166 -20.1772837688846|   2.255 -5.277   |10.03    |~                 |    ~     ~    
500 |[VSS88] 85                                                                                                                                                                     |Star                                  |05 36 45.5 -07 21 06                   |211.0492 -19.9320                  |            ~ ~   |10.6     |~                 |    ~     ~    
501 |BD-07 1135                                                                                                                                                                     |Star                                  |05 36 58.3135308360 -07 02 51.460750932|210.7843966382582 -19.7497726115823| -13.375 -9.882   |10.81    |F9.0              |    ~     ~    
502 |NGC 1976 721                       NAME Hatysa                        * iot Ori                                                                                                |Spectroscopic Binary                  |05 35 25.9819073 -05 54 35.643537      |209.5221136647 -19.5834649606      |     1.42 -0.46   |2.77     |O9IIIvar          |    ~     ~    
503 |BD-06 1253                                                                                                                                                                     |Herbig Ae/Be Star                     |05 36 25.4320468080 -06 42 57.684730284|210.4045834775263 -19.7241543195208|  -0.667 -2.408   |10.9     |A1e               |    ~     ~    
504 |BD-06 1250                                                                                                                                                                     |Young Stellar Object                  |05 36 06.0442871304 -06 19 38.909952408|209.9973107218008 -19.6224683962432|   -1.513 7.909   |9.95     |~                 |    ~     ~    
505 |V* BF Ori                                                                                                                                                                      |Herbig Ae/Be Star                     |05 37 13.2623828280 -06 35 00.568242528|210.3723258682133 -19.4878779054919|    0.873 0.654   |9.69     |A7III             |    ~     ~    
506 |* ups Ori                                                                                                                                                                      |Spectroscopic Binary                  |05 31 55.8601879 -07 18 05.537157      |210.4356277875 -20.9830419946      |    -0.10 -4.87   |4.63     |O9.7V             |    ~     ~    
507 |BD-05 1300                                                                                                                                                                     |Star                                  |05 34 32.4315106056 -05 45 45.803936196|209.2764577674386 -19.7154073951222|  -5.673 -0.943   |10.52    |A3                |    ~     ~    
508 |TYC 4778-348-1                                                                                                                                                                 |Star                                  |05 30 01.5399066384 -06 50 54.990380256|209.7755235372150 -21.2050786944249|   -3.934 0.142   |10.60    |F2                |    ~     ~    
509 |TYC 4778-559-1                                                                                                                                                                 |Star                                  |05 30 21.9080623368 -05 45 29.994704316|208.7730305957884 -20.6402761216956|   2.156 -8.348   |10.84    |G0                |    ~     ~    
510 |TYC 4778-891-1                                                                                                                                                                 |Star                                  |05 30 32.8149627336 -06 41 00.121407180|209.6789471979182 -21.0155178636793| -1.348 -16.762   |10.93    |F5                |    ~     ~    
511 |Parenago 842                                                                                                                                                                   |Red Giant Branch star                 |05 32 05.7979004592 -06 07 12.443726568|209.3250725078657 -20.4189250863970|  -3.631 -1.933   |10.98    |~                 |    ~     ~    
512 |TYC 4778-1011-1                                                                                                                                                                |Spectroscopic Binary                  |05 32 59.7300107928 -06 49 48.113292828|210.1094189380363 -20.5369181868404|   5.308 -0.124   |10.68    |~                 |    ~     ~    
513 |TYC 4778-990-1                                                                                                                                                                 |Star                                  |05 33 18.6929055408 -06 49 02.953775928|210.1347463179287 -20.4610938901805| -16.093 -5.716   |10.75    |F3                |    ~     ~    
514 |2MASS J05332668-0629478                                                                                                                                                        |Young Stellar Object                  |05 33 26.6961241536 -06 29 47.930718804|209.8442534518040 -20.2882415163852|  -7.874 -5.451   |10.63    |~                 |    ~     ~    
515 |TYC 4778-928-1                                                                                                                                                                 |Star                                  |05 33 52.9940468784 -06 53 25.464010452|210.2718354893842 -20.3665113916559|    1.321 0.374   |10.75    |F8                |    ~     ~    
516 |TYC 4778-952-1                                                                                                                                                                 |Star                                  |05 34 11.3301830136 -06 31 19.542492408|209.9565346362276 -20.1343338119332|  7.786 -37.978   |10.65    |G5.0              |    ~     ~    
517 |Brun 444                                                                                                                                                                       |Spectroscopic Binary                  |05 34 54.4001934624 -06 02 02.098713156|209.5772868257844 -19.7561184431625| -10.115 27.850   |10.77    |~                 |    ~     ~    
518 |BD-07 1098                                                                                                                                                                     |Star                                  |05 30 15.5604046152 -07 06 12.924022248|210.0481635411996 -21.2667026842231| 41.894 -21.729   |10.34    |~                 |    ~     ~    
519 |BD-08 1145                                                                                                                                                                     |Star                                  |05 30 45.8185815216 -08 10 41.315221416|211.1432907490844 -21.6291043125219|    6.300 3.927   |10.17    |~                 |    ~     ~    
520 |BD-08 1147                                                                                                                                                                     |Spectroscopic Binary                  |05 30 54.9398680944 -08 03 52.537898520|211.0513237542892 -21.5454623061990|  -0.263 -0.793   |10.30    |~                 |    ~     ~    
521 |BD-08 1153                                                                                                                                                                     |Star                                  |05 31 40.6838727360 -07 53 02.171492376|210.9661656496675 -21.2965011675623|   -4.760 7.234   |10.00    |~                 |    ~     ~    
522 |TYC 4778-957-1                                                                                                                                                                 |Star                                  |05 32 25.8176243400 -06 55 44.151137868|210.1372823104715 -20.7065669468386|  -3.334 -5.143   |10.62    |~                 |    ~     ~    
523 |BD-08 1163                                                                                                                                                                     |Star                                  |05 33 16.3218172944 -08 05 38.950797516|211.3546103577183 -21.0343928774415|  -6.773 -5.035   |10.31    |~                 |    ~     ~    
524 |BD-07 1117                                                                                                                                                                     |Star                                  |05 33 46.9115493648 -07 23 35.218967388|210.7408480863965 -20.6121307746863|  10.420 -9.513   |9.91     |~                 |    ~     ~    
525 |BD-07 1126                                                                                                                                                                     |Star                                  |05 35 03.9154272960 -07 34 04.746081792|211.0584212341292 -20.4040336596462|  4.829 -11.311   |10.56    |~                 |    ~     ~    
526 |BD-08 1176                                                                                                                                                                     |Double or Multiple Star               |05 37 11.0176120248 -08 06 31.697722836|211.8222641158970 -20.1707413792729|   0.201 -3.905   |10.127   |~                 |    ~     ~    
527 |Brun 508                                                                                                                                                                       |Star                                  |05 35 03.6402374160 -05 59 00.853604160|209.5477831656180 -19.6992902574128|    1.380 0.529   |8.97     |B9V               |    ~     ~    
528 |Brun 540                                                                                                                                                                       |Young Stellar Object                  |05 35 09.0350527200 -06 02 00.729607704|209.6058651308701 -19.7017695998968|    1.579 0.802   |10.49    |F8                |    ~     ~    
529 |HD 36960                                                                                                                                                                       |Star                                  |05 35 02.6807398 -06 00 07.303539      |209.5634000912 -19.7111375349      |     -0.66 0.01   |4.72     |B0.5V             |    ~     ~    
530 |HD 37209B                                                                                                                                                                      |Star                                  |05 36 35.3510558131 -06 03 51.381685950|209.8054015636703 -19.3959923743843|    1.056 0.212   |9.27     |~                 |    ~     ~    
531 |HD 37115                                                                                                                                                                       |Be Star                               |05 35 54.078288 -05 37 42.31308        |209.311196866 -19.352698045        |      -4.2 -8.9   |8.77     |B7Ve              |    ~     ~    
532 |TYC 4778-161-1                                                                                                                                                                 |Star                                  |05 32 14.3294806392 -07 24 03.958441596|210.5674258501951 -20.9587128553266| 32.040 -18.957   |10.51    |~                 |    ~     ~    
533 |TYC 4778-220-1                                                                                                                                                                 |Star                                  |05 37 05.9426185752 -07 27 56.154596940|211.1976337058234 -19.9065421460329|   -7.978 2.191   |10.71    |F8.0              |    ~     ~    
534 |TYC 4778-235-1                                                                                                                                                                 |High Proper Motion Star               |05 31 50.5565671176 -07 28 43.037945256|210.5953465712543 -21.0810956742678|113.510 -70.051   |10.66    |~                 |    ~     ~    
535 |TYC 4778-260-1                                                                                                                                                                 |Star                                  |05 33 45.9787495776 -07 29 18.995883360|210.8305484330460 -20.6578146621727|  33.769 -0.732   |10.53    |~                 |    ~     ~    
536 |V* V1643 Ori                                                                                                                                                                   |delta Sct Variable                    |05 32 34.4583461640 -07 12 40.087430028|210.4246148316799 -20.7999599695164|  5.623 -15.810   |10.24    |~                 |    ~     ~    
537 |TYC 4778-856-1                                                                                                                                                                 |Star                                  |05 32 42.1933332936 -07 01 55.079412204|210.2681359166919 -20.6917429692107|   12.550 3.073   |10.29    |~                 |    ~     ~    
538 |TYC 5333-265-1                                                                                                                                                                 |Star                                  |05 32 30.2501027112 -08 21 04.798556604|211.5132746357244 -21.3178521478577| 25.676 -14.780   |10.46    |~                 |    ~     ~    
539 |TYC 5333-388-1                                                                                                                                                                 |Star                                  |05 34 49.1820430464 -08 16 44.444785656|211.7121224848263 -20.7711476588811|   0.866 -2.049   |10.57    |~                 |    ~     ~    
540 |TYC 5333-414-1                                                                                                                                                                 |Star                                  |05 30 57.6397609800 -07 38 54.126398976|210.6550893482174 -21.3521756053534| -4.305 -23.086   |10.84    |~                 |    ~     ~    
541 |TYC 5333-548-1                                                                                                                                                                 |Star                                  |05 32 55.3898874048 -08 11 11.924662416|211.4031242250803 -21.1525467196564|  -0.683 -4.966   |10.40    |~                 |    ~     ~    
542 |TYC 5333-663-1                                                                                                                                                                 |Star                                  |05 34 56.1167196672 -07 41 53.537369532|211.1679920098197 -20.4903697052141|  8.108 -15.197   |10.25    |~                 |    ~     ~    
543 |GSC 05333-00666                                                                                                                                                                |Double or Multiple Star               |05 36 52.7005376064 -07 58 00.677528436|211.6510458847450 -20.1763747581142|  14.194 19.682   |10.490   |~                 |    ~     ~    
544 |TYC 5333-765-1                                                                                                                                                                 |Star                                  |05 32 15.8148366216 -08 04 41.530103184|211.2217953863946 -21.2516776456561|  17.044 -2.430   |10.84    |~                 |    ~     ~    
545 |TYC 5333-776-1                                                                                                                                                                 |Star                                  |05 35 40.3042460400 -08 04 41.786498100|211.6180155465402 -20.4936696456297| -36.884 17.578   |10.61    |~                 |    ~     ~    
546 |TYC 5333-824-1                                                                                                                                                                 |Star                                  |05 32 09.0808876488 -08 03 01.874614464|211.1820207100101 -21.2644840988621|    5.138 0.587   |10.73    |~                 |    ~     ~    
547 |TYC 5333-854-1                                                                                                                                                                 |Star                                  |05 34 59.2334040744 -08 02 04.958380392|211.4968041619722 -20.6268139430844|   7.542 -0.555   |10.39    |~                 |    ~     ~    
548 |TYC 4778-19-1                                                                                                                                                                  |Star                                  |05 32 06.8491728672 -07 17 51.883492992|210.4535428650053 -20.9406491363591| -7.429 -23.365   |10.0     |~                 |    ~     ~    
549 |BD-07 1110                                                                                                                                                                     |High Proper Motion Star               |05 32 26.8646270160 -07 14 19.184644140|210.4361147061239 -20.8403020415752|-12.907 -172.988  |10.936   |M0.5V             |    ~     ~    
