C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:15:41

Vmag< 11&dec< 0&rah >=5.5&rah< 5.75
-----------------------------------

Number of objects : 5061

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
31  |HD 290662                                                                                                                                                                      |Star                                  |05 35 55.5048586944 -00 46 39.293735808|204.7848947778338 -17.1050144131117|    2.942 0.782   |9.83     |~                 |    ~     ~    
32  |HD 37111                                                                                                                                                                       |Star                                  |05 36 05.8734764952 -00 19 41.553491340|204.3925393835137 -16.8540407392041|  -1.358 -0.647   |8.83     |A0V               |    ~     ~    
33  |HD 37112                                                                                                                                                                       |Star                                  |05 36 03.5827791168 -00 46 47.854332012|204.8037380106053 -17.0764853784139|   0.701 -0.640   |8.00     |B7/8II/III        |    ~     ~    
34  |HD 290658                                                                                                                                                                      |Star                                  |05 36 15.2521090656 -00 24 45.926285796|204.4896790270955 -16.8597619127943|  3.090 -16.203   |10.15    |F2                |    ~     ~    
35  |HD 290660                                                                                                                                                                      |Star                                  |05 36 29.7442558464 -00 36 25.078701888|204.6983007999800 -16.8986112669404|   -0.865 1.294   |10.8     |A3                |    ~     ~    
36  |HD 290657                                                                                                                                                                      |Star                                  |05 36 45.0269381496 -00 23 40.186483620|204.5343365160879 -16.7418791039982|   -0.688 0.525   |9.42     |B9                |    ~     ~    
37  |HD 37235                                                                                                                                                                       |Star                                  |05 36 57.3720663192 -00 42 06.947220276|204.8426309141217 -16.8421203484086|  -0.910 -0.537   |8.13     |B8IV/V            |    ~     ~    
38  |HD 290732                                                                                                                                                                      |Double or Multiple Star               |05 37 12.3316578168 -00 22 57.270890532|204.5796768123975 -16.6360544982408|   -0.612 0.643   |10.11    |A0                |    ~     ~    
39  |HD 37256                                                                                                                                                                       |Star                                  |05 37 12.0668141808 -00 11 46.591604448|204.4079927191002 -16.5486646630705|  -2.103 -2.117   |8.93     |A0V               |    ~     ~    
40  |HD 37257                                                                                                                                                                       |Star                                  |05 37 11.8262667360 -00 27 33.778525896|204.6492382315626 -16.6742977916383|   0.012 -6.253   |8.63     |B9V               |    ~     ~    
41  |HD 290730                                                                                                                                                                      |Red Giant Branch star Candidate       |05 37 16.2603375696 -00 13 55.851438036|204.4496136618323 -16.5503249347160|   -1.464 3.933   |9.66     |K0                |    ~     ~    
42  |HD 37284                                                                                                                                                                       |Star                                  |05 37 23.2312152696 -00 41 50.891723916|204.8917162902680 -16.7450677207709|  -0.762 -0.193   |8.96     |A0V               |    ~     ~    
43  |HD 290748                                                                                                                                                                      |Star                                  |05 37 28.9094490456 -00 55 47.315140896|205.1173249665375 -16.8338884065336|  -0.931 -0.667   |10.31    |A3                |    ~     ~    
44  |HD 290517                                                                                                                                                                      |Variable Star                         |05 30 10.2018386856 -01 01 40.971783468|204.3004930301611 -18.4904907124320|   -0.521 0.662   |8.98     |A0                |    ~     ~    
45  |HD 290516                                                                                                                                                                      |Star                                  |05 30 16.4959657344 -00 53 29.437632816|204.1869813048720 -18.4025409907224|   -1.107 0.220   |9.51     |B9                |    ~     ~    
46  |HD 290540                                                                                                                                                                      |Star                                  |05 31 31.3594334784 -01 49 33.282752592|205.2105658882794 -18.5697629493749|   0.100 -0.495   |9.56     |A2                |    ~     ~    
47  |HD 36444                                                                                                                                                                       |Star                                  |05 31 40.4818564152 -01 07 33.281183208|204.5791885996210 -18.2057902685386|    0.270 1.846   |9.00     |B9V               |    ~     ~    
48  |HD 36456                                                                                                                                                                       |Star                                  |05 31 42.8900755344 -01 52 35.333890428|205.2814673217826 -18.5511762400469|   0.332 22.851   |8.12     |K2III             |    ~     ~    
49  |HD 36502                                                                                                                                                                       |Star                                  |05 32 04.0498929912 -01 28 44.702301720|204.9557480242639 -18.2862424790734|   0.290 -1.853   |9.21     |B9IV/V            |    ~     ~    
50  |HD 290598                                                                                                                                                                      |Star                                  |05 32 05.2575533184 -01 37 13.756981224|205.0895984862544 -18.3484844723572|   0.013 -0.349   |9.84     |A0                |    ~     ~    
51  |V* V1099 Ori                                                                                                                                                                   |Pulsating Variable                    |05 32 13.0812769464 -01 36 01.745707500|205.0871887630817 -18.3103172310282|   0.465 -1.748   |8.29     |B8II              |    ~     ~    
52  |HD 290610                                                                                                                                                                      |Star                                  |05 32 40.8219648630 -01 48 34.027715336|205.3386716986766 -18.3067318336798|  -0.456 -0.169   |10.2     |A0                |    ~     ~    
53  |HD 36591                                                                                                                                                                       |Variable Star                         |05 32 41.3510096736 -01 35 30.595447356|205.1375674529184 -18.2023830665609|   1.919 -1.626   |5.340    |B2II/III          |    ~     ~    
54  |HD 36590                                                                                                                                                                       |Star                                  |05 32 46.1874528552 -01 01 58.499356116|204.6293818001153 -17.9206654916061|   0.192 -0.374   |9.36     |B9V               |    ~     ~    
55  |HD 36628                                                                                                                                                                       |Star                                  |05 33 03.6620177976 -01 14 27.761847756|204.8583188866047 -17.9549599925893|   -2.620 0.717   |7.95     |B9IV/V            |    ~     ~    
56  |HD 36646                                                                                                                                                                       |Double or Multiple Star               |05 33 07.34558 -01 43 02.4952          |205.30777954 -18.16594068          |      0.08 0.38   |6.46     |B3V               |    ~     ~    
57  |HD 290609                                                                                                                                                                      |Double or Multiple Star               |05 33 05.58667 -01 43 15.8315          |205.30759460 -18.17414773          |   -8.39 -31.37   |9.07     |B8                |    ~     ~    
58  |HD 290608                                                                                                                                                                      |Star                                  |05 33 15.4017290376 -01 43 12.495622440|205.3269635205640 -18.1376359203371|   1.130 -0.239   |9.19     |B8                |    ~     ~    
59  |HD 36684                                                                                                                                                                       |Double or Multiple Star               |05 33 25.2035679480 -01 03 31.442230008|204.7340917580750 -17.7896983285492|   -1.489 1.237   |8.63     |B9V               |    ~     ~    
60  |HD 290600                                                                                                                                                                      |Star                                  |05 33 28.5174472416 -01 30 54.421182108|205.1637257606897 -17.9929519919873|   0.283 -0.409   |10.8     |A5                |    ~     ~    
61  |HD 290603                                                                                                                                                                      |Star                                  |05 33 38.2226718312 -01 35 26.935233756|205.2539539369182 -17.9929276281289|   -0.893 0.922   |10.3     |A2                |    ~     ~    
62  |BD-01 945                                                                                                                                                                      |Star                                  |05 33 41.6869476768 -01 25 28.757900496|205.1070192930562 -17.9019457091292|  -5.111 -4.014   |10.5     |~                 |    ~     ~    
63  |HD 290606                                                                                                                                                                      |Star                                  |05 33 49.1150456568 -01 43 16.305722976|205.3973744818201 -18.0142043983256| 14.103 -20.374   |8.83     |K0                |    ~     ~    
64  |HD 290602                                                                                                                                                                      |Star                                  |05 33 50.0526473496 -01 33 07.937023752|205.2425188486731 -17.9312811767724|   0.372 -0.227   |10.5     |A3                |    ~     ~    
65  |HD 36781                                                                                                                                                                       |Variable Star                         |05 34 00.4691302464 -01 45 16.169107464|205.4516387996414 -17.9881038135317|   1.058 -2.041   |8.50     |B8III/IV          |    ~     ~    
66  |HD 290605                                                                                                                                                                      |Star                                  |05 34 01.3721016456 -01 43 15.219152580|205.4223142850226 -17.9690010788347|   -0.182 0.233   |10.1     |A0                |    ~     ~    
67  |HD 36779                                                                                                                                                                       |Eclipsing Binary                      |05 34 03.8907558912 -01 02 08.616145200|204.7928246242339 -17.6368101972177|   2.804 -2.540   |6.22     |B2/3IV/V          |    ~     ~    
