C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 7999-1246-1                                                                                                                             |Star                                  |22 17 28.5951929520 -41 22 24.035589840|358.4795839544008 -55.5007939805751|   7.190 -1.943   |10.37    |~              |    ~     ~    |    1|  986.875   pc  | -14.0245    +14.0245  |paral   |2020yCat.1350....0G
23  |HD 211655                                                                                                                                   |Star                                  |22 19 22.0076012568 -40 17 02.489857296|000.2516506359023 -56.0679430838738|  10.023 -1.281   |7.82     |M0III          |    ~     ~    |    1|  616.561   pc  |  -8.2872     +8.2872  |paral   |2020yCat.1350....0G
24  |HD 211846                                                                                                                                   |Star                                  |22 20 46.6490034648 -40 03 41.794512876|000.5529819062854 -56.3745676842654| 11.586 -10.433   |8.99     |F2V            |    ~     ~    |    1|  324.760   pc  |  -8.0473     +8.0473  |paral   |2020yCat.1350....0G
25  |HD 211614                                                                                                                                   |Spectroscopic Binary                  |22 19 11.8508838264 -41 17 40.666475004|358.4950902332790 -55.8331793133419| 35.206 -17.467   |9.87     |G3V            |    ~     ~    |    1|  134.347   pc  |  -3.0470     +3.0470  |ST-L    |2020AJ....160...83S
26  |HD 211875                                                                                                                                   |Star                                  |22 21 06.5663207784 -40 50 18.370033548|359.1572018656100 -56.2818537643221|  20.516 -8.931   |9.59     |G8/K0III       |    ~     ~    |    1|  511.483   pc  |  -3.8196     +3.8196  |paral   |2020yCat.1350....0G
27  |HD 211700                                                                                                                                   |High Proper Motion Star               |22 19 47.2424722272 -41 39 08.365422672|357.8303000506232 -55.8626803079174|  108.578 9.069   |9.03     |G3V            |    ~     ~    |    1|  241.505   pc  |  -1.0265     +1.0265  |paral   |2020yCat.1350....0G
28  |HD 211847                                                                                                                                   |High Proper Motion Star               |22 20 55.7384451240 -41 25 48.384652332|358.1319912325370 -56.1206319295364|   44.429 9.664   |8.62     |G5V            |    ~     ~    |    1|   48.726   pc  |  -0.0800     +0.0800  |paral   |2020yCat.1350....0G
29  |CD-42 15871                                                                                                                                 |Star                                  |22 19 33.4101645600 -41 35 54.641891328|357.9408723002737 -55.8327046213564| 41.665 -21.088   |10.780   |~              |    ~     ~    |    1|  187.033   pc  |  -2.1020     +2.1020  |ST-L    |2020AJ....160...83S
30  |CD-41 14843                                                                                                                                 |Star                                  |22 20 13.3656394032 -41 02 47.381122968|358.8550293962721 -56.0744013687459|   -6.134 4.386   |9.82     |~              |    ~     ~    |    1| 1338.151   pc  | -28.2922    +28.2922  |paral   |2020yCat.1350....0G
31  |CD-40 14743                                                                                                                                 |Star                                  |22 21 01.5801395952 -40 01 47.371735596|000.5931499686010 -56.4273349194990|   -0.427 9.037   |10.24    |~              |    ~     ~    |    1|  740.337   pc  | -26.1200    +26.1200  |ST-L    |2020AJ....160...83S
