C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
802 |HD 211188                                                                                                                                   |High Proper Motion Star               |22 15 44.5225102200 -18 08 40.967603988|038.6656081987155 -53.1266879419026|171.988 -162.189  |9.66     |K2V            |    ~     ~    |    1|   49.762   pc  |  -0.1629     +0.1629  |ST-L    |2020AJ....160...83S
803 |HD 211464                                                                                                                                   |Star                                  |22 17 32.6902151304 -18 09 42.725701404|038.8992694871664 -53.5319450177226|  15.503 12.777   |8.41     |K0III          |    ~     ~    |    1|  289.210   pc  |  -1.8485     +1.8485  |paral   |2020yCat.1350....0G
804 |HD 211545                                                                                                                                   |Star                                  |22 18 05.8748436672 -17 58 56.054772264|039.2616587701834 -53.5886286676638| 24.641 -23.233   |9.74     |F6V            |    ~     ~    |    1|  168.754   pc  |  -0.5980     +0.5980  |paral   |2020yCat.1350....0G
805 |HD 211216                                                                                                                                   |High Proper Motion Star               |22 15 54.4940834544 -19 03 46.314306144|037.2514521502632 -53.4880531529721| 72.382 -90.097   |8.92     |G3V            |    ~     ~    |    1|   81.294   pc  |  -0.1170     +0.1170  |paral   |2020yCat.1350....0G
806 |HD 211437                                                                                                                                   |Star                                  |22 17 19.5901607328 -18 47 55.825989864|037.8648990525311 -53.7109307531570|-14.965 -25.925   |9.80     |G1V            |    ~     ~    |    1|  269.860   pc  |  -5.5950     +5.5950  |ST-L    |2020AJ....160...83S
807 |HD 211568                                                                                                                                   |High Proper Motion Star               |22 18 16.6777882704 -19 12 03.698967780|037.3568654646170 -54.0611875296852|-23.692 -47.663   |9.92     |G8IV           |    ~     ~    |    1|  276.702   pc  |  -1.4241     +1.4241  |paral   |2020yCat.1350....0G
808 |HD 211632                                                                                                                                   |Star                                  |22 18 44.5385550696 -19 05 49.684502868|037.5874738507525 -54.1284939172695|  34.613 -3.216   |10.51    |F6/8V          |    ~     ~    |    1|  315.507   pc  |  -2.0108     +2.0108  |paral   |2020yCat.1350....0G
809 |HD 211156                                                                                                                                   |Star                                  |22 15 33.3839367144 -19 38 27.522090492|036.2885052813833 -53.6053139625966|-20.607 -35.597   |9.07     |G0V            |    ~     ~    |    1|  108.321   pc  |  -0.1959     +0.1959  |paral   |2020yCat.1350....0G
810 |HD 211279                                                                                                                                   |Star                                  |22 16 21.4374489240 -19 31 53.336636976|036.5688794781662 -53.7467039877980| 23.164 -10.471   |9.94     |K0             |    ~     ~    |    1|  661.288   pc  |  -6.2971     +6.2971  |paral   |2020yCat.1350....0G
811 |HD 211280                                                                                                                                   |Star                                  |22 16 21.8829535560 -19 39 39.412898028|036.3633235356986 -53.7914713972025| 25.079 -28.988   |7.86     |K3III          |    ~     ~    |    1|  333.912   pc  |  -2.7874     +2.7874  |paral   |2020yCat.1350....0G
812 |HD 211438                                                                                                                                   |Star                                  |22 17 22.7152257912 -19 23 57.659808768|036.9168732657864 -53.9290369366683|  35.468 24.594   |9.81     |G3V            |    ~     ~    |    1|  169.033   pc  |  -0.4229     +0.4229  |paral   |2020yCat.1350....0G
813 |HD 211578                                                                                                                                   |Star                                  |22 18 29.7820716648 -19 36 38.956588092|036.7279638192789 -54.2481406036850|   38.763 4.120   |10.06    |F6V            |    ~     ~    |    1|  185.870   pc  |  -0.5735     +0.5735  |paral   |2020yCat.1350....0G
814 |HD 211083                                                                                                                                   |Star                                  |22 15 05.0270755488 -19 53 44.159127792|035.8217272090813 -53.5840953921439| 28.354 -12.033   |8.66     |K1/2III        |    ~     ~    |    1|  323.217   pc  |  -2.9774     +2.9774  |paral   |2020yCat.1350....0G
815 |HD 211255                                                                                                                                   |High Proper Motion Star               |22 16 11.4518874168 -19 58 40.319285520|035.8334282424900 -53.8568867198521|41.045 -106.605   |9.10     |G5V            |    ~     ~    |    1|  119.883   pc  |  -1.3010     +1.3010  |ST-L    |2020AJ....160...83S
816 |HD 211270                                                                                                                                   |High Proper Motion Star               |22 16 18.2167499208 -20 01 18.037438248|035.7777088741161 -53.8961542271046| 70.180 -10.165   |9.12     |G1V            |    ~     ~    |    1|   83.633   pc  |  -0.1357     +0.1357  |paral   |2020yCat.1350....0G
817 |HD 211363                                                                                                                                   |High Proper Motion Star               |22 16 55.0475218968 -20 01 31.733737140|035.8510075923229 -54.0337931287858|113.237 -56.697   |7.34     |A2V            |    ~     ~    |    1|  117.100   pc  |  -3.0209     +3.0209  |paral   |2020yCat.1350....0G
818 |BD-18 6091                                                                                                                                  |Star                                  |22 15 36.4739023200 -17 58 09.421045932|038.9182101536547 -53.0330519786499|  12.335 -3.897   |10.24    |~              |    ~     ~    |    1| 1199.616   pc  | -30.7963    +30.7963  |paral   |2020yCat.1350....0G
819 |BD-19 6257                                                                                                                                  |Star                                  |22 17 53.9181947400 -19 02 32.641206756|037.5578287031245 -53.9225077099189|   18.024 1.870   |10.66    |~              |    ~     ~    |    1|  248.503   pc  |  -1.1918     +1.1918  |paral   |2020yCat.1350....0G
820 |BD-18 6098                                                                                                                                  |Star                                  |22 17 59.4980089512 -18 11 52.441194552|038.9076699624238 -53.6439075173503| 16.379 -29.127   |10.49    |~              |    ~     ~    |    1|  867.002   pc  | -13.7560    +13.7560  |paral   |2020yCat.1350....0G
821 |BD-19 6252                                                                                                                                  |Star                                  |22 15 43.9023834072 -18 29 35.593965456|038.1213317058439 -53.2495978974907|  12.818 -2.741   |10.49    |~              |    ~     ~    |    1|  793.462   pc  |  -9.8215     +9.8215  |paral   |2020yCat.1350....0G
822 |TYC 6381-168-1                                                                                                                              |Star                                  |22 17 39.2803774944 -18 01 40.430948772|039.1250817300240 -53.5073529949405|   3.926 -6.254   |10.842   |~              |    ~     ~    |    1|  537.327   pc  | -26.2600    +26.2600  |ST-L    |2020AJ....160...83S
823 |TYC 6381-515-1                                                                                                                              |Star                                  |22 15 51.5405169120 -17 56 07.720514844|039.0069679919138 -53.0762192014180|   4.483 -4.558   |10.599   |~              |    ~     ~    |    1|  503.021   pc  | -17.6600    +17.6600  |ST-L    |2020AJ....160...83S
824 |TYC 6381-595-1                                                                                                                              |Star                                  |22 15 14.9313899640 -17 49 53.501039796|039.0788155138955 -52.9029888163388|  -8.864 -5.771   |10.723   |~              |    ~     ~    |    1| 1566.360   pc  |-300.1000   +300.1000  |ST-L    |2020AJ....160...83S
825 |TYC 6381-603-1                                                                                                                              |Star                                  |22 16 36.0833071056 -17 58 31.263290400|039.0531511235361 -53.2550914012929|  23.013 -9.827   |10.64    |~              |    ~     ~    |    1|  513.268   pc  |  -5.0318     +5.0318  |paral   |2020yCat.1350....0G
826 |HD 211633                                                                                                                                   |Star                                  |22 18 48.6576468432 -20 13 49.303357248|035.7640496689559 -54.5205651101855|   18.264 1.106   |8.41     |K2/3IIICNII    |    ~     ~    |    1|  512.768   pc  | -22.9539    +22.9539  |paral   |2020yCat.1350....0G
827 |BD-21 6199                                                                                                                                  |Star                                  |22 18 59.8543517256 -20 22 57.802543860|035.5389880590288 -54.6105768918602|  3.931 -17.479   |10.82    |~              |    ~     ~    |    1|  905.551   pc  | -17.0565    +17.0565  |paral   |2020yCat.1350....0G
828 |TYC 6384-1549-1                                                                                                                             |Star                                  |22 20 58.2611163168 -20 26 39.424082136|035.6917318778637 -55.0686671160614|   2.302 -6.094   |10.753   |~              |    ~     ~    |    1| 1617.320   pc  |-175.8000   +175.8000  |ST-L    |2020AJ....160...83S
829 |HD 212323                                                                                                                                   |Star                                  |22 23 45.2369092512 -20 37 00.065889840|035.7645440223916 -55.7413638510089| -8.047 -30.828   |8.16     |K1III          |    ~     ~    |    1|  288.342   pc  |  -2.1783     +2.1783  |paral   |2020yCat.1350....0G
830 |HD 213056                                                                                                                                   |Star                                  |22 29 09.4366031904 -20 46 07.405595184|036.2161648491417 -56.9893455029601|   3.452 -6.943   |9.912    |K1(III)        |    ~     ~    |    1|  596.652   pc  | -21.5800    +21.5800  |ST-L    |2020AJ....160...83S
831 |BD-21 6218                                                                                                                                  |Star                                  |22 25 19.8498728304 -20 27 40.535439336|036.2350756195659 -56.0427280872803| 11.246 -29.671   |10.50    |~              |    ~     ~    |    1|  245.761   pc  |  -0.8999     +0.8999  |paral   |2020yCat.1350....0G
832 |BD-21 6219                                                                                                                                  |High Proper Motion Star               |22 25 39.2367607008 -20 36 26.734326156|036.0291985078048 -56.1606387108454| 20.802 -44.639   |10.392   |~              |    ~     ~    |    1|  147.202   pc  |  -1.3280     +1.3280  |ST-L    |2020AJ....160...83S
833 |BD-21 6228                                                                                                                                  |Star                                  |22 28 00.6700212096 -20 43 13.073210256|036.1475276701329 -56.7196517637508|    4.073 3.087   |10.93    |~              |    ~     ~    |    1|  193.024   pc  |  -0.5626     +0.5626  |paral   |2020yCat.1350....0G
834 |NGC 7293                           NAME HELICAL NEB                   NAME Helix Nebula                  NGC 7293                           |Planetary Nebula                      |22 29 38.5454047152 -20 50 13.747242408|036.1613363573655 -57.1183735402488|  38.790 -3.347   |13.524   |DAO.5          |13.400 13.400  |    1|    0.160   kpc |  -0.032      +0.032   |        |2010ApJ...714.1096S
835 |HD 211777                                                                                                                                   |Star                                  |22 19 47.4910946976 -18 14 37.836088152|039.0982622096288 -54.0588165680263| -7.841 -18.800   |9.94     |K1III          |    ~     ~    |    1|  491.063   pc  |  -5.1122     +5.1122  |paral   |2020yCat.1350....0G
836 |HD 211752                                                                                                                                   |Double or Multiple Star               |22 19 33.8942 -18 53 05.207            |038.0431408 -54.2371304            |     24.4 -35.1   |10.69    |G5/6V          |    ~     ~    |    0|                |                       |        |                   
837 |HD 211871                                                                                                                                   |High Proper Motion Star               |22 20 30.5339028048 -18 44 14.829119592|038.4142036251411 -54.3944856662770|-13.669 -49.942   |10.296   |F8V            |    ~     ~    |    1|  204.789   pc  |  -2.6850     +2.6850  |ST-L    |2020AJ....160...83S
838 |HD 211991                                                                                                                                   |Star                                  |22 21 24.0979379904 -18 30 20.693795652|038.9161587177818 -54.5096175354081|  39.351 14.723   |8.27     |K3III          |    ~     ~    |    1|  512.321   pc  |  -9.0028     +9.0028  |paral   |2020yCat.1350....0G
839 |HD 211762                                                                                                                                   |Star                                  |22 19 44.9256685968 -19 28 57.381894768|037.1050793066934 -54.4831373668736|  0.014 -11.002   |10.134   |G8V            |    ~     ~    |    1|  743.914   pc  | -31.0500    +31.0500  |ST-L    |2020AJ....160...83S
840 |HD 211910                                                                                                                                   |Star                                  |22 20 51.1876409304 -19 56 02.205788388|036.5180833298550 -54.8782355035087|   16.661 9.213   |9.25     |G5V            |    ~     ~    |    1|   66.793   pc  |  -0.0665     +0.0665  |paral   |2020yCat.1350....0G
841 |HD 212065                                                                                                                                   |Star                                  |22 21 50.6910501384 -18 02 45.615310800|039.7190315075086 -54.4403347824276|  11.901 -5.553   |10.21    |F3V            |    ~     ~    |    1|  361.128   pc  |  -2.1649     +2.1649  |paral   |2020yCat.1350....0G
842 |HD 212532                                                                                                                                   |Star                                  |22 25 13.2396492336 -18 55 25.623087888|038.7954612628799 -55.5034351988674|   9.129 -1.189   |9.75     |K1(III)        |    ~     ~    |    1|  634.478   pc  |  -6.6423     +6.6423  |paral   |2020yCat.1350....0G
843 |HD 212561                                                                                                                                   |Eclipsing Binary                      |22 25 29.4820819488 -18 40 33.780060948|039.2443828484414 -55.4753660516334| 16.365 -14.717   |10.62    |F3/5V          |    ~     ~    |    1|  440.330   pc  | -16.6500    +16.6500  |ST-L    |2020AJ....160...83S
844 |HD 212641                                                                                                                                   |High Proper Motion Star               |22 26 04.5783536856 -18 21 22.561595856|039.8590115497010 -55.4889976481317|-45.586 -35.782   |8.76     |F5V            |    ~     ~    |    1|  132.749   pc  |  -0.3066     +0.3066  |paral   |2020yCat.1350....0G
845 |HD 212658                                                                                                                                   |High Proper Motion Star               |22 26 13.5283494312 -19 11 18.332713212|038.5030576666234 -55.8184050735191|235.022 -24.894   |9.31     |K4.5Vk         |    ~     ~    |    1|   25.535   pc  |  -0.0143     +0.0143  |paral   |2020yCat.1350....0G
846 |HD 212674                                                                                                                                   |Star                                  |22 26 17.5641332136 -18 33 48.017956068|039.5508996679391 -55.6120212436171|   29.064 9.505   |8.15     |F3V            |    ~     ~    |    1|  180.291   pc  |  -1.3327     +1.3327  |paral   |2020yCat.1350....0G
847 |HD 212700                                                                                                                                   |Star                                  |22 26 27.4257401064 -18 40 29.119114956|039.3914911154479 -55.6884404557079|  33.655 -0.418   |9.62     |K1(III)        |    ~     ~    |    1|  239.929   pc  |  -0.9729     +0.9729  |paral   |2020yCat.1350....0G
848 |HD 212720                                                                                                                                   |Star                                  |22 26 39.4577707200 -19 01 09.404381676|038.8487771508616 -55.8550469310631|   9.656 -3.155   |9.97     |F6/7V          |    ~     ~    |    1|  275.323   pc  |  -1.6373     +1.6373  |paral   |2020yCat.1350....0G
849 |HD 212719                                                                                                                                   |High Proper Motion Star               |22 26 44.0123852136 -18 39 07.873904772|039.4706093228140 -55.7414518954443|-41.313 -51.634   |9.37     |F6V            |    ~     ~    |    1|  107.350   pc  |  -0.1959     +0.1959  |paral   |2020yCat.1350....0G
850 |HD 212742                                                                                                                                   |Star                                  |22 26 50.3567316432 -19 00 23.802564420|038.8967965652533 -55.8907971479524|  -7.545 -6.490   |10.61    |G3(V)          |    ~     ~    |    1|  227.118   pc  |  -1.0626     +1.0626  |paral   |2020yCat.1350....0G
851 |HD 212819                                                                                                                                   |Star                                  |22 27 20.3544660768 -18 56 38.945379084|039.0755021644341 -55.9794110689643|-16.706 -32.416   |9.621    |F7/8V          |    ~     ~    |    1|  243.425   pc  |  -4.1610     +4.1610  |ST-L    |2020AJ....160...83S
852 |HD 213031                                                                                                                                   |Star                                  |22 28 50.0017859064 -18 43 21.130942296|039.6726678276315 -56.2308000549977| 11.057 -14.633   |9.25     |G8III          |    ~     ~    |    1|  472.411   pc  |  -4.0617     +4.0617  |paral   |2020yCat.1350....0G
853 |HD 213149                                                                                                                                   |Spectroscopic Binary                  |22 29 37.6859041800 -19 01 22.938800952|039.2865413028120 -56.5135041343068|-65.968 -40.316   |10.27    |F8             |    ~     ~    |    1|   90.006   pc  |  -2.5180     +2.5180  |ST-L    |2020AJ....160...83S
854 |HD 213150                                                                                                                                   |Star                                  |22 29 42.0347367456 -19 01 43.014731268|039.2880441356907 -56.5315001820582|   12.291 0.164   |10.604   |G5/6V          |    ~     ~    |    1|  287.659   pc  |  -5.2660     +5.2660  |ST-L    |2020AJ....160...83S
855 |HD 213183                                                                                                                                   |High Proper Motion Star               |22 29 51.0560828928 -18 53 31.307873856|039.5424291939095 -56.5163101774416|-41.870 -70.895   |10.043   |G3V            |    ~     ~    |    1|  173.285   pc  |  -2.0170     +2.0170  |ST-L    |2020AJ....160...83S
856 |HD 213182                                                                                                                                   |High Proper Motion Star               |22 29 58.5545191656 -18 18 53.727682464|040.5342924531639 -56.3344915691412| 80.524 -49.343   |9.88     |G6V            |    ~     ~    |    1|   94.151   pc  |  -0.8531     +0.8531  |ST-L    |2020AJ....160...83S
857 |HD 212175                                                                                                                                   |Star                                  |22 22 39.0882765456 -19 20 59.242017660|037.7241630866611 -55.0819718177380|   11.548 2.075   |8.76     |K0III/IV       |    ~     ~    |    1|  393.066   pc  |  -3.3990     +3.3990  |paral   |2020yCat.1350....0G
858 |HD 212293                                                                                                                                   |Star                                  |22 23 32.8019018664 -19 41 53.918182248|037.2736641282459 -55.3981881305733|  19.838 -1.253   |9.07     |K2III          |    ~     ~    |    1|  743.384   pc  | -15.4181    +15.4181  |paral   |2020yCat.1350....0G
859 |HD 212462                                                                                                                                   |Star                                  |22 24 45.2355256320 -19 35 43.030629456|037.6134628025872 -55.6314052424013| -22.208 -8.507   |9.41     |F7V            |    ~     ~    |    1|  214.795   pc  |  -0.8535     +0.8535  |paral   |2020yCat.1350....0G
860 |HD 212659                                                                                                                                   |Star                                  |22 26 13.4194460184 -19 16 20.809840188|038.3624252234311 -55.8470727911481| -9.788 -10.114   |9.29     |K0/1(III)      |    ~     ~    |    1|  460.299   pc  |  -3.5171     +3.5171  |paral   |2020yCat.1350....0G
861 |HD 212772                                                                                                                                   |Star                                  |22 27 02.5736097216 -19 20 22.953195600|038.3685825373684 -56.0517041455245| 14.138 -22.206   |8.20     |K3III          |    ~     ~    |    1|  395.413   pc  |  -3.5179     +3.5179  |paral   |2020yCat.1350....0G
862 |HD 212796                                                                                                                                   |High Proper Motion Star               |22 27 09.7930972056 -19 15 48.965857560|038.5140398922943 -56.0521021905223| 56.421 -97.497   |9.29     |F8/G0V         |    ~     ~    |    1|   96.278   pc  |  -0.7718     +0.7718  |ST-L    |2020AJ....160...83S
863 |HD 212865                                                                                                                                   |Star                                  |22 27 37.1499914136 -19 40 56.402178420|037.8728122503940 -56.2959717620933| -1.549 -35.154   |10.122   |F8/G0V         |    ~     ~    |    1|  192.748   pc  |  -2.2060     +2.2060  |ST-L    |2020AJ....160...83S
864 |HD 213151                                                                                                                                   |Star                                  |22 29 42.5135446128 -19 44 04.496934696|038.0836302158682 -56.7766322100280|  9.034 -23.111   |9.815    |A5/7+(F/K)     |    ~     ~    |    1|  199.235   pc  |  -2.3460     +2.3460  |ST-L    |2020AJ....160...83S
865 |HD 212126                                                                                                                                   |High Proper Motion Star               |22 22 22.4361458304 -20 10 16.687588512|036.3287996592498 -55.2931569161539|  66.839 -1.800   |8.03     |K0III          |    ~     ~    |    1|  277.909   pc  |  -1.7686     +1.7686  |paral   |2020yCat.1350....0G
866 |HD 212535                                                                                                                                   |Star                                  |22 25 20.6408029992 -20 01 50.784156732|036.9651546905157 -55.9069305164958|    3.800 1.330   |9.01     |K0III          |    ~     ~    |    1|  408.931   pc  |  -7.0903     +7.0903  |paral   |2020yCat.1350....0G
867 |BD-20 6423B                                                                                                                                 |Star                                  |22 25 48.2730986568 -20 14 19.287317184|036.6763860724794 -56.0767219251993|  -5.299 -6.891   |7.97     |~              |    ~     ~    |    1|  184.240   pc  |  -1.4325     +1.4325  |paral   |2020yCat.1350....0G
868 |HD 212614                                                                                                                                   |Star                                  |22 25 56.5 -20 14 05                   |036.7017 -56.1059                  |            ~ ~   |10.1     |G1/2V          |    ~     ~    |    0|                |                       |        |                   
869 |HD 212820                                                                                                                                   |High Proper Motion Star               |22 27 20.2711772184 -19 51 43.840419912|037.5274975407780 -56.2937163679295| 91.439 -17.722   |10.032   |G6(V)          |    ~     ~    |    1|  452.336   pc  | -12.5100    +12.5100  |ST-L    |2020AJ....160...83S
870 |HD 212970                                                                                                                                   |Star                                  |22 28 25.2195001344 -20 07 01.816587444|037.2433974712718 -56.6178344908780|  -0.744 -3.367   |9.592    |F6V            |    ~     ~    |    1|   79.298   pc  |  -3.5780     +3.5780  |ST-L    |2020AJ....160...83S
871 |HD 213168                                                                                                                                   |Spectroscopic Binary                  |22 29 53.2146860040 -19 54 36.778040100|037.8067706148015 -56.8748987696018|141.803 -64.183   |9.20     |G8IV           |    ~     ~    |    1|   59.875   pc  |  -1.8387     +1.8387  |paral   |2020yCat.1350....0G
872 |V* KU Aqr                                                                                                                                   |Long-Period Variable                  |22 23 30.3762642648 -20 18 49.793816988|036.2413370855813 -55.5904721134677| 11.723 -26.706   |8.23     |M3III          |    ~     ~    |    1|  845.166   pc  | -17.6433    +17.6433  |paral   |2020yCat.1350....0G
873 |HD 212783                                                                                                                                   |High Proper Motion Star               |22 27 07.0944389808 -20 19 07.575074292|036.7184411636226 -56.3941664347501| 95.991 -31.012   |9.273    |F3V            |    ~     ~    |    1|  158.069   pc  |  -1.5580     +1.5580  |ST-L    |2020AJ....160...83S
874 |HD 212949                                                                                                                                   |High Proper Motion Star               |22 28 10.3598456568 -20 22 55.340884524|036.7535441648182 -56.6485524551340|-26.023 -54.650   |9.18     |G1/2V          |    ~     ~    |    1|  123.879   pc  |  -0.4757     +0.4757  |paral   |2020yCat.1350....0G
875 |HD 213055                                                                                                                                   |Star                                  |22 29 06.4306367400 -20 24 31.952894292|036.8350656612978 -56.8645991428840|   31.750 0.572   |8.21     |A6/7V          |    ~     ~    |    1|  205.871   pc  |  -1.3647     +1.3647  |paral   |2020yCat.1350....0G
876 |BD-18 6113                                                                                                                                  |Star                                  |22 24 10.5496125696 -18 12 43.541636616|039.8045096227566 -55.0164084986669|    7.344 3.963   |10.29    |~              |    ~     ~    |    1|  722.282   pc  |  -7.6167     +7.6167  |paral   |2020yCat.1350....0G
877 |BD-20 6421                                                                                                                                  |High Proper Motion Star               |22 25 20.8105152768 -19 36 05.687754264|037.6864439305205 -55.7650011083049|59.201 -136.386   |10.41    |~              |    ~     ~    |    1|   87.400   pc  |  -0.1482     +0.1482  |paral   |2020yCat.1350....0G
878 |BD-20 6437                                                                                                                                  |Star                                  |22 28 51.9783572712 -19 53 07.818240696|037.7038090906761 -56.6404075030234|  11.091 -2.906   |10.337   |~              |    ~     ~    |    1|  660.238   pc  | -23.1000    +23.1000  |ST-L    |2020AJ....160...83S
879 |CPD-19 8248                                                                                                                                 |Star                                  |22 28 55.0301955408 -18 54 21.116073096|039.3770368207997 -56.3148185658034|  3.402 -10.001   |10.738   |~              |    ~     ~    |    1|  227.473   pc  |  -3.0830     +3.0830  |ST-L    |2020AJ....160...83S
880 |BD-19 6283                                                                                                                                  |High Proper Motion Star               |22 29 40.6861806336 -18 22 13.747745964|040.3942029257408 -56.2892894521105|-57.759 -13.958   |10.59    |~              |    ~     ~    |    0|                |                       |        |                   
881 |BD-20 6410                                                                                                                                  |Star                                  |22 21 39.3906686712 -20 03 27.023279220|036.4218427727545 -55.0969598989793|-35.270 -13.250   |10.993   |~              |    ~     ~    |    1|  257.149   pc  |  -1.1836     +1.1836  |paral   |2020yCat.1350....0G
882 |BD-21 6215                                                                                                                                  |Star                                  |22 24 39.5074187304 -20 22 52.742104572|036.2809620554198 -55.8679529057484| 29.802 -13.313   |10.87    |~              |    ~     ~    |    1|  369.399   pc  |  -1.7876     +1.7876  |paral   |2020yCat.1350....0G
883 |BD-21 6221                                                                                                                                  |Star                                  |22 26 00.9302189016 -20 20 40.571257164|036.5250096442048 -56.1576059072230| -2.067 -43.300   |10.758   |~              |    ~     ~    |    1|  213.772   pc  |  -4.0980     +4.0980  |ST-L    |2020AJ....160...83S
884 |BD-20 6433                                                                                                                                  |Star                                  |22 27 46.6677416400 -20 08 04.126038288|037.1244265318735 -56.4809152859710|   3.240 13.486   |10.94    |~              |    ~     ~    |    1|  310.936   pc  |  -2.2623     +2.2623  |paral   |2020yCat.1350....0G
885 |BD-20 6435                                                                                                                                  |Star                                  |22 28 14.6556974112 -20 11 11.924352672|037.0995833832435 -56.6014047115884|   2.703 -0.706   |10.231   |~              |    ~     ~    |    1|  615.127   pc  | -25.9700    +25.9700  |ST-L    |2020AJ....160...83S
886 |BD-21 6231                                                                                                                                  |Star                                  |22 28 48.1368692880 -20 28 12.126814212|036.6874118354094 -56.8164383976725|-12.697 -28.249   |10.711   |~              |    ~     ~    |    1|  856.736   pc  |-160.2000   +160.2000  |ST-L    |2020AJ....160...83S
887 |CPD-21 8129                                                                                                                                 |Star                                  |22 28 51.4095786672 -20 24 35.304338556|036.7991385296701 -56.8093227212064|   5.359 -8.427   |10.94    |~              |    ~     ~    |    1| 1212.415   pc  | -52.0362    +52.0362  |paral   |2020yCat.1350....0G
888 |BD-20 6415                                                                                                                                  |Star                                  |22 23 33.2601342312 -20 06 08.253784188|036.6018557611686 -55.5329484838825|   1.444 -7.818   |10.796   |~              |    ~     ~    |    1| 1453.360   pc  |-126.4000   +126.4000  |ST-L    |2020AJ....160...83S
889 |BD-20 6418                                                                                                                                  |Star                                  |22 24 10.0936476768 -19 16 26.961063672|038.0637503643952 -55.3922757891710|   7.485 -5.009   |10.598   |~              |    ~     ~    |    1| 1457.460   pc  |-122.7000   +122.7000  |ST-L    |2020AJ....160...83S
890 |TYC 6381-1275-1                                                                                                                             |Star                                  |22 21 26.5051361712 -18 01 12.789290856|039.6994606078892 -54.3417582843535|  0.259 -13.935   |10.87    |~              |    ~     ~    |    1| 2523.620   pc  |-416.7000   +416.7000  |ST-L    |2020AJ....160...83S
891 |TYC 6384-1404-1                                                                                                                             |Star                                  |22 23 32.9118093864 -20 08 46.640422284|036.5275230931076 -55.5459277358162|-15.627 -20.155   |10.903   |~              |    ~     ~    |    1|  556.875   pc  | -18.4800    +18.4800  |ST-L    |2020AJ....160...83S
892 |TYC 6384-1561-1                                                                                                                             |Star                                  |22 20 17.4845143704 -20 30 31.523895792|035.4975467345814 -54.9379480505007|   24.738 6.346   |10.814   |~              |    ~     ~    |    1|  667.457   pc  | -36.0300    +36.0300  |ST-L    |2020AJ....160...83S
893 |TYC 6388-468-1                                                                                                                              |Star                                  |22 25 01.9952452008 -19 11 43.075678668|038.3186007621680 -55.5567333651893|   9.775 -3.872   |10.56    |~              |    ~     ~    |    1| 1217.730   pc  | -24.9122    +24.9122  |paral   |2020yCat.1350....0G
894 |TYC 6388-927-1                                                                                                                              |Star                                  |22 29 57.8435083416 -18 41 05.252495028|039.9102419988289 -56.4669809234945|    6.374 4.857   |10.565   |~              |    ~     ~    |    1|  812.150   pc  | -30.6100    +30.6100  |ST-L    |2020AJ....160...83S
895 |TYC 6388-1285-1                                                                                                                             |Star                                  |22 26 54.6358720824 -19 18 17.678427408|038.4078178526682 -56.0104189657396|  14.071 -8.461   |10.83    |~              |    ~     ~    |    1|  398.009   pc  | -11.1000    +11.1000  |ST-L    |2020AJ....160...83S
896 |TYC 6388-1348-1                                                                                                                             |Star                                  |22 25 31.9610703216 -19 25 25.937063256|038.0099211963849 -55.7459339225845| -2.501 -21.992   |10.95    |~              |    ~     ~    |    1| 1023.961   pc  | -16.9856    +16.9856  |paral   |2020yCat.1350....0G
897 |TYC 6388-1469-1                                                                                                                             |Star                                  |22 26 57.6009709704 -19 16 19.919126064|038.4699338066527 -56.0100750152814|   4.577 -3.842   |10.737   |~              |    ~     ~    |    1|  495.186   pc  | -14.8000    +14.8000  |ST-L    |2020AJ....160...83S
898 |TYC 6391-1408-1                                                                                                                             |Star                                  |22 24 59.5353799800 -20 43 20.266677804|035.7468013846026 -56.0495065674344| -13.665 -3.873   |10.95    |~              |    ~     ~    |    1|  224.276   pc  |  -0.7595     +0.7595  |paral   |2020yCat.1350....0G
899 |HD 211167                                                                                                                                   |Star                                  |22 15 37.2613128504 -17 30 12.401089776|039.6381241333245 -52.8631788992002| -6.200 -12.353   |10.479   |G8(IV)         |    ~     ~    |    1|  314.294   pc  |  -6.0850     +6.0850  |ST-L    |2020AJ....160...83S
900 |HD 211269                                                                                                                                   |Star                                  |22 16 10.3751802912 -17 30 56.338941672|039.7013427738824 -52.9897105919739|   5.053 -9.356   |9.913    |F5V            |    ~     ~    |    1|  284.162   pc  |  -4.9400     +4.9400  |ST-L    |2020AJ....160...83S
901 |HD 211325                                                                                                                                   |High Proper Motion Star               |22 16 40.0775022240 -15 40 25.512836556|042.5712972055179 -52.3732789634986|-47.117 -47.437   |10.61    |G5/6(V)        |    ~     ~    |    1|  174.167   pc  |  -3.0950     +3.0950  |ST-L    |2020AJ....160...83S
