C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
727 |HD 209066                                                                                                |High Proper Motion Star           |22 01 06.2106312768 -20 56 53.795073084|032.5105774750438 -50.8053326240390|97.081 -111.397    |9.945    |K0V             |    ~     ~    |    1|   90.047   pc  |  -0.5033     +0.5033  |ST-L    |2020AJ....160...83S
728 |HD 209520                                                                                                |Star                              |22 04 25.6366070400 -20 24 43.581817692|033.7043786310442 -51.3795128096779| -11.257 -7.304    |8.20     |F0V             |    ~     ~    |    1|  173.229   pc  |  -0.7292     +0.7292  |paral   |2020yCat.1350....0G
729 |HD 209561                                                                                                |Star                              |22 04 47.6264514816 -20 41 28.061364336|033.3215335636350 -51.5478099671840|  20.139 -0.474    |9.25     |K0III           |    ~     ~    |    1|  501.178   pc  |  -3.7928     +3.7928  |paral   |2020yCat.1350....0G
730 |IDS 21594-2133 AB                                                                                        |Double or Multiple Star           |22 04 57.1 -21 03 55                   |032.7656 -51.6968                  |            ~ ~    |9.9      |F0/2V           |    ~     ~    |    0|                |                       |        |                   
731 |HD 209157                                                                                                |Star                              |22 01 42.2305604376 -21 26 25.828025460|031.8311404143240 -51.0857225892258|-32.734 -15.575    |10.317   |F5V             |    ~     ~    |    1|  282.984   pc  | -14.3300    +14.3300  |ST-L    |2020AJ....160...83S
732 |HD 209171                                                                                                |High Proper Motion Star           |22 01 49.6221428424 -21 37 30.631296288|031.5629965752734 -51.1669748068589| 118.939 33.110    |9.99     |G5V             |    ~     ~    |    1|  159.210   pc  |  -0.4005     +0.4005  |paral   |2020yCat.1350....0G
733 |HD 209385                                                                                                |Eclipsing Binary                  |22 03 27.89760 -21 42 05.8721          |031.62183448 -51.55339507          |    12.35 -8.60    |9.847    |A2mA6-F3        |    ~     ~    |    0|                |                       |        |                   
734 |HD 209475                                                                                                |Star                              |22 04 09.9352076088 -21 46 47.876912688|031.5762063262349 -51.7317348572820| -10.393 12.250    |7.85     |A3mA3-F0        |    ~     ~    |    1|  213.411   pc  |  -1.2661     +1.2661  |paral   |2020yCat.1350....0G
735 |BD-22 5829                                                                                               |Star                              |22 05 30.5765419104 -21 46 46.693224624|031.7213956813821 -52.0306066100174| 34.171 -26.421    |10.524   |G5              |    ~     ~    |    1|  212.622   pc  |  -2.9290     +2.9290  |ST-L    |2020AJ....160...83S
736 |HD 209925                                                                                                |Star                              |22 07 15.1103700072 -22 14 26.417880600|031.1837470176191 -52.5477796555024|  18.528 17.841    |6.83     |G8III/IV        |    ~     ~    |    1|  200.719   pc  |  -1.0676     +1.0676  |paral   |2020yCat.1350....0G
737 |HD 209924                                                                                                |Star                              |22 07 18.1889869536 -22 04 50.951458128|031.4415924449605 -52.5147589900387|-11.918 -12.109    |10.000   |F2V             |    ~     ~    |    1|  228.946   pc  |  -3.3980     +3.3980  |ST-L    |2020AJ....160...83S
738 |NGC 7188                           NGC 7188                                                              |Low Surface Brightness Galaxy     |22 03 29.0091198048 -20 19 04.288590408|033.7361502714823 -51.1398948306477|   0.190 -1.159    |     ~   |~               |0.777 0.404    |    1|   19.68    Mpc |  -4.52       +4.52    |T-F     |2020ApJ...902..145K
739 |NGC 7185                           NGC 7185                                                              |Galaxy in Pair of Galaxies        |22 02 56.7397620192 -20 28 16.817972052|033.4410658840737 -51.0684212590946|   0.341 -0.183    |13.03    |~               |0.933 0.616    |    1|   20.42    Mpc |                       |        |2016AJ....152...50T
740 |NGC 7184                           NGC 7184                                                              |Galaxy                            |22 02 39.8286792432 -20 48 45.720207216|032.8917458804418 -51.1112187898155|            ~ ~    |11.20    |~               | 6.31  1.35    |    1|   30.20    Mpc |  -1.77       +1.77    |T-F     |2020ApJ...902..145K
741 |NGC 7180                           NGC 7180                                                              |Galaxy towards a Group of Galaxies|22 02 18.4485183936 -20 32 52.182327624|033.2515328430064 -50.9502690854789|    1.244 0.832    |     ~   |~               |1.020 0.469    |    1|   17.62    Mpc |                       |        |2016AJ....152...50T
742 |BD-20 6350                                                                                               |High Proper Motion Star           |22 03 36.7996524552 -19 58 15.385799604|034.2752308054568 -51.0581717510076|137.153 -11.363    |10.683   |~               |    ~     ~    |    1|   77.692   pc  |  -0.3610     +0.3610  |ST-L    |2020AJ....160...83S
743 |BD-21 6142                                                                                               |Star                              |22 00 19.6076107248 -21 12 15.131588004|032.0386202970119 -50.7094745649871|   1.415 -2.583    |10.58    |~               |    ~     ~    |    1|  609.273   pc  |  -6.3478     +6.3478  |paral   |2020yCat.1350....0G
744 |CPD-20 8260                                                                                              |Star                              |22 00 37.9479852096 -20 18 33.778186128|033.4151282521127 -50.5029191539173|   15.872 0.596    |10.81    |~               |    ~     ~    |    1|  239.418   pc  |  -1.1980     +1.1980  |paral   |2020yCat.1350....0G
745 |BD-22 5813                                                                                               |Star                              |22 01 20.9026970736 -21 40 04.082805084|031.4467181135450 -51.0728425331852| -18.315 -3.806    |10.969   |~               |    ~     ~    |    1|  410.188   pc  | -10.0800    +10.0800  |ST-L    |2020AJ....160...83S
746 |BD-21 6153                                                                                               |Star                              |22 03 08.8190662704 -21 02 59.274535956|032.5858159266333 -51.2906581693707| -7.075 -29.684    |10.589   |~               |    ~     ~    |    1|  216.705   pc  |  -2.6260     +2.6260  |ST-L    |2020AJ....160...83S
747 |BD-22 5826                                                                                               |Star                              |22 04 27.1662047472 -21 50 23.855337384|031.5140676760709 -51.8127530567324| -15.966 -4.294    |10.53    |~               |    ~     ~    |    1|  384.123   pc  | -12.4500    +12.4500  |ST-L    |2020AJ....160...83S
748 |BD-21 6156                                                                                               |Star                              |22 04 39.8058473832 -20 58 05.325868020|032.8821251720787 -51.6034142008549|    6.413 8.658    |10.80    |~               |    ~     ~    |    1|  419.340   pc  |  -3.1476     +3.1476  |paral   |2020yCat.1350....0G
749 |BD-21 6161                                                                                               |Star                              |22 06 14.7292609584 -20 32 32.176616532|033.7195228728106 -51.8246933054252|  -1.405 18.200    |10.642   |~               |    ~     ~    |    1|  320.400   pc  |  -7.0840     +7.0840  |ST-L    |2020AJ....160...83S
750 |BD-21 6162                                                                                               |Double or Multiple Star           |22 06 22.083336 -21 02 38.83920        |032.959213721 -52.005623802        |       -0.2 2.9    |10.523   |~               |    ~     ~    |    0|                |                       |        |                   
751 |BD-21 6163                                                                                               |Star                              |22 07 01.2266701416 -20 47 07.591982532|033.4351074246752 -52.0722032696629|  -4.328 -7.987    |10.222   |~               |    ~     ~    |    1|  694.462   pc  | -20.5900    +20.5900  |ST-L    |2020AJ....160...83S
752 |BD-21 6164                                                                                               |Star                              |22 07 03.4263159144 -20 25 31.404433440|033.9956913743099 -51.9687328289643| -8.080 -15.124    |9.993    |~               |    ~     ~    |    1|  643.415   pc  | -26.0300    +26.0300  |ST-L    |2020AJ....160...83S
753 |BD-20 6361                                                                                               |Star                              |22 07 21.5564954976 -20 08 08.585058984|034.4779650385688 -51.9442393373789|   8.153 -0.155    |10.376   |~               |    ~     ~    |    1|  542.998   pc  | -25.7600    +25.7600  |ST-L    |2020AJ....160...83S
754 |BD-21 6151                                                                                               |Star                              |22 01 45.5880608520 -21 04 34.469515776|032.3904553006275 -50.9899780481799|  10.198 -3.593    |10.762   |~               |    ~     ~    |    1|  386.212   pc  |  -9.3370     +9.3370  |ST-L    |2020AJ....160...83S
755 |BD-21 6152                                                                                               |Star                              |22 01 53.6185105104 -21 06 17.379723600|032.3620201256981 -51.0283405864579|  -4.804 -4.164    |10.07    |~               |    ~     ~    |    1|  663.350   pc  |  -5.6764     +5.6764  |paral   |2020yCat.1350....0G
756 |BD-22 5817                                                                                               |Star                              |22 02 23.7942625248 -21 18 08.109130248|032.1174875245088 -51.1990783527969|    0.343 2.014    |10.754   |~               |    ~     ~    |    1|  368.551   pc  |  -7.0580     +7.0580  |ST-L    |2020AJ....160...83S
757 |TYC 6382-862-1                                                                                           |Star                              |22 00 20.9513923896 -20 21 41.918226984|033.3043180553049 -50.4563508057870|-10.566 -23.021    |10.78    |~               |    ~     ~    |    1|  909.091   pc  | -17.4380    +17.4380  |paral   |2020yCat.1350....0G
758 |TYC 6382-1068-1                                                                                          |Star                              |22 01 35.9790260400 -20 50 17.359618992|032.7325342087950 -50.8822231796153|  12.651 -2.188    |10.715   |~               |    ~     ~    |    1|  954.894   pc  | -44.2300    +44.2300  |ST-L    |2020AJ....160...83S
759 |TYC 6382-1208-1                                                                                          |Star                              |22 01 56.4686712600 -21 00 38.884768920|032.5098648861638 -51.0106123121199|  5.274 -20.767    |10.80    |~               |    ~     ~    |    1|  883.002   pc  | -10.5259    +10.5259  |paral   |2020yCat.1350....0G
760 |TYC 6382-1651-1                                                                                          |Star                              |22 02 32.7819228696 -21 26 27.226968864|031.9223015501903 -51.2732635736349| 40.331 -23.928    |10.56    |~               |    ~     ~    |    1|  197.124   pc  |  -2.5690     +2.5690  |ST-L    |2020AJ....160...83S
761 |TYC 6383-742-1                                                                                           |Star                              |22 04 45.2366286072 -21 04 46.635612996|032.7211580762914 -51.6571660971286|   26.089 7.668    |10.53    |~               |    ~     ~    |    1|  216.525   pc  | -10.1736    +10.1736  |paral   |2020yCat.1350....0G
762 |TYC 6383-1300-1                                                                                          |Star                              |22 06 07.2664187352 -22 13 39.365845248|031.0856963406096 -52.2927045903900|  35.623 -2.936    |10.694   |~               |    ~     ~    |    1|  530.609   pc  | -19.5900    +19.5900  |ST-L    |2020AJ....160...83S
763 |TYC 6383-1629-1                                                                                          |Star                              |22 04 05.7667369128 -21 47 55.787715600|031.5395747946210 -51.7216790366418| -10.908 14.227    |10.47    |~               |    ~     ~    |    1|  221.607   pc  |  -4.6998     +4.6998  |paral   |2020yCat.1350....0G
764 |HD 210034                                                                                                |Star                              |22 08 00.6729575976 -22 36 51.538125312|030.6694872071186 -52.8183614541207| 19.345 -20.387    |8.80     |K2III           |    ~     ~    |    1|  241.394   pc  |  -1.3752     +1.3752  |paral   |2020yCat.1350....0G
765 |HD 210174                                                                                                |Star                              |22 09 01.0881074112 -22 42 19.527602112|030.6267541090720 -53.0665549885863|  -2.647 -7.389    |9.88     |K0/1(III)       |    ~     ~    |    1|  521.839   pc  |  -4.4387     +4.4387  |paral   |2020yCat.1350....0G
766 |CD-23 17266                                                                                              |Star                              |22 07 57.7643292480 -22 24 07.258153104|031.0024128792850 -52.7501622398584|    5.507 8.501    |10.89    |~               |    ~     ~    |    1|  335.884   pc  | -85.5300    +85.5300  |ST-L    |2020AJ....160...83S
767 |CD-23 17278                                                                                              |High Proper Motion Star           |22 09 52.2739711296 -22 38 39.609234096|030.8124093751869 -53.2399419179025| 39.065 -72.151    |10.81    |~               |    ~     ~    |    1|  100.401   pc  |  -0.1683     +0.1683  |paral   |2020yCat.1350....0G
768 |CD-23 17283                                                                                              |Star                              |22 10 11.5143895008 -22 28 23.788850124|031.1210724696696 -53.2652451255547|-10.695 -27.184    |10.786   |~               |    ~     ~    |    1|  213.039   pc  |  -3.1990     +3.1990  |ST-L    |2020AJ....160...83S
769 |HD 210488                                                                                                |Star                              |22 11 11.2151456664 -22 27 52.265784888|031.2395259710375 -53.4841581635745|  12.300 -1.762    |8.80     |K0III           |    ~     ~    |    1|  389.590   pc  |  -2.9142     +2.9142  |paral   |2020yCat.1350....0G
770 |CD-23 17311                                                                                              |Star                              |22 13 14.5800047424 -22 33 32.955675084|031.3018067229809 -53.9669443195249|   7.924 -7.198    |10.102   |~               |    ~     ~    |    1|  665.204   pc  | -32.6000    +32.6000  |ST-L    |2020AJ....160...83S
771 |CD-23 17313                                                                                              |Star                              |22 13 24.8298740448 -22 43 59.162974536|031.0343605771646 -54.0512631376120|-21.943 -11.799    |10.01    |~               |    ~     ~    |    1|  553.668   pc  | -19.3500    +19.3500  |ST-L    |2020AJ....160...83S
772 |CD-23 17315                                                                                              |Star                              |22 13 34.5893126880 -22 49 42.397148856|030.8943948282002 -54.1125348860684| 14.956 -28.994    |10.061   |~               |    ~     ~    |    1|  437.707   pc  | -12.6700    +12.6700  |ST-L    |2020AJ....160...83S
773 |HD 210932                                                                                                |Star                              |22 14 11.0639847480 -22 39 09.730411272|031.2470773557391 -54.2013074216557|  21.711 15.103    |10.250   |F5V             |    ~     ~    |    1|  253.546   pc  |  -3.9320     +3.9320  |ST-L    |2020AJ....160...83S
774 |CD-23 17291                                                                                              |Star                              |22 11 09.2717947704 -22 42 13.495002732|030.8485789436476 -53.5411022360278|   13.750 9.569    |10.840   |~               |    ~     ~    |    1|  439.606   pc  | -42.1100    +42.1100  |ST-L    |2020AJ....160...83S
775 |CD-23 17300                                                                                              |Star                              |22 11 40.6896605064 -22 39 15.226102332|030.9831398969424 -53.6443641254718| -27.011 -6.611    |10.761   |~               |    ~     ~    |    1|  442.924   pc  | -15.3300    +15.3300  |ST-L    |2020AJ....160...83S
776 |HD 209979                                                                                                |Star                              |22 07 38.3148086976 -20 45 33.617515500|033.5477809268744 -52.2017247775088| 13.167 -34.614    |7.41     |K0III           |    ~     ~    |    1|  197.504   pc  |  -0.8036     +0.8036  |paral   |2020yCat.1350....0G
777 |HD 210002                                                                                                |Star                              |22 07 43.9199228760 -21 05 19.440425796|033.0458164379845 -52.3225098058931|  30.438 -6.451    |9.58     |F7V             |    ~     ~    |    1|  225.249   pc  |  -3.2690     +3.2690  |ST-L    |2020AJ....160...83S
778 |HD 210016                                                                                                |High Proper Motion Star           |22 07 51.0832709328 -21 35 35.002974948|032.2692958652029 -52.4978496443712| 66.622 -29.012    |7.92     |F5V             |    ~     ~    |    1|   91.518   pc  |  -0.2479     +0.2479  |paral   |2020yCat.1350....0G
779 |HD 210138                                                                                                |Double or Multiple Star           |22 08 41.8759142544 -21 41 20.573879604|032.2114915257407 -52.7139057162775|   -2.128 0.938    |9.463    |K2/3III         |    ~     ~    |    1|  457.038   pc  |  -3.5928     +3.5928  |paral   |2020yCat.1350....0G
780 |BD-22 5843                                                                                               |Star                              |22 10 04.6000657608 -22 04 37.108916400|031.7448655284506 -53.1306146343205|-30.392 -27.959    |10.570   |G0              |    ~     ~    |    1|  235.168   pc  |  -3.0820     +3.0820  |ST-L    |2020AJ....160...83S
781 |HD 210348                                                                                                |Star                              |22 10 15.4465026000 -22 07 49.518892740|031.6787255214984 -53.1857245558570|   15.563 4.212    |9.53     |K1III           |    ~     ~    |    1|  519.103   pc  |  -4.2306     +4.2306  |paral   |2020yCat.1350....0G
782 |BD-21 6167                                                                                               |Star                              |22 07 39.7516492608 -21 01 23.086091964|033.1402377556734 -52.2872983806947|  22.453 -4.558    |10.315   |~               |    ~     ~    |    1|  469.170   pc  | -13.9400    +13.9400  |ST-L    |2020AJ....160...83S
783 |BD-22 5839                                                                                               |High Proper Motion Star           |22 08 51.1995453984 -22 15 36.241719912|031.3218061850205 -52.9093043324833| 49.140 -72.358    |10.67    |~               |    ~     ~    |    1|  226.301   pc  |  -0.8194     +0.8194  |paral   |2020yCat.1350....0G
784 |CPD-22 8150                                                                                              |Star                              |22 08 56.4297863904 -22 18 49.533063552|031.2453739082395 -52.9434570389153|  -5.192 -8.911    |10.251   |~               |    ~     ~    |    1|  400.818   pc  | -12.7300    +12.7300  |ST-L    |2020AJ....160...83S
785 |CPD-22 8152                                                                                              |Star                              |22 09 08.7231423624 -21 58 35.851714140|031.8043606084389 -52.8953066597848|  33.834 -6.658    |10.725   |~               |    ~     ~    |    1|  613.114   pc  | -23.8700    +23.8700  |ST-L    |2020AJ....160...83S
786 |BD-22 5844                                                                                               |Star                              |22 10 06.3955805928 -21 25 06.229825320|032.7976472088960 -52.9486922179851|  -8.628 -4.202    |10.855   |~               |    ~     ~    |    1|  390.041   pc  | -11.2900    +11.2900  |ST-L    |2020AJ....160...83S
787 |BD-22 5847                                                                                               |Star                              |22 10 15.2692125552 -21 40 29.035620156|032.4066793877890 -53.0560938040356|   11.147 5.056    |10.42    |~               |    ~     ~    |    1|  560.601   pc  |  -5.4684     +5.4684  |paral   |2020yCat.1350....0G
788 |HD 210737                                                                                                |Spectroscopic Binary              |22 12 46.6755665376 -20 53 25.799554392|033.9485958081205 -53.3852048941678|-27.288 -67.311    |7.54     |F5/6V           |    ~     ~    |    1|   79.886   pc  |  -0.1576     +0.1576  |paral   |2020yCat.1350....0G
789 |HD 210847                                                                                                |High Proper Motion Star           |22 13 38.9616743808 -20 39 19.855358316|034.4291387115223 -53.5068560424088| 49.721 -44.163    |9.69     |G5V             |    ~     ~    |    1|  119.567   pc  |  -7.6470     +7.6470  |ST-L    |2020AJ....160...83S
790 |* 41 Aqr B                                                                                               |High Proper Motion Star           |22 14 18.3736331448 -21 04 30.421095636|033.8341454856863 -53.7810959641081|  27.192 56.925    |6.661    |F2V             |    ~     ~    |    1|   73.316   pc  |  -0.1591     +0.1591  |paral   |2020yCat.1350....0G
791 |HD 210993                                                                                                |Star                              |22 14 27.8623534656 -21 12 12.274512804|033.6455104486937 -53.8546995222260|-15.090 -17.476    |9.73     |F5V             |    ~     ~    |    1|  185.430   pc  |  -2.2410     +2.2410  |ST-L    |2020AJ....160...83S
792 |HD 210992                                                                                                |Star                              |22 14 28.3770981000 -21 01 56.647334244|033.9229397034582 -53.8053153016020|    7.941 1.244    |8.90     |F2V             |    ~     ~    |    1|  203.182   pc  |  -4.1489     +4.1489  |paral   |2020yCat.1350....0G
793 |HD 210991                                                                                                |Star                              |22 14 29.1451052280 -20 56 39.371202960|034.0666688122165 -53.7814801523902|  0.315 -12.928    |8.67     |F5V             |    ~     ~    |    1|  119.106   pc  |  -0.3774     +0.3774  |paral   |2020yCat.1350....0G
794 |HD 211040                                                                                                |Star                              |22 14 48.1999906848 -21 11 27.691510308|033.7055500680468 -53.9264175137017|   23.319 1.680    |9.71     |F3/5V           |    ~     ~    |    0|                |                       |        |                   
795 |HD 210583                                                                                                |Star                              |22 11 45.9325674432 -21 22 25.463064972|033.0578643327736 -53.3046826096522|  19.287 -3.655    |9.70     |G6IV            |    ~     ~    |    1|  458.779   pc  |  -3.5781     +3.5781  |paral   |2020yCat.1350....0G
796 |HD 210722                                                                                                |High Proper Motion Star           |22 12 47.7228394627 -21 30 08.083025076|032.9694386072017 -53.5714590086499|  74.666 -3.431    |9.48     |G3V             |    ~     ~    |    1|   82.0109  pc  |  -0.5037     +0.5037  |paral   |2020yCat.1350....0G
797 |HD 210755                                                                                                |High Proper Motion Star           |22 12 53.0420376936 -21 29 03.353393292|033.0085385351337 -53.5859387385756|-112.082 -55.543   |8.89     |G3V             |    ~     ~    |    1|   71.416   pc  |  -0.0842     +0.0842  |paral   |2020yCat.1350....0G
798 |HD 210780                                                                                                |Rotating Variable                 |22 13 09.4258527480 -21 24 21.588767136|033.1660187884554 -53.6237798707693|   8.278 -4.929    |8.34     |B9.5/A0V        |    ~     ~    |    1|  224.507   pc  |  -3.5081     +3.5081  |paral   |2020yCat.1350....0G
799 |HD 210931                                                                                                |Star                              |22 14 06.6584650320 -21 24 40.810619232|033.2675671651813 -53.8375794960703|  20.592 -0.908    |7.40     |A1V             |    ~     ~    |    1|  139.069   pc  |  -0.6750     +0.6750  |paral   |2020yCat.1350....0G
800 |BD-22 5866                                                                                               |Spectroscopic Binary              |22 14 38.3705936256 -21 41 53.188190988|032.8620244792615 -54.0384543593914|155.484 184.484    |10.428   |M0Ve            |    ~     ~    |    1|   38.470   pc  |  -0.2454     +0.2454  |paral   |2020yCat.1350....0G
801 |HD 210378                                                                                                |High Proper Motion Star           |22 10 24.8744399088 -21 55 05.087075160|032.0358101030340 -53.1611356879040|  52.569 21.840    |10.277   |F2V             |    ~     ~    |    1|  268.158   pc  |  -4.6370     +4.6370  |ST-L    |2020AJ....160...83S
802 |HD 210521                                                                                                |Star                              |22 11 22.4036582520 -22 12 31.233528468|031.6727605899553 -53.4556548455115|  -7.795 -3.707    |8.11     |K0III           |    ~     ~    |    1|  152.451   pc  |  -0.5508     +0.5508  |paral   |2020yCat.1350....0G
803 |BD-22 5851                                                                                               |Star                              |22 11 24.7733174016 -22 13 17.290212348|031.6563473529949 -53.4679730808467| 12.548 -12.783    |10.210   |K               |    ~     ~    |    1|  543.866   pc  | -18.2000    +18.2000  |ST-L    |2020AJ....160...83S
804 |HD 210880                                                                                                |High Proper Motion Star           |22 13 52.5122642328 -22 15 52.057528812|031.8517950506625 -54.0275537800158|-56.548 -76.868    |8.54     |G5V             |    ~     ~    |    1|   81.533   pc  |  -0.5275     +0.5275  |ST-L    |2020AJ....160...83S
805 |BD-21 6176                                                                                               |Star                              |22 13 00.2130370944 -20 18 08.108698212|034.9120212263291 -53.2524888191487| -2.671 -22.404    |10.706   |~               |    ~     ~    |    1|  221.663   pc  |  -2.8920     +2.8920  |ST-L    |2020AJ....160...83S
806 |BD-22 5859                                                                                               |High Proper Motion Star           |22 13 05.3352987648 -21 19 13.496509344|033.2959707467357 -53.5834037327494|102.369 -57.421    |10.276   |~               |    ~     ~    |    1|  186.450   pc  |  -2.0860     +2.0860  |ST-L    |2020AJ....160...83S
807 |BD-22 5861                                                                                               |Star                              |22 13 15.2655936600 -21 42 31.186243512|032.6881324028293 -53.7333094987858|   5.794 -2.986    |10.421   |~               |    ~     ~    |    1| 1432.400   pc  |-124.9000   +124.9000  |ST-L    |2020AJ....160...83S
808 |BD-21 6179                                                                                               |Star                              |22 14 02.2833022512 -20 54 23.150837700|034.0738631239320 -53.6703820772665|   -6.142 2.875    |10.220   |~               |    ~     ~    |    1|  521.451   pc  | -26.7100    +26.7100  |ST-L    |2020AJ....160...83S
809 |TYC 6383-335-1                                                                                           |High Proper Motion Star           |22 10 18.3413249280 -21 00 03.695959764|033.4812295161280 -52.8687239376297| 39.859 -48.552    |10.577   |~               |    ~     ~    |    1|  192.193   pc  |  -2.1570     +2.1570  |ST-L    |2020AJ....160...83S
810 |TYC 6383-856-1                                                                                           |High Proper Motion Star           |22 09 27.7050403536 -21 38 12.200837892|032.3789337478470 -52.8687611290651|-48.092 -23.419    |10.89    |~               |    ~     ~    |    1|  121.248   pc  |  -1.0040     +1.0040  |ST-L    |2020AJ....160...83S
811 |TYC 6383-994-1                                                                                           |Spectroscopic Binary              |22 07 31.5759802368 -21 04 52.995016128|033.0337100118751 -52.2745291615534| -7.552 -60.032    |10.55    |~               |    ~     ~    |    1|   81.566   pc  |  -0.7795     +0.7795  |ST-L    |2020AJ....160...83S
812 |HD 209362                                                                                                |Star                              |22 03 13.3803388128 -19 51 30.645630396|034.3971533508487 -50.9350088215427|    -16.9 -18.0    |10.291   |G1/2V           |    ~     ~    |    1|  196.841   pc  | +27.133      +8       |ST-L    |2017AJ....153...75K
813 |HD 209718                                                                                                |Star                              |22 05 52.3014640320 -19 46 25.880280960|034.8485348575265 -51.4965319016848|  44.174 -7.323    |8.71     |F3V             |    ~     ~    |    1|  134.942   pc  |  -0.3788     +0.3788  |paral   |2020yCat.1350....0G
814 |BD-20 6344                                                                                               |Star                              |22 02 32.7536168208 -19 39 03.954488580|034.6252575903832 -50.7167413944494|  -4.249 -1.279    |10.404   |~               |    ~     ~    |    1|  766.623   pc  | -51.0100    +51.0100  |ST-L    |2020AJ....160...83S
815 |BD-20 6351                                                                                               |Star                              |22 04 59.0435015640 -19 53 13.405650252|034.5680303892242 -51.3359476498686| -1.730 -19.415    |10.37    |~               |    ~     ~    |    1|  338.465   pc  |  -6.7020     +6.7020  |ST-L    |2020AJ....160...83S
816 |HD 209108                                                                                                |Double or Multiple Star           |22 01 18.6282666360 -17 30 59.824076076|037.5933550254890 -49.6997481724203|-29.350 -23.058    |7.86     |K1III           |    ~     ~    |    1|  203.310   pc  |  -1.0127     +1.0127  |paral   |2020yCat.1350....0G
817 |HD 209155                                                                                                |Star                              |22 01 30.3043750080 -17 25 46.737188256|037.7447996104281 -49.7109001926845|   -2.681 1.851    |9.95     |G8IV            |    ~     ~    |    1|  663.438   pc  |  -9.1991     +9.1991  |paral   |2020yCat.1350....0G
818 |HD 209186                                                                                                |Star                              |22 01 46.2267910608 -17 27 19.995021324|037.7436348878824 -49.7792849565792|  4.702 -28.657    |9.28     |K2III           |    ~     ~    |    1|  814.797   pc  | -15.5351    +15.5351  |paral   |2020yCat.1350....0G
819 |HD 209313                                                                                                |High Proper Motion Star           |22 02 43.5930899976 -17 20 16.674731304|038.0439443843380 -49.9477464449464|-24.323 -45.415    |10.339   |G6V             |    ~     ~    |    1|  168.961   pc  |  -3.1860     +3.1860  |ST-L    |2020AJ....160...83S
820 |HD 209333                                                                                                |High Proper Motion Star           |22 02 57.6614098512 -17 25 37.944270948|037.9472156604432 -50.0327524631540|  50.369 27.275    |8.64     |G8/K0IV         |    ~     ~    |    1|  191.077   pc  |  -0.9639     +0.9639  |paral   |2020yCat.1350....0G
821 |HD 209572                                                                                                |Star                              |22 04 45.0149719968 -17 33 17.877786840|038.0075485090513 -50.4764222561713|  -1.118 -9.823    |9.94     |K0/1(III)       |    ~     ~    |    1| 1267.106   pc  | -27.9367    +27.9367  |paral   |2020yCat.1350....0G
822 |HD 209573                                                                                                |High Proper Motion Star           |22 04 47.7773103888 -17 34 14.927266380|037.9907352221318 -50.4924563631685|  74.027 35.585    |10.39    |G2/3V           |    ~     ~    |    1|  191.424   pc  |  -0.9894     +0.9894  |paral   |2020yCat.1350....0G
823 |HD 209648                                                                                                |Star                              |22 05 15.7466610576 -17 41 50.221270320|037.8696251863967 -50.6421635082486| 27.663 -20.004    |9.60     |K1(III)         |    ~     ~    |    1|  496.401   pc  |  -5.0022     +5.0022  |paral   |2020yCat.1350....0G
824 |HD 209716                                                                                                |Star                              |22 05 46.0393942848 -17 44 12.039814608|037.8811077206996 -50.7684768133930|   28.786 2.224    |10.441   |G8IV/V          |    ~     ~    |    1|  787.135   pc  | -66.0800    +66.0800  |ST-L    |2020AJ....160...83S
825 |HD 209240                                                                                                |High Proper Motion Star           |22 02 11.8558137624 -17 54 12.502812420|037.1535491723996 -50.0372921527030|119.586 -59.270    |6.283    |K0III           |    ~     ~    |    1|   93.886   pc  |  -0.2371     +0.2371  |paral   |2020yCat.1350....0G
826 |HD 209399                                                                                                |Star                              |22 03 28.6092522240 -18 01 31.124666712|037.1468990006415 -50.3649709235912|    7.402 3.683    |10.277   |K5              |    ~     ~    |    1| 1107.290   pc  | -76.3200    +76.3200  |ST-L    |2020AJ....160...83S
827 |HD 209491                                                                                                |Star                              |22 04 11.1109949400 -17 48 44.557500096|037.5538970492752 -50.4452484122772|  40.687 24.830    |8.15     |K0III           |    ~     ~    |    1|  297.690   pc  |  -2.3130     +2.3130  |paral   |2020yCat.1350....0G
828 |HD 209649                                                                                                |Star                              |22 05 17.2265877096 -17 48 09.037427256|037.7184329195365 -50.6860120331818|   10.916 4.015    |10.543   |A8/9V           |    ~     ~    |    1|  453.852   pc  | -14.6600    +14.6600  |ST-L    |2020AJ....160...83S
829 |HD 209799                                                                                                |High Proper Motion Star           |22 06 21.2719335072 -17 51 54.501139296|037.7722171685306 -50.9454350349789|  65.978 18.770    |9.918    |F0V             |    ~     ~    |    1|  251.415   pc  |  -4.7370     +4.7370  |ST-L    |2020AJ....160...83S
830 |HD 208934                                                                                                |Star                              |22 00 02.9714194728 -18 44 47.310889020|035.6483103761646 -49.8573993320782|  -1.261 -5.393    |10.910   |F8/G0(V)        |    ~     ~    |    1|  313.025   pc  |  -7.8190     +7.8190  |ST-L    |2020AJ....160...83S
