C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:34:33

dec >=0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4191

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1352|HD 237061                                                                                                                                                                      |Star                                |03 05 45.1350362664 +56 38 15.941289444|140.6459266919515 -01.5423958409875|   4.859 -4.044   |10.10    |B9                   |    ~     ~    |    1|  646.078   pc  |  -7.3883     +7.3883  |paral   |2020yCat.1350....0G
1353|HD 19278                                                                                                                                                                       |Double or Multiple Star             |03 08 30.335 +56 39 02.69              |140.968029 -01.343089              |      3.5 -10.0   |8.17     |G8III                |    ~     ~    |    0|                |                       |        |                   
1354|HD 19502                                                                                                                                                                       |High Proper Motion Star             |03 10 30.3212998008 +56 37 39.802872972|141.2170870855198 -01.2242882741582|-63.921 -77.974   |8.52     |G2IV                 |    ~     ~    |    1|   93.688   pc  |  -0.1861     +0.1861  |paral   |2020yCat.1350....0G
1355|LS I +56 84                                                                                                                                                                    |Star                                |03 12 15.1502679360 +56 31 41.099547288|141.4748864531423 -01.1871777677295|  -2.071 -1.267   |10.51    |OB-                  |    ~     ~    |    1| 1062.812   pc  | -19.7675    +19.7675  |paral   |2020yCat.1350....0G
1356|HD 237085                                                                                                                                                                      |Star                                |03 12 20.6377509480 +56 41 35.031199344|141.4009854482331 -01.0391312527640|  -3.510 -6.225   |9.76     |F0                   |    ~     ~    |    1|  258.258   pc  |  -1.0872     +1.0872  |paral   |2020yCat.1350....0G
1357|HD 237072                                                                                                                                                                      |Star                                |03 08 49.5646225536 +56 29 40.512994296|141.0846000928740 -01.4560207210183|  -8.029 11.059   |9.45     |K0                   |    ~     ~    |    1|  611.172   pc  |  -6.6115     +6.6115  |paral   |2020yCat.1350....0G
1358|HD 19482                                                                                                                                                                       |Star                                |03 10 15.4625141808 +56 13 48.809576712|141.3892717807031 -01.5842148231183|   6.624 -5.506   |9.22     |B/A                  |    ~     ~    |    1|  412.167   pc  | -13.1658    +13.1658  |paral   |2020yCat.1350....0G
1359|HD 237087                                                                                                                                                                      |Star                                |03 13 37.5848142480 +56 30 41.423406624|141.6458433253047 -01.1037369116990| 24.010 -16.162   |9.71     |F5                   |    ~     ~    |    1|  194.284   pc  |  -0.5549     +0.5549  |paral   |2020yCat.1350....0G
1360|BD+55 755                                                                                                                                                                      |Star                                |03 14 11.9587463736 +56 17 21.677722368|141.8288272851744 -01.2526133966637|  -2.404 -0.660   |10.92    |A0                   |    ~     ~    |    1|  661.026   pc  | -11.3608    +11.3608  |paral   |2020yCat.1350....0G
1361|HD 19961                                                                                                                                                                       |High Proper Motion Star             |03 14 55.0330428840 +56 18 17.247166344|141.9058476627965 -01.1875996539776| 33.083 -55.937   |8.60     |G0IV                 |    ~     ~    |    1|  102.326   pc  |  -0.1895     +0.1895  |paral   |2020yCat.1350....0G
1362|HD 19332                                                                                                                                                                       |Star                                |03 09 01.9383583776 +56 02 42.405451836|141.3353911621217 -01.8301898187515|  -0.631 -3.567   |8.19     |G8III                |    ~     ~    |    1|  656.426   pc  |  -9.3935     +9.3935  |paral   |2020yCat.1350....0G
1363|HD 19537                                                                                                                                                                       |High Proper Motion Star             |03 11 04.6098218208 +55 43 59.164402188|141.7407743581458 -01.9541078098064|114.763 -84.294   |8.680    |G0V                  |    ~     ~    |    1|   70.290   pc  |  -0.0865     +0.0865  |paral   |2020yCat.1350....0G
1364|BD+55 748                                                                                                                                                                      |Emission-line Star                  |03 11 57.7772168328 +56 04 29.881977420|141.6728030554359 -01.5967865435144|   -1.180 1.076   |10.17    |B8III:               |    ~     ~    |    1|  954.472   pc  | -16.2161    +16.2161  |paral   |2020yCat.1350....0G
1365|HD 19683                                                                                                                                                                       |Variable Star                       |03 12 31.9599607080 +56 08 56.774462388|141.7029210033127 -01.4924008778794|  4.584 -11.778   |7.47     |M3III                |    ~     ~    |    1|  334.806   pc  |  -2.9033     +2.9033  |paral   |2020yCat.1350....0G
1366|HD 237086                                                                                                                                                                      |Star                                |03 13 08.6192717280 +55 47 30.182974548|141.9603906582462 -01.7546880612034| 10.754 -17.322   |9.78     |A2                   |    ~     ~    |    1|  344.329   pc  |  -2.3950     +2.3950  |paral   |2020yCat.1350....0G
1367|HD 19821                                                                                                                                                                       |High Proper Motion Star             |03 13 47.0369456304 +55 46 49.635194088|142.0432904403177 -01.7177823510551| 57.265 -45.666   |8.74     |F5                   |    ~     ~    |    1|  122.599   pc  |  -0.2495     +0.2495  |paral   |2020yCat.1350....0G
1368|HD 237089                                                                                                                                                                      |Star                                |03 14 37.5345093792 +56 05 36.998509992|141.9813080262029 -01.3889720465153|  3.299 -21.608   |9.93     |G5                   |    ~     ~    |    1|  236.407   pc  |  -0.9948     +0.9948  |paral   |2020yCat.1350....0G
1369|HD 237092                                                                                                                                                                      |Star                                |03 14 57.1063395528 +56 05 08.061065484|142.0243372642089 -01.3721180027922|  -0.155 -2.926   |9.45     |G8III                |    ~     ~    |    1|  574.020   pc  |  -6.1287     +6.1287  |paral   |2020yCat.1350....0G
1370|HD 19705                                                                                                                                                                       |Star                                |03 12 50.1797360856 +55 20 24.914382792|142.1561050674091 -02.1638915295047|   -7.255 1.512   |8.23     |K1III                |    ~     ~    |    1|  337.678   pc  |  -3.5576     +3.5576  |paral   |2020yCat.1350....0G
1371|V* GH Per                                                                                                                                                                      |Long-Period Variable                |03 13 13.7271874200 +55 42 12.284256996|142.0162666488501 -01.8241302727378|   8.658 -4.428   |10.91    |M6                   |    ~     ~    |    1|  761.325   pc  | -44.5724    +44.5724  |paral   |2020yCat.1350....0G
1372|TYC 3706-433-1                                                                                                                                                                 |High Proper Motion Star             |03 11 06.8580781152 +55 43 38.874145656|141.7481896428095 -01.9562684532344|115.806 -84.947   |10.25    |~                    |    ~     ~    |    1|   70.456   pc  |  -0.0819     +0.0819  |paral   |2020yCat.1350....0G
1373|* k Per                                                                                                                                                                        |High Proper Motion Star             |03 05 32.4115072032 +56 42 20.587724352|140.5871088341012 -01.4975679283706| -12.960 69.781   |4.766    |G9+IIIb              |    ~     ~    |    1|   65.834   pc  |  -0.4256     +0.4256  |paral   |2020yCat.1350....0G
1374|HD 237062                                                                                                                                                                      |Star                                |03 05 53.0914065720 +56 42 13.684778244|140.6292399101607 -01.4759519080743|  -0.897 -3.786   |9.47     |A3                   |    ~     ~    |    1|  549.511   pc  | -18.5405    +18.5405  |paral   |2020yCat.1350....0G
1375|HD 237063                                                                                                                                                                      |Star                                |03 06 00.2635989384 +56 46 54.973000596|140.6049687035235 -01.3998925043623| 31.535 -33.765   |9.84     |F5                   |    ~     ~    |    1|  183.513   pc  |  -0.6466     +0.6466  |paral   |2020yCat.1350....0G
1376|HD 19054                                                                                                                                                                       |Star                                |03 06 16.7360958576 +56 53 16.147137804|140.5853507231601 -01.2892757093225|  0.271 -13.219   |8.94     |B/A                  |    ~     ~    |    1|  316.646   pc  |  -1.5341     +1.5341  |paral   |2020yCat.1350....0G
1377|HD 19572                                                                                                                                                                       |Star                                |03 11 36.6217754232 +57 24 39.630650544|140.9475203134625 -00.4736232670687| 25.957 -15.490   |8.46     |G5III                |    ~     ~    |    1|  253.293   pc  |  -1.3537     +1.3537  |paral   |2020yCat.1350....0G
1378|TYC 3705-18-1                                                                                                                                                                  |Star                                |03 06 21.2750981544 +55 42 12.928455216|141.1801514497722 -02.3135197289937|  -9.911 -0.255   |10.81    |~                    |    ~     ~    |    1|  294.646   pc  |  -1.2502     +1.2502  |paral   |2020yCat.1350....0G
1379|TYC 3705-31-1                                                                                                                                                                  |Star                                |03 04 43.2637824096 +56 00 29.637489780|140.8304643669635 -02.1610408743672|   -0.601 1.983   |10.80    |~                    |    ~     ~    |    1|  255.840   pc  |  -0.8182     +0.8182  |paral   |2020yCat.1350....0G
1380|TYC 3705-51-1                                                                                                                                                                  |Star                                |03 05 43.1243445552 +56 09 34.565128524|140.8774516691964 -01.9608513715997|   3.116 -5.849   |10.44    |~                    |    ~     ~    |    1|  651.084   pc  |  -6.6554     +6.6554  |paral   |2020yCat.1350....0G
1381|TYC 3706-7-1                                                                                                                                                                   |Star                                |03 12 05.1092913984 +56 12 23.515313724|141.6199697223782 -01.4750915640009|   1.052 -4.000   |10.32    |~                    |    ~     ~    |    1| 1156.069   pc  | -19.6465    +19.6465  |paral   |2020yCat.1350....0G
1382|TYC 3706-106-1                                                                                                                                                                 |Star                                |03 13 44.4868052520 +55 24 14.118351804|142.2333482931065 -02.0429434533287| 18.098 -36.875   |10.78    |~                    |    ~     ~    |    1|  168.793   pc  |  -0.5727     +0.5727  |paral   |2020yCat.1350....0G
1383|TYC 3706-133-1                                                                                                                                                                 |Star                                |03 12 15.3000130872 +56 14 38.003304300|141.6210699250564 -01.4309144823003| -20.101 -0.248   |10.62    |~                    |    ~     ~    |    1|  198.507   pc  |  -0.5990     +0.5990  |paral   |2020yCat.1350....0G
1384|PM J03101+5504                                                                                                                                                                 |High Proper Motion Star             |03 10 07.8294413616 +55 04 05.862774036|141.9631217700328 -02.5949299557144|  52.817 -9.363   |9.87     |G/K                  |    ~     ~    |    1|  298.900   pc  |  -1.1972     +1.1972  |paral   |2020yCat.1350....0G
1385|TYC 3706-167-1                                                                                                                                                                 |Star                                |03 14 44.6815040688 +56 07 42.360812184|141.9773413565768 -01.3505974088211|    3.001 1.135   |10.75    |~                    |    ~     ~    |    1|  590.982   pc  |  -5.7977     +5.7977  |paral   |2020yCat.1350....0G
1386|TYC 3706-252-1                                                                                                                                                                 |High Proper Motion Star             |03 14 11.0496269880 +55 07 18.426990144|142.4337863321421 -02.2514123609567| 50.182 -92.240   |10.24    |~                    |    ~     ~    |    1|   79.777   pc  |  -0.0961     +0.0961  |paral   |2020yCat.1350....0G
1387|TYC 3706-254-1                                                                                                                                                                 |High Proper Motion Star             |03 12 38.4279488448 +55 21 57.805176348|142.1189280386005 -02.1561086803849| 31.005 -52.206   |10.73    |~                    |    ~     ~    |    1|  129.341   pc  |  -0.4082     +0.4082  |paral   |2020yCat.1350....0G
1388|TYC 3706-261-1                                                                                                                                                                 |Star                                |03 08 01.4816819832 +55 37 48.934740036|141.4211156350253 -02.2600410276222|  3.091 -13.892   |10.50    |~                    |    ~     ~    |    1|  365.390   pc  |  -2.0027     +2.0027  |paral   |2020yCat.1350....0G
1389|TYC 3706-281-1                                                                                                                                                                 |Star                                |03 13 53.9281064136 +56 07 00.386792112|141.8826688368897 -01.4218268327405|  32.691 -5.183   |10.41    |~                    |    ~     ~    |    1|  167.597   pc  |  -4.1262     +4.1262  |paral   |2020yCat.1350....0G
1390|TYC 3706-301-1                                                                                                                                                                 |Star                                |03 11 31.7987757336 +55 48 50.864784444|141.7542287443336 -01.8519073379260| 31.617 -30.661   |10.84    |~                    |    ~     ~    |    1|  132.419   pc  |  -0.2630     +0.2630  |paral   |2020yCat.1350....0G
1391|TYC 3706-307-1                                                                                                                                                                 |Star                                |03 07 02.1184632600 +55 54 21.583131300|141.1628869037497 -02.0903214375081| -3.966 -27.840   |10.62    |~                    |    ~     ~    |    1|  202.840   pc  |  -0.5719     +0.5719  |paral   |2020yCat.1350....0G
1392|TYC 3706-327-1                                                                                                                                                                 |High Proper Motion Star             |03 13 02.5575738936 +55 35 58.570253052|142.0473724445608 -01.9265968719777|-63.182 -99.321   |10.38    |~                    |    ~     ~    |    1|  137.348   pc  |  -0.2886     +0.2886  |paral   |2020yCat.1350....0G
1393|TYC 3706-399-1                                                                                                                                                                 |Star                                |03 13 42.4057432272 +56 00 56.648553876|141.9121083522732 -01.5221309826205|   -3.759 3.301   |10.56    |~                    |    ~     ~    |    1|  674.900   pc  |  -6.9235     +6.9235  |paral   |2020yCat.1350....0G
1394|TYC 3706-506-1                                                                                                                                                                 |Star                                |03 13 50.9209220088 +55 29 22.464178800|142.2019428022197 -01.9618120947242|    2.643 4.642   |9.89     |~                    |    ~     ~    |    1|  437.426   pc  |  -2.7553     +2.7553  |paral   |2020yCat.1350....0G
1395|TYC 3706-622-1                                                                                                                                                                 |Star                                |03 08 15.6613142616 +55 20 17.301193800|141.5964213606451 -02.4962103429247|     -27.6 -8.6   |10.75    |~                    |    ~     ~    |    0|                |                       |        |                   
1396|BD+54 653                                                                                                                                                                      |Star                                |03 14 59.0387015016 +54 49 27.957137232|142.6868500484222 -02.4454639563711|   0.192 -0.449   |10.37    |B/A                  |    ~     ~    |    1|  749.850   pc  | -17.4868    +17.4868  |paral   |2020yCat.1350....0G
1397|BD+54 645                                                                                                                                                                      |Star                                |03 11 40.7040073992 +54 59 02.016230856|142.1972369557836 -02.5545960999219| 29.378 -38.376   |9.68     |F8                   |    ~     ~    |    1|  225.994   pc  |  -0.7559     +0.7559  |paral   |2020yCat.1350....0G
1398|TYC 3706-697-1                                                                                                                                                                 |Star                                |03 12 03.9715048104 +54 52 29.236442880|142.3010833136909 -02.6197493789225|-14.045 -18.063   |10.30    |~                    |    ~     ~    |    1|  224.115   pc  |  -0.6530     +0.6530  |paral   |2020yCat.1350....0G
1399|TYC 3710-52-1                                                                                                                                                                  |Star                                |03 12 05.1767096352 +57 22 23.681885592|141.0219326809349 -00.4732516084285| 26.983 -31.238   |10.31    |~                    |    ~     ~    |    1|  159.808   pc  |  -1.0062     +1.0062  |paral   |2020yCat.1350....0G
1400|BD+56 793                                                                                                                                                                      |Star                                |03 13 12.3814678848 +57 15 11.338378848|141.2133963450021 -00.4984651643977|   7.208 -6.586   |10.22    |B                    |    ~     ~    |    1|  773.754   pc  |  -9.6989     +9.6989  |paral   |2020yCat.1350....0G
1401|TYC 3710-425-1                                                                                                                                                                 |Star                                |03 12 43.8372984936 +56 22 24.748970808|141.6110100272647 -01.2857974591437|   3.845 -3.694   |10.67    |~                    |    ~     ~    |    1|  672.585   pc  |  -7.1927     +7.1927  |paral   |2020yCat.1350....0G
1402|TYC 3710-498-1                                                                                                                                                                 |Star                                |03 10 53.6803768200 +57 15 18.787815900|140.9438833607264 -00.6568818359149|   -5.468 1.997   |10.66    |~                    |    ~     ~    |    1|  356.138   pc  |  -1.9025     +1.9025  |paral   |2020yCat.1350....0G
1403|TYC 3710-522-1                                                                                                                                                                 |Star                                |03 14 53.7857708280 +56 16 44.483513088|141.9168288596764 -01.2110891770577|  -0.235 -0.430   |10.83    |~                    |    ~     ~    |    1|  624.571   pc  |  -9.2451     +9.2451  |paral   |2020yCat.1350....0G
1404|TYC 3710-559-1                                                                                                                                                                 |Star                                |03 12 24.2096400408 +57 13 23.023213644|141.1357669563276 -00.5801791091666|  11.125 -5.952   |10.61    |~                    |    ~     ~    |    1|  691.037   pc  |  -7.9270     +7.9270  |paral   |2020yCat.1350....0G
1405|TYC 3710-577-1                                                                                                                                                                 |Star                                |03 12 14.7431514384 +56 38 33.339235164|141.4153110335816 -01.0893727666421|  -0.435 -2.765   |10.96    |~                    |    ~     ~    |    1|  447.107   pc  |  -4.1780     +4.1780  |paral   |2020yCat.1350....0G
1406|TYC 3710-606-1                                                                                                                                                                 |Star                                |03 08 15.9827864088 +56 16 44.912429616|141.1256267373962 -01.6812636890040|  -4.930 -6.496   |10.58    |~                    |    ~     ~    |    1|  410.526   pc  |  -3.1852     +3.1852  |paral   |2020yCat.1350....0G
1407|BD+56 789                                                                                                                                                                      |Spectroscopic Binary                |03 12 16.2506557896 +56 46 38.895515688|141.3490452663754 -00.9718402492309|  -6.938 -3.439   |10.21    |AmF2                 |    ~     ~    |    1|  469.131   pc  |  -3.8735     +3.8735  |paral   |2020yCat.1350....0G
1408|TYC 3710-665-1                                                                                                                                                                 |Star                                |03 12 41.3847653880 +56 34 04.388583036|141.5061318716074 -01.1220689717239|  -6.669 -0.865   |10.36    |~                    |    ~     ~    |    1|  368.392   pc  |  -8.7670     +8.7670  |paral   |2020yCat.1350....0G
1409|TYC 3710-685-1                                                                                                                                                                 |Star                                |03 08 25.0616745888 +56 32 35.631170412|141.0114519079189 -01.4421935345603|  -6.114 -1.117   |10.70    |~                    |    ~     ~    |    1|  544.070   pc  |  -5.1506     +5.1506  |paral   |2020yCat.1350....0G
1410|TYC 3710-694-1                                                                                                                                                                 |Star                                |03 11 27.8534680152 +56 37 33.588878016|141.3314851934726 -01.1586352009716| 16.621 -11.698   |9.84     |~                    |    ~     ~    |    1|  439.792   pc  |  -2.6111     +2.6111  |paral   |2020yCat.1350....0G
1411|TYC 3710-705-1                                                                                                                                                                 |Star                                |03 12 46.8487164024 +56 19 27.420436776|141.6423367411098 -01.3244476097663|    3.816 5.371   |10.27    |~                    |    ~     ~    |    1|  513.663   pc  |  -5.7255     +5.7255  |paral   |2020yCat.1350....0G
1412|GSC 03710-00737                                                                                                                                                                |Double or Multiple Star             |03 11 50.9001032592 +56 38 33.754201080|141.3683365551389 -01.1172701574100|   -5.114 3.697   |10.552   |~                    |    ~     ~    |    1|  525.956   pc  |  -4.2324     +4.2324  |paral   |2020yCat.1350....0G
1413|BD+56 784                                                                                                                                                                      |Star                                |03 10 25.5456913632 +56 52 14.189057688|141.0844020853325 -01.0205392917168|  14.325 -7.856   |9.87     |A5                   |    ~     ~    |    1|  339.743   pc  |  -1.6968     +1.6968  |paral   |2020yCat.1350....0G
1414|BD+56 776                                                                                                                                                                      |Star                                |03 07 09.8592 +56 38 48.170            |140.8102510 -01.4385916            |  -8.135 -1.128   |10.40    |F2                   |    ~     ~    |    0|                |                       |        |                   
1415|TYC 3710-769-1                                                                                                                                                                 |Star                                |03 12 22.9956353856 +56 55 38.671900392|141.2852522116103 -00.8352789807067|  -17.025 5.174   |10.74    |~                    |    ~     ~    |    1|  313.313   pc  |  -1.5216     +1.5216  |paral   |2020yCat.1350....0G
1416|TYC 3710-785-1                                                                                                                                                                 |High Proper Motion Star             |03 11 15.7445810448 +57 06 10.370276496|141.0643701665799 -00.7625940970045| 35.066 -41.074   |10.66    |~                    |    ~     ~    |    1|  181.212   pc  |  -0.4827     +0.4827  |paral   |2020yCat.1350....0G
1417|BD+54 639                                                                                                                                                                      |Pulsating Variable                  |03 08 37.1992117944 +55 22 50.531932560|141.6192393638091 -02.4338071694301|   -6.078 0.049   |9.85     |B                    |    ~     ~    |    1|  478.377   pc  |  -3.5242     +3.5242  |paral   |2020yCat.1350....0G
1418|BD+55 751                                                                                                                                                                      |Star                                |03 13 25.0530729720 +56 04 06.633234120|141.8502210686027 -01.4978660360181|  2.559 -12.510   |10.08    |F2                   |    ~     ~    |    1|  232.580   pc  |  -1.0765     +1.0765  |paral   |2020yCat.1350....0G
1419|BD+56 782                                                                                                                                                                      |Star                                |03 09 41.3613476808 +56 45 56.147869836|141.0506517119374 -01.1621054413039|       -2.5 3.9   |9.91     |B/A                  |    ~     ~    |    0|                |                       |        |                   
1420|TYC 3706-494-1                                                                                                                                                                 |Star                                |03 14 58.3453812792 +54 26 52.190754216|142.8822946836010 -02.7675077173745|   3.358 -7.200   |10.92    |~                    |    ~     ~    |    1|  558.129   pc  |  -3.6758     +3.6758  |paral   |2020yCat.1350....0G
1421|BD+59 580                                                                                                                                                                      |Red Supergiant                      |03 00 39.9476032848 +59 57 59.951824956|138.4499554359701 +01.0470919269497|   0.220 -0.488   |9.826    |M1Ib                 |    ~     ~    |    1| 3095.975   pc  |-216.6224   +216.6224  |paral   |2020yCat.1350....0G
1422|HD 18409                                                                                                                                                                       |Star                                |03 00 29.7126315336 +62 43 19.052057856|137.1199172717230 +03.4608283806120|   -0.570 3.791   |8.40     |O9.7Ib               |    ~     ~    |    1| 2632.965   pc  |-149.7421   +149.7421  |paral   |2020yCat.1350....0G
1423|BD+61 510                                                                                                                                                                      |Star                                |03 03 15.4836165864 +62 32 07.010375640|137.4887818395417 +03.4497007753183| -19.587 33.821   |9.26     |F5                   |    ~     ~    |    1|  141.245   pc  |  -0.3032     +0.3032  |paral   |2020yCat.1350....0G
1424|BD+61 523                                                                                                                                                                      |Star                                |03 07 57.6902452512 +62 15 52.357742460|138.0973369968386 +03.4825017372786|   -3.085 8.359   |8.69     |A5II                 |    ~     ~    |    1|  184.223   pc  |  -3.1529     +3.1529  |paral   |2020yCat.1350....0G
1425|BD+61 507                                                                                                                                                                      |Star                                |03 00 22.0770688800 +62 09 17.347637628|137.3771247964748 +02.9549465021874|  -1.389 -3.119   |10.09    |G2III                |    ~     ~    |    1|  555.155   pc  |  -3.9449     +3.9449  |paral   |2020yCat.1350....0G
1426|TYC 4048-76-1                                                                                                                                                                  |Star                                |03 01 13.9021422672 +61 19 23.152990872|137.8639132130614 +02.2724922512842|  -2.356 -0.600   |10.79    |B8                   |    ~     ~    |    1|  955.566   pc  | -18.9926    +18.9926  |paral   |2020yCat.1350....0G
1427|BD+61 508                                                                                                                                                                      |Star                                |03 01 33.0468289440 +61 40 12.777037392|137.7311344834779 +02.5955115184249|-26.184 -22.626   |9.53     |F6V                  |    ~     ~    |    1|  121.109   pc  |  -0.2171     +0.2171  |paral   |2020yCat.1350....0G
1428|TYC 4048-1895-1                                                                                                                                                                |Star                                |03 02 10.1128125624 +61 17 23.816898204|137.9785810360873 +02.2973134581697|  -6.036 -1.473   |10.74    |B9                   |    ~     ~    |    1|  517.706   pc  |  -4.3419     +4.3419  |paral   |2020yCat.1350....0G
1429|HD 18736                                                                                                                                                                       |Star                                |03 03 35.7101595696 +61 58 12.178526592|137.7979630875872 +02.9745868758868| 16.471 -10.080   |8.65     |A1V                  |    ~     ~    |    1|  357.603   pc  |  -2.3658     +2.3658  |paral   |2020yCat.1350....0G
1430|TYC 4052-780-1                                                                                                                                                                 |Star                                |03 03 52.8781572912 +61 58 00.633422712|137.8289384814601 +02.9881349668827|   0.447 -0.419   |10.8     |B6                   |    ~     ~    |    1| 2402.114   pc  |-128.0974   +128.0974  |paral   |2020yCat.1350....0G
1431|LS I +60 296                                                                                                                                                                   |Star                                |03 00 17.9483169792 +60 21 17.272590876|138.2253422577897 +01.3669478497413|   -0.097 0.139   |10.9     |B1.0                 |    ~     ~    |    1| 2515.723   pc  |-149.9941   +149.9941  |paral   |2020yCat.1350....0G
1432|LS I +60 297                                                                                                                                                                   |Star                                |03 00 21.0210127776 +60 34 22.810176948|138.1272846481296 +01.5619970764567|   -0.117 0.079   |10.9     |B                    |    ~     ~    |    1| 1975.894   pc  | -61.6857    +61.6857  |paral   |2020yCat.1350....0G
1433|BD+60 609                                                                                                                                                                      |Star                                |03 00 30.0058597128 +61 23 47.745246012|137.7517238445510 +02.2953121456890|  -2.724 -0.208   |10.50    |B8                   |    ~     ~    |    1| 1046.135   pc  | -36.9906    +36.9906  |paral   |2020yCat.1350....0G
1434|BD+60 610                                                                                                                                                                      |Star                                |03 00 35.8719446544 +61 23 10.960902096|137.7668908535726 +02.2918909746752| 20.242 -10.506   |8.88     |F3V                  |    ~     ~    |    1|  205.829   pc  |  -0.8431     +0.8431  |paral   |2020yCat.1350....0G
1435|TYC 4048-514-1                                                                                                                                                                 |Star                                |03 00 52.4791012344 +61 07 20.557067196|137.9219923847943 +02.0755984763364|   1.673 -1.952   |10.69    |B9                   |    ~     ~    |    1|  583.363   pc  |  -6.8403     +6.8403  |paral   |2020yCat.1350....0G
1436|BD+60 611                                                                                                                                                                      |Star                                |03 00 55.8580703904 +60 44 41.932753332|138.1080142022518 +01.7471038387906|  -4.914 -5.860   |9.84     |A5V                  |    ~     ~    |    1|  428.908   pc  |  -5.1326     +5.1326  |paral   |2020yCat.1350....0G
1437|BD+60 614                                                                                                                                                                      |Spectroscopic Binary                |03 02 03.6418531272 +61 11 44.452337244|138.0125550614389 +02.2084188394965|  63.368 -6.287   |9.40     |G5V                  |    ~     ~    |    1|  109.981   pc  |  -0.5080     +0.5080  |paral   |2020yCat.1350....0G
1438|BD+60 616                                                                                                                                                                      |Star                                |03 02 24.1595043288 +61 31 40.188841788|137.8885381027100 +02.5193010589273|   -2.987 0.130   |9.26     |G8III                |    ~     ~    |    1|  456.871   pc  |  -4.9887     +4.9887  |paral   |2020yCat.1350....0G
1439|TYC 4048-1045-1                                                                                                                                                                |Star                                |03 02 43.8179148144 +60 12 25.931716776|138.5606361385660 +01.3815544457015|   0.106 -0.549   |10.9     |B9                   |    ~     ~    |    1|  582.819   pc  |  -5.1971     +5.1971  |paral   |2020yCat.1350....0G
1440|BD+60 618                                                                                                                                                                      |Star                                |03 03 12.4598864040 +60 57 37.822591404|138.2476437726040 +02.0693235622293|    0.881 0.879   |9.18     |F4V                  |    ~     ~    |    1|  182.402   pc  |  -3.2971     +3.2971  |paral   |2020yCat.1350....0G
1441|HD 237050                                                                                                                                                                      |Star                                |03 01 38.7863314848 +60 34 39.728210016|138.2650108544059 +01.6420486580305| 11.890 -13.211   |9.66     |A0V                  |    ~     ~    |    1|  364.618   pc  |  -2.0474     +2.0474  |paral   |2020yCat.1350....0G
1442|HD 237057                                                                                                                                                                      |Star                                |03 03 03.8056798944 +60 30 50.336193636|138.4484425906148 +01.6700526392059|   0.291 20.360   |9.78     |F8                   |    ~     ~    |    1|  202.470   pc  |  -0.4837     +0.4837  |paral   |2020yCat.1350....0G
1443|HD 237058                                                                                                                                                                      |Star                                |03 03 19.1354859216 +60 31 29.708341356|138.4706623370991 +01.6948404193027|   -2.741 1.943   |9.91     |G5                   |    ~     ~    |    1|  715.052   pc  | -13.6517    +13.6517  |paral   |2020yCat.1350....0G
1444|HD 18766                                                                                                                                                                       |Star                                |03 03 48.6048169200 +60 18 44.692515936|138.6268570842360 +01.5384595352007| -38.889 -8.474   |7.23     |F5V                  |    ~     ~    |    1|   93.852   pc  |  -0.1577     +0.1577  |paral   |2020yCat.1350....0G
1445|V* V1018 Cas                                                                                                                                                                   |Eclipsing Binary                    |03 01 19.3722315312 +60 34 20.259860952|138.2326903881553 +01.6182826547066|   0.103 -0.168   |10.12    |B2III:               |    ~     ~    |    1| 2235.136   pc  | -94.4213    +94.4213  |paral   |2020yCat.1350....0G
1446|BD+61 515                                                                                                                                                                      |Star                                |03 05 13.2018329928 +61 51 40.589914464|138.0182597795724 +02.9731007642988|   7.057 10.315   |8.49     |K1III                |    ~     ~    |    1|  240.177   pc  |  -1.0729     +1.0729  |paral   |2020yCat.1350....0G
1447|BD+61 516                                                                                                                                                                      |Star                                |03 05 25.2173308872 +61 37 58.441886040|138.1513032615446 +02.7858559215898|  -4.835 -0.296   |9.77     |B/A                  |    ~     ~    |    1|  665.115   pc  |  -7.1223     +7.1223  |paral   |2020yCat.1350....0G
1448|V* V799 Cas                                                                                                                                                                    |Eclipsing Binary                    |03 05 27.5447163552 +61 39 17.684361792|138.1444798228960 +02.8072868381465|  -4.762 -0.321   |8.82     |B9                   |    ~     ~    |    1|  660.328   pc  |  -8.1538     +8.1538  |paral   |2020yCat.1350....0G
1449|BD+61 518                                                                                                                                                                      |Double or Multiple Star             |03 06 00.2988119904 +61 34 49.705428072|138.2377215484852 +02.7744795966005|  -0.793 -3.712   |9.60     |B8V                  |    ~     ~    |    0|                |                       |        |                   
1450|BD+61 519                                                                                                                                                                      |Star                                |03 06 15.8183270832 +62 06 24.261194088|138.0038699915477 +03.2470798719903| -21.210 -5.696   |10.13    |F5                   |    ~     ~    |    1|  223.954   pc  |  -1.0482     +1.0482  |paral   |2020yCat.1350....0G
