C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:36:43

dec >=0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3235

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+85 134                                                                                                |Star                               |09 12 08.5967116200 +84 49 40.309011876|127.8139645546164 +30.0230132341973|   -9.214 2.583   |10.89    |F8               |    ~     ~    |    1|  471.209   pc  |  -2.4424     +2.4424  |paral   |2020yCat.1350....0G
23  |BD+84 194                                                                                                |Star                               |09 14 55.5224409024 +84 25 14.843092368|128.1672302425354 +30.2998830627162|  -0.934 -3.460   |10.24    |F5               |    ~     ~    |    1|  297.018   pc  |  -1.3939     +1.3939  |paral   |2020yCat.1350....0G
24  |HD 74924                                                                                                 |Star                               |09 00 04.4669337072 +82 43 09.982201764|130.1084291536168 +30.8198613812992|  -0.258 -6.853   |7.11     |K0               |    ~     ~    |    1|  535.303   pc  |  -4.3556     +4.3556  |paral   |2020yCat.1350....0G
25  |HD 75370                                                                                                 |Star                               |09 02 42.8785019880 +82 44 41.531810424|130.0353391234324 +30.8805383818242|  11.351 21.327   |6.99     |F0               |    ~     ~    |    1|  110.065   pc  |  -0.2047     +0.2047  |paral   |2020yCat.1350....0G
26  |BD+83 234                                                                                                |Star                               |09 02 43.4325313176 +82 30 16.164681984|130.2795546236137 +30.9984640425553| -8.628 -18.586   |10.28    |G5               |    ~     ~    |    1|  209.223   pc  |  -0.4859     +0.4859  |paral   |2020yCat.1350....0G
27  |HD 76114                                                                                                 |Star                               |09 07 53.3425314600 +83 10 30.577403028|129.5092569265399 +30.8015538107384|  0.946 -18.967   |8.30     |G0               |    ~     ~    |    1|  349.260   pc  |  -2.2933     +2.2933  |paral   |2020yCat.1350....0G
28  |BD+82 260                                                                                                |Star                               |09 00 27.2261563176 +82 25 39.833355036|130.3999038610696 +30.9704781846860|   5.434 -1.590   |9.83     |F5               |    ~     ~    |    1|  261.138   pc  |  -0.7024     +0.7024  |paral   |2020yCat.1350....0G
29  |BD+82 262                                                                                                |Star                               |09 07 28.7065979664 +82 22 36.656853384|130.3180435372740 +31.1975990797614|-14.992 -18.856   |9.93     |F8               |    ~     ~    |    1|  406.223   pc  |  -1.9307     +1.9307  |paral   |2020yCat.1350....0G
30  |BD+84 197                                                                                                |Star                               |09 13 44.5246347144 +83 39 45.089286408|128.9245311639195 +30.6872859795850|  -5.335 -0.931   |10.03    |A2               |    ~     ~    |    1|  553.618   pc  |  -8.6124     +8.6124  |paral   |2020yCat.1350....0G
31  |BD+83 237                                                                                                |Star                               |09 10 22.7970261360 +82 46 55.849899180|129.8554776527034 +31.0699434023206|-16.726 -19.276   |10.78    |F8               |    ~     ~    |    1|  287.720   pc  |  -1.3411     +1.3411  |paral   |2020yCat.1350....0G
32  |HD 76904                                                                                                 |Star                               |09 12 20.4742862328 +83 07 31.910242512|129.4777937365102 +30.9406755246026|  -5.054 18.257   |8.93     |F0               |    ~     ~    |    1|  204.240   pc  |  -0.6299     +0.6299  |paral   |2020yCat.1350....0G
33  |HD 77325                                                                                                 |Double or Multiple Star            |09 14 34.2028 +82 52 58.224            |129.6749881 +31.1276325            |        3.0 3.8   |9.25     |G                |    ~     ~    |    0|                |                       |        |                   
34  |TYC 4631-321-1                                                                                           |Star                               |09 05 23.9723448624 +82 43 57.558286776|129.9986902921316 +30.9602765590404|    4.014 8.149   |10.43    |~                |    ~     ~    |    1|  822.098   pc  |  -8.3805     +8.3805  |paral   |2020yCat.1350....0G
35  |TYC 4631-470-1                                                                                           |Star                               |09 00 40.4490091992 +82 41 08.390511744|130.1322513342591 +30.8528014651022|  -1.465 -4.459   |10.80    |~                |    ~     ~    |    1| 1272.103   pc  | -21.3608    +21.3608  |paral   |2020yCat.1350....0G
36  |TYC 4631-493-1                                                                                           |Star                               |09 10 42.6604973808 +82 54 52.213188744|129.7174411565611 +31.0097141217314|  -2.857 -1.700   |10.87    |~                |    ~     ~    |    1| 1519.064   pc  | -26.7677    +26.7677  |paral   |2020yCat.1350....0G
37  |TYC 4631-2335-1                                                                                          |Star                               |09 13 16.3448763048 +83 46 00.435984528|128.8305339874024 +30.6202242632265|  -5.408 10.360   |10.87    |~                |    ~     ~    |    1|  632.511   pc  |  -7.1613     +7.1613  |paral   |2020yCat.1350....0G
38  |TYC 4635-242-1                                                                                           |Star                               |09 12 13.2154764528 +84 28 16.093206048|128.1596499530744 +30.2175667502132|  -30.073 5.879   |10.95    |~                |    ~     ~    |    1|  286.090   pc  |  -1.0558     +1.0558  |paral   |2020yCat.1350....0G
39  |TYC 4635-1349-1                                                                                          |Star                               |09 02 47.0805183624 +85 10 00.007787532|127.6054708664835 +29.6713604678417|    1.020 1.670   |10.96    |~                |    ~     ~    |    1|  109.655   pc  |  -0.1263     +0.1263  |paral   |2020yCat.1350....0G
40  |BD+82 261                                                                                                |Double or Multiple Star            |09 05 15.871416 +81 58 12.36432        |130.774200759 +31.335783244        |        9.5 0.6   |9.133    |G5               |    ~     ~    |    0|                |                       |        |                   
