C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:36:43

dec >=0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3235

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
946 |BD+42 1968                                                                                               |Star                               |09 07 35.1605612328 +42 16 36.960356532|179.1703907588333 +42.4798158120010| -12.937 -9.018   |10.65    |K0               |    ~     ~    |    1|  881.523   pc  | -13.3658    +13.3658  |paral   |2020yCat.1350....0G
947 |HD 78211                                                                                                 |Double or Multiple Star            |09 08 20.3425189 +42 10 47.073532      |179.3028394645 +42.6189475826      |    27.28 -8.24   |8.72     |G5               |0.0017  0.0    |    0|                |                       |        |                   
948 |BD+42 1970                                                                                               |Star                               |09 08 37.2566171232 +42 02 52.554063228|179.4822540381401 +42.6708210314658|  12.577 -7.141   |9.49     |K0               |    ~     ~    |    1|  557.320   pc  |  -6.0568     +6.0568  |paral   |2020yCat.1350....0G
949 |BD+43 1879                                                                                               |Star                               |09 05 22.7897818128 +42 55 54.519123360|178.2846840188122 +42.0745862308347|  -9.814 -0.650   |10.22    |K4               |    ~     ~    |    1|  896.298   pc  | -14.9423    +14.9423  |paral   |2020yCat.1350....0G
950 |BD+42 1955                                                                                               |Star                               |09 00 37.6167225192 +41 45 17.793213336|179.8410039921739 +41.1784839986395|-34.412 -15.307   |10.30    |~                |    ~     ~    |    1|  246.457   pc  |  -1.2938     +1.2938  |paral   |2020yCat.1350....0G
951 |* 10 UMa                                                                                                 |Spectroscopic Binary               |09 00 38.38067 +41 46 58.6051          |179.80391293 +41.18172426          |-474.31 -204.21   |3.960    |F3V+G5V          |0.0100  0.0    |    1|   18.74    pc  |  -0.2841     +0.2841  |paral   |2020yCat.1350....0G
952 |HD 77092                                                                                                 |High Proper Motion Star            |09 01 32.7649420632 +40 56 26.293946820|180.9316787856223 +41.3214414867658|-47.818 -27.517   |7.41     |F5               |    ~     ~    |    1|   81.635   pc  |  -0.1493     +0.1493  |paral   |2020yCat.1350....0G
953 |BD+41 1903                                                                                               |Star                               |09 01 53.2345960752 +41 15 35.239554180|180.5100494462173 +41.3978519393950|   7.911 -9.203   |10.72    |K0               |    ~     ~    |    1|  995.718   pc  | -16.1607    +16.1607  |paral   |2020yCat.1350....0G
954 |BD+41 1904                                                                                               |Star                               |09 02 54.6509328672 +41 17 45.952802880|180.4702177162755 +41.5912766249686|-16.572 -14.288   |9.49     |G8III            |    ~     ~    |    1|  525.127   pc  |  -4.6052     +4.6052  |paral   |2020yCat.1350....0G
955 |BD+41 1905                                                                                               |Star                               |09 03 11.6469479904 +41 26 42.256634316|180.2731858112765 +41.6489117074025| -9.751 -28.937   |9.78     |K0III            |    ~     ~    |    1|  385.862   pc  |  -2.3227     +2.3227  |paral   |2020yCat.1350....0G
956 |HD 77856                                                                                                 |Star                               |09 06 19.3408860096 +41 42 21.873516120|179.9399012849610 +42.2396265435869| -17.331 -9.298   |9.28     |F2               |    ~     ~    |    1|  367.634   pc  |  -2.4057     +2.4057  |paral   |2020yCat.1350....0G
957 |HD 77499                                                                                                 |Star                               |09 04 18.4711285440 +41 20 49.093484820|180.4124585109425 +41.8549564564135|  -8.074 -3.488   |8.70     |G8III            |    ~     ~    |    1|  352.100   pc  | -18.8813    +18.8813  |paral   |2020yCat.1350....0G
958 |BD+41 1913                                                                                               |Star                               |09 04 43.5668712984 +41 23 01.527563328|180.3658267802842 +41.9343740252724|  33.143 -9.818   |9.16     |K0III            |    ~     ~    |    1|  430.422   pc  |  -4.1314     +4.1314  |paral   |2020yCat.1350....0G
959 |NGC 2755                           NGC 2755                                                              |Radio Galaxy                       |09 07 58.306 +41 42 32.14              |179.941638 +42.547480              |            ~ ~   |     ~   |~                |0.757 0.454    |    0|                |                       |        |                   
960 |TYC 2986-24-1                                                                                            |Star                               |09 03 18.4317924600 +41 50 49.989792336|179.7357646688856 +41.6802759576868|-25.981 -42.316   |10.86    |~                |    ~     ~    |    1|  142.458   pc  |  -1.4003     +1.4003  |paral   |2020yCat.1350....0G
961 |TYC 2986-118-1                                                                                           |Star                               |09 05 22.2256673136 +41 54 35.232492096|179.6614304504923 +42.0654325123437| -28.048 -1.206   |10.09    |~                |    ~     ~    |    1|  180.986   pc  |  -0.8582     +0.8582  |paral   |2020yCat.1350....0G
962 |2MASS J09034712+4149437                                                                                  |Red Giant Branch star              |09 03 47.1368408448 +41 49 43.616635104|179.7630475495488 +41.7689650227178| 14.050 -17.818   |9.95     |M                |    ~     ~    |    1| 1695.490   pc  | -48.0073    +48.0073  |paral   |2020yCat.1350....0G
963 |TYC 2986-1554-1                                                                                          |Star                               |09 01 45.6867598440 +41 23 04.218259668|180.3428292163679 +41.3785473333924|  -22.104 9.113   |9.79     |~                |    ~     ~    |    1|  575.043   pc  |  -4.8609     +4.8609  |paral   |2020yCat.1350....0G
964 |TYC 2987-1505-1                                                                                          |Spectroscopic Binary               |09 08 47.0939076696 +42 29 14.819183736|178.8843325167679 +42.7011316549449|-63.267 -40.473   |10.78    |~                |    ~     ~    |    1|  118.794   pc  |  -0.2625     +0.2625  |paral   |2020yCat.1350....0G
965 |TYC 2989-35-1                                                                                            |Star                               |09 00 20.5670006784 +42 32 01.359680208|178.8051155101216 +41.1458187777986| -0.623 -22.719   |10.87    |~                |    ~     ~    |    1|  252.379   pc  |  -1.0382     +1.0382  |paral   |2020yCat.1350....0G
966 |TYC 2989-49-1                                                                                            |Star                               |09 06 10.2825267648 +42 31 36.930220464|178.8310143274221 +42.2194539450340|  -4.109 -6.112   |10.20    |~                |    ~     ~    |    1| 1645.007   pc  | -45.4616    +45.4616  |paral   |2020yCat.1350....0G
967 |TYC 2989-107-1                                                                                           |Star                               |09 01 27.9719780928 +42 41 30.620263380|178.5995800428422 +41.3552168128017|   6.648 -7.444   |10.78    |~                |    ~     ~    |    1|  966.090   pc  | -14.9333    +14.9333  |paral   |2020yCat.1350....0G
968 |TYC 2989-229-1                                                                                           |Horizontal Branch Star             |09 01 25.8362019912 +42 39 48.081737988|178.6373910221356 +41.3482556501373|    9.651 3.606   |10.43    |~                |    ~     ~    |    1|  794.092   pc  | -10.2785    +10.2785  |paral   |2020yCat.1350....0G
969 |TYC 2989-299-1                                                                                           |High Proper Motion Star            |09 00 50.1784842768 +42 43 01.134096996|178.5637795161417 +41.2398909670427|-57.653 -23.710   |10.95    |~                |    ~     ~    |    1|  166.030   pc  |  -0.4548     +0.4548  |paral   |2020yCat.1350....0G
970 |TYC 2989-533-1                                                                                           |Star                               |09 03 06.1545514968 +42 59 07.224655488|178.2115998708985 +41.6580531040685|  -2.891 -6.709   |9.67     |~                |    ~     ~    |    1| 1143.641   pc  | -28.7741    +28.7741  |paral   |2020yCat.1350....0G
971 |TYC 2989-893-1                                                                                           |High Proper Motion Star            |09 02 57.2365242216 +43 05 40.637988060|178.0651992131848 +41.6313853723520|-46.819 -68.266   |10.62    |~                |    ~     ~    |    1|  251.617   pc  |  -1.1586     +1.1586  |paral   |2020yCat.1350....0G
972 |BD+42 1974                                                                                               |Star                               |09 12 40.3769725416 +42 00 54.420341796|179.5251632646188 +43.4233125240832| -36.999 -3.777   |10.44    |F2               |    ~     ~    |    1|  344.649   pc  |  -3.2784     +3.2784  |paral   |2020yCat.1350....0G
973 |BD+42 1980                                                                                               |High Proper Motion Star            |09 14 56.2777690104 +41 41 38.102005428|179.9641370433272 +43.8477198813195|  -66.754 8.782   |10.07    |G5               |    ~     ~    |    1|   73.501   pc  |  -0.0902     +0.0902  |paral   |2020yCat.1350....0G
974 |TYC 2987-1268-1                                                                                          |Star                               |09 14 45.0109607640 +41 54 27.194125356|179.6685200780070 +43.8104998455065|  -1.771 -3.625   |9.63     |~                |    ~     ~    |    1|  786.720   pc  |  -9.5934     +9.5934  |paral   |2020yCat.1350....0G
975 |TYC 2987-1513-1                                                                                          |Spectroscopic Binary               |09 14 10.8830498280 +42 07 08.423640840|179.3776709422583 +43.7021367816109|   0.782 -0.370   |10.83    |~                |    ~     ~    |    1|  968.617   pc  | -35.7461    +35.7461  |paral   |2020yCat.1350....0G
976 |BD+40 2146                                                                                               |Star                               |09 04 25.1502846816 +40 22 02.803909440|181.7276153528288 +41.8420439447211|  -2.133 -5.896   |9.01     |M0               |    ~     ~    |    1| 1136.751   pc  | -33.0804    +33.0804  |paral   |2020yCat.1350....0G
977 |BD+40 2149                                                                                               |Star                               |09 05 23.9587552008 +40 12 38.846065356|181.9485706946606 +42.0222012512026|   -5.536 7.936   |9.52     |G5               |    ~     ~    |    1|  613.648   pc  |  -5.0836     +5.0836  |paral   |2020yCat.1350....0G
978 |BD+40 2151                                                                                               |Star                               |09 05 34.0984558848 +40 08 11.726171232|182.0502241885410 +42.0513142821321|  4.520 -11.544   |9.12     |K0               |    ~     ~    |    1|  598.050   pc  |  -7.1533     +7.1533  |paral   |2020yCat.1350....0G
979 |BD+40 2158                                                                                               |Star                               |09 07 16.4101550376 +39 53 13.035977232|182.4056234672480 +42.3669537300522|   8.257 20.529   |9.69     |F2               |    ~     ~    |    1|  211.551   pc  |  -0.9533     +0.9533  |paral   |2020yCat.1350....0G
980 |BD+39 2212                                                                                               |Star                               |09 11 01.3516135368 +39 24 37.825762140|183.0937363672262 +43.0685256639966| -3.845 -19.047   |10.45    |F8               |    ~     ~    |    1|  237.220   pc  |  -0.7991     +0.7991  |paral   |2020yCat.1350....0G
981 |HD 77310                                                                                                 |Star                               |09 03 11.6542074744 +40 34 40.544643000|181.4326625552658 +41.6181703729834| 24.504 -25.050   |9.32     |F8               |    ~     ~    |    1|  193.442   pc  |  -2.9487     +2.9487  |paral   |2020yCat.1350....0G
982 |BD+41 1907                                                                                               |Star                               |09 03 39.2952042936 +41 02 33.639263916|180.8153696989203 +41.7229203035167| -10.156 -6.093   |9.66     |G0               |    ~     ~    |    1|  235.444   pc  |  -1.2861     +1.2861  |paral   |2020yCat.1350....0G
983 |BD+41 1908                                                                                               |Star                               |09 03 42.3476602584 +41 05 12.442245828|180.7567235954676 +41.7339737164417|  -10.858 1.688   |9.51     |A5               |    ~     ~    |    1|  372.315   pc  |  -2.8139     +2.8139  |paral   |2020yCat.1350....0G
984 |HD 77802                                                                                                 |Star                               |09 06 05.5506131496 +41 04 02.661523068|180.8007621760382 +42.1829898550550| -17.512 -9.372   |9.40     |K0               |    ~     ~    |    1|  396.102   pc  |  -2.7928     +2.7928  |paral   |2020yCat.1350....0G
985 |BD+41 1915                                                                                               |Double or Multiple Star            |09 06 15.9957 +41 07 23.744            |180.7265339 +42.2172230            |  28.113 -6.216   |10.03    |K0               |    ~     ~    |    0|                |                       |        |                   
986 |BD+41 1909                                                                                               |High Proper Motion Star            |09 04 14.8397384232 +40 39 28.936336968|181.3361705945621 +41.8210666826231| -0.036 -59.339   |10.14    |G5               |    ~     ~    |    1|  167.386   pc  |  -0.5632     +0.5632  |paral   |2020yCat.1350....0G
987 |BD+41 1921                                                                                               |Star                               |09 08 18.9336837480 +40 31 17.670329220|181.5553117018063 +42.5883838546636|   -0.441 1.015   |10.14    |F0               |    ~     ~    |    1|  457.917   pc  |  -3.9212     +3.9212  |paral   |2020yCat.1350....0G
988 |HD 78212                                                                                                 |Star                               |09 08 28.2845460312 +41 08 41.662976604|180.7095575551936 +42.6327484352661|-19.151 -12.119   |8.480    |K5               |    ~     ~    |    1|  558.129   pc  |  -7.4139     +7.4139  |paral   |2020yCat.1350....0G
989 |BD+41 1923                                                                                               |Star                               |09 09 00.6820474104 +40 54 58.231605348|181.0233750452799 +42.7300405680790|  -5.482 -3.352   |10.41    |K0               |    ~     ~    |    1|  569.120   pc  |  -5.6682     +5.6682  |paral   |2020yCat.1350....0G
990 |BD+41 1924                                                                                               |Star                               |09 09 29.4117935232 +40 28 09.456452328|181.6349054474736 +42.8101523348168|  2.023 -17.692   |9.85     |K0               |    ~     ~    |    1|  598.086   pc  |  -6.3314     +6.3314  |paral   |2020yCat.1350....0G
991 |BD+41 1927                                                                                               |High Proper Motion Star            |09 10 15.6456485808 +41 12 44.312670432|180.6248636152632 +42.9704525105197| 70.153 -10.590   |9.68     |G0               |    ~     ~    |    1|  169.096   pc  |  -0.4947     +0.4947  |paral   |2020yCat.1350....0G
992 |BD+41 1932                                                                                               |Star                               |09 12 41.1619069560 +40 44 00.473910576|181.2898222212916 +43.4219618074392|  -6.908 -1.225   |9.55     |K0               |    ~     ~    |    1|  996.214   pc  | -15.9783    +15.9783  |paral   |2020yCat.1350....0G
993 |HD 79065                                                                                                 |High Proper Motion Star            |09 13 06.3301015632 +40 53 11.422998456|181.0802619347963 +43.5031161505678|-28.982 -53.159   |8.41     |K2               |    ~     ~    |    1| 1422.677   pc  | -58.8987    +58.8987  |paral   |2020yCat.1350....0G
994 |BD+40 2160                                                                                               |Star                               |09 08 33.8890439352 +39 54 00.495115488|182.4012720811888 +42.6149696820984| -11.325 -8.579   |9.55     |K2               |    ~     ~    |    1|  909.753   pc  | -15.2288    +15.2288  |paral   |2020yCat.1350....0G
995 |HD 78477                                                                                                 |Star                               |09 09 49.0573524648 +40 09 22.428165672|182.0641089383967 +42.8635257497457|  -9.021 -9.725   |8.06     |K5               |    ~     ~    |    1|  332.171   pc  |  -2.3723     +2.3723  |paral   |2020yCat.1350....0G
996 |HD 78769                                                                                                 |Star                               |09 11 18.6103626624 +40 18 01.569501180|181.8777670377212 +43.1522902699942|   -2.157 3.946   |7.59     |K2               |    ~     ~    |    1|  565.611   pc  |  -7.1341     +7.1341  |paral   |2020yCat.1350....0G
997 |HD 79031                                                                                                 |Star                               |09 12 47.8794869664 +39 59 58.772140152|182.3005861615321 +43.4290192403929|   2.172 -2.137   |9.18     |G0               |    ~     ~    |    1|  165.879   pc  |  -0.4127     +0.4127  |paral   |2020yCat.1350....0G
998 |HD 79044                                                                                                 |Star                               |09 12 55.4205188040 +40 23 06.466223220|181.7705124882785 +43.4614907623148| -8.651 -29.422   |8.61     |F5               |    ~     ~    |    1|  230.028   pc  |  -1.4286     +1.4286  |paral   |2020yCat.1350....0G
999 |BD+40 2174                                                                                               |Star                               |09 14 23.0281864584 +40 14 36.555295056|181.9729063589508 +43.7372670217361| -13.267 -8.835   |9.87     |K0               |    ~     ~    |    1|  657.549   pc  | -11.9334    +11.9334  |paral   |2020yCat.1350....0G
1000|HD 78697                                                                                                 |Star                               |09 10 51.0860222496 +39 47 15.669220956|182.5761989893942 +43.0495178275916|-14.575 -36.997   |8.03     |F0               |    ~     ~    |    1|  127.696   pc  |  -0.6686     +0.6686  |paral   |2020yCat.1350....0G
1001|BD+40 2169                                                                                               |Star                               |09 11 30.4141222800 +39 44 38.998034880|182.6415697295060 +43.1739452041164|   1.936 -0.463   |9.75     |F2               |    ~     ~    |    1|  515.623   pc  |  -5.0515     +5.0515  |paral   |2020yCat.1350....0G
1002|BD+40 2170                                                                                               |Star                               |09 11 33.6331216152 +39 33 38.103537852|182.8936467909907 +43.1779390236082|   20.348 3.367   |9.56     |K0               |    ~     ~    |    1|  510.595   pc  | -26.2793    +26.2793  |paral   |2020yCat.1350....0G
1003|HD 79339                                                                                                 |Star                               |09 14 43.5766756704 +39 42 28.130078556|182.7163848571809 +43.7916422756070| -13.798 -8.859   |8.76     |K0               |    ~     ~    |    1|  373.441   pc  |  -2.8031     +2.8031  |paral   |2020yCat.1350....0G
1004|TYC 2984-674-1                                                                                           |High Proper Motion Star            |09 09 36.6071907720 +39 30 53.766232776|182.9360326526898 +42.8004039732605|-49.485 -10.632   |10.73    |~                |    ~     ~    |    1|  246.494   pc  |  -1.3914     +1.3914  |paral   |2020yCat.1350....0G
1005|TYC 2984-1235-1                                                                                          |Star                               |09 09 10.9635707736 +39 57 19.121466348|182.3322600955779 +42.7353978489499|  -1.590 -8.733   |10.27    |~                |    ~     ~    |    1|  861.772   pc  | -16.7096    +16.7096  |paral   |2020yCat.1350....0G
1006|TYC 2986-245-1                                                                                           |High Proper Motion Star            |09 05 08.7552297648 +40 18 11.825970336|181.8215100693274 +41.9777445225825| 55.096 -49.020   |10.86    |~                |    ~     ~    |    1|  103.803   pc  |  -0.1767     +0.1767  |paral   |2020yCat.1350....0G
1007|TYC 2986-857-1                                                                                           |Star                               |09 05 34.6740708312 +40 24 37.959438420|181.6816503355287 +42.0642399883084|-22.335 -24.124   |10.87    |~                |    ~     ~    |    1|  258.886   pc  |  -0.9986     +0.9986  |paral   |2020yCat.1350....0G
1008|TYC 2986-1049-1                                                                                          |Star                               |09 01 43.9514290128 +40 36 04.577429160|181.3852408511231 +41.3419637539771| -21.210 -7.012   |10.83    |~                |    ~     ~    |    1|  383.377   pc  |  -3.2776     +3.2776  |paral   |2020yCat.1350....0G
1009|TYC 2986-1087-1                                                                                          |Star                               |09 01 11.1741569688 +40 52 42.027547836|181.0107034487482 +41.2508929887265|   15.532 6.049   |10.82    |~                |    ~     ~    |    1|  177.907   pc  |  -0.4653     +0.4653  |paral   |2020yCat.1350....0G
1010|TYC 2986-1404-1                                                                                          |High Proper Motion Star            |09 02 08.7878161632 +40 59 35.317381992|180.8677811396965 +41.4367801885402|-40.094 -51.278   |10.60    |~                |    ~     ~    |    1|  204.061   pc  |  -0.6912     +0.6912  |paral   |2020yCat.1350....0G
1011|TYC 2986-1524-1                                                                                          |Star                               |09 06 21.7242943560 +40 35 57.623676072|181.4343884632782 +42.2199617046459|   1.199 -1.769   |10.40    |~                |    ~     ~    |    1|  468.845   pc  |  -6.5725     +6.5725  |paral   |2020yCat.1350....0G
1012|TYC 2987-16-1                                                                                            |Star                               |09 08 20.4710660592 +40 30 25.870914036|181.5750408347585 +42.5928317137069|  8.039 -11.137   |10.86    |~                |    ~     ~    |    1| 1139.471   pc  | -16.6195    +16.6195  |paral   |2020yCat.1350....0G
1013|TYC 2987-101-1                                                                                           |Star                               |09 13 04.9711637136 +40 42 06.442381764|181.3348282712238 +43.4967268065614|   -3.182 3.332   |10.58    |~                |    ~     ~    |    1|  481.070   pc  |  -4.4666     +4.4666  |paral   |2020yCat.1350....0G
1014|TYC 2987-116-1                                                                                           |Spectroscopic Binary               |09 13 26.0406224064 +40 28 40.199372760|181.6450042202365 +43.5601811645842|  -2.801 -4.160   |10.65    |~                |    ~     ~    |    1|  431.258   pc  |  -3.5523     +3.5523  |paral   |2020yCat.1350....0G
1015|TYC 2987-540-1                                                                                           |Star                               |09 12 09.8093190168 +40 10 38.027294544|182.0522539089755 +43.3120936521291|-11.618 -15.021   |10.83    |~                |    ~     ~    |    1|  346.789   pc  |  -1.5634     +1.5634  |paral   |2020yCat.1350....0G
1016|TYC 2987-574-1                                                                                           |Star                               |09 08 49.8241086024 +40 22 36.015878064|181.7561277892969 +42.6820028528323|   -0.617 0.851   |10.46    |~                |    ~     ~    |    1| 1535.627   pc  | -40.7960    +40.7960  |paral   |2020yCat.1350....0G
1017|TYC 2987-661-1                                                                                           |Star                               |09 10 39.4484787144 +40 22 25.103975448|181.7733368282404 +43.0297617502433|   -5.111 0.616   |10.57    |~                |    ~     ~    |    1|  958.038   pc  | -15.1443    +15.1443  |paral   |2020yCat.1350....0G
1018|TYC 2987-688-1                                                                                           |High Proper Motion Star            |09 14 50.3353542984 +40 03 29.413596780|182.2316846988134 +43.8209101620576|-35.069 -35.986   |10.76    |~                |    ~     ~    |    1|  239.091   pc  |  -1.0004     +1.0004  |paral   |2020yCat.1350....0G
1019|TYC 2987-715-1                                                                                           |High Proper Motion Star            |09 13 57.9916738896 +40 50 45.207262824|181.1383403177098 +43.6655318963098|-33.451 -50.755   |10.87    |~                |    ~     ~    |    1|  117.483   pc  |  -0.2126     +0.2126  |paral   |2020yCat.1350....0G
1020|TYC 2987-872-1                                                                                           |Star                               |09 08 28.0544585784 +40 14 17.172780828|181.9414419243334 +42.6084824677598|  3.848 -15.148   |10.60    |~                |    ~     ~    |    1|  330.863   pc  |  -2.7477     +2.7477  |paral   |2020yCat.1350....0G
1021|TYC 2987-937-1                                                                                           |Star                               |09 11 30.1537029384 +40 36 28.760647824|181.4572326790524 +43.1955501551255|-10.316 -16.873   |10.74    |~                |    ~     ~    |    1|  873.210   pc  | -17.4611    +17.4611  |paral   |2020yCat.1350....0G
1022|TYC 2987-976-1                                                                                           |Star                               |09 13 53.9843911560 +41 43 16.282548912|179.9284258543511 +43.6537464510115|-14.066 -22.559   |10.80    |~                |    ~     ~    |    1|  293.807   pc  |  -1.5624     +1.5624  |paral   |2020yCat.1350....0G
1023|TYC 2987-1027-1                                                                                          |Star                               |09 13 22.3047707136 +41 31 46.843961520|180.1934394783445 +43.5558365389007| -13.386 -1.401   |10.38    |~                |    ~     ~    |    1|  957.854   pc  | -15.9642    +15.9642  |paral   |2020yCat.1350....0G
1024|TYC 2987-1248-1                                                                                          |Star                               |09 09 59.1837 +40 33 54.113            |181.5075929 +42.9068451            |     -21.4 10.2   |10.69    |~                |    ~     ~    |    0|                |                       |        |                   
1025|TYC 2987-1574-1                                                                                          |Star                               |09 09 03.1898874360 +41 44 41.538779952|179.8952966532447 +42.7495715914114|   4.004 -0.631   |10.95    |~                |    ~     ~    |    1| 1043.297   pc  | -16.2182    +16.2182  |paral   |2020yCat.1350....0G
1026|TYC 2987-1597-1                                                                                          |Star                               |09 13 52.9613121984 +41 32 09.455811072|180.1844492349156 +43.6514410133630|-20.851 -24.332   |10.68    |~                |    ~     ~    |    1|  210.358   pc  |  -0.6328     +0.6328  |paral   |2020yCat.1350....0G
1027|TYC 2987-1652-1                                                                                          |Star                               |09 06 53.6442220608 +40 57 37.614600108|180.9505961893480 +42.3313287937873|  -1.438 -4.506   |10.12    |~                |    ~     ~    |    1|  873.134   pc  | -15.0948    +15.0948  |paral   |2020yCat.1350....0G
1028|TYC 2987-1693-1                                                                                          |Star                               |09 11 46.1789939400 +40 57 31.530863952|180.9770051796654 +43.2515940895940|   9.293 -7.231   |10.75    |~                |    ~     ~    |    1|  293.436   pc  |  -1.5499     +1.5499  |paral   |2020yCat.1350....0G
1029|NGC 2782                           NAME OKM2018 SWIFT J0914.2+4003    NGC 2782                           |Seyfert 2 Galaxy                   |09 14 05.120 +40 06 49.68              |182.150827 +43.677875              |            ~ ~   |11.63    |~                |1.377 1.156    |    1|   38.6     Mpc |                       |redshift|2011MNRAS.413..813C
1030|BD+40 2133                                                                                               |Star                               |09 00 59.3640392304 +40 20 17.276918964|181.7257215457094 +41.1879577522572|  -1.463 34.897   |10.45    |G5               |    ~     ~    |    1|   77.121   pc  |  -0.0958     +0.0958  |paral   |2020yCat.1350....0G
1031|BD+40 2136                                                                                               |Double or Multiple Star            |09 01 20.2466426568 +40 13 21.524782476|181.8836511516545 +41.2482156501250|   -5.045 2.084   |10.598   |F2               |    ~     ~    |    1|  408.430   pc  |  -4.4540     +4.4540  |paral   |2020yCat.1350....0G
1032|BD+40 2148                                                                                               |Star                               |09 05 10.2824640960 +39 54 49.510530864|182.3452210326620 +41.9653848163553|  -2.818 -4.341   |9.30     |K0               |    ~     ~    |    1|  544.307   pc  |  -5.1551     +5.1551  |paral   |2020yCat.1350....0G
1033|BD+40 2152                                                                                               |Star                               |09 05 43.4616303744 +39 52 35.119217712|182.4020931349866 +42.0695875459997|    2.096 6.294   |9.71     |K0               |    ~     ~    |    1|  554.385   pc  |  -5.2863     +5.2863  |paral   |2020yCat.1350....0G
1034|BD+40 2154                                                                                               |High Proper Motion Star            |09 05 50.8215014688 +39 52 08.874626412|182.4133713810426 +42.0927605930115|60.424 -126.157   |10.38    |G0               |    ~     ~    |    1|  110.888   pc  |  -0.2004     +0.2004  |paral   |2020yCat.1350....0G
1035|HD 77093                                                                                                 |Double or Multiple Star            |09 01 40.7600191248 +39 42 48.644152128|182.5648301152105 +41.2850684913638|-38.425 -70.908   |6.386    |A9Vn             |0.0100  0.0    |    1|   65.607   pc  |  -0.3710     +0.3710  |paral   |2020yCat.1350....0G
1036|BD+39 2181                                                                                               |Star                               |09 00 01.2274655352 +38 47 31.465716288|183.7553605871051 +40.9014397081929|-17.651 -36.505   |9.58     |F5               |    ~     ~    |    1|  176.289   pc  |  -0.7117     +0.7117  |paral   |2020yCat.1350....0G
1037|BD+39 2182                                                                                               |High Proper Motion Star            |09 00 21.1446335952 +38 58 51.839439528|183.5123764794230 +40.9801897252194| -1.848 -85.010   |9.70     |G0               |    ~     ~    |    1|  135.518   pc  |  -0.8283     +0.8283  |paral   |2020yCat.1350....0G
1038|BD+39 2183                                                                                               |Star                               |09 00 43.8172329312 +38 34 38.516739024|184.0532010183673 +41.0226938349205| -28.197 11.840   |9.43     |F8               |    ~     ~    |    1|  146.084   pc  |  -0.5036     +0.5036  |paral   |2020yCat.1350....0G
1039|BD+39 2184                                                                                               |Star                               |09 00 50.2855278936 +39 15 45.511082460|183.1489269394644 +41.0942219554895|   0.695 -5.430   |10.31    |K0               |    ~     ~    |    1|  758.783   pc  |  -9.6726     +9.6726  |paral   |2020yCat.1350....0G
1040|HD 77189                                                                                                 |Star                               |09 02 18.9677520456 +38 39 23.784734700|183.9797547098957 +41.3376221628813| 14.062 -27.011   |7.32     |K5III            |    ~     ~    |    1|  284.422   pc  |  -1.8444     +1.8444  |paral   |2020yCat.1350....0G
1041|BD+39 2188                                                                                               |Star                               |09 02 33.8965795632 +38 47 52.742016744|183.7965699284788 +41.3962900474562|  -6.140 -6.754   |10.46    |~                |    ~     ~    |    1| 1180.080   pc  | -25.7629    +25.7629  |paral   |2020yCat.1350....0G
1042|BD+39 2189                                                                                               |Star                               |09 02 35.1665555640 +38 51 43.506338940|183.7117161849492 +41.4049355439195| -19.780 18.026   |9.40     |F5               |    ~     ~    |    1|  105.099   pc  |  -0.1867     +0.1867  |paral   |2020yCat.1350....0G
1043|BD+38 1987                                                                                               |Star                               |09 00 45.5098040280 +38 16 22.865749284|184.4558022707152 +41.0034155890415|   5.426 -8.625   |8.68     |K0               |    ~     ~    |    1|  363.702   pc  |  -3.1615     +3.1615  |paral   |2020yCat.1350....0G
1044|BD+38 1989                                                                                               |Star                               |09 00 50.1765351024 +38 12 10.893523068|184.5499281972576 +41.0127459307596| -32.471 10.119   |9.67     |G0               |    ~     ~    |    1|  218.388   pc  |  -0.9109     +0.9109  |paral   |2020yCat.1350....0G
1045|V* UX Lyn                                                                                                |Long-Period Variable               |09 03 47.1074751120 +38 44 31.650117252|183.8932604016627 +41.6296197639371|-16.886 -20.531   |6.81     |M3               |    ~     ~    |    1|  245.429   pc  | -11.0231    +11.0231  |paral   |2020yCat.1350....0G
1046|BD+39 2194                                                                                               |Star                               |09 04 09.0761817576 +38 49 59.147635584|183.7782421811587 +41.7069795000256|  -8.904 -3.293   |9.06     |K2               |    ~     ~    |    1|  942.418   pc  | -27.3551    +27.3551  |paral   |2020yCat.1350....0G
1047|BD+39 2195                                                                                               |High Proper Motion Star            |09 04 33.5162612664 +39 01 42.325784148|183.5238332768664 +41.7986629393643|-34.250 -39.254   |10.74    |F8               |    ~     ~    |    1|  315.010   pc  |  -1.8060     +1.8060  |paral   |2020yCat.1350....0G
1048|BD+39 2196                                                                                               |High Proper Motion Star            |09 04 41.1044767632 +38 34 02.097989436|184.1432563194937 +41.7927849257920|103.418 -34.222   |9.30     |G5               |    ~     ~    |    1|   54.830   pc  |  -0.0523     +0.0523  |paral   |2020yCat.1350....0G
