C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
309 |HD 52                                                                 |Star                                |00 05 22.7568855624 -33 29 57.691615056|357.4580300548731 -78.2055436854200|  27.234 22.651    |9.15     |G8IV                 |    ~     ~    
310 |CD-34 13                                                              |High Proper Motion Star             |00 07 47.9551334352 -33 35 12.932790036|355.8060871513962 -78.5949465542777|138.150 -97.545    |10.52    |~                    |    ~     ~    
311 |CD-31 19550                                                           |Star                                |00 00 41.7905235600 -31 13 48.305429076|009.5861704851942 -78.1986312145678|  10.928 -3.185    |10.67    |~                    |    ~     ~    
312 |CD-32 17782                                                           |Star                                |00 02 17.0890860936 -31 26 04.773821820|008.1070882401148 -78.4581864771276|   17.209 5.517    |10.12    |G0                   |    ~     ~    
313 |HD 224863                                                             |Star                                |00 01 18.3962599416 -31 53 58.699074696|006.2944745068076 -78.1059795636992|  -34.642 2.298    |9.31     |F7V                  |    ~     ~    
314 |HD 224787                                                             |High Proper Motion Star             |00 00 41.9979349584 -32 33 30.693565944|003.5952207004386 -77.7428742894598|-51.074 -18.062    |9.98     |F5/6(w)              |    ~     ~    
315 |CD-33 16803                                                           |High Proper Motion Star             |00 00 48.4331844096 -33 02 56.127292692|001.4578045753799 -77.5635772281833|-44.367 -28.074    |10.33    |G                    |    ~     ~    
316 |HD 224811                                                             |Double or Multiple Star             |00 00 50.0287 -32 44 09.453            |002.7769678 -77.6982431            |    -11.6 -12.4    |8.99     |K2III                |    ~     ~    
317 |CD-33 16806                                                           |High Proper Motion Star             |00 01 10.7989360032 -32 45 24.613795620|002.5481961255946 -77.7562889848740| 48.839 -13.014    |10.05    |G2                   |    ~     ~    
318 |CD-32 17768                                                           |Star                                |00 00 28.4892877800 -32 08 20.389193628|005.5198112855865 -77.8562604064500|   0.087 -2.488    |10.72    |~                    |    ~     ~    
319 |CD-33 16811                                                           |Star                                |00 01 32.7371214936 -33 15 37.633774284|000.2591246201250 -77.6109432249108|   3.126 -8.768    |10.13    |~                    |    ~     ~    
320 |CD-32 17781                                                           |Star                                |00 02 04.7917654296 -31 46 02.714982816|006.6218863613854 -78.3059225705038|    1.727 9.018    |10.49    |~                    |    ~     ~    
321 |CD-34 16274                                                           |Star                                |00 02 25.2086886120 -33 23 18.539640348|359.3380190083910 -77.7159991549923| -19.526 -9.088    |10.85    |~                    |    ~     ~    
322 |CD-31 12                                                              |High Proper Motion Star             |00 07 24.9777013008 -30 57 06.818767776|008.6446390517853 -79.6527290650327|-48.474 -135.221   |10.43    |~                    |    ~     ~    
323 |CD-31 20                                                              |Star                                |00 08 47.1401706336 -30 57 45.428154588|008.0397474207279 -79.9262380943627|  20.615 -6.384    |10.35    |~                    |    ~     ~    
324 |HD 646                                                                |Star                                |00 10 37.3133076264 -31 16 39.111703140|005.5207082393804 -80.1798770595368|  -30.194 8.755    |7.07     |K1III                |    ~     ~    
325 |CD-31 38                                                              |High Proper Motion Star             |00 10 54.0468723888 -31 12 55.090812312|005.7261796109775 -80.2586632768403| 80.290 -60.196    |10.10    |G2                   |    ~     ~    
326 |CD-31 19570                                                           |Spectroscopic Binary                |00 03 04.0863283656 -31 06 33.231418848|009.4052352657427 -78.7188771128054|  -1.178 -8.259    |10.523   |~                    |    ~     ~    
327 |HD 225077                                                             |Spectroscopic Binary                |00 03 12.7340089848 -31 12 44.585839692|008.8550609099897 -78.7165107687527|   21.197 1.500    |8.88     |A0V                  |    ~     ~    
328 |HD 225120                                                             |High Proper Motion Star             |00 03 37.0598420184 -31 05 39.002609580|009.2950776168639 -78.8355238949613| 84.133 -63.303    |7.78     |F8/G0V               |    ~     ~    
329 |HD 225229                                                             |Star                                |00 04 36.6007181232 -31 10 08.594422248|008.5792045727483 -79.0138324494954|  12.397 -1.349    |8.89     |K1IV                 |    ~     ~    
330 |CD-31 19598                                                           |Star                                |00 06 18.8822029152 -31 00 32.634598140|008.7655359279443 -79.4107906894506| 29.511 -13.036    |10.77    |~                    |    ~     ~    
331 |HD 465                                                                |Star                                |00 09 06.1690157328 -31 19 04.106978364|006.0093043598644 -79.8640297024313|   5.536 12.044    |10.32    |A9V                  |    ~     ~    
332 |HD 475                                                                |Star                                |00 09 11.5096215984 -31 28 38.205379920|005.1312576298375 -79.8214170108967|   42.529 3.640    |9.29     |K2III                |    ~     ~    
333 |HD 506                                                                |Star                                |00 09 29.2588969104 -31 30 31.423387572|004.8283021876536 -79.8673784014048|   41.593 7.288    |9.793    |F2IV                 |    ~     ~    
334 |HD 225048                                                             |Star                                |00 02 52.6395737808 -31 21 31.052437704|008.2647235891946 -78.6023575002448| -8.557 -47.592    |8.67     |K1II/III             |    ~     ~    
335 |HD 129                                                                |High Proper Motion Star             |00 06 05.1604879632 -31 26 39.589710252|006.6441701529630 -79.2180284031857|  -63.406 2.823    |9.65     |G3V                  |    ~     ~    
336 |HD 269                                                                |Star                                |00 07 20.2810424424 -32 03 08.540207388|003.0941371551301 -79.2306773121446|  43.833 -4.819    |8.61     |K1/2III              |    ~     ~    
337 |HD 521                                                                |Star                                |00 09 39.7410870912 -32 04 44.128808040|001.8198036983034 -79.6651421964170|   -1.649 1.621    |9.27     |K2/3                 |    ~     ~    
338 |HD 520                                                                |High Proper Motion Star             |00 09 43.8429380669 -31 49 32.015158811|003.0690476147847 -79.7866430407194|412.242 -228.821   |9.47     |K1/2V                |    ~     ~    
339 |CD-32 32                                                              |Star                                |00 10 59.3132854248 -32 03 13.213336392|001.2446327158640 -79.9282036733590|  17.817 17.033    |9.79     |~                    |    ~     ~    
340 |HD 225207                                                             |Star                                |00 04 25.9805680920 -32 09 47.787497712|003.8587976069320 -78.6230745051758|   17.277 6.070    |8.46     |K2III                |    ~     ~    
341 |HD 225283                                                             |Star                                |00 04 53.9062066392 -31 59 47.956287444|004.4452292341580 -78.7788982967439|  0.918 -21.548    |7.82     |K2III                |    ~     ~    
342 |V* XY Scl                                                             |Long-Period Variable                |00 06 35.8314120984 -32 35 35.188346796|000.8776219853001 -78.8571808418247| 15.998 -24.425    |10.40    |M5/6III              |    ~     ~    
343 |HD 364                                                                |High Proper Motion Star             |00 08 18.6608583732 -32 42 03.419875662|359.5105627994474 -79.1285949683256| 70.803 -50.440    |8.27     |K1III                |    ~     ~    
344 |HD 408                                                                |Spectroscopic Binary                |00 08 38.4058234632 -32 28 23.573567820|000.4171898851408 -79.2955485385188| 20.125 -40.342    |9.37     |K1IV                 |    ~     ~    
345 |HD 456                                                                |Star                                |00 08 59.1261564336 -33 02 08.841811668|357.5970978566327 -79.0900441379953|  22.119 14.586    |8.98     |K0III                |    ~     ~    
346 |CD-33 21                                                              |Star                                |00 09 28.6820753376 -32 38 49.342162164|359.1411627956542 -79.3704042643676|   -2.181 1.828    |9.42     |~                    |    ~     ~    
347 |CD-33 24                                                              |Star                                |00 09 47.4093612264 -32 41 31.624490184|358.7549565472430 -79.4063015423495|    3.987 1.871    |9.85     |K                    |    ~     ~    
348 |HD 576                                                                |Star                                |00 10 10.1538138432 -33 16 51.765733596|355.8054191371585 -79.1763589930206| 15.791 -41.911    |9.31     |G8V                  |    ~     ~    
349 |CD-33 16829                                                           |High Proper Motion Star             |00 04 11.6578262928 -32 59 14.093293272|000.2418803522445 -78.2291375388409|   70.259 5.395    |10.12    |G2                   |    ~     ~    
350 |CD-33 16830                                                           |Star                                |00 04 27.8137436256 -32 41 08.001070476|001.4561940003477 -78.4129866825517| 26.093 -23.113    |10.01    |K0                   |    ~     ~    
351 |HD 225249                                                             |High Proper Motion Star             |00 04 39.1250526984 -32 30 32.165991936|002.1704744036982 -78.5242695507358|-14.940 -61.817    |9.73     |K0(III)+F/G          |    ~     ~    
352 |HD 225265                                                             |Star                                |00 04 45.1448719104 -32 21 39.767812128|002.8041104773104 -78.6051256674152| -20.820 -9.766    |9.260    |F0V                  |    ~     ~    
353 |HD 225284                                                             |High Proper Motion Star             |00 04 52.6287749894 -32 29 23.411994479|002.1568866633322 -78.5753515333985|  83.069 10.820    |8.59     |K0III                |    ~     ~    
354 |HD 21                                                                 |High Proper Motion Star             |00 05 10.2621372816 -32 28 07.220921916|002.1213582040444 -78.6404685437343|-63.844 -66.306    |7.10     |K1III                |    ~     ~    
355 |HD 51                                                                 |High Proper Motion Star             |00 05 22.4501798808 -32 25 00.684720588|002.2683020867070 -78.7012004776377|-38.478 -47.969    |9.15     |F7/8V                |    ~     ~    
356 |HD 225071                                                             |Star                                |00 03 05.6369162976 -33 22 20.120003292|359.0985227141980 -77.8482128814622|-11.213 -14.836    |8.85     |K2III                |    ~     ~    
357 |HD 225188                                                             |Star                                |00 04 10.4056611840 -33 18 06.069650652|358.8917794615812 -78.0804960923327|-34.682 -14.141    |9.84     |F3V                  |    ~     ~    
358 |HD 64                                                                 |Star                                |00 05 27.6870168720 -33 22 28.075509120|357.9507419957608 -78.2817947107844|    2.644 7.586    |10.38    |F2/3V                |    ~     ~    
359 |V* SW Scl                                                             |Long-Period Variable                |00 06 14.1956473704 -32 48 58.861165680|000.0305028292019 -78.6886849217059|   14.479 1.115    |9.20     |M1III                |    ~     ~    
360 |CD-32 17785                                                           |Spectroscopic Binary                |00 02 36.6200800800 -31 41 26.855436156|006.7857252634862 -78.4382275036039|  -3.717 12.914    |10.72    |~                    |    ~     ~    
361 |CD-32 17788                                                           |Star                                |00 02 48.4622949048 -31 44 04.532778096|006.5078631367060 -78.4624206658703|-14.223 -14.319    |10.974   |~                    |    ~     ~    
362 |CD-33 16821                                                           |Star                                |00 03 13.5247309488 -33 03 06.874988976|000.4029326141674 -78.0185864901931| 17.345 -23.759    |10.334   |~                    |    ~     ~    
363 |CD-31 19586                                                           |High Proper Motion Star             |00 04 48.1880918016 -31 17 59.594581464|007.8596614578858 -79.0102766339495|-25.461 -51.260    |10.819   |~                    |    ~     ~    
364 |CD-32 2                                                               |Star                                |00 06 24.5069949672 -31 52 19.479818244|004.3950873443574 -79.1225023215967|   25.798 1.816    |10.314   |~                    |    ~     ~    
365 |CD-32 10                                                              |Star                                |00 07 33.7205719560 -32 15 52.591574772|001.9596790846894 -79.1841377976855|  25.950 20.455    |10.35    |~                    |    ~     ~    
366 |CD-34 19                                                              |High Proper Motion Star             |00 08 35.7387723168 -33 23 20.216439924|356.2267452488791 -78.8398837244139| 37.106 -40.397    |10.16    |~                    |    ~     ~    
367 |CD-32 25                                                              |Star                                |00 10 07.5386767872 -32 07 13.808757180|001.3689546393522 -79.7348363413566| 19.665 -13.818    |10.45    |~                    |    ~     ~    
368 |CPD-33 9                                                              |High Proper Motion Star             |00 10 08.7544270248 -32 47 30.588450000|358.0822805440960 -79.4226917833441|-81.228 -44.666    |10.190   |~                    |    ~     ~    
369 |CD-32 26                                                              |Star                                |00 10 16.4642923248 -32 09 55.717597008|001.0640486489547 -79.7428530272260|    1.352 5.503    |10.73    |~                    |    ~     ~    
370 |CD-33 28                                                              |Spectroscopic Binary                |00 10 37.5893528712 -33 01 32.874739428|356.7067979655151 -79.3913532047171|-84.423 -44.851    |10.45    |~                    |    ~     ~    
371 |CD-33 30                                                              |High Proper Motion Star             |00 10 51.6287488848 -32 40 18.819482376|358.2466621107880 -79.6126213365997| 66.101 -16.573    |10.21    |~                    |    ~     ~    
372 |TYC 6989-157-1                                                        |Star                                |00 08 14.7137241672 -32 13 26.952135312|001.8200498782064 -79.3318842397672|  2.856 -11.540    |10.450   |~                    |    ~     ~    
373 |TYC 6989-184-1                                                        |Star                                |00 08 01.3558411176 -31 38 41.867659140|004.8044886352327 -79.5269281971736|  17.513 -1.137    |10.885   |F6V                  |    ~     ~    
374 |TYC 6989-218-1                                                        |High Proper Motion Star             |00 01 54.2403003072 -32 10 56.416864908|004.7924870294766 -78.1217073020285| 58.592 -94.770    |10.828   |~                    |    ~     ~    
375 |TYC 6989-362-1                                                        |Spectroscopic Binary                |00 07 24.9211812912 -31 49 58.842518484|004.1371449901835 -79.3344470671161|   5.071 -6.545    |10.89    |~                    |    ~     ~    
376 |TYC 6989-426-1                                                        |Star                                |00 03 47.0780226336 -31 50 47.393512368|005.6085438748412 -78.6163345712193|   3.776 -7.860    |10.801   |~                    |    ~     ~    
377 |TYC 6989-440-1                                                        |Star                                |00 05 37.0225781064 -32 22 49.366651260|002.3270963998728 -78.7630625254725|  -4.114 -3.188    |10.83    |~                    |    ~     ~    
378 |TYC 6989-859-1                                                        |Star                                |00 05 50.0559485208 -30 59 10.356665208|009.0599509292268 -79.3203999671814|    9.003 1.934    |10.72    |~                    |    ~     ~    
379 |TYC 6992-12-1                                                         |Star                                |00 07 53.3822087472 -32 40 37.730188776|359.8406170908873 -79.0613208269124| -6.143 -29.846    |10.85    |~                    |    ~     ~    
380 |TYC 6992-96-1                                                         |High Proper Motion Star             |00 05 41.6576202264 -32 48 41.361685308|000.3156030881531 -78.5894258804947| 78.194 -66.300    |10.941   |~                    |    ~     ~    
381 |TYC 6992-270-1                                                        |Star                                |00 08 45.6040681008 -32 55 41.325210624|358.2152172434173 -79.1022785996234|   31.872 2.942    |10.726   |~                    |    ~     ~    
382 |TYC 6992-277-1                                                        |Star                                |00 01 45.4538357928 -32 47 30.414739344|002.1608133167755 -77.8525414447076|  3.699 -19.817    |10.945   |~                    |    ~     ~    
383 |TYC 6992-420-1                                                        |High Proper Motion Star             |00 09 20.4830962104 -33 21 17.303299200|355.9554103825934 -78.9905001977291|167.755 -21.865    |10.85    |~                    |    ~     ~    
384 |TYC 6992-790-1                                                        |Star                                |00 05 54.5132974464 -33 29 33.700659684|357.2170994103314 -78.3046141689892| 35.218 -13.005    |10.635   |~                    |    ~     ~    
385 |TYC 6992-887-1                                                        |Star                                |00 00 21.5596355256 -32 35 43.810581012|003.5669850470604 -77.6623707984761|  6.800 -30.577    |10.86    |~                    |    ~     ~    
386 |TYC 6992-1051-1                                                       |High Proper Motion Star             |00 09 21.2313525360 -33 21 18.569051064|355.9466845909373 -78.9925322087508|168.301 -20.696    |10.82    |~                    |    ~     ~    
387 |CD-31 45                                                              |Star                                |00 11 53.8532019480 -30 58 01.275544632|006.6315062517837 -80.5491982985076|   7.409 -7.082    |10.52    |F                    |    ~     ~    
388 |HD 807                                                                |Star                                |00 12 20.2500794160 -31 27 59.290788060|003.6245653989786 -80.4405929837441|  10.015 12.627    |9.67     |K1/2III              |    ~     ~    
389 |HD 856                                                                |High Proper Motion Star             |00 12 49.6346893488 -31 53 51.341282268|001.0269250130738 -80.3465492442452| 117.813 35.286    |8.79     |G3/5V                |    ~     ~    
390 |HD 705                                                                |High Proper Motion Star             |00 11 18.0222006768 -32 48 01.576699848|357.3719445567603 -79.6282629405321|-117.387 -9.279    |8.61     |G6V                  |    ~     ~    
391 |HD 704                                                                |Star                                |00 11 19.5928536168 -32 24 13.961970720|359.2906842827817 -79.8289032433167|   18.228 0.254    |8.44     |A3V                  |    ~     ~    
392 |HD 758                                                                |High Proper Motion Star             |00 11 47.1229777512 -33 14 02.827945572|355.0414089663966 -79.4867663955604|-37.498 -121.241   |8.71     |G3/5V                |    ~     ~    
393 |HD 769                                                                |Star                                |00 11 54.7215473856 -33 02 14.609546268|355.8778585135634 -79.6147989565618|  -1.646 -6.268    |9.38     |G3V                  |    ~     ~    
394 |HD 824                                                                |Double or Multiple Star             |00 12 30.9365316408 -32 19 14.746062252|359.0129594131563 -80.0889263786289| -13.551 19.260    |9.09     |F3V                  |0.0033  0.0    
395 |HD 836                                                                |Star                                |00 12 39.3838574568 -33 17 21.029608392|354.2361846982851 -79.6086088285086|-10.204 -40.508    |8.76     |F8IV/V               |    ~     ~    
396 |HD 909                                                                |Star                                |00 13 17.9830907280 -33 07 43.268204676|354.5659755399940 -79.8095896632306|  5.823 -10.040    |9.15     |K1III                |    ~     ~    
397 |CD-32 37                                                              |High Proper Motion Star             |00 11 46.0089595224 -32 18 19.567028664|359.5301028119020 -79.9576320677365|263.198 -53.531    |10.70    |~                    |    ~     ~    
398 |CD-32 35                                                              |Star                                |00 11 29.0892003600 -31 38 11.738921892|003.1563631876251 -80.2044827411310|  21.235 -2.038    |10.91    |~                    |    ~     ~    
399 |CD-32 36                                                              |High Proper Motion Star             |00 11 37.9091236104 -32 07 42.080900304|000.5065147438316 -80.0155018071659|108.482 -104.322   |10.43    |~                    |    ~     ~    
400 |CD-32 40                                                              |Star                                |00 12 13.8564174984 -31 22 03.332821692|004.2243537657835 -80.4604042208900|-32.620 -10.393    |10.89    |~                    |    ~     ~    
401 |CD-32 48                                                              |High Proper Motion Star             |00 12 48.3195902016 -32 07 18.168105936|359.8630165534784 -80.2382177715954|139.072 -59.785    |10.64    |~                    |    ~     ~    
402 |CD-32 50                                                              |Star                                |00 12 48.6702097272 -31 27 20.424948696|003.4291079460787 -80.5369066359680|  29.969 -8.033    |10.36    |~                    |    ~     ~    
403 |HD 1039                                                               |High Proper Motion Star             |00 14 35.5820333472 -31 01 24.003130620|004.9220954522802 -81.0613519873442|-13.686 -51.261    |9.48     |F6V                  |    ~     ~    
404 |HD 1053                                                               |Star                                |00 14 40.0555459464 -33 02 45.420850824|354.0432204301918 -80.0935228774100| -12.397 -9.963    |8.68     |K2/3III              |    ~     ~    
405 |CD-33 51                                                              |Star                                |00 13 49.5401968224 -32 38 00.475847844|356.6243389909944 -80.1694058423976|  -8.326 -4.082    |10.48    |~                    |    ~     ~    
406 |TYC 6990-320-1                                                        |High Proper Motion Star             |00 13 53.8205344248 -31 48 12.325738104|000.9038683792654 -80.5916208043523| 30.985 -38.895    |10.86    |~                    |    ~     ~    
407 |TYC 6990-675-1                                                        |Star                                |00 12 05.0898131352 -31 00 04.095932796|006.3478587640289 -80.5739258068449| -5.307 -21.776    |10.55    |~                    |    ~     ~    
408 |TYC 6990-690-1                                                        |Star                                |00 12 53.9760491568 -31 23 00.789852732|003.7810621467868 -80.5840815458386|  -1.801 -8.086    |10.73    |~                    |    ~     ~    
409 |GSC 06993-00039                                                       |Double or Multiple Star             |00 13 18.3527109216 -32 41 38.336287524|356.6574442535281 -80.0445154079172| -27.189 -2.259    |10.976   |~                    |    ~     ~    
410 |TYC 6993-121-1                                                        |Star                                |00 14 34.7079963312 -32 41 21.124561092|355.8512137974364 -80.2741428450999|  14.972 -8.696    |10.98    |~                    |    ~     ~    
411 |TYC 6993-434-1                                                        |High Proper Motion Star             |00 14 14.4312788208 -32 58 46.908326388|354.6521236175495 -80.0562330915777|  61.346 29.257    |10.92    |~                    |    ~     ~    
412 |HD 224913                                                             |Star                                |00 01 40.3907231232 -30 41 33.130427748|011.8613615713613 -78.5488260531753| 14.790 -12.012    |9.13     |K0III                |    ~     ~    
413 |HD 224964                                                             |Star                                |00 02 04.1265523872 -30 41 06.824904612|011.7850417154961 -78.6328423143962|   17.864 2.017    |8.96     |A3V                  |    ~     ~    
414 |CD-31 26                                                              |Star                                |00 09 29.1861090408 -30 42 45.290306340|009.1184718393918 -80.1505810100690|  17.756 12.246    |10.736   |~                    |    ~     ~    
415 |Cl Blanco 1 38                                                        |High Proper Motion Star             |00 06 39.3375590928 -30 40 04.491838992|010.4236751424312 -79.5851724998536| 50.321 -12.066    |10.98    |~                    |    ~     ~    
416 |Cl* Blanco 1 ZS 233                                                   |Star                                |00 08 44.7243970416 -30 39 49.021484076|009.6802788949699 -80.0148731830112|   9.634 -5.512    |10.923   |~                    |    ~     ~    
417 |HD 224912                                                             |Star                                |00 01 42.6904348272 -28 12 54.977869692|024.4196143644778 -78.9417128437740|  38.796 20.489    |9.21     |K1III                |    ~     ~    
418 |CD-28 18443                                                           |Star                                |00 01 56.2595466456 -28 07 51.414495276|024.8483949790747 -78.9952176898380|  -13.732 2.851    |10.061   |~                    |    ~     ~    
419 |HD 224862                                                             |Star                                |00 01 21.2321218656 -28 43 30.068159340|021.8099112373548 -78.8278954159712|-42.080 -16.126    |7.10     |K0III                |    ~     ~    
420 |HD 224998                                                             |Star                                |00 02 23.2709017632 -28 34 08.650191468|022.5181802300692 -79.0673708415772|  4.236 -14.210    |8.91     |K1III                |    ~     ~    
421 |* zet Scl                                                             |Spectroscopic Binary                |00 02 19.9270625208 -29 43 13.588516668|016.5507153881964 -78.9029450023403|   9.181 15.079    |5.022    |B5IV                 |    ~     ~    
422 |CD-30 19775                                                           |Star                                |00 00 53.4312331776 -29 50 30.519486204|016.2340318074134 -78.5731712075851|  11.786 -0.527    |9.98     |~                    |    ~     ~    
423 |HD 224820                                                             |Star                                |00 00 55.3379383968 -30 03 51.002663184|015.1280097609315 -78.5367541821755|   18.805 2.371    |8.41     |A0V                  |    ~     ~    
424 |HD 224948                                                             |Star                                |00 01 57.7519690656 -30 09 28.673906148|014.4222975382062 -78.7369428120072|   18.236 2.296    |9.96     |A9/F0V               |    ~     ~    
425 |HD 224976                                                             |Star                                |00 02 11.9253149232 -30 15 02.916293472|013.9001023261481 -78.7660868033526|       20.1 2.8    |10.00    |F3V                  |    ~     ~    
426 |CD-31 19554                                                           |Star                                |00 01 24.4791618672 -30 38 58.324810668|012.1439152480460 -78.5047565831985|   18.648 2.142    |10.482   |~                    |    ~     ~    
427 |ESO 409-7                                                             |Galaxy                              |00 02 32.3387047776 -30 37 17.849493300|011.9638097473614 -78.7470465360128|       1.9 -0.1    |9.77     |~                    |0.480 0.432    
428 |CD-30 19787                                                           |Star                                |00 02 21.6371141520 -30 08 21.621740856|014.4193350554159 -78.8249921175155|   18.404 2.557    |10.62    |~                    |    ~     ~    
429 |CD-29 18924                                                           |Star                                |00 01 15.5929184760 -28 29 35.584056600|023.0108808585294 -78.8261041417670|  20.576 -1.151    |10.724   |~                    |    ~     ~    
430 |CD-29 18927                                                           |Star                                |00 01 40.9164760824 -28 20 53.139263136|023.7303454670562 -78.9281284223261|   9.458 -6.486    |10.450   |~                    |    ~     ~    
431 |CD-30 19779                                                           |Star                                |00 01 28.6749502416 -30 12 21.008403540|014.3005749214589 -78.6242967007081|   18.251 2.254    |10.81    |~                    |    ~     ~    
432 |CD-30 19770                                                           |Star                                |00 00 07.1499573120 -29 51 08.109900216|016.3360965785861 -78.4068276436299|   7.562 -4.740    |10.51    |~                    |    ~     ~    
433 |CD-29 18914                                                           |High Proper Motion Star             |00 00 11.7560239896 -28 45 58.853898108|021.7175932616807 -78.5713808997954| 41.409 -52.286    |10.46    |~                    |    ~     ~    
434 |CD-29 18916                                                           |Double or Multiple Star             |00 00 35.3831428272 -29 15 48.299859684|019.1725961870963 -78.6009935248559| 14.414 -14.058    |10.98    |~                    |    ~     ~    
435 |CD-29 18921                                                           |High Proper Motion Star             |00 01 06.2062486224 -29 10 38.453977092|019.5312724188105 -78.7234649493403|   82.966 8.341    |10.76    |~                    |    ~     ~    
436 |CD-31 19545                                                           |Star                                |00 00 12.0374433864 -30 20 50.362105200|013.9139477171128 -78.3241307456280| -4.128 -31.579    |10.85    |~                    |    ~     ~    
437 |CD-30 19789                                                           |Star                                |00 02 20.7817739160 -29 47 50.406817092|016.1553822620361 -78.8916880334217|   30.872 8.740    |10.59    |~                    |    ~     ~    
438 |HD 141                                                                |Star                                |00 06 09.0765064992 -29 09 04.981660128|018.8360528362151 -79.8181352424369|   18.699 2.734    |7.92     |B9V                  |    ~     ~    
439 |CD-29 8                                                               |Star                                |00 07 31.9279448640 -28 44 58.391190600|020.8912259448149 -80.1720917207484|    3.765 2.076    |10.103   |~                    |    ~     ~    
440 |HD 329                                                                |Star                                |00 07 51.1875684144 -28 19 28.483676004|023.3417335117506 -80.2844525584727|   9.951 -7.461    |9.11     |K0III/IV             |    ~     ~    
441 |HD 464                                                                |High Proper Motion Star             |00 09 03.9491422560 -28 19 48.316050156|023.1784877825471 -80.5499911641594| 49.634 -32.937    |9.29     |F6V                  |    ~     ~    
442 |CD-29 25                                                              |High Proper Motion Star             |00 09 46.9797852840 -29 13 43.278017304|017.6140439391485 -80.5869400564916|-78.032 -58.600    |9.98     |~                    |    ~     ~    
443 |CD-29 27                                                              |Star                                |00 10 06.7511024688 -28 20 16.055738016|023.0084211705174 -80.7787882351804|  16.112 -0.045    |10.015   |~                    |    ~     ~    
444 |HD 225099                                                             |Double or Multiple Star             |00 03 25.82607 -29 00 02.3922          |020.11046111 -79.25017322          |  -24.02 -20.88    |9.544    |F3V                  |    ~     ~    
445 |HD 225119                                                             |Rotating Variable                   |00 03 37.0980677520 -28 25 01.690509684|023.2164809641258 -79.3485847789371|  11.227 -0.364    |8.18     |ApSi                 |    ~     ~    
446 |HD 225118                                                             |High Proper Motion Star             |00 03 41.4852410072 -28 23 46.295021331|023.3233991715973 -79.3661131570239|281.146 -142.102   |8.23     |G8.5V                |    ~     ~    
447 |HD 225155                                                             |High Proper Motion Star             |00 03 53.3711219208 -28 23 37.707416664|023.3196288226315 -79.4097391039945| 91.858 -18.010    |7.64     |G5IV                 |    ~     ~    
448 |HD 225200                                                             |Star                                |00 04 20.3171235888 -29 16 07.760291052|018.5272972022988 -79.4093021038295|   28.747 3.182    |6.39     |A1V                  |    ~     ~    
449 |HD 225248                                                             |Star                                |00 04 41.0545117464 -28 51 08.029274904|020.7312991476763 -79.5404263029430| 17.170 -24.916    |8.41     |K3III                |    ~     ~    
450 |CD-30 12                                                              |Star                                |00 08 05.0016849960 -29 24 59.075675496|016.9183097473388 -80.1881986704279|-21.769 -13.564    |9.56     |~                    |    ~     ~    
451 |HD 225206                                                             |Star                                |00 04 22.9073402736 -29 22 53.658124932|017.9137251556883 -79.4007044284883|   19.060 2.858    |7.74     |B8/9V                |    ~     ~    
452 |HD 225264                                                             |Spectroscopic Binary                |00 04 50.8236837768 -29 37 58.940860980|016.4671323746571 -79.4559359992522|   19.342 2.916    |8.28     |A0IV                 |    ~     ~    
453 |CD-31 19579                                                           |Spectroscopic Binary                |00 04 00.0151843920 -30 19 15.836657484|013.0660998739573 -79.1275076090384|   22.772 1.899    |10.88    |~                    |    ~     ~    
454 |CD-30 19812                                                           |Star                                |00 04 18.7457656752 -29 49 32.509726932|015.5657178987068 -79.3043011995786|  19.355 -0.338    |10.46    |F6V                  |    ~     ~    
455 |HD 343                                                                |Star                                |00 08 01.9009289496 -30 01 54.059882088|013.4338054110534 -80.0431732653481|   18.740 2.924    |9.71     |A8/9V                |    ~     ~    
456 |HD 394                                                                |Star                                |00 08 27.1130793960 -30 04 06.967450272|013.0941876013977 -80.1219775128884| 33.109 -15.589    |9.47     |F8/GIII/IV+F         |    ~     ~    
457 |CD-30 14                                                              |Star                                |00 08 31.8778453464 -29 43 32.883693240|015.0210222007594 -80.2201080997540|   15.548 2.552    |9.82     |F5V~                 |    ~     ~    
458 |HD 455                                                                |High Proper Motion Star             |00 09 00.6325186536 -29 55 55.648917588|013.6936396630659 -80.2731081214593|  67.295 40.911    |10.049   |F5V                  |    ~     ~    
459 |HD 225047                                                             |Star                                |00 02 55.2273984408 -30 08 59.183837916|014.2281002409674 -78.9407415026923|   18.436 2.618    |8.42     |A0V                  |    ~     ~    
460 |HD 225111                                                             |Spectroscopic Binary                |00 03 31.8883550808 -29 43 04.772702388|016.3089933087569 -79.1592626092593|   19.172 3.374    |10.133   |A5/7(III)            |    ~     ~    
461 |HD 225187                                                             |Star                                |00 04 11.9007705216 -30 08 05.679965328|013.9746347533622 -79.2132143300507|   18.040 2.796    |7.074    |B8V                  |    ~     ~    
462 |HD 225282                                                             |Star                                |00 04 53.3313519624 -30 15 23.784834240|013.1493653811991 -79.3292745377186|   18.334 2.789    |8.29     |A0IV/V               |    ~     ~    
