C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
33  |BD+39 4598                                                                                               |Star                           |21 34 13.2916682160 +40 14 39.287547996|087.1152373232695 -08.5320805303555|   3.434 -1.367   |8.74     |K0               |    ~     ~    
34  |BD+39 4604                                                                                               |Star                           |21 35 51.9516629760 +40 33 20.156078376|087.5614257441093 -08.5167921207201|-11.203 -12.256   |9.74     |A5               |    ~     ~    
35  |* 74 Cyg                                                                                                 |Star                           |21 36 56.9752120080 +40 24 48.692268180|087.6175779498485 -08.7608529610766|  -1.228 11.238   |5.035    |A3Vn             |    ~     ~    
36  |BD+39 4621                                                                                               |Star                           |21 38 06.6021661320 +40 27 34.738904952|087.8140625028884 -08.8756842754996|  4.791 -12.243   |10.41    |F8               |    ~     ~    
37  |BD+39 4625                                                                                               |High Proper Motion Star        |21 39 18.1189452624 +40 20 41.962435620|087.9063373197288 -09.1130303930422| 63.884 -16.699   |8.47     |K2               |    ~     ~    
38  |HD 206197                                                                                                |Star                           |21 39 24.9646507368 +40 38 13.584135516|088.1207695632835 -08.9106692541376|   1.600 -2.389   |8.06     |A0               |    ~     ~    
39  |BD+39 4576                                                                                               |Star                           |21 30 24.6917590776 +40 12 34.128875592|086.5569078188101 -08.0579273800922|    5.978 1.205   |9.27     |A2               |    ~     ~    
40  |BD+39 4577                                                                                               |Spectroscopic Binary           |21 30 34.2992655024 +39 50 18.614178132|086.3202211765170 -08.3472075727017|    3.693 7.164   |9.52     |A2               |    ~     ~    
41  |HD 205024                                                                                                |Star                           |21 31 23.2893811107 +40 03 54.320100295|086.5927067977195 -08.2912393190580|-22.572 -29.966   |7.49     |F5               |    ~     ~    
42  |BD+39 4581                                                                                               |Double or Multiple Star        |21 32 03.9033153744 +39 48 52.453655424|086.5134738071653 -08.5622575315344|   8.324 -4.891   |9.33     |G5               |    ~     ~    
43  |BD+39 4594                                                                                               |Star                           |21 33 38.9484071112 +39 56 26.536873956|086.8246501706446 -08.6789511506568|  -1.630 -5.692   |9.05     |A0               |    ~     ~    
44  |BD+39 4596                                                                                               |Star                           |21 34 14.6539095240 +39 49 43.189741632|086.8314940533890 -08.8387624297182|   12.785 6.783   |9.38     |F0               |    ~     ~    
45  |BD+39 4601                                                                                               |Star                           |21 35 32.4126781224 +40 11 45.459372120|087.2684788519069 -08.7388271729619|   6.203 -1.975   |8.94     |K5               |    ~     ~    
46  |BD+39 4602                                                                                               |Star                           |21 35 39.7045097616 +40 08 04.584229116|087.2435561267337 -08.7996277428193|  19.054 17.319   |8.17     |F2               |    ~     ~    
47  |BD+39 4603                                                                                               |Star                           |21 35 45.9456680256 +39 53 10.087905624|087.0875485633053 -08.9955321908469|-11.449 -12.999   |8.75     |K0               |    ~     ~    
48  |BD+39 4606                                                                                               |Star                           |21 35 57.6433413096 +40 12 19.650128472|087.3346603385782 -08.7863582203092| 10.849 -30.047   |8.27     |K0               |    ~     ~    
49  |BD+39 4607                                                                                               |Star                           |21 36 03.7238926032 +40 01 41.421226836|087.2273621020211 -08.9297658051413|   5.753 10.789   |10.30    |G5               |    ~     ~    
50  |BD+39 4610                                                                                               |Star                           |21 36 18.5166976512 +40 11 40.381463616|087.3765960020302 -08.8394099766798|   1.495 -6.215   |10.52    |A2               |    ~     ~    
51  |L 1578-44                                                                                                |Double or Multiple Star        |21 36 38.5805432822 +39 27 20.498540853|086.9173207580772 -09.4262771811299|-212.304 -158.279 |10.18    |M0V              |    ~     ~    
52  |BD+39 4611                                                                                               |Star                           |21 36 49.0396730976 +39 56 48.656415984|087.2793168116076 -09.0875921065889|  -0.840 -5.087   |9.04     |K0               |    ~     ~    
53  |BD+39 4615                                                                                               |Star                           |21 37 30.0711840432 +40 04 33.994325640|087.4655233151046 -09.0807969083485|   5.899 -2.271   |9.36     |B8               |    ~     ~    
54  |BD+39 4619                                                                                               |Spectroscopic Binary           |21 38 03.7475643888 +39 51 56.836418616|087.4022889059963 -09.3086183180096|   10.105 7.877   |9.04     |K5               |    ~     ~    
55  |BD+39 4620                                                                                               |Star                           |21 38 05.8183621176 +39 46 34.734099900|087.3461493259831 -09.3791926650712|   -2.678 3.668   |10.72    |K5               |    ~     ~    
56  |BD+39 4630                                                                                               |Star                           |21 39 36.2856306552 +39 56 32.930100672|087.6765459061553 -09.4505675360828|  11.243 -1.184   |9.04     |K5               |    ~     ~    
57  |BD+39 4639                                                                                               |High Proper Motion Star        |21 41 12.0885398688 +39 57 26.839144800|087.9175764232883 -09.6438816914020|  63.337 11.461   |9.11     |F5               |    ~     ~    
58  |BD+38 4539                                                                                               |Star                           |21 34 44.4249685416 +39 30 51.845149008|086.6850120617105 -09.1336248443149|   2.260 -3.739   |8.64     |K0               |    ~     ~    
59  |HD 205538                                                                                                |Star                           |21 34 57.5894955552 +39 26 09.073101696|086.6621264737686 -09.2199500376072|  -2.515 -4.963   |7.47     |K2               |    ~     ~    
