C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
2099|BD+57 2336                                                                                               |Double or Multiple Star        |21 30 11.1850715688 +57 43 23.370816576|098.5804130762930 +04.7048891240362|  -4.474 -6.495   |10.696   |A0               |    ~     ~    
2100|BD+57 2341                                                                                               |Star                           |21 31 12.7465469088 +58 36 24.209251092|099.2878079551502 +05.2547613167797|  -1.557 -5.365   |10.93    |F3               |    ~     ~    
2101|BD+57 2345                                                                                               |Star                           |21 32 15.0027089328 +57 43 50.664030384|098.7870845415785 +04.5218465585425|  12.980 12.855   |10.48    |F8               |    ~     ~    
2102|BD+57 2346                                                                                               |Star                           |21 32 29.6847235704 +58 17 42.846674172|099.1970223148576 +04.9127341891482| -0.082 -10.587   |10.19    |K2               |    ~     ~    
2103|BD+57 2347                                                                                               |Star                           |21 33 29.4833180736 +57 40 31.950925932|098.8713329310215 +04.3685951231207|  -2.706 -3.174   |9.79     |B8               |    ~     ~    
2104|BD+57 2348                                                                                               |Star                           |21 33 28.6129217496 +58 35 10.523086656|099.4903231132599 +05.0385477201995|   6.195 -1.979   |10.26    |A0               |    ~     ~    
2105|BD+57 2350                                                                                               |Star                           |21 34 17.7265817928 +57 43 00.913502640|098.9786849747014 +04.3262431869149|  -46.567 2.492   |9.80     |K0               |    ~     ~    
2106|BD+57 2352                                                                                               |Star                           |21 34 57.3648688176 +58 14 07.079958888|099.3948441180906 +04.6491355087701|   1.151 -3.318   |10.67    |A0               |    ~     ~    
2107|BD+57 2353                                                                                               |Star                           |21 35 05.9150223024 +57 44 23.922267540|099.0735792775878 +04.2708320488745|  -5.427 -3.874   |10.42    |B8               |    ~     ~    
2108|BD+57 2356                                                                                               |Star                           |21 38 30.3028678584 +57 46 26.472191016|099.4346366323100 +03.9917238105995|  -5.083 -5.651   |9.47     |A7               |    ~     ~    
2109|BD+57 2357                                                                                               |Star                           |21 38 45.2446707024 +57 54 41.691043116|099.5511648526391 +04.0724039565691|   5.683 18.674   |10.39    |F8               |    ~     ~    
2110|BD+57 2362                                                                                               |Young Stellar Object           |21 40 02.1970378008 +57 57 18.128831940|099.7077829638996 +03.9920450872770|  -5.253 -6.085   |10.92    |A1               |    ~     ~    
2111|BD+57 2363                                                                                               |Pulsating Variable             |21 40 09.0780048792 +58 00 50.064872724|099.7582395994934 +04.0261539356866|  -1.409 -3.391   |9.64     |B8               |    ~     ~    
2112|BD+58 2274                                                                                               |Star                           |21 30 00.3995151600 +58 55 14.698824312|099.3903685521989 +05.5903538592739|   15.547 9.748   |9.73     |F3               |    ~     ~    
2113|BD+58 2281                                                                                               |Star                           |21 31 44.7233873904 +58 40 47.442812556|099.3888279979078 +05.2606028266179|   3.749 10.984   |10.72    |K0               |    ~     ~    
2114|BD+58 2285                                                                                               |Star                           |21 33 28.9475503488 +59 01 48.680414976|099.7937305945654 +05.3637819915788|  25.824 11.121   |10.01    |F3               |    ~     ~    
2115|BD+58 2286                                                                                               |Star                           |21 33 31.6717 +58 55 39.671            |099.7280870 +05.2846048            |       10.1 2.5   |10.24    |F5               |    ~     ~    
2116|BD+58 2287                                                                                               |Star                           |21 33 37.1635690344 +58 52 11.895820428|099.6974282986794 +05.2342191440427|   13.333 6.734   |9.96     |A0               |    ~     ~    
2117|BD+56 2597                                                                                               |High Proper Motion Star        |21 35 33.0762623040 +57 06 31.464957024|098.6924559774326 +03.7632564893712| -84.064 64.496   |10.15    |K0V:             |    ~     ~    
2118|BD+57 2355                                                                                               |Young Stellar Object           |21 38 29.1823 +57 41 22.638            |099.3764764 +03.9303819            |      -1.3 -6.2   |10.65    |A4               |    ~     ~    
2119|BD+57 2369                                                                                               |Star                           |21 41 12.7024407552 +57 46 30.188651988|099.7064468859979 +03.7536968697770|  -2.361 -3.750   |9.93     |B8               |    ~     ~    
2120|GSC 03974-00674                                                                                          |Double or Multiple Star        |21 31 24.4948849632 +56 41 24.986105340|097.9914431248459 +03.8392907484118|  -4.338 -6.248   |10.430   |~                |    ~     ~    
2121|TYC 3974-892-1                                                                                           |Star                           |21 30 15.1258894560 +56 26 26.413433808|097.7038286172581 +03.7664519304898|  -3.005 -3.354   |10.39    |~                |    ~     ~    
2122|TYC 3974-1176-1                                                                                          |Star                           |21 30 16.6279680864 +56 17 02.115877020|097.5985804482629 +03.6500408847849| -13.780 -7.624   |10.94    |~                |    ~     ~    
2123|TYC 3974-1230-1                                                                                          |Pulsating Variable             |21 30 32.4952962048 +56 39 48.813997968|097.8861435771871 +03.9012874204040|    4.713 2.670   |10.22    |~                |    ~     ~    
2124|TYC 3974-1260-1                                                                                          |Star                           |21 30 41.5613961624 +56 28 54.173258400|097.7764266565280 +03.7546028150213|    7.950 8.583   |10.32    |~                |    ~     ~    
2125|TYC 3975-1456-1                                                                                          |Star                           |21 36 37.2840958200 +56 38 52.626806016|098.4910857476776 +03.3235974260340|   7.248 -2.678   |9.99     |~                |    ~     ~    
2126|2MASS J21355654+5720529                                                                                  |Young Stellar Object           |21 35 56.5572867096 +57 20 52.823851800|098.8929867494845 +03.9047492602268|  -2.477 -5.419   |10.39    |B4               |    ~     ~    
2127|HD 206536                                                                                                |High Proper Motion Star        |21 40 32.4470123112 +59 45 09.915563952|100.9497240254187 +05.2973431186433|  54.824 25.010   |6.880    |G8III-IV         |    ~     ~    
2128|BD+59 2414                                                                                               |Star                           |21 44 31.3122503256 +60 04 16.103953848|101.5376354396339 +05.2102928102417|  -1.562 -8.501   |9.83     |G8III:           |    ~     ~    
2129|HD 239759                                                                                                |Star                           |21 44 40.8597554304 +59 43 21.948912516|101.3253933119994 +04.9326787125238|   4.466 -2.587   |9.16     |A0               |    ~     ~    
2130|HD 205570                                                                                                |Star                           |21 33 56.4950833752 +59 27 51.236338968|100.1331711026481 +05.6424900747547|    4.306 5.671   |8.63     |F2               |    ~     ~    
2131|HD 239703                                                                                                |Emission-line Star             |21 34 22.5763180296 +59 28 43.782956256|100.1838812312940 +05.6157787394505|  -2.912 -3.671   |9.46     |B0               |    ~     ~    
2132|BD+58 2298B                                                                                              |Star                           |21 37 21.6204607776 +59 00 06.605315388|100.1445064619344 +05.0062292743857|  21.580 33.965   |10.53    |G5               |    ~     ~    
2133|HD 239716                                                                                                |Star                           |21 37 19.9773946248 +59 00 16.550873856|100.1437333135141 +05.0106416956926|  21.758 33.381   |9.81     |F8               |    ~     ~    
2134|HD 239719                                                                                                |Star                           |21 37 38.5523330808 +59 27 03.906533268|100.4732636823808 +05.3159425556859|-15.726 -20.355   |9.00     |A2               |    ~     ~    
2135|HD 239722                                                                                                |Star                           |21 38 14.0559353784 +59 10 03.078474348|100.3394812400449 +05.0544898615117|  -3.971 -5.325   |9.62     |B2IV             |    ~     ~    
2136|HD 239730                                                                                                |Star                           |21 39 16.8189663792 +59 22 24.421325268|100.5772273427575 +05.1191760265733| -6.435 -28.927   |9.70     |F8               |    ~     ~    
2137|HD 239740                                                                                                |Star                           |21 42 29.8787146536 +58 49 48.248654196|100.5288494732027 +04.4383238947535|   23.119 9.339   |9.88     |F8               |    ~     ~    
2138|HD 239741                                                                                                |Star                           |21 42 35.2328855424 +58 51 09.482904180|100.5524255071552 +04.4478069077029|   24.750 8.192   |9.09     |F5               |    ~     ~    
2139|HD 206842                                                                                                |Star                           |21 42 45.3654311088 +59 16 15.036333600|100.8437042589145 +04.7495889333215|   -5.678 1.156   |6.088    |K1III            |    ~     ~    
2140|HD 239746                                                                                                |Star                           |21 43 22.6165190328 +58 50 42.266805612|100.6249538324617 +04.3752903631596|  -3.215 -2.471   |10.04    |B8               |    ~     ~    
2141|HD 239751                                                                                                |Variable Star                  |21 43 47.5977176016 +58 59 10.222438056|100.7581336267795 +04.4471582857188|   7.186 10.466   |9.22     |A2               |    ~     ~    
2142|HD 239754                                                                                                |High Proper Motion Star        |21 44 05.0744432472 +58 47 16.667796480|100.6572653368579 +04.2722660642966| 27.073 -45.298   |10.01    |G2               |    ~     ~    
2143|HD 239758                                                                                                |Be Star                        |21 44 34.0127758032 +59 03 25.740146700|100.8802695619725 +04.4362514660604|   -0.003 0.483   |9.43     |B2III:nn         |    ~     ~    
2144|HD 239738                                                                                                |Star                           |21 41 58.5348465048 +58 30 00.209920752|100.2603475712242 +04.2337790152602|  -2.136 -2.347   |8.57     |B2IV             |    ~     ~    
2145|BD+57 2376                                                                                               |Emission-line Star             |21 42 33.5987730240 +58 14 39.208453800|100.1501674641050 +03.9903793299484|  -3.459 -3.436   |9.76     |B5               |    ~     ~    
2146|BD+57 2379                                                                                               |Star                           |21 43 29.0120508528 +58 24 04.739421960|100.3450844906065 +04.0300261649955|  -2.938 -3.422   |10.09    |K                |    ~     ~    
2147|HD 239748                                                                                                |Star                           |21 43 41.3010883848 +58 14 23.293726980|100.2599527985238 +03.8900382218166|  -1.160 -3.164   |8.75     |B1V              |    ~     ~    
2148|BD+57 2387                                                                                               |Star                           |21 44 22.0302371712 +58 33 06.054332724|100.5311232387193 +04.0689171698045|-34.689 -26.778   |9.77     |F8               |    ~     ~    
2149|NAME Herschel's Garnet Star        NAME Erakis                        * mu. Cep                          |Red Supergiant                 |21 43 30.4610574 +58 46 48.160181      |100.5952421009 +04.3149777036      |     5.36 -3.51   |4.08     |M2-Ia            |    ~     ~    
2150|BD+57 2382                                                                                               |Star                           |21 43 53.7175653912 +57 58 11.842072716|100.1045837423865 +03.6674841723487|  -1.853 -2.378   |10.54    |B5               |    ~     ~    
2151|HD 239752                                                                                                |High Proper Motion Star        |21 43 53.4643805640 +58 08 01.208019948|100.2109735757172 +03.7921087512679| -4.627 -48.486   |10.45    |G2               |    ~     ~    
2152|HD 239755                                                                                                |Star                           |21 44 26.0973570312 +58 10 09.622598196|100.2888431483043 +03.7725399272869|  -6.047 -5.028   |9.12     |G2               |    ~     ~    
2153|HD 239757                                                                                                |Spectroscopic Binary           |21 44 37.9604533704 +58 09 00.201225816|100.2961667844022 +03.7409416268956|  -1.966 -2.417   |9.28     |A0               |    ~     ~    
2154|HD 207086                                                                                                |High Proper Motion Star        |21 44 38.9684841984 +58 13 32.517626052|100.3470615836841 +03.7970463926216|  67.209 24.410   |6.80     |G9III            |    ~     ~    
2155|IRAS 21413+5835                                                                                          |Long-Period Variable Candidate |21 42 54.6467683896 +58 49 36.645826152|100.5672264538775 +04.4009116061678|    2.538 5.258   |10.62    |~                |    ~     ~    
2156|BD+58 2303                                                                                               |Star                           |21 39 03.2665453080 +59 32 45.923791488|100.6709521283924 +05.2672145448534|   18.165 4.978   |9.23     |M                |    ~     ~    
2157|Cl Trumpler 37 1330                                                                                      |Star                           |21 44 24.9090569760 +58 57 09.464197644|100.7972398468867 +04.3695212467704|  -5.457 -3.372   |10.20    |A0               |    ~     ~    
2158|Cl Trumpler 37 1312                                                                                      |Star                           |21 42 31.0714904112 +58 59 29.009275836|100.6368468258115 +04.5584897159842|  10.888 -4.879   |10.26    |A5               |    ~     ~    
2159|Cl Trumpler 37 754                                                                                       |Star                           |21 43 30.9588326976 +58 13 41.455910712|100.2351167925481 +03.8960167806866|  -3.390 -3.491   |10.51    |A0               |    ~     ~    
2160|Cl Trumpler 37 1286                                                                                      |Star                           |21 36 53.8031106072 +58 59 07.376179920|100.0889433226841 +05.0340137197245|  -1.419 -3.236   |10.40    |B8               |    ~     ~    
2161|Cl Trumpler 37 1542                                                                                      |Star                           |21 40 45.4162133064 +59 38 42.984729528|100.8989245897964 +05.1986694870132|  32.574 15.035   |10.26    |F8               |    ~     ~    
2162|Cl Trumpler 37 2042                                                                                      |Star                           |21 44 59.0050362000 +60 18 22.884766776|101.7349871722050 +05.3517134660120|   5.195 -4.452   |10.85    |A0               |    ~     ~    
2163|Cl Trumpler 37 1793                                                                                      |Star                           |21 42 09.4225640784 +59 50 09.096884700|101.1582531769611 +05.2258349323332|  -2.346 -4.769   |10.82    |A3               |    ~     ~    
2164|Cl Trumpler 37 1796                                                                                      |Star                           |21 42 26.4173573160 +60 07 12.956977236|101.3726746812046 +05.4170433639727|  -3.530 -2.349   |10.76    |B8               |    ~     ~    
2165|Cl Trumpler 37 1307                                                                                      |Star                           |21 41 32.9900550408 +58 51 55.359766764|100.4593396640342 +04.5454728599908|   1.933 -3.260   |10.77    |F5               |    ~     ~    
2166|Cl Trumpler 37 1321                                                                                      |High Proper Motion Star        |21 43 37.8136728792 +59 00 38.349503316|100.7581801916630 +04.4794096165853| 55.665 -37.497   |10.74    |G0               |    ~     ~    
2167|Cl Trumpler 37 1060                                                                                      |Star                           |21 44 24.1436350200 +58 34 26.731761492|100.5492264983670 +04.0829616457721|   3.775 -6.953   |10.87    |A3               |    ~     ~    
2168|Cl Trumpler 37 1789                                                                                      |Star                           |21 39 37.3221760176 +59 51 58.415922612|100.9383581678078 +05.4588642517378|   26.438 8.738   |10.85    |F5               |    ~     ~    
2169|Cl Trumpler 37 1045                                                                                      |Star                           |21 42 51.9900537744 +58 34 55.858257228|100.4023525695201 +04.2196291566861|   7.817 -6.248   |10.85    |F8               |    ~     ~    
2170|Cl Trumpler 37 1049                                                                                      |High Proper Motion Star        |21 43 22.6710502584 +58 26 09.641016600|100.3572699156168 +04.0653453925475| -42.822 30.452   |10.68    |G0               |    ~     ~    
2171|Cl Trumpler 37 1308                                                                                      |Star                           |21 41 35.9620965312 +58 59 10.269456324|100.5439062531679 +04.6322470234029|  29.556 13.648   |10.92    |G0               |    ~     ~    
2172|Cl Trumpler 37 756                                                                                       |Star                           |21 43 51.3652344504 +58 06 03.875804676|100.1861907967741 +03.7703812686395|    2.859 4.557   |10.94    |A2               |    ~     ~    
2173|Cl Trumpler 37 1538                                                                                      |Star                           |21 39 36.3324194400 +59 24 23.910882192|100.6304349129765 +05.1165029034745|  -0.188 -5.860   |10.91    |G2               |    ~     ~    
2174|Cl Trumpler 37 1298                                                                                      |Star                           |21 39 59.0170719648 +58 45 56.054407320|100.2404569294284 +04.6043114333589|   11.664 2.666   |10.61    |K                |    ~     ~    
2175|BD+57 2377                                                                                               |Star                           |21 43 12.7115882472 +58 37 30.751379688|100.4646858495779 +04.2227843143093|    9.512 0.145   |10.1     |A3               |    ~     ~    
2176|BD+57 2385                                                                                               |Star                           |21 43 53.7437586960 +58 11 35.530463832|100.2502911573254 +03.8368931814484|  -6.150 -5.711   |10.76    |A2               |    ~     ~    
2177|BD+57 2389                                                                                               |Star                           |21 44 34.0226987448 +58 39 23.205773160|100.6192131428291 +04.1316309200532|   4.599 -4.182   |10.30    |A0               |    ~     ~    
2178|BD+57 2390                                                                                               |Star                           |21 44 39.8336420376 +58 04 23.178440388|100.2492608464126 +03.6797250583019|    2.365 2.001   |10.78    |A0               |    ~     ~    
2179|BD+58 2293                                                                                               |Star                           |21 34 57.8063351376 +59 27 15.639412608|100.2223891946875 +05.5472787326747|  -1.968 -3.181   |10.63    |B8               |    ~     ~    
2180|BD+58 2299                                                                                               |Star                           |21 37 16.9518814032 +59 21 19.734864228|100.3748165670290 +05.2755781985963|  -2.597 -2.723   |10.47    |B8               |    ~     ~    
2181|BD+58 2305                                                                                               |Star                           |21 39 37.4238291816 +58 57 26.443471860|100.3330046180355 +04.7787659075968|    8.940 9.741   |10.74    |A5               |    ~     ~    
2182|BD+58 2306                                                                                               |Star                           |21 39 44.7718840320 +59 37 50.914745004|100.7931833868449 +05.2723855634597|  -3.737 -3.072   |10.14    |A0               |    ~     ~    
2183|BD+58 2308                                                                                               |High Proper Motion Star        |21 40 49.5910881384 +59 14 02.514166656|100.6329458495483 +04.8840270891546|  78.610 47.613   |10.40    |G2               |    ~     ~    
2184|BD+58 2309                                                                                               |Star                           |21 41 16.4784717600 +59 07 55.899278760|100.6088376612511 +04.7696255236250|  14.114 17.737   |10.45    |F5               |    ~     ~    
2185|BD+58 2310                                                                                               |Star                           |21 41 16.1579274768 +59 12 16.755038676|100.6562334508257 +04.8245824144761|    6.526 3.173   |10.56    |F8               |    ~     ~    
2186|BD+58 2311                                                                                               |Star                           |21 42 09.2416686648 +59 24 33.883687620|100.8767545009558 +04.9045336290689|  35.133 33.864   |10.06    |F8               |    ~     ~    
2187|BD+58 2317                                                                                               |Star                           |21 43 37.5342042528 +59 34 23.659795992|101.1260973786406 +04.9060794856411|  6.116 -14.915   |10.30    |F0               |    ~     ~    
2188|BD+59 2411                                                                                               |Star                           |21 42 25.4276999592 +59 47 00.485067984|101.1491068655942 +05.1642994698753|   21.640 7.093   |10.30    |F2               |    ~     ~    
2189|HD 205641                                                                                                |Star                           |21 34 29.8153579224 +59 01 49.901078100|099.8902730749501 +05.2755111670188|    8.915 3.663   |8.28     |A0               |    ~     ~    
2190|HD 239706                                                                                                |Star                           |21 34 34.8788565144 +59 06 23.838195024|099.9500160971739 +05.3241842687620|   23.000 4.496   |8.37     |F8               |    ~     ~    
2191|HD 239705                                                                                                |Star                           |21 34 32.8256048328 +59 06 29.744617212|099.9478838301286 +05.3283649983177|   24.683 5.908   |8.98     |F8               |    ~     ~    
2192|HD 205917                                                                                                |Star                           |21 36 31.9975640112 +58 42 39.601493604|099.8691838974943 +04.8620848178354|   11.423 1.341   |8.19     |G8               |    ~     ~    
2193|** BU 371B                                                                                               |Star                           |21 36 31.8 +58 42 47                   |099.8703 +04.8639                  |            ~ ~   |10.7     |~                |    ~     ~    
2194|HD 206080                                                                                                |Star                           |21 37 38.7682412928 +58 45 30.026862900|100.0086018258668 +04.8005163188091|  -1.942 -8.179   |7.67     |A0               |    ~     ~    
2195|HD 239731                                                                                                |Star                           |21 39 44.4352855080 +58 14 44.006171964|099.8711929854141 +04.2356980532721|  -2.233 -3.026   |9.13     |B5               |    ~     ~    
2196|HD 239737                                                                                                |Star                           |21 41 53.2768118136 +57 51 35.881798788|099.8303874140414 +03.7585072497606|  14.820 16.896   |8.54     |K0III:           |    ~     ~    
2197|HD 239739                                                                                                |Star                           |21 42 17.7420420408 +57 59 06.471119940|099.9536145222148 +03.8174818244628|-32.952 -35.947   |10.33    |F8               |    ~     ~    
2198|BD+57 2381                                                                                               |Star                           |21 43 45.2515685616 +57 54 46.449744732|100.0531169807796 +03.6363782223258|    4.248 2.366   |9.51     |K2               |    ~     ~    
2199|HD 239749                                                                                                |Spectroscopic Binary           |21 43 54.3299267328 +57 49 27.157540548|100.0105512531854 +03.5559645283951| -9.937 -14.444   |9.75     |A0               |    ~     ~    
2200|HD 207049                                                                                                |Star                           |21 44 21.5213512896 +57 44 14.344495764|099.9999182817413 +03.4506719683202|    2.904 1.367   |8.98     |B8               |    ~     ~    
2201|HD 239756                                                                                                |Star                           |21 44 35.6827763304 +57 27 12.416255244|099.8393991017231 +03.2142356169526|  22.638 13.298   |8.51     |G8III:           |    ~     ~    
2202|Cl Trumpler 37 505                                                                                       |Star                           |21 43 07.6201369632 +57 34 49.024418880|099.7722347617384 +03.4387872373883|  -4.590 -3.557   |10.84    |G2:              |    ~     ~    
2203|Cl Trumpler 37 509                                                                                       |Star                           |21 44 02.5646366160 +57 26 21.735590116|099.7736970957413 +03.2517659136353|  -0.479 -5.616   |10.471   |A0               |    ~     ~    
2204|HD 206773                                                                                                |Be Star                        |21 42 24.1853979312 +57 44 09.795762276|099.8009003217259 +03.6199480849344|  -1.688 -4.255   |6.87     |B0V:pe           |    ~     ~    
2205|Cl Trumpler 37 749                                                                                       |Star                           |21 42 21.4628824080 +57 49 52.481296524|099.8588007224135 +03.6958360292448| -5.501 -15.118   |10.64    |A3               |    ~     ~    
2206|Cl Trumpler 37 1515                                                                                      |Star                           |21 32 58.7076420528 +59 24 14.048413452|100.0017286848773 +05.6815199995851|   1.390 -8.777   |10.97    |A8               |    ~     ~    
2207|Cl Trumpler 37 515                                                                                       |Star                           |21 44 50.6876848536 +57 30 46.846340100|099.9037114195146 +03.2377803980829|   5.442 -8.395   |10.69    |F2               |    ~     ~    
2208|Cl Trumpler 37 501                                                                                       |Star                           |21 42 40.7064349152 +57 37 39.683972640|099.7577118030898 +03.5139330212430| -10.985 -6.663   |10.06    |G8III:           |    ~     ~    
2209|Cl Trumpler 37 1267                                                                                      |Star                           |21 33 43.6437026400 +59 10 01.297278696|099.9102859408039 +05.4428319507573|  -0.796 -3.221   |10.78    |A8               |    ~     ~    
2210|Cl Trumpler 37 1023                                                                                      |Star                           |21 38 44.6369126256 +58 35 45.086545680|100.0065662932068 +04.5842910293471|  44.978 10.170   |10.931   |G5               |    ~     ~    
2211|BD+57 2368                                                                                               |Star                           |21 41 08.1653449224 +58 15 56.840554548|100.0227703479041 +04.1296427908253|  -4.233 -1.960   |9.50     |M0II             |    ~     ~    
2212|BD+57 2366                                                                                               |Star                           |21 40 33.3675933216 +58 12 19.273230252|099.9252839551693 +04.1345422793953|  -2.008 -3.178   |10.00    |B8               |    ~     ~    
2213|BD+57 2370                                                                                               |Star                           |21 41 36.6102324624 +58 13 26.998260960|100.0424011631173 +04.0572562749510|   0.925 -4.495   |10.07    |A0               |    ~     ~    
2214|BD+57 2375                                                                                               |Pulsating Variable             |21 42 29.1150643272 +57 50 50.163123876|099.8821685194146 +03.6968284737638|  -4.151 -4.287   |10.00    |B8               |    ~     ~    
2215|BD+58 2297                                                                                               |Star                           |21 37 12.5622773688 +58 41 16.245802464|099.9189937456148 +04.7860367480610|  -1.609 -3.600   |10.65    |B5               |    ~     ~    
2216|BD+57 2365                                                                                               |Star                           |21 40 11.0019123072 +58 17 47.124297024|099.9487100550804 +04.2353016137621| -9.923 -26.259   |10.21    |K0V:             |    ~     ~    
2217|BD+57 2367                                                                                               |Star                           |21 40 37.5382990560 +58 06 35.597729628|099.8690135197678 +04.0567766420148|   17.765 0.687   |9.50     |G8III:           |    ~     ~    
2218|BD+56 2630                                                                                               |Star                           |21 42 52.9954646160 +57 37 05.151550944|099.7722129316005 +03.4887470038759|   9.233 16.046   |10.26    |~                |    ~     ~    
2219|TYC 3979-407-1                                                                                           |Star                           |21 36 38.6229106416 +59 03 11.300617080|100.1103416821078 +05.1061019591692|  19.062 11.416   |10.14    |~                |    ~     ~    
2220|HD 239686                                                                                                |Star                           |21 30 27.5538627264 +59 22 05.753978256|099.7422134964719 +05.8750952379653|   5.653 -0.797   |9.81     |A2               |    ~     ~    
2221|HD 239743                                                                                                |Double or Multiple Star        |21 42 46.6303123536 +60 17 45.319034400|101.5201701640857 +05.5221567255438|  -1.652 -3.523   |9.03     |B2V              |0.0017  0.0    
2222|HD 239707                                                                                                |Double or Multiple Star        |21 34 49.983 +59 40 49.81              |100.363868 +05.725035              |     10.6 -10.0   |8.3      |G0               |    ~     ~    
2223|BD+61 2149                                                                                               |Spectroscopic Binary           |21 31 02.9979565224 +62 15 52.245463284|101.8035369684005 +07.9259923262006|   4.675 -2.998   |8.60     |K0               |    ~     ~    
2224|BD+61 2157                                                                                               |Star                           |21 34 17.1603525552 +62 30 06.841278900|102.2435013266034 +07.8419505766250|  -3.523 -4.204   |8.84     |K0               |    ~     ~    
2225|HD 205686                                                                                                |Star                           |21 34 32.2750819944 +62 18 27.916101396|102.1317323690220 +07.6798420375807|  -4.270 -2.421   |8.72     |B9               |    ~     ~    
2226|BD+61 2161                                                                                               |Star                           |21 35 36.3447135960 +62 28 53.513304960|102.3424260402264 +07.7234993813375|  -2.931 -4.508   |10.25    |B8               |    ~     ~    
2227|BD+61 2162                                                                                               |Star                           |21 35 47.4009263592 +62 31 15.566924280|102.3851870332463 +07.7381304466775|   0.018 -8.848   |9.79     |F2               |    ~     ~    
2228|HD 206078                                                                                                |High Proper Motion Star        |21 37 10.4220976080 +62 18 15.277895532|102.3568470392591 +07.4700769745129| 43.587 114.889   |7.17     |G8III            |    ~     ~    
2229|V* NT Cep                                                                                                |Long-Period Variable           |21 30 37.1209965216 +61 42 49.886025588|101.3833193951842 +07.5621114983672| -14.759 -1.402   |9.58     |M5               |    ~     ~    
2230|V* V428 Cep                                                                                              |Eclipsing Binary               |21 30 40.7455739664 +61 50 13.181033868|101.4742304683414 +07.6463359719681|  -4.228 -4.407   |8.23     |B8               |    ~     ~    
2231|HD 205100                                                                                                |Star                           |21 30 35.9647167816 +61 53 02.854604688|101.5001790828028 +07.6869352039157|    4.449 5.441   |7.78     |B9               |    ~     ~    
2232|HD 205285                                                                                                |Star                           |21 31 50.3274442128 +61 44 31.450102728|101.5086340267183 +07.4831473421295|   11.468 0.861   |8.73     |kA2hA5mF3        |    ~     ~    
2233|HD 205453                                                                                                |Star                           |21 32 55.2425605392 +62 02 23.326712340|101.8080881535562 +07.6126285784080|    7.758 8.151   |9.70     |A                |    ~     ~    
2234|HD 205599                                                                                                |Double or Multiple Star        |21 33 56.9040839928 +61 48 01.098733320|101.7323414025409 +07.3550463209833|    6.413 4.413   |7.73     |A2               |    ~     ~    
2235|BD+61 2156                                                                                               |Star                           |21 34 01.2448552992 +62 10 53.675345640|102.0005666522625 +07.6283928545355| -5.080 -14.575   |9.82     |A0               |    ~     ~    
2236|BD+61 2159                                                                                               |Star                           |21 34 38.8595431368 +61 51 52.988976360|101.8375106700881 +07.3461370663333|    7.891 4.321   |9.76     |F5               |    ~     ~    
2237|BD+61 2163                                                                                               |Pulsating Variable             |21 36 16.0855302984 +62 01 56.263812312|102.0932660666167 +07.3404322607548|  -2.087 -3.295   |9.28     |B8               |    ~     ~    
2238|BD+61 2165                                                                                               |Star                           |21 37 15.7125103344 +61 49 53.750656488|102.0440713856027 +07.1133573015690|   0.427 -6.017   |9.77     |A5               |    ~     ~    
2239|BD+61 2167                                                                                               |Star                           |21 37 43.8452030712 +62 04 54.933540600|102.2546963506690 +07.2617925072099| -10.974 -6.683   |10.0     |~                |    ~     ~    
2240|BD+61 2175                                                                                               |Star                           |21 38 59.1419267520 +61 48 05.502536136|102.1760528892556 +06.9546937897548|   14.133 2.212   |8.85     |K0               |    ~     ~    
2241|BD+61 2177                                                                                               |Star                           |21 39 29.5208079456 +61 41 11.480214804|102.1438038617651 +06.8290265750571|   7.953 -0.546   |9.38     |K0               |    ~     ~    
2242|BD+60 2254                                                                                               |Star                           |21 30 45.9696441864 +60 50 29.868823320|100.7903530411093 +06.9178499174337|  -2.247 -2.761   |9.58     |B8               |    ~     ~    
2243|BD+60 2255                                                                                               |Star                           |21 31 18.6580260552 +61 37 23.880623268|101.3804551539492 +07.4398880743585|    0.944 0.901   |9.69     |F8               |    ~     ~    
2244|BD+60 2256                                                                                               |Spectroscopic Binary           |21 31 25.9167429384 +60 54 36.461269656|100.8970485560157 +06.9118806178601|  42.013 -2.705   |9.47     |F8               |    ~     ~    
2245|BD+60 2257                                                                                               |Star                           |21 31 29.4154166472 +60 56 32.933513580|100.9246165034810 +06.9305345150489|   5.156 -2.509   |9.85     |K0               |    ~     ~    
2246|HD 205481                                                                                                |High Proper Motion Star        |21 33 19.0425202056 +61 03 44.070305652|101.1698123762212 +06.8663336322696|  71.824 35.296   |8.26     |G5               |    ~     ~    
2247|HIP 106599                                                                                               |Star                           |21 35 22.3216704336 +60 54 13.355293068|101.2455589454599 +06.5807559648584|   0.808 -1.922   |10.67    |~                |    ~     ~    
2248|V* LU Cep                                                                                                |Carbon Star                    |21 35 14.5728489120 +60 54 17.933102640|101.2347855791635 +06.5923132257684|  -0.129 -2.245   |9.57     |C5,4             |    ~     ~    
2249|BD+60 2269                                                                                               |Star                           |21 35 39.2511181416 +61 31 15.510382572|101.6911379294032 +07.0125097023828| -7.177 -13.715   |9.33     |K                |    ~     ~    
