C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:03

dec< 0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5885

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
21  |BD+00 2771                                                                                                                                                                     |High Proper Motion Star               |11 21 09.1460335992 -00 37 50.620868688|261.2351143746444 +54.7605279430926|139.873 -118.373  |9.591    |G0             |    ~     ~    |    1|   77.527   pc  |  -0.3822     +0.3822  |ST-L    |2020AJ....160...83S
22  |BD+00 2772                                                                                                                                                                     |Star                                  |11 21 07.4069100456 -00 45 41.231923020|261.3587943492801 +54.6508230303184| -24.101 -0.525   |9.298    |K0             |    ~     ~    |    1|  604.022   pc  | -22.0100    +22.0100  |ST-L    |2020AJ....160...83S
23  |BD+00 2776                                                                                                                                                                     |High Proper Motion Star               |11 21 55.7066183400 -00 21 27.319938444|261.2257399486474 +55.0955056340827| -65.980 12.027   |10.17    |F8             |    ~     ~    |    1|  139.328   pc  |  -0.3125     +0.3125  |paral   |2020yCat.1350....0G
24  |HD 98760                                                                                                                                                                       |Star                                  |11 21 56.4066310584 -00 25 44.608523952|261.3036955733879 +55.0396149700215| -16.003 -0.316   |8.36     |K0/1III        |    ~     ~    |    1|  563.412   pc  |  -8.3167     +8.3167  |paral   |2020yCat.1350....0G
25  |BD+00 2779                                                                                                                                                                     |High Proper Motion Star               |11 22 00.8910852648 -00 37 36.222437208|261.5330994244716 +54.8910234973221|  -60.528 4.294   |9.43     |F5             |    ~     ~    |    1|  144.152   pc  |  -0.4281     +0.4281  |paral   |2020yCat.1350....0G
26  |BD+00 2787                                                                                                                                                                     |Star                                  |11 25 48.0756330576 -00 46 00.632736372|263.0232827401114 +55.3257438021611|   2.956 -9.808   |9.08     |K0             |    ~     ~    |    1|  469.197   pc  |  -4.2708     +4.2708  |paral   |2020yCat.1350....0G
27  |AG-00 1597                                                                                                                                                                     |Horizontal Branch Star                |11 17 47.3811590064 -01 09 22.736536308|260.6146001936721 +53.8376404774360|  -11.113 2.127   |10.40    |G5             |    ~     ~    |    1|  766.284   pc  |  -9.8061     +9.8061  |paral   |2020yCat.1350....0G
28  |HD 98427B                                                                                                                                                                      |High Proper Motion Star               |11 19 22.0300530600 -01 39 20.179331388|261.6524075674251 +53.6696754656251|-220.049 -150.776 |7.831    |G3V            |    ~     ~    |    1|   49.315   pc  |  -0.0557     +0.0557  |paral   |2020yCat.1350....0G
29  |HD 98427A                                                                                                                                                                      |High Proper Motion Star               |11 19 22.6377621600 -01 39 17.601551712|261.6551552843796 +53.6717416769215|-220.788 -154.100 |7.037    |F6V            |    ~     ~    |    1|   49.239   pc  |  -0.0584     +0.0584  |paral   |2020yCat.1350....0G
30  |BD-00 2429                                                                                                                                                                     |Horizontal Branch Star                |11 19 33.2370087336 -01 08 34.662617412|261.2031832473767 +54.1111465618596| -14.624 -9.357   |10.16    |K2             |    ~     ~    |    1|  684.416   pc  |  -8.6659     +8.6659  |paral   |2020yCat.1350....0G
