C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:03

dec< 0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5885

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
222 |BD-05 3261                                                                                                                                                                     |Star                                  |11 22 04.4560122048 -05 56 20.153214456|266.4661002060334 +50.4965342415060|  5.746 -28.813   |10.301   |~              |    ~     ~    |    1|  167.486   pc  |  -1.7460     +1.7460  |ST-L    |2020AJ....160...83S
223 |BD-06 3366                                                                                                                                                                     |High Proper Motion Star               |11 22 17.9326204656 -06 57 11.229883920|267.3723022822222 +49.6637341691940| 5.796 -157.288   |10.490   |~              |    ~     ~    |    1|  122.741   pc  |  -1.1050     +1.1050  |ST-L    |2020AJ....160...83S
224 |BD-05 3263                                                                                                                                                                     |Double or Multiple Star               |11 22 33.1251 -06 04 33.649            |266.7385424 +50.4432861            | 56.135 -41.468   |10.462   |~              |    ~     ~    |    1|  202.085   pc  |  -3.5490     +3.5490  |ST-L    |2020AJ....160...83S
225 |BD-06 3367                                                                                                                                                                     |Star                                  |11 22 43.2235872552 -06 54 41.202056124|267.4768477859802 +49.7537844619335|   5.233 -3.543   |10.178   |~              |    ~     ~    |    1|  682.026   pc  |-137.5000   +137.5000  |ST-L    |2020AJ....160...83S
226 |BD-07 3225                                                                                                                                                                     |Star                                  |11 22 54.6040386096 -07 53 34.874938212|268.3149808491642 +48.9367362553954|     -20.4 -3.6   |10.416   |~              |    ~     ~    |    1|  267.338   pc  | +40.445      +9       |ST-L    |2017AJ....153...75K
227 |BD-05 3271                                                                                                                                                                     |Star                                  |11 23 47.7883093800 -06 39 00.187002144|267.6208563512917 +50.1158578915647|  -23.354 6.265   |10.049   |~              |    ~     ~    |    1|  702.449   pc  |-202.1000   +202.1000  |ST-L    |2020AJ....160...83S
228 |BD-05 3272                                                                                                                                                                     |Star                                  |11 23 50.3957235936 -06 15 53.813162988|267.3221325472326 +50.4505008914529| -32.631 -3.106   |10.378   |~              |    ~     ~    |    1|  273.014   pc  |  -5.3530     +5.3530  |ST-L    |2020AJ....160...83S
229 |BD-05 3274                                                                                                                                                                     |Star                                  |11 24 05.5522491048 -06 43 09.259200840|267.7747355648699 +50.0946374034050|  3.141 -14.486   |10.262   |~              |    ~     ~    |    1|  105.842   pc  |  -2.6010     +2.6010  |ST-L    |2020AJ....160...83S
230 |BD-05 3282                                                                                                                                                                     |High Proper Motion Star               |11 25 40.7382412680 -06 15 26.432269812|267.9317077256042 +50.6934891315450| -53.322 -1.445   |9.91     |~              |    ~     ~    |    1|  117.539   pc  |  -0.8734     +0.8734  |ST-L    |2020AJ....160...83S
231 |BD-05 3284                                                                                                                                                                     |High Proper Motion Star               |11 25 54.4339183224 -05 55 19.105916268|267.7353927834346 +51.0102400110494| -64.344 21.717   |10.091   |~              |    ~     ~    |    1|  238.725   pc  |  -3.9560     +3.9560  |ST-L    |2020AJ....160...83S
232 |BD-05 3283                                                                                                                                                                     |High Proper Motion Star               |11 25 54.4669988256 -06 19 22.113331500|268.0617212352784 +50.6664364548957| 51.854 -56.283   |10.237   |~              |    ~     ~    |    1|  179.422   pc  |  -2.3690     +2.3690  |ST-L    |2020AJ....160...83S
233 |BD-05 3286                                                                                                                                                                     |Star                                  |11 26 13.5119236656 -06 03 56.014937100|267.9603297063913 +50.9277677007089| -8.596 -14.966   |9.62     |~              |    ~     ~    |    1|  695.943   pc  | -10.1226    +10.1226  |paral   |2020yCat.1350....0G
234 |BD-05 3260                                                                                                                                                                     |Star                                  |11 21 24.8835395280 -05 55 23.282787936|266.2349387752171 +50.4224426351936|  6.620 -33.365   |9.98     |~              |    ~     ~    |    1|  260.851   pc  |  -1.3405     +1.3405  |paral   |2020yCat.1350....0G
235 |BD-07 3229                                                                                                                                                                     |Star                                  |11 24 24.9914256624 -08 15 41.453319708|269.0873618335824 +48.8073702114661| -7.429 -13.201   |9.87     |~              |    ~     ~    |    1| 1232.742   pc  | -40.8786    +40.8786  |paral   |2020yCat.1350....0G
236 |BD-07 3209                                                                                                                                                                     |Star                                  |11 18 08.0509674840 -07 53 58.042530384|266.7919101514274 +48.3159774867342|  0.386 -27.958   |10.71    |~              |    ~     ~    |    1|  320.297   pc  |  -2.9956     +2.9956  |paral   |2020yCat.1350....0G
237 |BD-05 3252                                                                                                                                                                     |Star                                  |11 18 48.2065630176 -06 05 24.797839164|265.5218690417943 +49.9316332716583|  -24.191 6.987   |10.724   |~              |    ~     ~    |    1|  462.805   pc  | -12.8100    +12.8100  |ST-L    |2020AJ....160...83S
238 |BD-06 3357                                                                                                                                                                     |Star                                  |11 19 57.4838597160 -07 41 56.458373208|267.2119872105093 +48.7244383744681| -6.177 -10.576   |10.727   |~              |    ~     ~    |    1|  319.330   pc  |  -6.5000     +6.5000  |ST-L    |2020AJ....160...83S
239 |BD-06 3365                                                                                                                                                                     |Star                                  |11 22 00.9437124576 -07 34 01.976824236|267.7699077681333 +49.1024414043142|-30.845 -19.662   |10.70    |~              |    ~     ~    |    1|  102.665   pc  |  -0.7961     +0.7961  |ST-L    |2020AJ....160...83S
240 |BD-05 3262                                                                                                                                                                     |High Proper Motion Star               |11 22 26.7077693280 -06 08 19.713648264|266.7551947392099 +50.3759246831579|-31.947 -39.335   |10.62    |~              |    ~     ~    |    1|   44.103   pc  |  -0.0934     +0.0934  |paral   |2020yCat.1350....0G
241 |BD-07 3226                                                                                                                                                                     |Star                                  |11 23 01.3518290304 -08 02 40.064325972|268.4687427628193 +48.8206151374566|  -4.347 -5.034   |10.589   |~              |    ~     ~    |    1|  949.215   pc  | -49.9000    +49.9000  |ST-L    |2020AJ....160...83S
242 |BD-05 3268                                                                                                                                                                     |Star                                  |11 23 27.0557436912 -06 45 31.392469116|267.5942663194235 +49.9784606809306| -31.846 -1.300   |10.665   |~              |    ~     ~    |    1|  971.559   pc  | -38.7400    +38.7400  |ST-L    |2020AJ....160...83S
243 |BD-05 3269                                                                                                                                                                     |Star                                  |11 23 31.8040891368 -06 02 19.453113240|267.0327554005155 +50.6030179775102|  -12.323 1.258   |10.60    |~              |    ~     ~    |    1|  504.414   pc  |  -5.1395     +5.1395  |paral   |2020yCat.1350....0G
244 |BD-05 3270                                                                                                                                                                     |Star                                  |11 23 34.9851123072 -06 03 53.488309788|267.0720168132615 +50.5876923801481|  -33.898 0.305   |10.387   |~              |    ~     ~    |    1|  289.970   pc  |  -5.8560     +5.8560  |ST-L    |2020AJ....160...83S
245 |BD-06 3372                                                                                                                                                                     |High Proper Motion Star               |11 24 49.9393707768 -06 56 02.648183784|268.1919243871366 +50.0045780696756|-52.834 -24.969   |10.34    |~              |    ~     ~    |    1|  291.647   pc  |  -1.4375     +1.4375  |paral   |2020yCat.1350....0G
246 |TYC 4929-1378-1                                                                                                                                                                |Star                                  |11 24 56.1552529920 -06 54 15.053206320|268.2025652982354 +50.0434055757900| 10.850 -39.800   |10.823   |~              |    ~     ~    |    1| 1759.240   pc  |-188.2000   +188.2000  |ST-L    |2020AJ....160...83S
247 |BD-06 3374                                                                                                                                                                     |Star                                  |11 25 24.6938550144 -06 50 22.438883724|268.3095049248786 +50.1591953512715|   -8.716 5.388   |10.301   |~              |    ~     ~    |    1|  841.100   pc  | -56.3000    +56.3000  |ST-L    |2020AJ....160...83S
248 |BD-05 3279                                                                                                                                                                     |Star                                  |11 25 25.1849717856 -06 20 26.879089848|267.9121663840994 +50.5887955939060|   -2.540 0.260   |10.56    |~              |    ~     ~    |    1|  351.198   pc  |  -2.2941     +2.2941  |paral   |2020yCat.1350....0G
249 |BD-06 3376                                                                                                                                                                     |Star                                  |11 25 46.8037054224 -07 05 51.985201272|268.6363730410944 +49.9830733099694|  -19.977 5.367   |10.63    |~              |    ~     ~    |    1| 1239.311   pc  | -33.0217    +33.0217  |paral   |2020yCat.1350....0G
250 |BD-06 3348                                                                                                                                                                     |Star                                  |11 18 22.0055218440 -07 43 24.126298140|266.7248392913723 +48.4958183481317| -9.321 -43.013   |10.392   |~              |    ~     ~    |    1|  152.364   pc  |  -1.5220     +1.5220  |ST-L    |2020AJ....160...83S
251 |TYC 4929-624-1                                                                                                                                                                 |Star                                  |11 21 23.8480025232 -05 54 57.480708312|266.2232304891111 +50.4262038852906| -12.137 -1.071   |10.45    |~              |    ~     ~    |    1|  836.470   pc  | -12.6642    +12.6642  |paral   |2020yCat.1350....0G
252 |TYC 4929-259-1                                                                                                                                                                 |Star                                  |11 25 01.0764761400 -06 43 23.358533196|268.0854569374455 +50.2093827398085| -13.628 -4.178   |10.95    |~              |    ~     ~    |    1|  356.710   pc  |  -2.3158     +2.3158  |paral   |2020yCat.1350....0G
253 |TYC 4929-676-1                                                                                                                                                                 |Star                                  |11 23 04.8400600128 -06 17 19.086413280|267.0892791876353 +50.3316664307101|  -16.296 7.436   |10.16    |~              |    ~     ~    |    1| 1117.818   pc  | -33.3621    +33.3621  |paral   |2020yCat.1350....0G
254 |TYC 4929-1314-1                                                                                                                                                                |High Proper Motion Star               |11 25 29.5050188880 -06 24 37.061361288|267.9924999181236 +50.5383420736271| 12.633 -71.803   |10.75    |~              |    ~     ~    |    1|   68.469   pc  |  -0.3043     +0.3043  |ST-L    |2020AJ....160...83S
255 |HD 98105                                                                                                                                                                       |Star                                  |11 17 01.1849142480 -08 30 49.035704256|266.9282121916163 +47.6489577134580|-11.848 -10.743   |9.193    |G8/K0IV        |    ~     ~    |    1|  367.091   pc  |  -8.4040     +8.4040  |ST-L    |2020AJ....160...83S
256 |HD 97816                                                                                                                                                                       |High Proper Motion Star               |11 15 04.5837084048 -09 06 46.688949828|266.7967061963489 +46.8862315798367|  -48.351 7.462   |9.02     |G6IV           |    ~     ~    |    1|  270.380   pc  | -19.3217    +19.3217  |paral   |2020yCat.1350....0G
257 |HD 97976                                                                                                                                                                       |Star                                  |11 16 02.3802875736 -08 54 00.162446076|266.9267869968073 +47.1929082231170|  -38.135 1.361   |7.64     |K0III          |    ~     ~    |    1|  230.728   pc  |  -1.1925     +1.1925  |paral   |2020yCat.1350....0G
258 |HD 98144                                                                                                                                                                       |Star                                  |11 17 18.5542351603 -08 55 42.891049892|267.3416384930298 +47.3338827057569|  -13.004 3.816   |8.977    |K1III          |    ~     ~    |    1|  454.897   pc  |  -8.2979     +8.2979  |paral   |2020yCat.1350....0G
259 |BD-08 3125                                                                                                                                                                     |High Proper Motion Star               |11 17 26.5113756072 -09 26 54.416775300|267.7813815445834 +46.9075024243979|-131.729 60.809   |10.13    |G0             |    ~     ~    |    1|   98.429   pc  |  -0.1540     +0.1540  |paral   |2020yCat.1350....0G
260 |BD-09 3249                                                                                                                                                                     |Star                                  |11 16 00.5021764272 -09 49 57.733861512|267.6334240456112 +46.3954820840181|   -5.876 0.676   |9.66     |K2             |    ~     ~    |    1|  546.538   pc  | -10.3650    +10.3650  |paral   |2020yCat.1350....0G
261 |BD-09 3251                                                                                                                                                                     |Star                                  |11 16 34.2421156752 -09 56 48.432772608|267.8909212389145 +46.3701292378710|   9.709 -5.919   |10.15    |~              |    ~     ~    |    1|  573.000   pc  |  -5.8114     +5.8114  |paral   |2020yCat.1350....0G
262 |HD 97953                                                                                                                                                                       |Star                                  |11 15 55.6899638376 -10 36 57.854312352|268.1949222895437 +45.7156086150190| -27.571 -3.365   |7.65     |K1/2IIICNIVp   |    ~     ~    |    1|  383.656   pc  |  -3.1793     +3.1793  |paral   |2020yCat.1350....0G
263 |HD 98089                                                                                                                                                                       |Star                                  |11 16 57.1583259792 -10 24 32.188104936|268.3518522531627 +46.0228148270795|  4.941 -18.998   |9.734    |K0III          |    ~     ~    |    1|  444.694   pc  |  -9.8350     +9.8350  |ST-L    |2020AJ....160...83S
264 |HD 98157                                                                                                                                                                       |Star                                  |11 17 24.4489869864 -10 52 08.771319408|268.8273048627821 +45.6843185647307| -7.958 -12.526   |8.84     |K1III          |    ~     ~    |    1|  385.922   pc  |  -3.6787     +3.6787  |paral   |2020yCat.1350....0G
265 |BD-08 3115                                                                                                                                                                     |Star                                  |11 15 24.8555660712 -08 48 36.336284640|266.6638657819402 +47.1870614913270|   -2.828 5.120   |9.96     |~              |    ~     ~    |    1|  965.997   pc  | -14.3705    +14.3705  |paral   |2020yCat.1350....0G
266 |BD-08 3116                                                                                                                                                                     |Star                                  |11 15 35.7979371432 -08 58 32.869578396|266.8494415143840 +47.0706740454491|  -24.696 5.332   |10.45    |~              |    ~     ~    |    1|  317.038   pc  |  -2.3118     +2.3118  |paral   |2020yCat.1350....0G
267 |BD-08 3117                                                                                                                                                                     |High Proper Motion Star               |11 15 45.8755169280 -08 54 31.120207848|266.8487461621620 +47.1496031353784|-134.499 -116.492 |10.59    |~              |    ~     ~    |    1|   98.619   pc  |  -0.1517     +0.1517  |paral   |2020yCat.1350....0G
268 |BD-08 3120                                                                                                                                                                     |High Proper Motion Star               |11 16 13.7757785904 -08 56 58.625314800|267.0239402335266 +47.1756513979911|  -63.934 4.865   |10.43    |~              |    ~     ~    |    1|  176.177   pc  |  -2.3155     +2.3155  |paral   |2020yCat.1350....0G
269 |BD-08 3121                                                                                                                                                                     |Star                                  |11 16 44.3573600280 -08 59 05.238956400|267.2086196909226 +47.2121289896211|  6.753 -11.247   |10.270   |~              |    ~     ~    |    1| 1269.260   pc  | -92.4400    +92.4400  |ST-L    |2020AJ....160...83S
270 |BD-08 3123                                                                                                                                                                     |Star                                  |11 17 16.9257322320 -08 59 07.017227520|267.3770494517655 +47.2820802054340|  -22.635 7.823   |10.65    |~              |    ~     ~    |    1|  249.035   pc  |  -1.1659     +1.1659  |paral   |2020yCat.1350....0G
271 |BD-09 3246                                                                                                                                                                     |Star                                  |11 15 30.8346307080 -10 02 01.060573740|267.6349425377949 +46.1605452996986| -17.977 -1.367   |10.23    |~              |    ~     ~    |    1|  277.624   pc  |  -1.8806     +1.8806  |paral   |2020yCat.1350....0G
272 |BD-09 3248                                                                                                                                                                     |High Proper Motion Star               |11 15 59.3089240416 -10 16 22.109218680|267.9581895891616 +46.0170641122914|-0.116 -146.239   |10.53    |~              |    ~     ~    |    1|  144.417   pc  |  -0.4276     +0.4276  |paral   |2020yCat.1350....0G
273 |BD-07 3202                                                                                                                                                                     |Star                                  |11 16 36.1257570192 -08 40 04.074991356|266.9192950485648 +47.4635032613482|-22.361 -15.748   |10.42    |~              |    ~     ~    |    1|  180.576   pc  |  -2.1450     +2.1450  |ST-L    |2020AJ....160...83S
274 |TYC 5508-1177-1                                                                                                                                                                |High Proper Motion Star               |11 16 43.3973374920 -09 11 27.469624128|267.3628392036479 +47.0346110092072|-106.953 -22.984  |10.71    |~              |    ~     ~    |    1|  177.153   pc  |  -1.9690     +1.9690  |ST-L    |2020AJ....160...83S
275 |BD-07 3203                                                                                                                                                                     |Star                                  |11 16 55.4629887120 -08 47 13.901707572|267.1124927214190 +47.4041838488830|  -31.636 3.430   |10.593   |~              |    ~     ~    |    1|  987.985   pc  |-103.6000   +103.6000  |ST-L    |2020AJ....160...83S
276 |BD-09 3255                                                                                                                                                                     |Spectroscopic Binary                  |11 16 58.9499333184 -09 56 00.578425272|268.0067146518659 +46.4340304266894|  -3.352 -6.431   |10.93    |~              |    ~     ~    |    1|  488.298   pc  | -15.4700    +15.4700  |ST-L    |2020AJ....160...83S
277 |BD-07 3206                                                                                                                                                                     |Star                                  |11 17 44.0408171208 -08 25 45.477605460|267.0850363458209 +47.8138147455349|-27.040 -15.151   |10.18    |K0             |    ~     ~    |    1|  452.673   pc  |  -3.6270     +3.6270  |paral   |2020yCat.1350....0G
278 |BD-07 3214                                                                                                                                                                     |Star                                  |11 20 44.1843173736 -08 31 57.034652664|268.1119902341326 +48.1120275930177|  -0.935 -4.619   |9.90     |G0             |    ~     ~    |    1|  426.494   pc  |  -3.1832     +3.1832  |paral   |2020yCat.1350....0G
279 |BD-07 3216                                                                                                                                                                     |Star                                  |11 21 05.8193704200 -08 26 52.600620624|268.1615959853954 +48.2303744122413| 10.888 -47.341   |9.91     |G5             |    ~     ~    |    1|  104.593   pc  |  -0.6987     +0.6987  |ST-L    |2020AJ....160...83S
280 |HD 99238                                                                                                                                                                       |Star                                  |11 25 06.6440689152 -08 28 32.233726200|269.4750423706509 +48.7073513048510|   -2.773 9.264   |8.21     |G8III          |    ~     ~    |    1|  310.318   pc  |  -2.2052     +2.2052  |paral   |2020yCat.1350....0G
281 |BD-07 3212                                                                                                                                                                     |Star                                  |11 20 12.5372560224 -08 29 59.937875592|267.9195565788043 +48.0727355284138|  -4.415 -0.636   |10.455   |~              |    ~     ~    |    1|  444.281   pc  | -15.0100    +15.0100  |ST-L    |2020AJ....160...83S
282 |BD-07 3230                                                                                                                                                                     |Star                                  |11 24 47.0528043000 -08 29 20.266100088|269.3789479693044 +48.6556678859460|  9.833 -28.232   |10.47    |~              |    ~     ~    |    1|  479.524   pc  | -74.7800    +74.7800  |ST-L    |2020AJ....160...83S
283 |BD-07 3234                                                                                                                                                                     |Star                                  |11 25 49.9544246880 -08 33 26.092162764|269.7713373914282 +48.7245854915581|   0.294 -3.929   |10.67    |~              |    ~     ~    |    1| 1885.370   pc  | -61.1394    +61.1394  |paral   |2020yCat.1350....0G
284 |BD-07 3218                                                                                                                                                                     |Star                                  |11 21 31.0523147568 -08 30 38.208983184|268.3438558090160 +48.2297820749006|  -2.854 -9.151   |10.523   |~              |    ~     ~    |    1| 2375.790   pc  |-373.4000   +373.4000  |ST-L    |2020AJ....160...83S
285 |HD 98453                                                                                                                                                                       |High Proper Motion Star               |11 19 29.6523189552 -08 36 07.075628748|267.7724552663675 +47.8940485776297|  -51.499 5.419   |9.70     |G8V            |    ~     ~    |    1|   72.552   pc  |  -0.1090     +0.1090  |paral   |2020yCat.1350....0G
286 |HD 98604                                                                                                                                                                       |Star                                  |11 20 34.6637322792 -08 34 41.719034748|268.0968180822213 +48.0526243967928| -33.410 -4.948   |9.25     |K0III          |    ~     ~    |    1|  475.398   pc  |  -3.9325     +3.9325  |paral   |2020yCat.1350....0G
287 |BD-08 3129                                                                                                                                                                     |Star                                  |11 18 33.7351486416 -09 31 45.136821576|268.1889380512231 +46.9811648097512|  -6.168 -3.886   |10.70    |~              |    ~     ~    |    1|  408.968   pc  | -11.1400    +11.1400  |ST-L    |2020AJ....160...83S
288 |BD-08 3132                                                                                                                                                                     |Star                                  |11 18 46.1816044248 -08 57 06.658178148|267.8144466061963 +47.5020491961603|   -6.654 1.590   |9.971    |K0             |    ~     ~    |    1|  530.377   pc  | -17.3500    +17.3500  |ST-L    |2020AJ....160...83S
289 |BD-08 3134                                                                                                                                                                     |Star                                  |11 19 17.2011573720 -09 15 12.636273672|268.2059500120452 +47.3094945896984| -22.155 -6.354   |10.11    |F8             |    ~     ~    |    1|  236.709   pc  |  -5.6872     +5.6872  |paral   |2020yCat.1350....0G
290 |HD 98529                                                                                                                                                                       |Star                                  |11 19 59.9384890608 -08 53 52.172034972|268.1587918448973 +47.7049909320735| -18.698 -7.327   |10.032   |F6/7V          |    ~     ~    |    1|  216.517   pc  |  -3.2940     +3.2940  |ST-L    |2020AJ....160...83S
291 |HD 98549                                                                                                                                                                       |Star                                  |11 20 12.6122889288 -08 51 51.847403796|268.1998400715498 +47.7604621945636|  -38.551 3.851   |8.44     |K0III          |    ~     ~    |    1|  515.650   pc  |  -6.7803     +6.7803  |paral   |2020yCat.1350....0G
292 |HD 98550                                                                                                                                                                       |Star                                  |11 20 15.9572223096 -09 15 07.088336388|268.5113298029604 +47.4344594305256|  4.025 -23.353   |9.47     |G6V            |    ~     ~    |    1|  195.714   pc  | -18.7100    +18.7100  |ST-L    |2020AJ....160...83S
293 |BD-08 3140                                                                                                                                                                     |Star                                  |11 20 20.5731297240 -09 37 20.135852976|268.8127037897144 +47.1251490508343|   -3.010 8.763   |10.555   |~              |    ~     ~    |    1|  248.509   pc  |  -4.7990     +4.7990  |ST-L    |2020AJ....160...83S
294 |HD 98605                                                                                                                                                                       |Star                                  |11 20 33.8190571656 -09 41 27.238341156|268.9326665223553 +47.0934385155125|-40.139 -15.783   |8.60     |A2V            |    ~     ~    |    1|  233.863   pc  |  -4.6434     +4.6434  |paral   |2020yCat.1350....0G
295 |BD-08 3147                                                                                                                                                                     |Star                                  |11 21 05.2345024680 -09 32 19.583117484|268.9837310541647 +47.2898933891589|   0.209 19.691   |10.342   |~              |    ~     ~    |    1|  247.895   pc  |  -5.0110     +5.0110  |ST-L    |2020AJ....160...83S
296 |BD-08 3150                                                                                                                                                                     |High Proper Motion Star               |11 21 31.4670826560 -09 39 01.753203528|269.2037858236746 +47.2474848645529|-118.574 14.377   |10.225   |~              |    ~     ~    |    1|  204.195   pc  |  -3.7480     +3.7480  |ST-L    |2020AJ....160...83S
297 |HD 98853                                                                                                                                                                       |Star                                  |11 22 28.7270723688 -08 50 33.509828832|268.9031744145700 +48.0642271454919|  -36.392 4.004   |6.90     |A3V            |    ~     ~    |    1|  134.061   pc  |  -0.5535     +0.5535  |paral   |2020yCat.1350....0G
298 |BD-08 3157                                                                                                                                                                     |Star                                  |11 23 31.0087247760 -09 15 21.245804568|269.5430959134931 +47.8345400078944|  2.698 -11.801   |10.09    |G0             |    ~     ~    |    1|  187.812   pc  |  -2.0770     +2.0770  |ST-L    |2020AJ....160...83S
299 |BD-08 3163                                                                                                                                                                     |Star                                  |11 24 48.5448565632 -09 45 40.360931604|270.3242979056294 +47.5510480178241|  -13.240 0.839   |10.377   |~              |    ~     ~    |    1|  949.140   pc  | -55.7700    +55.7700  |ST-L    |2020AJ....160...83S
300 |HD 99197                                                                                                                                                                       |Star                                  |11 24 51.8224218672 -09 34 53.402144304|270.2118003560245 +47.7145414177300|  -11.993 3.215   |9.32     |F0V            |    ~     ~    |    1|  297.356   pc  |  -5.4440     +5.4440  |ST-L    |2020AJ....160...83S
301 |BD-08 3168                                                                                                                                                                     |Star                                  |11 25 29.3104862520 -09 45 56.749312512|270.5446041295614 +47.6282857317018|  -23.676 8.649   |10.45    |~              |    ~     ~    |    1|  184.230   pc  |  -2.1390     +2.1390  |ST-L    |2020AJ....160...83S
302 |BD-08 3169                                                                                                                                                                     |High Proper Motion Star               |11 25 43.4301822648 -09 18 03.397509576|270.2842095465010 +48.0628934669295| 14.801 -79.012   |10.066   |G5             |    ~     ~    |    1|  156.467   pc  |  -2.0600     +2.0600  |ST-L    |2020AJ....160...83S
303 |BD-09 3257                                                                                                                                                                     |Star                                  |11 18 24.0510156600 -10 09 18.815967000|268.6065853519675 +46.4230865496808|   3.121 -7.813   |10.27    |~              |    ~     ~    |    1|  770.951   pc  |  -9.2127     +9.2127  |paral   |2020yCat.1350....0G
304 |HD 98356                                                                                                                                                                       |High Proper Motion Star               |11 18 39.6998265648 -10 07 34.340000016|268.6652924479471 +46.4807576100382|-262.945 84.768   |8.66     |K0V            |    ~     ~    |    1|   42.148   pc  |  -0.0915     +0.0915  |paral   |2020yCat.1350....0G
305 |BD-09 3259                                                                                                                                                                     |Star                                  |11 19 07.9118791392 -09 56 10.551278472|268.6696492406348 +46.7031705886176|   -8.223 4.776   |9.99     |~              |    ~     ~    |    1|  667.289   pc  |  -6.3229     +6.3229  |paral   |2020yCat.1350....0G
306 |BD-09 3262                                                                                                                                                                     |Long-Period Variable Candidate        |11 19 54.3146459400 -10 03 20.525602464|268.9972502554296 +46.6966641572937| -14.922 -0.014   |9.39     |M2             |    ~     ~    |    1| 1143.25    pc  | -39.472     +39.472   |paral   |2020yCat.1350....0G
307 |BD-09 3266                                                                                                                                                                     |Star                                  |11 21 14.5182437040 -09 47 23.986899276|269.2180579981597 +47.0918771554186|  -25.677 4.687   |10.147   |~              |    ~     ~    |    1|  427.588   pc  | -14.6800    +14.6800  |ST-L    |2020AJ....160...83S
308 |HD 98591                                                                                                                                                                       |High Proper Motion Star               |11 20 31.2411258288 -10 17 40.322619816|269.3626661712564 +46.5662377290606| -108.430 7.463   |6.54     |K1III          |    ~     ~    |    1|  128.480   pc  |  -0.4721     +0.4721  |paral   |2020yCat.1350....0G
309 |HD 99042                                                                                                                                                                       |Double or Multiple Star               |11 23 46.490 -10 25 22.26              |270.470325 +46.849106              |     -11.1 -5.7   |7.62     |K0III          |    ~     ~    |    0|                |                       |        |                   
310 |HD 99089                                                                                                                                                                       |Star                                  |11 24 07.2518760696 -10 40 40.431143172|270.7591357286773 +46.6670776647767|  7.102 -11.502   |8.36     |K5III          |    ~     ~    |    1|  522.302   pc  |  -7.0110     +7.0110  |paral   |2020yCat.1350....0G
311 |HD 99110                                                                                                                                                                       |Star                                  |11 24 12.3796321248 -11 02 43.762020972|271.0425938562802 +46.3548146769057|-26.516 -12.273   |9.69     |G6V            |    ~     ~    |    1|   96.982   pc  |  -0.6844     +0.6844  |ST-L    |2020AJ....160...83S
312 |* eps Crt                                                                                                                                                                      |Star                                  |11 24 36.5912121144 -10 51 33.575503752|271.0393892151080 +46.5656735778412| -25.154 24.689   |4.802    |K4III          |    ~     ~    |    1|  122.279   pc  |  -2.4716     +2.4716  |paral   |2020yCat.1350....0G
313 |NGC 3637                           NGC 3637                                                                                                                                    |Galaxy in Pair of Galaxies            |11 20 39.5662467840 -10 15 26.289737460|269.3785877699040 +46.6155472334351|  -0.311 -0.360   |     ~   |~              |0.953 0.839    |    1|   21.38    Mpc |                       |        |2016AJ....152...50T
314 |NGC 3635                           NGC 3635                                                                                                                                    |Galaxy towards a Group of Galaxies    |11 20 31.3808065248 -09 00 49.009773672|268.4120077387327 +47.6718319395154|            ~ ~   |     ~   |~              |0.663 0.531    |    1|   77.62    Mpc |  -9.08       +9.08    |T-F     |2020ApJ...902..145K
315 |NGC 3634                           NGC 3634                                                                                                                                    |Galaxy                                |11 20 30.3 -09 00 49                   |268.4063 +47.6696                  |            ~ ~   |     ~   |~              | 0.87  0.65    |    0|                |                       |        |                   
316 |NGC 3636                           NGC 3636                                                                                                                                    |Galaxy in Pair of Galaxies            |11 20 25.1128791960 -10 16 54.120018000|269.3216870198062 +46.5647766074933|   1.217 -0.122   |     ~   |~              | 2.29  1.38    |    0|                |                       |        |                   
317 |NGC 3672                           NGC 3672                                                                                                                                    |Emission-line galaxy                  |11 25 02.4824415408 -09 47 43.360336932|270.4230039456212 +47.5490025595641|            ~ ~   |     ~   |~              |2.283 0.959    |    1|   23.99    Mpc |  -1.73       +1.73    |T-F     |2020ApJ...902..145K
318 |BD-08 3128                                                                                                                                                                     |Star                                  |11 18 17.8830166464 -09 20 10.518060948|267.9609981373604 +47.1128899621049| -34.040 19.928   |10.065   |~              |    ~     ~    |    1|  470.837   pc  | -14.6100    +14.6100  |ST-L    |2020AJ....160...83S
319 |BD-08 3130                                                                                                                                                                     |Double or Multiple Star               |11 18 37.216608 -09 06 01.86912        |267.881626124 +47.355767882        |     -28.9 -4.2   |10.199   |~              |    ~     ~    |    1|  208.346   pc  | -28.242     +28.242   |ST-L    |2017AJ....153...75K
320 |BD-08 3135                                                                                                                                                                     |High Proper Motion Star               |11 19 41.1817789848 -09 04 51.288371184|268.2000355794061 +47.5082507760933|-81.961 -71.277   |10.102   |~              |    ~     ~    |    1|   79.096   pc  |  -0.3949     +0.3949  |ST-L    |2020AJ....160...83S
