C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
1464|CD-27 2891                                                            |Star                                  |06 19 46.9319798856 -27 13 34.146448968|234.6800902755462 -18.5164150536793|-10.476 -15.149   |9.35     |~                   |    ~     ~          
1465|CD-26 2925                                                            |Star                                  |06 19 54.0639203496 -26 33 52.614068796|234.0428569267477 -18.2468812986486|   1.435 11.498   |10.52    |~                   |    ~     ~          
1466|CD-27 2898                                                            |Star                                  |06 20 13.2959189664 -27 43 33.054599568|235.2081038985189 -18.6094280634859|-11.993 -42.080   |10.85    |~                   |    ~     ~          
1467|CD-26 2936                                                            |Star                                  |06 20 32.3434928688 -26 38 08.940996384|234.1682977987596 -18.1410153386638|    2.941 1.747   |10.200   |~                   |    ~     ~          
1468|CD-26 2941                                                            |Star                                  |06 20 49.7460424656 -26 56 40.367705100|234.4952551359369 -18.1957521606433|      -7.8 14.6   |10.109   |~                   |    ~     ~          
1469|CPD-27 1247                                                           |Star                                  |06 21 43.9018833864 -27 17 30.413190912|234.9130560960680 -18.1381221944413|   3.861 -2.836   |10.372   |~                   |    ~     ~          
1470|CD-26 2961                                                            |High Proper Motion Star               |06 22 22.3352826240 -26 28 58.480491468|234.1804441538855 -17.7036443487671|  -1.273 51.095   |10.26    |~                   |    ~     ~          
1471|CD-27 2857                                                            |Star                                  |06 17 08.4545648352 -27 36 52.672186656|234.8357351466022 -19.2040016700892|   -3.855 5.876   |10.019   |~                   |    ~     ~          
1472|CPD-26 1207                                                           |Star                                  |06 17 17.7657359280 -26 55 15.619243980|234.1657039433155 -18.9189609842297|    2.558 6.038   |10.07    |~                   |    ~     ~          
1473|TYC 6509-241-1                                                        |Star                                  |06 15 45.2899271640 -25 22 18.079884876|232.5099540534758 -18.6678641694988|  1.609 -29.672   |10.91    |~                   |    ~     ~          
1474|TYC 6509-1855-1                                                       |Star                                  |06 16 36.6792624624 -25 50 58.077433032|233.0538833368075 -18.6662586747153|    1.241 5.511   |10.85    |~                   |    ~     ~          
1475|TYC 6510-868-1                                                        |Star                                  |06 20 43.1059070304 -25 59 13.822613736|233.5516300482758 -17.8610254265318|-29.569 -18.241   |10.71    |~                   |    ~     ~          
1476|TYC 6510-1253-1                                                       |Star                                  |06 21 13.4661923472 -25 17 00.570493536|232.9130824663195 -17.4895131075949| -3.869 -19.330   |10.88    |~                   |    ~     ~          
1477|TYC 6510-1362-1                                                       |Star                                  |06 21 35.3248621488 -26 06 20.765741688|233.7442640083024 -17.7245156763214|  -0.798 -0.434   |10.49    |~                   |    ~     ~          
1478|TYC 6510-1544-1                                                       |Star                                  |06 20 27.806976 -25 18 28.26216        |232.868278990 -17.657901575        |      26.2 -2.9   |10.907   |~                   |    ~     ~          
1479|GSC 06510-01603                                                       |Double or Multiple Star               |06 20 20.9842206528 -25 27 14.945515452|233.0002283655589 -17.7370339429652|   4.941 -1.640   |10.589   |~                   |    ~     ~          
1480|TYC 6510-2101-1                                                       |Star                                  |06 19 20.0267106264 -25 25 07.577310360|232.8748784037459 -17.9360896790455|   5.758 14.535   |10.724   |~                   |    ~     ~          
1481|TYC 6513-666-1                                                        |Star                                  |06 16 43.2054069048 -27 11 49.756035552|234.3880380928512 -19.1392473492895|    0.045 2.881   |10.73    |~                   |    ~     ~          
1482|TYC 6513-693-1                                                        |Star                                  |06 16 26.1130120968 -26 55 50.746455984|234.1010372906733 -19.1011100261575|    3.271 5.219   |10.90    |~                   |    ~     ~          
1483|TYC 6513-811-1                                                        |Spectroscopic Binary                  |06 15 07.3721310864 -27 09 42.834372264|234.2165032611372 -19.4573816363807|  2.646 -12.505   |10.39    |~                   |    ~     ~          
1484|TYC 6514-92-1                                                         |Star                                  |06 17 02.7486615144 -27 29 46.649386572|234.7108757976731 -19.1806888033953|  -5.316 -6.185   |10.54    |~                   |    ~     ~          
1485|TYC 6514-164-1                                                        |Star                                  |06 21 23.5849486296 -27 27 30.001836096|235.0466227858115 -18.2696206383727|   9.812 19.820   |10.78    |~                   |    ~     ~          
1486|TYC 6514-276-1                                                        |Star                                  |06 17 17.8348644984 -27 16 19.292268540|234.5113057299583 -19.0470745245985|    3.022 9.531   |10.70    |~                   |    ~     ~          
1487|TYC 6514-379-1                                                        |High Proper Motion Star               |06 17 29.1589798584 -27 09 59.907286800|234.4237444939626 -18.9695319560238| -19.877 51.652   |10.34    |~                   |    ~     ~          
1488|TYC 6514-405-1                                                        |Star                                  |06 20 17.9379090312 -27 24 43.667923212|234.9069949054972 -18.4782144543825|  -0.642 22.862   |10.91    |~                   |    ~     ~          
1489|TYC 6514-474-1                                                        |High Proper Motion Star               |06 18 24.5615400600 -27 24 12.601660896|234.7360821509976 -18.8651681094980| 11.012 -77.566   |10.88    |~                   |    ~     ~          
1490|TYC 6514-633-1                                                        |Star                                  |06 19 03.7286548296 -27 01 18.084411552|234.4173217480417 -18.5900154438061|  6.261 -17.473   |10.92    |~                   |    ~     ~          
1491|TYC 6514-718-1                                                        |Star                                  |06 20 18.0457290936 -26 56 05.508409812|234.4397865232892 -18.3015069121720|  -0.729 -1.278   |10.782   |~                   |    ~     ~          
1492|TYC 6514-729-1                                                        |Star                                  |06 21 20.7556115712 -26 54 16.455612636|234.5012778725366 -18.0739467539025|  12.742 -2.496   |10.56    |~                   |    ~     ~          
1493|TYC 6514-817-1                                                        |Star                                  |06 19 57.2039934168 -27 59 39.553261476|235.4490010690956 -18.7627782359974|   -4.729 8.158   |10.60    |~                   |    ~     ~          
1494|TYC 6514-860-1                                                        |Spectroscopic Binary                  |06 20 12.5186683896 -27 59 54.034955376|235.4746714157499 -18.7117896245249|  -2.973 13.474   |10.80    |~                   |    ~     ~          
1495|TYC 6514-1094-1                                                       |High Proper Motion Star               |06 19 48.6916786536 -27 40 19.174743660|235.1201187255745 -18.6741512808199| -17.824 53.138   |10.96    |~                   |    ~     ~          
1496|TYC 6514-1123-1                                                       |Star                                  |06 17 25.9834318704 -27 58 14.430471240|235.2120358196474 -19.2726560678403|  5.213 -20.011   |10.81    |~                   |    ~     ~          
1497|TYC 6514-1431-1                                                       |Star                                  |06 19 37.9719991488 -27 37 15.460470660|235.0546941522119 -18.6922770758202|  10.518 13.363   |10.22    |~                   |    ~     ~          
1498|TYC 6514-1841-1                                                       |Star                                  |06 22 06.5067313416 -26 54 56.028953808|234.5786303071705 -17.9203091508043|  -0.155 -9.191   |10.85    |~                   |    ~     ~          
1499|TYC 6514-1864-1                                                       |Star                                  |06 21 31.6649134344 -26 25 59.315367936|234.0575083663522 -17.8601667075871|  -10.562 7.365   |10.622   |~                   |    ~     ~          
1500|TYC 6514-1873-1                                                       |Star                                  |06 17 46.7854207272 -26 44 31.276417956|234.0316952759462 -18.7528563156191|  -9.681 12.025   |10.94    |~                   |    ~     ~          
1501|GSC 06514-01907                                                       |Double or Multiple Star               |06 20 02.8029878760 -26 38 51.864413100|234.1368543632943 -18.2475687815830|   1.629 -4.444   |10.598   |~                   |    ~     ~          
1502|TYC 6514-2444-1                                                       |Star                                  |06 17 55.8901018512 -26 21 41.569390224|233.6716979112578 -18.5808375428684|  -1.972 -3.123   |10.81    |~                   |    ~     ~          
1503|HD 43449                                                              |Star                                  |06 15 00.6768789600 -28 12 34.059008376|235.2451581033835 -19.8568955192046|  10.920 13.526   |8.57     |F5V                 |    ~     ~          
1504|CD-28 2840                                                            |Star                                  |06 15 41.6055143712 -28 18 06.447972564|235.3937837486185 -19.7494923119258|  -8.198 15.557   |8.96     |~                   |    ~     ~          
1505|CD-28 2842                                                            |Star                                  |06 15 44.4254275080 -28 21 18.225611748|235.4505815392749 -19.7588387608733|   2.541 -1.538   |9.55     |~                   |    ~     ~          
1506|HD 43688                                                              |Star                                  |06 16 16.3270708752 -28 09 42.299311104|235.3033323276435 -19.5803668379169|  -6.509 11.824   |9.39     |A3IV(w)             |    ~     ~          
1507|HD 43764                                                              |Star                                  |06 16 46.7943307656 -28 56 03.292351728|236.1119363228338 -19.7518363774716|   -1.092 7.486   |8.55     |K2III/IV            |    ~     ~          
1508|HD 43916                                                              |Star                                  |06 17 34.9190885808 -28 54 32.646119724|236.1532556590038 -19.5788499717126|    1.144 3.084   |9.70     |F0                  |    ~     ~          
1509|CD-28 2877                                                            |Spectroscopic Binary                  |06 18 13.3620069696 -28 58 40.165415400|236.2744634364653 -19.4724293359285|   -3.652 0.257   |9.46     |~                   |    ~     ~          
1510|CD-28 2883                                                            |Star                                  |06 18 23.9672586144 -28 39 05.359384728|235.9661285508954 -19.3194318503203|  -7.736 41.427   |10.11    |~                   |    ~     ~          
1511|CD-28 2886                                                            |Star                                  |06 18 28.4891378352 -28 14 33.995748012|235.5686214788517 -19.1567568188597|   8.716 -4.849   |9.76     |~                   |    ~     ~          
1512|HD 44084                                                              |Star                                  |06 18 35.7219782328 -28 10 40.171077984|235.5146893973538 -19.1085101180322| -25.847 12.559   |9.40     |F2V                 |    ~     ~          
1513|HD 44135                                                              |High Proper Motion Star               |06 18 52.5774693912 -28 07 21.239894172|235.4839245189180 -19.0307757378536| -4.883 103.062   |8.14     |G1/2V               |    ~     ~          
1514|HD 44162                                                              |Star                                  |06 19 01.3487821392 -28 56 43.350428112|236.3086868012773 -19.2974580906219|   23.642 0.503   |8.99     |G8/K0III            |    ~     ~          
1515|HD 44161                                                              |Star                                  |06 19 07.7402190840 -28 17 47.747091696|235.6768526317275 -19.0419344484673|    1.590 5.730   |9.37     |A1V                 |    ~     ~          
1516|CD-28 2901                                                            |Star                                  |06 19 11.9255659320 -28 41 45.853301832|236.0769589838071 -19.1718646594105| -13.286 11.173   |10.43    |~                   |    ~     ~          
1517|HD 44183                                                              |Star                                  |06 19 10.1677663464 -29 00 53.621733168|236.3896568492731 -19.2923621781077|   12.428 7.077   |8.14     |M1III               |    ~     ~          
1518|CD-28 2913                                                            |Star                                  |06 19 50.5125532896 -28 54 03.719432484|236.3330615842594 -19.1141983778603|   1.542 16.821   |10.02    |~                   |    ~     ~          
1519|CD-28 2925                                                            |Spectroscopic Binary                  |06 20 46.9664058600 -29 03 07.668424800|236.5605999405509 -18.9766688346721|  -4.870 28.638   |9.60     |~                   |    ~     ~          
1520|HD 43471                                                              |Star                                  |06 15 01.6887390792 -29 21 55.357201692|236.3977888849716 -20.2617493215755|  2.896 -13.098   |7.30     |A1V                 |    ~     ~          
1521|HD 43636                                                              |Star                                  |06 15 57.1679109480 -29 47 18.323692872|236.8951363407485 -20.2212580907930|   -3.563 4.477   |6.647    |K4III               |    ~     ~          
1522|CD-29 2946                                                            |Spectroscopic Binary                  |06 16 43.4354211720 -29 38 10.145644728|236.8056615137513 -20.0111094153189| -23.089 -2.105   |9.53     |~                   |    ~     ~          
1523|HD 43805                                                              |Star                                  |06 16 56.0787436224 -29 18 46.515768156|236.5010441768135 -19.8543474326896|  -3.398 22.543   |9.45     |A5IV/V              |    ~     ~          
1524|HD 43806                                                              |High Proper Motion Star               |06 16 56.4464300016 -29 52 12.020962368|237.0563338089402 -20.0490318132576|   6.872 72.340   |8.19     |F6V                 |    ~     ~          
1525|HD 43830                                                              |Star                                  |06 17 01.7205663024 -29 20 19.164097860|236.5343385425090 -19.8442647699642|  -0.713 -2.363   |8.72     |K2III               |    ~     ~          
1526|CD-29 2954                                                            |Star                                  |06 17 16.5436168632 -29 35 49.158961152|236.8115267486645 -19.8850696548688|   10.751 3.526   |9.74     |~                   |    ~     ~          
1527|HD 43897                                                              |Eclipsing Binary                      |06 17 28.6078235088 -29 26 24.206647956|236.6718292764034 -19.7887746800481|   -0.322 5.899   |10.14    |B8V                 |    ~     ~          
1528|CD-29 2967                                                            |Double or Multiple Star               |06 17 49.939992 -29 40 05.79432        |236.927769733 -19.797003707        |       27.6 8.3   |10.049   |~                   |    ~     ~          
1529|HD 44009                                                              |High Proper Motion Star               |06 17 59.1297908160 -29 38 35.254189680|236.9152406788158 -19.7569941689218|  58.364 14.003   |9.27     |G2/3V(p)            |    ~     ~          
1530|HD 44010                                                              |Star                                  |06 17 57.8318087808 -29 50 57.022098576|237.1184138349788 -19.8340163338198|   0.052 -3.099   |8.67     |K1/2III/IV          |    ~     ~          
1531|CD-29 2975                                                            |Spectroscopic Binary                  |06 18 11.6922984864 -29 11 01.445537472|236.4762693975322 -19.5515117382617|  -7.554 -5.990   |9.07     |~                   |    ~     ~          
1532|HD 44086                                                              |Star                                  |06 18 31.0769286144 -29 18 04.153842720|236.6193188241146 -19.5274289780568|  -14.916 6.993   |9.65     |A8/F0V              |    ~     ~          
1533|CD-29 2984                                                            |Star                                  |06 18 32.1035318208 -29 06 24.136097796|236.4279969433021 -19.4546585941874|  -10.257 8.946   |9.88     |~                   |    ~     ~          
1534|HD 44087                                                              |Double or Multiple Star               |06 18 33.066 -29 22 03.70              |236.688035 -19.544338              |            ~ ~   |9.16     |A2(m)A7/8-F2        |    ~     ~          
1535|HD 44117                                                              |Star                                  |06 18 46.6100875224 -29 26 10.788178596|236.7746489926819 -19.5227797252917| -12.297 -1.933   |8.70     |A9IV/V              |    ~     ~          
1536|CD-29 2990                                                            |Star                                  |06 18 48.9016323096 -29 24 19.879362144|236.7472364408433 -19.5040528601510|   0.895 -4.854   |9.90     |~                   |    ~     ~          
1537|CD-29 3002                                                            |Star                                  |06 19 51.3351654480 -29 48 22.740949800|237.2298434589955 -19.4350793797686|  -26.603 3.398   |9.78     |~                   |    ~     ~          
1538|HD 44380                                                              |Star                                  |06 20 13.7422122624 -30 01 06.788497368|237.4707082166365 -19.4347326393163|  13.404 -7.471   |7.68     |K1III               |    ~     ~          
1539|HD 44401                                                              |High Proper Motion Star               |06 20 19.5805168056 -29 36 49.033763964|237.0775589227177 -19.2709555395487|  69.661 23.242   |7.92     |K1(III)             |    ~     ~          
1540|CD-29 3009B                                                           |High Proper Motion Star               |06 20 19.1068579464 -29 37 00.496783308|237.0800613088126 -19.2736947011718|  66.717 25.571   |9.29     |~                   |    ~     ~          
1541|CD-29 3011                                                            |Star                                  |06 20 24.8450580960 -29 03 50.007494952|236.5415027045834 -19.0560660937267|  -4.845 -1.488   |10.12    |~                   |    ~     ~          
1542|CD-29 3012                                                            |Star                                  |06 20 21.6070162032 -29 50 12.740246628|237.3013557299493 -19.3436562792564|   4.852 -7.955   |9.68     |~                   |    ~     ~          
1543|V* IS CMa                                                             |Spectroscopic Binary                  |06 20 56.4097890384 -29 40 15.115170072|237.1846394274831 -19.1668331644561| 40.735 -76.918   |7.03     |F3V                 |    ~     ~          
1544|CD-29 3026                                                            |Star                                  |06 21 12.5012450688 -29 26 20.623035012|236.9777491281707 -19.0293084951724|  4.517 -19.501   |9.994    |~                   |    ~     ~          
1545|HD 44642                                                              |Spectroscopic Binary                  |06 21 31.1875544448 -29 09 02.257336584|236.7191234661684 -18.8620692823746|  -8.482 44.036   |7.71     |F6V                 |    ~     ~          
1546|CD-29 3033                                                            |Star                                  |06 21 40.5657041544 -29 33 46.206811800|237.1385882378929 -18.9787938268599|  -10.485 7.026   |10.25    |~                   |    ~     ~          
1547|CD-29 3036                                                            |Star                                  |06 22 09.5307724800 -29 57 07.735000284|237.5626826765084 -19.0206202528487| -10.603 31.744   |9.75     |~                   |    ~     ~          
1548|HD 44775                                                              |Star                                  |06 22 18.6740312832 -29 51 34.419283740|237.4837871293307 -18.9566079698667| -1.657 -22.088   |8.28     |F3V                 |    ~     ~          
1549|CD-30 2965                                                            |Star                                  |06 15 17.7850409544 -30 30 58.696994808|237.5712365110129 -20.6065478080169|  -2.290 30.948   |9.64     |F5                  |    ~     ~          
1550|CD-30 2987                                                            |Star                                  |06 16 55.0934853648 -30 20 11.085722268|237.5200772127986 -20.2163025320646|  -4.127 -9.377   |9.29     |K2                  |    ~     ~          
1551|CD-30 2999                                                            |High Proper Motion Star               |06 17 58.4019382416 -30 29 46.157580204|237.7638869567470 -20.0586093602753| -13.589 58.761   |9.83     |G5                  |    ~     ~          
1552|CD-30 3002                                                            |High Proper Motion Star               |06 18 05.9722580448 -30 13 03.724435884|237.4963357969466 -19.9358691188009|   80.916 7.743   |9.96     |G2                  |    ~     ~          
1553|CD-30 3017                                                            |Star                                  |06 19 03.4230131448 -30 34 28.274345328|237.9286611456201 -19.8672798007437|   3.691 11.438   |9.73     |G5                  |    ~     ~          
1554|CD-30 3031                                                            |Star                                  |06 19 47.8745533008 -30 28 54.914363220|237.8959253482654 -19.6854039139372|   -5.497 5.182   |9.46     |K0                  |    ~     ~          
1555|HD 44343                                                              |Star                                  |06 20 00.4410389424 -30 27 16.251710400|237.8855315229843 -19.6335193057398|-12.582 -12.233   |9.06     |F5/6V               |    ~     ~          
1556|CD-30 3048                                                            |Long-Period Variable Candidate        |06 20 50.1673771464 -30 38 11.563073196|238.1330431934549 -19.5305844768097|   3.753 -2.055   |7.61     |M3/4III             |    ~     ~          
1557|CD-30 3060                                                            |Star                                  |06 21 36.0708440232 -30 24 43.922770956|237.9722732200895 -19.2971659624990|  -7.444 23.495   |9.801    |K0                  |    ~     ~          
1558|HD 44724                                                              |Star                                  |06 21 50.7201678696 -30 34 50.470014000|238.1589560891986 -19.3077021266554|  -9.405 -3.668   |9.73     |A9V                 |    ~     ~          
1559|HD 44746                                                              |Spectroscopic Binary                  |06 22 03.1075982136 -30 32 00.578591448|238.1288980778743 -19.2494135198924|  -2.219 16.738   |7.55     |K4/5III             |    ~     ~          
1560|CD-30 3079                                                            |Star                                  |06 22 26.5662440952 -30 30 56.381009724|238.1429098178005 -19.1643709251945|  8.491 -38.342   |9.550    |K0                  |    ~     ~          
1561|LP 894-30                                                             |High Proper Motion Star               |06 20 15.8980487448 -28 04 31.609324884|235.5552550925291 -18.7283621904477| 216.793 20.622   |10.94    |~                   |    ~     ~          
1562|CD-30 3078                                                            |Young Stellar Object Candidate        |06 22 27.0750762384 -30 27 45.839871216|238.0912310769762 -19.1438393541717| -2.144 -11.259   |10.86    |K0V                 |    ~     ~          
1563|CD-29 2914                                                            |Star                                  |06 15 16.7945111544 -29 14 54.161691360|236.3015226632597 -20.1693347819702|   11.400 5.493   |10.28    |~                   |    ~     ~          
1564|CD-29 2916                                                            |Star                                  |06 15 17.7227789376 -29 52 51.213080244|236.9346139521825 -20.3871088780860|   -1.206 1.305   |10.247   |~                   |    ~     ~          
1565|CD-29 2917                                                            |Star                                  |06 15 22.0791713496 -29 01 53.480275500|236.0925317784667 -20.0750559068583|  3.945 -20.551   |10.61    |~                   |    ~     ~          
1566|CD-29 2939                                                            |Star                                  |06 16 26.9266290984 -29 05 21.053724144|236.2386569205184 -19.8744424197068|   -3.421 1.661   |10.68    |~                   |    ~     ~          
1567|CD-28 2850                                                            |Star                                  |06 16 27.2516066184 -28 34 56.635372740|235.7356387282546 -19.6933586952283|    4.662 4.850   |10.091   |~                   |    ~     ~          
1568|CD-29 2942                                                            |Star                                  |06 16 29.8723235160 -29 26 58.270884000|236.6013325518097 -19.9915425334370|   -8.114 7.486   |10.14    |~                   |    ~     ~          
1569|CD-29 2945                                                            |Star                                  |06 16 38.9293137216 -29 39 31.620120948|236.8221206571475 -20.0343325382852|   -4.457 2.532   |10.46    |~                   |    ~     ~          
1570|CD-29 2947                                                            |Star                                  |06 16 53.3622420096 -29 59 15.887527296|237.1696237298602 -20.1006502374133|     -3.70 1.00   |10.40    |~                   |    ~     ~          
1571|CD-29 2959                                                            |Star                                  |06 17 25.0449227304 -29 50 52.150565112|237.0727794124229 -19.9444706709471|   -6.767 3.364   |10.50    |~                   |    ~     ~          
1572|CD-28 2863                                                            |Pulsating Variable                    |06 17 34.4667064368 -28 42 18.956372976|235.9506182774162 -19.5076369013997|   8.027 -4.818   |10.49    |~                   |    ~     ~          
1573|CD-29 2963                                                            |Star                                  |06 17 37.3194066456 -29 22 21.776790720|236.6167823389048 -19.7353792998110|  -2.753 19.667   |10.78    |~                   |    ~     ~          
1574|CD-28 2870                                                            |Star                                  |06 17 54.3749867544 -28 44 45.895054308|236.0186471498408 -19.4543057207114|    2.505 7.249   |10.97    |~                   |    ~     ~          
1575|CD-28 2873                                                            |Star                                  |06 17 58.1158198176 -28 43 05.833977744|235.9963124594981 -19.4315947707687|  -9.955 29.358   |10.81    |~                   |    ~     ~          
1576|CD-29 2978                                                            |Star                                  |06 18 19.7536008960 -29 12 10.427180148|236.5063455273205 -19.5309303841592|   -3.047 7.166   |10.21    |~                   |    ~     ~          
1577|CD-28 2881                                                            |Star                                  |06 18 20.8184761032 -28 30 51.879812760|235.8262052230479 -19.2809185684554|   -3.225 1.841   |10.33    |~                   |    ~     ~          
1578|CD-29 2980                                                            |Star                                  |06 18 20.8022696112 -29 31 00.725663388|236.8193067211059 -19.6388810233044|  -0.712 -3.008   |10.37    |~                   |    ~     ~          
1579|CD-28 2882                                                            |Star                                  |06 18 22.9001720928 -28 36 32.302443168|235.9225981961829 -19.3078038025348|  10.431 -0.341   |9.78     |~                   |    ~     ~          
1580|CD-28 2893                                                            |Star                                  |06 18 38.3158830744 -28 52 43.713195960|236.2109306737292 -19.3520360452120|    1.702 6.571   |10.15    |~                   |    ~     ~          
1581|CD-28 2891                                                            |Star                                  |06 18 40.2991161888 -28 37 55.789771332|235.9697575246952 -19.2567542082974|  -3.606 36.488   |10.75    |~                   |    ~     ~          
1582|CD-29 2989                                                            |Star                                  |06 18 47.5254102888 -29 13 32.390190660|236.5670829214521 -19.4446734506089|  -38.188 4.631   |10.52    |~                   |    ~     ~          
1583|CD-28 2894                                                            |Star                                  |06 18 48.1184360328 -28 10 20.619415416|235.5267749555493 -19.0641008906168|  -24.860 2.227   |10.42    |~                   |    ~     ~          
1584|CD-28 2896                                                            |Star                                  |06 18 49.3886340048 -28 29 48.990465852|235.8488432651284 -19.1770354552680|   -1.142 3.846   |10.88    |~                   |    ~     ~          
1585|CD-29 2991                                                            |Star                                  |06 18 54.2989512696 -29 38 25.991673108|236.9877465614738 -19.5692165241453|   -3.471 4.981   |10.655   |~                   |    ~     ~          
1586|CD-28 2920                                                            |Star                                  |06 20 26.7131868744 -28 46 41.480529492|236.2622782688233 -18.9466544011083|   3.219 24.846   |10.39    |~                   |    ~     ~          
1587|CD-29 3013                                                            |Star                                  |06 20 30.1376236896 -29 28 17.869306980|236.9515996334435 -19.1844646361389|    2.004 6.375   |10.187   |~                   |    ~     ~          
1588|CD-28 2921                                                            |Star                                  |06 20 33.4286946576 -28 56 12.555697200|236.4280517145553 -18.9810929338368|   -2.910 9.992   |9.89     |~                   |    ~     ~          
1589|CD-29 3016                                                            |Star                                  |06 20 36.4188836280 -29 15 53.014415868|236.7558119718310 -19.0889852519491|   -4.010 0.035   |10.584   |~                   |    ~     ~          
1590|CD-28 2936                                                            |Star                                  |06 21 39.0202620360 -28 39 47.069365032|236.2501865349678 -18.6586800453022|   0.525 -0.407   |10.570   |~                   |    ~     ~          
1591|CD-28 2938                                                            |Star                                  |06 21 40.1406031848 -29 01 15.031043256|236.6037414761140 -18.7847396476609|   -0.350 3.034   |10.304   |~                   |    ~     ~          
1592|CD-28 2940                                                            |Star                                  |06 21 47.8360840560 -28 13 18.889942080|235.8293864986183 -18.4675272278418|   4.583 14.071   |10.831   |~                   |    ~     ~          
1593|CD-29 3039                                                            |Star                                  |06 22 24.8732095368 -29 16 37.431679368|236.9182118929862 -18.7257541413972|       -6.0 0.5   |10.237   |~                   |    ~     ~          
1594|NAME Furud                         * zet CMa                          |Cepheid Variable                      |06 20 18.7920398 -30 03 48.120242      |237.5219910983 -19.4335891510      |      7.32 4.03   |2.99     |B2.5V               |    ~     ~          
1595|CD-30 3012                                                            |Spectroscopic Binary                  |06 18 39.8835624168 -30 07 09.524110656|237.4439359756326 -19.7869587642959|    0.481 9.123   |10.58    |~                   |    ~     ~          
1596|CD-30 3021                                                            |Star                                  |06 19 16.3214391744 -30 27 16.407744948|237.8264474454454 -19.7819052409792|   2.222 15.627   |10.559   |~                   |    ~     ~          
1597|CD-30 3032                                                            |Star                                  |06 19 56.0293671312 -30 28 56.403787332|237.9072666246576 -19.6581354931507|   13.371 1.726   |10.159   |~                   |    ~     ~          
1598|CD-30 3041                                                            |Star                                  |06 20 22.7264254608 -30 40 08.374432332|238.1285580463535 -19.6340732611481|    1.294 1.914   |10.567   |~                   |    ~     ~          
1599|CD-30 3047                                                            |Long-Period Variable                  |06 20 46.2596135664 -30 34 29.650882188|238.0665945982583 -19.5219809564303|  -0.283 -0.223   |10.082   |~                   |    ~     ~          
1600|CD-30 3057                                                            |Star                                  |06 21 18.8638068888 -30 29 57.591888000|238.0354268886119 -19.3858252110033|    6.301 6.326   |10.124   |~                   |    ~     ~          
1601|CD-30 3058                                                            |Star                                  |06 21 24.9590711928 -30 30 46.944731304|238.0572257530350 -19.3702092894232|  4.504 -26.513   |10.53    |~                   |    ~     ~          
1602|CD-30 3062                                                            |Star                                  |06 21 37.8486878832 -30 30 16.230642300|238.0661313423818 -19.3239145734719|  -5.009 -3.398   |10.14    |~                   |    ~     ~          
1603|CPD-30 1230                                                           |High Proper Motion Star               |06 21 40.3670224488 -30 07 49.578357792|237.6991572774495 -19.1825517706154| -41.940 30.009   |10.32    |~                   |    ~     ~          
1604|CPD-30 1231                                                           |Spectroscopic Binary                  |06 21 41.1565951248 -30 06 32.475861432|237.6790439732824 -19.1722605103385| -12.949 -7.193   |10.47    |~                   |    ~     ~          
1605|CD-30 3073                                                            |Star                                  |06 22 11.4042784560 -30 37 36.096380040|238.2323814913204 -19.2546382586989|   0.929 -1.720   |10.792   |~                   |    ~     ~          
1606|TYC 6514-767-1                                                        |Star                                  |06 19 18.4921417008 -28 06 03.029189688|235.4990706628209 -18.9341452244422|  -2.754 -5.326   |10.95    |~                   |    ~     ~          
1607|TYC 6514-837-1                                                        |Star                                  |06 21 35.1582390149 -28 03 23.534396473|235.6491760519183 -18.4502331893282|   -7.192 8.217   |10.28    |~                   |    ~     ~          
1608|TYC 6514-867-1                                                        |Star                                  |06 20 57.5643916056 -28 02 40.526492424|235.5840302664091 -18.5744794355395|  -8.235 15.525   |10.64    |~                   |    ~     ~          
1609|TYC 6517-210-1                                                        |Spectroscopic Binary                  |06 15 37.9274451432 -28 16 40.198476072|235.3648867608773 -19.7535463627893|  4.001 -16.889   |10.383   |~                   |    ~     ~          
1610|TYC 6517-1191-1                                                       |Star                                  |06 15 04.4679816768 -29 06 30.823959384|236.1452872681418 -20.1622035605018|  4.366 -18.315   |10.92    |~                   |    ~     ~          
1611|TYC 6517-2061-1                                                       |Star                                  |06 15 27.3957435888 -29 43 00.971198220|236.7836724870612 -20.2972493353766|  -6.663 25.253   |10.731   |~                   |    ~     ~          
1612|TYC 6518-52-1                                                         |Star                                  |06 18 06.5212879680 -29 47 30.743962188|237.0731703729516 -19.7844375002864|  -5.882 15.814   |10.95    |~                   |    ~     ~          
1613|CD-29 3018                                                            |Star                                  |06 20 44.0064620016 -29 50 03.896650248|237.3294683038647 -19.2671271242049|   0.754 -0.944   |10.988   |~                   |    ~     ~          
1614|TYC 6518-272-1                                                        |Star                                  |06 21 38.1743795760 -29 41 54.399348420|237.2691735630962 -19.0355484538718|  10.893 -7.992   |10.593   |~                   |    ~     ~          
1615|TYC 6518-275-1                                                        |Star                                  |06 17 19.7978765976 -29 16 28.691541768|236.4953810646622 -19.7601863554099| -12.058 -6.261   |10.97    |~                   |    ~     ~          
