C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
34  |HD 44175                                                              |Star                                  |06 20 23.0492415552 -01 17 43.613071944|210.5352935983713 -07.4985255329062| -4.011 -11.849   |7.98     |A1IV                |    ~     ~          
35  |HD 291553                                                             |Star                                  |06 20 31.2895231752 -01 05 21.600081708|210.3662600402863 -07.3737542464720|   -6.564 6.087   |10.18    |K5                  |    ~     ~          
36  |HD 44215                                                              |Star                                  |06 20 31.7471429304 -01 21 59.876416620|210.6158564019152 -07.4988285078874| -4.161 -11.636   |7.81     |A0/1IV              |    ~     ~          
37  |HD 44334                                                              |Star                                  |06 21 14.1228061128 -01 23 00.885739380|210.7123802623189 -07.3495527652299|   -7.822 1.316   |8.35     |K1III               |    ~     ~          
38  |HD 44354                                                              |Star                                  |06 21 20.2972713024 -01 13 14.674720836|210.5781999373739 -07.2522715778176|  -6.711 -2.452   |7.57     |B8III               |    ~     ~          
39  |HD 44500                                                              |Star                                  |06 22 04.1323377936 -01 34 15.883734576|210.9764404459687 -07.2498311589988|   2.798 19.750   |8.40     |G8III               |    ~     ~          
40  |HD 44545                                                              |Star                                  |06 22 16.8571997784 -01 29 37.688798580|210.9315163360786 -07.1674031480406|    1.846 1.464   |8.41     |A1V                 |    ~     ~          
41  |HD 44563                                                              |Star                                  |06 22 18.6823223232 -01 47 04.485693768|211.1958424313127 -07.2932899490694|   2.280 -4.616   |9.04     |F0V                 |    ~     ~          
42  |HD 44562                                                              |Star                                  |06 22 21.4005198888 -01 42 15.612212556|211.1290537397381 -07.2466237032450| -10.098 -7.026   |8.61     |A5IV                |    ~     ~          
43  |HD 291373                                                             |Star                                  |06 15 09.5669493048 -00 01 59.133363420|208.7984463027604 -08.0800258782838| -3.201 -10.821   |10.51    |F2                  |    ~     ~          
44  |HD 291448                                                             |Double or Multiple Star               |06 15 37.3864437816 -00 01 19.000120692|208.8423503637397 -07.9719959114397|  5.338 -24.505   |10.52    |G                   |    ~     ~          
45  |HD 291542                                                             |Star                                  |06 18 28.6036949352 -00 19 49.230526080|209.4497252609028 -07.4802485835760|-21.375 -11.859   |10.30    |F5                  |    ~     ~          
46  |HD 291529                                                             |Star                                  |06 20 07.4871461064 -00 07 40.354144896|209.4591148875839 -07.0212730481396|  11.981 22.863   |10.60    |G5                  |    ~     ~          
47  |HD 291531                                                             |Star                                  |06 20 34.3395987696 -00 10 38.930471436|209.5552594242109 -06.9446461758504| -18.009 -0.068   |10.75    |G0                  |    ~     ~          
48  |HD 291382                                                             |Star                                  |06 15 15.9146574048 -00 42 12.516438960|209.4122339949308 -08.3647811891130|   9.612 -6.887   |10.8     |F5                  |    ~     ~          
49  |HD 291461                                                             |Double or Multiple Star               |06 15 50.754432 -00 36 34.90128        |209.395394555 -08.192770461        |      -10.5 5.7   |10.56    |F5                  |    ~     ~          
50  |HD 291466                                                             |Star                                  |06 17 05.0732447184 -00 35 25.164724308|209.5215764813299 -07.9087888414636|  -0.450 -4.750   |10.22    |F2                  |    ~     ~          
51  |HD 291483                                                             |Star                                  |06 17 06.7151534952 -00 58 19.558156620|209.8673383621353 -08.0777865918002|   6.688 -4.698   |10.7     |K5                  |    ~     ~          
