C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
3031 |BD-16 2286                                                                                               |Spectroscopic Binary           |08 06 00.3497693544 -16 48 39.705132564|236.5664158805561 +08.0740112208394|  -2.860 19.966   |9.92     |K5                     |    ~     ~    |    1|  241.844   pc  |  -0.6960     +0.6960    |paral   |2020yCat.1350....0G
3032 |BD-16 2268                                                                                               |Star                           |08 03 49.4376085392 -16 44 07.736929692|236.2259373950180 +07.6681644429912|   -0.106 1.180   |10.01    |~                      |    ~     ~    |    1|  679.592   pc  | -22.2100    +22.2100    |ST-L    |2020AJ....160...83S
3033 |BD-16 2269                                                                                               |Star                           |08 04 04.5898109856 -16 50 02.705584056|236.3426353181253 +07.6683603533201|   1.095 -2.879   |9.69     |~                      |    ~     ~    |    1|  234.720   pc  |  -5.2339     +5.2339    |paral   |2020yCat.1350....0G
3034 |BD-15 2236                                                                                               |Star                           |08 04 13.6936754736 -15 39 15.652857204|235.3445592460716 +08.3135054152517|  -12.378 7.443   |9.99     |~                      |    ~     ~    |    1|  553.036   pc  |  -5.8723     +5.8723    |paral   |2020yCat.1350....0G
3035 |BD-14 2357                                                                                               |Star                           |08 04 48.9138936600 -15 17 57.534739224|235.1121575201435 +08.6188098273014|   -4.728 1.804   |10.26    |~                      |    ~     ~    |    1| 1449.906   pc  | -36.1583    +36.1583    |paral   |2020yCat.1350....0G
3036 |BD-14 2360                                                                                               |Star                           |08 04 59.1234408960 -15 17 19.922836092|235.1246986492093 +08.6592962352107|   9.793 -3.596   |9.69     |~                      |    ~     ~    |    1| 1432.254   pc  | -50.4633    +50.4633    |paral   |2020yCat.1350....0G
3037 |BD-15 2246                                                                                               |Star                           |08 05 29.2622615688 -15 27 08.708654556|235.3297116900797 +08.6776125889241|   -1.692 1.636   |10.37    |~                      |    ~     ~    |    1|  774.114   pc  | -11.4457    +11.4457    |paral   |2020yCat.1350....0G
3038 |BD-15 2248                                                                                               |Star                           |08 05 37.3841840904 -15 59 49.768422684|235.8169545946838 +08.4214033264647|  6.411 -13.147   |10.17    |~                      |    ~     ~    |    1|  673.471   pc  | -21.0000    +21.0000    |ST-L    |2020AJ....160...83S
3039 |BD-15 2249                                                                                               |High Proper Motion Star        |08 05 39.7719582360 -16 16 07.633977960|236.0561278679053 +08.2876959344343| -4.533 -51.400   |10.20    |~                      |    ~     ~    |    1|  102.794   pc  |  -0.1828     +0.1828    |paral   |2020yCat.1350....0G
3040 |BD-16 2284                                                                                               |Star                           |08 05 40.1336884344 -16 45 57.095066088|236.4848992037461 +08.0289664079159|  -8.667 -5.607   |9.70     |~                      |    ~     ~    |    1|  607.366   pc  | -19.2100    +19.2100    |ST-L    |2020AJ....160...83S
3041 |BD-14 2363                                                                                               |Star                           |08 05 43.2636725088 -14 49 27.461019648|234.8164638545870 +09.0525062908368|    4.253 9.781   |10.241   |~                      |    ~     ~    |    1|  719.409   pc  | -22.0500    +22.0500    |ST-L    |2020AJ....160...83S
3042 |BD-15 2252                                                                                               |Star                           |08 05 52.3277759520 -16 17 48.055864452|236.1066869339885 +08.3159271138206|   -2.219 1.823   |9.95     |~                      |    ~     ~    |    1| 1050.200   pc  | -13.5659    +13.5659    |paral   |2020yCat.1350....0G
3043 |HD 67287                                                                                                 |Star                           |08 06 40.4862609096 -14 51 57.286403424|234.9739468344179 +09.2276435370524| -4.856 -13.089   |9.26     |F3/5V                  |    ~     ~    |    1|  261.438   pc  | -10.4712    +10.4712    |paral   |2020yCat.1350....0G
3044 |BD-14 2382                                                                                               |Star                           |08 08 07.6515639576 -14 39 20.829359448|234.9779965751986 +09.6368873789745|   -4.787 0.275   |9.65     |M                      |    ~     ~    |    1| 1400.364   pc  | -30.5919    +30.5919    |paral   |2020yCat.1350....0G
3045 |HD 67631                                                                                                 |Double or Multiple Star        |08 08 23.1997071888 -15 09 44.097247620|235.4488694543753 +09.4252691476959|  -9.220 -2.421   |8.90     |A0V                    |0.0017  0.0    |    1|  583.397   pc  | -43.8373    +43.8373    |paral   |2020yCat.1350....0G
3046 |HD 67651                                                                                                 |Star                           |08 08 31.3908851040 -15 13 17.128998912|235.5174548994826 +09.4223121132554|  -1.368 -0.561   |8.45     |G8/K0III+A/F           |    ~     ~    |    1|  795.672   pc  | -31.4014    +31.4014    |paral   |2020yCat.1350....0G
3047 |HD 67695                                                                                                 |Star                           |08 08 44.4931977888 -15 14 03.156950292|235.5564905850942 +09.4604626865245|  -10.179 6.362   |9.352    |G8/K0III               |    ~     ~    |    1|  599.711   pc  | -21.8700    +21.8700    |ST-L    |2020AJ....160...83S
3048 |HD 67915                                                                                                 |Star                           |08 09 41.5949559792 -15 02 15.710201556|235.5091116474035 +09.7590986997892|   -7.302 2.934   |9.67     |A0IV                   |    ~     ~    |    1|  530.166   pc  |  -7.1675     +7.1675    |paral   |2020yCat.1350....0G
3049 |HD 67996                                                                                                 |Star                           |08 10 00.7543824264 -14 36 53.928680616|235.1850341900570 +10.0467195732652|    0.516 3.332   |8.47     |K0/1III                |    ~     ~    |    1|  356.227   pc  |  -2.5760     +2.5760    |paral   |2020yCat.1350....0G
3050 |BD-14 2401                                                                                               |Star                           |08 11 05.5047725448 -15 17 41.570023956|235.9113353587204 +09.9105907271355|-11.205 -12.658   |9.21     |K7                     |    ~     ~    |    1|  382.936   pc  |  -1.9796     +1.9796    |paral   |2020yCat.1350....0G
3051 |HD 68444                                                                                                 |Star                           |08 11 53.3636644008 -14 39 56.937601368|235.4716210683832 +10.4060672043130|   -2.209 2.659   |9.12     |B3III                  |    ~     ~    |    1| 2257.336   pc  |-214.5234   +214.5234    |paral   |2020yCat.1350....0G
3052 |BD-14 2410                                                                                               |Star                           |08 12 19.5701305008 -14 40 41.731107888|235.5390386387617 +10.4892385513982| -9.822 -13.091   |9.91     |F2                     |    ~     ~    |    1|  242.289   pc  |  -1.4500     +1.4500    |paral   |2020yCat.1350....0G
3053 |BD-14 2416                                                                                               |Double or Multiple Star        |08 12 36.7292047056 -15 18 28.147685652|236.1193465296489 +10.2149517449487|   -2.292 4.155   |8.89     |K                      |    ~     ~    |    1|  659.587   pc  |  -6.6998     +6.6998    |paral   |2020yCat.1350....0G
3054 |HD 68588                                                                                                 |Star                           |08 12 37.5064139328 -15 16 41.235012192|236.0954313520342 +10.2333313623545|  -4.665 -1.083   |9.367    |B9IV/V                 |    ~     ~    |    1|  601.468   pc  | -10.3826    +10.3826    |paral   |2020yCat.1350....0G
3055 |BD-14 2418                                                                                               |Star                           |08 12 42.2772416088 -15 23 50.063707500|236.2084026514546 +10.1864769362399|  -20.414 8.123   |9.80     |K2                     |    ~     ~    |    1|  640.985   pc  |  -5.7521     +5.7521    |paral   |2020yCat.1350....0G
3056 |BD-14 2419                                                                                               |Star                           |08 12 43.7138901768 -14 41 55.037069160|235.6089008416770 +10.5611152853754|  -1.585 -0.951   |9.20     |K7                     |    ~     ~    |    1| 1068.034   pc  | -19.9622    +19.9622    |paral   |2020yCat.1350....0G
3057 |HD 68647                                                                                                 |Star                           |08 12 47.6412073824 -14 34 36.977281536|235.5123045206408 +10.6388480514594|   -9.223 0.733   |8.80     |A0III                  |    ~     ~    |    1|  808.996   pc  | -15.0529    +15.0529    |paral   |2020yCat.1350....0G
3058 |BD-14 2421                                                                                               |Star                           |08 12 57.5395035408 -14 38 03.769508616|235.5833835481926 +10.6423778697114|  -3.932 -0.859   |9.88     |A2                     |    ~     ~    |    1|  791.327   pc  | -10.7080    +10.7080    |paral   |2020yCat.1350....0G
3059 |BD-14 2422                                                                                               |High Proper Motion Star        |08 12 58.8875230320 -14 57 09.342980748|235.8610073330362 +10.4786580578333|71.340 -164.655   |9.30     |G5                     |    ~     ~    |    1|   74.264   pc  |  -0.0838     +0.0838    |paral   |2020yCat.1350....0G
3060 |HD 68708                                                                                                 |Star                           |08 13 03.5736249360 -14 46 11.479667916|235.7134532253420 +10.5913772713360| -19.637 -0.722   |7.81     |K1/2III                |    ~     ~    |    1|  288.568   pc  |  -4.8000     +4.8000    |ST-L    |2020AJ....160...83S
3061 |BD-14 2440                                                                                               |High Proper Motion Star        |08 14 46.4984789040 -15 18 52.787315880|236.4068938570122 +10.6531888010455| 18.212 -63.942   |9.50     |K7                     |    ~     ~    |    1|  237.135   pc  |  -3.2810     +3.2810    |ST-L    |2020AJ....160...83S
3062 |BD-15 2258                                                                                               |Star                           |08 06 43.1205723744 -15 56 11.928290820|235.9039570568933 +08.6775373171974|   0.370 -4.821   |9.16     |M0                     |    ~     ~    |    1|  799.424   pc  | -10.0975    +10.0975    |paral   |2020yCat.1350....0G
3063 |BD-15 2260                                                                                               |Star                           |08 06 52.5838720296 -16 04 31.339925076|236.0435863410852 +08.6372048575003|  -13.361 6.823   |9.66     |M1                     |    ~     ~    |    1|  996.214   pc  | -14.8866    +14.8866    |paral   |2020yCat.1350....0G
3064 |HD 67353                                                                                                 |Star                           |08 06 54.7306705680 -15 48 34.470814248|235.8190368740395 +08.7836834671692|  -13.205 1.921   |8.22     |G6/8IV                 |    ~     ~    |    1|  290.647   pc  |  -1.9852     +1.9852    |paral   |2020yCat.1350....0G
3065 |HD 67726                                                                                                 |Star                           |08 08 46.0381896696 -15 41 31.278882876|235.9546799318162 +09.2254004474955|  39.488 -4.886   |8.91     |G3V                    |    ~     ~    |    1|   74.865   pc  |  -0.0846     +0.0846    |paral   |2020yCat.1350....0G
3066 |HD 67771                                                                                                 |Star                           |08 08 55.9089707088 -15 58 40.223168472|236.2220079227142 +09.1087512525280|   -4.570 3.257   |9.14     |A1IV/V                 |    ~     ~    |    1|  409.182   pc  |  -5.6926     +5.6926    |paral   |2020yCat.1350....0G
3067 |HD 67835                                                                                                 |Star                           |08 09 16.6089402096 -15 34 12.573646716|235.9149743938217 +09.3938120175074|   -9.154 2.780   |7.31     |ApSi                   |    ~     ~    |    1|  374.981   pc  |  -5.2167     +5.2167    |paral   |2020yCat.1350....0G
3068 |HD 67941                                                                                                 |Star                           |08 09 43.7166303288 -16 01 43.186682388|236.3679543166640 +09.2447238811099|  -13.106 3.463   |9.36     |K0/1III                |    ~     ~    |    1|  477.897   pc  |  -5.0473     +5.0473    |paral   |2020yCat.1350....0G
3069 |HD 68020                                                                                                 |High Proper Motion Star        |08 10 02.8851630552 -15 42 02.168984376|236.1265024382095 +09.4829892659986| -53.261 12.294   |8.84     |G2/3V(+F/G)            |    ~     ~    |    1|  159.622   pc  |  -0.4382     +0.4382    |paral   |2020yCat.1350....0G
3070 |BD-15 2289                                                                                               |Star                           |08 10 03.7579659528 -15 43 33.329948376|236.1501888302453 +09.4726137503873|  -6.642 13.364   |9.94     |M                      |    ~     ~    |    1|  728.651   pc  |  -7.6985     +7.6985    |paral   |2020yCat.1350....0G
3071 |HD 68234                                                                                                 |Double or Multiple Star        |08 10 58.5005 -15 54 53.713            |236.4304247 +09.5591784            |   -5.987 7.211   |9.84     |F0IV/V                 |    ~     ~    |    0|                |                         |        |                   
3072 |HD 68384                                                                                                 |Star                           |08 11 35.9241446136 -16 07 12.295150320|236.6874006675495 +09.5776920486645|  -5.941 29.614   |9.53     |G3IV/V                 |    ~     ~    |    1|  155.301   pc  |  -0.3931     +0.3931    |paral   |2020yCat.1350....0G
3073 |HD 68428                                                                                                 |Star                           |08 11 46.1974020216 -15 44 26.518173864|236.3831074625390 +09.8136102780808| -13.507 -8.625   |9.65     |F0V                    |    ~     ~    |    1|  214.473   pc  |  -0.6256     +0.6256    |paral   |2020yCat.1350....0G
3074 |HD 68445                                                                                                 |Star                           |08 11 53.8591538112 -15 31 39.662345028|236.2161876226624 +09.9524602484776|  14.221 -4.786   |9.16     |G2/3V                  |    ~     ~    |    1|   90.255   pc  |  -0.1067     +0.1067    |paral   |2020yCat.1350....0G
3075 |BD-15 2308                                                                                               |High Proper Motion Star        |08 11 52.3279493112 -15 57 20.024012700|236.5812235039339 +09.7206078858227| 29.326 -38.721   |10.15    |F8                     |    ~     ~    |    1|  187.995   pc  |  -0.6468     +0.6468    |paral   |2020yCat.1350....0G
3076 |HD 68486                                                                                                 |Star                           |08 12 05.0814280488 -15 39 19.454944356|236.3503954309552 +09.9230383469114| -13.393 -8.536   |8.99     |A9/F0V                 |    ~     ~    |    1|  215.373   pc  |  -0.7375     +0.7375    |paral   |2020yCat.1350....0G
3077 |HD 68487                                                                                                 |Star                           |08 12 06.4103958072 -15 39 32.240741508|236.3563211072265 +09.9256788780443| -13.534 -8.789   |8.52     |A2V                    |    ~     ~    |    1|  214.394   pc  |  -0.8044     +0.8044    |paral   |2020yCat.1350....0G
3078 |BD-15 2314                                                                                               |Star                           |08 12 24.3789219168 -15 32 24.749332224|236.2928623422329 +10.0497559308089|   3.384 -5.605   |9.24     |K7                     |    ~     ~    |    1|  788.333   pc  | -11.1243    +11.1243    |paral   |2020yCat.1350....0G
3079 |HD 68589                                                                                                 |Star                           |08 12 31.0171551144 -15 57 50.028679224|236.6718417312557 +09.8475617332961|  -2.756 -2.048   |9.91     |A0III/IV               |    ~     ~    |    1|  519.588   pc  |  -5.0215     +5.0215    |paral   |2020yCat.1350....0G
3080 |BD-15 2323                                                                                               |Star                           |08 13 14.7538943016 -16 03 53.128859760|236.8530868220180 +09.9423022673787|   -8.748 1.447   |10.108   |K2                     |    ~     ~    |    1|  700.740   pc  | -19.7500    +19.7500    |ST-L    |2020AJ....160...83S
3081 |* 20 Pup                                                                                                 |Star                           |08 13 19.9671571968 -15 47 17.608829604|236.6265842154149 +10.1070996329618| -12.796 -3.749   |4.99     |G4Ib-II                |    ~     ~    |    1|  315.050   pc  |  -6.9777     +6.9777    |paral   |2020yCat.1350....0G
3082 |BD-15 2327                                                                                               |Star                           |08 13 30.1770971592 -15 35 31.820081964|236.4799991562465 +10.2460152700496|-13.279 -31.890   |9.61     |K5                     |    ~     ~    |    1|  461.280   pc  | -12.6800    +12.6800    |ST-L    |2020AJ....160...83S
3083 |HD 68974                                                                                                 |Star                           |08 14 13.8293535216 -15 39 51.539466600|236.6368109836467 +10.3559343664484|  -6.645 -2.427   |9.60     |B9V                    |    ~     ~    |    1|  619.157   pc  | -11.4240    +11.4240    |paral   |2020yCat.1350....0G
3084 |HD 68975                                                                                                 |Star                           |08 14 13.9810554552 -16 02 42.550828044|236.9645807735578 +10.1534282722246|   -7.967 3.161   |9.29     |A2/3III                |    ~     ~    |    1|  747.775   pc  | -10.9038    +10.9038    |paral   |2020yCat.1350....0G
3085 |BD-15 2336                                                                                               |Star                           |08 14 27.3760706256 -15 32 08.126869056|236.5554856153779 +10.4705125504404|   -3.970 3.099   |9.62     |K2                     |    ~     ~    |    1|  573.045   pc  | -21.6300    +21.6300    |ST-L    |2020AJ....160...83S
3086 |HD 69013                                                                                                 |Star                           |08 14 28.9689055920 -15 46 31.486504584|236.7652676116377 +10.3481047299399|  -21.082 4.119   |9.56     |ApEuSr                 |    ~     ~    |    1|  266.113   pc  |  -1.2889     +1.2889    |paral   |2020yCat.1350....0G
3087 |HD 69061                                                                                                 |Star                           |08 14 44.3394363312 -15 33 01.279310508|236.6050956623046 +10.5202674312069|  -12.654 2.814   |9.96     |A2IV                   |    ~     ~    |    1|  744.269   pc  |  -9.9155     +9.9155    |paral   |2020yCat.1350....0G
3088 |BD-15 2269                                                                                               |High Proper Motion Star        |08 08 07.0216333752 -16 15 13.293011700|236.3553034550344 +08.7972181830577|-40.277 -62.409   |10.32    |K0                     |    ~     ~    |    1|  117.375   pc  |  -0.1874     +0.1874    |paral   |2020yCat.1350....0G
3089 |BD-15 2273                                                                                               |Star                           |08 08 49.9771540008 -16 18 25.791034104|236.4928263323378 +08.9151660278900|  -1.573 -2.064   |9.27     |K7                     |    ~     ~    |    1|  420.964   pc  |  -2.4101     +2.4101    |paral   |2020yCat.1350....0G
3090 |HD 67880                                                                                                 |Star                           |08 09 28.5348181992 -16 14 56.105782368|236.5250258948421 +09.0769185999814|  -8.342 -4.938   |5.650    |B3/5V                  |    ~     ~    |    1|  313.863   pc  |  -5.7825     +5.7825    |paral   |2020yCat.1350....0G
3091 |BD-15 2291                                                                                               |Star                           |08 10 06.1902151032 -16 18 53.823053916|236.6623636885423 +09.1699491869489| -6.192 -12.367   |9.45     |M0                     |    ~     ~    |    1|  736.594   pc  |  -7.1077     +7.1077    |paral   |2020yCat.1350....0G
3092 |HD 68066                                                                                                 |Star                           |08 10 11.9367483840 -16 13 12.384811560|236.5931020307671 +09.2395859131077|-20.317 -17.074   |8.98     |K2/3III                |    ~     ~    |    1|  492.538   pc  |  -4.0513     +4.0513    |paral   |2020yCat.1350....0G
3093 |HD 68314                                                                                                 |Star                           |08 11 12.3185782008 -16 16 24.646647504|236.7685584412895 +09.4162761366308|   -4.172 2.707   |10.28    |A2/5II/III             |    ~     ~    |    1| 1203.949   pc  | -32.3237    +32.3237    |paral   |2020yCat.1350....0G
3094 |HD 68315                                                                                                 |Star                           |08 11 16.2833086800 -16 18 45.472816620|236.8107019665051 +09.4089894429885|  -10.969 1.788   |9.19     |K0III                  |    ~     ~    |    1|  450.593   pc  |  -3.7764     +3.7764    |paral   |2020yCat.1350....0G
3095 |HD 68673                                                                                                 |Double or Multiple Star        |08 12 53.3840318352 -16 12 57.906085392|236.9369322531832 +09.7893584490651|  12.504 -2.305   |9.607    |F/G+A                  |0.0067  0.0    |    1|  222.926   pc  | -13.3980    +13.3980    |paral   |2020yCat.1350....0G
3096 |HD 68998                                                                                                 |Star                           |08 14 21.6672933072 -16 11 08.656894644|237.1020288550973 +10.1044068087934|   -8.815 0.520   |8.63     |ApSrEuCr               |    ~     ~    |    1|  389.681   pc  |  -5.4818     +5.4818    |paral   |2020yCat.1350....0G
3097 |BD-16 2287                                                                                               |Red Giant Branch star Candidate|08 06 13.6556797176 -16 48 23.879438892|236.5907305094560 +08.1215143925392|  10.362 39.078   |9.45     |K0                     |    ~     ~    |    1|  419.024   pc  |  -2.2299     +2.2299    |paral   |2020yCat.1350....0G
3098 |HD 67236                                                                                                 |Star                           |08 06 26.7269954736 -16 28 14.993845824|236.3293989185743 +08.3419495907899|  -3.824 -2.753   |10.16    |B5/7                   |    ~     ~    |    1|  960.707   pc  | -35.2570    +35.2570    |paral   |2020yCat.1350....0G
3099 |BD-16 2300                                                                                               |Spectroscopic Binary           |08 07 04.2502564104 -16 35 15.213607152|236.5093126881250 +08.4083489160877|   -2.610 2.526   |10.15    |F0                     |    ~     ~    |    1| 1688.619   pc  |-120.0453   +120.0453    |paral   |2020yCat.1350....0G
3100 |HD 68129                                                                                                 |Star                           |08 10 28.0840636632 -16 43 56.768623932|237.0679848307090 +09.0232305302221|   -4.098 0.031   |9.83     |B9.5V                  |    ~     ~    |    1|  803.536   pc  | -17.6913    +17.6913    |paral   |2020yCat.1350....0G
3101 |BD-16 2331                                                                                               |Spectroscopic Binary           |08 10 49.2524346960 -16 34 43.221557928|236.9812769038497 +09.1763752341613|  3.968 -15.755   |9.41     |K7                     |    ~     ~    |    1|  867.077   pc  | -18.6452    +18.6452    |paral   |2020yCat.1350....0G
3102 |HD 68291                                                                                                 |Star                           |08 11 07.7355911856 -16 35 46.866698592|237.0361086232554 +09.2295785660964|   -1.790 2.728   |9.06     |K1III                  |    ~     ~    |    1|  943.040   pc  | -14.5849    +14.5849    |paral   |2020yCat.1350....0G
3103 |HD 68532                                                                                                 |Star                           |08 12 14.6041815528 -16 25 56.630822556|237.0390866262588 +09.5429927631796|  -4.475 -1.101   |9.34     |F3III                  |    ~     ~    |    1|  345.137   pc  |  -1.8940     +1.8940    |paral   |2020yCat.1350....0G
3104 |HD 68753                                                                                                 |Star                           |08 13 16.3088295360 -16 37 05.087693496|237.3316076202519 +09.6527288761518|   -4.122 0.709   |9.33     |A2III                  |    ~     ~    |    1|  199.501   pc  |  -0.6448     +0.6448    |paral   |2020yCat.1350....0G
3105 |BD-14 2373                                                                                               |Star                           |08 06 54.4717301016 -15 18 07.836020280|235.3806556945371 +09.0480559690512|   -2.306 0.745   |10.279   |~                      |    ~     ~    |    1| 1867.170   pc  |-172.7000   +172.7000    |ST-L    |2020AJ....160...83S
3106 |BD-16 2299                                                                                               |Star                           |08 07 03.1438132032 -16 25 28.386291360|236.3666906257220 +08.4901359155710|  -0.548 -0.487   |10.37    |~                      |    ~     ~    |    1| 1814.553   pc  | -46.4257    +46.4257    |paral   |2020yCat.1350....0G
3107 |BD-16 2302                                                                                               |Star                           |08 07 08.3061937872 -16 41 09.219678324|236.6024985584802 +08.3704911846993|   -9.876 1.493   |10.13    |~                      |    ~     ~    |    1|  730.505   pc  | -24.6700    +24.6700    |ST-L    |2020AJ....160...83S
3108 |BD-14 2374                                                                                               |Star                           |08 07 09.6296053848 -15 07 43.639827924|235.2631354371241 +09.1905810927570|   -3.627 3.645   |10.25    |~                      |    ~     ~    |    1|  847.027   pc  | -15.9992    +15.9992    |paral   |2020yCat.1350....0G
3109 |BD-14 2377                                                                                               |Star                           |08 07 21.6920795976 -15 20 27.768473376|235.4721084167702 +09.1210032346387|   9.647 -3.965   |10.794   |~                      |    ~     ~    |    1|  999.370   pc  | -46.4800    +46.4800    |ST-L    |2020AJ....160...83S
3110 |BD-14 2378                                                                                               |Star                           |08 07 22.5795862536 -14 48 34.286227560|235.0147800603244 +09.4017125594162|   -6.121 7.594   |10.154   |~                      |    ~     ~    |    1| 1088.740   pc  | -67.7800    +67.7800    |ST-L    |2020AJ....160...83S
3111 |BD-15 2268                                                                                               |Star                           |08 08 04.0371302880 -16 07 37.208274924|236.2398795277614 +08.8536446566866|   -7.069 1.319   |10.35    |~                      |    ~     ~    |    1| 1109.632   pc  | -17.1148    +17.1148    |paral   |2020yCat.1350....0G
3112 |BD-14 2384                                                                                               |Star                           |08 08 16.3275822216 -15 00 23.653131192|235.2997376690886 +09.4832353589734|   -8.442 1.793   |10.07    |~                      |    ~     ~    |    1|  755.515   pc  | -10.5599    +10.5599    |paral   |2020yCat.1350....0G
3113 |BD-14 2386                                                                                               |Star                           |08 08 29.9542536240 -14 47 20.907927060|235.1409652998505 +09.6437759397702|   -2.888 1.296   |10.13    |~                      |    ~     ~    |    1|  619.080   pc  |  -8.1251     +8.1251    |paral   |2020yCat.1350....0G
3114 |BD-14 2388                                                                                               |Star                           |08 08 34.8065254802 -15 11 22.748608428|235.4973238743145 +09.4506622135179|-38.749 -21.249   |10.25    |~                      |    ~     ~    |    0|                |                         |        |                   
3115 |TYC 5425-1499-1                                                                                          |Star                           |08 08 55.0716081216 -14 41 35.797196076|235.1118355093556 +09.7801913772198|   -7.942 1.817   |10.385   |~                      |    ~     ~    |    1|  852.870   pc  | -31.4700    +31.4700    |ST-L    |2020AJ....160...83S
3116 |BD-16 2325                                                                                               |Star                           |08 09 54.2403537000 -16 26 11.676032736|236.7413663098355 +09.0651148483938|  -11.330 7.724   |10.57    |~                      |    ~     ~    |    1| 1567.152   pc  | -29.2260    +29.2260    |paral   |2020yCat.1350....0G
3117 |TYC 5438-652-1                                                                                           |Star                           |08 10 40.8025155408 -14 50 44.341152792|235.4704766100932 +10.0628215700306|   -5.802 5.479   |10.55    |~                      |    ~     ~    |    1| 1337.435   pc  | -25.2211    +25.2211    |paral   |2020yCat.1350....0G
3118 |BD-14 2399                                                                                               |Star                           |08 10 51.4687841064 -15 03 48.931098840|235.6815947010228 +09.9845806501437|  -3.532 -2.903   |10.21    |~                      |    ~     ~    |    1|  997.009   pc  | -13.3200    +13.3200    |paral   |2020yCat.1350....0G
3119 |BD-14 2400                                                                                               |Star                           |08 10 59.0434811328 -14 53 28.122525852|235.5490394178485 +10.1013322427428| -11.316 -4.178   |9.76     |~                      |    ~     ~    |    1|  528.011   pc  |  -3.6801     +3.6801    |paral   |2020yCat.1350....0G
3120 |BD-15 2298                                                                                               |Star                           |08 11 03.2851435080 -15 34 03.032957208|236.1415498876433 +09.7590869243194|    1.642 7.347   |10.78    |~                      |    ~     ~    |    1| 1120.699   pc  | -17.3323    +17.3323    |paral   |2020yCat.1350....0G
3121 |BD-14 2405                                                                                               |Star                           |08 11 33.7362658728 -15 21 58.926645036|236.0337872463391 +09.9691800378216|  -0.543 -1.144   |10.01    |~                      |    ~     ~    |    1|  712.352   pc  |  -6.3431     +6.3431    |paral   |2020yCat.1350....0G
3122 |BD-16 2340                                                                                               |Star                           |08 11 42.9970626072 -16 30 13.203422280|237.0322604202147 +09.3981333684058|  -9.904 11.741   |9.965    |~                      |    ~     ~    |    1|  587.275   pc  | -20.5900    +20.5900    |ST-L    |2020AJ....160...83S
3123 |BD-14 2407                                                                                               |Star                           |08 11 51.5404890912 -15 12 06.551516736|235.9303228953716 +10.1168886258616|   1.001 -4.917   |9.98     |~                      |    ~     ~    |    1|  559.942   pc  |  -4.5463     +4.5463    |paral   |2020yCat.1350....0G
3124 |BD-14 2409                                                                                               |Star                           |08 12 04.7052745320 -15 20 32.043094944|236.0797997061044 +10.0875556574642|   -4.664 0.827   |10.07    |~                      |    ~     ~    |    1| 1612.643   pc  | -34.3282    +34.3282    |paral   |2020yCat.1350....0G
3125 |TYC 5996-1752-1                                                                                          |Star                           |08 12 12.1500816432 -15 28 29.679939696|236.2102031767792 +10.0427025183965|   -1.716 3.985   |10.84    |~                      |    ~     ~    |    1| 1702.128   pc  | -66.9262    +66.9262    |paral   |2020yCat.1350....0G
3126 |BD-14 2412                                                                                               |Star                           |08 12 19.0412312520 -15 11 10.724690076|235.9763529122330 +10.2189468642266|   -4.080 4.553   |10.12    |~                      |    ~     ~    |    1|  516.609   pc  |  -4.2968     +4.2968    |paral   |2020yCat.1350....0G
3127 |BD-15 2313                                                                                               |Spectroscopic Binary           |08 12 19.5198115368 -15 47 11.082706476|236.4943287417866 +09.9026989258465| 21.118 -28.311   |9.87     |~                      |    ~     ~    |    1|  268.219   pc  |  -1.0000     +1.0000    |paral   |2020yCat.1350....0G
3128 |BD-14 2413                                                                                               |Star                           |08 12 24.1572032160 -14 58 05.226039588|235.7992049617489 +10.3518053406043|  -2.639 -6.907   |9.969    |~                      |    ~     ~    |    1|  747.398   pc  | -28.1300    +28.1300    |ST-L    |2020AJ....160...83S
3129 |BD-14 2415                                                                                               |Star                           |08 12 35.8616430024 -15 14 47.163292512|236.0645600685533 +10.2445040120373|  8.932 -12.400   |9.65     |~                      |    ~     ~    |    1|  514.907   pc  |  -3.8974     +3.8974    |paral   |2020yCat.1350....0G
3130 |BD-14 2425                                                                                               |Star                           |08 13 07.4284843392 -15 20 47.664169872|236.2191964289329 +10.2990155124183|  -13.522 5.826   |9.14     |~                      |    ~     ~    |    1|  696.816   pc  |  -9.2740     +9.2740    |paral   |2020yCat.1350....0G
3131 |TYC 5996-834-1                                                                                           |Star                           |08 13 13.3698453264 -15 17 30.249736152|236.1848190440935 +10.3483445244527|   -5.214 0.691   |10.72    |~                      |    ~     ~    |    1| 1873.010   pc  | -80.3370    +80.3370    |paral   |2020yCat.1350....0G
3132 |BD-14 2427                                                                                               |Star                           |08 13 28.8690840216 -15 17 10.884418872|236.2137884980406 +10.4040000719005|   -6.769 5.282   |10.55    |~                      |    ~     ~    |    1|  944.287   pc  | -13.0185    +13.0185    |paral   |2020yCat.1350....0G
