C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
22   |BD-01 1932                                                                                               |Star                           |08 03 13.3532843616 -01 38 28.380961464|222.8297630288583 +15.1325971279896|   -4.865 1.223   |9.69     |K2                     |    ~     ~    |    1|  910.913   pc  | -12.5294    +12.5294    |paral   |2020yCat.1350....0G
23   |BD-01 1918                                                                                               |Star                           |08 00 25.8498877032 -02 19 15.544519068|223.0993760393385 +14.1942089685900|  -8.870 -0.338   |9.97     |A0                     |    ~     ~    |    1|  563.285   pc  |  -8.7889     +8.7889    |paral   |2020yCat.1350....0G
24   |BD-01 1922                                                                                               |Star                           |08 01 28.7556013224 -02 15 52.717804308|223.1784738328577 +14.4509011966157|    0.160 0.710   |10.64    |F8                     |    ~     ~    |    1|  628.773   pc  | -12.4932    +12.4932    |paral   |2020yCat.1350....0G
25   |BD-01 1923                                                                                               |Star                           |08 01 30.4745219496 -02 22 56.817173064|223.2886340040692 +14.4004313617519|    0.776 7.261   |9.80     |K0                     |    ~     ~    |    1| 1022.286   pc  | -17.8707    +17.8707    |paral   |2020yCat.1350....0G
26   |HD 66121                                                                                                 |Star                           |08 02 03.6783928872 -02 16 57.438599628|223.2670867448052 +14.5696623676969|  -7.026 -6.370   |8.24     |K4III                  |    ~     ~    |    1|  630.636   pc  |  -9.0278     +9.0278    |paral   |2020yCat.1350....0G
27   |HD 66268                                                                                                 |Star                           |08 02 40.2691270416 -02 23 49.797544524|223.4467024251582 +14.6478709948707|  24.751 -7.279   |7.68     |F3V                    |    ~     ~    |    1|  114.666   pc  |  -2.5034     +2.5034    |paral   |2020yCat.1350....0G
28   |TYC 4846-106-1                                                                                           |Star                           |08 00 08.4625698288 -01 11 21.901104276|222.0378472818291 +14.6726053022101|   -2.811 0.372   |10.15    |~                      |    ~     ~    |    1| 1494.098   pc  | -64.7376    +64.7376    |paral   |2020yCat.1350....0G
29   |TYC 4846-1231-1                                                                                          |Star                           |08 01 20.0671045536 -00 40 29.673873876|221.7166997931165 +15.1799666961139| -7.014 -13.714   |9.98     |~                      |    ~     ~    |    1|  693.337   pc  |  -6.5858     +6.5858    |paral   |2020yCat.1350....0G
30   |BD+00 2166                                                                                               |High Proper Motion Star        |08 02 31.8660718200 -00 22 50.339009244|221.5957363772047 +15.5830503791015| -6.865 -64.117   |9.91     |~                      |    ~     ~    |    1|  101.121   pc  |  -0.1595     +0.1595    |paral   |2020yCat.1350....0G
31   |TYC 4846-1942-1                                                                                          |Star                           |08 03 02.0593576992 -01 39 06.701956272|222.8160339971556 +15.0862262297526|  -0.358 -5.661   |10.11    |~                      |    ~     ~    |    1|  826.925   pc  | -10.8041    +10.8041    |paral   |2020yCat.1350....0G
