C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 220427                                                                                                |Star                              |23 23 53.9277671736 -42 33 39.983527584|346.3329876942958 -66.4486970469173| 10.215 -46.691   |9.45     |F8V            |    ~     ~    |    1|  135.862   pc  |  -0.3396     +0.3396  |paral   |2020yCat.1350....0G
23  |CD-43 15363                                                                                              |Star                              |23 24 12.3439502616 -42 58 06.557918052|345.4148407744594 -66.2655036414022|  11.133 -6.738   |10.555   |F8             |    ~     ~    |    1|  377.018   pc  |  -8.4900     +8.4900  |ST-L    |2020AJ....160...83S
24  |CD-43 15364                                                                                              |High Proper Motion Star           |23 24 21.2899115928 -42 34 07.630929480|346.1994300078398 -66.5140369713517| 66.351 -22.608   |10.012   |~              |    ~     ~    |    1|  181.719   pc  |  -2.0400     +2.0400  |ST-L    |2020AJ....160...83S
25  |HD 220591                                                                                                |High Proper Motion Star           |23 25 15.8192841480 -43 12 46.142725464|344.6419279373370 -66.2824103655054| 122.934 -7.255   |9.70     |G2V            |    ~     ~    |    1|  131.561   pc  |  -1.1150     +1.1150  |ST-L    |2020AJ....160...83S
26  |HD 220233                                                                                                |High Proper Motion Star           |23 22 29.9427039408 -43 21 43.097570748|345.0565312249623 -65.7854175911938|110.963 -34.295   |9.765    |K1III          |    ~     ~    |    1|  134.448   pc  |  -1.4620     +1.4620  |ST-L    |2020AJ....160...83S
27  |HD 220380                                                                                                |Star                              |23 23 34.6200873096 -43 37 30.008006472|344.2575955886189 -65.7931897585407|-10.147 -10.156   |8.92     |K2III          |    ~     ~    |    1|  463.220   pc  |  -4.3558     +4.3558  |paral   |2020yCat.1350....0G
28  |HD 220428                                                                                                |Star                              |23 23 58.8480278064 -43 36 00.839455776|344.2023013595778 -65.8669666903339|  10.529 -2.398   |7.46     |K0/1III        |    ~     ~    |    1|  227.542   pc  |  -1.6206     +1.6206  |paral   |2020yCat.1350....0G
29  |HD 220000                                                                                                |High Proper Motion Star           |23 20 45.8668583712 -43 50 47.058583740|344.5312407244925 -65.2507230690861|122.918 -14.045   |9.71     |G3V            |    ~     ~    |    1|  130.234   pc  |  -0.2849     +0.2849  |paral   |2020yCat.1350....0G
30  |HD 220157                                                                                                |Star                              |23 21 51.2610926088 -44 12 13.399927776|343.5655413024161 -65.2025990052183|   36.967 1.332   |9.21     |F7/8V          |    ~     ~    |    1|  124.573   pc  |  -1.2490     +1.2490  |ST-L    |2020AJ....160...83S
31  |HD 220296                                                                                                |Star                              |23 22 59.4078281112 -44 08 58.144358544|343.3821738741280 -65.3989196211586|  13.544 -5.482   |8.94     |M2III          |    ~     ~    |    1|  834.446   pc  | -17.8253    +17.8253  |paral   |2020yCat.1350....0G
32  |HD 220327                                                                                                |Star                              |23 23 10.6147854600 -44 06 24.561926856|343.4168792810644 -65.4512180143441|  38.272 23.636   |9.46     |F6/7V          |    ~     ~    |    1|  115.716   pc  |  -0.8373     +0.8373  |ST-L    |2020AJ....160...83S
33  |HD 220592                                                                                                |Star                              |23 25 15.4550734200 -43 51 27.432059796|343.3603609582478 -65.9002742058897| -12.716 -5.694   |8.39     |K2III          |    ~     ~    |    1|  418.813   pc  |  -4.1220     +4.1220  |paral   |2020yCat.1350....0G
34  |CPD-45 10421                                                                                             |Star                              |23 24 59.3424053976 -44 18 57.757977684|342.5422533347629 -65.5848150262416| 20.265 -15.522   |10.67    |G0V            |    ~     ~    |    1|  247.054   pc  |  -1.1841     +1.1841  |paral   |2020yCat.1350....0G
35  |NGC 7632                           NGC 7632                                                              |Galaxy towards a Group of Galaxies|23 22 00.8943692808 -42 28 49.883598516|346.9766732327977 -66.2033658121915|            ~ ~   |     ~   |~              |1.113 0.868    |    1|   21.04    Mpc |                       |redshift|2007ApJ...655..790C
