C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
742 |TYC 6402-571-1                                                                                           |Star                              |23 25 04.1346167688 -22 02 30.373704960|042.7452008423355 -69.7469554584150|   27.753 4.273   |10.96    |~              |    ~     ~    |    1|  414.267   pc  |  -6.7446     +6.7446  |paral   |2020yCat.1350....0G
743 |HD 220828                                                                                                |Star                              |23 27 03.3704706696 -22 04 21.919882188|043.0965662894108 -70.1924836610862|  2.298 -32.891   |9.25     |F5V            |    ~     ~    |    1|  170.245   pc  |  -0.5101     +0.5101  |paral   |2020yCat.1350....0G
744 |HD 220851                                                                                                |Star                              |23 27 13.8250845432 -22 05 56.945503032|043.0616874339738 -70.2392454165701|-19.052 -22.012   |10.31    |F3/5V          |    ~     ~    |    1|  285.559   pc  |  -1.5493     +1.5493  |paral   |2020yCat.1350....0G
745 |HD 221106                                                                                                |Star                              |23 29 13.0983208584 -22 08 51.012478032|043.3742047370235 -70.6902116190659|  23.532 -2.151   |8.06     |F2/3V          |    ~     ~    |    1|   91.2342  pc  |  -0.4619     +0.4619  |paral   |2018yCat.1345....0G
746 |HD 221135                                                                                                |High Proper Motion Star           |23 29 32.0397018600 -22 10 45.334240500|043.3556318716345 -70.7696670735171|-39.183 -120.162  |9.24     |G3/5V          |    ~     ~    |    1|   82.133   pc  |  -0.1127     +0.1127  |paral   |2020yCat.1350....0G
747 |HD 220937                                                                                                |Star                              |23 27 55.0458123528 -19 42 48.635967960|049.6629822071561 -69.4908731502127| 14.951 -17.982   |9.01     |K0III          |    ~     ~    |    1|  407.681   pc  |  -2.7257     +2.7257  |paral   |2020yCat.1350....0G
748 |HD 220913                                                                                                |Star                              |23 27 43.4369750016 -19 53 15.180043056|049.1573329165208 -69.5228629789216|    0.456 0.316   |9.879    |G3V            |    ~     ~    |    1|  153.187   pc  |  -1.8640     +1.8640  |ST-L    |2020AJ....160...83S
749 |HD 220970                                                                                                |Star                              |23 28 14.8997201664 -20 09 50.467762548|048.5797455770405 -69.7491587509475|  4.044 -21.364   |10.460   |F5/7(V)        |    ~     ~    |    1|  302.151   pc  | -17.7113    +17.7113  |paral   |2020yCat.1350....0G
750 |HD 220991                                                                                                |Star                              |23 28 27.4299627984 -20 09 12.018149568|048.6658415498055 -69.7895293786130|  5.953 -17.374   |9.29     |K1/2III        |    ~     ~    |    1|  401.881   pc  |  -3.8600     +3.8600  |paral   |2020yCat.1350....0G
751 |HD 221049                                                                                                |Star                              |23 28 50.9205751320 -20 09 58.847921172|048.7405132114995 -69.8786847682597|   9.567 -3.179   |10.119   |F0V            |    ~     ~    |    1|  239.261   pc  |  -3.3620     +3.3620  |ST-L    |2020AJ....160...83S
752 |HD 220765                                                                                                |Star                              |23 26 31.2583499928 -21 11 23.879046012|045.3927590198639 -69.7716535339279|  23.975 13.930   |8.27     |K0III          |    ~     ~    |    1|  486.950   pc  |  -6.7816     +6.7816  |paral   |2020yCat.1350....0G
753 |HD 220850                                                                                                |Star                              |23 27 11.5570506792 -20 45 08.585965944|046.7356469056050 -69.7543633348583| 34.192 -12.905   |9.20     |G1V            |    ~     ~    |    1|  133.693   pc  |  -0.2896     +0.2896  |paral   |2020yCat.1350....0G
754 |HD 221003                                                                                                |High Proper Motion Star           |23 28 29.6233647096 -20 28 13.352172492|047.8331902975634 -69.9250778948322|64.330 -100.790   |9.27     |G3V            |    ~     ~    |    1|  104.283   pc  |  -0.2273     +0.2273  |paral   |2020yCat.1350....0G
755 |HD 220726                                                                                                |Star                              |23 26 15.9 -21 24 59                   |044.7191 -69.7969                  |            ~ ~   |9.1      |G3/5V+G/K      |    ~     ~    |    0|                |                       |        |                   
756 |HD 220827                                                                                                |Star                              |23 27 02.9923278768 -21 13 11.994528000|045.4411275123965 -69.8974309211789|    5.255 0.784   |9.47     |K0/1III        |    ~     ~    |    1|  719.476   pc  |  -9.4729     +9.4729  |paral   |2020yCat.1350....0G
757 |HD 221028                                                                                                |Star                              |23 28 40.5222506208 -21 28 05.625136416|045.1593584433469 -70.3398119892054|    2.398 0.645   |8.92     |G8/K0IV        |    ~     ~    |    1|  445.534   pc  |  -4.5258     +4.5258  |paral   |2020yCat.1350....0G
758 |HD 220766                                                                                                |High Proper Motion Star           |23 26 35.4733456584 -21 44 27.012273792|043.9101170948062 -69.9803030807515|  55.866 -2.185   |6.44     |K0III          |    ~     ~    |    1|  139.237   pc  |  -0.4672     +0.4672  |paral   |2020yCat.1350....0G
759 |BD-22 6134                                                                                               |High Proper Motion Star           |23 28 17.3990378736 -21 57 31.249234476|043.6961329783095 -70.4248058949260|  49.399 25.753   |10.74    |~              |    ~     ~    |    1|  194.028   pc  |  -0.8546     +0.8546  |paral   |2020yCat.1350....0G
760 |HD 221105                                                                                                |Star                              |23 29 12.7932607776 -19 32 54.101789340|050.4666746569668 -69.6954281409852|-24.259 -26.578   |10.212   |G0/2V          |    ~     ~    |    1|  292.242   pc  |  -7.1840     +7.1840  |ST-L    |2020AJ....160...83S
761 |HD 221116                                                                                                |High Proper Motion Star           |23 29 20.6857208904 -20 20 32.864975772|048.4090263138915 -70.0566205088604|-61.776 -57.893   |9.97     |G2/3V          |    ~     ~    |    1|  150.780   pc  |  -0.4615     +0.4615  |paral   |2020yCat.1350....0G
762 |HD 221173                                                                                                |Star                              |23 29 46.7557400856 -20 18 05.334591276|048.6403549352968 -70.1331234308578|   12.755 3.213   |8.91     |K3III          |    ~     ~    |    1|  630.199   pc  | -12.1925    +12.1925  |paral   |2020yCat.1350....0G
763 |HD 221174                                                                                                |Star                              |23 29 48.6377211120 -20 18 55.152681012|048.6119433006814 -70.1454690546192|  13.691 10.946   |10.545   |G0             |    ~     ~    |    1|  228.966   pc  |  -3.3960     +3.3960  |ST-L    |2020AJ....160...83S
764 |HD 221183                                                                                                |Double or Multiple Star           |23 29 54.1959167 -20 34 32.720301      |047.9331457868 -70.2698392492      |     -1.67 0.83   |8.27     |F7V            |0.0033  0.0    |    0|                |                       |        |                   
765 |HIP 115983                                                                                               |Star                              |23 29 54.6722118816 -20 34 13.558537920|047.9498027112907 -70.2694365806864|   -0.206 2.515   |10.57    |~              |    ~     ~    |    1|  177.041   pc  |  -3.0779     +3.0779  |paral   |2020yCat.1350....0G
766 |BD-21 6425                                                                                               |Star                              |23 29 33.1976928216 -20 14 17.941198884|048.7462850825425 -70.0589780626621| 24.703 -27.061   |10.547   |~              |    ~     ~    |    1|  897.541   pc  | -41.3700    +41.3700  |ST-L    |2020AJ....160...83S
767 |HD 220777                                                                                                |Double or Multiple Star           |23 26 35.416 -19 47 33.19              |049.086290 -69.240953              |  -11.80 -18.30   |9.942    |G3V            |    ~     ~    |    1|  209.680   pc  |  -6.1310     +6.1310  |ST-L    |2020AJ....160...83S
768 |HD 220048                                                                                                |Star                              |23 20 47.6353521432 -19 14 10.665862872|048.8970855343821 -67.7678183782065|  6.004 -14.122   |9.11     |K2III          |    ~     ~    |    1|  652.061   pc  | -35.0351    +35.0351  |paral   |2020yCat.1350....0G
769 |HD 220544                                                                                                |Star                              |23 24 34.8848741448 -19 19 26.959171080|049.7084883043979 -68.6138086626065|    8.500 2.003   |10.014   |G6III/IV       |    ~     ~    |    1|  709.954   pc  | -23.5200    +23.5200  |ST-L    |2020AJ....160...83S
770 |V* OV Aqr                                                                                                |Eclipsing Binary                  |23 26 08.6150362344 -19 22 23.601259236|050.0250807304887 -68.9674620639311|   16.420 9.590   |8.680    |F2V            |    ~     ~    |    1|  249.557   pc  |  -1.3203     +1.3203  |paral   |2020yCat.1350....0G
771 |BD-20 6586                                                                                               |Star                              |23 22 50.5240517472 -19 21 45.772797888|049.1373393687574 -68.2591772947284|   20.760 2.633   |10.899   |~              |    ~     ~    |    1|  329.334   pc  |  -6.5210     +6.5210  |ST-L    |2020AJ....160...83S
772 |BD-20 6574                                                                                               |Star                              |23 18 53.9273442432 -19 14 45.161919492|048.3817527085294 -67.3659283086204|    0.276 0.347   |10.388   |~              |    ~     ~    |    1|  848.983   pc  | -37.4000    +37.4000  |ST-L    |2020AJ....160...83S
773 |HD 219365                                                                                                |Star                              |23 15 17.2175705280 -16 40 40.832780160|053.1234348254923 -65.4332484464989|   46.304 6.267   |9.84     |F5/6V          |    ~     ~    |    1|  222.396   pc  |  -2.7970     +2.7970  |ST-L    |2020AJ....160...83S
774 |HD 219405                                                                                                |Star                              |23 15 40.0228222944 -16 52 33.841996608|052.8129771110783 -65.6091911647780|    9.185 8.290   |9.71     |F5V            |    ~     ~    |    1|  301.697   pc  |  -6.5330     +6.5330  |ST-L    |2020AJ....160...83S
775 |HD 219568                                                                                                |Star                              |23 16 50.6122372224 -17 16 58.910203164|052.2710990165133 -66.0512813663284|  22.922 -6.507   |8.41     |K0/1III        |    ~     ~    |    1|  536.942   pc  |  -6.9194     +6.9194  |paral   |2020yCat.1350....0G
776 |HD 219604                                                                                                |High Proper Motion Star           |23 17 09.0999706992 -18 09 56.972873880|050.4092339558859 -66.5247905897007| 64.868 -33.069   |7.34     |K0III          |    ~     ~    |    1|  150.013   pc  |  -0.5828     +0.5828  |paral   |2020yCat.1350....0G
777 |HD 219618                                                                                                |Star                              |23 17 12.9378680928 -18 46 16.731926364|049.0529409942411 -66.8044983431529|  -2.236 -7.985   |9.55     |K2(III)        |    ~     ~    |    1|  772.798   pc  | -10.1527    +10.1527  |paral   |2020yCat.1350....0G
778 |HD 219578                                                                                                |Variable Star                     |23 16 58.5879045696 -18 52 23.504221632|048.7577186551713 -66.7969041379077| -20.609 -3.152   |6.92     |K2III          |    ~     ~    |    1|  239.017   pc  |  -1.4911     +1.4911  |paral   |2020yCat.1350....0G
779 |BD-18 6275                                                                                               |Star                              |23 15 59.9020882224 -18 00 49.124873484|050.4404835584983 -66.2115529936421|     32.5 -19.3   |10.136   |~              |    ~     ~    |    1|  220.281   pc  | +34.285      +9       |ST-L    |2017AJ....153...75K
780 |BD-18 6278                                                                                               |High Proper Motion Star           |23 16 47.3843580288 -17 55 31.849787100|050.8478216191787 -66.3393197096811|  83.237 15.435   |10.39    |~              |    ~     ~    |    1|  189.538   pc  |  -0.7149     +0.7149  |paral   |2020yCat.1350....0G
781 |BD-17 6718                                                                                               |Star                              |23 17 06.1987978416 -17 12 13.191238224|052.5159345431409 -66.0678805681769|-20.762 -31.907   |10.90    |~              |    ~     ~    |    1|  361.664   pc  |  -2.6029     +2.6029  |paral   |2020yCat.1350....0G
782 |HD 219757                                                                                                |Star                              |23 18 25.2835334712 -16 58 14.482620336|053.3973628668694 -66.2305474825371|  -0.211 -3.738   |9.900    |K5             |    ~     ~    |    1|  916.270   pc  | -45.5100    +45.5100  |ST-L    |2020AJ....160...83S
783 |HD 219772                                                                                                |Star                              |23 18 28.3877739792 -16 54 19.175666544|053.5536464626307 -66.2092360648415|  21.733 -6.105   |10.36    |F8             |    ~     ~    |    1|  313.882   pc  |  -6.0440     +6.0440  |ST-L    |2020AJ....160...83S
784 |HD 219931                                                                                                |High Proper Motion Star           |23 19 50.7317418408 -16 42 54.819271800|054.3702690701283 -66.3997874270931| 52.697 -40.048   |10.023   |F8V            |    ~     ~    |    1|  159.538   pc  |  -1.6720     +1.6720  |ST-L    |2020AJ....160...83S
785 |HD 219939                                                                                                |Star                              |23 19 56.4476795352 -16 38 10.407386904|054.5693975280677 -66.3797517779732|  9.922 -11.792   |9.88     |K2(III)        |    ~     ~    |    1|  633.553   pc  |  -9.5932     +9.5932  |paral   |2020yCat.1350....0G
786 |HD 220143                                                                                                |Star                              |23 21 28.6119304920 -16 41 18.747532572|054.9239231580999 -66.7235273645469|    3.502 9.647   |8.21     |F3/5IV/V       |    ~     ~    |    1|  199.976   pc  |  -5.2028     +5.2028  |paral   |2020yCat.1350....0G
787 |HD 220144                                                                                                |Star                              |23 21 31.4432704752 -16 52 32.602101708|054.5286724619465 -66.8277983131288|   19.330 1.859   |9.05     |A1/2III        |    ~     ~    |    1|  273.755   pc  |  -1.8810     +1.8810  |paral   |2020yCat.1350....0G
788 |HD 220244                                                                                                |Star                              |23 22 18.4693450512 -17 05 30.718479048|054.2898655864242 -67.0981730740774|   8.281 -4.479   |9.824    |G8/K0(III)     |    ~     ~    |    1|  643.623   pc  | -20.0900    +20.0900  |ST-L    |2020AJ....160...83S
789 |HD 220306                                                                                                |High Proper Motion Star           |23 22 49.9980415320 -17 10 43.556038680|054.2565410969266 -67.2503053449644|132.310 -44.413   |9.87     |G5V            |    ~     ~    |    1|   96.154   pc  |  -0.5863     +0.5863  |ST-L    |2020AJ....160...83S
790 |HD 220503                                                                                                |Star                              |23 24 17.9112360336 -17 02 38.320222776|055.0157997913483 -67.4856135398339|  15.363 -5.434   |10.14    |G6V            |    ~     ~    |    1|  138.084   pc  |  -2.0140     +2.0140  |ST-L    |2020AJ....160...83S
791 |HD 219995                                                                                                |Star                              |23 20 26.2389821664 -17 13 00.182870364|053.4501406386582 -66.7710457494770|-26.580 -11.073   |10.83    |A              |    ~     ~    |    1|  592.869   pc  | -23.3800    +23.3800  |ST-L    |2020AJ....160...83S
792 |HD 220047                                                                                                |Star                              |23 20 50.3939168376 -17 30 59.105410488|052.9007119348143 -67.0002348664945|  34.129 -1.952   |10.30    |K0             |    ~     ~    |    1|  445.094   pc  | -13.6300    +13.6300  |ST-L    |2020AJ....160...83S
793 |HD 220064                                                                                                |Star                              |23 20 56.8055226936 -17 35 08.893744692|052.7759556124684 -67.0558446746716|  -6.941 -1.813   |9.25     |K1III          |    ~     ~    |    1|  408.180   pc  |  -3.6321     +3.6321  |paral   |2020yCat.1350....0G
794 |HD 220439                                                                                                |High Proper Motion Star           |23 23 48.3190656984 -17 30 39.585446856|053.8015772616360 -67.6159518082878| 62.443 -65.452   |10.19    |G3/5V          |    ~     ~    |    1|  148.054   pc  |  -5.7803     +5.7803  |paral   |2020yCat.1350....0G
795 |HD 220477                                                                                                |Star                              |23 24 05.0775969696 -17 42 02.001472452|053.4507500114301 -67.7663771685031|-14.022 -28.701   |8.72     |K1III          |    ~     ~    |    1|  441.053   pc  | -12.5665    +12.5665  |paral   |2020yCat.1350....0G
796 |HD 220533                                                                                                |Star                              |23 24 32.3903329200 -17 37 44.226126840|053.7558241063146 -67.8263323885793| -31.627 -5.394   |8.64     |G8IV           |    ~     ~    |    1|  268.420   pc  |  -1.4122     +1.4122  |paral   |2020yCat.1350....0G
797 |HD 220605                                                                                                |Star                              |23 25 05.3131422264 -17 37 37.873695900|053.9296834953848 -67.9395158199034|   16.488 1.931   |8.52     |K3III          |    ~     ~    |    1|  622.084   pc  |  -9.1329     +9.1329  |paral   |2020yCat.1350....0G
798 |HD 220124                                                                                                |Rotating Variable                 |23 21 22.3085073888 -17 30 58.470331716|053.0575785591382 -67.1113277272296|  26.101 -4.103   |9.31     |F7V            |    ~     ~    |    1|  109.569   pc  |  -0.4694     +0.4694  |paral   |2018yCat.1345....0G
799 |V* RU Aqr                                                                                                |Long-Period Variable              |23 24 24.3076594008 -17 19 08.712059880|054.4256989007764 -67.6456775612179|   13.147 5.031   |9.28     |M4/5III        |    ~     ~    |    1|  402.042   pc  |  -7.1767     +7.1767  |paral   |2020yCat.1350....0G
800 |HD 219879                                                                                                |Star                              |23 19 24.1065502560 -18 04 31.345778100|051.2276497213791 -66.9602035726035|   1.609 10.199   |5.940    |K2/3III        |    ~     ~    |    1|  363.148   pc  |  -9.2050     +9.2050  |paral   |2020yCat.1350....0G
801 |HD 220453                                                                                                |Star                              |23 23 52.2933756864 -17 47 22.056727740|053.1802676077347 -67.7648284715274|  -15.871 0.199   |7.50     |F5V            |    ~     ~    |    1|   60.023   pc  |  -0.1117     +0.1117  |paral   |2020yCat.1350....0G
802 |HD 220611                                                                                                |Star                              |23 25 12.0977638104 -18 05 44.091114864|052.8659834524264 -68.1889714151899|   22.043 1.705   |8.56     |A7III          |    ~     ~    |    1|  200.916   pc  |  -1.1505     +1.1505  |paral   |2020yCat.1350....0G
803 |HD 219660                                                                                                |High Proper Motion Star           |23 17 42.2579195016 -18 45 10.909726668|049.2216065014591 -66.9010341412864| 30.914 -59.162   |9.668    |F5V            |    ~     ~    |    1|  158.812   pc  |  -1.8160     +1.8160  |ST-L    |2020AJ....160...83S
804 |HD 219758                                                                                                |Variable Star                     |23 18 29.6513583312 -18 50 29.676078996|049.2232832321413 -67.1078835581986|   14.729 7.261   |6.75     |M1III          |    ~     ~    |    1|  370.631   pc  |  -7.0607     +7.0607  |paral   |2020yCat.1350....0G
805 |HD 219773                                                                                                |Star                              |23 18 32.5992088368 -18 23 27.281835564|050.2738283726457 -66.9209439899338|   -6.239 0.161   |9.20     |F6V            |    ~     ~    |    1|  275.467   pc  |  -2.0488     +2.0488  |paral   |2020yCat.1350....0G
806 |HD 219835                                                                                                |Star                              |23 19 02.9105296728 -18 12 36.316016604|050.8236529449700 -66.9468514120698|  10.510 -2.922   |10.147   |A9V            |    ~     ~    |    1|  602.120   pc  | -26.6900    +26.6900  |ST-L    |2020AJ....160...83S
807 |HD 219849                                                                                                |Star                              |23 19 10.3170671592 -18 41 44.385882576|049.7410251790678 -67.1891442314980|  21.359 -9.824   |9.686    |G1V            |    ~     ~    |    1|  114.098   pc  |  -0.8930     +0.8930  |paral   |2018yCat.1345....0G
808 |HD 219881                                                                                                |Star                              |23 19 27.7908916680 -18 33 14.361867216|050.1474815921650 -67.1887929892065|  38.556 25.873   |8.33     |F2V            |    ~     ~    |    1|  176.013   pc  |  -0.9015     +0.9015  |paral   |2020yCat.1350....0G
809 |HD 219880                                                                                                |Star                              |23 19 28.4464189776 -18 27 13.268173752|050.3820268585531 -67.1465507449651| 15.400 -19.444   |9.759    |F(2/3)V        |    ~     ~    |    1|  213.868   pc  |  -3.4770     +3.4770  |ST-L    |2020AJ....160...83S
810 |HD 220066                                                                                                |High Proper Motion Star           |23 20 56.8288312680 -18 59 18.867001164|049.5289330370694 -67.6947047863727|  132.756 6.491   |7.74     |G3V            |    ~     ~    |    1|   67.115   pc  |  -0.1099     +0.1099  |paral   |2020yCat.1350....0G
811 |HD 220424                                                                                                |Star                              |23 23 44.5403843184 -19 06 34.711465392|050.0022802460340 -68.3424496567823|  -6.575 -9.403   |7.91     |K0III          |    ~     ~    |    1|  280.670   pc  |  -2.2451     +2.2451  |paral   |2020yCat.1350....0G
812 |HD 220465                                                                                                |High Proper Motion Star           |23 24 07.8528393792 -18 41 16.789919028|051.1342537308993 -68.2380138831462| 159.359 53.268   |6.186    |K0III          |    ~     ~    |    1|  116.779   pc  |  -0.9110     +0.9110  |paral   |2020yCat.1350....0G
813 |NGC 7656                           NGC 7656                                                              |Galaxy                            |23 24 31.4145311400 -19 03 32.713292592|050.3451615195925 -68.4863652943829|            ~ ~   |     ~   |~              |0.853 0.427    |    0|                |                       |        |                   
814 |BD-17 6749                                                                                               |Star                              |23 25 44.8341941352 -16 54 30.942543168|055.7853252109959 -67.7143731944726|  8.062 -17.542   |10.494   |~              |    ~     ~    |    1|  210.345   pc  |  -3.1750     +3.1750  |ST-L    |2020AJ....160...83S
815 |BD-17 6725                                                                                               |Star                              |23 19 19.4948029896 -17 02 25.629218232|053.5096902456489 -66.4530174455260|     -8.7 -18.3   |10.510   |~              |    ~     ~    |    1|  240.257   pc  | +49.088     +45       |ST-L    |2017AJ....153...75K
816 |BD-18 6284                                                                                               |Star                              |23 19 29.6048645208 -17 36 10.283110992|052.3174512496463 -66.7593594352980|-18.239 -35.334   |10.581   |~              |    ~     ~    |    1|  376.810   pc  | -11.4200    +11.4200  |ST-L    |2020AJ....160...83S
817 |BD-19 6440                                                                                               |Star                              |23 19 48.7067950440 -18 21 04.795068528|050.7102254915335 -67.1722936476332|  -0.753 -1.909   |10.672   |~              |    ~     ~    |    1|  287.613   pc  |  -5.2720     +5.2720  |ST-L    |2020AJ....160...83S
818 |BD-17 6729                                                                                               |Star                              |23 19 50.7493719048 -16 51 32.685893100|054.0586692020917 -66.4717292038973| -8.355 -12.156   |10.723   |~              |    ~     ~    |    1| 1036.310   pc  | -38.5800    +38.5800  |ST-L    |2020AJ....160...83S
819 |BD-17 6731                                                                                               |High Proper Motion Star           |23 20 16.6703621112 -16 54 01.994964660|054.0974480809443 -66.5820150440955| 83.776 -14.307   |10.37    |~              |    ~     ~    |    1|  195.200   pc  |  -2.2600     +2.2600  |ST-L    |2020AJ....160...83S
820 |BD-17 6735                                                                                               |Star                              |23 21 42.5315551992 -16 40 32.360396196|055.0235491938887 -66.7648230337901|   30.466 2.272   |10.047   |~              |    ~     ~    |    1|  715.073   pc  | -34.0300    +34.0300  |ST-L    |2020AJ....160...83S
821 |BD-18 6292                                                                                               |Star                              |23 21 55.9096698840 -17 26 26.712328992|053.3941211363685 -67.1916704848733| -14.973 -7.598   |10.096   |~              |    ~     ~    |    1|  683.488   pc  | -28.0100    +28.0100  |ST-L    |2020AJ....160...83S
822 |BD-17 6738                                                                                               |Star                              |23 22 16.9066951056 -17 10 48.609317064|054.0848094740533 -67.1366242623288|-20.137 -35.886   |10.327   |~              |    ~     ~    |    1|  317.271   pc  |  -6.9270     +6.9270  |ST-L    |2020AJ....160...83S
823 |BD-19 6447                                                                                               |Star                              |23 22 39.0789058488 -18 55 21.712650852|050.1516587587165 -68.0288187900029|  -5.573 -5.942   |10.991   |~              |    ~     ~    |    1|  371.259   pc  | -10.9300    +10.9300  |ST-L    |2020AJ....160...83S
824 |BD-18 6301                                                                                               |High Proper Motion Star           |23 24 52.0562101440 -17 37 37.224414948|053.8615635577704 -67.8935211381306|-22.971 -117.115  |10.49    |G8V(e)         |    ~     ~    |    1|   82.402   pc  |  -0.4759     +0.4759  |ST-L    |2020AJ....160...83S
825 |BD-18 6302                                                                                               |Star                              |23 24 56.3103954288 -18 07 26.695749396|052.7188460941602 -68.1474107651091|  8.314 -10.226   |10.377   |~              |    ~     ~    |    1|  720.415   pc  | -31.0200    +31.0200  |ST-L    |2020AJ....160...83S
826 |BD-19 6452                                                                                               |Star                              |23 25 03.0414957600 -18 48 06.408231336|051.1247230064757 -68.4836797838746|  22.529 17.145   |10.062   |~              |    ~     ~    |    1|  414.107   pc  | -10.9100    +10.9100  |ST-L    |2020AJ....160...83S
827 |BD-17 6748                                                                                               |Star                              |23 25 07.6867785984 -16 53 57.707725812|055.6059404173653 -67.5826035822551| 18.950 -10.679   |10.263   |~              |    ~     ~    |    1|  740.818   pc  | -27.6800    +27.6800  |ST-L    |2020AJ....160...83S
828 |BD-18 6307                                                                                               |High Proper Motion Star           |23 26 03.7158289656 -18 07 09.861764088|053.0720853761660 -68.3801300872673|-58.605 -43.823   |10.49    |~              |    ~     ~    |    1|  109.876   pc  |  -0.8226     +0.8226  |ST-L    |2020AJ....160...83S
829 |BD-17 6740                                                                                               |Star                              |23 22 35.5241360832 -17 02 39.331168908|054.4831515432174 -67.1332686266163|   -0.120 0.207   |10.907   |~              |    ~     ~    |    1|  415.946   pc  | -12.2500    +12.2500  |ST-L    |2020AJ....160...83S
830 |BD-19 6443                                                                                               |High Proper Motion Star           |23 20 53.8661982600 -18 23 40.625735100|050.9112367857278 -67.4217783587071| 111.275 -1.704   |10.359   |~              |    ~     ~    |    1|  211.996   pc  |  -2.9730     +2.9730  |ST-L    |2020AJ....160...83S
831 |BD-18 6285                                                                                               |High Proper Motion Star           |23 20 20.1668022456 -17 43 59.994833844|052.2662812431019 -66.9979292790544|-16.787 -61.649   |10.611   |~              |    ~     ~    |    1|  228.187   pc  |  -4.5850     +4.5850  |ST-L    |2020AJ....160...83S
832 |BD-18 6286                                                                                               |Star                              |23 20 24.1825621848 -17 42 26.378307612|052.3442063361242 -66.9996945502709|  12.596 -3.985   |10.722   |~              |    ~     ~    |    1|  950.689   pc  | -61.1900    +61.1900  |ST-L    |2020AJ....160...83S
833 |HD 219490A                                                                                               |High Proper Motion Star           |23 16 14.1962982072 -17 44 18.643605648|051.1107021241645 -66.1366403305623| 39.291 -47.414   |9.509    |~              |    ~     ~    |    1|  220.822   pc  |  -0.1603     +0.1603  |ST-L    |2020AJ....160...83S
834 |GEN# +7.87730004                                                                                         |Star                              |23 23 32.0 -17 31 30                   |053.6864 -67.5662                  |            ~ ~   |10.98    |~              |    ~     ~    |    0|                |                       |        |                   
835 |GEN# +7.87730014                                                                                         |Star                              |23 25 25.0 -17 16 36                   |054.8413 -67.8336                  |            ~ ~   |10.55    |~              |    ~     ~    |    0|                |                       |        |                   
836 |TYC 6396-269-1                                                                                           |Star                              |23 23 42.4209834144 -17 20 00.091403916|054.1764733729009 -67.5081102567947|   9.867 -9.073   |10.526   |~              |    ~     ~    |    1|  804.785   pc  | -32.7200    +32.7200  |ST-L    |2020AJ....160...83S
837 |TYC 6396-382-1                                                                                           |Star                              |23 23 28.1523631656 -17 28 45.905477520|053.7709354034260 -67.5306108628943|   6.988 -8.701   |10.96    |~              |    ~     ~    |    1|  407.332   pc  |  -2.0740     +2.0740  |paral   |2020yCat.1350....0G
838 |TYC 6396-441-1                                                                                           |Star                              |23 24 13.5670315752 -16 52 20.226501552|055.3781201297539 -67.3834022680056| 10.319 -21.011   |10.67    |~              |    ~     ~    |    1|  405.088   pc  |  -3.2655     +3.2655  |paral   |2020yCat.1350....0G
839 |TYC 6398-132-1                                                                                           |High Proper Motion Star           |23 16 55.5175058088 -18 36 23.921838648|049.3537856645538 -66.6713562798315| -53.147 -0.315   |10.75    |~              |    ~     ~    |    1|   80.162   pc  |  -0.0964     +0.0964  |paral   |2020yCat.1350....0G
840 |TYC 6398-746-1                                                                                           |High Proper Motion Star           |23 15 34.0141775352 -18 59 29.992165728|048.1313249707963 -66.5446942138255| -6.393 -55.329   |10.78    |~              |    ~     ~    |    1|  112.877   pc  |  -0.7606     +0.7606  |ST-L    |2020AJ....160...83S
841 |TYC 6399-188-1                                                                                           |Star                              |23 18 18.2360784024 -18 45 42.703572924|049.3579852766980 -67.0328663114809| 20.020 -13.355   |10.549   |~              |    ~     ~    |    1|  548.739   pc  | -21.7200    +21.7200  |ST-L    |2020AJ....160...83S
842 |TYC 6399-1093-1                                                                                          |Star                              |23 24 22.9514002056 -17 56 05.087970744|052.9964720590572 -67.9411523990708| 12.019 -13.305   |10.889   |~              |    ~     ~    |    1|  966.694   pc  | -38.1400    +38.1400  |ST-L    |2020AJ....160...83S
843 |GEN# -0.01806293                                                                                         |Star                              |23 23 41.0 -17 19 48                   |054.1768 -67.5015                  |            ~ ~   |10.530   |~              |    ~     ~    |    0|                |                       |        |                   
844 |TYC 6396-206-1                                                                                           |High Proper Motion Star           |23 23 54.0495069840 -17 20 54.986236764|054.2016998433839 -67.5558452594823|  59.029 23.873   |10.93    |~              |    ~     ~    |    1|  279.096   pc  |  -4.1206     +4.1206  |paral   |2020yCat.1350....0G
845 |HD 220191                                                                                                |Double or Multiple Star           |23 21 53.6717685595 -16 42 15.063732862|055.0186202344310 -66.8176150265261|   66.716 0.350   |9.826    |G2/3V          |    ~     ~    |    1|  155.850   pc  |  -8.4900     +8.4900  |ST-L    |2020AJ....160...83S
846 |HD 220936                                                                                                |High Proper Motion Star           |23 27 53.5846837440 -19 23 10.150293120|050.4963059269563 -69.3446721184628|  7.716 -55.615   |9.886    |G2/3IV         |    ~     ~    |    1|  342.802   pc  | -16.3000    +16.3000  |ST-L    |2020AJ....160...83S
