C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:39

dec< 0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2351

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
287 |CD-33 585                                                                                                |Star                                  |01 38 34.1728473456 -32 32 18.055533768|243.6733461823681 -78.4457667541730|    5.159 7.206   |10.183   |~              |    ~     ~    |    1|  845.323   pc  | -37.6800    +37.6800  |ST-L    |2020AJ....160...83S
288 |CD-32 636                                                                                                |Star                                  |01 38 35.2969676640 -31 34 56.354262060|239.1900929171143 -78.8106793382279|   10.861 6.394   |10.738   |~              |    ~     ~    |    1|  274.561   pc  |  -4.0010     +4.0010  |ST-L    |2020AJ....160...83S
289 |CD-34 644                                                                                                |High Proper Motion Star               |01 38 48.2461399392 -33 42 35.993882340|248.6388072251842 -77.8647194029750|  54.842 41.609   |10.162   |~              |    ~     ~    |    1|  295.848   pc  |  -4.1840     +4.1840  |ST-L    |2020AJ....160...83S
290 |CD-33 587                                                                                                |Spectroscopic Binary                  |01 39 04.3730828736 -32 45 08.253634500|244.4089918841287 -78.2588402560643| 38.812 -19.246   |10.42    |~              |    ~     ~    |    1|  213.593   pc  |  -1.0995     +1.0995  |paral   |2020yCat.1350....0G
291 |CD-33 590                                                                                                |Star                                  |01 39 18.6596317920 -32 46 09.403932324|244.3785893699684 -78.2063430007518|  -14.277 6.462   |10.171   |~              |    ~     ~    |    1|  167.515   pc  |  -1.4910     +1.4910  |ST-L    |2020AJ....160...83S
292 |CD-33 591                                                                                                |High Proper Motion Star               |01 40 09.8462571096 -32 49 22.484162928|244.2416542532935 -78.0213481445358| 65.413 -32.182   |9.73     |~              |    ~     ~    |    1|  319.045   pc  |  -8.8190     +8.8190  |ST-L    |2020AJ....160...83S
293 |CD-32 661                                                                                                |High Proper Motion Star               |01 40 59.1585531600 -32 19 02.933612976|241.6720503063884 -78.0676965802489| 14.173 -51.168   |10.37    |~              |    ~     ~    |    1|  209.240   pc  |  -1.1602     +1.1602  |paral   |2020yCat.1350....0G
294 |TYC 7003-1596-1                                                                                          |Star                                  |01 35 49.2704320704 -33 41 35.778303024|250.1053891004894 -78.4072310539302|  3.597 -18.427   |10.10    |~              |    ~     ~    |    1| 1071.811   pc  | -19.8739    +19.8739  |paral   |2020yCat.1350....0G
295 |CD-32 653                                                                                                |Star                                  |01 40 30.9181868208 -32 15 17.033367780|241.5758860082139 -78.1836338433913| 20.645 -12.403   |10.67    |~              |    ~     ~    |    1|  590.563   pc  |  -5.9290     +5.9290  |paral   |2020yCat.1350....0G
296 |TYC 7003-667-1                                                                                           |High Proper Motion Star               |01 31 56.5552658712 -32 41 21.671352312|247.7433873087437 -79.6172777459045|-30.801 -47.788   |10.705   |~              |    ~     ~    |    1|  155.500   pc  |  -1.3270     +1.3270  |ST-L    |2020AJ....160...83S
297 |TYC 7003-716-1                                                                                           |High Proper Motion Star               |01 33 30.1748166888 -32 34 46.420773780|246.3435388186143 -79.3829682448603| 11.830 -55.725   |10.947   |~              |    ~     ~    |    1|  253.043   pc  |  -4.6040     +4.6040  |ST-L    |2020AJ....160...83S
298 |TYC 7003-999-1                                                                                           |High Proper Motion Star               |01 39 53.1159522792 -31 22 58.558294020|237.7550817188013 -78.6174046848121|-49.291 -23.660   |10.833   |~              |    ~     ~    |    1|  184.203   pc  |  -2.0080     +2.0080  |ST-L    |2020AJ....160...83S
299 |TYC 7003-1288-1                                                                                          |High Proper Motion Star               |01 36 29.2644306864 -31 34 06.661229340|239.9634575686359 -79.2333694902185| 87.777 -31.778   |10.54    |~              |    ~     ~    |    1|  127.222   pc  |  -0.3286     +0.3286  |paral   |2020yCat.1350....0G
300 |TYC 7003-1359-1                                                                                          |Star                                  |01 40 13.5355722312 -32 44 04.715560644|243.8294377436375 -78.0469283176053| -2.202 -27.406   |10.968   |~              |    ~     ~    |    1|  359.397   pc  |  -7.7410     +7.7410  |ST-L    |2020AJ....160...83S
301 |TYC 7003-1467-1                                                                                          |Star                                  |01 33 39.5966047368 -32 15 36.916434288|244.7125793695420 -79.5002299788138|  34.308 12.624   |10.92    |~              |    ~     ~    |    1|  251.946   pc  |  -7.7632     +7.7632  |paral   |2020yCat.1350....0G
302 |TYC 7003-1548-1                                                                                          |Star                                  |01 35 36.5453120760 -32 24 59.208388884|244.4849282601518 -79.0619279380633|  2.922 -18.894   |10.70    |~              |    ~     ~    |    1|  577.934   pc  |  -4.9433     +4.9433  |paral   |2020yCat.1350....0G
303 |TYC 7003-1957-1                                                                                          |Star                                  |01 32 20.7524584176 -33 36 52.848687528|251.7600765732130 -79.0589831948092|-14.473 -11.843   |10.822   |~              |    ~     ~    |    1|  673.331   pc  | -27.6700    +27.6700  |ST-L    |2020AJ....160...83S
304 |TYC 7003-2010-1                                                                                          |Star                                  |01 40 40.8064723608 -33 14 23.834294340|245.8030563705826 -77.7417166344789| -12.981 21.428   |10.72    |~              |    ~     ~    |    1|  245.296   pc  |  -1.2455     +1.2455  |paral   |2020yCat.1350....0G
305 |TYC 7003-2024-1                                                                                          |Star                                  |01 36 17.1000696672 -33 24 08.408405412|248.6111705047865 -78.4730429443215|    9.734 0.175   |10.30    |~              |    ~     ~    |    1|  653.296   pc  |  -8.0664     +8.0664  |paral   |2020yCat.1350....0G
306 |TYC 7003-2125-1                                                                                          |High Proper Motion Star               |01 32 01.9731961584 -33 23 05.939419704|250.9297529186857 -79.2395034022720| 156.440 16.848   |10.813   |~              |    ~     ~    |    1|  133.058   pc  |  -0.9951     +0.9951  |ST-L    |2020AJ....160...83S
307 |TYC 7003-2153-1                                                                                          |High Proper Motion Star               |01 37 25.9045734984 -32 55 19.343600040|245.9235711091406 -78.4923582459466| 31.055 -50.006   |10.96    |~              |    ~     ~    |    1|  499.675   pc  |  -3.7951     +3.7951  |paral   |2020yCat.1350....0G
308 |TYC 7005-1271-1                                                                                          |Star                                  |01 30 50.6147780088 -34 03 31.808676924|254.6199715584929 -79.0583758378826|   0.313 -4.733   |10.951   |~              |    ~     ~    |    1|  489.644   pc  | -13.6200    +13.6200  |ST-L    |2020AJ....160...83S
309 |HD 10462                                                                                                 |High Proper Motion Star               |01 41 27.3068905104 -31 48 30.629140056|239.1944509266741 -78.1602718703191|136.142 -130.683  |8.67     |G5V            |    ~     ~    |    1|   64.977   pc  |  -0.0895     +0.0895  |paral   |2020yCat.1350....0G
310 |HD 10511                                                                                                 |Star                                  |01 41 50.6596120440 -32 09 23.069728800|240.6254690650694 -77.9597582101653| 34.305 -10.118   |9.65     |F0V            |    ~     ~    |    1|  244.762   pc  |  -1.1443     +1.1443  |paral   |2020yCat.1350....0G
311 |HD 10531                                                                                                 |Star                                  |01 42 05.4657123816 -32 05 26.957523984|240.2420801100456 -77.9348093375247|   24.740 8.383   |7.97     |G8III          |    ~     ~    |    1|  280.788   pc  |  -3.3350     +3.3350  |paral   |2020yCat.1350....0G
312 |* pi. Scl                                                                                                |High Proper Motion Star               |01 42 08.6293373664 -32 19 37.155166068|241.2694799775952 -77.8377717702520| -82.704 -4.233   |5.256    |K1II/III       |    ~     ~    |    1|   62.573   pc  |  -1.6288     +1.6288  |paral   |2020yCat.1350....0G
313 |CD-34 670                                                                                                |Spectroscopic Binary                  |01 42 36.1089579960 -33 28 59.775082068|245.9779290702484 -77.2739752519613|  12.020 -5.692   |10.516   |~              |    ~     ~    |    1|  228.935   pc  |  -2.8280     +2.8280  |ST-L    |2020AJ....160...83S
314 |CD-33 603                                                                                                |Star                                  |01 43 29.0206674792 -32 24 59.418486900|241.1644870402734 -77.5418847591617| 13.854 -16.913   |10.909   |~              |    ~     ~    |    1|  423.202   pc  | -24.3200    +24.3200  |ST-L    |2020AJ....160...83S
315 |HD 10735                                                                                                 |Star                                  |01 44 20.8023665064 -31 37 06.829277556|237.3819448535722 -77.6406664623912|   15.315 0.324   |8.75     |K1III          |    ~     ~    |    1|  419.199   pc  |  -3.0050     +3.0050  |paral   |2020yCat.1350....0G
316 |HD 10719                                                                                                 |Star                                  |01 44 07.8086678856 -31 45 54.085259376|238.0991163126324 -77.6384175820797| -10.054 -0.646   |8.47     |K0III          |    ~     ~    |    1|  308.309   pc  |  -2.0627     +2.0627  |paral   |2020yCat.1350....0G
317 |HD 10787                                                                                                 |Star                                  |01 44 54.4913218656 -32 49 36.104705544|242.3775166133177 -77.1089772493143|  32.327 28.120   |8.47     |K1III          |    ~     ~    |    1|  362.043   pc  |  -3.0803     +3.0803  |paral   |2020yCat.1350....0G
318 |CD-32 681                                                                                                |Star                                  |01 44 37.3891632024 -31 41 48.220588968|237.6431974456034 -77.5605199453177|  0.890 -16.287   |10.316   |~              |    ~     ~    |    1|  209.125   pc  |  -2.3640     +2.3640  |ST-L    |2020AJ....160...83S
319 |TYC 7003-265-1                                                                                           |Star                                  |01 44 56.3075714232 -32 10 41.347157880|239.6360678686212 -77.3397006505942| -11.853 -1.001   |10.913   |~              |    ~     ~    |    1|  643.623   pc  | -34.7200    +34.7200  |ST-L    |2020AJ....160...83S
320 |TYC 7003-406-1                                                                                           |Spectroscopic Binary                  |01 44 09.3463783992 -31 47 40.232726556|238.2213216542754 -77.6237950184640| -71.048 83.679   |10.99    |~              |    ~     ~    |    1|   93.440   pc  |  -0.9622     +0.9622  |paral   |2020yCat.1350....0G
321 |CD-31 653                                                                                                |Spectroscopic Binary                  |01 37 26.7928426272 -31 11 39.365819484|237.7105865265516 -79.1714536311492|  22.384 -9.490   |10.51    |~              |    ~     ~    |    1|  380.561   pc  |  -5.6627     +5.6627  |paral   |2020yCat.1350....0G
322 |HD 9784                                                                                                  |Star                                  |01 35 06.1530542256 -31 23 51.122709564|239.6852978012939 -79.5707606045289| -0.801 -23.741   |8.24     |K0III          |    ~     ~    |    1|  304.321   pc  |  -2.1578     +2.1578  |paral   |2020yCat.1350....0G
323 |HD 9246                                                                                                  |High Proper Motion Star               |01 30 24.9657781440 -29 15 31.947675804|229.1381933498129 -81.1543855618481|-24.321 220.450   |9.44     |K2.5V          |    ~     ~    |    1|   38.105   pc  |  -0.0203     +0.0203  |paral   |2020yCat.1350....0G
324 |HD 9338                                                                                                  |Star                                  |01 31 28.8511652808 -29 03 58.077505368|227.6400916068811 -80.9621073649497|  6.433 -29.639   |9.52     |G8IV           |    ~     ~    |    1|  518.995   pc  |  -3.9326     +3.9326  |paral   |2020yCat.1350....0G
325 |CD-30 502                                                                                                |Star                                  |01 30 39.9104426448 -30 04 26.195475756|234.1264375066227 -80.9039067941648|  1.721 -10.452   |10.09    |G0             |    ~     ~    |    1|  199.171   pc  |  -0.9164     +0.9164  |paral   |2020yCat.1350....0G
326 |HD 9349                                                                                                  |High Proper Motion Star               |01 31 29.8872868752 -29 59 05.951388444|233.2777771316302 -80.7551652393303|  77.887 27.987   |6.617    |G6/8III        |    ~     ~    |    1|  165.063   pc  |  -0.9155     +0.9155  |paral   |2020yCat.1350....0G
327 |HD 9377                                                                                                  |Double or Multiple Star               |01 31 43.2543968348 -30 16 59.152435205|234.9620433045567 -80.6249413516156| -4.929 -58.757   |5.788    |K0III          |    ~     ~    |    1|  114.081   pc  |  -1.7374     +1.7374  |paral   |2020yCat.1350....0G
328 |HD 9402                                                                                                  |Star                                  |01 31 52.9187962392 -30 09 38.768478624|234.1813038107093 -80.6269578608692|  -11.374 8.856   |9.798    |F3V            |    ~     ~    |    1|  186.793   pc  |  -2.1730     +2.1730  |ST-L    |2020AJ....160...83S
329 |HD 9318                                                                                                  |High Proper Motion Star               |01 31 09.1780442688 -31 18 03.208138344|241.0112480682676 -80.3876198159552|  40.901 30.889   |8.52     |K3III          |    ~     ~    |    1|  379.133   pc  |  -8.8350     +8.8350  |ST-L    |2020AJ....160...83S
330 |HD 9290                                                                                                  |High Proper Motion Star               |01 30 49.9970741376 -31 27 38.923117020|242.0523279628476 -80.3856494655451|-77.795 -115.955  |9.02     |K1III          |    ~     ~    |    1|  122.855   pc  |  -0.8182     +0.8182  |ST-L    |2020AJ....160...83S
331 |CD-30 505                                                                                                |Star                                  |01 31 29.7509185200 -29 44 19.108153176|231.7910345680007 -80.8186322919923|   9.384 12.523   |10.74    |~              |    ~     ~    |    1|  550.206   pc  |  -5.5096     +5.5096  |paral   |2020yCat.1350....0G
332 |[FF93] 512689                                                                                            |Star                                  |01 32 11.7 -30 53 27                   |238.2427 -80.3327                  |            ~ ~   |10.03    |~              |    ~     ~    |    0|                |                       |        |                   
333 |CD-30 508                                                                                                |Star                                  |01 32 14.7015553200 -29 23 35.932701660|229.4637409821783 -80.7368194347434|  37.013 26.437   |10.45    |~              |    ~     ~    |    1|  253.781   pc  |  -1.0240     +1.0240  |paral   |2020yCat.1350....0G
334 |HD 9541                                                                                                  |Star                                  |01 33 04.7577824808 -29 05 31.697437848|227.4295203735750 -80.6135266611743| -9.223 -23.776   |8.91     |K0III          |    ~     ~    |    1|  424.520   pc  |  -3.1538     +3.1538  |paral   |2020yCat.1350....0G
335 |HD 9651                                                                                                  |Star                                  |01 34 03.6279033864 -29 18 07.846289352|228.4557113330382 -80.3660881808017|  22.460 -5.174   |9.79     |F3V            |    ~     ~    |    1|  490.028   pc  | -20.2908    +20.2908  |paral   |2020yCat.1350....0G
336 |CD-29 529                                                                                                |Star                                  |01 37 44.3633104248 -28 50 18.495148056|225.1210632955425 -79.6403778984462|  15.062 -4.800   |10.27    |~              |    ~     ~    |    1|  697.350   pc  |  -8.8020     +8.8020  |paral   |2020yCat.1350....0G
337 |CD-29 535                                                                                                |Star                                  |01 38 23.7954152352 -28 40 05.447121096|224.0991833084908 -79.5155670909533|  6.689 -17.185   |10.405   |~              |    ~     ~    |    1|  272.163   pc  |  -5.7470     +5.7470  |ST-L    |2020AJ....160...83S
338 |HD 10209                                                                                                 |Variable Star                         |01 39 16.5808620792 -29 01 20.803953432|225.8944169722214 -79.2840921781162|  26.853 12.468   |7.419    |F0III          |    ~     ~    |    1|  117.690   pc  |  -1.4017     +1.4017  |paral   |2020yCat.1350....0G
339 |HD 9475                                                                                                  |High Proper Motion Star               |01 32 29.5504635816 -29 43 35.727666852|231.3980843400836 -80.6114159600091| 27.828 -43.054   |8.72     |F0/2IV         |    ~     ~    |    1|  195.339   pc  |  -5.1512     +5.1512  |paral   |2020yCat.1350....0G
340 |HD 9693                                                                                                  |Star                                  |01 34 23.9964067680 -29 23 06.983352528|228.8601298318369 -80.2780230814953|  26.096 11.216   |9.57     |F2V            |    ~     ~    |    1|  186.359   pc  |  -1.9020     +1.9020  |ST-L    |2020AJ....160...83S
341 |HD 9905                                                                                                  |High Proper Motion Star               |01 36 10.0901392896 -29 23 32.477750628|228.4912446921992 -79.8980567629639|  -66.312 7.896   |8.84     |K1V            |    ~     ~    |    1|   47.267   pc  |  -0.1095     +0.1095  |paral   |2020yCat.1350....0G
342 |HD 10002                                                                                                 |High Proper Motion Star               |01 37 08.6273516400 -29 23 35.748305232|228.2861920317052 -79.6886753818714|285.768 -70.219   |8.13     |G9V            |    ~     ~    |    1|   34.112   pc  |  -0.0321     +0.0321  |paral   |2020yCat.1350....0G
343 |CD-30 551                                                                                                |Star                                  |01 37 12.4820612856 -29 27 42.920492544|228.6496599247548 -79.6628581551067| 16.178 -37.242   |10.632   |~              |    ~     ~    |    1|  306.121   pc  |  -5.1840     +5.1840  |ST-L    |2020AJ....160...83S
344 |CD-30 566                                                                                                |Star                                  |01 39 42.9601819464 -29 38 10.252331052|229.0496213531550 -79.0950191577655| 15.952 -25.769   |10.450   |~              |    ~     ~    |    1|  260.832   pc  |  -4.2930     +4.2930  |ST-L    |2020AJ....160...83S
345 |HD 10290                                                                                                 |Star                                  |01 40 00.1200365640 -29 40 25.791899988|229.1855863327030 -79.0271036911720|   18.966 6.109   |10.082   |G0V            |    ~     ~    |    1|  360.900   pc  |  -6.1300     +6.1300  |ST-L    |2020AJ....160...83S
346 |HD 9576                                                                                                  |Star                                  |01 33 24.9451118376 -29 56 14.471598588|232.3431356734965 -80.3662029415751| 21.486 -11.254   |8.01     |K1IIICNII      |    ~     ~    |    1|  252.003   pc  |  -1.3146     +1.3146  |paral   |2020yCat.1350....0G
347 |V* BG Scl                                                                                                |Long-Period Variable                  |01 34 11.2558293936 -29 57 22.328842824|232.2071745100115 -80.1995170066401|  -2.511 -6.581   |10.60    |M0/1(III)      |    ~     ~    |    1| 1383.13    pc  | -48.3998    +48.3998  |paral   |2020yCat.1350....0G
348 |HD 9661                                                                                                  |High Proper Motion Star               |01 34 13.0081914696 -30 13 23.749469760|233.7082398914228 -80.1247648775844| 115.289 -9.418   |9.87     |G3V            |    ~     ~    |    1|   82.803   pc  |  -0.1035     +0.1035  |paral   |2020yCat.1350....0G
349 |HD 9770                                                                                                  |Double or Multiple Star               |01 35 01.0078925286 -29 54 37.342172838|231.6972800985004 -80.0360657481884|168.565 119.442   |7.096    |K1V            |0.0033  0.0    |    1|   26.0186  pc  |  -0.4501     +0.4501  |paral   |2018yCat.1345....0G
350 |HD 9783                                                                                                  |High Proper Motion Star               |01 35 04.3384109184 -29 52 32.143941336|231.4856686009882 -80.0324489501188|  74.732 34.028   |8.78     |F8V            |    ~     ~    |    1|  128.677   pc  |  -0.3841     +0.3841  |paral   |2020yCat.1350....0G
351 |HD 9857                                                                                                  |Spectroscopic Binary                  |01 35 39.4375559112 -30 14 33.749821860|233.3425986451499 -79.8195867844659|   20.792 1.496   |9.800    |A9V            |    ~     ~    |    1|  242.813   pc  |  -5.0114     +5.0114  |paral   |2020yCat.1350....0G
352 |CD-30 543                                                                                                |Star                                  |01 36 44.4731680416 -29 55 05.149597620|231.2547224606602 -79.6705353039538|   11.880 3.553   |9.79     |G5             |    ~     ~    |    1|  257.978   pc  |  -1.1447     +1.1447  |paral   |2020yCat.1350....0G
353 |CD-30 552                                                                                                |Star                                  |01 37 27.1725700152 -30 05 34.038456180|231.9998596609732 -79.4805913266396|  11.273 19.568   |10.72    |~              |    ~     ~    |    1|  395.228   pc  | -14.8100    +14.8100  |ST-L    |2020AJ....160...83S
354 |CD-30 557                                                                                                |Spectroscopic Binary                  |01 38 09.9332094888 -30 15 52.697772360|232.7055992112399 -79.2899184856929|  11.878 -1.346   |10.154   |~              |    ~     ~    |    1|  170.592   pc  |  -3.0050     +3.0050  |ST-L    |2020AJ....160...83S
355 |CD-31 622                                                                                                |Chemically Peculiar Star              |01 32 19.8260437992 -30 40 51.418733736|237.0049918897861 -80.3761794735275| 38.903 -77.480   |10.8     |sdG/K          |    ~     ~    |    1|  468.690   pc  | -12.6200    +12.6200  |ST-L    |2020AJ....160...83S
356 |HD 9589                                                                                                  |Star                                  |01 33 26.3722115808 -31 05 52.820249856|238.8301289793450 -80.0101808002912|   37.831 2.642   |9.71     |G0V            |    ~     ~    |    1|  171.668   pc  |  -0.4420     +0.4420  |paral   |2020yCat.1350....0G
357 |CD-31 636                                                                                                |Star                                  |01 34 25.4483629104 -30 30 22.029996672|235.2081491477825 -80.0021841785472| -2.140 -17.129   |10.317   |~              |    ~     ~    |    1|  757.558   pc  | -27.9200    +27.9200  |ST-L    |2020AJ....160...83S
358 |CD-31 643                                                                                                |Star                                  |01 35 37.5771332784 -30 55 56.635781160|237.0524288135082 -79.6251821282954|  4.483 -16.214   |10.34    |~              |    ~     ~    |    1|  803.342   pc  | -10.6484    +10.6484  |paral   |2020yCat.1350....0G
359 |CD-31 650                                                                                                |Star                                  |01 36 21.9315375288 -30 22 49.997701632|233.8620132791366 -79.6357743879009| -7.187 -10.754   |9.37     |K              |    ~     ~    |    1|  740.028   pc  |  -9.3647     +9.3647  |paral   |2020yCat.1350....0G
360 |CD-31 654                                                                                                |Star                                  |01 37 31.6705014936 -30 36 35.561414160|234.6961185856311 -79.3322757391051|  13.995 -6.328   |10.61    |~              |    ~     ~    |    1| 1531.863   pc  | -41.7695    +41.7695  |paral   |2020yCat.1350....0G
361 |CD-31 660                                                                                                |Star                                  |01 37 57.9923278728 -31 03 17.209040796|236.8199430374179 -79.1107204506830|  -3.780 -2.842   |10.820   |~              |    ~     ~    |    1|  408.857   pc  | -10.5200    +10.5200  |ST-L    |2020AJ....160...83S
362 |CD-31 677                                                                                                |Star                                  |01 40 10.6553444760 -30 46 22.457262216|234.6937531207640 -78.7397593660954| -0.986 -12.348   |10.529   |~              |    ~     ~    |    1|  290.671   pc  |  -4.8760     +4.8760  |ST-L    |2020AJ....160...83S
363 |CD-31 681                                                                                                |Star                                  |01 40 29.3235313224 -30 29 20.500752444|233.2002025928112 -78.7490476322852|    9.940 0.908   |10.05    |~              |    ~     ~    |    1|  524.742   pc  |  -5.4245     +5.4245  |paral   |2020yCat.1350....0G
364 |CD-30 571                                                                                                |Star                                  |01 41 08.9551509984 -30 08 42.146659320|231.3207282721754 -78.6899345812671|  4.745 -15.567   |10.86    |A3             |    ~     ~    |    1|  427.647   pc  | -12.5400    +12.5400  |ST-L    |2020AJ....160...83S
365 |NGC 642                            NGC 642                                                               |Galaxy in Pair of Galaxies            |01 39 06.3180644448 -29 54 53.967634344|230.6367538865487 -79.1709724114479|            ~ ~   |     ~   |~              |0.907 0.526    |    1|   79.39    Mpc |                       |redshift|2007ApJ...655..790C
366 |CD-30 515                                                                                                |Star                                  |01 33 35.6153086104 -29 49 38.434955196|231.6499128372489 -80.3554807299405|-11.208 -20.281   |10.32    |~              |    ~     ~    |    1|  297.637   pc  |  -1.7452     +1.7452  |paral   |2020yCat.1350....0G
367 |CD-30 527                                                                                                |Star                                  |01 34 36.9388389096 -29 44 59.928529848|230.9046426590156 -80.1573588507128|   26.920 5.649   |10.23    |~              |    ~     ~    |    1|  358.654   pc  |  -2.9200     +2.9200  |paral   |2020yCat.1350....0G
368 |CD-29 518                                                                                                |Star                                  |01 34 56.9100894768 -28 50 15.852647724|225.5508940527595 -80.2469502545632|  27.102 -9.115   |9.824    |~              |    ~     ~    |    1|  324.407   pc  |  -6.5470     +6.5470  |ST-L    |2020AJ....160...83S
369 |CD-30 535                                                                                                |Spectroscopic Binary                  |01 35 34.0429772736 -29 40 46.928842680|230.2489745289740 -79.9706944287110| 44.383 -13.672   |10.24    |~              |    ~     ~    |    1|  444.365   pc  | -10.6826    +10.6826  |paral   |2020yCat.1350....0G
370 |CD-29 531                                                                                                |Star                                  |01 37 52.8267451968 -28 47 15.277126812|224.8205613076075 -79.6155209030381|  9.585 -38.227   |9.81     |~              |    ~     ~    |    1| 1032.311   pc  | -33.8882    +33.8882  |paral   |2020yCat.1350....0G
371 |CD-30 532                                                                                                |Star                                  |01 35 25.3226221536 -30 05 47.306972940|232.6126366532162 -79.9059792322236| 18.552 -11.209   |10.92    |~              |    ~     ~    |    1|  329.663   pc  | -11.1286    +11.1286  |paral   |2020yCat.1350....0G
372 |CD-30 547                                                                                                |Star                                  |01 36 55.2093466344 -29 40 59.047742640|229.9270811321780 -79.6824074573740|-11.063 -19.413   |10.73    |~              |    ~     ~    |    1|  504.515   pc  |  -3.9453     +3.9453  |paral   |2020yCat.1350....0G
373 |NGC 639                            NGC 639                                                               |Emission-line galaxy                  |01 38 59.2519651776 -29 55 27.347380464|230.7134368562153 -79.1939946430506|            ~ ~   |     ~   |~              |0.620 0.198    |    1|  102.33    Mpc |  -9.21       +9.21    |T-F     |2020ApJ...902..145K
374 |TYC 6428-1841-1                                                                                          |Spectroscopic Binary                  |01 33 26.5381266528 -29 04 44.877943380|227.2714015891311 -80.5374451407570| 18.304 -56.309   |10.96    |~              |    ~     ~    |    1| 1129.561   pc  | -23.8595    +23.8595  |paral   |2020yCat.1350....0G
375 |TYC 6428-1177-1                                                                                          |Star                                  |01 33 57.3091056168 -28 55 41.162418948|226.2633156025018 -80.4498883458045| -9.658 -16.570   |10.72    |~              |    ~     ~    |    1|  104.342   pc  |  -0.1807     +0.1807  |paral   |2020yCat.1350....0G
376 |TYC 6428-1401-1                                                                                          |High Proper Motion Star               |01 34 40.8373733136 -28 50 00.704262408|225.5717066824870 -80.3056617081626| 72.976 -57.450   |10.92    |~              |    ~     ~    |    1|  125.740   pc  |  -0.2609     +0.2609  |paral   |2020yCat.1350....0G
377 |TYC 6428-1994-1                                                                                          |Star                                  |01 34 31.7542099368 -29 58 23.632390920|232.1981042335957 -80.1236051751836|   38.308 6.863   |10.85    |~              |    ~     ~    |    1|  194.700   pc  |  -0.7013     +0.7013  |paral   |2020yCat.1350....0G
378 |TYC 7003-522-1                                                                                           |Star                                  |01 38 44.7104389392 -30 17 38.633904384|232.6951271562020 -79.1613832425231|  3.186 -20.080   |10.925   |~              |    ~     ~    |    1|  688.700   pc  | -25.2500    +25.2500  |ST-L    |2020AJ....160...83S
379 |TYC 7003-586-1                                                                                           |High Proper Motion Star               |01 34 00.2083030152 -31 06 18.672651612|238.6247718039828 -79.8946786799339|-27.190 -52.260   |10.88    |~              |    ~     ~    |    1|  163.209   pc  |  -0.4448     +0.4448  |paral   |2020yCat.1350....0G
380 |TYC 7003-1581-1                                                                                          |Spectroscopic Binary                  |01 36 04.3198143984 -31 13 25.732801308|238.3913187117570 -79.4384693980448| 85.182 102.961   |10.75    |~              |    ~     ~    |    1|  178.993   pc  |  -0.7048     +0.7048  |paral   |2020yCat.1350....0G
381 |NGC 613                            NGC 613                                                               |Active Galaxy Nucleus                 |01 34 18.235 -29 25 06.56              |229.076919 -80.292251              |            ~ ~   |12.71    |~              | 5.50  4.37    |    1|   26.4241  Mpc |                       |redshift|2019A&A...631A..38L
382 |CD-31 691                                                                                                |High Proper Motion Star               |01 41 58.3550980080 -31 00 32.941342152|235.3005741250458 -78.3044072712197|   76.629 0.696   |10.678   |G              |    ~     ~    |    1|  175.149   pc  |  -1.7410     +1.7410  |ST-L    |2020AJ....160...83S
383 |CD-31 703                                                                                                |Star                                  |01 43 00.8457593568 -31 01 29.608246344|235.0733308455406 -78.0855890342663|   20.129 1.250   |10.761   |~              |    ~     ~    |    1| 1088.900   pc  | -70.9000    +70.9000  |ST-L    |2020AJ....160...83S
384 |CD-31 710                                                                                                |Star                                  |01 43 49.8147421896 -30 55 28.698683160|234.3834473518027 -77.9437032045932|  -4.610 -1.788   |10.696   |~              |    ~     ~    |    1|  358.271   pc  |  -6.3890     +6.3890  |ST-L    |2020AJ....160...83S
385 |HD 10573                                                                                                 |High Proper Motion Star               |01 42 27.8500767936 -28 34 44.965008336|223.2220589641247 -78.6340395767828|  49.586 11.587   |9.09     |F7V            |    ~     ~    |    1|   97.695   pc  |  -0.5222     +0.5222  |ST-L    |2020AJ....160...83S
386 |CD-30 581                                                                                                |Spectroscopic Binary                  |01 42 48.5890698696 -29 40 37.933423104|228.6592880837285 -78.4259418493500|   9.762 -6.173   |10.394   |~              |    ~     ~    |    1|  855.830   pc  | -37.3200    +37.3200  |ST-L    |2020AJ....160...83S
387 |HD 10646                                                                                                 |Star                                  |01 43 20.3089454480 -29 24 49.253688977|227.2773348367295 -78.3530503825320| 14.622 -10.248   |10.332   |A9V            |    ~     ~    |    1|  518.135   pc  |  -6.6042     +6.6042  |paral   |2020yCat.1350....0G
388 |HD 10778                                                                                                 |High Proper Motion Star               |01 44 57.5644363464 -28 43 35.565479436|223.7413313516085 -78.0768941492697|-23.740 -76.102   |6.95     |M2III          |    ~     ~    |    1|  237.085   pc  |  -1.1860     +1.1860  |paral   |2020yCat.1350....0G
