C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
34  |TYC 2715-40-1                                                         |Star                           |21 18 23.8238062344 +37 28 42.736512648|082.9354515465044 -08.3391752880199|   1.194 -0.119   |10.08    |~                 |    ~     ~    
35  |TYC 2715-46-1                                                         |Star                           |21 20 00.1603932648 +37 27 25.782614028|083.1437171348682 -08.5831457705713|  -2.750 -7.683   |10.36    |~                 |    ~     ~    
36  |TYC 2715-589-1                                                        |Spectroscopic Binary           |21 18 46.0873696584 +37 21 27.111259332|082.8989621283711 -08.4761710367918|  -0.747 -6.788   |10.65    |~                 |    ~     ~    
37  |TYC 2715-771-1                                                        |Star                           |21 18 55.7629297104 +37 22 27.728553216|082.9337009040946 -08.4875567768020| -2.961 -42.263   |10.51    |~                 |    ~     ~    
38  |TYC 2715-854-1                                                        |Star                           |21 18 47.6043858960 +37 25 55.087382820|082.9566782107882 -08.4281395199092|   -2.015 4.352   |10.37    |~                 |    ~     ~    
39  |TYC 3169-40-1                                                         |Star                           |21 19 01.4521871256 +37 40 07.507733844|083.1610167148643 -08.2966559745444| -1.531 -17.742   |10.62    |~                 |    ~     ~    
40  |TYC 3169-80-1                                                         |Star                           |21 17 18.6425289720 +37 48 57.557585520|083.0311258864835 -07.9504019148034|  24.683 16.169   |10.11    |~                 |    ~     ~    
41  |TYC 3169-172-1                                                        |Star                           |21 17 12.6232943064 +37 31 29.426630772|082.8046984549954 -08.1372052864524|  -6.720 -9.099   |10.59    |~                 |    ~     ~    
42  |TYC 3169-246-1                                                        |Star                           |21 19 55.6479889944 +37 54 14.285408400|083.4572146392791 -08.2611438550710|   -1.109 7.097   |10.80    |~                 |    ~     ~    
43  |TYC 3169-388-1                                                        |Star                           |21 18 10.9538151408 +37 39 54.584875764|083.0416410227449 -08.1792012889961|    5.645 0.093   |10.28    |~                 |    ~     ~    
44  |TYC 3169-774-1                                                        |Star                           |21 18 21.1415239488 +37 31 37.491764808|082.9646047741531 -08.2991386998943|    8.147 0.114   |10.96    |~                 |    ~     ~    
45  |TYC 3169-778-1                                                        |Star                           |21 15 19.2867698232 +37 48 33.276123216|082.7529426520737 -07.6703117054235|   26.168 8.206   |10.9     |~                 |    ~     ~    
46  |TYC 3169-838-1                                                        |Star                           |21 19 14.7121469256 +37 30 53.799252480|083.0799658334191 -08.4350151424470|  -4.431 -4.293   |10.63    |~                 |    ~     ~    
47  |TYC 3169-970-1                                                        |Star                           |21 16 12.5599226208 +38 14 24.505763712|083.1897501933667 -07.5006915367684|   3.304 -0.014   |9.65     |~                 |    ~     ~    
48  |TYC 3169-1072-1                                                       |Double or Multiple Star        |21 15 15.802392 +37 49 23.26008        |082.755177159 -07.652439534        |       3.1 -0.8   |10.710   |~                 |    ~     ~    
49  |TYC 3169-1153-1                                                       |Star                           |21 18 50.2541603256 +37 45 31.130906400|083.2004589949527 -08.2076621290670|   0.897 -0.625   |10.45    |~                 |    ~     ~    
50  |TYC 3169-1188-1                                                       |Star                           |21 19 30.4075648416 +38 02 48.277306536|083.5023525645205 -08.1022056128538|  -2.584 -8.209   |10.52    |~                 |    ~     ~    
51  |TYC 3169-1194-1                                                       |Star                           |21 17 17.0334376032 +38 02 07.515530916|083.1874965779924 -07.7948844731795|  38.641 -0.538   |10.29    |~                 |    ~     ~    
52  |TYC 3169-1230-1                                                       |Star                           |21 15 19.3327563864 +37 51 23.496887376|082.7877200481097 -07.6379428058077| -9.621 -15.732   |10.62    |~                 |    ~     ~    
53  |TYC 3169-1276-1                                                       |Star                           |21 15 16.8311403240 +37 51 49.980891312|082.7874112428430 -07.6269087834313|   1.263 -8.757   |10.22    |~                 |    ~     ~    
54  |TYC 3169-1340-1                                                       |Star                           |21 15 24.9590465304 +37 34 02.207216964|082.5884150265057 -07.8500904700178|  -2.582 -9.046   |10.25    |~                 |    ~     ~    
