C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1800|HD 235521                                                             |High Proper Motion Star        |21 28 53.7576685560 +53 04 48.563663736|095.2498119852644 +01.4594232389025|  79.335 41.121   |8.50     |F5                |    ~     ~    
1801|HD 235525                                                             |Star                           |21 29 59.5524614592 +53 16 47.613702864|095.5064999321688 +01.4917097861260|    8.670 7.384   |10.55    |A0                |    ~     ~    
1802|IRAS 21183+5400                                                       |Star                           |21 19 56.2134774456 +54 13 45.086027340|095.1049660994146 +03.2089353537577|-11.598 -13.830   |10.75    |~                 |    ~     ~    
1803|TYC 3966-936-1                                                        |Star                           |21 26 15.7909050000 +53 27 32.529317472|095.2275360660720 +02.0053139299919|  -1.633 -2.205   |9.86     |~                 |    ~     ~    
1804|IRAS 21252+5340                                                       |Star                           |21 26 51.4281648576 +53 53 15.744257556|095.5887068356447 +02.2527645217770|  -1.253 -4.935   |9.84     |~                 |    ~     ~    
1805|ADS 14910 D                                                           |Star                           |21 21 21.3565995840 +54 33 33.604284024|095.4853167955603 +03.2952704402600|  -2.842 -0.447   |10.5     |~                 |    ~     ~    
1806|BD+54 2526                                                            |Star                           |21 22 31.33 +55 02 43.7                |095.94841 +03.52082                |            ~ ~   |9.9      |~                 |    ~     ~    
1807|HD 202971                                                             |Star                           |21 17 14.3861444112 +54 22 35.124999600|094.9343296242420 +03.5929399098134|  -4.510 -7.902   |8.73     |A0                |    ~     ~    
1808|HD 203135                                                             |Star                           |21 18 26.9325141792 +54 10 25.552443972|094.9124804867570 +03.3250852043584| -0.288 -14.683   |7.43     |K3II-III          |    ~     ~    
1809|HD 203356                                                             |Be Star                        |21 19 44.9407030488 +53 57 05.385922920|094.8878607458954 +03.0332135706132|   1.141 -4.349   |8.080    |B9                |    ~     ~    
1810|HD 235492                                                             |Double or Multiple Star        |21 20 15.073992 +53 54 15.90228        |094.906467844 +02.947560977        |      -0.1 -2.4   |10.007   |A0                |    ~     ~    
1811|HD 204117                                                             |Star                           |21 24 36.6212514432 +53 21 48.281228460|094.9841101238666 +02.1084025007538|-19.721 -15.605   |8.22     |F0                |    ~     ~    
1812|HD 204291                                                             |Star                           |21 25 46.9910193528 +52 51 42.751536516|094.7603076980433 +01.6262431952758|  13.688 11.738   |7.66     |K5                |    ~     ~    
1813|HD 204401                                                             |Star                           |21 26 29.0888459976 +52 44 52.644045408|094.7573591035612 +01.4706376126665|  12.163 -5.248   |7.60     |B9                |    ~     ~    
1814|HD 204428                                                             |Star                           |21 26 44.9697592824 +52 53 54.730425048|094.8906840641852 +01.5513211304188|   15.480 4.697   |5.987    |B7III             |    ~     ~    
1815|EM* AS 466                                                            |Emission-line Star             |21 27 26.9436815592 +52 59 25.756298376|095.0304377641859 +01.5446312731636|  -2.272 -3.482   |10.91    |OB-e              |    ~     ~    
1816|IRAS 21140+5406                                                       |Star                           |21 15 37.7733882312 +54 18 49.007592684|094.7256964751706 +03.7180577602004|    0.517 1.968   |10.75    |~                 |    ~     ~    
1817|IRAS 21148+5402                                                       |Star                           |21 16 21.2945742840 +54 14 41.071729488|094.7495920431902 +03.5940279834852|   -3.543 1.170   |10.92    |~                 |    ~     ~    
1818|IRAS 21173+5356                                                       |Star                           |21 18 53.2316673840 +54 09 29.960680572|094.9464469005488 +03.2684807562369|  -5.557 -5.409   |9.76     |~                 |    ~     ~    
1819|BD+53 2592                                                            |Star                           |21 18 13.1028145176 +54 05 40.219254996|094.8320934213421 +03.2937596014440|   2.547 -4.966   |10.62    |~                 |    ~     ~    
1820|BD+52 2950                                                            |Star                           |21 29 44.9869063944 +53 33 16.479327636|095.6686597791420 +01.7163981829123| -4.839 -11.107   |10.57    |~                 |    ~     ~    
1821|TYC 3953-80-1                                                         |Star                           |21 19 30.4696607640 +53 58 19.457587740|094.8775496994729 +03.0729088108931|   3.053 -1.865   |10.52    |~                 |    ~     ~    
1822|TYC 3953-145-1                                                        |Star                           |21 19 46.0830887952 +54 06 31.003608312|095.0017104904050 +03.1416990628788|   3.390 -1.884   |10.91    |~                 |    ~     ~    
1823|TYC 3953-163-1                                                        |Star                           |21 16 27.6638281032 +54 16 49.856750688|094.7861626397196 +03.6077349478316|  -3.118 -4.734   |10.60    |~                 |    ~     ~    
1824|TYC 3953-656-1                                                        |Star                           |21 18 50.3296371336 +54 00 25.867867248|094.8334998019050 +03.1676054324482|  -2.151 -4.440   |10.50    |~                 |    ~     ~    
1825|TYC 3957-115-1                                                        |Star                           |21 18 40.9075973328 +54 30 27.495341352|095.1751301243816 +03.5345742045790|    5.390 1.101   |10.74    |~                 |    ~     ~    
1826|TYC 3957-1083-1                                                       |Star                           |21 17 05.0154289248 +54 47 54.296312892|095.2220079528204 +03.9030756152567|  -4.343 -3.789   |9.61     |~                 |    ~     ~    
1827|TYC 3957-1356-1                                                       |Star                           |21 19 37.7295292752 +54 44 49.915038444|095.4425369767053 +03.6048929437462|    6.478 2.670   |10.23    |~                 |    ~     ~    
1828|TYC 3957-1530-1                                                       |Star                           |21 19 55.3588144560 +54 35 48.273347436|095.3652183428292 +03.4689304214181|  26.848 12.811   |10.41    |~                 |    ~     ~    
1829|BD+53 2602                                                            |Double or Multiple Star        |21 19 58.6004309016 +54 35 33.350689284|095.3677799080768 +03.4604522741923|      26.2 12.4   |10.33    |G0V               |    ~     ~    
1830|TYC 3957-1562-1                                                       |Star                           |21 19 08.5047953664 +54 35 11.015829384|095.2782491373484 +03.5421863442278|-11.301 -13.531   |10.46    |~                 |    ~     ~    
1831|TYC 3966-38-1                                                         |Star                           |21 28 00.0791645496 +53 31 23.443362984|095.4585374606843 +01.8724652237650|   7.697 -3.421   |10.84    |~                 |    ~     ~    
1832|TYC 3966-48-1                                                         |Star                           |21 28 21.6427927584 +53 51 09.061205076|095.7245172548329 +02.0740423147032| -8.403 -15.662   |10.36    |~                 |    ~     ~    
1833|TYC 3966-78-1                                                         |Star                           |21 22 16.3132050816 +54 05 00.139924860|095.2433956025438 +02.8639709462363|-16.684 -14.298   |10.72    |~                 |    ~     ~    
1834|TYC 3966-84-1                                                         |Star                           |21 21 46.8631832544 +54 08 57.231967524|095.2388923658124 +02.9613891322757|-17.706 -17.473   |10.79    |~                 |    ~     ~    
1835|TYC 3966-137-1                                                        |Star                           |21 26 21.6930274872 +53 34 24.410002116|095.3176060683689 +02.0774350022684|  -1.817 -1.485   |10.01    |~                 |    ~     ~    
1836|TYC 3966-172-1                                                        |Star                           |21 28 15.7298370696 +53 35 06.393449832|095.5293558534576 +01.8905292001445|  -3.831 -4.302   |10.98    |~                 |    ~     ~    
1837|TYC 3966-194-1                                                        |Star                           |21 28 23.8714276416 +53 31 47.221408452|095.5057668771098 +01.8365743161062|   34.113 1.391   |10.58    |F8V               |    ~     ~    
1838|TYC 3966-196-1                                                        |Star                           |21 28 00.8673344544 +53 28 10.169273784|095.4228543944307 +01.8322882868989|   -9.869 2.719   |10.32    |G5V               |    ~     ~    
1839|TYC 3966-202-1                                                        |Star                           |21 23 10.2146588568 +53 27 09.331739172|094.8934297428624 +02.3224184966538|    5.848 5.671   |10.78    |~                 |    ~     ~    
1840|TYC 3966-232-1                                                        |Star                           |21 21 29.6420812032 +53 33 44.585008524|094.7938521098721 +02.5759260574547|    7.846 5.395   |10.50    |~                 |    ~     ~    
1841|TYC 3966-288-1                                                        |High Proper Motion Star        |21 27 27.4329410280 +53 16 49.439829612|095.2319945876133 +01.7530996024987|  67.095 39.369   |10.28    |F9V               |    ~     ~    
1842|TYC 3966-298-1                                                        |Star                           |21 24 16.0195751208 +53 22 12.007421724|094.9520890831783 +02.1489365493118|  -13.975 1.195   |10.80    |F9V               |    ~     ~    
1843|TYC 3966-364-1                                                        |Star                           |21 29 01.1193806112 +53 10 52.344486444|095.3327315241116 +01.5200768002581|  -1.386 -3.471   |10.48    |~                 |    ~     ~    
1844|TYC 3966-365-1                                                        |Star                           |21 29 13.8761837496 +54 19 17.645865492|096.1404610668411 +02.3261353742170| -5.212 -18.992   |10.26    |~                 |    ~     ~    
1845|TYC 3966-411-1                                                        |Star                           |21 23 48.1496282880 +53 55 53.757980796|095.2966615818351 +02.5979383839248|-14.867 -11.616   |10.33    |~                 |    ~     ~    
1846|TYC 3966-517-1                                                        |Star                           |21 25 18.2265775848 +54 13 06.650927364|095.6550935553064 +02.6490008989313|  -3.096 -9.560   |10.05    |~                 |    ~     ~    
1847|TYC 3966-574-1                                                        |Star                           |21 26 52.5092519976 +53 26 49.715300940|095.2848914503936 +01.9335107165642|   12.894 8.810   |9.88     |~                 |    ~     ~    
1848|TYC 3966-611-1                                                        |Star                           |21 27 34.5830388792 +53 45 11.688175620|095.5721130226874 +02.0822608762240|  3.184 -40.054   |10.36    |G1V               |    ~     ~    
1849|TYC 3966-659-1                                                        |Star                           |21 26 25.4698618848 +53 49 47.541654336|095.5025765925742 +02.2554114852061|-14.347 -26.578   |10.42    |G9V               |    ~     ~    
1850|TYC 3966-664-1                                                        |Star                           |21 25 32.2162613184 +53 29 13.508113776|095.1694047097604 +02.1006551843328|   2.384 11.371   |10.48    |~                 |    ~     ~    
1851|TYC 3966-685-1                                                        |Star                           |21 29 53.6208274248 +53 44 50.502364152|095.8165156201958 +01.8420170855402|   0.920 -2.471   |9.67     |~                 |    ~     ~    
1852|TYC 3966-738-1                                                        |Spectroscopic Binary           |21 27 56.8771735464 +53 19 01.397866584|095.3103492923107 +01.7288958106003|  -7.525 -6.509   |10.45    |~                 |    ~     ~    
1853|TYC 3966-744-1                                                        |Star                           |21 24 03.9036840696 +53 07 56.085629052|094.7639590235663 +02.0002969883332|  -2.779 -6.665   |10.19    |~                 |    ~     ~    
1854|TYC 3966-747-1                                                        |Star                           |21 22 30.9087427608 +53 41 58.250159772|094.9980843108415 +02.5663316900694|   -2.355 0.958   |10.27    |~                 |    ~     ~    
1855|TYC 3966-763-1                                                        |Star                           |21 28 18.4605955080 +54 05 48.478338528|095.8875310583723 +02.2562488507278|   22.019 8.860   |9.94     |~                 |    ~     ~    
1856|TYC 3966-843-1                                                        |Star                           |21 25 31.9899930168 +54 13 59.061245412|095.6893115182484 +02.6360591051322|  7.587 -11.543   |10.28    |~                 |    ~     ~    
1857|TYC 3966-845-1                                                        |Star                           |21 22 57.1837597632 +53 42 08.896478724|095.0462617555030 +02.5228253661636|   3.104 -2.836   |10.06    |~                 |    ~     ~    
1858|TYC 3966-883-1                                                        |Star                           |21 20 54.9412869072 +54 02 07.887494436|095.0685455447247 +02.9707344912923|  15.544 25.387   |10.68    |F8V               |    ~     ~    
1859|TYC 3966-905-1                                                        |Star                           |21 25 28.3587279384 +54 22 26.159975148|095.7812805740588 +02.7432039321491|  -9.571 -3.149   |10.72    |F7V               |    ~     ~    
1860|TYC 3966-915-1                                                        |Star                           |21 23 07.1134864824 +54 00 58.949288244|095.2845454899670 +02.7289101573591|   9.022 -8.953   |9.67     |~                 |    ~     ~    
1861|TYC 3966-925-1                                                        |Star                           |21 26 46.9071855888 +53 54 39.901907700|095.5969357477124 +02.2773016502766|-14.377 -28.986   |10.95    |~                 |    ~     ~    
1862|TYC 3966-1078-1                                                       |Star                           |21 27 28.6270652232 +53 26 56.684247468|095.3509109735171 +01.8728262645418|    2.855 1.260   |10.74    |F7V               |    ~     ~    
1863|TYC 3966-1131-1                                                       |Star                           |21 27 53.9601103344 +53 04 33.400571592|095.1384671357971 +01.5595792639553|  -4.581 -5.770   |10.59    |~                 |    ~     ~    
1864|TYC 3966-1158-1                                                       |High Proper Motion Star        |21 22 42.3654481152 +53 16 01.012007820|094.7135209026345 +02.2390908750352| 104.578 36.712   |10.22    |G0V               |    ~     ~    
1865|TYC 3966-1162-1                                                       |Star                           |21 28 23.8881328008 +53 14 50.074725480|095.3108633566247 +01.6319362812635|  46.957 13.468   |10.50    |G8V               |    ~     ~    
1866|TYC 3966-1215-1                                                       |Star                           |21 22 24.1801508808 +53 26 53.794192380|094.8091385371578 +02.3997061487203|  -5.509 -5.695   |10.21    |~                 |    ~     ~    
1867|TYC 3966-1329-1                                                       |Star                           |21 29 02.2139926944 +53 06 30.051933984|095.2845747585704 +01.4653189395164| -6.607 -12.176   |10.35    |~                 |    ~     ~    
1868|TYC 3966-1418-1                                                       |Star                           |21 26 36.7260733128 +52 55 08.333928552|094.8899486196957 +01.5804174325439| 20.212 -23.019   |10.6     |G8V               |    ~     ~    
1869|TYC 3966-1452-1                                                       |Star                           |21 28 37.7808553608 +53 20 06.172180260|095.3964907702422 +01.6716979817142|    9.025 8.307   |10.55    |~                 |    ~     ~    
1870|TYC 3970-113-1                                                        |High Proper Motion Star        |21 20 42.1878562464 +54 55 00.906100536|095.6724355674192 +03.6144210587969|  55.403 32.567   |10.17    |F9V               |    ~     ~    
1871|GSC 03970-00176                                                       |Double or Multiple Star        |21 20 14.7301575768 +54 33 07.995938616|095.3665071029374 +03.4043597011934|    2.782 2.875   |10.374   |~                 |    ~     ~    
1872|TYC 3970-265-1                                                        |High Proper Motion Star        |21 24 26.0361152784 +55 09 13.281513444|096.2195380151168 +03.4057355952427|  70.872 94.260   |10.83    |G0V               |    ~     ~    
1873|TYC 3970-297-1                                                        |Star                           |21 28 12.0272176680 +54 52 46.662161376|096.4172050891499 +02.8333660908868| -5.763 -22.977   |10.37    |G5V               |    ~     ~    
1874|TYC 3970-371-1                                                        |Star                           |21 25 16.7474837640 +55 25 18.310723896|096.4934885360402 +03.5132545203271|   1.347 -3.083   |10.97    |~                 |    ~     ~    
1875|TYC 3970-437-1                                                        |High Proper Motion Star        |21 21 42.1871628648 +54 43 04.205166636|095.6331562030578 +03.3718395802797|-27.672 -86.613   |10.48    |K3V               |    ~     ~    
1876|TYC 3970-467-1                                                        |Star                           |21 24 01.0980733248 +54 54 32.353863732|096.0052377033134 +03.2728564953084|   12.271 1.139   |10.78    |~                 |    ~     ~    
1877|TYC 3970-547-1                                                        |Star                           |21 27 58.2923239392 +54 32 53.945600604|096.1641331646310 +02.6166664999862|   0.884 -3.792   |10.58    |~                 |    ~     ~    
1878|TYC 3970-551-1                                                        |Star                           |21 27 53.6133014976 +54 31 11.092605888|096.1361824401734 +02.6038369490386|  12.310 16.194   |9.95     |~                 |    ~     ~    
1879|TYC 3970-613-1                                                        |Star                           |21 29 52.3506776040 +55 27 48.144723084|096.9930744733710 +03.0922311898857|   0.913 -2.576   |10.39    |~                 |    ~     ~    
1880|TYC 3970-649-1                                                        |Star                           |21 21 54.4313591544 +55 09 20.653615008|095.9639143073402 +03.6610251574313|  37.291 24.480   |10.67    |~                 |    ~     ~    
1881|TYC 3970-691-1                                                        |High Proper Motion Star        |21 28 21.8410784808 +55 03 15.859107108|096.5550366652807 +02.9435871353639|-79.698 -83.751   |9.90     |G6V               |    ~     ~    
1882|TYC 3970-717-1                                                        |Star                           |21 29 08.4922191192 +55 21 53.503126524|096.8498101816781 +03.0920230835009|  -3.569 -4.394   |10.64    |~                 |    ~     ~    
1883|TYC 3970-813-1                                                        |Star                           |21 27 39.5061212760 +54 57 27.617810940|096.4148840147647 +02.9435959397979|-22.995 -30.691   |10.78    |G2V               |    ~     ~    
1884|TYC 3970-941-1                                                        |Star                           |21 24 56.7339199416 +55 17 35.244137904|096.3694819325807 +03.4543325775294|   0.065 -0.408   |10.49    |~                 |    ~     ~    
1885|TYC 3970-1065-1                                                       |Star                           |21 26 30.3200779224 +54 35 17.828587572|096.0384683964041 +02.7927280292848|  -2.851 -6.464   |10.53    |~                 |    ~     ~    
1886|TYC 3970-1101-1                                                       |Star                           |21 23 39.8028930384 +55 01 45.601201956|096.0534516362472 +03.3943499793224|        6.8 0.3   |10.079   |~                 |    ~     ~    
1887|TYC 3970-1103-1                                                       |Star                           |21 21 40.3059627432 +55 13 19.380323784|095.9870552833017 +03.7316865728673| 15.352 -17.915   |10.51    |F7V               |    ~     ~    
1888|TYC 3970-1153-1                                                       |Star                           |21 21 12.1054465320 +54 23 55.783906404|095.3557118921514 +03.1976996039117|    4.040 1.731   |10.67    |~                 |    ~     ~    
1889|TYC 3970-1156-1                                                       |Star                           |21 27 02.6672712024 +55 41 45.348129312|096.8642411760685 +03.5363648057788|-29.755 -20.214   |10.71    |~                 |    ~     ~    
1890|TYC 3970-1161-1                                                       |Star                           |21 23 14.7484976664 +55 08 21.102713412|096.0881777426209 +03.5145094199360|  -5.447 -4.181   |10.29    |~                 |    ~     ~    
1891|TYC 3970-1182-1                                                       |Star                           |21 27 10.0711297464 +55 30 01.804680576|096.7409961661743 +03.3835178823333|  -4.124 -4.465   |10.51    |~                 |    ~     ~    
1892|TYC 3970-1253-1                                                       |Star                           |21 26 29.9027711376 +55 07 27.066906228|096.4106388482214 +03.1788041802343|-14.262 -17.207   |10.37    |~                 |    ~     ~    
1893|TYC 3970-1270-1                                                       |Star                           |21 26 23.6112735528 +55 33 13.217272200|096.6990125255961 +03.4978707890440|   19.195 8.507   |10.97    |~                 |    ~     ~    
1894|TYC 3970-1348-1                                                       |Star                           |21 23 16.4224260840 +54 58 27.037247592|095.9748010951935 +03.3943454911592|  -2.966 -3.995   |10.58    |~                 |    ~     ~    
1895|TYC 3970-1367-1                                                       |Star                           |21 27 12.3440999976 +54 29 33.056385936|096.0451751084042 +02.6532804716915|  -6.526 -8.854   |9.82     |~                 |    ~     ~    
1896|TYC 3970-1412-1                                                       |Star                           |21 26 47.8841297352 +54 24 23.083581924|095.9426630013061 +02.6323341523272| -2.950 -17.542   |10.75    |~                 |    ~     ~    
1897|TYC 3970-1531-1                                                       |High Proper Motion Star        |21 29 42.5277213744 +54 45 51.918117876|096.4954625741907 +02.6002189085508| 45.052 -33.300   |10.50    |G9V               |    ~     ~    
1898|TYC 3970-1555-1                                                       |Star                           |21 24 34.0743865776 +54 26 18.934789128|095.7321513265886 +02.8814210413380|   4.241 -0.189   |10.89    |~                 |    ~     ~    
1899|TYC 3970-1587-1                                                       |Star                           |21 26 51.9737804832 +54 26 25.894534092|095.9735053927248 +02.6500210444155|  -2.006 -5.678   |10.51    |~                 |    ~     ~    
1900|BD+53 2625                                                            |Double or Multiple Star        |21 26 10.302000 +54 32 44.96316        |095.974112491 +02.795818461        |       0.5 -4.9   |10.58    |G8V               |    ~     ~    
1901|HD 239620                                                             |Star                           |21 16 01.8163153584 +57 24 56.787453216|097.0113692999191 +05.8249529797162|    5.729 9.021   |9.63     |A0                |    ~     ~    
1902|HD 203026                                                             |Star                           |21 17 27.9823435944 +56 45 46.643932692|096.6748330058782 +05.2316445369096|   7.325 -6.130   |7.53     |B8                |    ~     ~    
1903|HD 203110                                                             |Star                           |21 17 56.7610892160 +57 20 19.395526200|097.1356794783747 +05.5855738219083|    4.803 5.353   |8.61     |A0                |    ~     ~    
1904|HD 203763                                                             |Chemically Peculiar Star       |21 22 09.4369741728 +56 40 49.099546200|097.0688790911591 +04.7151291845458|  -0.898 -9.502   |9.12     |A4:pSrCrEu        |    ~     ~    
1905|HD 203838                                                             |Star                           |21 22 34.6700791512 +56 48 59.177324808|097.2063098120703 +04.7707837435821|  20.396 10.606   |8.37     |G5                |    ~     ~    
1906|HD 239629                                                             |Star                           |21 19 02.6738364336 +56 14 51.717076584|096.4569189098670 +04.7161187197878| 13.817 -10.104   |10.68    |F8                |    ~     ~    
1907|HD 203468                                                             |Star                           |21 20 16.3356081504 +56 29 43.116812520|096.7536395828515 +04.7686679407483|  27.711 21.328   |7.78     |K0                |    ~     ~    
1908|HD 203591                                                             |Star                           |21 21 05.3834706 +56 32 30.148420      |096.8663414860 +04.7212473104      |    -1.91 -4.89   |7.59     |A0                |    ~     ~    
1909|HD 239642                                                             |Star                           |21 22 20.5583844288 +56 24 58.288833072|096.8998300889939 +04.5101511160064|   13.175 9.907   |9.50     |A5                |    ~     ~    
1910|HD 239644                                                             |Pulsating Variable             |21 22 34.7706901056 +56 30 47.577594348|096.9917770314033 +04.5557868362568|  -3.282 -3.685   |9.39     |B3                |    ~     ~    
1911|V* V424 Cep                                                           |Eclipsing Binary               |21 24 23.2529034672 +56 21 41.621710464|097.0629776747015 +04.2722286503271|  -3.705 -2.472   |8.85     |B5                |    ~     ~    
1912|HD 239654                                                             |High Proper Motion Star        |21 24 27.6677760096 +56 15 10.019547684|096.9938293193607 +04.1874855808699|  82.178 10.140   |9.11     |G0                |    ~     ~    
1913|HD 239665                                                             |Spectroscopic Binary           |21 26 14.4814162584 +56 15 35.577306864|097.1761653548402 +04.0198804384780|  22.534 17.233   |9.49     |A3                |    ~     ~    
1914|HD 202987                                                             |Star                           |21 17 14.2473299064 +55 47 52.805982876|095.9570067187300 +04.5830699175497|  16.822 13.546   |5.975    |K3III             |    ~     ~    
1915|HD 239628                                                             |Star                           |21 18 43.1350269696 +55 38 20.855172264|095.9888548379321 +04.3227786199086|-21.966 -29.974   |9.65     |F2                |    ~     ~    
1916|HD 203377                                                             |High Proper Motion Star        |21 19 44.2577493816 +56 12 00.846050508|096.4906937814104 +04.6141454715450|  50.471 58.060   |7.95     |K0                |    ~     ~    
1917|HD 239634                                                             |Star                           |21 20 25.4291684784 +55 39 31.842065304|096.1721793108304 +04.1652782403758|  -6.107 -7.257   |9.79     |A3                |    ~     ~    
1918|HD 239640                                                             |Star                           |21 21 55.8992671368 +55 39 22.209459300|096.3207374394218 +04.0127241794110| -2.053 -28.817   |9.81     |F0                |    ~     ~    
1919|HD 203781                                                             |Star                           |21 22 18.7518626736 +55 37 11.885648376|096.3332572466081 +03.9491404925169|  -5.849 -4.017   |8.26     |K2                |    ~     ~    
1920|HD 203883                                                             |Star                           |21 22 54.6908965248 +55 39 01.383043356|096.4148413305671 +03.9111270941121|  -4.077 -3.880   |8.73     |B8V               |    ~     ~    
1921|HD 203917                                                             |Star                           |21 23 04.4191523928 +55 45 28.107314820|096.5069100844735 +03.9713336976401|  35.720 34.480   |8.13     |K5                |    ~     ~    
1922|HD 239647                                                             |Star                           |21 23 32.5631628480 +55 43 44.258434968|096.5336116630252 +03.9044025270670|    4.718 0.857   |10.13    |A0                |    ~     ~    
1923|HD 239648                                                             |Star                           |21 23 34.7908273032 +55 46 48.953059680|096.5734712290375 +03.9372359418691|   1.719 -5.708   |9.57     |F8                |    ~     ~    
1924|HD 204115                                                             |Star                           |21 24 25.0025546136 +56 05 40.263285696|096.8782148075943 +04.0789086385978|   5.650 -0.472   |7.81     |A0                |    ~     ~    
1925|HD 239660                                                             |Star                           |21 25 13.1613240216 +55 52 38.336743272|096.8062682049525 +03.8451890642870|    2.514 0.502   |9.58     |K7                |    ~     ~    
1926|HD 239670                                                             |Star                           |21 26 59.6531861832 +56 11 00.025207692|097.1982068905968 +03.8921085078711|    9.969 7.453   |9.47     |A2                |    ~     ~    
1927|HD 202642                                                             |Double or Multiple Star        |21 15 09.7745453 +55 30 34.885441      |095.5450494373 +04.5940125709      |      8.98 6.05   |8.12     |A0                |0.0050  0.0    
1928|V* V736 Cep                                                           |Eclipsing Binary               |21 16 29.1133033896 +55 23 10.225062132|095.5859281696655 +04.3732241916619|   16.067 4.712   |9.851    |F8                |    ~     ~    
1929|HD 202877                                                             |Star                           |21 16 42.1736968320 +54 51 07.365302208|095.2223950997251 +03.9797702081327|  11.771 11.589   |8.50     |G5                |    ~     ~    
1930|HD 235479                                                             |Star                           |21 16 57.9288723144 +55 05 10.643359524|095.4174158440298 +04.1155883626841|  16.577 -3.612   |9.06     |F0                |    ~     ~    
1931|HD 202970                                                             |Star                           |21 17 14.8382946984 +55 03 31.645965420|095.4257689213593 +04.0674842416283|   11.550 9.715   |7.90     |A2                |    ~     ~    
1932|HD 203094                                                             |Star                           |21 18 01.4631804312 +55 16 10.725024180|095.6548752171128 +04.1349638573884| -2.651 -10.641   |8.32     |A0                |    ~     ~    
1933|HD 203168                                                             |Star                           |21 18 30.3125692104 +55 05 07.417409136|095.5708404951905 +03.9571048238747|-11.812 -19.763   |8.65     |A2                |    ~     ~    
1934|HD 235493                                                             |Star                           |21 20 53.6949029880 +55 31 19.673789448|096.1219089452334 +04.0217310012974|  24.903 29.749   |9.93     |F2                |    ~     ~    
1935|HD 235494                                                             |Spectroscopic Binary           |21 20 55.4217811872 +55 24 31.747797792|096.0442555748214 +03.9389334564009| 18.630 -12.723   |9.65     |F2                |    ~     ~    
1936|HD 235501                                                             |Star                           |21 21 41.8923657336 +55 25 26.831763156|096.1329085699395 +03.8719246563640|  -1.641 -1.355   |9.39     |F2                |    ~     ~    
1937|HD 235509                                                             |Star                           |21 24 21.8573355624 +55 36 22.809553236|096.5301038569277 +03.7357509232599|  11.796 -1.324   |9.18     |A7                |    ~     ~    
1938|V* FZ Cep                                                             |Long-Period Variable           |21 19 42.7748309160 +55 27 00.257545620|095.9524670349992 +04.0899895019189|   18.984 5.270   |7.32     |M6III             |    ~     ~    
1939|BD+54 2511                                                            |Long-Period Variable Candidate |21 18 18.4366931376 +55 15 38.258025012|095.6766259243143 +04.0998285525533|   -2.436 0.438   |10.52    |M6                |    ~     ~    
1940|IRAS 21141+5431                                                       |Star                           |21 15 38.7831628272 +54 43 46.447201560|095.0280603275904 +04.0044417239668| -15.375 13.655   |9.94     |~                 |    ~     ~    
1941|IRAS 21147+5611                                                       |Star                           |21 16 14.5683861648 +56 24 34.521099084|096.3020485161782 +05.1075367423384|   14.974 5.208   |9.51     |~                 |    ~     ~    
1942|IRAS 21164+5613                                                       |Star                           |21 17 55.7354420592 +56 26 30.991663068|096.4880414963400 +04.9624118359536|   -0.753 1.020   |10.15    |~                 |    ~     ~    
1943|IRAS 21184+5559                                                       |Star                           |21 19 56.4294966480 +56 12 20.998309536|096.5145623070452 +04.5979855332020|  -5.557 -4.530   |10.56    |~                 |    ~     ~    
1944|IRAS 21265+5545                                                       |Star                           |21 28 03.1024847640 +55 58 08.481504252|097.1559855144139 +03.6353479952873|   0.222 -1.241   |10.99    |M                 |    ~     ~    
1945|Cl Trumpler 37 323                                                    |Star                           |21 16 13.6955001408 +57 16 30.825150060|096.9279369559690 +05.7084390182449|  -3.159 -3.817   |10.52    |B8                |    ~     ~    
1946|Cl Trumpler 37 77                                                     |Star                           |21 18 08.9342191200 +56 57 23.214416076|096.8795136920868 +05.2994638727583|-12.424 -12.608   |10.36    |G5                |    ~     ~    
1947|Cl Trumpler 37 332                                                    |Star                           |21 18 39.1064275464 +57 13 30.309192552|097.1206653617766 +05.4379787931819|  -3.302 -2.823   |10.68    |B8                |    ~     ~    
1948|Cl Trumpler 37 79                                                     |Star                           |21 18 37.7537606208 +56 58 17.167117188|096.9361719233913 +05.2630326492060|  7.759 -20.372   |10.92    |G0                |    ~     ~    
1949|IRAS 21142+5725                                                       |Star                           |21 15 40.5924363984 +57 38 10.680339372|097.1386640783919 +06.0116462666699| -18.601 -5.532   |10.40    |K5                |    ~     ~    
1950|BD+56 2555                                                            |Star                           |21 19 03.1767713184 +56 59 10.251119796|096.9872795285085 +05.2320554401383|  10.318 17.214   |10.19    |A5                |    ~     ~    
1951|BD+56 2556                                                            |Star                           |21 19 14.9499595800 +57 13 51.437550360|097.1816440942009 +05.3842714555276|    2.992 1.419   |10.27    |A2                |    ~     ~    
1952|BD+56 2553                                                            |Star                           |21 17 54.2554555368 +56 48 07.385845824|096.7449401705133 +05.2158143651579|  -1.278 -2.060   |9.98     |G+A               |    ~     ~    
