C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:33:29

dec >=0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3147

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+78 549                                                                                                                                   |Star                                |16 09 24.2514725280 +78 06 56.823747876|111.9903942669928 +34.4204218671665| -31.481 12.187  |9.63     |F5             |    ~     ~          |    1|  189.347   pc  |  -0.4553     +0.4553  |paral   |2020yCat.1350....0G
23  |TYC 4571-243-1                                                                                                                              |Star                                |16 11 25.2155583624 +77 50 19.279871916|111.6413922574779 +34.4910526816403|   1.833 -3.418  |10.17    |~              |    ~     ~          |    1|  814.730   pc  |  -7.6335     +7.6335  |paral   |2020yCat.1350....0G
24  |TYC 4571-350-1                                                                                                                              |Star                                |16 12 42.3625837440 +77 44 50.904025332|111.5035349685408 +34.4857113020591|  -7.385 10.394  |10.40    |~              |    ~     ~          |    1|  461.233   pc  |  -2.9145     +2.9145  |paral   |2020yCat.1350....0G
25  |TYC 4571-387-1                                                                                                                              |Star                                |16 13 29.7170851584 +78 28 57.326524536|112.2143260373118 +34.0418966453670| -1.916 -11.184  |10.69    |~              |    ~     ~          |    1|  739.973   pc  |  -7.0088     +7.0088  |paral   |2020yCat.1350....0G
26  |TYC 4575-17-1                                                                                                                               |Star                                |16 04 46.0324809456 +78 45 34.496122320|112.7877076733891 +34.2336848899577|  0.276 -10.775  |10.58    |~              |    ~     ~          |    1| 1376.084   pc  | -21.0190    +21.0190  |paral   |2020yCat.1350....0G
27  |TYC 4575-31-1                                                                                                                               |Star                                |16 10 22.0714873800 +78 48 01.768277448|112.6356015890078 +33.9886697727537|  3.832 -37.402  |10.77    |~              |    ~     ~          |    1|  326.808   pc  |  -1.0253     +1.0253  |paral   |2020yCat.1350....0G
28  |TYC 4575-89-1                                                                                                                               |Star                                |16 11 47.2780054656 +79 01 16.260981528|112.8066486006816 +33.8064321500934|  -0.610 21.537  |10.90    |~              |    ~     ~          |    1|  310.607   pc  |  -1.0034     +1.0034  |paral   |2020yCat.1350....0G
29  |TYC 4575-93-1                                                                                                                               |Star                                |16 07 55.9348740720 +79 06 04.422666600|113.0125754631027 +33.9094906079709|  -3.279 12.722  |10.23    |~              |    ~     ~          |    1|  751.823   pc  |  -6.4437     +6.4437  |paral   |2020yCat.1350....0G
30  |TYC 4575-124-1                                                                                                                              |Star                                |16 08 30.5643353640 +80 10 29.625411972|114.0364593500363 +33.2568946902136|    1.505 0.519  |10.56    |~              |    ~     ~          |    1|  909.422   pc  |  -8.4359     +8.4359  |paral   |2020yCat.1350....0G
31  |TYC 4575-198-1                                                                                                                              |Spectroscopic Binary                |16 13 03.3787539192 +79 23 45.059963568|113.1362013746201 +33.5443535190330| -13.723 27.036  |10.76    |~              |    ~     ~          |    1|  305.055   pc  |  -1.9263     +1.9263  |paral   |2020yCat.1350....0G
32  |TYC 4575-313-1                                                                                                                              |Star                                |16 10 36.3803146896 +79 46 44.296651128|113.5884303563560 +33.4149103543339|  8.528 -23.453  |10.66    |~              |    ~     ~          |    1|  255.389   pc  |  -7.0767     +7.0767  |paral   |2020yCat.1350....0G
33  |TYC 4575-412-1                                                                                                                              |Spectroscopic Binary                |16 11 15.2297130672 +80 25 41.146267872|114.2001900650635 +33.0146757200892|   8.028 -2.754  |10.74    |~              |    ~     ~          |    1|  478.446   pc  |  -2.6783     +2.6783  |paral   |2020yCat.1350....0G
34  |TYC 4575-448-1                                                                                                                              |Star                                |16 13 24.0564535440 +80 34 13.461763440|114.2772035722994 +32.8600016591545|   -6.553 4.724  |10.76    |~              |    ~     ~          |    1| 1015.538   pc  | -11.0351    +11.0351  |paral   |2020yCat.1350....0G
35  |HD 146637                                                                                                                                   |Star                                |16 00 02.4704982216 +83 24 14.758921800|117.2637286779823 +31.4993514897940|  -10.071 9.100  |7.34     |G5             |    ~     ~          |    1|  332.138   pc  |  -1.6437     +1.6437  |paral   |2020yCat.1350....0G
36  |BD+83 470                                                                                                                                   |Star                                |16 01 08.3226657264 +83 29 12.061892112|117.3143750041592 +31.4223140616570|   4.036 -4.062  |10.46    |G0             |    ~     ~          |    1|  462.193   pc  |  -2.8198     +2.8198  |paral   |2020yCat.1350....0G
37  |BD+83 471                                                                                                                                   |Star                                |16 03 11.2036623648 +83 24 56.872260936|117.2067524098916 +31.4224119997728|  13.024 -0.468  |10.64    |G5             |    ~     ~          |    1|  378.630   pc  |  -1.5913     +1.5913  |paral   |2020yCat.1350....0G
38  |BD+83 472                                                                                                                                   |Star                                |16 05 35.0197170888 +83 25 44.038911288|117.1681362745233 +31.3607944246373|  17.650 -2.496  |10.83    |~              |    ~     ~          |    1|  410.796   pc  |  -1.7382     +1.7382  |paral   |2020yCat.1350....0G
39  |BD+83 473                                                                                                                                   |Star                                |16 07 13.1011667904 +83 01 07.973225616|116.7559893850738 +31.5772789011632|  -2.166 -9.078  |10.35    |A5             |    ~     ~          |    1|  474.766   pc  | -12.0140    +12.0140  |paral   |2020yCat.1350....0G
