C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:33:29

dec >=0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3147

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------------|-----|----------------|-----------------------|--------|-------------------
888 |HD 144014                                                                                                                                   |Star                                |16 01 48.7389008928 +43 28 23.619679680|068.9219729286780 +48.5282770870446|-10.449 -25.805  |8.50     |K0             |    ~     ~          |    1|  213.840   pc  |  -0.7408     +0.7408  |paral   |2020yCat.1350....0G
889 |HD 144128                                                                                                                                   |High Proper Motion Star             |16 02 29.1811841640 +43 24 34.542667332|068.8041791070894 +48.4146117638240|  0.686 -59.984  |9.47     |A0             |    ~     ~          |    1|  427.423   pc  |  -3.3250     +3.3250  |paral   |2020yCat.1350....0G
890 |HD 144207                                                                                                                                   |Spectroscopic Binary                |16 02 51.2335117560 +43 02 23.168631948|068.2391749700109 +48.3910604268528| -28.879 12.178  |8.94     |F2             |    ~     ~          |    1|  196.916   pc  |  -2.4855     +2.4855  |paral   |2020yCat.1350....0G
891 |BD+43 2560                                                                                                                                  |Star                                |16 04 15.9446633112 +43 24 51.155238672|068.7540982921372 +48.0931523652316|  38.665 28.337  |10.08    |F8             |    ~     ~          |    1|  162.858   pc  |  -0.3156     +0.3156  |paral   |2020yCat.1350....0G
892 |BD+43 2561                                                                                                                                  |Star                                |16 04 34.4441746032 +43 19 01.710717384|068.6002909463632 +48.0484371579011| 25.502 -18.115  |10.16    |F8             |    ~     ~          |    1|  247.525   pc  |  -0.7597     +0.7597  |paral   |2020yCat.1350....0G
893 |BD+43 2563                                                                                                                                  |Star                                |16 05 29.6809391808 +43 20 00.986559396|068.5972006522718 +47.8802129541189|   0.760 -4.024  |10.66    |K0             |    ~     ~          |    1| 1336.720   pc  | -20.3697    +20.3697  |paral   |2020yCat.1350....0G
894 |BD+43 2564                                                                                                                                  |Star                                |16 06 55.1843044440 +42 49 05.155389300|067.7947697123859 +47.6736132831448| -12.406 21.041  |10.37    |F5             |    ~     ~          |    1|  318.827   pc  |  -1.4841     +1.4841  |paral   |2020yCat.1350....0G
895 |BD+43 2565                                                                                                                                  |Long-Period Variable                |16 07 09.1474894320 +42 47 33.550608804|067.7512323640139 +47.6334962349328|-19.353 -30.065  |9.84     |K5             |    ~     ~          |    1| 2311.604   pc  | -65.1909    +65.1909  |paral   |2020yCat.1350....0G
896 |BD+43 2566                                                                                                                                  |Star                                |16 07 10.1635163136 +43 06 09.546050880|068.2085585578478 +47.6007026704114| -5.846 -18.426  |10.33    |G0             |    ~     ~          |    1|  218.302   pc  |  -0.8340     +0.8340  |paral   |2020yCat.1350....0G
897 |HD 144871                                                                                                                                   |High Proper Motion Star             |16 06 09.5754444000 +42 12 42.064358400|066.9148110048609 +47.8674817584612|-126.000 -37.534 |9.46     |G5             |    ~     ~          |    1|   85.497   pc  |  -0.0870     +0.0870  |paral   |2020yCat.1350....0G
898 |HD 146099                                                                                                                                   |High Proper Motion Star             |16 12 43.1554412712 +43 38 58.502826852|068.8677805599192 +46.5449594277793|  118.169 2.731  |8.13     |F8             |    ~     ~          |    1|   74.870   pc  |  -0.0863     +0.0863  |paral   |2020yCat.1350....0G
899 |HD 145513                                                                                                                                   |Star                                |16 09 30.0606303120 +43 06 36.469637568|068.1598560906217 +47.1763463124117| -7.160 -41.912  |8.41     |G5             |    ~     ~          |    1|  398.200   pc  |  -2.7431     +2.7431  |paral   |2020yCat.1350....0G
900 |BD+43 2569                                                                                                                                  |Star                                |16 10 09.3745130568 +43 34 53.793479820|068.8327697799469 +47.0131941262179|  -9.847 -0.952  |9.34     |K5             |    ~     ~          |    1|  887.469   pc  | -10.3963    +10.3963  |paral   |2020yCat.1350....0G
901 |BD+43 2570                                                                                                                                  |Star                                |16 10 21.1663088736 +42 47 10.894331400|067.6660296070175 +47.0491690593802|   -0.592 9.300  |9.82     |A2             |    ~     ~          |    1|  456.184   pc  |  -2.8094     +2.8094  |paral   |2020yCat.1350....0G
902 |HD 145728                                                                                                                                   |Star                                |16 10 39.6710057544 +42 47 02.101186896|067.6556636190644 +46.9929726686771|   6.762 -5.038  |7.63     |F2             |    ~     ~          |    1|  172.090   pc  |  -0.5301     +0.5301  |paral   |2020yCat.1350....0G
903 |BD+43 2573                                                                                                                                  |Star                                |16 10 49.5025803816 +42 48 38.723344956|067.6912875625839 +46.9608309688762|  0.008 -32.562  |9.09     |G5             |    ~     ~          |    1|  447.507   pc  |  -2.5233     +2.5233  |paral   |2020yCat.1350....0G
904 |HD 145801                                                                                                                                   |Star                                |16 10 59.2840798392 +43 03 18.031331124|068.0441156078427 +46.9107452763274| -24.611 26.931  |7.35     |K0             |    ~     ~          |    1|  161.802   pc  |  -0.4006     +0.4006  |paral   |2020yCat.1350....0G
905 |HD 146024                                                                                                                                   |Star                                |16 12 12.5415594648 +43 01 30.974878956|067.9737554442672 +46.6908939197319|   4.716 -8.528  |9.77     |F0             |    ~     ~          |    1|  356.100   pc  |  -8.3820     +8.3820  |paral   |2020yCat.1350....0G
906 |BD+43 2577                                                                                                                                  |Star                                |16 12 17.8419101976 +43 11 36.468677220|068.2161290165583 +46.6609999532830|-19.224 -42.843  |9.99     |F8             |    ~     ~          |    1|  209.996   pc  |  -0.4763     +0.4763  |paral   |2020yCat.1350....0G
907 |HD 146045                                                                                                                                   |Star                                |16 12 21.4941286944 +42 59 19.176704196|067.9173765880831 +46.6666405832873|    0.893 2.058  |8.62     |K5             |    ~     ~          |    1|  666.178   pc  |  -8.0327     +8.0327  |paral   |2020yCat.1350....0G
908 |HD 146210                                                                                                                                   |High Proper Motion Star             |16 13 11.9107448232 +42 44 16.674644292|067.5365402589026 +46.5321593478044|-37.643 125.790  |9.50     |G              |    ~     ~          |    1|  116.794   pc  |  -0.1678     +0.1678  |paral   |2020yCat.1350....0G
909 |BD+42 2680                                                                                                                                  |High Proper Motion Star             |16 10 05.8500928392 +42 25 15.342985596|067.1365004484894 +47.1250060294375| -30.345 44.215  |10.75    |G0             |    ~     ~          |    1|  323.897   pc  |  -1.1435     +1.1435  |paral   |2020yCat.1350....0G
910 |BD+42 2681                                                                                                                                  |Star                                |16 10 37.7709645768 +42 16 59.009060964|066.9238768004068 +47.0372226588536| -22.799 34.490  |9.67     |F2             |    ~     ~          |    1|  177.239   pc  |  -0.9613     +0.9613  |paral   |2020yCat.1350....0G
911 |HD 145931                                                                                                                                   |Star                                |16 11 47.5988226144 +42 22 28.439558004|067.0351292753863 +46.8161622707751|  -7.745 23.540  |5.868    |K4III          |    ~     ~          |    1|  232.818   pc  |  -6.5858     +6.5858  |paral   |2020yCat.1350....0G
912 |HD 145931B                                                                                                                                  |Star                                |16 11 49.0616935224 +42 22 45.432767100|067.0415482008854 +46.8113395603667|  -8.124 23.205  |10.18    |~              |    ~     ~          |    1|  225.240   pc  |  -0.5073     +0.5073  |paral   |2020yCat.1350....0G
913 |HD 146431                                                                                                                                   |Star                                |16 14 30.4427595912 +42 02 27.216116628|066.5047596823434 +46.3355191308757| -0.794 -11.622  |8.82     |G5             |    ~     ~          |    1|  494.878   pc  | -26.5231    +26.5231  |paral   |2020yCat.1350....0G
914 |HD 145586                                                                                                                                   |Star                                |16 10 00.5261912064 +41 49 22.894950504|066.2611911770087 +47.1838319017348|   3.695 -9.150  |9.29     |G0             |    ~     ~          |    1|  287.307   pc  |  -1.3785     +1.3785  |paral   |2020yCat.1350....0G
915 |V* V891 Her                                                                                                                                 |Long-Period Variable Candidate      |16 11 37.6594464384 +41 50 34.923036156|066.2625542977125 +46.8816156983119|  9.932 -38.851  |8.68     |~              |    ~     ~          |    1|  553.833   pc  |  -6.0426     +6.0426  |paral   |2020yCat.1350....0G
916 |TYC 3064-452-1                                                                                                                              |Spectroscopic Binary                |16 08 40.7052624192 +42 20 24.552797820|067.0479280959510 +47.3925653829759| -14.236 20.818  |10.85    |~              |    ~     ~          |    1|  194.640   pc  |  -5.0614     +5.0614  |paral   |2020yCat.1350....0G
917 |HD 143760                                                                                                                                   |Star                                |16 00 28.5437285592 +42 59 24.519083208|068.2405300938987 +48.8285955887525| -15.962 18.181  |8.85     |G5             |    ~     ~          |    1|  604.814   pc  |  -5.0846     +5.0846  |paral   |2020yCat.1350....0G
918 |HD 143989                                                                                                                                   |Star                                |16 01 45.4379430360 +42 50 34.258284240|067.9777239733487 +48.6125174125529|  -0.654 -8.892  |8.58     |F5             |    ~     ~          |    1|  192.519   pc  |  -0.5115     +0.5115  |paral   |2020yCat.1350....0G
919 |BD+43 2553                                                                                                                                  |Star                                |16 01 50.4289855176 +42 43 00.330758724|067.7856281315234 +48.6112671672825| -15.506 16.101  |10.03    |G0             |    ~     ~          |    1|  111.764   pc  |  -0.2836     +0.2836  |paral   |2020yCat.1350....0G
920 |HD 144249                                                                                                                                   |Star                                |16 03 06.9347790648 +42 37 00.961373172|067.5983515368086 +48.3887638344634|    3.247 0.269  |8.84     |G5             |    ~     ~          |    1|  340.657   pc  |  -1.6943     +1.6943  |paral   |2020yCat.1350....0G
921 |BD+42 2669                                                                                                                                  |Star                                |16 04 34.8694625688 +42 13 37.175924928|066.9759522348504 +48.1572478675553|  3.502 -14.459  |10.68    |K2             |    ~     ~          |    1|  631.912   pc  |  -4.4324     +4.4324  |paral   |2020yCat.1350....0G
922 |HD 144681                                                                                                                                   |Star                                |16 05 23.0764048344 +42 01 35.915799432|066.6576846913717 +48.0263237101875|  4.019 -28.323  |8.31     |K0             |    ~     ~          |    1|  314.743   pc  |  -2.8332     +2.8332  |paral   |2020yCat.1350....0G
923 |TYC 3064-208-1                                                                                                                              |Star                                |16 07 32.4176872584 +42 28 42.158543772|067.2774625271683 +47.5905194134079|   5.522 -3.104  |9.98     |~              |    ~     ~          |    1|  789.889   pc  |  -7.4247     +7.4247  |paral   |2020yCat.1350....0G
924 |TYC 3064-629-1                                                                                                                              |Star                                |16 07 22.4282526624 +41 40 30.839906100|066.0927790567295 +47.6842337928767|   -6.237 7.016  |10.70    |~              |    ~     ~          |    1| 1586.043   pc  | -28.4255    +28.4255  |paral   |2020yCat.1350....0G
925 |TYC 3064-1582-1                                                                                                                             |Spectroscopic Binary                |16 09 17.5593370464 +41 48 18.309018024|066.2478780522251 +47.3181611566627|   0.130 40.695  |10.38    |~              |    ~     ~          |    1|  153.671   pc  |  -1.0060     +1.0060  |paral   |2020yCat.1350....0G
926 |TYC 3065-1427-1                                                                                                                             |Star                                |16 13 48.8349948024 +41 49 47.556449832|066.2094108845363 +46.4758195369291|   -5.239 1.256  |10.80    |~              |    ~     ~          |    1|  304.312   pc  |  -0.9631     +0.9631  |paral   |2020yCat.1350....0G
927 |TYC 3067-449-1                                                                                                                              |Star                                |16 09 15.1803786792 +43 38 31.967896200|068.9453242103821 +47.1698155796424|  -18.729 3.724  |10.51    |~              |    ~     ~          |    1|  202.253   pc  |  -1.2722     +1.2722  |paral   |2020yCat.1350....0G
928 |TYC 3067-461-1                                                                                                                              |Star                                |16 04 48.8763425352 +43 51 21.476463048|069.3924595039878 +47.9425414261775|  4.053 -16.610  |10.28    |~              |    ~     ~          |    1|  310.723   pc  |  -1.1103     +1.1103  |paral   |2020yCat.1350....0G
929 |TYC 3067-471-1                                                                                                                              |Star                                |16 10 34.6046281632 +43 21 36.583529580|068.4989914624754 +46.9582987690796|  1.854 -10.200  |10.35    |~              |    ~     ~          |    1|  253.775   pc  |  -0.7921     +0.7921  |paral   |2020yCat.1350....0G
930 |TYC 3067-520-1                                                                                                                              |Star                                |16 08 21.9123188856 +43 55 14.255939964|069.3780740172302 +47.2996353373112|-40.593 -25.970  |10.47    |~              |    ~     ~          |    1|  221.739   pc  |  -0.6589     +0.6589  |paral   |2020yCat.1350....0G
931 |TYC 3067-579-1                                                                                                                              |Star                                |16 02 59.8938716304 +43 23 27.850822836|068.7597956902945 +48.3245067733000|  5.921 -22.818  |10.40    |~              |    ~     ~          |    1|   85.742   pc  |  -0.1404     +0.1404  |paral   |2020yCat.1350....0G
932 |TYC 3067-723-1                                                                                                                              |Star                                |16 11 28.6877819904 +42 56 05.617821012|067.8580967336408 +46.8314662732631|   -6.836 9.133  |10.46    |~              |    ~     ~          |    1|  281.730   pc  |  -0.8652     +0.8652  |paral   |2020yCat.1350....0G
933 |TYC 3067-753-1                                                                                                                              |Star                                |16 08 18.6299522928 +43 47 27.489313608|069.1895670296798 +47.3235720923560|  22.426 -7.909  |10.98    |~              |    ~     ~          |    1|  160.935   pc  |  -3.2893     +3.2893  |paral   |2020yCat.1350....0G
934 |TYC 3067-811-1                                                                                                                              |Star                                |16 05 41.1715268160 +43 28 33.496685688|068.8023942971744 +47.8300149684297|  -25.511 3.596  |10.66    |~              |    ~     ~          |    1|  274.394   pc  |  -1.0917     +1.0917  |paral   |2020yCat.1350....0G
935 |TYC 3067-845-1                                                                                                                              |High Proper Motion Star             |16 08 45.9605731512 +44 05 54.137742504|069.6265269144789 +47.2082658710962| -40.835 72.246  |10.59    |~              |    ~     ~          |    1|  209.881   pc  |  -0.5022     +0.5022  |paral   |2020yCat.1350....0G
936 |TYC 3067-886-1                                                                                                                              |Star                                |16 01 55.5915694152 +43 07 16.687487460|068.3905323136600 +48.5499689864223|  -18.322 7.759  |10.78    |~              |    ~     ~          |    1|  263.706   pc  |  -0.8275     +0.8275  |paral   |2020yCat.1350....0G
937 |TYC 3067-921-1                                                                                                                              |Star                                |16 04 46.4265866520 +42 49 22.822182300|067.8593936140117 +48.0647565406093|    8.561 2.079  |10.87    |~              |    ~     ~          |    1|  483.536   pc  |  -2.6420     +2.6420  |paral   |2020yCat.1350....0G
938 |TYC 3067-941-1                                                                                                                              |Star                                |16 06 14.9536868928 +43 10 15.682191888|068.3347548459886 +47.7608117959003| 17.624 -16.526  |10.97    |~              |    ~     ~          |    1|  139.762   pc  |  -0.2696     +0.2696  |paral   |2020yCat.1350....0G
939 |TYC 3067-1187-1                                                                                                                             |Star                                |16 00 17.9427816168 +43 34 29.434652832|069.1274850536226 +48.7873992248985|  -18.918 8.678  |10.93    |~              |    ~     ~          |    1|  438.520   pc  |  -2.8653     +2.8653  |paral   |2020yCat.1350....0G
940 |TYC 3067-1246-1                                                                                                                             |Red Giant Branch star               |16 05 04.1292465552 +43 33 40.463995104|068.9475206861543 +47.9316201171917| -10.307 -4.020  |10.31    |~              |    ~     ~          |    1| 1099.868   pc  | -14.2746    +14.2746  |paral   |2020yCat.1350....0G
941 |TYC 3067-1490-1                                                                                                                             |Star                                |16 07 35.3620747104 +42 44 39.568453908|067.6689588985424 +47.5580845011989| -8.984 -10.685  |10.29    |~              |    ~     ~          |    1|  367.674   pc  |  -2.4198     +2.4198  |paral   |2020yCat.1350....0G
942 |TYC 3067-1534-1                                                                                                                             |High Proper Motion Star             |16 10 26.7834927048 +42 44 08.332637316|067.5898002001201 +47.0361892256657|  7.823 -50.113  |10.90    |~              |    ~     ~          |    1|  270.080   pc  |  -0.8388     +0.8388  |paral   |2020yCat.1350....0G
943 |TYC 3067-1547-1                                                                                                                             |Star                                |16 12 40.7583230400 +42 40 07.644212292|067.4462262827007 +46.6323137042042|  -7.753 -6.608  |10.81    |~              |    ~     ~          |    1| 1391.401   pc  | -23.8128    +23.8128  |paral   |2020yCat.1350....0G
944 |TYC 3067-1612-1                                                                                                                             |Star                                |16 02 40.7399811288 +43 16 41.678468652|068.6014544953435 +48.3954310507669| -6.675 -10.139  |10.71    |~              |    ~     ~          |    1| 1548.467   pc  | -23.7377    +23.7377  |paral   |2020yCat.1350....0G
945 |TYC 3067-1635-1                                                                                                                             |Star                                |16 02 13.0495989024 +42 44 47.386179744|067.8189347137144 +48.5392129332099|  4.464 -12.188  |10.94    |~              |    ~     ~          |    1| 1221.896   pc  | -24.1871    +24.1871  |paral   |2020yCat.1350....0G
946 |TYC 3067-1644-1                                                                                                                             |High Proper Motion Star             |16 12 24.6268272480 +43 16 54.117976260|068.3416771486769 +46.6330456177844|-25.681 -50.242  |9.92     |~              |    ~     ~          |    1|  191.300   pc  |  -0.9295     +0.9295  |paral   |2020yCat.1350....0G
947 |TYC 3067-1707-1                                                                                                                             |Star                                |16 07 50.2613795160 +42 44 28.746299436|067.6584366333367 +47.5129487873519|  4.175 -16.191  |10.59    |~              |    ~     ~          |    1|  784.929   pc  |  -7.9479     +7.9479  |paral   |2020yCat.1350....0G
948 |TYC 3067-1742-1                                                                                                                             |Star                                |16 07 19.4459286432 +42 44 12.222811896|067.6643109830021 +47.6072791797890|   -6.566 3.104  |10.57    |~              |    ~     ~          |    1|  614.515   pc  |  -4.2294     +4.2294  |paral   |2020yCat.1350....0G
949 |TYC 3067-1743-1                                                                                                                             |Horizontal Branch Star              |16 02 06.8806820760 +42 40 45.053359716|067.7209120266140 +48.5652496670695| -10.138 -4.397  |10.90    |~              |    ~     ~          |    1| 1024.905   pc  | -10.6093    +10.6093  |paral   |2020yCat.1350....0G
950 |TYC 3067-1790-1                                                                                                                             |Star                                |16 04 15.7570878864 +42 48 43.339364460|067.8573842392705 +48.1591228982487|   5.840 -5.407  |10.49    |~              |    ~     ~          |    1|  954.745   pc  |  -9.2977     +9.2977  |paral   |2020yCat.1350....0G
951 |TYC 3067-1833-1                                                                                                                             |Star                                |16 02 54.7846111512 +43 00 07.164608688|068.1808252143921 +48.3845210876529| -18.839 15.870  |10.93    |~              |    ~     ~          |    1|  285.625   pc  |  -0.7832     +0.7832  |paral   |2020yCat.1350....0G
952 |TYC 3068-1746-1                                                                                                                             |High Proper Motion Star             |16 13 59.2909991616 +42 56 31.511525532|067.8167022409136 +46.3728986859587| 31.036 -42.928  |10.93    |~              |    ~     ~          |    1|  186.498   pc  |  -0.3582     +0.3582  |paral   |2020yCat.1350....0G
953 |HD 143935                                                                                                                                   |High Proper Motion Star             |16 01 11.5114835184 +46 16 58.157997528|073.1277114957226 +48.2096911977503| -46.997 49.680  |9.63     |G5             |    ~     ~          |    1|  130.422   pc  |  -0.2517     +0.2517  |paral   |2020yCat.1350....0G
954 |BD+46 2143                                                                                                                                  |Red Giant Branch star               |16 03 09.9309334872 +45 49 45.726587004|072.3709055162930 +47.9504304844585| -10.595 13.268  |9.57     |K0             |    ~     ~          |    1|  927.128   pc  |  -9.1114     +9.1114  |paral   |2020yCat.1350....0G
955 |BD+45 2358                                                                                                                                  |Star                                |16 00 11.9789567952 +45 13 23.185284348|071.6004527623170 +48.5621958384804|  -2.362 -2.543  |10.04    |K0             |    ~     ~          |    1|  426.530   pc  |  -1.9466     +1.9466  |paral   |2020yCat.1350....0G
956 |BD+45 2359                                                                                                                                  |Double or Multiple Star             |16 00 45.5541116016 +44 55 27.125731704|071.1310020298724 +48.5123523320025| -19.918 -5.274  |10.290   |K2             |    ~     ~          |    1|  725.795   pc  |  -5.7946     +5.7946  |paral   |2020yCat.1350....0G
957 |HD 143856                                                                                                                                   |Star                                |16 00 53.9291461632 +44 59 50.075163528|071.2340536818631 +48.4765609129774| 11.625 -22.827  |8.90     |G5             |    ~     ~          |    1|  262.447   pc  |  -0.9023     +0.9023  |paral   |2020yCat.1350....0G
958 |BD+45 2361                                                                                                                                  |Double or Multiple Star             |16 01 19.1491 +45 29 21.185            |071.9475768 +48.3245615            |      -8.0 13.5  |9.94     |F8             |    ~     ~          |    0|                |                       |        |                   
959 |BD+45 2363                                                                                                                                  |High Proper Motion Star             |16 02 23.9498198376 +44 58 02.059611564|071.1281322081345 +48.2190090600683| -39.008 81.065  |9.20     |K0             |    ~     ~          |    1|  151.856   pc  |  -0.2283     +0.2283  |paral   |2020yCat.1350....0G
960 |BD+45 2364                                                                                                                                  |Star                                |16 02 26.6985456096 +45 33 44.798984424|072.0077345992869 +48.1180734071596| -20.049 39.481  |10.9     |K2             |    ~     ~          |    1|   86.634   pc  |  -0.3062     +0.3062  |paral   |2020yCat.1350....0G
961 |BD+45 2365                                                                                                                                  |Star                                |16 03 05.0927032272 +45 18 08.574631524|071.5967706621111 +48.0483545738895|  -25.653 8.972  |10.53    |K0             |    ~     ~          |    1|  387.207   pc  |  -1.4543     +1.4543  |paral   |2020yCat.1350....0G
962 |HD 144269                                                                                                                                   |Star                                |16 03 09.9089934696 +44 45 09.861849900|070.7800642017087 +48.1163259670868|  -0.604 10.474  |8.85     |F2             |    ~     ~          |    1|  291.886   pc  |  -3.7657     +3.7657  |paral   |2020yCat.1350....0G
963 |BD+45 2367                                                                                                                                  |Star                                |16 03 22.4384289888 +44 50 21.379401672|070.9002591666324 +48.0671835161618| -24.978 29.806  |9.39     |F8             |    ~     ~          |    1|  246.773   pc  |  -0.9500     +0.9500  |paral   |2020yCat.1350....0G
964 |BD+45 2369                                                                                                                                  |Red Giant Branch star               |16 04 25.1931098352 +44 57 11.305736712|071.0287310528747 +47.8674939608485|-18.397 -31.430  |9.76     |K0             |    ~     ~          |    1|  291.189   pc  |  -0.9666     +0.9666  |paral   |2020yCat.1350....0G
965 |HD 145084                                                                                                                                   |Star                                |16 07 14.4631421160 +44 56 51.955456200|070.9185133411705 +47.3738779167969|  -26.848 8.159  |9.57     |G              |    ~     ~          |    1|  279.900   pc  |  -0.8853     +0.8853  |paral   |2020yCat.1350....0G
966 |HD 143722                                                                                                                                   |High Proper Motion Star             |16 00 11.8325126472 +44 16 46.200485460|070.1897674445773 +48.7082321768678| 29.017 -48.311  |6.77     |K0             |    ~     ~          |    1|  156.563   pc  |  -0.3039     +0.3039  |paral   |2020yCat.1350....0G
967 |HD 144083                                                                                                                                   |High Proper Motion Star             |16 02 09.9246977112 +43 53 41.547154380|069.5404865105691 +48.4112591029557|-89.505 -110.057 |9.01     |G5             |    ~     ~          |    1|   77.443   pc  |  -0.0864     +0.0864  |paral   |2020yCat.1350....0G
968 |BD+44 2537                                                                                                                                  |Star                                |16 04 33.3011031408 +44 23 54.316113144|070.2043606229516 +47.9200798588910| -11.074 -7.353  |10.34    |K0             |    ~     ~          |    1| 1069.633   pc  | -13.6150    +13.6150  |paral   |2020yCat.1350....0G
969 |BD+44 2533                                                                                                                                  |Star                                |16 01 22.7616393096 +43 47 44.555733564|069.4202245691559 +48.5647747718746|   -7.700 4.758  |9.29     |G5             |    ~     ~          |    1|  477.190   pc  |  -2.5504     +2.5504  |paral   |2020yCat.1350....0G
970 |TYC 3067-23-1                                                                                                                               |Horizontal Branch Star              |16 02 20.9367376704 +44 50 15.552684960|070.9377703087886 +48.2471707560197| 19.837 -14.511  |9.81     |~              |    ~     ~          |    1|  611.958   pc  |  -4.1194     +4.1194  |paral   |2020yCat.1350....0G
971 |TYC 3067-48-1                                                                                                                               |Star                                |16 06 17.2276887744 +44 59 39.239798532|071.0203537319715 +47.5347587441087|  24.178 23.719  |10.77    |~              |    ~     ~          |    1|  131.301   pc  |  -0.1741     +0.1741  |paral   |2020yCat.1350....0G
972 |TYC 3067-146-1                                                                                                                              |Star                                |16 01 21.9509532384 +44 32 56.691929148|070.5469740755219 +48.4624868721755|   0.758 11.525  |10.15    |~              |    ~     ~          |    1|  260.974   pc  |  -0.7764     +0.7764  |paral   |2020yCat.1350....0G
973 |TYC 3067-490-1                                                                                                                              |Star                                |16 04 33.7292746560 +44 07 18.692538708|069.7947775434705 +47.9546429691020|   -9.877 0.231  |10.19    |~              |    ~     ~          |    1| 1204.819   pc  | -16.5481    +16.5481  |paral   |2020yCat.1350....0G
974 |TYC 3067-1501-1                                                                                                                             |Star                                |16 02 04.4058728112 +43 50 44.403870624|069.4702337363800 +48.4341171527173| -23.258 25.764  |10.95    |~              |    ~     ~          |    1|  411.845   pc  |  -1.6962     +1.6962  |paral   |2020yCat.1350....0G
975 |TYC 3491-822-1                                                                                                                              |High Proper Motion Star             |16 01 47.4383948640 +45 05 06.280755648|071.3277501815505 +48.3072601878322| -8.129 -71.153  |10.31    |~              |    ~     ~          |    1|   68.344   pc  |  -0.0490     +0.0490  |paral   |2020yCat.1350....0G
976 |TYC 3491-944-1                                                                                                                              |Star                                |16 05 14.7753307224 +45 10 40.230235308|071.3284035293803 +47.6907752697054|   -1.432 5.705  |10.71    |~              |    ~     ~          |    1|  857.854   pc  |  -7.3591     +7.3591  |paral   |2020yCat.1350....0G
977 |TYC 3491-1193-1                                                                                                                             |Red Giant Branch star               |16 02 44.4321927456 +45 01 39.416969568|071.2040258952280 +48.1502558187698| -2.565 -10.632  |10.70    |~              |    ~     ~          |    1| 2179.124   pc  | -77.4019    +77.4019  |paral   |2020yCat.1350....0G
978 |TYC 3491-1632-1                                                                                                                             |Star                                |16 04 03.8723523912 +45 10 15.630465612|071.3637648266881 +47.8977916781724|   2.266 -1.951  |10.65    |~              |    ~     ~          |    1| 2062.281   pc  | -62.5191    +62.5191  |paral   |2020yCat.1350....0G
979 |BD+43 2550                                                                                                                                  |Star                                |16 01 11.4931230144 +42 40 38.278363512|067.7460461268389 +48.7341096873940|   -7.909 2.916  |10.11    |M0             |    ~     ~          |    1| 1097.333   pc  | -14.0884    +14.0884  |paral   |2020yCat.1350....0G
980 |HD 143916                                                                                                                                   |Star                                |16 01 18.5682747576 +42 44 27.005203644|067.8381164261544 +48.7055386847116|   -9.635 9.076  |8.94     |K0             |    ~     ~          |    1|  438.520   pc  |  -2.6345     +2.6345  |paral   |2020yCat.1350....0G
981 |BD+42 2662                                                                                                                                  |High Proper Motion Star             |16 00 39.6222222768 +42 22 59.508458652|067.3182968493857 +48.8632755540285| 34.499 -39.357  |10.34    |G0             |    ~     ~          |    1|  197.574   pc  |  -0.5114     +0.5114  |paral   |2020yCat.1350....0G
982 |HD 144129                                                                                                                                   |Star                                |16 02 34.5696578688 +42 30 20.571009912|067.4469449574798 +48.4989835487837|  -2.134 -0.179  |9.45     |F5             |    ~     ~          |    1|  294.533   pc  |  -1.1798     +1.1798  |paral   |2020yCat.1350....0G
983 |HD 144513                                                                                                                                   |Star                                |16 04 35.3865196152 +41 54 14.853046932|066.4934715774024 +48.1838541993481| -23.698 12.363  |8.77     |K0             |    ~     ~          |    1|  395.070   pc  |  -1.8574     +1.8574  |paral   |2020yCat.1350....0G
984 |HD 143874                                                                                                                                   |High Proper Motion Star             |16 01 13.2534815304 +41 50 00.748452264|066.4715620634993 +48.8148246415816| -30.227 30.159  |9.93     |G              |    ~     ~          |    1|  199.457   pc  |  -0.4814     +0.4814  |paral   |2020yCat.1350....0G
985 |BD+42 2663B                                                                                                                                 |Star                                |16 01 13.4739953280 +41 49 49.358726760|066.4666812197386 +48.8144393396646| -30.110 31.298  |10.89    |~              |    ~     ~          |    1|  199.509   pc  |  -0.4856     +0.4856  |paral   |2020yCat.1350....0G
986 |HD 143917                                                                                                                                   |Star                                |16 01 23.5636307256 +41 47 46.305868668|066.4105885440141 +48.7864207329962|-20.396 -15.985  |8.31     |K0             |    ~     ~          |    1|  359.803   pc  |  -2.4597     +2.4597  |paral   |2020yCat.1350....0G
987 |BD+42 2665                                                                                                                                  |Star                                |16 02 07.4754030504 +41 49 47.858441376|066.4426283068803 +48.6475337221872|  -8.708 -2.538  |9.77     |K0             |    ~     ~          |    1|  830.496   pc  |  -7.6559     +7.6559  |paral   |2020yCat.1350....0G
988 |BD+42 2670                                                                                                                                  |Star                                |16 05 21.9654731568 +41 43 05.882386476|066.1984467900191 +48.0547579710769| 21.191 -25.007  |9.87     |G0             |    ~     ~          |    1|  190.985   pc  |  -0.3976     +0.3976  |paral   |2020yCat.1350....0G
