C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:31:24

dec >=0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4974

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1461|BD+52 606                                                                                                                                   |Spectroscopic Binary              |02 39 54.1583546016 +53 15 46.329611076|138.8491549710616 -06.2235940799758|  16.353 -1.055   |10.19    |K0               |    ~     ~    |    1|  444.365   pc  |  -6.6149     +6.6149  |paral   |2020yCat.1350....0G
1462|HD 232690                                                                                                                                   |Star                              |02 39 58.6295892048 +52 59 24.593664408|138.9714500397212 -06.4679694594700|  -5.842 -3.387   |9.50     |G5               |    ~     ~    |    1|  452.940   pc  |  -2.7696     +2.7696  |paral   |2020yCat.1350....0G
1463|HD 232691                                                                                                                                   |Star                              |02 40 07.8470121216 +52 46 23.115969444|139.0820789538323 -06.6565980219961|  14.318 -3.114   |9.61     |K0               |    ~     ~    |    1|  513.637   pc  |  -4.3531     +4.3531  |paral   |2020yCat.1350....0G
1464|HD 16461                                                                                                                                    |Star                              |02 40 21.8007178627 +52 48 14.718439867|139.1015884190090 -06.6139155604545| 15.899 -13.013   |7.64     |A0               |    ~     ~    |    1|  259.545   pc  |  -1.9468     +1.9468  |paral   |2020yCat.1350....0G
1465|HD 16577                                                                                                                                    |Star                              |02 41 17.9345478048 +52 42 02.169896148|139.2743571049450 -06.6499578942553|   7.520 -3.326   |9.34     |A2               |    ~     ~    |    1|  313.058   pc  |  -2.1561     +2.1561  |paral   |2020yCat.1350....0G
1466|HD 16593                                                                                                                                    |Star                              |02 41 27.9141238104 +52 40 11.924130360|139.3102134090536 -06.6674162717823|   -0.205 2.874   |8.450    |K0               |    ~     ~    |    1|  628.615   pc  |  -9.6023     +9.6023  |paral   |2020yCat.1350....0G
1467|HD 16735                                                                                                                                    |High Proper Motion Star           |02 42 59.5232301744 +53 31 33.986370504|139.1614771450264 -05.7935640138599| 57.121 -31.398   |5.835    |G8III            |    ~     ~    |    1|   98.966   pc  |  -0.4926     +0.4926  |paral   |2020yCat.1350....0G
1468|HD 232701                                                                                                                                   |Star                              |02 43 18.9964370112 +52 45 23.797444140|139.5303908564385 -06.4717613641491|   1.558 -2.955   |9.47     |K2               |    ~     ~    |    1|  872.068   pc  | -13.3848    +13.3848  |paral   |2020yCat.1350....0G
1469|BD+52 619                                                                                                                                   |Star                              |02 43 46.8603966960 +52 46 44.755260924|139.5849931013204 -06.4217977280900| -35.285 11.453   |10.02    |A0               |    ~     ~    |    1|  223.794   pc  |  -0.5910     +0.5910  |paral   |2020yCat.1350....0G
1470|HD 16678                                                                                                                                    |Star                              |02 42 19.2912671592 +52 26 01.464566784|139.5282595095299 -06.8282384334717| 19.722 -13.484   |9.05     |A3               |    ~     ~    |    1|  241.616   pc  |  -0.9808     +0.9808  |paral   |2020yCat.1350....0G
1471|BD+51 620                                                                                                                                   |Star                              |02 43 36.5587496688 +52 24 50.949134604|139.7160388159201 -06.7637317934193|  36.397 -7.867   |10.64    |A2               |    ~     ~    |    1|  170.051   pc  |  -0.4627     +0.4627  |paral   |2020yCat.1350....0G
1472|HD 232704                                                                                                                                   |Star                              |02 44 41.0470860672 +52 18 25.693236972|139.9113671283796 -06.7912453313021|   2.652 -1.516   |8.83     |K5               |    ~     ~    |    1|  613.346   pc  |  -8.3515     +8.3515  |paral   |2020yCat.1350....0G
1473|BD+52 596                                                                                                                                   |Star                              |02 34 11.7052129080 +52 46 50.465591544|138.2500402177615 -07.0077768409857|   0.561 -2.531   |10.01    |A                |    ~     ~    |    1|  616.181   pc  | -11.3904    +11.3904  |paral   |2020yCat.1350....0G
1474|BD+52 599                                                                                                                                   |Double or Multiple Star           |02 34 46.3485 +52 45 47.808            |138.3379015 -06.9897724            |     -3.2 -52.3   |9.58     |G5               |    ~     ~    |    0|                |                       |        |                   
1475|HD 232672                                                                                                                                   |Star                              |02 34 03.3595906152 +52 38 07.529630676|138.2873476865399 -07.1498107511547|   -0.373 0.920   |8.45     |K5               |    ~     ~    |    1|  660.546   pc  |  -8.8573     +8.8573  |paral   |2020yCat.1350....0G
1476|HD 232694                                                                                                                                   |Star                              |02 40 53.2383477768 +53 41 57.661921752|138.8037652382025 -05.7654053221450|  -4.517 -0.603   |9.98     |K2               |    ~     ~    |    1|  563.634   pc  |  -5.0829     +5.0829  |paral   |2020yCat.1350....0G
1477|IRAS 02406+5346                                                                                                                             |Star                              |02 44 14.6421516048 +53 59 31.382543328|139.1333499313024 -05.2930073508932|  -1.444 -0.223   |10.31    |~                |    ~     ~    |    1| 2217.787   pc  |-127.3912   +127.3912  |paral   |2020yCat.1350....0G
1478|TYC 3308-1647-1                                                                                                                             |Star                              |02 42 58.7314251360 +51 44 37.544197812|139.9115816637251 -07.4126933014806| 15.229 -19.645   |10.96    |~                |    ~     ~    |    1|  755.915   pc  |  -8.9711     +8.9711  |paral   |2020yCat.1350....0G
1479|TYC 3308-1699-1                                                                                                                             |Star                              |02 41 07.4956778616 +52 27 47.593301940|139.3488566189950 -06.8770607119798|   -3.500 2.423   |9.55     |~                |    ~     ~    |    1|  333.734   pc  |  -1.8489     +1.8489  |paral   |2020yCat.1350....0G
1480|TYC 3308-1737-1                                                                                                                             |Star                              |02 37 57.0111751152 +52 28 37.320593448|138.8983524807132 -07.0614202555398|  -0.850 -2.005   |10.76    |~                |    ~     ~    |    1| 1628.134   pc  | -43.2084    +43.2084  |paral   |2020yCat.1350....0G
1481|TYC 3308-1769-1                                                                                                                             |Star                              |02 38 22.3231118280 +52 27 46.520955360|138.9633353761241 -07.0484660183263|  7.691 -12.857   |10.53    |~                |    ~     ~    |    1|  332.901   pc  |  -1.8397     +1.8397  |paral   |2020yCat.1350....0G
1482|TYC 3308-1861-1                                                                                                                             |Star                              |02 42 21.3482069088 +52 28 05.428801848|139.5185796884216 -06.7947625169755|  -0.385 -2.091   |10.86    |~                |    ~     ~    |    1|  836.400   pc  | -24.6947    +24.6947  |paral   |2020yCat.1350....0G
1483|TYC 3308-1933-1                                                                                                                             |Star                              |02 37 39.6959885760 +52 21 14.732091072|138.9074807996067 -07.1916849400197|   -4.627 0.158   |10.63    |~                |    ~     ~    |    1| 2029.221   pc  | -76.5899    +76.5899  |paral   |2020yCat.1350....0G
1484|TYC 3308-1939-1                                                                                                                             |Star                              |02 42 18.8931544272 +52 20 56.873856732|139.5628669684907 -06.9055629019431|   9.612 -5.881   |10.62    |~                |    ~     ~    |    1|   58.8135  pc  |  -1.9274     +1.9274  |paral   |2018yCat.1345....0G
1485|TYC 3308-1975-1                                                                                                                             |Star                              |02 39 20.7718443672 +52 20 25.949648652|139.1501843944585 -07.1001575468720|-13.934 -19.113   |10.86    |~                |    ~     ~    |    1|  109.708   pc  |  -0.2058     +0.2058  |paral   |2020yCat.1350....0G
1486|TYC 3308-1994-1                                                                                                                             |Star                              |02 44 13.2210344712 +51 54 56.326181076|140.0138236384552 -07.1759435849468|   4.591 -5.964   |10.75    |~                |    ~     ~    |    1|  467.050   pc  |  -6.5659     +6.5659  |paral   |2020yCat.1350....0G
1487|TYC 3308-2047-1                                                                                                                             |delta Sct Variable                |02 41 53.1476934864 +52 04 51.110936580|139.6152028125668 -07.1768366138655|  9.461 -10.916   |10.62    |~                |    ~     ~    |    1|  649.646   pc  |  -7.8921     +7.8921  |paral   |2020yCat.1350....0G
1488|TYC 3308-2067-1                                                                                                                             |Star                              |02 38 09.4934002464 +52 15 24.929472816|139.0169170677263 -07.2501446464836|  -2.742 -6.210   |10.33    |~                |    ~     ~    |    1|  451.427   pc  |  -3.9534     +3.9534  |paral   |2020yCat.1350....0G
1489|TYC 3308-2094-1                                                                                                                             |Star                              |02 42 39.9242889216 +52 19 51.835714140|139.6194692288551 -06.8996204518818| 16.698 -12.603   |10.29    |~                |    ~     ~    |    1|  390.961   pc  |  -3.7143     +3.7143  |paral   |2020yCat.1350....0G
1490|TYC 3308-2189-1                                                                                                                             |Star                              |02 40 32.9327551728 +52 19 07.414263552|139.3281393338895 -07.0449286414405|    0.423 0.462   |10.84    |~                |    ~     ~    |    1|  801.539   pc  |  -9.7655     +9.7655  |paral   |2020yCat.1350....0G
1491|TYC 3308-2258-1                                                                                                                             |Star                              |02 43 19.8108660389 +51 59 48.732333414|139.8539581849497 -07.1602305169900|       1.0 -1.3   |10.68    |~                |    ~     ~    |    0|                |                       |        |                   
1492|TYC 3308-2320-1                                                                                                                             |Star                              |02 43 59.2504340040 +52 07 23.487225024|139.8925798724855 -07.0030796293512| -2.189 -28.910   |10.50    |~                |    ~     ~    |    1|  195.748   pc  |  -0.6131     +0.6131  |paral   |2020yCat.1350....0G
1493|TYC 3687-28-1                                                                                                                               |Star                              |02 36 47.7826596504 +52 52 09.855116868|138.5788396879320 -06.7716991193125|   2.057 -2.515   |10.73    |~                |    ~     ~    |    1|  795.229   pc  | -14.3552    +14.3552  |paral   |2020yCat.1350....0G
1494|TYC 3687-174-1                                                                                                                              |Star                              |02 39 20.6336162616 +52 30 06.205280220|139.0837992472171 -06.9530563467701| 21.629 -11.975   |10.81    |~                |    ~     ~    |    1|  828.089   pc  |  -9.6002     +9.6002  |paral   |2020yCat.1350....0G
1495|TYC 3687-298-1                                                                                                                              |Star                              |02 38 16.8234170112 +53 14 31.279483608|138.6344918145044 -06.3409911799316| -4.096 -11.600   |10.85    |~                |    ~     ~    |    1|  768.817   pc  |  -8.1569     +8.1569  |paral   |2020yCat.1350....0G
1496|TYC 3687-352-1                                                                                                                              |Star                              |02 34 39.3226018896 +52 50 44.863698444|138.2890279529991 -06.9207188031919|  -5.392 -5.307   |10.30    |~                |    ~     ~    |    1|  638.081   pc  | -21.1716    +21.1716  |paral   |2020yCat.1350....0G
1497|TYC 3687-544-1                                                                                                                              |Star                              |02 39 01.4112216048 +52 58 30.934124796|138.8455872326581 -06.5399873048415|  -0.229 -3.058   |10.77    |~                |    ~     ~    |    1| 2245.677   pc  | -86.2364    +86.2364  |paral   |2020yCat.1350....0G
1498|TYC 3687-564-1                                                                                                                              |Star                              |02 37 52.6256730192 +52 42 41.767732512|138.7931822810946 -06.8510702124537|  -2.082 -7.705   |10.35    |~                |    ~     ~    |    1|  326.531   pc  |  -1.7593     +1.7593  |paral   |2020yCat.1350....0G
1499|TYC 3687-858-1                                                                                                                              |Star                              |02 36 14.5434449304 +52 47 33.487830240|138.5321564623448 -06.8753640290051|   0.574 -2.997   |10.81    |~                |    ~     ~    |    1| 1195.172   pc  | -24.5691    +24.5691  |paral   |2020yCat.1350....0G
1500|TYC 3687-1198-1                                                                                                                             |Star                              |02 33 44.8344701856 +52 35 21.849310320|138.2617947179402 -07.2104076724928|   5.864 -6.607   |10.41    |~                |    ~     ~    |    1| 1177.718   pc  | -23.7180    +23.7180  |paral   |2020yCat.1350....0G
1501|TYC 3687-1214-1                                                                                                                             |Star                              |02 36 16.5179882856 +53 02 14.065265364|138.4392610756111 -06.6487669375119|   9.886 -4.314   |10.78    |~                |    ~     ~    |    1|  690.894   pc  |  -7.3987     +7.3987  |paral   |2020yCat.1350....0G
1502|TYC 3687-1308-1                                                                                                                             |Star                              |02 38 13.8867132672 +53 17 09.618102132|138.6099436899945 -06.3036714412940|   4.520 -3.137   |9.86     |~                |    ~     ~    |    1|  546.896   pc  | -15.7324    +15.7324  |paral   |2020yCat.1350....0G
1503|TYC 3687-1582-1                                                                                                                             |Star                              |02 35 59.1691887696 +52 54 03.184464600|138.4532666014136 -06.7912262819692|   2.111 -2.893   |10.03    |~                |    ~     ~    |    1| 1393.534   pc  | -33.9839    +33.9839  |paral   |2020yCat.1350....0G
1504|TYC 3687-1608-1                                                                                                                             |Star                              |02 35 43.7047071096 +52 40 36.316663608|138.5062547785930 -07.0125529492483|   8.681 -7.614   |10.68    |~                |    ~     ~    |    1|  482.183   pc  |  -4.3478     +4.3478  |paral   |2020yCat.1350....0G
1505|TYC 3687-1728-1                                                                                                                             |Star                              |02 39 49.3417574568 +53 10 13.608270120|138.8760481098306 -06.3128786278093|   2.287 -3.586   |10.99    |~                |    ~     ~    |    1| 1200.048   pc  | -20.1616    +20.1616  |paral   |2020yCat.1350....0G
1506|TYC 3687-1818-1                                                                                                                             |Star                              |02 35 19.4793188352 +52 43 47.858342412|138.4285129223696 -06.9876975782895| -23.378 -9.579   |10.73    |~                |    ~     ~    |    1|  216.282   pc  |  -1.3846     +1.3846  |paral   |2020yCat.1350....0G
1507|TYC 3687-1900-1                                                                                                                             |Star                              |02 35 59.7766025616 +52 33 39.942496404|138.5898862265766 -07.1027826777969|  -2.924 -1.839   |10.81    |~                |    ~     ~    |    1|  709.824   pc  |  -6.4997     +6.4997  |paral   |2020yCat.1350....0G
1508|TYC 3687-2060-1                                                                                                                             |High Proper Motion Star           |02 34 59.8185302928 +52 32 24.433798524|138.4574501861191 -07.1818273338240| 84.346 -52.647   |10.47    |~                |    ~     ~    |    1|   95.165   pc  |  -0.1512     +0.1512  |paral   |2020yCat.1350....0G
1509|TYC 3687-2096-1                                                                                                                             |Star                              |02 38 26.9409091008 +52 48 45.309647160|138.8320185593972 -06.7238050506724|   1.553 -3.532   |10.02    |~                |    ~     ~    |    1|  859.254   pc  | -16.9075    +16.9075  |paral   |2020yCat.1350....0G
1510|TYC 3687-2114-1                                                                                                                             |Star                              |02 39 53.1372809376 +52 33 23.065891560|139.1371323992595 -06.8695377473946|   5.789 -4.716   |10.88    |~                |    ~     ~    |    1|  574.119   pc  |  -5.4386     +5.4386  |paral   |2020yCat.1350....0G
1511|TYC 3700-5-1                                                                                                                                |Star                              |02 43 41.1052372776 +52 37 04.354201632|139.6401319608624 -06.5741214720966|   5.281 -5.706   |10.96    |~                |    ~     ~    |    1| 1167.542   pc  | -20.9926    +20.9926  |paral   |2020yCat.1350....0G
1512|TYC 3700-22-1                                                                                                                               |Star                              |02 41 50.8370527560 +53 40 25.519124676|138.9444898970741 -05.7300513106641|   0.205 -0.270   |10.92    |~                |    ~     ~    |    1| 1032.205   pc  | -38.8888    +38.8888  |paral   |2020yCat.1350....0G
1513|TYC 3700-135-1                                                                                                                              |Star                              |02 41 03.2467281000 +52 31 00.755514984|139.3166634952578 -06.8326359646124|   4.090 -7.436   |9.57     |~                |    ~     ~    |    1|  327.300   pc  |  -1.6283     +1.6283  |paral   |2020yCat.1350....0G
1514|TYC 3700-268-1                                                                                                                              |Star                              |02 41 43.5395702256 +53 35 39.018904224|138.9611322027967 -05.8099537355880|  -0.406 -3.513   |9.99     |~                |    ~     ~    |    1|  605.437   pc  |  -7.4777     +7.4777  |paral   |2020yCat.1350....0G
1515|TYC 3700-306-1                                                                                                                              |Star                              |02 44 23.8214972304 +53 55 01.349046372|139.1856762436505 -05.3514745893088|   -2.380 2.902   |10.31    |~                |    ~     ~    |    1|  832.154   pc  | -11.1489    +11.1489  |paral   |2020yCat.1350....0G
1516|TYC 3700-341-1                                                                                                                              |Star                              |02 41 12.1427219016 +52 33 04.030943508|139.3231100686935 -06.7921390323335|   1.116 -8.726   |10.09    |~                |    ~     ~    |    1|  609.459   pc  |  -6.7602     +6.7602  |paral   |2020yCat.1350....0G
1517|TYC 3700-345-1                                                                                                                              |Star                              |02 43 04.2920832360 +52 37 17.209577208|139.5535647904627 -06.6100299994185|   1.807 -3.086   |10.00    |~                |    ~     ~    |    1|  852.588   pc  | -12.4301    +12.4301  |paral   |2020yCat.1350....0G
1518|TYC 3700-392-1                                                                                                                              |Star                              |02 44 04.0535502312 +54 09 56.070571500|139.0362486050841 -05.1466172441326|  -0.633 -1.012   |10.87    |~                |    ~     ~    |    0|                |                       |        |                   
1519|TYC 3700-484-1                                                                                                                              |Star                              |02 40 55.0537729896 +53 30 16.025907060|138.8884503108059 -05.9412141854485|   -6.331 1.039   |10.62    |~                |    ~     ~    |    1|  569.866   pc  |  -9.0280     +9.0280  |paral   |2020yCat.1350....0G
1520|TYC 3700-525-1                                                                                                                              |Star                              |02 44 33.1239109296 +53 19 07.505901012|139.4611502640677 -05.8837536346676|   2.938 -3.518   |10.92    |~                |    ~     ~    |    1|  771.605   pc  | -11.3716    +11.3716  |paral   |2020yCat.1350....0G
1521|TYC 3700-862-1                                                                                                                              |Star                              |02 41 52.9569487584 +53 26 19.575396276|139.0472146864470 -05.9417159334976|   0.456 -5.277   |10.33    |~                |    ~     ~    |    1|  725.216   pc  |  -7.4157     +7.4157  |paral   |2020yCat.1350....0G
1522|TYC 3700-902-1                                                                                                                              |High Proper Motion Star           |02 40 49.0534565424 +53 17 30.306591492|138.9627518433860 -06.1412238484859| 45.092 -34.748   |10.79    |~                |    ~     ~    |    1|  164.349   pc  |  -0.3863     +0.3863  |paral   |2020yCat.1350....0G
1523|TYC 3700-1079-1                                                                                                                             |Star                              |02 40 25.4428513608 +53 10 47.221712364|138.9549829939619 -06.2674941309638|   2.857 -5.716   |10.46    |~                |    ~     ~    |    1|  980.873   pc  | -13.9506    +13.9506  |paral   |2020yCat.1350....0G
1524|TYC 3700-1133-1                                                                                                                             |Pulsating Variable                |02 44 34.5894339504 +52 56 59.369678376|139.6218040557972 -06.2163156464119|   5.494 -2.810   |10.24    |~                |    ~     ~    |    1|  699.937   pc  | -13.5706    +13.5706  |paral   |2020yCat.1350....0G
1525|TYC 3700-1190-1                                                                                                                             |Star                              |02 44 34.4959228248 +54 07 25.741130556|139.1215764612354 -05.1530695424680|   2.395 -2.833   |10.39    |~                |    ~     ~    |    1| 1247.505   pc  | -22.2546    +22.2546  |paral   |2020yCat.1350....0G
1526|TYC 3700-1247-1                                                                                                                             |Star                              |02 41 00.8223507576 +53 09 29.210804388|139.0449872717079 -06.2509371217309| 11.807 -17.999   |10.23    |~                |    ~     ~    |    1|  510.856   pc  |  -3.4709     +3.4709  |paral   |2020yCat.1350....0G
1527|TYC 3700-1272-1                                                                                                                             |Star                              |02 43 55.0687531776 +53 18 20.800137672|139.3803560651510 -05.9355644959599|   5.224 -6.893   |10.40    |~                |    ~     ~    |    1|  922.935   pc  | -13.2030    +13.2030  |paral   |2020yCat.1350....0G
1528|TYC 3700-1334-1                                                                                                                             |Star                              |02 40 08.7021583608 +52 55 37.481130624|139.0206291608520 -06.5152076171890|  -4.400 -0.761   |10.76    |~                |    ~     ~    |    1|  550.812   pc  |  -4.5509     +4.5509  |paral   |2020yCat.1350....0G
1529|TYC 3700-1390-1                                                                                                                             |Star                              |02 43 45.1653202080 +52 54 34.791361272|139.5257198406772 -06.3051983706376|   2.974 -3.104   |10.72    |~                |    ~     ~    |    1| 1020.096   pc  | -16.6495    +16.6495  |paral   |2020yCat.1350....0G
1530|TYC 3700-1406-1                                                                                                                             |Star                              |02 41 24.1208324112 +52 52 52.424678352|139.2134878492215 -06.4790421269293|   -1.846 1.591   |10.51    |~                |    ~     ~    |    1|  906.701   pc  | -11.8383    +11.8383  |paral   |2020yCat.1350....0G
1531|TYC 3700-1492-1                                                                                                                             |Star                              |02 43 05.0796701064 +52 49 39.606454632|139.4683502957272 -06.4219789245417|   8.718 -1.161   |10.80    |~                |    ~     ~    |    1| 1208.021   pc  | -22.0357    +22.0357  |paral   |2020yCat.1350....0G
1532|TYC 3700-1584-1                                                                                                                             |Star                              |02 42 02.0204366760 +53 12 38.302681896|139.1630645777998 -06.1399080512345|   7.398 -4.595   |9.99     |~                |    ~     ~    |    1|  880.437   pc  | -12.9453    +12.9453  |paral   |2020yCat.1350....0G
1533|TYC 3700-1595-1                                                                                                                             |Star                              |02 43 17.1624380952 +54 04 07.219860744|138.9728149282319 -05.2826831053788|   5.479 -6.431   |10.66    |~                |    ~     ~    |    1|  393.144   pc  |  -2.0866     +2.0866  |paral   |2020yCat.1350....0G
1534|TYC 3700-1704-1                                                                                                                             |Star                              |02 43 31.1622081576 +52 51 51.524097336|139.5128051881486 -06.3611579550407| 13.103 -11.658   |9.59     |~                |    ~     ~    |    1|  445.534   pc  |  -2.4813     +2.4813  |paral   |2020yCat.1350....0G
1535|TYC 3700-1729-1                                                                                                                             |Star                              |02 44 50.4430316112 +52 48 30.619301544|139.7184944214812 -06.3273245898663|   0.167 -3.220   |10.76    |~                |    ~     ~    |    1|  973.047   pc  | -24.4279    +24.4279  |paral   |2020yCat.1350....0G
1536|TYC 3700-1779-1                                                                                                                             |Star                              |02 44 20.1520593840 +52 45 27.508563108|139.6706626871517 -06.4057773666038|  32.903 -7.514   |10.93    |~                |    ~     ~    |    1|  163.873   pc  |  -0.4458     +0.4458  |paral   |2020yCat.1350....0G
1537|V* V726 Per                                                                                                                                 |Long-Period Variable              |02 38 10.8240299304 +52 51 13.368625164|138.7779456244910 -06.7025100740978|   5.831 -1.543   |10.59    |~                |    ~     ~    |    1| 1234.87    pc  | -41.7826    +41.7826  |paral   |2020yCat.1350....0G
1538|HD 15461                                                                                                                                    |Double or Multiple Star           |02 31 26.0879821416 +55 59 09.356735364|136.6438901871018 -04.2006015576084| 20.510 -12.593   |9.350    |A3               |0.0067  0.0    |    1|  304.785   pc  | -17.9564    +17.9564  |paral   |2020yCat.1350....0G
1539|HD 15303                                                                                                                                    |Star                              |02 30 03.2327490096 +59 05 01.467688236|135.3112316982548 -01.3971569833526| 28.775 -11.681   |9.44     |F5               |    ~     ~    |    1|  154.271   pc  |  -0.3760     +0.3760  |paral   |2020yCat.1350....0G
1540|HD 15430                                                                                                                                    |Star                              |02 31 18.2584932672 +58 50 02.193924084|135.5541579560767 -01.5686493901316| 14.986 -14.377   |9.02     |A1V              |    ~     ~    |    1|  376.209   pc  |  -2.4061     +2.4061  |paral   |2020yCat.1350....0G
1541|LS I +58 84                                                                                                                                 |Star                              |02 31 34.7333375400 +58 39 07.018957656|135.6556832591657 -01.7238629961802|   0.373 -1.344   |10.33    |OB-e             |    ~     ~    |    1| 2691.790   pc  |-132.5969   +132.5969  |paral   |2020yCat.1350....0G
1542|LS I +58 85                                                                                                                                 |Emission-line Star                |02 32 57.6979010780 +58 45 44.348545732|135.7800242570080 -01.5536493910971|   0.364 -0.666   |10.25    |F6Ie:            |    ~     ~    |    1| 3200       pc  |-158.72     +158.72    |paral   |2020yCat.1350....0G
1543|LS I +58 88                                                                                                                                 |Star                              |02 38 05.8578545472 +58 19 04.617312744|136.5707857766860 -01.7009367434957|  -0.191 -0.926   |10.96    |OB-              |    ~     ~    |    1| 2433.090   pc  | -92.3509    +92.3509  |paral   |2020yCat.1350....0G
1544|HD 15315                                                                                                                                    |Star                              |02 30 08.7909173400 +58 38 35.292098580|135.4861272846331 -01.8017692226626| 14.500 -13.693   |8.72     |A0V              |    ~     ~    |    1|  393.020   pc  |  -2.8422     +2.8422  |paral   |2020yCat.1350....0G
1545|HD 15619                                                                                                                                    |Star                              |02 32 50.8865007648 +58 36 36.080260092|135.8244983292558 -01.7000581320189| 26.796 -30.662   |8.08     |G9III            |    ~     ~    |    1|  236.222   pc  |  -1.2388     +1.2388  |paral   |2020yCat.1350....0G
1546|BD+57 586                                                                                                                                   |Star                              |02 33 27.8980928496 +58 35 55.042303704|135.9031248406037 -01.6798760876734|  -0.213 -0.782   |10.13    |B5III:           |    ~     ~    |    1| 3025.719   pc  |-167.5360   +167.5360  |paral   |2020yCat.1350....0G
1547|HD 15912                                                                                                                                    |Spectroscopic Binary              |02 35 39.5876031192 +58 30 30.072728448|136.2021327492874 -01.6522471044558| -1.650 -33.090   |7.81     |F8V              |    ~     ~    |    1|  114.915   pc  |  -2.3994     +2.3994  |paral   |2020yCat.1350....0G
1548|HD 15752                                                                                                                                    |Pulsating Variable                |02 34 11.4469937304 +58 24 19.767057624|136.0650053751877 -01.8216745863001|   1.618 -1.547   |8.77     |B0III            |    ~     ~    |    1| 2533.570   pc  |-112.3321   +112.3321  |paral   |2020yCat.1350....0G
1549|HD 15324                                                                                                                                    |Star                              |02 30 09.5890980768 +57 47 37.529228004|135.8038505812502 -02.5895818332747|   7.697 -4.322   |8.72     |K2III            |    ~     ~    |    1|  415.127   pc  |  -3.9981     +3.9981  |paral   |2020yCat.1350....0G
1550|ALS 7246                                                                                                                                    |beta Cep Variable Candidate       |02 30 14.0534004792 +57 40 30.292361796|135.8572897641021 -02.6960390668801|  -0.657 -1.231   |10.09    |B1V              |    ~     ~    |    1| 2379.253   pc  |-104.7256   +104.7256  |paral   |2020yCat.1350....0G
1551|HD 15449                                                                                                                                    |Star                              |02 31 27.0123648432 +58 01 29.237460564|135.8763859392105 -02.3112026207181| -25.316 -6.906   |6.570    |K2III            |    ~     ~    |    1|  229.363   pc  |  -1.1574     +1.1574  |paral   |2020yCat.1350....0G
1552|LS I +57 64                                                                                                                                 |Star                              |02 31 36.5349274512 +57 45 11.277074880|135.9983890595941 -02.5548903438727|  -0.261 -1.084   |9.93     |B5III:           |    ~     ~    |    1| 2558.199   pc  |-102.0924   +102.0924  |paral   |2020yCat.1350....0G
1553|BD+57 581                                                                                                                                   |Star                              |02 31 43.5636778392 +58 12 50.762439468|135.8387356848215 -02.1221247454202|   -2.066 1.450   |9.94     |A2V              |    ~     ~    |    1|  422.583   pc  |  -3.0001     +3.0001  |paral   |2020yCat.1350....0G
1554|HD 15497                                                                                                                                    |Blue Supergiant                   |02 31 53.3760247896 +57 41 51.509327532|136.0540946560777 -02.5921245948758|  -0.322 -1.019   |7.02     |B7Ia             |    ~     ~    |    1| 2699.055   pc  |-136.9561   +136.9561  |paral   |2020yCat.1350....0G
1555|LS V +57 43                                                                                                                                 |Star                              |02 32 10.166 +58 13 04.48              |135.891378 -02.096518              |       2.9 -1.0   |10.69    |OB-              |    ~     ~    |    0|                |                       |        |                   
1556|LS I +57 67                                                                                                                                 |Star                              |02 32 42.7791881544 +57 41 05.438691672|136.1608484124834 -02.5622064252432|   0.237 -0.825   |10.41    |OB-              |    ~     ~    |    1| 2095.557   pc  | -97.4882    +97.4882  |paral   |2020yCat.1350....0G
1557|HD 15620                                                                                                                                    |Blue Supergiant                   |02 32 52.8764564136 +57 55 45.656557428|136.0882866789827 -02.3276228062397|  -0.374 -1.019   |8.395    |B8Iab            |    ~     ~    |    1| 2370.230   pc  |-118.5396   +118.5396  |paral   |2020yCat.1350....0G
1558|NGC 957 94                         EM* AS 63                                                                                                |Be Star                           |02 33 10.5550227552 +57 32 54.104521128|136.2703615455352 -02.6646813566445|  -0.382 -1.147   |11.218   |B0-1Ve           |    ~     ~    |    1| 2452.182   pc  |-115.4534   +115.4534  |paral   |2020yCat.1350....0G
1559|LS V +57 47                                                                                                                                 |Star                              |02 33 24.1213901832 +57 55 04.139269788|136.1566336814090 -02.3118394999380|  -0.379 -1.099   |10.49    |B                |    ~     ~    |    1| 2324.500   pc  | -84.8318    +84.8318  |paral   |2020yCat.1350....0G
1560|NGC 957 188                        EM* AS 64                                                                                                |Be Star                           |02 33 39.3294878016 +57 33 50.234292720|136.3238417919150 -02.6256164277309|  -0.303 -1.007   |11.99    |B2Ve             |    ~     ~    |    1| 2208.481   pc  |-107.7902   +107.7902  |paral   |2020yCat.1350....0G
1561|LS I +57 70                                                                                                                                 |Star                              |02 34 48.6038825640 +57 38 04.938176544|136.4392828915822 -02.5006078962823|  -0.261 -1.090   |10.97    |OB-              |    ~     ~    |    1| 2505.638   pc  |-121.1697   +121.1697  |paral   |2020yCat.1350....0G
