C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:31:24

dec >=0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4974

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |TYC 2836-957-1                                                                                                                              |Star                              |02 30 39.7159485504 +39 54 56.329503264|142.8400932930137 -19.0894275472007| -6.512 -26.329   |10.88    |~                |    ~     ~    |    1|  213.484   pc  |  -0.8796     +0.8796  |paral   |2020yCat.1350....0G
24  |TYC 2836-962-1                                                                                                                              |Star                              |02 31 03.8307046800 +40 00 08.109323784|142.8786584248938 -18.9794136875963|  -4.369 -2.910   |10.8     |~                |    ~     ~    |    1|  405.778   pc  |  -4.3798     +4.3798  |paral   |2020yCat.1350....0G
25  |TYC 2836-1482-1                                                                                                                             |Star                              |02 35 19.9480376184 +40 13 47.279718588|143.5700147761760 -18.4418265926256|  17.616 -2.740   |10.80    |~                |    ~     ~    |    1|  351.210   pc  |  -2.3066     +2.3066  |paral   |2020yCat.1350....0G
26  |TYC 2836-1712-1                                                                                                                             |Star                              |02 30 11.3436508416 +39 35 21.048816228|142.8881058406578 -19.4252648062965| -11.889 -9.456   |10.11    |~                |    ~     ~    |    1|  158.125   pc  |  -0.6201     +0.6201  |paral   |2020yCat.1350....0G
27  |TYC 2836-1795-1                                                                                                                             |Star                              |02 33 00.2595801696 +40 21 12.001884084|143.0894209766952 -18.5095120738913|  -1.121 -9.785   |10.69    |~                |    ~     ~    |    1|  402.301   pc  | -29.6017    +29.6017  |paral   |2020yCat.1350....0G
28  |TYC 2836-1820-1                                                                                                                             |Star                              |02 33 19.9404635016 +40 08 50.111720988|143.2375242516413 -18.6728562577942| -21.564 -7.924   |10.63    |~                |    ~     ~    |    1|  366.663   pc  |  -5.0416     +5.0416  |paral   |2020yCat.1350....0G
29  |TYC 2836-893-1                                                                                                                              |Star                              |02 35 37.8020498736 +40 35 33.913214088|143.4673016859678 -18.0876654574125|  13.337 -7.333   |9.90     |~                |    ~     ~    |    1| 1357.405   pc  | -47.3535    +47.3535  |paral   |2020yCat.1350....0G
30  |BD+39 586                                                                                                                                   |Star                              |02 38 32.3819184480 +40 20 16.367776944|144.1082624356412 -18.0889026628646|   3.164 -9.200   |9.33     |A0               |    ~     ~    |    1|  421.017   pc  |  -5.3531     +5.3531  |paral   |2020yCat.1350....0G
31  |HD 16004                                                                                                                                    |Star                              |02 35 27.9012972072 +39 39 51.766294680|143.8402253370897 -18.9466367410605| 16.665 -34.050   |6.345    |B9.5IIIpHg?      |    ~     ~    |    1|  176.566   pc  |  -2.8058     +2.8058  |paral   |2020yCat.1350....0G
32  |BD+39 578                                                                                                                                   |Star                              |02 36 33.0844339152 +39 45 59.611267116|143.9964062913385 -18.7670722778905|   0.351 -0.563   |9.97     |K0               |    ~     ~    |    1|  733.299   pc  |  -9.9480     +9.9480  |paral   |2020yCat.1350....0G
33  |HD 16219                                                                                                                                    |Spectroscopic Binary              |02 37 20.8404309792 +39 53 45.957893172|144.0859091913724 -18.5855754648041| 12.763 -12.022   |6.522    |B5V              |    ~     ~    |    1|  254.790   pc  |  -3.3692     +3.3692  |paral   |2020yCat.1350....0G
34  |BD+39 584                                                                                                                                   |Star                              |02 38 15.6758049744 +39 38 27.408041412|144.3673383563906 -18.7432263202365| 18.656 -23.847   |9.62     |F2               |    ~     ~    |    1|  212.780   pc  |  -1.1409     +1.1409  |paral   |2020yCat.1350....0G
35  |BD+39 587                                                                                                                                   |Star                              |02 38 41.1221256264 +40 06 41.962361400|144.2353447035097 -18.2822248988163| 36.799 -28.257   |10.41    |K0               |    ~     ~    |    1|  118.495   pc  |  -0.2949     +0.2949  |paral   |2020yCat.1350....0G
36  |BD+39 588                                                                                                                                   |Star                              |02 38 43.7199509232 +39 58 40.319263020|144.3028775282127 -18.3999503287158|  -0.377 -7.606   |9.04     |K0               |    ~     ~    |    1|  416.875   pc  |  -3.9797     +3.9797  |paral   |2020yCat.1350....0G
37  |BD+39 589                                                                                                                                   |Star                              |02 38 54.8422867536 +40 07 08.667969420|144.2737529861340 -18.2570033013022| 31.546 -13.699   |10.38    |F8               |    ~     ~    |    1|  236.731   pc  |  -1.3842     +1.3842  |paral   |2020yCat.1350....0G
38  |BD+39 591                                                                                                                                   |Star                              |02 39 00.7695673176 +40 07 06.328844436|144.2920561184295 -18.2495893517178|  -2.945 -2.972   |10.14    |G0               |    ~     ~    |    1|  881.834   pc  | -60.1109    +60.1109  |paral   |2020yCat.1350....0G
39  |HD 16444                                                                                                                                    |Star                              |02 39 31.9853771688 +40 08 18.175122708|144.3779141895070 -18.1892791418307|-13.830 -10.878   |9.10     |G                |    ~     ~    |    1|  222.168   pc  |  -0.9427     +0.9427  |paral   |2020yCat.1350....0G
40  |AG+39 297                                                                                                                                   |Long-Period Variable Candidate    |02 40 01.9301207016 +39 50 04.979707548|144.6055007943340 -18.4230866367172| -13.524 -4.833   |8.29     |M7               |    ~     ~    |    1|  551.815   pc  | -18.6963    +18.6963  |paral   |2020yCat.1350....0G
41  |HD 16566                                                                                                                                    |Star                              |02 40 39.0861201816 +40 07 01.283926404|144.5908938639732 -18.1171787079350|   10.616 0.504   |8.75     |A0               |    ~     ~    |    1|  365.711   pc  |  -3.3971     +3.3971  |paral   |2020yCat.1350....0G
42  |HD 15442                                                                                                                                    |High Proper Motion Star           |02 30 12.4420170576 +38 57 06.904027296|143.1589029985500 -20.0093303591538| -2.547 -61.003   |7.55     |A2               |    ~     ~    |    1|   99.268   pc  |  -0.2917     +0.2917  |paral   |2020yCat.1350....0G
43  |HD 15655                                                                                                                                    |Star                              |02 32 09.8119614744 +39 07 10.237849572|143.4581583296345 -19.7041048095276|  -4.496 -3.166   |8.91     |A0               |    ~     ~    |    1|  330.426   pc  | -11.9444    +11.9444  |paral   |2020yCat.1350....0G
44  |BD+38 503                                                                                                                                   |Star                              |02 33 24.7116988392 +38 43 32.935280736|143.8636230594177 -19.9657780636986| 21.134 -24.386   |9.24     |F0               |    ~     ~    |    1|  154.885   pc  |  -6.0765     +6.0765  |paral   |2020yCat.1350....0G
