C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:00:29

dec >=0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2229

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+83 345                                                                                                |Star                                |11 59 49.4282958288 +82 44 33.513613620|124.8862796370813 +34.1887267762835| 27.774 -20.393    |9.60     |F8                |    ~     ~    |    1|  156.223   pc  |  -0.3246     +0.3246  |paral   |2020yCat.1350....0G
24  |BD+82 345                                                                                                |Star                                |11 47 19.0729020792 +81 49 27.134821740|125.6783742992797 +34.9592750917924|    1.381 4.433    |10.23    |G5                |    ~     ~    |    1|  197.652   pc  |  -0.6368     +0.6368  |paral   |2020yCat.1350....0G
25  |BD+82 347                                                                                                |Star                                |11 53 35.6683246416 +81 58 22.096877772|125.3681862575277 +34.8799851209839|  17.925 -9.009    |9.36     |K0                |    ~     ~    |    1|  456.600   pc  |  -2.5643     +2.5643  |paral   |2020yCat.1350....0G
26  |HD 103261                                                                                                |Double or Multiple Star             |11 54 07.9871844912 +81 56 13.023835404|125.3578511925230 +34.9195934036743|     -48.1 -1.3    |9.246    |F8                |    ~     ~    |    0|                |                       |        |                   
27  |BD+82 349                                                                                                |High Proper Motion Star             |11 56 52.0428708216 +81 47 17.555376372|125.2915492709430 +35.0885182183932|  51.561 -7.430    |10.53    |G5                |    ~     ~    |    1|  160.821   pc  |  -0.3181     +0.3181  |paral   |2020yCat.1350....0G
28  |BD+82 351                                                                                                |Star                                |11 58 12.4420412400 +82 10 52.589825544|125.1152390117722 +34.7200434642826| -34.333 -3.078    |9.56     |F2                |    ~     ~    |    1|  210.744   pc  | -13.2883    +13.2883  |paral   |2020yCat.1350....0G
29  |BD+82 352                                                                                                |Star                                |11 58 17.2072911528 +81 43 58.506770676|125.2485316334962 +35.1548897830710| -10.244 -1.969    |10.72    |G                 |    ~     ~    |    1|  297.362   pc  |  -1.0346     +1.0346  |paral   |2020yCat.1350....0G
30  |BD+82 353                                                                                                |Star                                |11 59 44.5751442720 +82 00 42.640195140|125.1036797279129 +34.8972513898888|   -6.076 1.165    |10.64    |K0                |    ~     ~    |    1| 1174.812   pc  | -23.4631    +23.4631  |paral   |2020yCat.1350....0G
31  |BD+82 346                                                                                                |Double or Multiple Star             |11 47 25.909152 +81 40 57.52128        |125.725451563 +35.095545378        |    -10.5 -10.2    |10.46    |F8                |    ~     ~    |    0|                |                       |        |                   
32  |BD+82 354                                                                                                |Star                                |11 59 49.7359212299 +81 23 55.117460353|125.2826249856502 +35.4927689149529|  20.651 -6.980    |10.62    |F8                |    ~     ~    |    1|  217.6468  pc  |  -1.2932     +1.2932  |paral   |2018yCat.1345....0G
33  |BD+82 350                                                                                                |Star                                |11 57 58.3224022152 +81 15 50.582192472|125.4070411072745 +35.6057449445963|-18.339 -13.825    |9.32     |G5                |    ~     ~    |    1|  301.659   pc  |  -1.0101     +1.0101  |paral   |2020yCat.1350....0G
34  |BD+81 385                                                                                                |Star                                |11 46 17.8583357136 +81 03 40.538296116|126.0065122546040 +35.6747000781599| -14.293 37.238    |9.81     |F0                |    ~     ~    |    1|  159.165   pc  |  -0.3116     +0.3116  |paral   |2020yCat.1350....0G
35  |BD+81 386                                                                                                |Star                                |11 50 38.6735218968 +80 40 28.099981236|125.9455624853392 +36.0952960667168| -15.192 14.751    |10.12    |G5                |    ~     ~    |    1|  726.058   pc  |  -6.1151     +6.1151  |paral   |2020yCat.1350....0G
36  |BD+81 387                                                                                                |Star                                |11 55 23.1931012008 +80 59 31.928197848|125.6125060610011 +35.8424156643447| -10.031 -5.585    |9.45     |K0                |    ~     ~    |    1|  502.462   pc  |  -3.2316     +3.2316  |paral   |2020yCat.1350....0G
37  |HD 103902                                                                                                |Double or Multiple Star             |11 58 05.7149519 +80 37 55.266908      |125.5992718455 +36.2183204739      |  -71.18 -41.27    |8.19     |F8                |0.0067  0.0    |    1|  137.9196  pc  | -13.7319    +13.7319  |paral   |2018yCat.1345....0G
38  |HD 102029                                                                                                |High Proper Motion Star             |11 45 31.7243078640 +80 00 11.771942328|126.4513020488966 +36.6704059451128|-42.306 -28.126    |9.19     |F8                |    ~     ~    |    1|  162.030   pc  |  -0.3019     +0.3019  |paral   |2020yCat.1350....0G
39  |BD+80 365                                                                                                |Star                                |11 47 51.3632409912 +80 11 03.755542956|126.2630120219770 +36.5290995922772| -11.485 -8.579    |9.37     |K5                |    ~     ~    |    1|  672.631   pc  |  -5.7006     +5.7006  |paral   |2020yCat.1350....0G
40  |HD 103469                                                                                                |High Proper Motion Star             |11 55 16.1886115200 +79 40 33.269354328|126.0575829502380 +37.1091369692321|-76.780 -25.028    |9.26     |G5                |    ~     ~    |    1|  136.295   pc  |  -0.2006     +0.2006  |paral   |2020yCat.1350....0G
41  |HD 104126                                                                                                |Star                                |11 59 48.2114569728 +79 35 43.161069984|125.8368140389911 +37.2400138991133|  -1.826 16.914    |7.73     |F8                |    ~     ~    |    1|  226.352   pc  |  -1.6139     +1.6139  |paral   |2020yCat.1350....0G
42  |BD+79 377                                                                                                |Star                                |11 53 29.9406567048 +79 11 14.627912064|126.3251778753000 +37.5563073073057|  12.621 -2.154    |9.28     |F8                |    ~     ~    |    1|  280.710   pc  |  -0.9377     +0.9377  |paral   |2020yCat.1350....0G
