C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:00:29

dec >=0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2229

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
586 |BD+48 1990                                                                                               |Star                                |11 59 11.6637015744 +48 00 35.079197256|145.4689926300498 +66.7682371399459|-29.444 -23.662    |9.80     |G9III             |    ~     ~    |    1|  669.031   pc  |  -6.8483     +6.8483  |paral   |2020yCat.1350....0G
587 |NGC 3924                           NGC 3924                                                              |Galaxy                              |11 52 39.1580744976 +50 02 15.978510276|145.1532521224493 +64.4779490265145|   0.175 -0.496    |     ~   |~                 | 1.58  1.48    |    0|                |                       |        |                   
588 |NGC 3922                           NGC 3922                                                              |Galaxy towards a Group of Galaxies  |11 51 13.4350927728 +50 09 24.771563208|145.4576057002782 +64.2558011517257|   0.325 -0.129    |     ~   |~                 |1.177 0.447    |    1|   17.18    Mpc |                       |redshift|2007ApJ...655..790C
589 |NGC 3985                           NGC 3985                                                              |Galaxy towards a Group of Galaxies  |11 56 42.1288367760 +48 20 03.129462132|145.9412853548229 +66.2757687073013|   -0.414 0.648    |     ~   |~                 |0.983 0.649    |    1|   18.11    Mpc |  -2.53       +2.53    |T-F     |2020ApJ...902..145K
590 |NGC 3950                           NGC 3950                                                              |Galaxy                              |11 53 41.4171114336 +47 53 04.447128732|147.5996963577986 +66.3837706834293|            ~ ~    |     ~   |~                 |0.263 0.216    |    0|                |                       |        |                   
591 |NGC 3928                           NAME Miniature Spiral              NGC 3928                           |Active Galaxy Nucleus               |11 51 47.6194275264 +48 40 59.261680020|147.1596460261536 +65.5440518890113|  -0.035 -0.140    |     ~   |~                 |0.800 0.720    |    1|   16.90    Mpc |                       |        |2016AJ....152...50T
592 |NGC 3932                           NGC 3932                                                              |Galaxy                              |11 52 29.241 +48 27 32.00              |147.228335 +65.794351              |            ~ ~    |     ~   |~                 |0.493 0.306    |    0|                |                       |        |                   
593 |BD+50 1867                                                                                               |Star                                |11 50 29.1740943840 +49 34 44.699933640|146.4130799313828 +64.6781538259149|  -2.812 -0.448    |10.74    |A7                |    ~     ~    |    1|  278.9089  pc  | -17.9384    +17.9384  |paral   |2018yCat.1345....0G
594 |BD+50 1868                                                                                               |Star                                |11 51 03.9906919344 +49 40 58.296328428|146.0969539014360 +64.6421932427235|  -26.852 0.220    |10.04    |F2                |    ~     ~    |    1|  435.977   pc  |  -5.2651     +5.2651  |paral   |2020yCat.1350....0G
595 |NGC 3949                           NGC 3949                                                              |Galaxy towards a Group of Galaxies  |11 53 41.7311041896 +47 51 31.401451476|147.6336359113351 +66.4057726200601|   0.239 -0.292    |     ~   |~                 |1.663 1.065    |    1|   17.86    Mpc |  -2.49       +2.49    |T-F     |2020ApJ...902..145K
596 |BD+51 1705                                                                                               |Double or Multiple Star             |11 51 26.2950395568 +50 32 18.979351152|144.9293653203802 +63.9497683580015|      -24.3 7.6    |9.59     |~                 |    ~     ~    |    0|                |                       |        |                   
597 |BD+49 2084                                                                                               |Spectroscopic Binary                |11 47 16.0920056688 +48 33 49.704530976|148.7978039911282 +65.2157445709821| 10.683 -14.346    |10.00    |K0III             |    ~     ~    |    1|  866.626   pc  | -25.1599    +25.1599  |paral   |2020yCat.1350....0G
598 |TYC 3452-1222-1                                                                                          |Star                                |11 55 41.3579113776 +47 54 25.112420676|146.8661440598886 +66.5480467879886|  -0.916 14.390    |10.73    |~                 |    ~     ~    |    1|  151.105   pc  |  -0.4041     +0.4041  |paral   |2020yCat.1350....0G
599 |TYC 3452-1416-1                                                                                          |High Proper Motion Star             |11 53 58.0054753056 +48 09 46.515363696|147.1229382445620 +66.1767985517879| 23.157 -70.198    |10.89    |G9III             |    ~     ~    |    1|  107.977   pc  |  -0.1784     +0.1784  |paral   |2020yCat.1350....0G
600 |TYC 3452-1546-1                                                                                          |High Proper Motion Star             |11 54 59.4333733704 +48 25 55.575510456|146.4099110438595 +66.0423842486216|116.889 -77.412    |10.83    |~                 |    ~     ~    |    1|  145.328   pc  |  -0.3274     +0.3274  |paral   |2020yCat.1350....0G
601 |TYC 3454-354-1                                                                                           |Star                                |11 55 24.2461754952 +50 20 47.692075632|143.9092401443179 +64.4379851296785|   5.026 -8.150    |10.29    |~                 |    ~     ~    |    1|  189.022   pc  |  -0.8182     +0.8182  |paral   |2020yCat.1350....0G
602 |TYC 3454-459-1                                                                                           |Star                                |11 54 18.0513 +50 33 58.457            |144.0055077 +64.1598821            | -32.511 -5.629    |10.14    |~                 |    ~     ~    |    0|                |                       |        |                   
603 |TYC 3454-713-1                                                                                           |Star                                |11 56 09.5869726944 +48 59 58.039178532|145.2804384821251 +65.6608186655747| -47.119 10.636    |10.18    |~                 |    ~     ~    |    1|  273.718   pc  |  -1.3411     +1.3411  |paral   |2020yCat.1350....0G
604 |TYC 3454-741-1                                                                                           |Star                                |11 50 26.7483691344 +49 15 13.005534744|146.8464697532706 +64.9463994146312|  3.089 -20.985    |10.23    |~                 |    ~     ~    |    1|  210.535   pc  |  -0.8377     +0.8377  |paral   |2020yCat.1350....0G
605 |BD+50 1869                                                                                               |Star                                |11 51 15.3947058048 +49 55 50.136184956|145.7264967740781 +64.4499368601482| -25.185 -6.704    |10.56    |K0III             |    ~     ~    |    1|  905.551   pc  | -12.3823    +12.3823  |paral   |2020yCat.1350....0G
606 |TYC 3454-990-1                                                                                           |Star                                |11 57 06.5482 +49 09 42.286            |144.7556146 +65.6007269            |      -0.5 12.3    |10.12    |~                 |    ~     ~    |    0|                |                       |        |                   
607 |HD 102223                                                                                                |Star                                |11 46 08.5641961224 +50 33 48.833371728|146.4944057459159 +63.4724967738628|  -47.689 2.057    |7.67     |F0                |    ~     ~    |    1|  227.656   pc  |  -1.2076     +1.2076  |paral   |2020yCat.1350....0G
608 |HD 233864                                                                                                |Star                                |11 45 47.3532508224 +49 51 51.285517920|147.4961115390413 +64.0164682650448| -26.566 10.639    |9.60     |G6III:            |    ~     ~    |    1|  144.867   pc  |  -0.3001     +0.3001  |paral   |2020yCat.1350....0G
609 |BD+49 2081                                                                                               |Star                                |11 45 29.5495195872 +48 19 37.324821648|149.6987061247712 +65.2309264994816|-11.408 -10.006    |10.37    |G8III             |    ~     ~    |    1|  818.465   pc  | -10.8521    +10.8521  |paral   |2020yCat.1350....0G
610 |NAME Taiyangshou                   NAME Alkafzah                      * chi UMa                          |High Proper Motion Star             |11 46 03.0140741 +47 46 45.862653      |150.3197040029 +65.7230189568      |  -138.29 28.57    |3.72     |K0.5IIIb:         |    ~     ~    |    1|   59.2635  pc  |  -1.1355     +1.1355  |paral   |2018yCat.1345....0G
611 |BD+48 1967                                                                                               |High Proper Motion Star             |11 46 50.9025073320 +47 53 25.572583428|149.8969800626191 +65.7157679136686|-82.766 -65.052    |9.99     |K0V               |    ~     ~    |    1|   52.449   pc  |  -0.0457     +0.0457  |paral   |2020yCat.1350....0G
612 |BD+48 1968                                                                                               |Star                                |11 47 12.9484680600 +47 47 15.024200496|149.9278475842154 +65.8350815430363|  13.013 -7.745    |10.43    |F5                |    ~     ~    |    1|  283.849   pc  |  -1.1763     +1.1763  |paral   |2020yCat.1350....0G
613 |NGC 3870                           NGC 3870                                                              |Galaxy towards a Group of Galaxies  |11 45 56.634 +50 11 59.66              |147.014594 +63.755002              |            ~ ~    |     ~   |~                 |0.630 0.378    |    1|   15.6300  Mpc |                       |redshift|2019A&A...631A..38L
614 |TYC 3452-1105-1                                                                                          |Star                                |11 46 38.6252869992 +48 35 06.545580720|148.9667755938868 +65.1376910892552| -11.482 -4.285    |10.86    |~                 |    ~     ~    |    1|  495.491   pc  |  -5.3521     +5.3521  |paral   |2020yCat.1350....0G
615 |TYC 3454-1087-1                                                                                          |Star                                |11 46 27.5482586904 +49 59 13.475304672|147.1342727565708 +63.9771419053187|  9.165 -12.263    |10.82    |~                 |    ~     ~    |    1|  391.481   pc  |  -2.4674     +2.4674  |paral   |2020yCat.1350....0G
616 |BD+47 1904                                                                                               |Star                                |11 48 24.0470623920 +46 12 09.276017436|151.9647953727576 +67.2116461006798|-14.998 -29.759    |9.58     |G7III             |    ~     ~    |    1|  572.705   pc  |  -4.3295     +4.3295  |paral   |2020yCat.1350....0G
617 |BD+47 1905                                                                                               |Spectroscopic Binary                |11 49 18.5906341224 +47 04 34.034620188|150.2859767485880 +66.6165139296502| 41.854 -46.594    |10.10    |F8                |    ~     ~    |    1|  202.429   pc  |  -1.0285     +1.0285  |paral   |2020yCat.1350....0G
618 |BD+47 1906                                                                                               |Eclipsing Binary                    |11 49 42.9340053696 +46 45 03.250561536|150.6422690154571 +66.9178691787037|  -9.314 -2.349    |10.13    |A0                |    ~     ~    |    1|  739.590   pc  | -22.1532    +22.1532  |paral   |2020yCat.1350....0G
619 |HD 102570                                                                                                |High Proper Motion Star             |11 48 34.7907803016 +46 07 48.713144232|152.0189837140229 +67.2875454649173| -43.122 30.016    |8.32     |F3V               |    ~     ~    |    1|  110.662   pc  |  -1.0275     +1.0275  |paral   |2020yCat.1350....0G
620 |HD 102823                                                                                                |Star                                |11 50 29.0263312728 +45 46 22.544276412|151.9213686616266 +67.7731017359793| -0.485 -14.371    |9.40     |F8                |    ~     ~    |    1|  194.435   pc  |  -9.9805     +9.9805  |paral   |2020yCat.1350....0G
621 |BD+45 1962                                                                                               |Star                                |11 49 02.0426648904 +44 59 53.398558608|153.7541616282078 +68.2129377579483| -23.821 -2.880    |10.71    |G9III             |    ~     ~    |    1|  231.868   pc  |  -1.0161     +1.0161  |paral   |2020yCat.1350....0G
622 |HD 102895                                                                                                |Star                                |11 50 55.6003047168 +45 06 22.486865904|152.8719849597022 +68.3426147345783| -15.705 34.701    |8.93     |G0                |    ~     ~    |    1|  135.168   pc  |  -0.3837     +0.3837  |paral   |2020yCat.1350....0G
623 |HD 103845                                                                                                |Star                                |11 57 29.2103673480 +47 47 19.033814004|146.3808384972603 +66.8089074884331|  11.273 -3.667    |8.3      |K0III             |    ~     ~    |    1|  321.968   pc  |  -2.1977     +2.1977  |paral   |2020yCat.1350....0G
624 |HD 103984                                                                                                |High Proper Motion Star             |11 58 31.8401165328 +47 45 55.433915208|146.0314202730160 +66.9204662902509| -130.073 3.839    |6.930    |F2                |    ~     ~    |    1|   56.723   pc  |  -0.0624     +0.0624  |paral   |2020yCat.1350....0G
625 |HD 103150                                                                                                |High Proper Motion Star             |11 52 45.5467769376 +47 32 47.065441560|148.3996482751713 +66.5760601477032|-47.805 -89.138    |8.45     |F8                |    ~     ~    |    1|   82.828   pc  |  -0.1427     +0.1427  |paral   |2020yCat.1350....0G
626 |BD+48 1980                                                                                               |High Proper Motion Star             |11 52 49.1946232368 +47 42 06.538811832|148.1579946381821 +66.4536549178805|-103.381 -14.699   |10.45    |F8                |    ~     ~    |    1|  194.009   pc  |  -0.7904     +0.7904  |paral   |2020yCat.1350....0G
627 |BD+48 1986a                                                                                              |Star                                |11 57 08.5125049464 +47 32 53.281813884|146.8314936959742 +66.9819224587842| -16.208 -8.761    |9.96     |K0III             |    ~     ~    |    1|  318.492   pc  |  -1.3897     +1.3897  |paral   |2020yCat.1350....0G
628 |BD+48 1981                                                                                               |Star                                |11 53 40.0580279328 +47 23 44.450984724|148.2948082610401 +66.7871716160886|    0.883 1.052    |10.15    |G8III             |    ~     ~    |    1|  872.448   pc  | -11.1891    +11.1891  |paral   |2020yCat.1350....0G
629 |BD+48 1983                                                                                               |Star                                |11 53 59.5279473456 +47 29 21.345006264|148.0465982703587 +66.7404943003997|-31.063 -15.424    |8.98     |G0                |    ~     ~    |    1|  214.059   pc  |  -0.7286     +0.7286  |paral   |2020yCat.1350....0G
630 |V* HV UMa                                                                                                |RR Lyrae Variable                   |11 55 38.0372183472 +47 15 26.635878216|147.7851640114027 +67.0876517228185| 13.939 -37.549    |8.64     |A3                |    ~     ~    |    1|  250.438   pc  |  -1.2168     +1.2168  |paral   |2020yCat.1350....0G
631 |BD+47 1907                                                                                               |Pulsating Variable                  |11 51 13.3147210752 +47 03 27.213374808|149.6510729233308 +66.8248362326718|    4.031 3.217    |9.18     |F0                |    ~     ~    |    1|  317.995   pc  |  -1.7191     +1.7191  |paral   |2020yCat.1350....0G
632 |HD 103187                                                                                                |Star                                |11 52 59.2637775408 +46 33 30.925625292|149.7731662097291 +67.4062211402655|   2.160 -4.105    |8.1      |G5                |    ~     ~    |    1|  321.833   pc  |  -3.2627     +3.2627  |paral   |2020yCat.1350....0G
633 |* 65 UMa A                                                                                               |Eclipsing Binary                    |11 55 05.7460955088 +46 28 36.597092700|149.1215973274881 +67.6823764088881|   10.182 2.155    |6.67     |hA5VkA2mA3        |    ~     ~    |    1|   95.776   pc  |  -6.0854     +6.0854  |paral   |2020yCat.1350....0G
634 |* 65 UMa B                                                                                               |Eclipsing Binary                    |11 55 11.3304120408 +46 28 11.166446208|149.0975256120424 +67.6973156279219|   10.266 5.184    |6.965    |F0IVspCrSrEu      |    ~     ~    |    1|  169.736   pc  |  -8.0122     +8.0122  |paral   |2020yCat.1350....0G
635 |HD 103691                                                                                                |Star                                |11 56 29.7124266024 +46 41 50.283831516|148.2722978510008 +67.6354993536447| -44.691 -6.513    |8.0      |K0IV              |    ~     ~    |    1|  243.291   pc  |  -1.1542     +1.1542  |paral   |2020yCat.1350....0G
636 |HD 103795                                                                                                |Star                                |11 57 14.1783262080 +46 34 07.117975992|148.1807995798331 +67.8130809480820| -8.541 -14.939    |8.62     |K2III             |    ~     ~    |    1|  778.028   pc  | -13.8620    +13.8620  |paral   |2020yCat.1350....0G
637 |HD 103964                                                                                                |Star                                |11 58 22.7985824280 +46 14 24.099011520|148.2249344478816 +68.1959472305341|   4.106 -7.561    |9.42     |K3III             |    ~     ~    |    1|  717.412   pc  |  -8.9554     +8.9554  |paral   |2020yCat.1350....0G
638 |BD+47 1919                                                                                               |High Proper Motion Star             |11 59 34.4156632968 +46 35 57.312049740|147.2397062472090 +68.0053364686782|-68.262 -15.185    |9.30     |F8                |    ~     ~    |    1|  117.248   pc  |  -0.2282     +0.2282  |paral   |2020yCat.1350....0G
639 |HD 103387                                                                                                |Star                                |11 54 22.7617134552 +46 05 54.637378836|149.9668374742093 +67.9200008713621| 10.429 -13.088    |10.40    |K0III             |    ~     ~    |    1|  775.976   pc  |  -8.7310     +8.7310  |paral   |2020yCat.1350....0G
640 |HD 103692                                                                                                |High Proper Motion Star             |11 56 34.7058147336 +45 51 31.806959832|149.5011386542824 +68.3363033429349| -9.539 -52.203    |9.89     |G6IV:             |    ~     ~    |    1|  173.127   pc  |  -2.2360     +2.2360  |paral   |2020yCat.1350....0G
641 |HD 103830                                                                                                |High Proper Motion Star             |11 57 23.3373184344 +45 45 59.387813496|149.3284603672545 +68.4926307033768| -40.529 39.791    |9.25     |G0                |    ~     ~    |    1|  100.463   pc  |  -0.1373     +0.1373  |paral   |2020yCat.1350....0G
642 |BD+46 1752                                                                                               |Star                                |11 52 04.9564367112 +45 38 49.241092740|151.5411622721075 +68.0438662470945|   -5.786 4.156    |9.29     |K0III             |    ~     ~    |    1|  595.664   pc  |  -6.7415     +6.7415  |paral   |2020yCat.1350....0G
643 |BD+46 1754                                                                                               |Red Giant Branch star               |11 53 13.8991845600 +45 18 29.109004020|151.6669581516848 +68.4353596887337| -29.479 -9.882    |9.85     |G8III             |    ~     ~    |    1|  976.086   pc  | -12.3857    +12.3857  |paral   |2020yCat.1350....0G
644 |HD 103388                                                                                                |Star                                |11 54 22.1519778072 +45 13 19.659821880|151.3736701147854 +68.6249098933042|   2.836 -5.330    |10.65    |G8III             |    ~     ~    |    1|  691.085   pc  |  -6.6386     +6.6386  |paral   |2020yCat.1350....0G
645 |HD 103706                                                                                                |High Proper Motion Star             |11 56 41.9136953352 +45 23 54.997664316|150.1784353821803 +68.7246349926555|-108.061 -21.431   |9.72     |G5IV:             |    ~     ~    |    1|  151.589   pc  |  -0.3355     +0.3355  |paral   |2020yCat.1350....0G
646 |HD 103888                                                                                                |Double or Multiple Star             |11 57 48.48816 +45 17 32.3808          |149.90744485 +68.92394219          |            ~ ~    |9.70     |G5                |    ~     ~    |    0|                |                       |        |                   
647 |HD 103904                                                                                                |Star                                |11 57 53.3310814368 +45 30 38.678183604|149.5296139076556 +68.7527626486231| -3.583 -23.371    |9.11     |G9III             |    ~     ~    |    1|  482.835   pc  |  -3.7534     +3.7534  |paral   |2020yCat.1350....0G
648 |HD 103499                                                                                                |Spectroscopic Binary                |11 55 14.0487416112 +45 04 54.921340632|151.2693044876515 +68.8285730976413|  -9.640 -4.020    |10.30    |G8III             |    ~     ~    |    1| 1116.445   pc  | -39.1385    +39.1385  |paral   |2020yCat.1350....0G
649 |V* HW UMa                                                                                                |Long-Period Variable Candidate      |11 57 16.8263832744 +45 00 37.645848396|150.5748719568341 +69.0999006815786|  -18.122 2.039    |8.90     |M2III             |    ~     ~    |    1|  949.848   pc  | -20.2095    +20.2095  |paral   |2020yCat.1350....0G
650 |HD 104074                                                                                                |Spectroscopic Binary                |11 59 20.1798561720 +45 03 44.710334208|149.6548413280783 +69.2663785626365| -15.119 -7.769    |10.58    |G5                |    ~     ~    |    1|  315.408   pc  |  -1.6017     +1.6017  |paral   |2020yCat.1350....0G
651 |NGC 4010                           NGC 4010                                                              |Galaxy towards a Group of Galaxies  |11 58 37.991 +47 15 40.72              |146.673036 +67.358964              |            ~ ~    |     ~   |~                 |1.530 0.275    |    1|   17.95    Mpc |  -1.86       +1.86    |T-F     |2020ApJ...902..145K
652 |NGC 4001                           NGC 4001                                                              |Galaxy                              |11 58 06.7856518224 +47 20 05.441327520|146.7660561395863 +67.2499010036770|   -0.066 0.074    |     ~   |~                 |0.373 0.261    |    0|                |                       |        |                   
653 |TYC 3452-21-1                                                                                            |Star                                |11 53 20.8988815272 +45 55 18.831962460|150.6289843587935 +67.9572730525320| -10.358 -3.779    |10.59    |~                 |    ~     ~    |    1|  285.372   pc  |  -1.5147     +1.5147  |paral   |2020yCat.1350....0G
654 |TYC 3452-106-1                                                                                           |Red Giant Branch star               |11 56 21.6861043368 +45 45 54.068059116|149.7310560592813 +68.3914834492134|  3.909 -50.887    |10.81    |~                 |    ~     ~    |    1|  444.603   pc  |  -3.5186     +3.5186  |paral   |2020yCat.1350....0G
655 |TYC 3452-165-1                                                                                           |Spectroscopic Binary                |11 51 29.0616020040 +45 37 40.605670776|151.7933002709665 +67.9949511281795| -3.770 -36.559    |10.70    |~                 |    ~     ~    |    1|  175.543   pc  |  -1.0878     +1.0878  |paral   |2020yCat.1350....0G
656 |TYC 3452-186-1                                                                                           |High Proper Motion Star             |11 59 00.6792508200 +45 34 22.518259032|148.9841672037993 +68.8121509562919| -47.396 16.505    |10.82    |G8                |    ~     ~    |    1|   96.775   pc  |  -0.1508     +0.1508  |paral   |2020yCat.1350....0G
657 |TYC 3452-281-1                                                                                           |High Proper Motion Star             |11 57 31.5883310472 +45 23 31.378006140|149.8611193245206 +68.8138737980808| -80.486 11.496    |10.96    |K0III:            |    ~     ~    |    1|  103.674   pc  |  -0.2150     +0.2150  |paral   |2020yCat.1350....0G
658 |TYC 3452-288-1                                                                                           |Star                                |11 52 27.8013658536 +45 23 16.561929444|151.8247853894374 +68.2897192691091| 25.009 -40.163    |10.83    |~                 |    ~     ~    |    1|  186.012   pc  |  -0.6090     +0.6090  |paral   |2020yCat.1350....0G
659 |TYC 3452-495-1                                                                                           |Star                                |11 51 42.0198292896 +47 12 13.638232332|149.2667351377296 +66.7537013845387|  3.119 -29.868    |10.47    |~                 |    ~     ~    |    1|  237.062   pc  |  -0.9441     +0.9441  |paral   |2020yCat.1350....0G
660 |TYC 3452-541-1                                                                                           |Star                                |11 58 45.3455023728 +47 09 41.509780920|146.7642807661133 +67.4546747529848|  -32.874 2.396    |10.49    |~                 |    ~     ~    |    1|  265.442   pc  |  -1.3528     +1.3528  |paral   |2020yCat.1350....0G
661 |TYC 3452-559-1                                                                                           |Star                                |11 59 33.4388249808 +47 08 31.344777096|146.4881963305955 +67.5429211712169|  -9.256 -2.678    |10.47    |G8III             |    ~     ~    |    1|  812.612   pc  | -12.2823    +12.2823  |paral   |2020yCat.1350....0G
662 |TYC 3452-730-1                                                                                           |High Proper Motion Star             |11 59 52.5823807872 +47 17 44.118674052|146.1586761486067 +67.4399692306953| -53.434 -0.455    |10.28    |~                 |    ~     ~    |    1|  198.574   pc  |  -0.7098     +0.7098  |paral   |2020yCat.1350....0G
663 |TYC 3452-748-1                                                                                           |Spectroscopic Binary                |11 51 06.1201875000 +47 18 45.864513432|149.3149970898480 +66.6060130327683|  -20.093 8.697    |10.72    |~                 |    ~     ~    |    1|  202.515   pc  |  -1.0581     +1.0581  |paral   |2020yCat.1350....0G
664 |TYC 3452-787-1                                                                                           |Star                                |11 53 28.9380495000 +46 25 50.559211992|149.7876892290232 +67.5597378729551|  2.456 -34.523    |9.60     |~                 |    ~     ~    |    1|  174.926   pc  |  -0.6548     +0.6548  |paral   |2020yCat.1350....0G
665 |TYC 3452-873-1                                                                                           |Star                                |11 48 44.4873351792 +46 55 00.427530036|150.7236859527845 +66.6849650446785|  -33.344 4.143    |10.99    |~                 |    ~     ~    |    1|  352.274   pc  |  -2.1841     +2.1841  |paral   |2020yCat.1350....0G
666 |TYC 3452-959-1                                                                                           |High Proper Motion Star             |11 55 09.3529993920 +47 25 49.581085692|147.7139579695783 +66.8986360188161|-71.850 -38.703    |10.97    |~                 |    ~     ~    |    1|  163.908   pc  |  -0.3896     +0.3896  |paral   |2020yCat.1350....0G
667 |TYC 3452-1037-1                                                                                          |Star                                |11 51 31.2721215936 +47 29 51.808602192|148.9001485384878 +66.4964731235425|-28.157 -12.294    |9.61     |~                 |    ~     ~    |    1|  131.888   pc  |  -0.3096     +0.3096  |paral   |2020yCat.1350....0G
668 |TYC 3452-1048-1                                                                                          |Star                                |11 57 04.3864193976 +46 47 35.565371196|147.9163729526341 +67.6102090300902|   10.030 5.196    |10.93    |~                 |    ~     ~    |    1|  273.658   pc  |  -1.2731     +1.2731  |paral   |2020yCat.1350....0G
669 |TYC 3452-1056-1                                                                                          |Star                                |11 59 58.3159685280 +47 30 52.236195120|145.8298533382832 +67.2606549083969|  -31.269 6.979    |10.40    |G8III:            |    ~     ~    |    1|  406.223   pc  |  -3.2178     +3.2178  |paral   |2020yCat.1350....0G
670 |TYC 3452-1109-1                                                                                          |Star                                |11 53 32.2706318136 +47 46 06.837883572|147.8140111877636 +66.4660151773639|  -30.897 1.108    |10.91    |~                 |    ~     ~    |    1|  252.589   pc  |  -1.2377     +1.2377  |paral   |2020yCat.1350....0G
671 |BD+48 1977                                                                                               |Star                                |11 51 50.9998793448 +47 44 47.441862132|148.4303018367632 +66.3243917691339|  -13.033 0.882    |10.35    |K2III             |    ~     ~    |    1| 1340.123   pc  | -28.5553    +28.5553  |paral   |2020yCat.1350....0G
672 |TYC 3452-1288-1                                                                                          |Spectroscopic Binary                |11 49 08.8480079400 +47 38 28.612384080|149.5008682604047 +66.1461626616312| -53.639 -1.387    |10.47    |~                 |    ~     ~    |    1|  170.314   pc  |  -0.8499     +0.8499  |paral   |2020yCat.1350....0G
673 |TYC 3452-1465-1                                                                                          |Star                                |11 50 16.5625134960 +47 40 55.775270928|149.0603128012857 +66.2245022917734| -13.482 11.642    |10.28    |~                 |    ~     ~    |    1|  450.755   pc  | -42.1802    +42.1802  |paral   |2020yCat.1350....0G
674 |HD 102158                                                                                                |High Proper Motion Star             |11 45 30.5082432219 +47 40 00.768612834|150.6626904482307 +65.7562327342676|-591.261 -290.687  |8.05     |G2                |    ~     ~    |    1|   51.1852  pc  |  -0.0523     +0.0523  |paral   |2020yCat.1350....0G
675 |BD+47 1902                                                                                               |Star                                |11 45 17.0347810704 +46 30 00.558271836|152.5493075586817 +66.6412480771660| -24.354 -2.016    |9.99     |G0                |    ~     ~    |    1|  159.314   pc  |  -0.3655     +0.3655  |paral   |2020yCat.1350....0G
676 |HD 102130                                                                                                |Spectroscopic Binary                |11 45 32.1503051928 +45 36 13.083033348|153.9490498625071 +67.3529676680012|  -14.573 8.002    |8.82     |F0                |    ~     ~    |    1|  174.198   pc  |  -0.6251     +0.6251  |paral   |2020yCat.1350....0G
677 |BD+46 1744B                                                                                              |Star                                |11 45 32.9340507864 +45 36 20.243205864|153.9411831691225 +67.3529629933800|  -13.848 8.894    |9.54     |~                 |    ~     ~    |    1|  170.669   pc  |  -1.4477     +1.4477  |paral   |2020yCat.1350....0G
678 |BD+46 1745                                                                                               |Red Giant Branch star Candidate     |11 46 44.9031428496 +45 13 58.179013896|154.1647239713734 +67.7724872050990|-35.469 -30.096    |9.65     |G8III             |    ~     ~    |    1|  428.596   pc  |  -2.3697     +2.3697  |paral   |2020yCat.1350....0G
679 |HD 102482                                                                                                |Star                                |11 47 51.9062255208 +45 41 05.756806860|153.0022680316254 +67.5543625922051|  29.464 -0.421    |9.06     |G8III             |    ~     ~    |    1|  418.638   pc  |  -3.2598     +3.2598  |paral   |2020yCat.1350....0G
680 |BD+47 1903                                                                                               |Star                                |11 46 09.5416884624 +46 24 58.803030252|152.3903976918140 +66.8018605775903|-38.493 -19.198    |10.13    |G7                |    ~     ~    |    1|  361.063   pc  |  -1.9034     +1.9034  |paral   |2020yCat.1350....0G
681 |TYC 3452-920-1                                                                                           |Star                                |11 45 14.4915987360 +46 35 01.392674496|152.4290996976034 +66.5722671894915|  26.671 -6.690    |10.79    |~                 |    ~     ~    |    1|  211.287   pc  |  -0.6562     +0.6562  |paral   |2020yCat.1350....0G
682 |NGC 3877                           NGC 3877                                                              |Galaxy towards a Group of Galaxies  |11 46 07.782 +47 29 40.20              |150.719609 +65.956603              |            ~ ~    |     ~   |~                 | 5.01  1.15    |    1|   15.00    Mpc |  -1.21       +1.21    |T-F     |2020ApJ...902..145K
683 |BD+44 2124                                                                                               |Star                                |11 46 11.2449416232 +43 57 19.156863528|156.6743755869088 +68.6526996484843|  9.301 -15.712    |9.76     |G9IV              |    ~     ~    |    1|  548.426   pc  |  -8.0907     +8.0907  |paral   |2020yCat.1350....0G
684 |HD 102102                                                                                                |High Proper Motion Star             |11 45 16.2916246320 +43 12 37.349562024|158.4458422161872 +69.0703283847830|  -73.264 9.003    |8.08     |F0                |    ~     ~    |    1|  150.568   pc  |  -0.5962     +0.5962  |paral   |2020yCat.1350....0G
685 |BD+44 2122                                                                                               |Star                                |11 45 27.5592095736 +43 17 59.609594652|158.2010854922482 +69.0312854670884|   1.657 -9.401    |10.13    |G5                |    ~     ~    |    1|   94.751   pc  |  -0.1320     +0.1320  |paral   |2020yCat.1350....0G
686 |V* AZ UMa                                                                                                |Long-Period Variable                |11 47 13.8036159360 +43 28 15.933812664|157.2213025426511 +69.1335203498172|  24.959 -7.111    |8.74     |M6III             |    ~     ~    |    1|  446.668   pc  | -24.5001    +24.5001  |paral   |2020yCat.1350....0G
687 |BD+44 2127                                                                                               |Star                                |11 48 14.0215383648 +43 26 23.177141016|156.9096327606929 +69.2815546983209| -22.046 -8.615    |10.29    |G6V:              |    ~     ~    |    1|  105.390   pc  |  -0.4043     +0.4043  |paral   |2020yCat.1350....0G
