C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:37

dec >=0&rah >=11.5&rah< 11.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2296

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|-----------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+83 332                                                                                                |Star                                |11 32 14.6721247392 +82 33 05.886081648|125.9715867303905 +34.1034066282720|-21.498 -11.067   |9.15     |K2              |    ~     ~      |    1|  638.814   pc  | -14.4870    +14.4870  |paral   |2020yCat.1350....0G
24  |BD+83 333                                                                                                |High Proper Motion Star             |11 34 39.2250421272 +82 37 58.363969548|125.8488896395487 +34.0554181171536|-58.344 -26.808   |10.25    |F8              |    ~     ~      |    1|  212.752   pc  |  -0.6835     +0.6835  |paral   |2020yCat.1350....0G
25  |BD+83 335                                                                                                |Star                                |11 36 15.4083855000 +83 01 09.087737196|125.6300104744116 +33.7108568892020|    0.057 6.085   |9.94     |K0              |    ~     ~      |    1|  660.720   pc  |  -8.3818     +8.3818  |paral   |2020yCat.1350....0G
26  |HD 101828                                                                                                |Star                                |11 44 34.7729233272 +82 19 16.897399932|125.6032026342220 +34.4570291900417|    6.616 1.171   |7.83     |G5II            |    ~     ~      |    1|  396.149   pc  |  -2.5423     +2.5423  |paral   |2020yCat.1350....0G
27  |HD 99686                                                                                                 |High Proper Motion Star             |11 30 33.8923253568 +82 05 43.899163116|126.2382612764577 +34.5067080815397| 72.870 -44.005   |8.75     |G0              |    ~     ~      |    1|  102.667   pc  |  -0.2235     +0.2235  |paral   |2020yCat.1350....0G
28  |BD+82 333                                                                                                |Star                                |11 31 29.3258757672 +81 53 35.660190660|126.2933187656266 +34.7064622230930| -17.267 -1.730   |10.25    |K0              |    ~     ~      |    1|  283.825   pc  |  -0.8861     +0.8861  |paral   |2020yCat.1350....0G
29  |BD+82 335                                                                                                |Star                                |11 33 15.8400826752 +82 03 31.608265140|126.1496344602430 +34.5750589465675|   9.367 10.599   |9.93     |K2              |    ~     ~      |    1|  689.798   pc  |  -4.9485     +4.9485  |paral   |2020yCat.1350....0G
30  |BD+82 340                                                                                                |Star                                |11 39 09.7049350848 +81 52 05.357090028|125.9955790396341 +34.8256164510463|    2.594 2.288   |9.36     |G5              |    ~     ~      |    1|  682.314   pc  |  -6.2850     +6.2850  |paral   |2020yCat.1350....0G
31  |HD 101149                                                                                                |Star                                |11 40 05.0388689112 +82 04 54.427511352|125.8718895456828 +34.6349845467993| 20.154 -17.259   |8.13     |G5              |    ~     ~      |    1|  372.287   pc  |  -2.1344     +2.1344  |paral   |2020yCat.1350....0G
32  |BD+82 344                                                                                                |Star                                |11 43 45.2011113504 +81 46 21.494336916|125.8453356076605 +34.9691794008783| -19.415 -7.217   |10.35    |G0              |    ~     ~      |    1|  378.974   pc  |  -3.6049     +3.6049  |paral   |2020yCat.1350....0G
33  |BD+82 336                                                                                                |High Proper Motion Star             |11 34 37.6294225872 +81 40 43.938946092|126.2610584076824 +34.9469096853799|  24.708 46.307   |10.51    |F8              |    ~     ~      |    1|  211.434   pc  |  -4.1933     +4.1933  |paral   |2020yCat.1350....0G
34  |BD+82 341                                                                                                |Star                                |11 39 09.1986003192 +81 35 52.350643716|126.1069942447259 +35.0800021536441|  10.552 11.814   |10.13    |G5              |    ~     ~      |    1|  651.254   pc  |  -4.7079     +4.7079  |paral   |2020yCat.1350....0G
35  |TYC 4632-1231-1                                                                                          |Star                                |11 30 05.7119686128 +83 05 43.432436508|125.8060715950094 +33.5730506468653|  -22.714 4.334   |10.98    |~               |    ~     ~      |    1|  264.901   pc  |  -0.9543     +0.9543  |paral   |2020yCat.1350....0G
36  |TYC 4632-1713-1                                                                                          |High Proper Motion Star             |11 30 04.5433862400 +82 42 19.990292184|125.9811871911600 +33.9346875920108|-55.180 -12.970   |10.83    |~               |    ~     ~      |    1|  306.044   pc  |  -1.1146     +1.1146  |paral   |2020yCat.1350....0G
37  |BD+82 334                                                                                                |Star                                |11 32 36.2584241664 +81 22 19.788174264|126.4816900498961 +35.2057918094116|  -14.686 1.864   |10.03    |K2              |    ~     ~      |    1|  330.907   pc  |  -1.2921     +1.2921  |paral   |2020yCat.1350....0G
38  |BD+82 337                                                                                                |Star                                |11 36 03.3288744624 +81 16 58.917536832|126.3723072902310 +35.3357663681830| -19.392 -2.921   |10.15    |F0              |    ~     ~      |    1|  365.791   pc  |  -3.4789     +3.4789  |paral   |2020yCat.1350....0G
39  |V* CN Cam                                                                                                |RR Lyrae Variable                   |11 36 11.8238922816 +81 17 37.135986468|126.3615750849599 +35.3277173249172|-113.475 -82.045  |9.66     |F2              |    ~     ~      |    1|  573.263   pc  |  -5.5209     +5.5209  |paral   |2020yCat.1350....0G
40  |BD+82 339                                                                                                |Star                                |11 37 58.4117315664 +81 20 45.286185300|126.2622906041295 +35.3020171552336|  37.510 -8.668   |10.62    |G5              |    ~     ~      |    1|  130.962   pc  |  -0.2092     +0.2092  |paral   |2020yCat.1350....0G
41  |HD 101640                                                                                                |Star                                |11 43 10.9240315728 +81 30 09.313405344|125.9743234717091 +35.2186187117385|  -43.266 3.977   |8.96     |A3              |    ~     ~      |    1|  199.948   pc  |  -0.5917     +0.5917  |paral   |2020yCat.1350....0G
42  |BD+81 370                                                                                                |High Proper Motion Star             |11 30 11.9673803544 +81 02 27.394163448|126.7378089421974 +35.4787466858850|  35.988 28.170   |9.77     |F8              |    ~     ~      |    1|   70.203   pc  |  -1.8122     +1.8122  |paral   |2020yCat.1350....0G
43  |HD 99687                                                                                                 |Star                                |11 30 18.0973120944 +81 02 14.279251164|126.7349842425249 +35.4836260275607|  34.114 26.401   |8.43     |F8              |    ~     ~      |    1|   73.880   pc  |  -0.0906     +0.0906  |paral   |2020yCat.1350....0G
44  |BD+81 372                                                                                                |Star                                |11 31 30.5500967256 +80 18 33.624980640|127.0183629720999 +36.1761077036297| -31.472 -7.109   |10.26    |G5              |    ~     ~      |    1|  145.060   pc  |  -0.4040     +0.4040  |paral   |2020yCat.1350....0G
45  |HD 99945                                                                                                 |High Proper Motion Star             |11 31 50.5332597888 +81 07 38.125032312|126.6256016002547 +35.4226536551168|-144.377 33.998   |6.110    |kA2hF1mF0       |    ~     ~      |    1|   60.542   pc  |  -0.0777     +0.0777  |paral   |2020yCat.1350....0G
46  |BD+81 374                                                                                                |Star                                |11 34 42.5280298632 +80 17 17.327802948|126.8728489569150 +36.2456312962429|  -0.270 -6.428   |10.63    |K0              |    ~     ~      |    1|  371.623   pc  |  -2.0025     +2.0025  |paral   |2020yCat.1350....0G
47  |HD 100385                                                                                                |Star                                |11 34 52.0549646832 +80 49 05.674874952|126.6287307777361 +35.7536553496254| -14.598 -0.199   |9.54     |A0              |    ~     ~      |    1|  419.604   pc  |  -8.4865     +8.4865  |paral   |2020yCat.1350....0G
48  |BD+81 376                                                                                                |Star                                |11 35 47.4045269040 +80 17 18.762797508|126.8199188640514 +36.2616831966380|-35.674 -10.608   |9.86     |F5              |    ~     ~      |    1|  162.409   pc  |  -0.3877     +0.3877  |paral   |2020yCat.1350....0G
49  |BD+81 377                                                                                                |Star                                |11 38 01.8703632787 +80 50 43.810448110|126.4715602284263 +35.7725664404063|  12.881 -1.423   |10.28    |F8              |    ~     ~      |    0|                |                       |        |                   
50  |BD+81 378                                                                                                |High Proper Motion Star             |11 38 39.1844958048 +80 28 11.348640660|126.6022848043918 +36.1339209539423|  54.544 25.170   |10.40    |G5              |    ~     ~      |    1|  122.995   pc  |  -0.2027     +0.2027  |paral   |2020yCat.1350....0G
51  |HD 100991                                                                                                |Star                                |11 38 57.7524676968 +80 44 36.715370712|126.4716127590267 +35.8811274933753|  14.045 -1.208   |8.87     |G5              |    ~     ~      |    1|  444.543   pc  |  -3.5967     +3.5967  |paral   |2020yCat.1350....0G
52  |BD+81 380                                                                                                |Star                                |11 40 09.6402322680 +81 05 55.892564448|126.2688064419941 +35.5627240452190| -26.430 42.228   |9.40     |F5              |    ~     ~      |    1|  168.367   pc  |  -0.3600     +0.3600  |paral   |2020yCat.1350....0G
53  |HD 101224                                                                                                |Star                                |11 40 14.9041241784 +80 19 46.360391160|126.5840311922842 +36.2884654648553| -24.087 -8.306   |9.42     |A2              |    ~     ~      |    1|  255.846   pc  |  -1.1062     +1.1062  |paral   |2020yCat.1350....0G
54  |BD+81 383                                                                                                |Star                                |11 40 45.4084803504 +80 32 09.554521272|126.4734450048179 +36.1011148184545|  -6.401 -3.729   |10.24    |K2              |    ~     ~      |    1|  420.893   pc  |  -2.0727     +2.0727  |paral   |2020yCat.1350....0G
55  |HD 101533                                                                                                |Star                                |11 42 15.6969639384 +80 34 50.483387028|126.3830743082772 +36.0793483565737| -37.084 -6.297   |8.74     |A5              |    ~     ~      |    1|  238.692   pc  |  -0.9116     +0.9116  |paral   |2020yCat.1350....0G
56  |V* FP Cam                                                                                                |Long-Period Variable Candidate      |11 32 52.4317998912 +79 54 59.760410904|127.1336203443090 +36.5621935487327|    4.263 4.567   |8.17     |M1              |    ~     ~      |    1| 1055.632   pc  | -16.8268    +16.8268  |paral   |2020yCat.1350....0G
57  |V* AL Cam                                                                                                |Eclipsing Binary                    |11 40 24.6931195464 +80 14 09.527599896|126.6151624722180 +36.3788689853233| -11.540 32.643   |10.31    |A2              |    ~     ~      |    1|  302.106   pc  |  -1.4329     +1.4329  |paral   |2020yCat.1350....0G
58  |HD 100498                                                                                                |Star                                |11 35 24.3896334360 +79 20 54.481932492|127.2624981521865 +37.1323796725992|  -13.223 6.389   |8.90     |K0              |    ~     ~      |    1|  759.705   pc  |  -9.0036     +9.0036  |paral   |2020yCat.1350....0G
59  |TYC 4552-151-1                                                                                           |Star                                |11 30 05.0986539264 +79 43 28.975291788|127.3663413127637 +36.6930371955183|  -7.654 -3.278   |10.57    |~               |    ~     ~      |    1|  947.688   pc  | -10.6875    +10.6875  |paral   |2020yCat.1350....0G
60  |TYC 4552-269-1                                                                                           |Star                                |11 32 22.8484451520 +79 27 48.468774276|127.3710380889085 +36.9740777305987|  -3.158 -4.404   |10.15    |~               |    ~     ~      |    1|  459.791   pc  |  -3.6151     +3.6151  |paral   |2020yCat.1350....0G
61  |TYC 4553-66-1                                                                                            |Star                                |11 36 28.6164800544 +79 28 21.091051596|127.1488845001515 +37.0344306699170|   -0.773 0.327   |9.96     |~               |    ~     ~      |    1|  680.180   pc  |  -5.6905     +5.6905  |paral   |2020yCat.1350....0G
62  |TYC 4553-386-1                                                                                           |Star                                |11 44 47.1169644384 +79 12 42.461254908|126.8064436313695 +37.4101346850742| -16.918 -8.718   |10.60    |~               |    ~     ~      |    1|  410.779   pc  |  -9.8881     +9.8881  |paral   |2020yCat.1350....0G
63  |TYC 4553-447-1                                                                                           |Star                                |11 40 47.8471735224 +79 07 21.852597792|127.0661748105301 +37.4322235532351| -29.990 -8.448   |10.67    |~               |    ~     ~      |    1|  251.086   pc  |  -0.8007     +0.8007  |paral   |2020yCat.1350....0G
64  |TYC 4553-550-1                                                                                           |Star                                |11 34 50.3103854448 +78 55 59.677005756|127.4848070216048 +37.5090371954746| -17.027 43.415   |10.60    |~               |    ~     ~      |    1|  187.129   pc  |  -0.4867     +0.4867  |paral   |2020yCat.1350....0G
65  |TYC 4553-785-1                                                                                           |Star                                |11 43 06.0842251008 +79 46 46.624072224|126.6667547816649 +36.8480799184272|    4.176 4.871   |10.56    |~               |    ~     ~      |    1|  557.383   pc  |  -7.5805     +7.5805  |paral   |2020yCat.1350....0G
66  |TYC 4556-5-1                                                                                             |Star                                |11 38 40.1024851464 +80 03 37.105219044|126.7768562200948 +36.5185243960064|  -23.618 9.412   |10.31    |~               |    ~     ~      |    1|  192.293   pc  |  -0.4955     +0.4955  |paral   |2020yCat.1350....0G
67  |TYC 4556-197-1                                                                                           |High Proper Motion Star             |11 34 22.8358022928 +81 02 29.261803632|126.5518118038278 +35.5385094811377|-41.174 -20.211   |10.97    |~               |    ~     ~      |    1|  332.801   pc  |  -5.4160     +5.4160  |paral   |2020yCat.1350....0G
68  |BD+79 365                                                                                                |High Proper Motion Star             |11 32 11.7231986256 +78 30 31.469471244|127.8373474485083 +37.8540798409852|  -59.513 5.483   |9.93     |F8              |    ~     ~      |    1|  241.896   pc  |  -0.7724     +0.7724  |paral   |2020yCat.1350....0G
69  |HD 100233                                                                                                |Star                                |11 33 18.5267036040 +78 27 57.368107404|127.7928151000395 +37.9147695851092|  -5.399 -2.965   |8.99     |K0              |    ~     ~      |    1|  658.285   pc  |  -6.3701     +6.3701  |paral   |2020yCat.1350....0G
70  |HD 100639                                                                                                |High Proper Motion Star             |11 36 01.5928168680 +78 30 56.798842392|127.6098002274438 +37.9187595638618|-104.131 13.155   |9.38     |G0              |    ~     ~      |    1|   92.259   pc  |  -0.1030     +0.1030  |paral   |2020yCat.1350....0G
71  |BD+79 366                                                                                                |Star                                |11 33 16.9844808336 +78 19 25.835848284|127.8623968874464 +38.0458566580749|-32.821 -10.541   |10.14    |F5              |    ~     ~      |    1|  186.693   pc  |  -0.4740     +0.4740  |paral   |2020yCat.1350....0G
72  |BD+79 370                                                                                                |Star                                |11 40 34.0886617104 +78 13 17.259239388|127.4705323394485 +38.2751322742386|   4.372 -6.328   |9.75     |G5              |    ~     ~      |    1|  589.136   pc  |  -3.6791     +3.6791  |paral   |2020yCat.1350....0G
73  |BD+78 387                                                                                                |Star                                |11 31 33.1149987408 +78 08 24.954152820|128.0552691135261 +38.1817378202391|  -30.499 4.579   |9.25     |K2              |    ~     ~      |    1|  381.156   pc  |  -1.6852     +1.6852  |paral   |2020yCat.1350....0G
74  |BD+78 395                                                                                                |Star                                |11 41 10.3561193688 +77 52 56.952093072|127.5820635738397 +38.6041468787043|  5.595 -11.263   |9.98     |G5              |    ~     ~      |    1|  741.400   pc  | -22.6466    +22.6466  |paral   |2020yCat.1350....0G
75  |BD+78 388                                                                                                |Star                                |11 32 19.2505150008 +77 19 00.294845520|128.4147077468009 +38.9568980328395|-35.934 -31.777   |10.02    |K0              |    ~     ~      |    1|  244.129   pc  |  -0.7688     +0.7688  |paral   |2020yCat.1350....0G
76  |BD+78 391                                                                                                |Star                                |11 36 51.4673737728 +77 15 28.680027876|128.1456307617688 +39.1054405697840| -16.907 -9.161   |10.00    |K2              |    ~     ~      |    1|  395.742   pc  |  -1.8950     +1.8950  |paral   |2020yCat.1350....0G
77  |HD 100858                                                                                                |Variable Star                       |11 37 42.3191105712 +77 35 44.518079148|127.9323357769445 +38.8076485339398|    2.558 2.108   |6.486    |K5              |    ~     ~      |    1|  366.233   pc  |  -3.3532     +3.3532  |paral   |2020yCat.1350....0G
78  |HD 101012                                                                                                |Star                                |11 38 27.8614743384 +77 27 54.478611144|127.9435507495911 +38.9442140590144| -13.931 10.352   |8.95     |F8              |    ~     ~      |    1|  287.662   pc  |  -1.1668     +1.1668  |paral   |2020yCat.1350....0G
79  |BD+77 436                                                                                                |Star                                |11 31 18.8415894552 +76 33 04.795898940|128.8696743191532 +39.6389100816618|  -35.587 4.598   |9.92     |F8              |    ~     ~      |    1|  234.764   pc  |  -0.9149     +0.9149  |paral   |2020yCat.1350....0G
80  |BD+77 437                                                                                                |Star                                |11 36 49.8000568992 +76 39 59.824790388|128.4291967541740 +39.6546722270304|   -4.252 7.076   |9.77     |K2              |    ~     ~      |    1|  557.289   pc  |  -3.7269     +3.7269  |paral   |2020yCat.1350....0G
81  |HD 100958                                                                                                |Spectroscopic Binary                |11 38 16.7911095048 +76 20 05.687585520|128.4852863354817 +39.9942753438474| -93.917 12.790   |9.83     |G5              |    ~     ~      |    1|  109.825   pc  |  -0.1749     +0.1749  |paral   |2020yCat.1350....0G
82  |BD+77 439                                                                                                |High Proper Motion Star             |11 39 17.8579536432 +77 02 19.750622856|128.0846069613716 +39.3588107247114| 49.356 -78.497   |9.80     |F8              |    ~     ~      |    1|  129.597   pc  |  -0.2066     +0.2066  |paral   |2020yCat.1350....0G
83  |TYC 4550-602-1                                                                                           |Star                                |11 42 54.4088179944 +76 36 20.268658800|128.0305795612053 +39.8365346181575|   9.453 -9.681   |10.39    |G5              |    ~     ~      |    1|  775.374   pc  |  -7.1543     +7.1543  |paral   |2020yCat.1350....0G
84  |NGC 3901                           NGC 3901                                                              |Galaxy                              |11 42 49.819 +77 22 21.24              |127.698160 +39.113782              |            ~ ~   |     ~   |~               |0.517 0.269      |    1|   27.54    Mpc |  -4.46       +4.46    |T-F     |2020ApJ...902..145K
85  |TYC 4550-146-1                                                                                           |Star                                |11 44 51.5415119712 +77 00 51.577372620|127.7160001443513 +39.4889895758162| -16.295 -5.782   |10.97    |~               |    ~     ~      |    1|  344.270   pc  |  -1.9200     +1.9200  |paral   |2020yCat.1350....0G
86  |TYC 4550-369-1                                                                                           |Star                                |11 35 29.9265349632 +77 14 34.891921392|128.2425158512677 +39.0915903898571|   6.507 10.797   |10.94    |~               |    ~     ~      |    1|  234.017   pc  |  -0.6572     +0.6572  |paral   |2020yCat.1350....0G
87  |TYC 4550-490-1                                                                                           |Star                                |11 41 42.3670912752 +77 26 35.305579248|127.7413824206793 +39.0265535289514| -39.340 19.129   |10.40    |~               |    ~     ~      |    1|  165.256   pc  |  -0.3933     +0.3933  |paral   |2020yCat.1350....0G
88  |TYC 4550-503-1                                                                                           |Star                                |11 35 31.6575835584 +77 23 26.377004256|128.1698161474565 +38.9551771034611| -24.540 -0.993   |10.72    |~               |    ~     ~      |    1|  297.557   pc  |  -1.0005     +1.0005  |paral   |2020yCat.1350....0G
89  |GSC 04550-00528                                                                                          |Double or Multiple Star             |11 42 18.654576 +77 28 58.40832        |127.684203133 +39.000410835        |     -18.2 -1.0   |10.922   |~               |    ~     ~      |    0|                |                       |        |                   
90  |TYC 4550-541-1                                                                                           |Star                                |11 35 41.1350352576 +77 26 28.557964320|128.1353672218299 +38.9113948217189| -17.731 -6.590   |10.43    |~               |    ~     ~      |    1|  382.819   pc  |  -2.2276     +2.2276  |paral   |2020yCat.1350....0G
91  |TYC 4550-1055-1                                                                                          |Star                                |11 36 52.8380034672 +76 09 26.998753572|128.6716842885052 +40.1285879321157|    5.843 0.935   |10.735   |~               |    ~     ~      |    1|  455.934   pc  |  -2.3698     +2.3698  |paral   |2020yCat.1350....0G
92  |TYC 4550-1102-1                                                                                          |Star                                |11 36 42.1430097792 +76 07 50.721575160|128.6976705226705 +40.1494314541957|  -5.324 -0.600   |10.67    |~               |    ~     ~      |    1| 1248.128   pc  | -24.6136    +24.6136  |paral   |2020yCat.1350....0G
