C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:37

dec >=0&rah >=11.5&rah< 11.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2296

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|-----------------|-----|----------------|-----------------------|--------|-------------------
350 |HD 101439                                                                                                |Star                                |11 40 50.6964655824 +60 06 23.238944568|138.1611155690858 +54.8852659848399|   40.191 6.896   |7.90     |F0              |    ~     ~      |    1|   82.618   pc  |  -0.1331     +0.1331  |paral   |2020yCat.1350....0G
351 |NGC 3809                           NGC 3809                                                              |Blazar                              |11 41 16.0632994320 +59 53 08.800289268|138.2601594959111 +55.1049565693557|    0.062 0.354   |     ~   |~               |0.900 0.756      |    1|   52.45    Mpc |                       |redshift|2007ApJ...655..790C
352 |NGC 3796                           NGC 3796                                                              |Galaxy towards a Group of Galaxies  |11 40 31.1262142584 +60 17 55.999438980|138.0666445857804 +54.6963062052000|            ~ ~   |     ~   |~               |0.863 0.518      |    1|   23.4298  Mpc |                       |redshift|2019A&A...631A..38L
353 |V* MW UMa                                                                                                |Spectroscopic Binary                |11 43 02.2705311600 +60 34 36.704513424|137.3688296250343 +54.5925719832445|  -4.252 12.783   |9.63     |F8              |    ~     ~      |    1|  176.725   pc  |  -0.4841     +0.4841  |paral   |2020yCat.1350....0G
354 |BD+61 1261                                                                                               |Red Giant Branch star Candidate     |11 44 00.1114501704 +60 44 54.665194632|137.0542757264061 +54.4920133628369|-29.317 -29.422   |9.78     |K0              |    ~     ~      |    1|  454.897   pc  |  -2.5039     +2.5039  |paral   |2020yCat.1350....0G
355 |BD+61 1262                                                                                               |Spectroscopic Binary                |11 44 18.6021561528 +60 19 19.516519020|137.3243317785040 +54.8906564552936|-10.022 -109.847  |9.95     |K2              |    ~     ~      |    1|   91.102   pc  |  -0.1270     +0.1270  |paral   |2020yCat.1350....0G
356 |BD+60 1341                                                                                               |Star                                |11 43 18.0942431328 +59 52 20.713152828|137.8750262185356 +55.2349548953240|  12.883 -6.674   |9.81     |K2              |    ~     ~      |    1| 1133.915   pc  | -17.2292    +17.2292  |paral   |2020yCat.1350....0G
357 |BD+60 1346                                                                                               |High Proper Motion Star             |11 44 18.2830090032 +59 49 19.091526744|137.7182598613574 +55.3371513905462|-77.409 -11.279   |9.82     |G0              |    ~     ~      |    1|  148.469   pc  |  -0.2755     +0.2755  |paral   |2020yCat.1350....0G
358 |HD 102030                                                                                                |Star                                |11 44 46.1102439816 +60 02 49.460236764|137.4497649904666 +55.1621558863060|   4.140 -1.557   |7.69     |K2              |    ~     ~      |    1|  344.590   pc  |  -2.2680     +2.2680  |paral   |2020yCat.1350....0G
359 |HD 101952                                                                                                |Star                                |11 44 14.3296139352 +59 37 32.761597800|137.8879329983255 +55.5083013743803|  -7.397 14.976   |10.020   |A               |    ~     ~      |    1|  502.487   pc  |  -4.6206     +4.6206  |paral   |2020yCat.1350....0G
360 |NGC 3835                           NGC 3835                                                              |Seyfert 2 Galaxy                    |11 44 04.8840642240 +60 07 11.209037700|137.5266226236112 +55.0587474158419|            ~ ~   |     ~   |~               |1.453 0.465      |    1|   44.67    Mpc |  -3.02       +3.02    |T-F     |2020ApJ...902..145K
361 |TYC 3838-89-1                                                                                            |Star                                |11 42 57.1055805552 +59 11 40.319848392|138.4975384181567 +55.8157667919543| 14.109 -43.142   |10.82    |~               |    ~     ~      |    1| 1066.553   pc  | -22.9782    +22.9782  |paral   |2020yCat.1350....0G
362 |TYC 3838-283-1                                                                                           |Star                                |11 43 11.6694794328 +59 40 26.633768340|138.0559303582938 +55.4050469725008|  10.547 -8.781   |10.97    |~               |    ~     ~      |    1|  327.000   pc  |  -1.6253     +1.6253  |paral   |2020yCat.1350....0G
363 |TYC 3838-417-1                                                                                           |Spectroscopic Binary                |11 41 22.5282461064 +59 33 26.808446808|138.5100643365951 +55.4010961061782|  17.999 -6.361   |10.62    |~               |    ~     ~      |    1|  189.251   pc  |  -1.0172     +1.0172  |paral   |2020yCat.1350....0G
364 |TYC 3838-568-1                                                                                           |Star                                |11 44 09.4474110840 +59 15 05.636761056|138.2071223493747 +55.8365313331098|   -5.067 1.450   |10.56    |~               |    ~     ~      |    1|  254.395   pc  |  -0.8413     +0.8413  |paral   |2020yCat.1350....0G
365 |TYC 4153-570-1                                                                                           |Star                                |11 40 09.2281582992 +60 27 47.173880808|138.0023645286193 +54.5301301639245|   9.208 -0.565   |10.08    |~               |    ~     ~      |    1|  850.991   pc  |  -9.0523     +9.0523  |paral   |2020yCat.1350....0G
366 |TYC 4153-681-1                                                                                           |Star                                |11 44 35.7076175520 +60 52 12.825557940|136.8501168109492 +54.4148204668680|  -26.611 4.152   |10.76    |~               |    ~     ~      |    1|  972.668   pc  | -12.3937    +12.3937  |paral   |2020yCat.1350....0G
367 |TYC 4153-936-1                                                                                           |Star                                |11 42 07.9992798552 +60 17 05.721323964|137.7709389505999 +54.8015728985221|  25.238 -8.139   |10.68    |~               |    ~     ~      |    1|  332.038   pc  |  -2.0727     +2.0727  |paral   |2020yCat.1350....0G
368 |TYC 4153-521-1                                                                                           |Star                                |11 42 48.2182501200 +60 29 57.813800136|137.4737554715204 +54.6486095785867|   -2.242 8.461   |10.57    |~               |    ~     ~      |    1|  329.522   pc  |  -1.3899     +1.3899  |paral   |2020yCat.1350....0G
369 |TYC 3838-233-1                                                                                           |Star                                |11 44 50.5758321600 +59 11 53.122711668|138.1116223327657 +55.9241592952033| -9.632 -17.263   |10.69    |~               |    ~     ~      |    1|  318.137   pc  |  -1.3461     +1.3461  |paral   |2020yCat.1350....0G
370 |BD+62 1186                                                                                               |Spectroscopic Binary                |11 31 09.3642554880 +61 24 17.682528096|138.8360966124851 +53.1740143403848|  -6.778 -2.081   |10.98    |~               |    ~     ~      |    1|  289.654   pc  |  -1.1159     +1.1159  |paral   |2020yCat.1350....0G
371 |BD+62 1187                                                                                               |Star                                |11 31 47.7018801120 +61 24 22.300270092|138.7250812945164 +53.2117347915521| -18.134 -1.034   |10.24    |K2              |    ~     ~      |    1|  654.536   pc  |  -7.1974     +7.1974  |paral   |2020yCat.1350....0G
372 |BD+62 1191                                                                                               |Star                                |11 37 28.7408382408 +61 30 36.136933164|137.6488377486774 +53.4540077005848|   -7.001 9.603   |9.50     |K0              |    ~     ~      |    1|  236.922   pc  |  -0.7185     +0.7185  |paral   |2020yCat.1350....0G
373 |HD 101076                                                                                                |Star                                |11 38 18.3737753832 +61 37 53.269047480|137.4071040228301 +53.3932820275566| 31.858 -34.060   |9.12     |K0              |    ~     ~      |    1|  808.931   pc  |  -9.5538     +9.5538  |paral   |2020yCat.1350....0G
374 |HD 101120                                                                                                |High Proper Motion Star             |11 38 32.7175650864 +61 16 54.506219484|137.6408459095965 +53.7154531619288|-58.951 -28.265   |8.39     |F5              |    ~     ~      |    1|  126.648   pc  |  -0.3128     +0.3128  |paral   |2020yCat.1350....0G
375 |HD 100203A                                                                                               |Star                                |11 32 20.753592 +61 04 57.89784        |138.903774640 +53.524205374        |            ~ ~   |5.64     |F4V             |    ~     ~      |    0|                |                       |        |                   
376 |HD 100299                                                                                                |Star                                |11 33 03.4053198792 +60 37 54.462104256|139.1641009590601 +53.9568068451389|  33.731 -8.659   |8.87     |G5              |    ~     ~      |    1|  274.130   pc  |  -1.0596     +1.0596  |paral   |2020yCat.1350....0G
377 |HD 100561                                                                                                |Star                                |11 34 50.5433512728 +60 41 49.780826088|138.7866261466613 +54.0100757789365|  -3.330 -2.037   |9.14     |G5              |    ~     ~      |    1|  144.265   pc  |  -0.2539     +0.2539  |paral   |2020yCat.1350....0G
378 |BD+61 1251                                                                                               |Red Giant Branch star Candidate     |11 35 31.1236143408 +61 00 37.661799456|138.4027830736804 +53.7781773665027|  -4.163 -1.461   |9.85     |K2              |    ~     ~      |    1|  576.269   pc  | -12.3204    +12.3204  |paral   |2020yCat.1350....0G
379 |BD+61 1252                                                                                               |Double or Multiple Star             |11 36 05.8101093960 +60 19 22.313442180|138.8742736363714 +54.4117019441882|  -16.894 2.778   |10.301   |G5              |    ~     ~      |    1|  223.719   pc  |  -7.6326     +7.6326  |paral   |2020yCat.1350....0G
380 |BD+61 1254                                                                                               |Star                                |11 37 46.2342071808 +61 09 00.318344508|137.8851919872041 +53.7873755823372| -3.107 -26.944   |9.79     |G5              |    ~     ~      |    1|  677.461   pc  |  -6.0582     +6.0582  |paral   |2020yCat.1350....0G
381 |BD+60 1332                                                                                               |Star                                |11 32 35.0333857344 +59 51 10.155274776|139.9344440355636 +54.5955169641214|  25.701 -4.107   |10.17    |K0              |    ~     ~      |    1|  664.319   pc  | -11.5185    +11.5185  |paral   |2020yCat.1350....0G
382 |BD+60 1336                                                                                               |Star                                |11 37 40.2240142968 +59 47 53.468309472|139.0252398273142 +54.9650724348697|   -4.921 5.304   |10.39    |F0              |    ~     ~      |    1|  360.815   pc  |  -4.2832     +4.2832  |paral   |2020yCat.1350....0G
383 |AG+59 808                                                                                                |Spectroscopic Binary                |11 31 20.1863035368 +59 42 03.156872904|140.3027229141608 +54.6430641708983|    5.384 1.639   |8.00     |A5              |    ~     ~      |    1|  229.647   pc  |  -5.5111     +5.5111  |paral   |2020yCat.1350....0G
384 |HD 100054                                                                                                |Star                                |11 31 18.5675685600 +59 42 03.286905264|140.3076884422252 +54.6412410785854|    5.616 2.746   |7.30     |A5              |    ~     ~      |    1|  239.446   pc  |  -1.1008     +1.1008  |paral   |2020yCat.1350....0G
385 |BD+60 1334                                                                                               |Star                                |11 35 02.6171198448 +59 16 31.095132060|139.9867259753661 +55.2509955417587|  -15.183 2.004   |10.52    |G0              |    ~     ~      |    1|  386.653   pc  |  -2.3173     +2.3173  |paral   |2020yCat.1350....0G
386 |BD+60 1337                                                                                               |Star                                |11 38 21.8800356216 +59 27 00.670611888|139.1899274058358 +55.3114035097597|  -38.417 5.803   |10.10    |G5              |    ~     ~      |    1|  171.380   pc  |  -0.3407     +0.3407  |paral   |2020yCat.1350....0G
387 |HD 238016                                                                                                |Star                                |11 34 38.5243731792 +59 03 04.270486356|140.2666065790000 +55.4169297784767| -20.964 -6.549   |9.63     |F5              |    ~     ~      |    1|  247.973   pc  |  -0.8363     +0.8363  |paral   |2020yCat.1350....0G
388 |HD 101090                                                                                                |Star                                |11 38 25.9993265784 +59 05 57.163766208|139.4810135029192 +55.6212916989831|   4.920 -2.875   |8.49     |K2II-III        |    ~     ~      |    1|  351.902   pc  |  -2.0804     +2.0804  |paral   |2020yCat.1350....0G
389 |NGC 3740                           NGC 3740                                                              |Galaxy towards a Group of Galaxies  |11 36 12.299 +59 58 35.43              |139.149977 +54.719262              |            ~ ~   |     ~   |~               |0.783 0.345      |    1|   50.51    Mpc |                       |redshift|2007ApJ...655..790C
390 |TYC 4153-17-2                                                                                            |Star                                |11 32 51.540 +60 04 02.79              |139.692785 +54.429485              |       -2.4 4.4   |10.17    |~               |    ~     ~      |    0|                |                       |        |                   
391 |NGC 3770                           NGC 3770                                                              |Galaxy towards a Group of Galaxies  |11 37 58.7575410384 +59 37 01.005662568|139.1211818524260 +55.1421172590183|            ~ ~   |     ~   |~               |0.763 0.656      |    1|   51.25    Mpc |                       |redshift|2007ApJ...655..790C
392 |GSC 03831-00579                                                                                          |Double or Multiple Star             |11 32 52.652352 +58 54 39.68028        |140.737121010 +55.418023543        |    -16.9 -13.5   |10.243   |~               |    ~     ~      |    0|                |                       |        |                   
393 |TYC 3838-1-1                                                                                             |Star                                |11 33 22.7770373904 +59 59 45.805118280|139.6598200657262 +54.5241206400189|  -10.043 2.182   |10.90    |~               |    ~     ~      |    1|  289.109   pc  |  -1.1869     +1.1869  |paral   |2020yCat.1350....0G
394 |TYC 3838-10-1                                                                                            |Star                                |11 33 35.3712914304 +59 14 30.997512024|140.2960416765516 +55.1838663006003|   8.105 -9.071   |10.62    |~               |    ~     ~      |    1|  920.048   pc  |  -9.8193     +9.8193  |paral   |2020yCat.1350....0G
395 |TYC 3838-26-1                                                                                            |Star                                |11 37 00.3765160704 +59 59 05.188077996|138.9919999403807 +54.7616364229066|  -4.660 -7.459   |10.76    |~               |    ~     ~      |    1| 2158.895   pc  | -83.8949    +83.8949  |paral   |2020yCat.1350....0G
396 |TYC 3838-110-1                                                                                           |Star                                |11 37 11.5292156280 +59 17 47.769500328|139.5516980312108 +55.3710789989105| -34.252 11.500   |9.56     |~               |    ~     ~      |    1|  501.329   pc  |  -3.0411     +3.0411  |paral   |2020yCat.1350....0G
397 |TYC 3838-164-1                                                                                           |High Proper Motion Star             |11 40 06.5054110152 +59 32 46.329457632|138.7679608455119 +55.3346678865751|  -87.613 6.506   |10.43    |~               |    ~     ~      |    1|  124.156   pc  |  -0.1881     +0.1881  |paral   |2020yCat.1350....0G
398 |TYC 3838-230-1                                                                                           |Star                                |11 37 56.5425601488 +59 20 11.891501088|139.3704844562521 +55.3838110802912|  12.007 -9.592   |10.40    |~               |    ~     ~      |    1|  325.595   pc  |  -1.3994     +1.3994  |paral   |2020yCat.1350....0G
399 |TYC 4153-22-1                                                                                            |Star                                |11 32 00.7267244976 +60 06 44.413002216|139.8082110954759 +54.3365192513550|   -3.013 7.163   |10.34    |~               |    ~     ~      |    1|  683.293   pc  |  -7.1901     +7.1901  |paral   |2020yCat.1350....0G
400 |TYC 4153-154-1                                                                                           |High Proper Motion Star             |11 30 39.3063574128 +61 39 34.484065668|138.7056522410346 +52.9244738629432|123.776 -35.063   |10.45    |~               |    ~     ~      |    1|  123.850   pc  |  -0.3528     +0.3528  |paral   |2020yCat.1350....0G
401 |TYC 4153-251-1                                                                                           |Star                                |11 32 43.0334389128 +61 37 20.984469312|138.3853507942603 +53.0799878642676| -13.303 -5.049   |10.97    |~               |    ~     ~      |    1|  998.702   pc  | -11.2707    +11.2707  |paral   |2020yCat.1350....0G
402 |TYC 4153-252-1                                                                                           |Star                                |11 33 49.5461753232 +61 29 40.334959140|138.3002393728892 +53.2565981118057|  -4.840 -0.643   |10.52    |~               |    ~     ~      |    1|  857.780   pc  |  -8.6823     +8.6823  |paral   |2020yCat.1350....0G
403 |TYC 4153-294-1                                                                                           |Star                                |11 30 23.6643942888 +60 42 01.159471656|139.5784117166388 +53.7303852668030|   20.127 3.865   |10.98    |~               |    ~     ~      |    1|  297.903   pc  |  -1.3401     +1.3401  |paral   |2020yCat.1350....0G
404 |TYC 4153-380-1                                                                                           |Star                                |11 31 36.0358169880 +60 51 17.412372072|139.2306080219918 +53.6742135285720|-16.092 -10.064   |10.62    |~               |    ~     ~      |    1|  915.416   pc  | -10.7262    +10.7262  |paral   |2020yCat.1350....0G
405 |TYC 4153-791-1                                                                                           |Star                                |11 35 07.3936911864 +60 46 12.149193648|138.6744888176760 +53.9637896525558|  -7.867 -0.119   |10.49    |~               |    ~     ~      |    1|  896.861   pc  |  -9.7328     +9.7328  |paral   |2020yCat.1350....0G
406 |TYC 4153-835-1                                                                                           |Star                                |11 35 24.2209540824 +61 04 52.211470476|138.3647475384544 +53.7097117592741| -28.188 -2.429   |10.85    |~               |    ~     ~      |    1|  275.832   pc  |  -1.1184     +1.1184  |paral   |2020yCat.1350....0G
407 |TYC 4153-862-1                                                                                           |Star                                |11 36 47.1835106400 +60 02 41.239738500|138.9822214794030 +54.6958746432027| -23.448 -5.060   |10.95    |~               |    ~     ~      |    1|  371.347   pc  |  -2.0271     +2.0271  |paral   |2020yCat.1350....0G
408 |TYC 4153-913-1                                                                                           |High Proper Motion Star             |11 39 31.3604837184 +61 06 43.400175912|137.5993364267080 +53.9205735423630|-67.758 -37.838   |10.72    |~               |    ~     ~      |    1|  259.356   pc  |  -0.8475     +0.8475  |paral   |2020yCat.1350....0G
409 |TYC 4153-1019-1                                                                                          |Star                                |11 38 22.6380961632 +60 14 26.793774636|138.5182066631419 +54.6212179432219|  14.881 -6.737   |10.51    |~               |    ~     ~      |    1|  819.941   pc  | -10.0173    +10.0173  |paral   |2020yCat.1350....0G
410 |HD 238033                                                                                                |Spectroscopic Binary                |11 42 33.0980615664 +58 28 39.204106104|139.1857203132221 +56.4236910946238|-133.772 -40.356  |9.95     |G5              |    ~     ~      |    1|  137.733   pc  |  -0.2182     +0.2182  |paral   |2020yCat.1350....0G
411 |HD 101892                                                                                                |Star                                |11 43 50.9167969296 +58 24 39.767349600|138.9718723393972 +56.5625459636925| -8.414 -10.220   |7.99     |F0              |    ~     ~      |    1|  256.010   pc  |  -1.2453     +1.2453  |paral   |2020yCat.1350....0G
412 |HD 238034                                                                                                |Star                                |11 43 27.9795182136 +56 56 42.701414856|140.3505483305212 +57.8249151824893|  -10.639 8.397   |9.18     |G0              |    ~     ~      |    1|  505.331   pc  |  -3.7793     +3.7793  |paral   |2020yCat.1350....0G
413 |NGC 3838                           NGC 3838                                                              |Galaxy in Pair of Galaxies          |11 44 13.7648109936 +57 56 53.538816012|139.2888363217439 +56.9945017631540|   0.107 -0.072   |     ~   |~               |1.140 0.502      |    1|   24.3719  Mpc |                       |redshift|2019A&A...631A..38L
414 |TYC 3835-681-1                                                                                           |High Proper Motion Star             |11 44 11.4845468472 +56 42 21.615061788|140.4071753161896 +58.0821073685198| -56.888 -2.492   |10.70    |~               |    ~     ~      |    1|  132.324   pc  |  -0.2521     +0.2521  |paral   |2020yCat.1350....0G
415 |TYC 3835-763-1                                                                                           |High Proper Motion Star             |11 43 48.6574859160 +56 52 33.268601244|140.3368933081978 +57.9083446803019| 44.017 -40.874   |10.96    |~               |    ~     ~      |    1|  183.695   pc  |  -0.4623     +0.4623  |paral   |2020yCat.1350....0G
416 |TYC 3838-912-1                                                                                           |Spectroscopic Binary                |11 44 24.9536878512 +58 04 55.997363172|139.1331926569855 +56.8879110142660|  12.336 -3.640   |10.92    |~               |    ~     ~      |    1|  404.563   pc  |  -7.2834     +7.2834  |paral   |2020yCat.1350....0G
417 |HD 238009                                                                                                |High Proper Motion Star             |11 31 57.6638589960 +58 39 00.872053200|141.1592510738902 +55.5759260720730|  -53.576 7.062   |9.96     |G5              |    ~     ~      |    1|  164.693   pc  |  -0.5479     +0.5479  |paral   |2020yCat.1350....0G
418 |HD 100992                                                                                                |Star                                |11 37 47.7918825672 +58 47 57.960320460|139.8722035154932 +55.8405881554018|   -5.443 6.445   |9.21     |F               |    ~     ~      |    1|  307.257   pc  |  -1.5766     +1.5766  |paral   |2020yCat.1350....0G
419 |HD 101253                                                                                                |Star                                |11 39 30.3735707616 +58 48 12.928074120|139.5255871867219 +55.9467168830410|  -2.455 -0.485   |9.41     |F               |    ~     ~      |    1|  289.872   pc  |  -1.1596     +1.1596  |paral   |2020yCat.1350....0G
420 |NGC 3795B                          UGC 6604                                                              |Seyfert Galaxy                      |11 38 08.5586485752 +58 45 29.772328032|139.8396364082325 +55.8986584845909|            ~ ~   |     ~   |~               |0.630 0.592      |    1|   22.15    Mpc |                       |redshift|2007ApJ...655..790C
421 |HD 238008                                                                                                |High Proper Motion Star             |11 31 55.3924431480 +58 25 51.110982768|141.3753030982651 +55.7584172853441| -77.172 21.191   |8.87     |G5              |    ~     ~      |    1|  116.564   pc  |  -0.1929     +0.1929  |paral   |2020yCat.1350....0G
422 |HD 100678                                                                                                |Star                                |11 35 34.6341188544 +58 12 10.842811416|140.8629154396437 +56.2055663692698|  9.841 -10.335   |7.53     |K2              |    ~     ~      |    1|  264.075   pc  |  -1.4784     +1.4784  |paral   |2020yCat.1350....0G
423 |HD 238019                                                                                                |Star                                |11 35 52.6462095336 +58 14 32.027517996|140.7656018677683 +56.1925522896328|  -17.883 3.352   |9.94     |F0              |    ~     ~      |    1|  270.614   pc  |  -2.0578     +2.0578  |paral   |2020yCat.1350....0G
424 |HD 238026                                                                                                |Irregular Variable                  |11 37 31.5300944424 +58 26 40.118369424|140.2460896057604 +56.1295403598340|  -5.433 13.747   |9.71     |G0              |    ~     ~      |    1|  130.438   pc  |  -0.2484     +0.2484  |paral   |2020yCat.1350....0G
425 |HD 238013                                                                                                |Star                                |11 33 18.8135796432 +57 48 21.631549752|141.6998383948556 +56.3839841896936|   26.904 6.588   |9.72     |G5              |    ~     ~      |    1|  103.425   pc  |  -0.1851     +0.1851  |paral   |2020yCat.1350....0G
426 |BD+58 1324B                                                                                              |Star                                |11 33 19.4226575184 +57 48 12.365882172|141.7002772023074 +56.3868813914966|  27.889 11.472   |10.75    |~               |    ~     ~      |    1|  102.261   pc  |  -0.1286     +0.1286  |paral   |2020yCat.1350....0G
427 |HD 238015                                                                                                |Star                                |11 34 33.8287012968 +58 09 21.065585832|141.1118556867389 +56.1758720929606| -33.080 -5.437   |8.80     |K5              |    ~     ~      |    1|  389.090   pc  |  -2.1498     +2.1498  |paral   |2020yCat.1350....0G
428 |HD 238028                                                                                                |Star                                |11 39 14.6971619712 +58 09 51.617340036|140.1480411733372 +56.4852480326055|  21.662 -7.361   |9.43     |F5              |    ~     ~      |    1|  289.469   pc  |  -1.2234     +1.2234  |paral   |2020yCat.1350....0G
429 |HD 101391                                                                                                |Star                                |11 40 27.4302004704 +57 58 13.458822204|140.0704083171279 +56.7331953077329|  -8.764 13.432   |6.335    |B9VpHgMn        |    ~     ~      |    1|  154.240   pc  |  -0.8802     +0.8802  |paral   |2020yCat.1350....0G
430 |BD+58 1328                                                                                               |Star                                |11 38 35.6995270224 +57 23 28.069884384|140.9986863693291 +57.1084544364068|  7.401 -45.373   |10.05    |F8              |    ~     ~      |    1|  152.358   pc  |  -0.3412     +0.3412  |paral   |2020yCat.1350....0G
431 |HD 238027                                                                                                |Star                                |11 38 48.9301094352 +57 37 54.255716688|140.7264811640017 +56.9166095271819|  -13.990 2.506   |9.54     |K2              |    ~     ~      |    1|  567.859   pc  |  -4.8370     +4.8370  |paral   |2020yCat.1350....0G
432 |HD 238007                                                                                                |High Proper Motion Star             |11 30 21.8324523696 +56 54 29.262615264|143.2037324058634 +56.9139470696164|-66.806 -15.984   |8.78     |F8              |    ~     ~      |    1|  126.437   pc  |  -0.2989     +0.2989  |paral   |2020yCat.1350....0G
433 |V* HQ UMa                                                                                                |delta Sct Variable                  |11 30 42.7805505504 +56 44 46.977569844|143.2990965393384 +57.0743967461641|   1.693 10.711   |7.10     |F0              |    ~     ~      |    1|  163.760   pc  |  -1.5903     +1.5903  |paral   |2020yCat.1350....0G
434 |HD 100082                                                                                                |Star                                |11 31 27.3404434176 +57 08 05.560150740|142.7461976711675 +56.8093961871463|    2.417 2.034   |7.58     |K5              |    ~     ~      |    1|  423.944   pc  |  -3.5047     +3.5047  |paral   |2020yCat.1350....0G
435 |HD 238011                                                                                                |Star                                |11 32 03.1851472080 +57 03 00.345244644|142.7087420476794 +56.9249501620523|    3.325 2.225   |9.32     |G0              |    ~     ~      |    1|  281.500   pc  |  -1.2441     +1.2441  |paral   |2020yCat.1350....0G
436 |BD+57 1329                                                                                               |Star                                |11 33 57.0100306872 +56 18 31.578833952|143.0657474647914 +57.6866890407626|  -20.392 1.799   |10.02    |F2              |    ~     ~      |    1|  325.066   pc  |  -1.5216     +1.5216  |paral   |2020yCat.1350....0G
437 |HD 238018                                                                                                |Star                                |11 35 46.0578893904 +56 41 52.991919204|142.2777571110359 +57.4967807788524|-11.185 -27.748   |9.94     |G0              |    ~     ~      |    1|  196.672   pc  |  -0.5183     +0.5183  |paral   |2020yCat.1350....0G
438 |HD 238020                                                                                                |Star                                |11 36 10.9980014448 +56 50 17.668155768|142.0489345701643 +57.4087977869467|  -37.021 5.978   |8.49     |G5IIIw          |    ~     ~      |    1|  403.763   pc  |  -3.3420     +3.3420  |paral   |2020yCat.1350....0G
439 |HD 238024                                                                                                |Double or Multiple Star             |11 36 59.6272546296 +56 59 44.356994520|141.7203333324961 +57.3338354535584|  -17.899 1.411   |8.68     |K5              |0.0100  0.0      |    1|  354.346   pc  |  -5.5121     +5.5121  |paral   |2020yCat.1350....0G
440 |HD 238029                                                                                                |Star                                |11 41 36.5438917848 +56 42 42.868309716|140.9826842826338 +57.9016820132207|   2.439 -5.668   |9.34     |K7              |    ~     ~      |    1|  960.707   pc  | -19.8436    +19.8436  |paral   |2020yCat.1350....0G
441 |HD 238031                                                                                                |Spectroscopic Binary                |11 41 57.3695317656 +56 45 45.775113120|140.8572963018336 +57.8815631575194| -52.821 -8.895   |10.00    |G5              |    ~     ~      |    1|  143.528   pc  |  -1.9261     +1.9261  |paral   |2020yCat.1350....0G
442 |HD 100214                                                                                                |High Proper Motion Star             |11 32 20.3357260104 +56 05 43.323237672|143.6367943056200 +57.7386799021931|-240.971 82.774   |7.486    |F8              |    ~     ~      |    1|   60.144   pc  |  -0.0629     +0.0629  |paral   |2020yCat.1350....0G
443 |HD 100831B                                                                                               |Spectroscopic Binary                |11 36 35.8663727232 +56 08 01.106652048|142.6657620619102 +58.0342859768945|-173.660 -79.977  |8.08     |~               |    ~     ~      |    1|   50.534   pc  |  -1.3604     +1.3604  |paral   |2020yCat.1350....0G
444 |NGC 3795                           NGC 3795                                                              |Galaxy towards a Group of Galaxies  |11 40 06.841 +58 36 47.37              |139.569475 +56.151393              |            ~ ~   |     ~   |~               |1.157 0.347      |    1|   25.23    Mpc |  -2.61       +2.61    |T-F     |2020ApJ...902..145K
445 |NGC 3757                           NGC 3757                                                              |Galaxy towards a Group of Galaxies  |11 37 02.8650138288 +58 24 55.817369748|140.3691357242225 +56.1227572969865|   0.603 -0.066   |     ~   |~               |0.727 0.654      |    1|   23.4025  Mpc |                       |redshift|2019A&A...631A..38L
446 |NGC 3780                           NGC 3780                                                              |LINER-type Active Galaxy Nucleus    |11 39 22.3564409496 +56 16 14.409578892|141.9095994948193 +58.1227374334772|            ~ ~   |     ~   |~               |1.693 1.389      |    1|   38.0     Mpc |                       |redshift|2011MNRAS.413..813C
447 |StKM 1-961                                                                                               |High Proper Motion Star             |11 39 03.1098121104 +57 41 42.597277044|140.6177238202336 +56.8779589971516|  41.340 31.078   |10.86    |K7              |    ~     ~      |    1|   53.307   pc  |  -0.0330     +0.0330  |paral   |2020yCat.1350....0G
448 |NGC 3795A                          UGC 6616                                                              |Galaxy                              |11 39 21.3442791864 +58 16 06.980315664|140.0311356701407 +56.4021291515072|            ~ ~   |     ~   |~               | 2.09  1.58      |    1|   24.21    Mpc |                       |        |2016AJ....152...50T
449 |NGC 3804                           NGC 3794                           NGC 3804                           |Low Surface Brightness Galaxy       |11 40 54.2302328040 +56 12 07.479490968|141.6312804038491 +58.2914596652148|  -0.062 -0.821   |     ~   |~               |0.727 0.480      |    1|   25.70    Mpc |  -4.86       +4.86    |T-F     |2020ApJ...902..145K
450 |TYC 3828-862-1                                                                                           |High Proper Motion Star             |11 32 33.9744101736 +57 14 56.460352704|142.4020153393099 +56.7972930980345|-15.935 -61.416   |9.96     |~               |    ~     ~      |    1|  495.565   pc  |  -3.5119     +3.5119  |paral   |2020yCat.1350....0G
451 |TYC 3828-875-1                                                                                           |Star                                |11 33 17.0826008424 +57 15 29.701587492|142.2440953381507 +56.8426340869518|  -4.644 -3.354   |10.77    |~               |    ~     ~      |    1| 2008.839   pc  | -56.0925    +56.0925  |paral   |2020yCat.1350....0G
452 |TYC 3831-35-1                                                                                            |Star                                |11 30 50.2576881720 +57 36 25.344961236|142.3963872821723 +56.3703304277056|-32.252 -14.946   |10.82    |~               |    ~     ~      |    1|  238.709   pc  |  -1.3106     +1.3106  |paral   |2020yCat.1350....0G
