C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
34  |HD 214050                                                             |Star                          |22 36 21.6813663648 -41 58 44.884286184|355.7451000426129 -58.7566951095030|  15.798 -2.864   |9.31     |K1(III)         |    ~     ~    
35  |HD 214580                                                             |High Proper Motion Star       |22 39 54.2667484992 -41 57 12.111769548|355.3982109962798 -59.3912364843535|-27.857 -59.767   |9.81     |G2V             |    ~     ~    
36  |CD-43 15087                                                           |High Proper Motion Star       |22 33 53.0462380752 -42 21 36.818038836|355.3132604836933 -58.2044685015447|   59.148 0.989   |10.178   |G0              |    ~     ~    
37  |CD-43 15105                                                           |Double or Multiple Star       |22 35 55.1648457696 -42 25 48.908593920|354.9675083056391 -58.5409764839392| -35.655 -7.184   |10.606   |~               |    ~     ~    
38  |HD 214275                                                             |Star                          |22 37 45.7802304912 -42 24 16.461900000|354.8087384350081 -58.8720861038519|    7.301 1.231   |8.76     |K4/5III         |    ~     ~    
39  |HD 214624                                                             |Star                          |22 40 04.9282950912 -42 41 28.729111452|354.0110404257309 -59.1821496881419|  5.372 -17.299   |9.86     |F2V             |    ~     ~    
40  |TYC 8003-35-1                                                         |Star                          |22 38 00.9129209088 -42 41 48.492197196|354.2450295855607 -58.8219437520744| 13.076 -14.546   |10.74    |F0              |    ~     ~    
41  |CD-42 15966                                                           |Star                          |22 33 02.7263231808 -42 16 39.915852384|355.5496717506590 -58.0809131059254| -25.796 -7.216   |10.40    |~               |    ~     ~    
42  |CD-41 14945                                                           |Star                          |22 34 54.1438043424 -40 50 19.659727824|358.0051662720687 -58.8162723347987|  13.496 -4.773   |10.13    |~               |    ~     ~    
43  |CD-42 15993                                                           |Star                          |22 35 59.9156844504 -41 38 50.795105352|356.3948731935498 -58.7900956037459|   0.948 -3.864   |10.102   |~               |    ~     ~    
