C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
649 |HD 213452                                                             |High Proper Motion Star       |22 31 44.6158667856 -21 53 07.103758776|034.5689125621679 -57.8970343502732|  94.132 71.274   |9.37     |G5V             |    ~     ~    
650 |HD 213465                                                             |Star                          |22 31 51.1356977448 -21 58 26.454977112|034.4221571520254 -57.9463280570524|   22.954 0.605   |9.33     |F0V             |    ~     ~    
651 |HD 213474                                                             |Star                          |22 31 58.3801025256 -22 03 30.897523116|034.2839534190595 -57.9969502803518|  7.121 -43.506   |10.350   |G2/3V           |    ~     ~    
652 |HD 213488                                                             |Star                          |22 32 05.2181641968 -22 16 47.010757584|033.8963436642675 -58.0835837521554| 11.717 -10.087   |9.59     |K1/2III         |    ~     ~    
653 |HD 213434                                                             |High Proper Motion Star       |22 31 32.9357751432 -23 09 53.616905316|032.2165062361280 -58.1964178026735|-34.502 -36.271   |9.60     |F5V             |    ~     ~    
654 |HD 213433                                                             |High Proper Motion Star       |22 31 34.9428197496 -22 40 37.882280244|033.1129966167560 -58.0782698049267|17.523 -117.467   |8.92     |G6V             |    ~     ~    
655 |BD-22 5926                                                            |Star                          |22 30 09.6417340776 -21 15 51.413521896|035.4776308007531 -57.3637223762379|-25.414 -33.173   |10.752   |~               |    ~     ~    
656 |CPD-23 8187                                                           |High Proper Motion Star       |22 30 28.9369787328 -22 28 56.857817172|033.3390845775926 -57.7816284330813|  50.494 36.313   |10.89    |~               |    ~     ~    
657 |CPD-22 8231                                                           |Star                          |22 31 20.6997061008 -22 20 22.331537268|033.6991727677702 -57.9348707679180| -5.396 -10.454   |10.642   |~               |    ~     ~    
658 |CD-23 17480                                                           |Star                          |22 32 23.2337213952 -22 54 45.616908384|032.7734135962717 -58.3187633179656|   28.326 8.524   |10.70    |~               |    ~     ~    
659 |BD-22 5925                                                            |Star                          |22 30 10.0505497656 -21 21 57.014059032|035.2986978743864 -57.3955351453780| -2.274 -20.119   |10.282   |~               |    ~     ~    
660 |HD 213624                                                             |Star                          |22 33 07.0969377864 -21 12 19.797614568|035.9703255506359 -58.0033112307656|  14.131 -9.789   |10.049   |K0              |    ~     ~    
661 |HD 213679                                                             |Star                          |22 33 33.7355594448 -21 05 02.039074260|036.2485501260980 -58.0650128567570| -3.098 -15.966   |10.195   |F8/G0V          |    ~     ~    
662 |HD 213823                                                             |Star                          |22 34 28.6337183376 -21 20 37.307155020|035.9008131881770 -58.3467938814664| -7.132 -13.966   |10.05    |K1/2(III)       |    ~     ~    
663 |BD-22 5945                                                            |Star                          |22 35 29.0190784056 -21 26 47.227139088|035.8466815113765 -58.6010348356805|  12.139 -4.135   |10.596   |G               |    ~     ~    
664 |BD-22 5946                                                            |High Proper Motion Star       |22 36 14.2512770904 -21 41 15.109356372|035.5019957284161 -58.8393844145520|  77.523 23.460   |10.600   |~               |    ~     ~    
665 |HD 214136                                                             |Rotating Variable             |22 36 31.1034983424 -21 35 05.871413220|035.7285199135090 -58.8718520866074|  31.418 -4.961   |9.10     |F5V             |    ~     ~    
666 |HD 214173                                                             |High Proper Motion Star       |22 36 50.2275105912 -21 31 52.956377544|035.8698850194918 -58.9269130506907|  98.185 17.213   |9.33     |G3V             |    ~     ~    
667 |HD 214192                                                             |Star                          |22 36 54.2250621576 -21 40 25.776209568|035.6145990496499 -58.9834756088021| 13.260 -27.536   |9.70     |K1/2(III)       |    ~     ~    
668 |HD 214480                                                             |Star                          |22 38 42.4399469112 -21 39 25.864598952|035.8843371264294 -59.3794257268479| -3.126 -18.089   |9.01     |K0III           |    ~     ~    
669 |HD 214531                                                             |Star                          |22 39 03.6635283408 -21 32 50.693540496|036.1379429781920 -59.4257549948894|    7.826 4.784   |10.053   |G8/K0IV         |    ~     ~    
670 |HD 213725                                                             |Star                          |22 33 53.8943739720 -22 06 14.612894964|034.4377625464302 -58.4378888467238|-32.242 -22.028   |8.99     |F2V             |    ~     ~    
671 |HD 213924                                                             |Star                          |22 35 07.0617312192 -22 04 47.777907216|034.6336143912411 -58.7023647600774|   23.551 2.805   |9.85     |A0mA8-F2        |    ~     ~    
672 |HD 213613                                                             |Double or Multiple Star       |22 33 04.1851 -22 32 03.405            |033.5478951 -58.3712120            | 89.734 -37.719   |10.310   |K0              |    ~     ~    
673 |HD 213768                                                             |Star                          |22 34 09.3036229272 -23 17 35.433393900|032.2643913287843 -58.8082112487794| -7.754 -17.358   |9.02     |K0III           |    ~     ~    
674 |HD 213899                                                             |High Proper Motion Star       |22 34 55.5059113656 -23 15 51.205012812|032.4034971701207 -58.9723581645112|  67.454 11.556   |9.56     |G2V             |    ~     ~    
675 |HD 214146                                                             |High Proper Motion Star       |22 36 40.4775978360 -23 09 43.350044544|032.7921227301969 -59.3361175548868|-27.457 -43.485   |10.01    |G8/K0           |    ~     ~    
676 |HD 214210                                                             |Star                          |22 37 04.4243667984 -23 00 23.470571340|033.1329347297266 -59.3855635905865|  8.878 -18.490   |9.93     |K1III           |    ~     ~    
677 |HD 214251                                                             |Star                          |22 37 13.5428928720 -22 54 57.393734760|033.3224935955510 -59.3961487550953|  -3.099 -8.727   |9.65     |F3V             |    ~     ~    
678 |HD 214286                                                             |High Proper Motion Star       |22 37 24.1975592520 -22 25 09.305705532|034.2833599964359 -59.3042669552563| 52.042 -30.391   |9.45     |G8IV            |    ~     ~    
679 |HD 214323                                                             |Star                          |22 37 37.8535230696 -23 15 50.220893160|032.7057983917013 -59.5743075478986|-23.532 -36.625   |8.89     |K2III           |    ~     ~    
680 |HD 214361                                                             |Star                          |22 37 56.8833770424 -22 21 20.327789556|034.4706963298252 -59.4081206223781|    6.708 3.299   |10.163   |F3V             |    ~     ~    
681 |HD 214362                                                             |Horizontal Branch Star        |22 37 58.6722777408 -22 38 40.152266772|033.9270571921324 -59.4925111339767|174.208 -54.964   |8.80     |Gwl             |    ~     ~    
682 |HD 214438                                                             |Star                          |22 38 24.1691039880 -22 44 19.408620336|033.7987445639016 -59.6119241468269|-17.424 -18.463   |7.89     |K5III           |    ~     ~    
683 |HD 214461                                                             |Star                          |22 38 39.6064265568 -23 01 43.459293720|033.2742095124966 -59.7441856257135|  -12.794 1.240   |10.24    |F0V(w)          |    ~     ~    
684 |HD 214498                                                             |High Proper Motion Star       |22 38 50.9079553752 -23 09 57.461246352|033.0321549641908 -59.8207731885162|  30.828 41.870   |9.53     |F2V             |    ~     ~    
685 |HD 214532                                                             |High Proper Motion Star       |22 39 06.1105164576 -22 38 17.000868840|034.0754042916757 -59.7408408039817| 17.049 -59.104   |8.26     |K2III           |    ~     ~    
686 |HD 214579                                                             |Chemically Peculiar Star      |22 39 32.0780510496 -22 46 44.042846844|033.8575750634376 -59.8742531262563|  10.501 -8.403   |8.24     |KpBa            |    ~     ~    
687 |HD 214801                                                             |Star                          |22 40 55.3409441832 -22 39 27.884621700|034.2601288832618 -60.1510304469072|   14.663 7.144   |9.64     |K1(III)         |    ~     ~    
688 |HD 214812                                                             |Star                          |22 41 00.1867486080 -22 26 55.315278528|034.6745564819674 -60.1129108824850|  -43.263 2.599   |9.36     |G8IV            |    ~     ~    
689 |HD 214813                                                             |High Proper Motion Star       |22 41 04.3170759576 -23 31 16.582148796|032.5926452552016 -60.4028047538872| 37.524 -47.810   |7.10     |G1V             |    ~     ~    
690 |BD-22 5935                                                            |Star                          |22 32 47.6146567968 -21 44 55.997966292|034.9471401153679 -58.0914871232749|  25.687 -3.347   |10.94    |~               |    ~     ~    
691 |BD-22 5937                                                            |High Proper Motion Star       |22 33 26.6223989808 -21 55 01.667733240|034.7231658472461 -58.2841759842133| 52.970 -11.472   |10.385   |~               |    ~     ~    
692 |CPD-22 8240                                                           |Star                          |22 33 46.5774677040 -22 19 56.099654472|034.0036408194368 -58.4737684199657|-14.287 -34.377   |10.84    |~               |    ~     ~    
693 |BD-22 5939                                                            |Star                          |22 33 58.3028732208 -21 47 48.793521444|035.0092459321638 -58.3672573014958| 17.079 -35.281   |10.53    |~               |    ~     ~    
694 |CD-23 17493                                                           |Star                          |22 34 01.8523682160 -22 46 28.793384472|033.2163975296967 -58.6486491063404|  8.450 -12.221   |10.570   |~               |    ~     ~    
695 |BD-22 5940                                                            |High Proper Motion Star       |22 34 11.1524011056 -22 08 47.927579604|034.3950278835303 -58.5137291492171| 17.056 -66.152   |10.960   |~               |    ~     ~    
696 |BD-22 5949                                                            |Star                          |22 36 24.0610667256 -22 00 45.276722172|034.9200305743859 -58.9688211257438| 12.527 -12.301   |10.94    |~               |    ~     ~    
697 |CD-23 17510                                                           |Star                          |22 36 42.3156353304 -22 39 25.977498300|033.7503429551205 -59.2127677765586|   34.588 9.377   |10.68    |~               |    ~     ~    
698 |CD-23 17517                                                           |Star                          |22 37 31.8154202808 -23 04 10.600073436|033.0654546621516 -59.5031831946097|   -2.786 6.538   |10.381   |~               |    ~     ~    
699 |CD-23 17518                                                           |High Proper Motion Star       |22 37 33.6220303968 -22 21 57.001367952|034.4034421128055 -59.3246716534910|-44.657 -100.784  |10.365   |~               |    ~     ~    
700 |CD-23 17525                                                           |Star                          |22 38 11.8246163616 -22 32 47.740620480|034.1395539247304 -59.5151759179986|  23.756 14.349   |10.740   |~               |    ~     ~    
701 |BD-22 5959                                                            |Star                          |22 38 31.9790105664 -22 12 49.430577348|034.8124087489587 -59.4991569672998| -1.658 -13.164   |10.86    |~               |    ~     ~    
702 |BD-22 5965                                                            |High Proper Motion Star       |22 40 16.2669754488 -21 19 49.471578660|036.7121558896364 -59.6296833682380|  49.593 23.931   |10.542   |~               |    ~     ~    
703 |BD-22 5967                                                            |High Proper Motion Star       |22 40 22.7509400592 -21 48 00.647140104|035.8370342392753 -59.7924920566818|-57.221 -51.717   |10.750   |~               |    ~     ~    
704 |CD-23 17501                                                           |Star                          |22 35 12.5910208608 -23 17 04.050800088|032.3969097958475 -59.0407280588596|  -7.223 -3.363   |10.459   |~               |    ~     ~    
705 |CD-24 17270                                                           |Star                          |22 40 22.8540849216 -23 29 43.891809000|032.5659988846207 -60.2428458237233|  13.501 -9.812   |10.464   |~               |    ~     ~    
706 |BD-22 5968                                                            |Star                          |22 40 28.9006033200 -21 30 42.911603316|036.3981651182878 -59.7307881583848|    1.031 4.906   |10.617   |~               |    ~     ~    
707 |TYC 6392-108-1                                                        |Star                          |22 36 22.4492262960 -22 04 47.615229084|034.7912960873117 -58.9817752669417| -9.954 -10.279   |10.55    |~               |    ~     ~    
708 |TYC 6963-257-1                                                        |High Proper Motion Star       |22 35 15.3655969920 -23 44 26.629124532|031.5396463760731 -59.1611390432179|144.172 -41.400   |10.75    |~               |    ~     ~    
709 |TYC 6963-501-1                                                        |Star                          |22 37 12.7206106338 -22 57 58.455595091|033.2254130532658 -59.4060257566823|      23.5 -6.7   |10.883   |~               |    ~     ~    
710 |HD 215018                                                             |Star                          |22 42 28.5348635808 -23 43 02.977566816|032.3602057063763 -60.7617446580808|-10.849 -15.991   |9.60     |K1III           |    ~     ~    
711 |CD-24 17283                                                           |High Proper Motion Star       |22 41 54.3975142920 -23 56 19.159114056|031.8586234040662 -60.6863825671950| 29.664 -42.331   |10.226   |~               |    ~     ~    
712 |CD-24 17282                                                           |Star                          |22 41 50.5476884736 -23 45 08.633571012|032.2215126918427 -60.6290650110639|  -2.208 11.666   |10.387   |~               |    ~     ~    
713 |HD 215298                                                             |Star                          |22 44 25.4408273496 -23 45 53.834318568|032.4802110524385 -61.2063548990967|   12.927 0.053   |8.47     |A0V             |    ~     ~    
714 |HD 215081                                                             |Star                          |22 43 01.6909076328 -21 39 27.007527852|036.4700381066362 -60.3393506428370|   16.275 6.834   |7.14     |G8III           |    ~     ~    
715 |HD 214950                                                             |Star                          |22 42 07.1009097696 -21 46 14.396770920|036.1273941229527 -60.1703490712497| -19.125 -6.248   |9.62     |K0IV            |    ~     ~    
716 |HD 215048                                                             |High Proper Motion Star       |22 42 41.2644870792 -22 17 35.028564684|035.1914646131052 -60.4449180015144|-76.892 -94.552   |9.48     |G6V             |    ~     ~    
717 |HD 215060                                                             |High Proper Motion Star       |22 42 46.2744808656 -21 45 17.277118488|036.2468311379472 -60.3107651836823|  49.180 26.310   |10.322   |F5V             |    ~     ~    
718 |BD-22 5981                                                            |High Proper Motion Star       |22 42 56.9413770120 -22 09 35.713840932|035.4849237422538 -60.4659860163675|-35.614 -57.427   |10.245   |G               |    ~     ~    
719 |HD 214864                                                             |Double or Multiple Star       |22 41 21.4649 -22 33 12.451            |034.5162056 -60.2200467            |    -9.40 -8.90   |9.57     |F5V             |    ~     ~    
720 |HD 214937                                                             |Star                          |22 42 02.0442896016 -23 08 43.718549928|033.4417511965417 -60.5244051793193| 40.508 -18.254   |9.92     |K0III           |    ~     ~    
721 |HD 215034                                                             |Star                          |22 42 39.2639879808 -23 11 24.944650008|033.4263030463923 -60.6736566415709| 27.601 -28.554   |9.868    |G6/8V           |    ~     ~    
722 |BD-22 5972                                                            |High Proper Motion Star       |22 41 18.6834866664 -21 52 59.903361408|035.8025717747945 -60.0235914852666| 11.186 -60.913   |10.500   |~               |    ~     ~    
723 |CD-24 17280                                                           |Star                          |22 41 37.2268513920 -23 21 49.629375036|032.9643095599982 -60.4865904656683|   -3.870 1.192   |10.57    |~               |    ~     ~    
724 |CD-23 17558                                                           |Star                          |22 41 44.2649019168 -22 54 55.564157520|033.8577324057721 -60.3998620859492|    7.577 0.661   |10.811   |~               |    ~     ~    
725 |CD-24 17281                                                           |Star                          |22 41 47.5911959424 -23 27 18.899910648|032.8037139575169 -60.5473272572738|  15.508 11.822   |10.596   |~               |    ~     ~    
726 |BD-22 5975                                                            |Star                          |22 41 55.5216746544 -21 37 05.235375108|036.3939075418785 -60.0828387956048| -5.362 -15.575   |10.35    |~               |    ~     ~    
727 |CD-24 17285                                                           |Star                          |22 42 09.5217673824 -23 23 13.797186612|032.9797115952512 -60.6120733130568|   -1.797 4.208   |10.896   |~               |    ~     ~    
728 |BD-22 5984                                                            |Star                          |22 43 03.8846475216 -21 28 11.266508964|036.8370900293106 -60.2917626685584| -7.175 -32.923   |10.38    |~               |    ~     ~    
729 |BD-22 5977                                                            |Star                          |22 42 18.8989201344 -21 43 29.850887244|036.2420864479956 -60.2007163700212|  4.229 -11.787   |10.837   |~               |    ~     ~    
730 |BD-22 5978                                                            |Star                          |22 42 21.6939597432 -21 40 49.192180896|036.3343238120672 -60.1980067992433| 23.356 -24.814   |10.62    |~               |    ~     ~    
731 |BD-22 5983                                                            |Long-Period Variable          |22 43 03.8234418552 -21 26 09.800318688|036.9018856246822 -60.2814184925400|   9.274 -5.883   |10.19    |~               |    ~     ~    
732 |TYC 6964-1033-1                                                       |Star                          |22 43 55.5636087576 -23 39 55.567884996|032.6251931250977 -61.0722010316195| 25.562 -39.682   |10.480   |~               |    ~     ~    
733 |HD 215333                                                             |High Proper Motion Star       |22 44 42.4693385952 -22 00 11.431980252|036.0263557368347 -60.8125577558315|-23.521 -50.465   |10.06    |G8/K0(IV)       |    ~     ~    
734 |HD 215368                                                             |Star                          |22 44 59.2624589952 -21 49 10.178865084|036.4254411659928 -60.8218704336916|  9.388 -20.635   |9.597    |K2III           |    ~     ~    
735 |HD 215237                                                             |High Proper Motion Star       |22 44 03.4062463200 -23 07 43.298929272|033.7146336262343 -60.9701941680899|  16.249 56.482   |9.11     |F7V             |    ~     ~    
736 |HD 215353                                                             |Spectroscopic Binary          |22 44 47.3213400024 -23 28 33.172173840|033.1045190414378 -61.2188137727779|  25.445 -9.381   |9.98     |A1III/IV        |    ~     ~    
737 |CD-23 17582                                                           |Star                          |22 44 42.1190598264 -22 46 53.536909512|034.4853616698237 -61.0243902967779|   0.663 -4.146   |10.35    |~               |    ~     ~    
738 |TYC 6964-377-1                                                        |Star                          |22 42 20.5793610648 -23 19 07.530370896|033.1360674242422 -60.6362844281236| -4.839 -13.495   |10.985   |~               |    ~     ~    
739 |HD 213538                                                             |High Proper Motion Star       |22 32 24.0364005744 -20 42 40.147592184|036.7570305225127 -57.6915793145897|-54.351 -57.395   |9.840    |F5V             |    ~     ~    
740 |BD-21 6241                                                            |Star                          |22 30 23.0056961856 -20 50 13.597874988|036.2605141828769 -57.2829621126907| 17.939 -37.614   |10.622   |~               |    ~     ~    
741 |BD-21 6242                                                            |Star                          |22 31 46.1287123920 -20 44 22.294919616|036.6201639785839 -57.5602099900515|   -0.075 1.852   |10.74    |~               |    ~     ~    
742 |BD-21 6253                                                            |Star                          |22 35 50.5471204080 -20 56 24.083020968|036.8205903773318 -58.5270800650905| -4.272 -10.620   |10.306   |~               |    ~     ~    
743 |HD 214046                                                             |Star                          |22 35 53.9513067480 -20 56 05.150064516|036.8380381572148 -58.5380436874609|  3.364 -20.860   |7.55     |K4III           |    ~     ~    
744 |HD 214172                                                             |Star                          |22 36 46.7814566208 -21 05 22.519037400|036.6767117486608 -58.7812625115939| -11.718 17.874   |7.42     |A1V             |    ~     ~    
745 |HD 214597                                                             |Double or Multiple Star       |22 39 35.6020 -21 03 20.317            |037.1327735 -59.3953462            |       25.5 1.7   |9.53     |F0/2V           |    ~     ~    
746 |HD 214724                                                             |Star                          |22 40 24.3753362016 -21 05 07.968347340|037.1920572314989 -59.5849499032911|  14.570 17.764   |10.41    |G8/K0V          |    ~     ~    
747 |BD-21 6256                                                            |High Proper Motion Star       |22 36 11.9500219488 -21 04 11.488431432|036.6328957656899 -58.6463186841385| 72.397 -84.760   |10.422   |~               |    ~     ~    
748 |BD-21 6279                                                            |High Proper Motion Star       |22 41 09.5300771856 -20 58 01.819963956|037.5226241938231 -59.7151629946870|-18.411 -70.363   |10.76    |~               |    ~     ~    
749 |HD 213200                                                             |Star                          |22 30 04.5911631768 -18 24 30.274202556|040.3932797132260 -56.3911303509422|   13.617 0.168   |9.52     |G8/K0III        |    ~     ~    
750 |HD 213327                                                             |Double or Multiple Star       |22 30 52.161744 -19 11 10.33800        |039.196139420 -56.845374284        |      65.6 -3.5   |9.47     |G1V             |    ~     ~    
751 |HD 213377                                                             |High Proper Motion Star       |22 31 07.6114332720 -19 04 39.301352832|039.4212229320301 -56.8641320666099|-95.982 -86.832   |9.64     |G3V             |    ~     ~    
752 |HD 213359                                                             |Star                          |22 31 08.8902161352 -18 30 45.452434896|040.3864563785829 -56.6657702737235|   5.533 -9.731   |10.06    |K1(III)         |    ~     ~    
753 |HD 213537                                                             |Star                          |22 32 28.3999984512 -18 58 15.987833508|039.8111644522780 -57.1239231153972| -7.624 -13.786   |10.62    |A2              |    ~     ~    
754 |HD 213378                                                             |Star                          |22 31 11.7274324752 -19 29 08.415385260|038.7302051865411 -57.0213573664726|-25.436 -38.594   |9.88     |G8/K0(III)      |    ~     ~    
755 |HD 213432                                                             |High Proper Motion Star       |22 31 31.7027611032 -20 04 08.218271532|037.7659951438714 -57.2913440425647| 51.988 -11.209   |9.732    |F8V             |    ~     ~    
756 |BD-19 6288                                                            |Spectroscopic Binary          |22 30 06.0418040064 -19 01 02.293322124|039.3678920221026 -56.6159756127511|  8.134 -16.231   |10.61    |~               |    ~     ~    
757 |BD-20 6444                                                            |Star                          |22 32 23.2838732616 -19 55 41.073941784|038.1365697776025 -57.4351918090403|-28.295 -34.880   |10.343   |~               |    ~     ~    
758 |BD-21 6240                                                            |Star                          |22 30 15.841 -20 33 06.49              |036.744770 -57.166947              |    -14.0 -16.8   |10.496   |~               |    ~     ~    
759 |BD-20 6441                                                            |Star                          |22 30 37.0109740968 -20 13 21.818473680|037.3682948982871 -57.1395417989134|  16.530 11.797   |10.58    |~               |    ~     ~    
760 |BD-19 6296                                                            |Star                          |22 32 19.4350513800 -18 47 50.350910820|040.0863645859362 -57.0286438835871|-27.666 -19.367   |10.338   |~               |    ~     ~    
761 |HD 213766                                                             |Double or Multiple Star       |22 34 10.4592429 -18 41 12.056964      |040.5699998477 -57.3968261481      |  -23.42 -16.16   |9.092    |F7V             |0.0033  0.0    
762 |HD 213791                                                             |High Proper Motion Star       |22 34 24.7234492776 -19 03 10.717464492|039.9719475580966 -57.5812686023258|107.897 -84.180   |8.62     |F8V             |    ~     ~    
763 |HD 214171                                                             |Double or Multiple Star       |22 36 52.7881144128 -18 59 43.600653564|040.4649741319922 -58.1053154688347|  50.883 24.389   |9.99     |G6/8            |    ~     ~    
764 |HD 214191                                                             |High Proper Motion Star       |22 36 57.4388166168 -18 53 13.573326660|040.6686619241692 -58.0833062490131|116.392 -44.261   |9.61     |G8V             |    ~     ~    
765 |HD 214478                                                             |Star                          |22 38 44.7772126032 -18 51 48.349939032|041.0030840342829 -58.4689630175606|   5.726 -8.338   |10.15    |K1/2(III)       |    ~     ~    
766 |HD 214508                                                             |Star                          |22 38 56.6029411896 -18 59 03.133464360|040.8200485046210 -58.5562504726516|  42.214 -1.730   |10.06    |G8/K0(V)        |    ~     ~    
767 |HD 214596                                                             |High Proper Motion Star       |22 39 40.3452275448 -19 07 28.290958464|040.6877318258160 -58.7675147694308|   62.683 4.277   |8.97     |G2/3V           |    ~     ~    
768 |HD 214657                                                             |Star                          |22 40 02.7024259728 -19 11 52.656642276|040.6161784951538 -58.8759741543861|  8.262 -25.912   |7.27     |F6V             |    ~     ~    
769 |HD 214773                                                             |Star                          |22 40 45.2853440112 -18 53 37.499534916|041.2826706058136 -58.9223318653212|  3.493 -10.344   |9.90     |K1(III)         |    ~     ~    
770 |HD 213623                                                             |Star                          |22 33 07.7983095264 -19 23 27.755973276|039.1849328880803 -57.4167471499124|   20.478 1.292   |9.00     |A0V             |    ~     ~    
771 |HD 213653                                                             |Star                          |22 33 19.3761634944 -19 15 39.248212068|039.4408950034034 -57.4140543062882| 15.281 -19.636   |9.839    |G8(III)         |    ~     ~    
772 |HD 213767                                                             |Star                          |22 34 07.9158206016 -19 21 43.433336628|039.3885192356528 -57.6282359953279|  -6.630 11.707   |8.64     |K0III           |    ~     ~    
773 |HD 213782                                                             |Star                          |22 34 09.6790141656 -19 32 02.128919856|039.0916035173960 -57.6942492405719|   -3.416 0.812   |10.105   |F3/5            |    ~     ~    
774 |BD-20 6463                                                            |High Proper Motion Star       |22 39 45.5289676560 -19 42 00.104627592|039.6592553775613 -58.9889979419422|-32.878 -58.603   |9.14     |K0              |    ~     ~    
775 |** HDO 171C                                                           |Star                          |22 39 44.1 -19 40 56                   |039.6880 -58.9775                  |            ~ ~   |9.8      |~               |    ~     ~    
776 |BD-20 6464                                                            |Star                          |22 40 01.6670845416 -19 38 04.849416600|039.8208256840517 -59.0258500107100|   18.826 0.282   |10.292   |~               |    ~     ~    
777 |V* MM Aqr                                                             |alpha2 CVn Variable           |22 33 12.3248929848 -20 02 21.880485816|038.0598206113626 -57.6533117463187|   4.685 12.118   |9.582    |A(pEuSrCr)      |    ~     ~    
778 |HD 214671                                                             |High Proper Motion Star       |22 40 06.7943341056 -20 00 35.484072372|039.1475671793245 -59.1728808372019|-53.426 -52.575   |8.49     |K0III           |    ~     ~    
779 |* ups Aqr                                                             |High Proper Motion Star       |22 34 41.6357860992 -20 42 29.576916972|037.0803677334962 -58.1996774385339|221.185 -147.090  |5.203    |F7V             |    ~     ~    
780 |HD 214304                                                             |High Proper Motion Star       |22 37 29.8511660496 -20 22 41.574118728|038.0799040827378 -58.7156948740729| 37.667 -44.295   |7.56     |A3mA3-F0        |    ~     ~    
781 |HD 214381                                                             |Star                          |22 37 56.4711106008 -20 27 09.613188000|038.0091354069965 -58.8381830551639| -8.147 -29.797   |10.173   |G0              |    ~     ~    
782 |HD 214380                                                             |High Proper Motion Star       |22 37 56.5616145168 -20 20 40.007764068|038.2070386087655 -58.8033277147439| 37.972 -44.410   |9.21     |F8V             |    ~     ~    
783 |HD 214450                                                             |Double or Multiple Star       |22 38 32.35791 -20 50 01.1460          |037.39534078 -59.09232915          |    -1.54 16.20   |9.35     |A9/F0V          |    ~     ~    
784 |HD 214616                                                             |Star                          |22 39 45.3303623664 -20 29 24.159082524|038.2079423932165 -59.2523211218553|   23.562 2.648   |10.44    |F3V             |    ~     ~    
785 |HD 214672                                                             |High Proper Motion Star       |22 40 09.7142498400 -20 42 41.058038016|037.8568187652209 -59.4134796659839| 69.284 -49.258   |9.62     |G6V             |    ~     ~    
786 |HD 214689                                                             |Star                          |22 40 16.2935255952 -20 16 36.632927604|038.6796831452436 -59.2969086741094|  13.949 11.240   |10.07    |G6/8IV          |    ~     ~    
787 |V* EE Aqr                                                             |Eclipsing Binary              |22 34 41.9698712760 -19 51 35.313657012|038.5973670975648 -57.9242957718819|  15.395 -8.288   |8.09     |F0V             |    ~     ~    
788 |BD-19 6298                                                            |Star                          |22 33 03.3902070936 -18 32 23.720206020|040.6434064125599 -57.0966594353820|   -1.859 4.827   |10.663   |~               |    ~     ~    
789 |BD-20 6449                                                            |High Proper Motion Star       |22 33 32.8200823656 -19 51 54.954859248|038.4167885070774 -57.6709158233565|-36.351 -65.662   |10.638   |~               |    ~     ~    
790 |BD-20 6461                                                            |Star                          |22 39 37.0676926560 -19 23 10.217739588|040.2067044871153 -58.8485136354327| 15.002 -11.643   |10.28    |~               |    ~     ~    
791 |BD-20 6466                                                            |Double or Multiple Star       |22 40 17.976504 -19 42 18.53532        |039.735195369 -59.110249014        |     -21.7 -9.3   |10.234   |~               |    ~     ~    
792 |BD-20 6468                                                            |Star                          |22 40 45.3596044824 -19 49 25.354901064|039.5898283542323 -59.2518100014215|   21.135 8.671   |10.326   |~               |    ~     ~    
793 |BD-21 6248                                                            |Star                          |22 33 58.2758371248 -20 17 39.987869244|037.7186738769656 -57.9068026775795|    7.836 3.595   |10.32    |~               |    ~     ~    
794 |BD-20 6455                                                            |Star                          |22 35 38.8792092192 -20 06 30.853759644|038.2946522563312 -58.2174017857869|      -0.3 -9.5   |10.742   |~               |    ~     ~    
795 |BD-20 6456                                                            |High Proper Motion Star       |22 35 51.7570137552 -20 14 58.994114892|038.0728115953048 -58.3114432094803| 61.777 -27.603   |10.448   |~               |    ~     ~    
796 |BD-21 6255                                                            |Star                          |22 35 55.3206889632 -20 33 35.290694088|037.5219951223444 -58.4249935135231| -2.727 -20.415   |10.63    |~               |    ~     ~    
797 |BD-21 6258                                                            |High Proper Motion Star       |22 36 47.6464445088 -20 24 36.328712904|037.9190952917738 -58.5701519569528| 48.543 -19.109   |10.51    |~               |    ~     ~    
798 |BD-21 6259                                                            |Star                          |22 37 02.0388919656 -20 48 46.048417416|037.2197101146910 -58.7518257183427| 26.934 -19.749   |10.216   |~               |    ~     ~    
799 |BD-21 6265                                                            |High Proper Motion Star       |22 38 13.1300822256 -20 18 35.860237560|038.3109070758784 -58.8532232219655|-41.417 -58.842   |10.273   |~               |    ~     ~    
800 |BD-21 6270                                                            |Star                          |22 39 28.7966948856 -20 40 47.741497644|037.8156999126798 -59.2522734795359| -18.383 -6.859   |10.344   |~               |    ~     ~    
801 |BD-21 6276                                                            |Star                          |22 40 17.7575437656 -20 32 44.360392200|038.1850129428989 -59.3900478866406|   9.451 -0.666   |10.68    |~               |    ~     ~    
802 |BD-21 6278                                                            |High Proper Motion Star       |22 41 00.3971481696 -20 40 17.289626772|038.0556285967129 -59.5879577866457|-56.451 -14.147   |10.512   |~               |    ~     ~    
803 |BD-20 6445                                                            |High Proper Motion Star       |22 32 46.4356872744 -19 37 06.543628788|038.7347741603316 -57.4162185368717|   73.731 2.372   |10.55    |~               |    ~     ~    
