C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:38:06

dec >=0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4307

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 153939                                                                                                                                   |Star                                |16 40 18.7116869928 +84 27 26.540976312|117.5501829753683 +30.0260824782856|   -6.810 8.976    |8.45     |K2                 |    ~     ~    |    1|  319.867   pc  |  -1.7394     +1.7394  |paral   |2020yCat.1350....0G
23  |HD 154180                                                                                                                                   |Star                                |16 40 46.0089062448 +84 39 52.168080024|117.7505627389728 +29.9125848919090|  -36.758 0.472    |7.99     |K5                 |    ~     ~    |    1|  375.235   pc  |  -2.3232     +2.3232  |paral   |2020yCat.1350....0G
24  |BD+84 372                                                                                                                                   |High Proper Motion Star             |16 40 41.8435615536 +84 44 33.853286148|117.8294811252017 +29.8745862637645|  44.007 68.660    |10.17    |F8                 |    ~     ~    |    1|  129.301   pc  |  -0.1973     +0.1973  |paral   |2020yCat.1350....0G
25  |TYC 4655-710-1                                                                                                                              |Star                                |16 37 05.1301173288 +87 41 09.348456300|120.7407172321780 +28.3913875066458|  -4.769 -1.290    |10.98    |M6/7               |    ~     ~    |    1| 1768.972   pc  |-107.9596   +107.9596  |paral   |2020yCat.1350....0G
26  |TYC 4655-673-1                                                                                                                              |Star                                |16 31 55.6189016664 +88 04 57.162968616|121.1468551882218 +28.2133928661662|   -7.880 6.748    |10.95    |~                  |    ~     ~    |    1|  540.015   pc  |  -3.6160     +3.6160  |paral   |2020yCat.1350....0G
27  |TYC 4655-918-1                                                                                                                              |Star                                |16 33 13.5950288784 +88 02 14.224089156|121.0972495813787 +28.2294878165207| -13.354 -7.357    |10.98    |~                  |    ~     ~    |    1|  228.003   pc  |  -0.6290     +0.6290  |paral   |2020yCat.1350....0G
28  |BD+75 600                                                                                                                                   |Star                                |16 39 17.8477728000 +74 53 50.364662532|107.5592872493350 +34.5167881984717| -21.906 13.783    |8.86     |K0                 |    ~     ~    |    1|  398.502   pc  |  -2.2232     +2.2232  |paral   |2020yCat.1350....0G
29  |BD+75 601                                                                                                                                   |Star                                |16 43 40.4153791104 +74 53 35.567414988|107.4112935082016 +34.2591567703901|  11.826 37.549    |10.21    |F8                 |    ~     ~    |    1|  275.740   pc  |  -0.8059     +0.8059  |paral   |2020yCat.1350....0G
30  |BD+74 677                                                                                                                                   |Star                                |16 38 11.4802798344 +74 39 25.398687816|107.3326460474328 +34.6847109293136|   -4.628 5.040    |9.54     |K2                 |    ~     ~    |    1| 1170.823   pc  | -18.2320    +18.2320  |paral   |2020yCat.1350....0G
31  |BD+74 681                                                                                                                                   |Star                                |16 42 20.3682332712 +74 28 30.568879848|106.9919920053914 +34.5097360273419|   -6.755 7.624    |8.55     |K0                 |    ~     ~    |    1|  359.105   pc  |  -2.2567     +2.2567  |paral   |2020yCat.1350....0G
32  |BD+74 682                                                                                                                                   |Star                                |16 42 38.8147925496 +74 42 27.574764768|107.2392979279593 +34.3962097977838|   41.869 1.530    |10.44    |K0                 |    ~     ~    |    1|  144.057   pc  |  -0.3341     +0.3341  |paral   |2020yCat.1350....0G
