C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:38:06

dec >=0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4307

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1054|BD+00 3543                                                                                                                                  |Horizontal Branch Star              |16 33 03.4550258256 +00 37 41.240381736|016.0934085303844 +30.6824602007754|    4.184 4.098    |9.621    |K0                 |    ~     ~    |    1|  526.870   pc  |  -4.5248     +4.5248  |paral   |2020yCat.1350....0G
1055|BD+00 3546                                                                                                                                  |Star                                |16 33 25.1495003640 +00 33 25.171972164|016.0780156815636 +30.5682053203335|  1.542 -44.085    |9.56     |K2                 |    ~     ~    |    1|  468.406   pc  |  -3.3130     +3.3130  |paral   |2020yCat.1350....0G
1056|BD+00 3550                                                                                                                                  |Star                                |16 35 02.2679509512 +00 18 28.343803212|016.0777794963120 +30.0930206159388|  -1.125 -2.520    |9.70     |F2                 |    ~     ~    |    1|  393.437   pc  |  -4.3806     +4.3806  |paral   |2020yCat.1350....0G
1057|BD+00 3551                                                                                                                                  |Star                                |16 35 17.7083253384 +00 16 30.283886964|016.0844461876030 +30.0210411043436| -5.863 -37.941    |9.73     |F8                 |    ~     ~    |    1|  128.391   pc  |  -0.3231     +0.3231  |paral   |2020yCat.1350....0G
1058|HD 149806                                                                                                                                   |High Proper Motion Star             |16 37 08.4279836712 +00 15 15.625491444|016.3421282297991 +29.6169721054971|  93.385 78.717    |7.065    |K0V                |    ~     ~    |    1|   20.324   pc  |  -0.0092     +0.0092  |paral   |2020yCat.1350....0G
1059|BD+00 3556                                                                                                                                  |Star                                |16 37 56.8077234264 +00 31 04.265075496|016.7215737385264 +29.5820514640797|    6.859 6.710    |10.40    |K2                 |    ~     ~    |    1|  237.141   pc  |  -0.9841     +0.9841  |paral   |2020yCat.1350....0G
1060|BD+00 3557                                                                                                                                  |Star                                |16 38 10.9513506984 +00 33 34.807803048|016.7978313695615 +29.5533792565467|  2.716 -16.450    |10.08    |K2                 |    ~     ~    |    1|  603.136   pc  |  -5.6385     +5.6385  |paral   |2020yCat.1350....0G
1061|TYC 383-692-1                                                                                                                               |Star                                |16 39 32.0271654144 +00 51 18.467280504|017.2889730686298 +29.4169346627430| -9.556 -10.240    |10.50    |F8                 |    ~     ~    |    1|  335.559   pc  |  -1.9029     +1.9029  |paral   |2020yCat.1350....0G
1062|TYC 383-607-1                                                                                                                               |Star                                |16 39 34.1865746160 +00 49 09.917222700|017.2591645101788 +29.3908261477146|  18.518 -6.881    |10.41    |K2                 |    ~     ~    |    1|  856.898   pc  | -13.2169    +13.2169  |paral   |2020yCat.1350....0G
1063|TYC 382-717-1                                                                                                                               |Star                                |16 32 33.6484194528 +00 23 44.614634928|015.7876299304695 +30.6661852110921|   6.052 -2.107    |10.57    |~                  |    ~     ~    |    1| 1516.530   pc  | -44.6174    +44.6174  |paral   |2020yCat.1350....0G
1064|GSC 00383-00941                                                                                                                             |Double or Multiple Star             |16 39 44.9830155432 +00 39 48.871298340|017.1326307150502 +29.2719037739652|   -8.377 1.056    |10.330   |~                  |    ~     ~    |    1|  764.000   pc  |  -9.5143     +9.5143  |paral   |2020yCat.1350....0G
1065|TYC 383-1338-1                                                                                                                              |Star                                |16 39 51.2921217360 +00 21 32.990836644|016.8498183481207 +29.0919330060238|  6.264 -18.178    |10.42    |~                  |    ~     ~    |    1| 1096.852   pc  | -20.2118    +20.2118  |paral   |2020yCat.1350....0G
1066|BD+00 3544                                                                                                                                  |Star                                |16 33 03.4499832720 +00 04 31.484437068|015.5475450226332 +30.3918630472496|-35.009 -21.826    |9.89     |~                  |    ~     ~    |    1|  378.072   pc  | -19.0108    +19.0108  |paral   |2020yCat.1350....0G
1067|TYC 382-42-1                                                                                                                                |Star                                |16 36 12.2546030616 +01 41 15.868814748|017.6200864771885 +30.5586494901285|-13.791 -44.569    |10.91    |~                  |    ~     ~    |    1|  146.372   pc  |  -0.3899     +0.3899  |paral   |2020yCat.1350....0G
1068|TYC 382-44-1                                                                                                                                |Star                                |16 35 06.2777360256 +01 38 30.706895076|017.4103904949005 +30.7709666791520|  -3.553 -7.153    |10.73    |~                  |    ~     ~    |    1|  715.717   pc  |  -8.8107     +8.8107  |paral   |2020yCat.1350....0G
1069|TYC 382-69-1                                                                                                                                |Star                                |16 34 48.1210159608 +01 41 52.785204540|017.4212244817946 +30.8646835141369|  -9.096 -1.682    |10.42    |~                  |    ~     ~    |    1|  206.245   pc  |  -1.1485     +1.1485  |paral   |2020yCat.1350....0G
1070|TYC 382-75-1                                                                                                                                |Star                                |16 34 13.0929675624 +01 26 43.154892312|017.0813766760820 +30.8596144048426|-11.248 -29.354    |10.53    |~                  |    ~     ~    |    1|  218.441   pc  |  -0.9257     +0.9257  |paral   |2020yCat.1350....0G
1071|TYC 382-76-1                                                                                                                                |High Proper Motion Star             |16 36 17.4095226888 +01 43 32.606132232|017.6707406760548 +30.5596636637761|29.281 -123.115    |10.32    |~                  |    ~     ~    |    1|  128.550   pc  |  -0.3123     +0.3123  |paral   |2020yCat.1350....0G
1072|TYC 382-83-1                                                                                                                                |Star                                |16 36 46.8314919312 +01 36 49.181665824|017.6318822090393 +30.3970217945560|  -5.915 -9.835    |10.79    |~                  |    ~     ~    |    1|  351.296   pc  |  -2.0733     +2.0733  |paral   |2020yCat.1350....0G
1073|TYC 382-98-1                                                                                                                                |Star                                |16 37 05.1568518864 +01 37 19.151695416|017.6854747749321 +30.3357299663392| -19.283 -1.840    |10.89    |~                  |    ~     ~    |    1|  265.922   pc  |  -1.1597     +1.1597  |paral   |2020yCat.1350....0G
1074|TYC 382-424-1                                                                                                                               |Star                                |16 34 25.2061083312 +00 14 53.258019576|015.9253000828965 +30.1931644941447| -20.467 14.835    |10.58    |~                  |    ~     ~    |    1|  840.054   pc  | -12.2084    +12.2084  |paral   |2020yCat.1350....0G
1075|TYC 382-633-1                                                                                                                               |Star                                |16 33 28.3048341336 +00 50 15.663911712|016.3640998188484 +30.7037400031442| -3.391 -20.320    |10.89    |~                  |    ~     ~    |    1|  416.736   pc  |  -4.6717     +4.6717  |paral   |2020yCat.1350....0G
1076|TYC 382-661-1                                                                                                                               |Star                                |16 33 17.3137891248 +00 49 54.864762384|016.3305709355842 +30.7397875139110|-16.916 -20.705    |10.52    |~                  |    ~     ~    |    1|  240.622   pc  |  -2.1365     +2.1365  |paral   |2020yCat.1350....0G
1077|TYC 382-799-1                                                                                                                               |Star                                |16 34 56.8687657944 +00 58 32.289377556|016.7239617936900 +30.4604491410475|  6.145 -15.087    |10.07    |~                  |    ~     ~    |    0|                |                       |        |                   
1078|TYC 382-897-1                                                                                                                               |Star                                |16 33 28.2933955368 +01 22 50.369636388|016.9044070903440 +30.9859314188055|  -18.626 8.848    |10.32    |~                  |    ~     ~    |    1|  178.540   pc  |  -0.6216     +0.6216  |paral   |2020yCat.1350....0G
1079|TYC 382-1041-1                                                                                                                              |Star                                |16 30 10.3779312720 +01 10 53.994360396|016.2037376165354 +31.5865740314526|  -7.626 -0.552    |10.21    |~                  |    ~     ~    |    1|  319.785   pc  |  -1.8305     +1.8305  |paral   |2020yCat.1350....0G
1080|TYC 383-141-1                                                                                                                               |Star                                |16 39 43.5225037872 +01 07 39.142779672|017.5856295706811 +29.5158837522793|  -10.640 6.553    |10.38    |~                  |    ~     ~    |    1|  737.463   pc  | -11.5840    +11.5840  |paral   |2020yCat.1350....0G
1081|TYC 383-159-1                                                                                                                               |Star                                |16 39 32.1133322496 +01 08 17.986020576|017.5682498712688 +29.5622171405804|   3.311 -2.536    |10.74    |~                  |    ~     ~    |    1|  706.614   pc  | -19.8723    +19.8723  |paral   |2020yCat.1350....0G
1082|TYC 383-200-1                                                                                                                               |Star                                |16 39 01.2773843760 +01 04 13.023830892|017.4252259119461 +29.6374953300423|   -8.282 8.077    |10.59    |~                  |    ~     ~    |    1|  629.882   pc  |  -9.4030     +9.4030  |paral   |2020yCat.1350....0G
1083|TYC 383-232-1                                                                                                                               |High Proper Motion Star             |16 37 59.5599181200 +01 28 28.322231880|017.6731814083634 +30.0655903314600| 47.433 -75.361    |10.02    |~                  |    ~     ~    |    1|  103.703   pc  |  -0.1721     +0.1721  |paral   |2020yCat.1350....0G
1084|TYC 383-370-1                                                                                                                               |Star                                |16 37 31.5305 +01 27 01.424            |017.5800561 +30.1534746            |  -6.229 -5.552    |10.31    |~                  |    ~     ~    |    0|                |                       |        |                   
1085|TYC 383-705-1                                                                                                                               |Star                                |16 39 26.6538567192 +00 42 12.034375740|017.1264724603678 +29.3578362931587|  -26.173 2.893    |10.86    |~                  |    ~     ~    |    1|  325.478   pc  |  -2.0022     +2.0022  |paral   |2020yCat.1350....0G
1086|TYC 383-1105-1                                                                                                                              |Star                                |16 37 55.4607467400 +00 23 46.209876828|016.5987121886430 +29.5236115244211|   -7.610 4.171    |10.82    |~                  |    ~     ~    |    1|  292.056   pc  |  -1.3989     +1.3989  |paral   |2020yCat.1350....0G
1087|BD+00 3561                                                                                                                                  |Star                                |16 41 12.8244832896 +00 23 46.081623192|017.0868880868149 +28.8203789934038|   -8.760 2.247    |10.17    |~                  |    ~     ~    |    1|  375.756   pc  |  -2.6262     +2.6262  |paral   |2020yCat.1350....0G
1088|TYC 383-1369-1                                                                                                                              |Star                                |16 40 31.0068907776 +00 03 02.530915956|016.6466972663904 +28.7903799224112| -37.683 27.840    |10.73    |~                  |    ~     ~    |    1|  102.962   pc  |  -0.1495     +0.1495  |paral   |2020yCat.1350....0G
1089|TYC 383-1634-1                                                                                                                              |Star                                |16 39 41.6183387856 +01 31 07.072691916|017.9675267506314 +29.7227554096153|    4.827 6.449    |10.15    |~                  |    ~     ~    |    1|  902.364   pc  | -11.5625    +11.5625  |paral   |2020yCat.1350....0G
1090|TYC 383-1677-1                                                                                                                              |Spectroscopic Binary                |16 38 56.9364465648 +01 36 44.087534064|017.9509034854274 +29.9305796813647|-44.249 -11.556    |10.66    |~                  |    ~     ~    |    1|  166.611   pc  |  -1.3352     +1.3352  |paral   |2020yCat.1350....0G
1091|TYC 383-1719-1                                                                                                                              |Star                                |16 41 09.8240505816 +01 42 24.048641412|018.3687111486046 +29.5021230810669|  -9.156 -4.712    |10.27    |~                  |    ~     ~    |    1|  342.208   pc  |  -2.6349     +2.6349  |paral   |2020yCat.1350....0G
1092|TYC 383-1735-1                                                                                                                              |Star                                |16 38 57.7787539416 +01 38 03.882027732|017.9749682391894 +29.9388679579287| -5.992 -12.013    |10.86    |~                  |    ~     ~    |    1|  475.919   pc  |  -3.6240     +3.6240  |paral   |2020yCat.1350....0G
1093|TYC 383-1750-2                                                                                                                              |Star                                |16 38 03.9617 +01 38 47.189            |017.8547686 +30.1377611            |-15.116 -28.406    |10.76    |~                  |    ~     ~    |    0|                |                       |        |                   
1094|TYC 383-1767-1                                                                                                                              |Star                                |16 37 53.6439219840 +01 39 36.583941636|017.8430225216074 +30.1817131581277|   -7.894 3.521    |10.97    |~                  |    ~     ~    |    1|  128.090   pc  |  -0.2658     +0.2658  |paral   |2020yCat.1350....0G
1095|TYC 386-104-1                                                                                                                               |Star                                |16 33 47.5392228192 +02 04 35.669172036|017.6496398790400 +31.2754066274880|   11.230 6.293    |10.70    |~                  |    ~     ~    |    1|  812.414   pc  |  -9.2402     +9.2402  |paral   |2020yCat.1350....0G
1096|TYC 386-121-1                                                                                                                               |Spectroscopic Binary                |16 33 11.7191614152 +02 20 38.614845228|017.8297098259611 +31.5403053893513|  11.424 -0.397    |10.45    |~                  |    ~     ~    |    1|  906.701   pc  | -27.8694    +27.8694  |paral   |2020yCat.1350....0G
1097|TYC 386-130-1                                                                                                                               |Star                                |16 33 22.4507339040 +02 02 05.632118448|017.5451128780636 +31.3437819429155|   14.516 1.090    |10.74    |~                  |    ~     ~    |    1|  323.782   pc  |  -1.6145     +1.6145  |paral   |2020yCat.1350....0G
1098|TYC 386-160-1                                                                                                                               |Star                                |16 36 49.8009971112 +02 04 28.216088436|018.0991420146681 +30.6216779775363|  -4.910 -7.504    |10.94    |~                  |    ~     ~    |    1|  464.706   pc  |  -4.3406     +4.3406  |paral   |2020yCat.1350....0G
1099|TYC 386-167-1                                                                                                                               |Star                                |16 32 18.5648470200 +02 08 55.257296028|017.4997375637388 +31.6305101609090|  17.764 -7.409    |10.91    |~                  |    ~     ~    |    1|  310.858   pc  |  -1.6138     +1.6138  |paral   |2020yCat.1350....0G
1100|TYC 386-501-1                                                                                                                               |Star                                |16 32 35.7092093928 +02 22 41.603213280|017.7743348084796 +31.6866527093706|   -7.346 5.305    |10.74    |~                  |    ~     ~    |    1|  339.709   pc  |  -2.7350     +2.7350  |paral   |2020yCat.1350....0G
1101|TYC 387-73-1                                                                                                                                |Star                                |16 40 41.6870910432 +02 34 52.713753852|019.1707989793675 +30.0443423337313| -2.747 -11.929    |10.05    |~                  |    ~     ~    |    1|  323.468   pc  |  -1.5485     +1.5485  |paral   |2020yCat.1350....0G
1102|TYC 387-629-1                                                                                                                               |High Proper Motion Star             |16 40 21.5881794504 +02 19 37.466714928|018.8683781319961 +29.9889769875031|-15.299 -47.694    |9.94     |~                  |    ~     ~    |    1|  164.932   pc  |  -2.6985     +2.6985  |paral   |2020yCat.1350....0G
1103|GSC 00387-00710                                                                                                                             |Double or Multiple Star             |16 38 59.325816 +02 04 26.57532        |018.416132736 +30.156799034        |       0.0 -9.6    |9.979    |~                  |    ~     ~    |    0|                |                       |        |                   
1104|TYC 387-961-1                                                                                                                               |Star                                |16 37 38.1870091824 +01 52 42.879575676|018.0224975837393 +30.3485069976546|  4.888 -12.823    |10.69    |~                  |    ~     ~    |    1|  820.681   pc  | -11.5172    +11.5172  |paral   |2020yCat.1350....0G
1105|TYC 387-994-1                                                                                                                               |Star                                |16 37 37.8729870240 +01 58 21.604370700|018.1155920717959 +30.3975354529000|  2.885 -11.081    |10.78    |~                  |    ~     ~    |    1|  377.102   pc  |  -2.3891     +2.3891  |paral   |2020yCat.1350....0G
1106|TYC 387-193-1                                                                                                                               |Star                                |16 42 45.5553542424 +02 34 01.239800484|019.4538620550350 +29.5907662735435|  -2.190 -4.683    |10.79    |~                  |    ~     ~    |    1| 1554.726   pc  | -41.5754    +41.5754  |paral   |2020yCat.1350....0G
1107|HD 150616                                                                                                                                   |Star                                |16 42 07.9234921776 +02 16 20.672658084|019.0704196678615 +29.5788193019106|    4.449 4.636    |7.87     |A3IV               |    ~     ~    |    1|  202.959   pc  |  -2.6899     +2.6899  |paral   |2020yCat.1350....0G
1108|BD+02 3160                                                                                                                                  |Star                                |16 42 47.7304992744 +02 14 46.084989228|019.1399013267441 +29.4222915520987|  -8.527 -4.793    |10.14    |G5                 |    ~     ~    |    1|  101.633   pc  |  -0.1911     +0.1911  |paral   |2020yCat.1350....0G
1109|TYC 387-776-1                                                                                                                               |Star                                |16 43 41.5746462768 +02 10 06.720983580|019.1918886361236 +29.1894282983053|   -1.956 6.063    |10.76    |F5                 |    ~     ~    |    1|  312.363   pc  |  -1.6782     +1.6782  |paral   |2020yCat.1350....0G
1110|HD 150874                                                                                                                                   |Star                                |16 43 42.2917755792 +02 30 44.201490696|019.5348160742083 +29.3588075599896| -10.700 22.650    |9.71     |F7/8V              |    ~     ~    |    1|  155.545   pc  |  -0.4282     +0.4282  |paral   |2020yCat.1350....0G
1111|HD 150652                                                                                                                                   |Star                                |16 42 21.2931749016 +01 46 28.383922560|018.6088987225996 +29.2798458821569|  -5.333 -3.489    |9.29     |G8III              |    ~     ~    |    1|  526.233   pc  | -12.9045    +12.9045  |paral   |2020yCat.1350....0G
1112|HD 150493                                                                                                                                   |Star                                |16 41 16.7348327784 +01 14 43.568649384|017.9299045778774 +29.2426094786486|-10.926 -13.679    |6.395    |G8III              |    ~     ~    |    1|  228.133   pc  |  -1.4729     +1.4729  |paral   |2020yCat.1350....0G
1113|BD+01 3287                                                                                                                                  |Star                                |16 41 27.0393056592 +01 34 33.248568972|018.2811251054465 +29.3739608132372|   -0.410 5.827    |9.70     |G5                 |    ~     ~    |    1|  671.186   pc  |  -7.1628     +7.1628  |paral   |2020yCat.1350....0G
1114|BD+01 3289                                                                                                                                  |Star                                |16 41 39.9136985376 +01 28 12.585031932|018.2079372661331 +29.2740368674297|  -2.041 -5.875    |9.95     |K2                 |    ~     ~    |    1|  587.061   pc  |  -6.2725     +6.2725  |paral   |2020yCat.1350....0G
1115|* 14 Oph                                                                                                                                    |High Proper Motion Star             |16 41 42.4819345392 +01 10 52.431236076|017.9293930355611 +29.1176062363606|-100.919 53.306    |5.724    |F2V                |    ~     ~    |    1|   55.315   pc  |  -0.1444     +0.1444  |paral   |2020yCat.1350....0G
1116|HD 150581                                                                                                                                   |Star                                |16 41 58.4144178000 +01 00 06.737015160|017.7918552427740 +28.9688886982993|   2.192 -8.453    |9.30     |G8IV               |    ~     ~    |    1|  569.606   pc  |  -6.5539     +6.5539  |paral   |2020yCat.1350....0G
1117|HD 150618                                                                                                                                   |Star                                |16 42 07.3213732512 +01 14 30.074336088|018.0493025381957 +29.0594512209541|  5.214 -12.127    |7.59     |F2V                |    ~     ~    |    1|   82.651   pc  |  -0.1619     +0.1619  |paral   |2020yCat.1350....0G
1118|HD 150617                                                                                                                                   |Star                                |16 42 11.3120314656 +01 28 03.241638660|018.2815412552206 +29.1600882932752| -3.121 -16.457    |8.56     |F0V                |    ~     ~    |    1|  190.226   pc  |  -0.8866     +0.8866  |paral   |2020yCat.1350....0G
1119|BD+00 3564                                                                                                                                  |Star                                |16 42 01.4688320424 +00 07 25.173809508|016.9405814518189 +28.5059878164995|  -8.510 -6.702    |10.71    |F8                 |    ~     ~    |    1|  305.446   pc  |  -2.3791     +2.3791  |paral   |2020yCat.1350....0G
1120|HD 150684                                                                                                                                   |Star                                |16 42 37.5555657624 +00 02 02.589195912|016.9419244407213 +28.3309549896979|-12.030 -19.571    |9.85     |B9.5/A0V           |    ~     ~    |    1|  603.245   pc  |  -7.2781     +7.2781  |paral   |2020yCat.1350....0G
1121|HD 150696                                                                                                                                   |Pulsating Variable                  |16 42 40.1191045704 +00 31 33.668315220|017.4275089210737 +28.5756542999105| -2.230 -18.832    |8.49     |A2/3II             |    ~     ~    |    1|  323.792   pc  |  -2.1912     +2.1912  |paral   |2020yCat.1350....0G
1122|HD 150732                                                                                                                                   |Double or Multiple Star             |16 42 52.2319095144 +00 04 30.858437784|017.0179009849649 +28.2999381002218|   11.770 3.684    |8.26     |G6IV               |0.0050  0.0    |    0|                |                       |        |                   
1123|BSD 108-1029                                                                                                                                |Star                                |16 43 06.0 +00 05 00                   |017.0594 +28.2550                  |            ~ ~    |10.1     |K2                 |    ~     ~    |    0|                |                       |        |                   
1124|[SGR85] 873-1                                                                                                                               |Star                                |16 42 40.1 +00 31 34                   |017.4276 +28.5758                  |            ~ ~    |8.46     |~                  |    ~     ~    |    0|                |                       |        |                   
1125|[SGR85] 873-3                                                                                                                               |Star                                |16 42 37.5 +00 02 03                   |016.9419 +28.3312                  |            ~ ~    |9.81     |~                  |    ~     ~    |    0|                |                       |        |                   
1126|V* V502 Oph                                                                                                                                 |Eclipsing Binary                    |16 41 20.8608649992 +00 30 27.384298488|017.2156047481225 +28.8492428673073| -25.485 22.150    |8.50     |G2V+F9V            |    ~     ~    |    1|   96.391   pc  |  -0.1942     +0.1942  |paral   |2020yCat.1350....0G
1127|TYC 383-1215-1                                                                                                                              |Star                                |16 43 11.4417944496 +00 04 38.848511892|017.0670420235539 +28.2325716614418| -7.924 -15.143    |10.16    |~                  |    ~     ~    |    1|  917.768   pc  | -13.8137    +13.8137  |paral   |2020yCat.1350....0G
1128|HD 150892                                                                                                                                   |Star                                |16 43 49.9835185536 +02 10 29.041952304|019.2181401315424 +29.1622455514456|   11.002 5.069    |9.32     |G5(IV)             |    ~     ~    |    1|  545.435   pc  |  -5.1170     +5.1170  |paral   |2020yCat.1350....0G
1129|HD 151029                                                                                                                                   |Star                                |16 44 42.4102345320 +02 19 58.279898496|019.4998404322765 +29.0523841136581|-26.314 -35.406    |7.46     |A3/5V              |    ~     ~    |    1|  108.822   pc  |  -0.3233     +0.3233  |paral   |2020yCat.1350....0G
1130|TYC 383-494-1                                                                                                                               |Star                                |16 43 49.2530246592 +00 59 53.555682120|018.0572879932699 +28.5700167284251| -2.669 -14.854    |10.55    |F0                 |    ~     ~    |    1|  336.587   pc  |  -2.6737     +2.6737  |paral   |2020yCat.1350....0G
1131|HD 150984                                                                                                                                   |Star                                |16 44 25.4784623592 +01 22 20.576462664|018.5116754178281 +28.6301977448891|   5.795 -2.223    |9.90     |F0/2IV/V           |    ~     ~    |    1|  280.442   pc  |  -1.5100     +1.5100  |paral   |2020yCat.1350....0G
1132|BD+01 3296                                                                                                                                  |Star                                |16 44 58.1990898312 +00 59 41.943257988|018.2204879068445 +28.3211768872430|   -6.750 4.854    |9.66     |K5                 |    ~     ~    |    1|  798.786   pc  | -13.2716    +13.2716  |paral   |2020yCat.1350....0G
1133|TYC 383-11-1                                                                                                                                |Star                                |16 42 10.1655748152 +01 12 36.163644156|018.0250748912632 +29.0331268484256|  7.147 -11.119    |10.6     |~                  |    ~     ~    |    1| 1568.381   pc  | -45.9986    +45.9986  |paral   |2020yCat.1350....0G
1134|TYC 383-204-1                                                                                                                               |Star                                |16 43 07.2519002856 +01 13 00.817477644|018.1702279709659 +28.8319788449235| -5.218 -11.652    |10.60    |~                  |    ~     ~    |    1|  674.673   pc  | -38.0078    +38.0078  |paral   |2020yCat.1350....0G
1135|TYC 383-339-1                                                                                                                               |Star                                |16 41 52.5006506592 +01 16 15.059375184|018.0419995315318 +29.1274315772754|  11.815 -5.839    |10.91    |~                  |    ~     ~    |    1|  431.593   pc  |  -5.5509     +5.5509  |paral   |2020yCat.1350....0G
1136|TYC 383-464-1                                                                                                                               |Star                                |16 42 42.9703479216 +01 19 08.488472052|018.2118801810065 +28.9710185378947|-28.867 -28.565    |10.50    |~                  |    ~     ~    |    1|  260.607   pc  |  -0.9712     +0.9712  |paral   |2020yCat.1350....0G
1137|TYC 383-646-1                                                                                                                               |Star                                |16 41 55.9805400264 +00 27 11.188625400|017.2484092047581 +28.6957669764589|  -13.763 0.738    |10.46    |~                  |    ~     ~    |    1|  213.785   pc  |  -0.8684     +0.8684  |paral   |2020yCat.1350....0G
1138|TYC 383-726-1                                                                                                                               |Star                                |16 42 02.7918773952 +00 51 50.454745884|017.6672339714276 +28.8826350370605|    4.390 0.714    |10.25    |~                  |    ~     ~    |    1|  635.768   pc  |  -6.5885     +6.5885  |paral   |2020yCat.1350....0G
1139|TYC 383-802-1                                                                                                                               |Star                                |16 43 03.1066127832 +00 33 47.184026292|017.5197598520350 +28.5125543710006| 13.184 -14.425    |10.96    |~                  |    ~     ~    |    1|  329.153   pc  |  -1.5060     +1.5060  |paral   |2020yCat.1350....0G
1140|TYC 383-919-1                                                                                                                               |Star                                |16 42 50.2384302648 +00 54 52.858849428|017.8323960468243 +28.7387687555077|   -2.751 2.092    |10.98    |~                  |    ~     ~    |    1|  286.738   pc  |  -1.5950     +1.5950  |paral   |2020yCat.1350....0G
1141|TYC 383-1034-1                                                                                                                              |Star                                |16 44 53.5364419295 +00 38 41.308828403|017.8673233180781 +28.1593115584080|-10.081 -10.341    |10.50    |~                  |    ~     ~    |    0|                |                       |        |                   
1142|TYC 383-1307-1                                                                                                                              |Star                                |16 43 47.9771071032 +00 22 03.109020024|017.4382681250639 +28.2516680959259|  15.281 -6.365    |10.88    |~                  |    ~     ~    |    1|  180.773   pc  |  -0.4118     +0.4118  |paral   |2020yCat.1350....0G
1143|TYC 383-1580-1                                                                                                                              |Star                                |16 43 59.2441665432 +01 50 07.353589308|018.9046561944877 +28.9583716900854|  -19.398 7.978    |10.52    |~                  |    ~     ~    |    1|  698.666   pc  |  -7.3708     +7.3708  |paral   |2020yCat.1350....0G
1144|TYC 383-1624-1                                                                                                                              |Star                                |16 44 48.9568654176 +01 32 08.058421680|018.7284146837900 +28.6283782656515|    0.709 4.521    |10.77    |~                  |    ~     ~    |    1|  791.390   pc  | -10.0834    +10.0834  |paral   |2020yCat.1350....0G
1145|TYC 387-37-1                                                                                                                                |Star                                |16 44 11.1048627312 +02 35 51.563677632|019.6882856948601 +29.2973936297497|  -0.819 -8.901    |10.40    |~                  |    ~     ~    |    1| 1113.090   pc  | -19.8235    +19.8235  |paral   |2020yCat.1350....0G
1146|TYC 387-102-1                                                                                                                               |Star                                |16 41 30.3315136152 +02 31 32.654333604|019.2323817300671 +29.8412651139710|     -7.9 -15.5    |10.84    |~                  |    ~     ~    |    0|                |                       |        |                   
1147|TYC 387-223-1                                                                                                                               |Star                                |16 44 49.0763246304 +02 32 52.489093596|019.7290138435651 +29.1355537341876|   5.359 -5.899    |10.85    |~                  |    ~     ~    |    1|  334.571   pc  |  -1.6343     +1.6343  |paral   |2020yCat.1350....0G
1148|TYC 387-387-1                                                                                                                               |Star                                |16 42 19.6994283432 +02 29 38.157796788|019.3191654442039 +29.6474477779637| -1.311 -27.508    |10.44    |~                  |    ~     ~    |    1|  397.915   pc  |  -2.4542     +2.4542  |paral   |2020yCat.1350....0G
1149|TYC 387-588-1                                                                                                                               |Star                                |16 42 22.0554643608 +02 17 10.828104576|019.1182288032541 +29.5349293712893| -21.649 -5.691    |10.46    |~                  |    ~     ~    |    1|  821.760   pc  | -11.1423    +11.1423  |paral   |2020yCat.1350....0G
1150|TYC 387-655-1                                                                                                                               |Star                                |16 44 07.6214375232 +02 25 56.575652520|019.5157744962796 +29.2275611617566| -0.267 -26.140    |10.60    |~                  |    ~     ~    |    1|  668.047   pc  | -14.1027    +14.1027  |paral   |2020yCat.1350....0G
1151|TYC 387-826-1                                                                                                                               |Star                                |16 44 23.8902608928 +02 24 11.018039220|019.5253986709952 +29.1542397453232|  -25.940 8.279    |10.35    |~                  |    ~     ~    |    1|  426.694   pc  |  -2.8221     +2.8221  |paral   |2020yCat.1350....0G
1152|TYC 387-942-1                                                                                                                               |High Proper Motion Star             |16 43 57.2526976296 +01 54 15.418205352|018.9679421283263 +29.0002280960640| 33.286 -83.567    |10.73    |~                  |    ~     ~    |    1|  103.692   pc  |  -0.1527     +0.1527  |paral   |2020yCat.1350....0G
1153|TYC 387-997-1                                                                                                                               |Star                                |16 44 58.1719021944 +01 58 48.897070752|019.1885869391057 +28.8190646993862|  -14.492 2.440    |9.87     |~                  |    ~     ~    |    1|  528.989   pc  |  -5.0649     +5.0649  |paral   |2020yCat.1350....0G
1154|BD+05 3222                                                                                                                                  |Star                                |16 31 50.4666240288 +04 56 59.001218628|020.3000184255425 +33.1365957604288|  2.631 -16.132    |10.92    |F8                 |    ~     ~    |    1|  304.980   pc  |  -1.1720     +1.1720  |paral   |2020yCat.1350....0G
1155|BD+04 3194                                                                                                                                  |Star                                |16 30 27.3485251608 +03 54 05.125635360|019.0097971441965 +32.9174772503020|  -8.071 -5.415    |10.13    |F8                 |    ~     ~    |    1|  200.505   pc  |  -5.4836     +5.4836  |paral   |2020yCat.1350....0G
1156|HD 148816                                                                                                                                   |High Proper Motion Star             |16 30 28.4586254384 +04 10 41.602836534|019.2984879280414 +33.0516349682649|-435.529 -1393.180 |7.28     |F7V                |    ~     ~    |    1|   42.6472  pc  |  -0.0363     +0.0363  |paral   |2020yCat.1350....0G
