C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:20:27

Vmag< 11&dec >=0&rah >=23.25&rah< 23.5
--------------------------------------

Number of objects : 4862

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------
793 |HD 236108                                                             |Star                           |23 22 49.6030542408 +54 00 23.760421956|110.0408211836577 -06.6324342498979|   13.603 0.894  |9.12     |A2                   |    ~     ~    
794 |HD 220485                                                             |Star                           |23 23 38.4207326352 +54 01 51.477354804|110.1623744074429 -06.6496887061988|   13.771 1.844  |6.84     |A2                   |    ~     ~    
795 |HD 236121                                                             |Star                           |23 26 52.5929898840 +54 00 18.978502068|110.6058429812951 -06.8303867670973|  -5.701 -5.891  |9.35     |A2                   |    ~     ~    
796 |HD 236124                                                             |Star                           |23 27 17.9783574216 +53 53 36.898197576|110.6289053985901 -06.9561837722252|  10.534 -5.885  |9.02     |K7                   |    ~     ~    
797 |HD 236092                                                             |Star                           |23 17 55.6557315720 +53 11 54.085109640|109.0718428629055 -07.1383556025169|  -7.288 -2.593  |8.72     |M0                   |    ~     ~    
798 |HD 219902                                                             |Star                           |23 19 00.3363816648 +53 13 59.153881224|109.2363507217021 -07.1629866252551|   32.072 8.031  |8.04     |A0                   |    ~     ~    
799 |HD 236100                                                             |Star                           |23 20 23.1111291960 +53 15 45.141514848|109.4416037992527 -07.2075437717755|  -8.321 -3.035  |8.73     |K0                   |    ~     ~    
800 |BD+52 3423                                                            |Star                           |23 21 23.3479384392 +53 40 26.435756676|109.7259943497704 -06.8729300835810| -5.821 -17.120  |10.14    |F5                   |    ~     ~    
801 |HD 236107                                                             |Star                           |23 22 33.6489422208 +53 22 40.973860776|109.7891577446391 -07.2105453656959|   5.775 -5.527  |9.31     |G5                   |    ~     ~    
802 |AG+53 1647                                                            |Long-Period Variable Candidate |23 24 30.3188375448 +53 23 58.555425984|110.0717389705491 -07.2875808778859|   23.832 3.729  |9.45     |M2                   |    ~     ~    
803 |HD 220616                                                             |Star                           |23 24 40.3953911064 +53 24 42.302522628|110.0996080598325 -07.2844258083149|   3.793 -4.439  |8.16     |A0                   |    ~     ~    
804 |HD 220732                                                             |Star                           |23 25 45.9696801960 +53 34 19.325192952|110.3075618766236 -07.1866746329912|   5.971 -2.561  |9.030    |A0                   |    ~     ~    
805 |HD 220747                                                             |Star                           |23 25 44.6841819744 +53 21 43.010504172|110.2351231897346 -07.3841180776237|   -0.059 1.762  |7.45     |K5                   |    ~     ~    
806 |HD 236119                                                             |Star                           |23 26 35.0202518088 +53 26 34.253113812|110.3809197445602 -07.3484385488266|   6.973 -0.111  |8.84     |G5                   |    ~     ~    
807 |HD 221124                                                             |High Proper Motion Star        |23 28 52.0330569384 +53 40 00.566240772|110.7771579691447 -07.2449711059502|   56.680 9.436  |6.920    |K0                   |    ~     ~    
808 |IRAS 23159+5322                                                       |Long-Period Variable           |23 18 12.1204126968 +53 39 10.920414780|109.2730484501817 -06.7278583065468|  -2.969 -1.458  |10.75    |~                    |    ~     ~    
809 |IRAS 23246+5411                                                       |Long-Period Variable Candidate |23 26 59.8038541200 +54 27 36.948866724|110.7704832623828 -06.4054401465743|  4.591 -12.863  |10.25    |~                    |    ~     ~    
810 |TYC 4002-474-1                                                        |Pulsating Variable             |23 15 17.3079800472 +55 01 23.006377452|109.3695828803688 -05.2967690271043|   12.842 8.502  |10.08    |~                    |    ~     ~    
811 |BD+54 2962                                                            |Chemically Peculiar Star       |23 22 34.9920771000 +55 17 38.190063840|110.4449039215806 -05.4089113054851|   18.505 5.393  |10.16    |~                    |    ~     ~    
812 |HD 236076                                                             |Star                           |23 15 51.9122442648 +52 57 38.054117664|108.6943553382331 -07.2488416956885|-21.780 -20.845  |9.39     |F2                   |    ~     ~    
813 |BD+52 3405B                                                           |Star                           |23 15 52.6889727888 +52 57 59.362367004|108.6983540562913 -07.2440355898364|-23.799 -18.620  |10.8     |~                    |    ~     ~    
814 |BD+52 3407                                                            |Star                           |23 16 05.0004177936 +52 59 20.825017080|108.7356457242978 -07.2341610808463|  -0.192 -1.952  |9.72     |A2                   |    ~     ~    
815 |HD 236082                                                             |Star                           |23 17 01.1693240448 +53 08 45.500743320|108.9248869848840 -07.1386245204956| -15.399 -1.539  |10.02    |K5                   |    ~     ~    
816 |HD 236075                                                             |High Proper Motion Star        |23 15 10.5519 +53 40 44.586            |108.8614647 -06.5422379            |      55.2 11.7  |10.47    |F8                   |    ~     ~    
817 |HD 236079                                                             |Star                           |23 16 16.7841045456 +53 34 32.557089432|108.9771537500465 -06.6979854063392|   39.461 4.389  |9.00     |F5                   |    ~     ~    
818 |HD 236080                                                             |Star                           |23 16 29.4232409664 +53 29 07.306952784|108.9736931112590 -06.7935399441680|  -0.018 -7.683  |9.23     |A2                   |    ~     ~    
819 |SV* WR 44                                                             |Variable Star                  |23 24 43.2818302008 +53 24 14.090462316|110.1038077594010 -07.2941961718347|  -1.640 -2.702  |9.84     |~                    |    ~     ~    
820 |BD+52 3403                                                            |Star                           |23 15 04.4590 +53 21 24.091            |108.7286595 -06.8367643            |     22.20 3.10  |10.42    |~                    |    ~     ~    
821 |TYC 3998-8-1                                                          |Pulsating Variable             |23 18 06.6633757920 +54 02 18.066453036|109.3979670530334 -06.3628263572130|  -3.204 -3.596  |9.76     |~                    |    ~     ~    
822 |TYC 3998-37-1                                                         |Star                           |23 19 35.5765234032 +54 17 01.072402872|109.6890800891580 -06.2095858155551|  -8.974 -1.949  |10.53    |~                    |    ~     ~    
823 |TYC 3998-65-1                                                         |Pulsating Variable             |23 17 02.0173698768 +53 41 45.192932988|109.1256829371469 -06.6261105075603|   1.499 -0.540  |10.04    |~                    |    ~     ~    
824 |TYC 3998-129-1                                                        |Star                           |23 15 03.1484319408 +52 56 30.466299372|108.5725569784022 -07.2216619414084|  -1.946 -2.139  |10.79    |~                    |    ~     ~    
825 |TYC 3998-245-1                                                        |Star                           |23 19 08.9161006056 +54 02 05.224239204|109.5401249903218 -06.4199098885354|   3.819 -3.318  |9.76     |~                    |    ~     ~    
826 |TYC 3998-305-1                                                        |Star                           |23 15 32.0943154440 +54 05 11.179982904|109.0604627497183 -06.1821688301568|  -1.790 -2.342  |10.63    |~                    |    ~     ~    
827 |TYC 3998-349-2                                                        |Star                           |23 18 32.8081396704 +54 09 30.201128028|109.5008144217958 -06.2731596149152|   2.113 -2.683  |10.95    |~                    |    ~     ~    
828 |TYC 3998-361-1                                                        |Star                           |23 19 25.1488276560 +54 12 31.025790936|109.6387738736818 -06.2709913730056|   0.764 -4.135  |10.46    |~                    |    ~     ~    
829 |TYC 3998-378-1                                                        |Star                           |23 16 03.0444485976 +53 05 46.723390584|108.7702196273084 -07.1324856319026|  12.937 11.005  |10.08    |~                    |    ~     ~    
830 |TYC 3998-385-1                                                        |Star                           |23 17 54.4204341576 +54 09 20.445021648|109.4117346386615 -06.2425212569549|    5.733 4.632  |10.85    |~                    |    ~     ~    
831 |TYC 3998-391-1                                                        |Pulsating Variable             |23 15 47.0399919000 +54 18 38.721836340|109.1765403912011 -05.9864072412371|  21.304 -3.428  |10.42    |~                    |    ~     ~    
832 |TYC 3998-407-1                                                        |Star                           |23 16 42.6312600528 +53 30 48.485168388|109.0146445656044 -06.7791209372456|-31.144 -34.843  |10.8     |~                    |    ~     ~    
833 |TYC 3998-409-1                                                        |Star                           |23 17 32.2967119392 +54 20 49.165511028|109.4295979981352 -06.0445693376333|  -1.701 -1.756  |10.76    |~                    |    ~     ~    
834 |TYC 3998-424-1                                                        |Star                           |23 17 36.5273309549 +54 08 42.684077158|109.3669311662907 -06.2367861321054|    1.189 0.238  |10.84    |~                    |    ~     ~    
835 |TYC 3998-464-1                                                        |Star                           |23 15 12.7057333224 +53 51 48.869645868|108.9342470480892 -06.3723947539817|  -0.476 -0.954  |10.78    |~                    |    ~     ~    
836 |TYC 3998-523-1                                                        |Star                           |23 15 22.7035689144 +54 08 42.410392512|109.0604602571998 -06.1191705846578| 10.138 -11.716  |10.47    |~                    |    ~     ~    
837 |TYC 3998-609-1                                                        |Star                           |23 18 55.4725462104 +53 03 49.453516836|109.1647478882119 -07.3172118432767|  -8.168 -5.449  |10.93    |~                    |    ~     ~    
838 |TYC 3998-613-1                                                        |Star                           |23 17 37.2653664048 +54 07 40.847723616|109.3624667632619 -06.2534772057044|  -8.753 -1.813  |10.22    |~                    |    ~     ~    
839 |TYC 3998-685-1                                                        |Star                           |23 15 40.0391099232 +54 07 08.759951832|109.0905919024718 -06.1587978870414|  -2.143 -3.331  |10.12    |~                    |    ~     ~    
840 |TYC 3998-731-1                                                        |Star                           |23 15 31.3815 +54 02 37.723            |109.0432308 -06.2212408            |  -5.349 -6.075  |9.83     |~                    |    ~     ~    
841 |TYC 3998-740-1                                                        |Star                           |23 15 28.7677165176 +53 44 14.884847772|108.9250126812822 -06.5042318761036|   11.488 2.232  |10.87    |~                    |    ~     ~    
842 |TYC 3998-742-1                                                        |Star                           |23 19 52.3737463872 +54 10 45.584173200|109.6910541505100 -06.3216066414753|    1.202 0.023  |10.39    |~                    |    ~     ~    
843 |TYC 3998-962-1                                                        |Star                           |23 16 30.1513854912 +53 45 33.584915808|109.0748669374984 -06.5386625783573|  -0.488 -2.728  |10.51    |~                    |    ~     ~    
844 |GSC 03998-00994                                                       |Double or Multiple Star        |23 19 41.304000 +53 40 04.80216        |109.485904231 -06.791347846        |      -9.9 -7.3  |9.595    |~                    |    ~     ~    
845 |TYC 3998-1073-1                                                       |Star                           |23 19 41.7820152528 +53 03 10.480396968|109.2703986073545 -07.3680623139439|  24.913 -0.707  |9.53     |~                    |    ~     ~    
846 |TYC 3998-1234-1                                                       |Star                           |23 18 43.9383157320 +53 38 47.198456196|109.3447153268481 -06.7618123944796|  -2.824 -3.712  |10.02    |~                    |    ~     ~    
847 |TYC 3998-1323-1                                                       |Star                           |23 18 09.8764176624 +52 58 40.372423968|109.0263489422158 -07.3570773133862|  3.196 -11.206  |10.34    |~                    |    ~     ~    
848 |TYC 3998-1348-1                                                       |Star                           |23 19 41.1861306336 +53 32 17.829367404|109.4399874829737 -06.9127877176083|   -0.266 1.156  |9.76     |~                    |    ~     ~    
849 |TYC 3998-1448-1                                                       |Spectroscopic Binary           |23 15 29.6379919440 +53 22 32.753616312|108.7943700587604 -06.8418660117996|   29.758 3.846  |10.37    |~                    |    ~     ~    
850 |TYC 3998-1525-1                                                       |Star                           |23 18 58.3893973392 +53 20 14.018703000|109.2687200363618 -07.0638166227259|  -0.477 -1.304  |10.11    |~                    |    ~     ~    
851 |TYC 3998-1672-1                                                       |Pulsating Variable             |23 18 49.5315174528 +53 45 59.297095872|109.4003164784167 -06.6543527878889|  -4.140 -3.272  |10.79    |~                    |    ~     ~    
852 |TYC 3998-1673-1                                                       |Star                           |23 19 43.2457742693 +53 59 51.073946159|109.6062315985276 -06.4842305935110|    1.181 0.142  |10.57    |~                    |    ~     ~    
853 |TYC 3998-1695-1                                                       |Star                           |23 18 45.8600375232 +53 14 11.790555900|109.2035468186381 -07.1469767653500| -11.307 -3.406  |10.87    |~                    |    ~     ~    
854 |TYC 3999-18-1                                                         |Star                           |23 23 52.2970183464 +53 55 37.277782716|110.1596248676600 -06.7590188237495|  -6.679 -4.161  |10.32    |~                    |    ~     ~    
855 |TYC 3999-34-1                                                         |Star                           |23 27 03.0816886368 +54 22 27.487987284|110.7501561556725 -06.4893718417237|  -3.343 -1.276  |10.93    |~                    |    ~     ~    
856 |TYC 3999-144-1                                                        |Star                           |23 20 01.0024748544 +53 52 46.251284412|109.6059292677325 -06.6100168717610|  -2.724 -2.311  |10.51    |~                    |    ~     ~    
857 |TYC 3999-195-1                                                        |Star                           |23 28 51.8094334368 +53 38 10.252530888|110.7668593114329 -07.2738659335418|       12.8 3.1  |10.200   |~                    |    ~     ~    
858 |TYC 3999-340-1                                                        |Star                           |23 22 43.6224082080 +54 20 47.230098504|110.1425877794472 -06.3076456118758|   5.320 -4.699  |10.82    |~                    |    ~     ~    
859 |TYC 3999-373-1                                                        |Star                           |23 28 31.7629868784 +54 13 07.702885560|110.9057785427776 -06.7056599223473|   2.221 -0.394  |10.80    |~                    |    ~     ~    
860 |TYC 3999-411-1                                                        |Star                           |23 26 22.6565875824 +53 46 24.537977472|110.4600810124626 -07.0258164058620|    6.278 1.174  |9.96     |~                    |    ~     ~    
861 |TYC 3999-451-1                                                        |Star                           |23 25 31.4720999904 +54 18 56.329860564|110.5192013793048 -06.4724855132982|    4.511 2.031  |10.66    |~                    |    ~     ~    
862 |TYC 3999-496-1                                                        |Star                           |23 26 18.7934254994 +54 16 00.170372872|110.6125990280039 -06.5563165465852|   1.592 -2.743  |10.96    |~                    |    ~     ~    
863 |TYC 3999-498-1                                                        |Star                           |23 20 14.8124722512 +53 21 52.164145512|109.4577661804778 -07.1047647152292|   2.787 -1.890  |10.73    |~                    |    ~     ~    
864 |TYC 3999-529-1                                                        |Star                           |23 25 48.1981033200 +54 11 42.226331280|110.5181710117647 -06.5997529321828|  -4.229 -2.652  |10.56    |~                    |    ~     ~    
865 |TYC 3999-609-1                                                        |Star                           |23 28 57.4484625432 +53 38 30.869507508|110.7820073326249 -07.2728365922838|   17.659 7.249  |10.36    |~                    |    ~     ~    
866 |TYC 3999-658-1                                                        |Star                           |23 25 40.4415533587 +54 17 50.026234561|110.5338608993757 -06.4970316579460|  -2.383 -1.959  |9.95     |~                    |    ~     ~    
867 |TYC 3999-739-1                                                        |Star                           |23 24 25.5049521000 +54 18 59.513175900|110.3671792293224 -06.4187511457493| -10.313 -5.124  |10.98    |~                    |    ~     ~    
868 |TYC 3999-789-1                                                        |Star                           |23 21 32.8227204240 +53 30 56.141742996|109.6934277950284 -07.0297715074570|  -1.442 -1.947  |9.98     |~                    |    ~     ~    
869 |TYC 3999-807-1                                                        |Star                           |23 28 19.6372463616 +53 28 41.852261064|110.6402050862414 -07.3983243559667|   21.638 1.243  |10.95    |~                    |    ~     ~    
870 |TYC 3999-811-1                                                        |Star                           |23 27 55.3936020288 +54 12 37.360459188|110.8184955840784 -06.6854488404252|   -0.067 1.487  |10.48    |~                    |    ~     ~    
871 |TYC 3999-963-1                                                        |Star                           |23 23 06.6897946272 +53 50 03.755262557|110.0220523055895 -06.8087051083114|   1.502 -0.362  |10.62    |~                    |    ~     ~    
872 |TYC 3999-978-1                                                        |Star                           |23 22 18.9831031104 +53 44 12.695454132|109.8775143727837 -06.8607260194339|   5.594 -1.153  |10.07    |~                    |    ~     ~    
873 |TYC 3999-988-1                                                        |Star                           |23 23 53.6024025264 +54 16 09.876953640|110.2777740530556 -06.4373586271158|   2.716 -2.173  |10.89    |~                    |    ~     ~    
874 |TYC 3999-1059-1                                                       |Star                           |23 21 28.4104163808 +53 55 53.790192552|109.8267483452687 -06.6352302696323| -10.004 -7.832  |10.94    |~                    |    ~     ~    
875 |TYC 3999-1144-1                                                       |Star                           |23 28 10.0588625112 +54 01 59.971038168|110.7958041346577 -06.8646759421161|  14.115 -2.402  |10.47    |~                    |    ~     ~    
876 |TYC 3999-1177-1                                                       |Star                           |23 22 03.1071503544 +54 01 06.355484148|109.9370574657396 -06.5826850274111| -14.980 11.612  |10.68    |~                    |    ~     ~    
877 |TYC 3999-1219-1                                                       |Star                           |23 21 29.1428921328 +54 01 53.238203760|109.8628902754063 -06.5420447737403|  14.556 -1.309  |10.73    |~                    |    ~     ~    
878 |TYC 3999-1224-1                                                       |Star                           |23 25 33.6731867016 +53 47 58.993962108|110.3538990519293 -06.9616260047650|  -4.734 -2.582  |10.07    |~                    |    ~     ~    
879 |TYC 3999-1333-1                                                       |Star                           |23 20 54.1982667072 +54 06 12.751644384|109.8070655457656 -06.4449844271151|   5.728 -1.056  |10.93    |~                    |    ~     ~    
880 |TYC 3999-1382-1                                                       |Star                           |23 28 48.3404771472 +53 58 17.578593624|110.8656019226020 -06.9530167015598|   12.413 5.501  |9.89     |~                    |    ~     ~    
881 |TYC 3999-1391-1                                                       |Star                           |23 24 43.6258724448 +53 59 54.518043948|110.3030426968076 -06.7334789736319|    7.677 0.964  |10.09    |~                    |    ~     ~    
882 |TYC 3999-1398-1                                                       |Star                           |23 24 41.0069076912 +53 29 34.630798848|110.1281922919593 -07.2083202432827|    0.043 0.275  |10.84    |~                    |    ~     ~    
883 |TYC 3999-1419-1                                                       |Star                           |23 26 15.2021177256 +54 13 18.986754612|110.5896163250813 -06.5958110858424|  -4.042 -6.224  |10.43    |~                    |    ~     ~    
884 |TYC 3999-1498-1                                                       |Star                           |23 21 01.3785821448 +53 55 53.230422576|109.7639997543412 -06.6125940985126|  -0.598 -3.408  |9.60     |~                    |    ~     ~    
885 |TYC 3999-1500-1                                                       |Star                           |23 22 46.1305970736 +53 18 37.368662724|109.7954878791628 -07.2847312492011|  -45.200 1.756  |10.95    |~                    |    ~     ~    
886 |TYC 3999-1516-1                                                       |Star                           |23 26 14.2267933296 +53 46 57.890181396|110.4433457882566 -07.0103009790220|   -3.765 0.215  |9.96     |~                    |    ~     ~    
887 |TYC 3999-1517-1                                                       |Star                           |23 25 51.2888000784 +53 55 37.481945124|110.4371192826445 -06.8554747226854|   7.140 -2.627  |10.82    |~                    |    ~     ~    
888 |TYC 3999-1555-1                                                       |Star                           |23 25 00.5370333864 +53 22 14.639884032|110.1335319227199 -07.3396978618938|  -6.703 -4.145  |10.78    |~                    |    ~     ~    
889 |TYC 3999-1625-1                                                       |Star                           |23 21 15.1253173608 +53 22 36.123924540|109.6038068408342 -07.1451430639974|-11.119 -21.702  |10.78    |~                    |    ~     ~    
890 |TYC 3999-1655-1                                                       |Star                           |23 20 05.7162257880 +53 40 36.548476320|109.5458780615614 -06.8040866950961|  -3.085 -1.491  |10.24    |~                    |    ~     ~    
891 |TYC 3999-1663-1                                                       |Star                           |23 22 10.0617487536 +53 49 43.489416324|109.8881865311873 -06.7668465835818|  -1.701 -1.502  |10.71    |~                    |    ~     ~    
892 |IRAS 23233+5335                                                       |Star                           |23 25 41.5777992456 +53 51 43.696442736|110.3930148640347 -06.9090330880796|   -0.071 1.455  |9.85     |~                    |    ~     ~    
893 |TYC 3999-1690-1                                                       |Star                           |23 23 09.2788932624 +53 09 54.571977108|109.8007924637510 -07.4409163565653|  -3.422 -4.684  |9.87     |~                    |    ~     ~    
894 |TYC 3999-1707-1                                                       |Star                           |23 27 03.5927238192 +53 20 10.901927004|110.4138781886910 -07.4721803442920|  19.677 -7.110  |10.53    |~                    |    ~     ~    
895 |TYC 3999-1746-1                                                       |Star                           |23 21 20.7630195912 +53 53 10.679428608|109.7933512776652 -06.6713521967818| -14.795 -5.826  |10.18    |~                    |    ~     ~    
896 |TYC 3999-1768-1                                                       |Star                           |23 28 07.5919937832 +53 15 23.357480220|110.5402534564924 -07.5990073911566|   2.601 -1.936  |10.41    |~                    |    ~     ~    
897 |TYC 3999-1770-1                                                       |Star                           |23 25 27.2403031728 +53 24 30.608782560|110.2092466805869 -07.3259114832439|    7.808 0.269  |10.83    |~                    |    ~     ~    
898 |TYC 3999-1799-1                                                       |Star                           |23 28 23.2559432256 +53 36 17.930703960|110.6894165478487 -07.2810724839225|   3.835 -2.436  |10.68    |~                    |    ~     ~    
899 |TYC 3999-1804-1                                                       |Star                           |23 29 23.7282809568 +53 18 03.839624028|110.7360079026545 -07.6168431175316|  -0.622 -5.177  |10.91    |~                    |    ~     ~    
900 |TYC 3999-1891-1                                                       |Star                           |23 28 30.2914502232 +53 48 52.303053816|110.7731150514434 -07.0879002963995|  -1.234 -2.782  |9.65     |~                    |    ~     ~    
901 |TYC 3999-1973-1                                                       |Star                           |23 22 24.6676545312 +53 29 35.358322308|109.8074046020014 -07.0947059191792| -10.955 -8.310  |10.69    |~                    |    ~     ~    
902 |TYC 3999-2074-1                                                       |Star                           |23 20 40.2715815192 +53 11 33.167277960|109.4576215483873 -07.2880339966311|   1.624 -1.958  |10.99    |~                    |    ~     ~    
903 |TYC 3999-2097-1                                                       |Star                           |23 22 49.2398801496 +53 07 06.552218208|109.7373485268412 -07.4679219097979|   0.272 -3.220  |10.95    |~                    |    ~     ~    
904 |TYC 3999-2218-1                                                       |Star                           |23 20 04.4893080720 +53 45 01.485284544|109.5688012947150 -06.7340367766265|  15.924 -5.026  |10.93    |~                    |    ~     ~    
905 |TYC 3999-2238-1                                                       |Star                           |23 21 39.8766345456 +53 14 03.547453920|109.6128901478344 -07.3000275742936|   0.922 -1.831  |9.74     |~                    |    ~     ~    
906 |TYC 3999-2244-1                                                       |Star                           |23 23 19.6163153880 +53 18 18.127934640|109.8727858784492 -07.3179018981376|  11.983 -0.853  |10.69    |~                    |    ~     ~    
907 |TYC 3999-2277-1                                                       |Spectroscopic Binary           |23 23 31.3261578648 +53 46 02.960981760|110.0569070747086 -06.8920822849794|  -0.338 -2.598  |10.01    |~                    |    ~     ~    
908 |TYC 3999-2365-1                                                       |Star                           |23 25 19.2680 +53 21 15.143            |110.1723663 -07.3706635            |     2.70 -4.10  |10.25    |~                    |    ~     ~    
909 |TYC 4002-98-1                                                         |Star                           |23 16 57.7981468152 +55 39 30.653121852|109.8227686990255 -04.7901006634268|  -1.374 -8.076  |10.06    |~                    |    ~     ~    
910 |TYC 4002-113-1                                                        |Star                           |23 19 12.7500152568 +55 46 16.734425484|110.1601185882907 -04.7966636991237|  -8.611 -5.385  |10.93    |~                    |    ~     ~    
911 |TYC 4002-210-1                                                        |Star                           |23 16 30.1812582648 +54 55 02.873190792|109.4943832288824 -05.4582869324564|    1.006 0.168  |10.54    |~                    |    ~     ~    
912 |TYC 4002-242-1                                                        |Star                           |23 18 40.8659606184 +55 47 39.795968076|110.0980346950132 -04.7488560236522|   18.604 4.899  |10.62    |~                    |    ~     ~    
913 |TYC 4002-585-1                                                        |Star                           |23 16 46.4558128392 +54 58 56.178828984|109.5542824247173 -05.4118024449911|  -2.200 -3.746  |10.65    |~                    |    ~     ~    
914 |TYC 4002-591-1                                                        |Star                           |23 16 31.4275686408 +55 00 39.858692004|109.5310059470679 -05.3720205112203|  -3.509 -2.414  |10.80    |~                    |    ~     ~    
915 |TYC 4002-897-1                                                        |Star                           |23 18 12.3224664096 +55 34 00.951778056|109.9545823906692 -04.9380673203220|  -4.539 -4.186  |10.79    |~                    |    ~     ~    
916 |TYC 4002-907-1                                                        |Star                           |23 19 06.2891501832 +55 29 14.993784888|110.0461144685046 -05.0572052874822|  13.209 -2.321  |9.59     |~                    |    ~     ~    
917 |TYC 4002-916-1                                                        |Star                           |23 18 28.0326494448 +54 23 53.309900796|109.5750326357076 -06.0447493243484|  -2.509 -2.663  |10.84    |~                    |    ~     ~    
918 |TYC 4002-962-1                                                        |Star                           |23 18 12.2956452240 +54 22 45.214489200|109.5323924717704 -06.0489397877007|-16.176 -13.003  |9.85     |~                    |    ~     ~    
919 |TYC 4002-970-1                                                        |Star                           |23 18 52.5875629992 +54 50 55.104462708|109.7903046350256 -05.6440049792044|  -4.951 -1.631  |10.32    |~                    |    ~     ~    
920 |TYC 4002-1027-1                                                       |High Proper Motion Star        |23 15 08.1493621200 +55 23 26.732348556|109.4836933559368 -04.9463959928480|  70.567 14.011  |9.65     |~                    |    ~     ~    
921 |TYC 4002-1062-1                                                       |High Proper Motion Star        |23 17 30.9644652600 +54 59 34.482276024|109.6579220084886 -05.4399081309408| 32.851 -41.804  |10.85    |~                    |    ~     ~    
922 |TYC 4002-1064-1                                                       |Star                           |23 15 53.2147446792 +54 54 33.364434672|109.4084679853347 -05.4339754036224|   -7.315 3.846  |10.03    |~                    |    ~     ~    
923 |TYC 4002-1089-1                                                       |Star                           |23 16 21.3585716208 +55 25 02.921839716|109.6554493066909 -04.9842330482561|    3.039 0.145  |10.93    |~                    |    ~     ~    
924 |TYC 4002-1138-1                                                       |Star                           |23 17 39.6742937304 +54 34 41.221404372|109.5291591519147 -05.8349685491069|  -0.312 -2.748  |10.90    |~                    |    ~     ~    
925 |TYC 4002-1222-1                                                       |Star                           |23 15 46.7130008568 +54 52 23.297081880|109.3807329825445 -05.4620079503099|    9.596 1.702  |10.13    |~                    |    ~     ~    
926 |TYC 4002-1226-1                                                       |Star                           |23 17 30.9377621544 +54 52 40.623551112|109.6167193336436 -05.5473040297614|  -2.256 -1.067  |10.95    |~                    |    ~     ~    
927 |TYC 4002-1279-1                                                       |Star                           |23 17 18.5153096304 +55 40 56.394335532|109.8769347626775 -04.7852440450197|   7.558 -1.638  |10.73    |~                    |    ~     ~    
928 |TYC 4002-1317-1                                                       |Star                           |23 16 14.7609241920 +55 29 26.235780252|109.6673025301489 -04.9103857768342|  14.613 -3.465  |10.32    |~                    |    ~     ~    
929 |TYC 4002-1341-1                                                       |Star                           |23 17 07.1577135432 +55 40 25.612610196|109.8488596812071 -04.7837075970670|   2.793 -0.558  |10.77    |~                    |    ~     ~    
930 |TYC 4002-1360-1                                                       |Star                           |23 18 54.6893117928 +55 01 37.311245076|109.8580097860519 -05.4787547310741|   4.007 -1.533  |10.64    |~                    |    ~     ~    
931 |TYC 4002-1411-1                                                       |Star                           |23 18 49.1623482792 +55 24 16.284763296|109.9788368496358 -05.1207062511943|   12.291 1.657  |10.14    |~                    |    ~     ~    
932 |IRAS 23134+5412                                                       |Star                           |23 15 42.0326716224 +54 29 24.391831308|109.2305843599451 -05.8148699477302|   4.482 -2.484  |10.28    |~                    |    ~     ~    
933 |TYC 4002-1463-1                                                       |Star                           |23 15 58.8056448456 +55 33 22.533162372|109.6558536446047 -04.8355898030282|    1.235 1.428  |10.13    |~                    |    ~     ~    
934 |TYC 4002-1465-1                                                       |Star                           |23 17 59.2953727920 +55 12 35.063862372|109.7987069184925 -05.2612250264966|   1.313 -2.893  |9.98     |~                    |    ~     ~    
935 |TYC 4002-1582-1                                                       |Star                           |23 15 11.1759354384 +54 26 39.198198048|109.1438415910556 -05.8304248172111|   1.550 -3.397  |9.67     |~                    |    ~     ~    
936 |TYC 4002-1596-1                                                       |Star                           |23 15 38.7301097256 +54 40 44.152761432|109.2919966512415 -05.6360303897341|    5.674 2.385  |9.78     |~                    |    ~     ~    
937 |GSC 04002-01616                                                       |Double or Multiple Star        |23 16 50.0506502400 +54 40 04.531447128|109.4490456127611 -05.7083110882154|  24.026 -3.420  |10.563   |~                    |    ~     ~    
938 |TYC 4002-1676-1                                                       |Eclipsing Binary               |23 19 24.4136575560 +54 33 59.571026172|109.7630173759394 -05.9350529926652|  -3.227 -3.077  |10.97    |~                    |    ~     ~    
939 |TYC 4002-1698-1                                                       |Star                           |23 16 48.9500333856 +54 33 33.508816596|109.4073765884739 -05.8087399898097|  3.187 -37.052  |10.70    |~                    |    ~     ~    
940 |TYC 4002-1851-1                                                       |Star                           |23 16 44.6276117880 +55 28 21.012281652|109.7268110425583 -04.9526481224660|   3.163 -2.737  |10.88    |~                    |    ~     ~    
941 |TYC 4002-1914-1                                                       |Star                           |23 18 54.7506771552 +54 46 29.912664792|109.7691769181233 -05.7147962882422|  -2.197 -2.402  |9.73     |~                    |    ~     ~    
942 |TYC 4002-1950-1                                                       |Star                           |23 18 18.0857584800 +54 45 22.968034200|109.6796984408954 -05.7011338843417| 21.997 -11.405  |9.87     |~                    |    ~     ~    
943 |TYC 4002-2008-1                                                       |Star                           |23 17 30.6074629301 +54 26 43.780886553|109.4610612067264 -05.9510773198307|    1.236 0.156  |10.92    |~                    |    ~     ~    
944 |TYC 4002-2024-1                                                       |Spectroscopic Binary           |23 18 27.8809403568 +54 45 34.093168344|109.7029373180098 -05.7065623405588|  -8.298 -2.292  |10.82    |~                    |    ~     ~    
