C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:00:37

dec< 0&rah >=18.25&rah< 18.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 9484

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
191 |HD 169342                                                                                                                                                                      |Star                                  |18 26 20.1570003624 -43 39 43.936733160|350.7984082565545 -14.1485262368483| -0.598 -20.736   |9.36     |K0/1(III)        |    ~     ~    |    1|  415.559   pc  | -11.2420    +11.2420    |paral   |2020yCat.1350....0G
192 |HD 169503                                                                                                                                                                      |Star                                  |18 27 00.7053518352 -43 25 18.385700088|351.0763387371025 -14.1619257674793|    1.652 4.547   |9.37     |K2(III)          |    ~     ~    |    1|  760.167   pc  |  -7.5121     +7.5121    |paral   |2020yCat.1350....0G
193 |HD 169504                                                                                                                                                                      |Star                                  |18 27 04.0213100328 -43 31 26.719713084|350.9842324360154 -14.2128663279129|  2.290 -11.181   |9.80     |F3/5V            |    ~     ~    |    1|  215.917   pc  |  -0.8065     +0.8065    |paral   |2020yCat.1350....0G
194 |HD 169641                                                                                                                                                                      |Star                                  |18 27 44.2694932896 -43 02 44.225082960|351.4861265192777 -14.1289800152496|   4.374 -2.394   |9.796    |G8/K0III         |    ~     ~    |    1|  876.904   pc  | -40.2100    +40.2100    |ST-L    |2020AJ....160...83S
195 |HD 169738                                                                                                                                                                      |Star                                  |18 28 13.1919605520 -43 38 06.549246744|350.9671118943134 -14.4487711602522| -4.224 -13.596   |8.90     |K0III            |    ~     ~    |    1|  528.989   pc  |  -6.3241     +6.3241    |paral   |2020yCat.1350....0G
196 |HD 169856                                                                                                                                                                      |Double or Multiple Star               |18 28 42.913200 -43 18 05.72904        |351.319603043 -14.395870067        |     -0.5 -25.7   |9.808    |F3/5V            |    ~     ~    |    0|                |                         |        |                   
197 |HD 169923                                                                                                                                                                      |Star                                  |18 28 59.5163964432 -43 07 29.236920924|351.5075693402160 -14.3703691195977|  11.697 -0.284   |8.92     |K0III            |    ~     ~    |    1|  763.301   pc  | -11.6526    +11.6526    |paral   |2020yCat.1350....0G
198 |HD 169975                                                                                                                                                                      |Star                                  |18 29 10.7714754768 -42 57 45.828620136|351.6748418479675 -14.3360646238211|  -1.207 -5.980   |9.63     |F3/5II/III       |    ~     ~    |    1|  478.057   pc  |  -3.7023     +3.7023    |paral   |2020yCat.1350....0G
199 |HD 169943                                                                                                                                                                      |Star                                  |18 29 12.8718192408 -43 50 45.373441236|350.8426861652992 -14.6981796875200|  -0.146 22.586   |6.350    |G8III            |    ~     ~    |    1|  127.105   pc  |  -0.3554     +0.3554    |paral   |2020yCat.1350....0G
200 |HD 170129                                                                                                                                                                      |Star                                  |18 29 53.3835209448 -43 20 20.048394840|351.3733685945279 -14.6063860075041|  15.292 18.017   |10.57    |F5/7             |    ~     ~    |    1|  163.736   pc  |  -1.0482     +1.0482    |paral   |2020yCat.1350....0G
201 |HD 169323                                                                                                                                                                      |Star                                  |18 26 18.6998418600 -44 33 23.266544220|349.9538457954205 -14.5092523584286|  -7.397 33.729   |9.19     |K1III            |    ~     ~    |    1|  126.592   pc  |  -0.2548     +0.2548    |paral   |2020yCat.1350....0G
202 |HD 169344                                                                                                                                                                      |Star                                  |18 26 22.9420878624 -44 23 26.767701492|350.1155007136447 -14.4534362342383|  -5.349 -8.645   |10.11    |A8/9IV/V         |    ~     ~    |    1|  498.654   pc  |  -4.8736     +4.8736    |paral   |2020yCat.1350....0G
203 |HD 169465                                                                                                                                                                      |Star                                  |18 26 54.2037246072 -44 07 30.796897620|350.4051953973391 -14.4307293716720|   4.643 -0.873   |8.97     |A0IV/V           |    ~     ~    |    1|  560.381   pc  |  -8.8870     +8.8870    |paral   |2020yCat.1350....0G
204 |HD 169793                                                                                                                                                                      |Star                                  |18 28 32.7567679704 -44 09 59.095133496|350.4893345907977 -14.7168949959445|  2.394 -36.307   |9.41     |G2V              |    ~     ~    |    1|  117.754   pc  |  -0.2995     +0.2995    |paral   |2020yCat.1350....0G
205 |HD 169857                                                                                                                                                                      |High Proper Motion Star               |18 28 46.7569941624 -44 05 19.381596396|350.5802960332828 -14.7240023922698| 16.361 -69.542   |9.29     |G5V              |    ~     ~    |    1|   86.913   pc  |  -0.1866     +0.1866    |paral   |2020yCat.1350....0G
206 |HD 169880                                                                                                                                                                      |High Proper Motion Star               |18 28 55.4870418288 -44 24 22.043239380|350.2903641908283 -14.8751644735464|-17.352 -49.014   |9.18     |K1(III)          |    ~     ~    |    1|  324.770   pc  |  -1.8564     +1.8564    |paral   |2020yCat.1350....0G
207 |HD 170042                                                                                                                                                                      |Star                                  |18 29 35.3467314600 -44 27 30.099214440|350.2898098640628 -15.0047539118994|   7.388 11.936   |9.27     |F8/G0V           |    ~     ~    |    1|  152.165   pc  |  -0.4052     +0.4052    |paral   |2020yCat.1350....0G
208 |HD 170068                                                                                                                                                                      |Star                                  |18 29 48.0 -44 40 00                   |350.1074 -15.1221                  |            ~ ~   |10.5     |A8/9V            |    ~     ~    |    0|                |                         |        |                   
209 |CD-42 13248                                                                                                                                                                    |Star                                  |18 26 11.7209892552 -42 27 04.104713052|351.9243552655178 -13.6263919256566|  3.745 -11.043   |10.28    |~                |    ~     ~    |    1| 2205.558   pc  | -82.2098    +82.2098    |paral   |2020yCat.1350....0G
210 |CD-44 12593                                                                                                                                                                    |Star                                  |18 26 12.0819563304 -44 34 19.943956848|349.9307417658439 -14.4976978493912| -6.745 -10.805   |10.00    |~                |    ~     ~    |    1|  860.882   pc  | -12.0802    +12.0802    |paral   |2020yCat.1350....0G
211 |CD-42 13252                                                                                                                                                                    |Star                                  |18 26 20.1932690400 -42 30 55.481987592|351.8752325423827 -13.6766905208795|   6.775 -7.130   |9.74     |~                |    ~     ~    |    1|  591.296   pc  |  -6.7828     +6.7828    |paral   |2020yCat.1350....0G
212 |CD-43 12530                                                                                                                                                                    |Star                                  |18 26 38.3764816512 -43 31 23.204821836|350.9524915744340 -14.1417550271280|   0.556 -5.344   |9.79     |~                |    ~     ~    |    1| 1301.406   pc  | -32.0101    +32.0101    |paral   |2020yCat.1350....0G
213 |CD-42 13262                                                                                                                                                                    |Star                                  |18 27 00.5251744056 -42 23 06.363563748|352.0501011324028 -13.7358008627472| -4.521 -15.093   |10.56    |~                |    ~     ~    |    1|  705.916   pc  | -10.1158    +10.1158    |paral   |2020yCat.1350....0G
214 |CD-43 12540                                                                                                                                                                    |Star                                  |18 27 13.5107782728 -43 09 36.301648680|351.3389736036966 -14.0903614605326|   6.184 -0.155   |10.02    |~                |    ~     ~    |    1|  698.422   pc  |  -9.9510     +9.9510    |paral   |2020yCat.1350....0G
215 |CD-42 13272                                                                                                                                                                    |Star                                  |18 27 31.5625948920 -42 50 43.257018552|351.6582004430380 -14.0117184187192|  -21.089 3.433   |10.74    |~                |    ~     ~    |    1|  952.653   pc  | -15.5191    +15.5191    |paral   |2020yCat.1350....0G
216 |CD-43 12546                                                                                                                                                                    |Star                                  |18 27 34.5377791128 -43 47 47.448250764|350.7660713307331 -14.4077774669616|   2.043 -9.038   |10.426   |~                |    ~     ~    |    1| 1164.500   pc  | -90.9800    +90.9800    |ST-L    |2020AJ....160...83S
217 |CD-43 12547                                                                                                                                                                    |Star                                  |18 27 44.9393551536 -43 33 05.207630472|351.0103923364864 -14.3368862687100|   2.720 -8.241   |10.083   |~                |    ~     ~    |    1|  847.242   pc  | -10.5519    +10.5519    |paral   |2020yCat.1350....0G
218 |CD-44 12630                                                                                                                                                                    |Star                                  |18 28 57.6493026792 -44 00 31.727825928|350.6695019704050 -14.7217716975633|   0.827 -5.238   |9.883    |~                |    ~     ~    |    1|  598.309   pc  | -21.3800    +21.3800    |ST-L    |2020AJ....160...83S
219 |CD-44 12644                                                                                                                                                                    |Star                                  |18 29 45.6428180232 -44 24 28.226544156|350.3504184935131 -15.0127328841555| -2.128 -24.076   |9.68     |~                |    ~     ~    |    1| 1715.560   pc  | -45.3245    +45.3245    |paral   |2020yCat.1350....0G
220 |CD-42 13229                                                                                                                                                                    |Star                                  |18 25 22.6137391224 -42 52 15.700101276|351.4669538461906 -13.6634430839924|  3.116 -10.608   |10.01    |~                |    ~     ~    |    1|  382.892   pc  |  -2.0378     +2.0378    |paral   |2020yCat.1350....0G
221 |CD-43 12539                                                                                                                                                                    |Star                                  |18 27 04.9225607544 -43 13 03.034833492|351.2739429448640 -14.0900534803365|    2.483 1.169   |9.73     |~                |    ~     ~    |    1| 1475.579   pc  | -48.3368    +48.3368    |paral   |2020yCat.1350....0G
222 |TYC 7909-35-1                                                                                                                                                                  |Star                                  |18 23 21.3027664968 -42 09 54.055439460|351.9658938345403 -13.0297443932335| -2.049 -15.464   |10.75    |~                |    ~     ~    |    1|  786.596   pc  | -11.4466    +11.4466    |paral   |2020yCat.1350....0G
223 |TYC 7909-71-1                                                                                                                                                                  |Star                                  |18 28 31.7250713448 -42 12 29.735750664|352.3350823474705 -13.9193766151335|  4.360 -36.486   |10.64    |~                |    ~     ~    |    1|  234.236   pc  |  -0.8395     +0.8395    |paral   |2020yCat.1350....0G
224 |TYC 7909-312-1                                                                                                                                                                 |Star                                  |18 23 30.3863546472 -42 53 35.567163204|351.2993199225165 -13.3612316444145|   9.654 -3.871   |10.16    |~                |    ~     ~    |    1|  612.295   pc  |  -6.1484     +6.1484    |paral   |2020yCat.1350....0G
225 |TYC 7909-327-1                                                                                                                                                                 |Star                                  |18 26 15.5363777376 -42 05 14.713996056|352.2698293729449 -13.4862641932244| -4.312 -17.529   |10.56    |~                |    ~     ~    |    1|  691.324   pc  |  -8.2682     +8.2682    |paral   |2020yCat.1350....0G
226 |TYC 7909-426-1                                                                                                                                                                 |Star                                  |18 29 38.9313269520 -42 28 29.769094344|352.1710163679730 -14.2170828207337|  -0.530 18.193   |10.58    |~                |    ~     ~    |    1|  288.193   pc  |  -2.1843     +2.1843    |paral   |2020yCat.1350....0G
227 |TYC 7909-915-1                                                                                                                                                                 |Star                                  |18 24 49.2591910296 -42 05 53.337266988|352.1454866943328 -13.2482678468303|   3.249 -6.762   |10.57    |~                |    ~     ~    |    1|  401.816   pc  |  -3.1323     +3.1323    |paral   |2020yCat.1350....0G
228 |TYC 7909-1202-1                                                                                                                                                                |Star                                  |18 29 05.3317793400 -42 53 41.057989800|351.7320461770860 -14.2933327515043| 13.073 -14.392   |10.55    |~                |    ~     ~    |    1|  379.521   pc  |  -3.6297     +3.6297    |paral   |2020yCat.1350....0G
229 |TYC 7909-1536-1                                                                                                                                                                |Star                                  |18 23 47.2369425864 -42 44 21.360753420|351.4651639251440 -13.3434957916847|-10.261 -29.287   |10.48    |~                |    ~     ~    |    1|  416.528   pc  |  -3.0882     +3.0882    |paral   |2020yCat.1350....0G
230 |TYC 7909-1759-1                                                                                                                                                                |Star                                  |18 27 57.4139436768 -42 20 14.368744824|352.1691397904579 -13.8757882723237|    1.210 5.085   |10.47    |~                |    ~     ~    |    1|  874.432   pc  | -10.8578    +10.8578    |paral   |2020yCat.1350....0G
231 |TYC 7909-1800-1                                                                                                                                                                |High Proper Motion Star               |18 29 01.7797567248 -42 43 04.843344648|351.8941331357691 -14.2116607220363|  45.451 -7.029   |10.41    |~                |    ~     ~    |    1|  198.196   pc  |  -0.7660     +0.7660    |paral   |2020yCat.1350....0G
232 |TYC 7909-1805-1                                                                                                                                                                |Star                                  |18 29 00.6372916872 -42 34 03.903685644|352.0342516575279 -14.1473525495198|   4.323 -5.148   |10.57    |~                |    ~     ~    |    1|  333.734   pc  |  -2.2053     +2.2053    |paral   |2020yCat.1350....0G
233 |TYC 7909-1847-1                                                                                                                                                                |Star                                  |18 27 10.6183141536 -42 40 36.488752932|351.7894946111466 -13.8841389779172|    4.956 6.250   |10.77    |~                |    ~     ~    |    1|  874.432   pc  | -12.0812    +12.0812    |paral   |2020yCat.1350....0G
234 |TYC 7909-2001-1                                                                                                                                                                |Star                                  |18 24 55.8421199136 -42 30 46.382469048|351.7669346517182 -13.4399665004902|  9.090 -28.072   |10.58    |~                |    ~     ~    |    1|  286.139   pc  |  -3.1932     +3.1932    |paral   |2020yCat.1350....0G
235 |TYC 7909-2002-1                                                                                                                                                                |Star                                  |18 23 37.8565445232 -42 18 08.019850752|351.8602272668754 -13.1338686842690|  -4.266 -6.628   |10.711   |~                |    ~     ~    |    1|  893.815   pc  | -12.2232    +12.2232    |paral   |2020yCat.1350....0G
236 |TYC 7909-2280-1                                                                                                                                                                |Star                                  |18 29 35.4274170840 -43 01 43.485274560|351.6438915054110 -14.4314857952258|   -1.684 1.394   |10.72    |~                |    ~     ~    |    1|  966.931   pc  | -14.7723    +14.7723    |paral   |2020yCat.1350....0G
237 |TYC 7913-337-1                                                                                                                                                                 |Star                                  |18 23 33.3986022120 -43 56 36.953697480|350.3211353708985 -13.8077076671690|   2.753 -2.183   |10.565   |~                |    ~     ~    |    1| 1878.870   pc  |-408.5000   +408.5000    |ST-L    |2020AJ....160...83S
238 |TYC 7913-342-1                                                                                                                                                                 |Star                                  |18 24 05.7697630056 -44 21 10.854284940|349.9783941650667 -14.0652567281644|   0.482 -2.129   |10.35    |~                |    ~     ~    |    1|  826.241   pc  | -11.8785    +11.8785    |paral   |2020yCat.1350....0G
239 |TYC 7913-396-1                                                                                                                                                                 |Star                                  |18 26 03.3400642032 -43 14 59.688767004|351.1644040720198 -13.9328810361048|   4.536 -7.900   |10.43    |~                |    ~     ~    |    1|  695.507   pc  |  -7.3527     +7.3527    |paral   |2020yCat.1350....0G
240 |TYC 7913-447-1                                                                                                                                                                 |Star                                  |18 22 30.8294801112 -44 00 01.779366816|350.1874491401554 -13.6608228983777|  5.304 -10.904   |10.65    |~                |    ~     ~    |    1|  498.952   pc  |  -4.6305     +4.6305    |paral   |2020yCat.1350....0G
241 |TYC 7913-473-1                                                                                                                                                                 |Star                                  |18 29 23.7621231648 -44 26 23.911859868|350.2930440955850 -14.9658229856390|   -0.207 0.644   |10.55    |~                |    ~     ~    |    1| 1093.255   pc  | -20.1990    +20.1990    |paral   |2020yCat.1350....0G
242 |TYC 7913-601-1                                                                                                                                                                 |Star                                  |18 24 43.9125987600 -43 18 12.148868304|351.0117438139176 -13.7355464479839| -7.240 -19.983   |10.90    |~                |    ~     ~    |    1|  109.011   pc  |  -0.1664     +0.1664    |paral   |2020yCat.1350....0G
243 |TYC 7913-647-1                                                                                                                                                                 |Star                                  |18 25 41.2852077720 -43 57 19.996678440|350.4730425186274 -14.1620933209839|   -3.037 0.389   |10.48    |~                |    ~     ~    |    1|  743.163   pc  | -10.1622    +10.1622    |paral   |2020yCat.1350....0G
244 |TYC 7913-672-1                                                                                                                                                                 |Star                                  |18 29 20.1229107072 -43 48 57.677722596|350.8800598218967 -14.7061259659144| -9.555 -18.741   |10.760   |~                |    ~     ~    |    1|  991.883   pc  | -38.1600    +38.1600    |ST-L    |2020AJ....160...83S
245 |TYC 7913-720-1                                                                                                                                                                 |Star                                  |18 28 17.8203537600 -43 59 46.538533104|350.6317099162818 -14.6074450742275|  -2.261 -1.181   |10.37    |~                |    ~     ~    |    1| 1062.022   pc  | -24.3624    +24.3624    |paral   |2020yCat.1350....0G
246 |TYC 7913-762-1                                                                                                                                                                 |Star                                  |18 25 54.1586382888 -44 23 15.433700820|350.0824333778905 -14.3738795547244|  39.686 -9.599   |10.11    |~                |    ~     ~    |    1|  127.207   pc  |  -0.2945     +0.2945    |paral   |2020yCat.1350....0G
247 |TYC 7913-861-1                                                                                                                                                                 |Star                                  |18 25 02.3942667216 -43 25 55.147369152|350.9150697307197 -13.8397556074691|   2.088 -5.324   |10.81    |~                |    ~     ~    |    1| 1297.690   pc  | -36.2060    +36.2060    |paral   |2020yCat.1350....0G
248 |TYC 7913-920-1                                                                                                                                                                 |Double or Multiple Star               |18 24 20.907336 -44 16 58.21608        |350.063488079 -14.077437648        |       8.2 -4.3   |10.79    |~                |    ~     ~    |    0|                |                         |        |                   
249 |TYC 7913-1077-1                                                                                                                                                                |Star                                  |18 26 02.1064855512 -43 47 48.220155276|350.6488890196864 -14.1540436284635|   3.095 -4.219   |10.99    |~                |    ~     ~    |    1|  674.172   pc  | -10.1355    +10.1355    |paral   |2020yCat.1350....0G
250 |TYC 7913-1136-1                                                                                                                                                                |Star                                  |18 27 14.1346430160 -44 32 31.407032004|350.0363500023374 -14.6539146633215| -8.737 -25.340   |10.15    |~                |    ~     ~    |    1|  584.795   pc  |  -4.8220     +4.8220    |paral   |2020yCat.1350....0G
251 |TYC 7913-1202-1                                                                                                                                                                |Star                                  |18 29 09.0588648097 -44 36 01.296725252|350.1227634341368 -14.9897498984741|  9.611 -18.952   |10.86    |~                |    ~     ~    |    1|  798.1483  pc  | -27.4565    +27.4565    |paral   |2018yCat.1345....0G
252 |TYC 7913-1243-1                                                                                                                                                                |Star                                  |18 23 30.4018993344 -44 37 06.117621204|349.6844859689101 -14.0790087233110|  -0.812 -4.302   |10.231   |~                |    ~     ~    |    1|  640.972   pc  | -40.6100    +40.6100    |ST-L    |2020AJ....160...83S
253 |TYC 7913-1332-1                                                                                                                                                                |Star                                  |18 28 52.7320278624 -44 45 35.558328060|349.9513526294883 -15.0090335001962|   0.637 -6.975   |10.93    |~                |    ~     ~    |    1|  822.910   pc  |  -9.7514     +9.7514    |paral   |2020yCat.1350....0G
254 |TYC 7913-1534-1                                                                                                                                                                |Spectroscopic Binary                  |18 28 04.3395626736 -44 23 54.274205184|350.2344693544259 -14.7326095646565|  2.910 -12.140   |10.49    |~                |    ~     ~    |    1|  331.543   pc  |  -2.1874     +2.1874    |paral   |2020yCat.1350....0G
255 |TYC 7913-1564-1                                                                                                                                                                |Star                                  |18 27 31.7843295696 -44 36 11.840706108|350.0002797254813 -14.7265530640282| -2.201 -13.645   |10.21    |~                |    ~     ~    |    1|  871.460   pc  | -12.2270    +12.2270    |paral   |2020yCat.1350....0G
256 |TYC 7913-1566-1                                                                                                                                                                |Star                                  |18 29 34.4803373856 -44 36 57.248932680|350.1391062902439 -15.0651089152276|-20.480 -30.027   |10.10    |~                |    ~     ~    |    1|  180.659   pc  |  -0.5287     +0.5287    |paral   |2020yCat.1350....0G
257 |TYC 7913-1972-1                                                                                                                                                                |Star                                  |18 28 44.3485272360 -44 44 09.198022920|349.9638698946213 -14.9767110596566|   3.723 -1.592   |10.51    |~                |    ~     ~    |    1|  477.145   pc  |  -4.6899     +4.6899    |paral   |2020yCat.1350....0G
258 |TYC 7913-2008-1                                                                                                                                                                |Star                                  |18 27 46.4356936080 -44 46 52.596681060|349.8498116515655 -14.8378917534313|  1.655 -10.962   |10.468   |~                |    ~     ~    |    1| 1219.520   pc  | -76.5000    +76.5000    |ST-L    |2020AJ....160...83S
259 |TYC 7913-2359-1                                                                                                                                                                |Star                                  |18 27 27.5090747424 -43 29 54.337213284|351.0382642394760 -14.2672109536395|  9.914 -22.697   |10.255   |~                |    ~     ~    |    1|  795.946   pc  | -31.0800    +31.0800    |ST-L    |2020AJ....160...83S
260 |TYC 7913-2493-1                                                                                                                                                                |Star                                  |18 28 05.6334634176 -43 51 44.488994832|350.7430112192068 -14.5199085440053|   -9.671 5.467   |10.44    |~                |    ~     ~    |    1|  216.619   pc  |  -0.9948     +0.9948    |paral   |2020yCat.1350....0G
261 |TYC 7913-2537-1                                                                                                                                                                |Star                                  |18 28 17.3316774576 -44 04 57.530762724|350.5494005741838 -14.6409390177569| -5.248 -11.247   |10.48    |~                |    ~     ~    |    1|  746.938   pc  | -11.8278    +11.8278    |paral   |2020yCat.1350....0G
262 |TYC 7913-2633-1                                                                                                                                                                |Star                                  |18 29 09.5893117008 -43 54 59.601382740|350.7717287136878 -14.7175136965544|  -7.706 -4.338   |10.69    |~                |    ~     ~    |    1|  603.136   pc  |  -6.4752     +6.4752    |paral   |2020yCat.1350....0G
263 |TYC 7913-2719-1                                                                                                                                                                |Star                                  |18 28 14.2371069720 -43 31 47.002314684|351.0679616924505 -14.4089442222525| -0.705 -11.032   |10.93    |~                |    ~     ~    |    1|  327.289   pc  |  -1.7139     +1.7139    |paral   |2020yCat.1350....0G
264 |TYC 7913-3075-1                                                                                                                                                                |Star                                  |18 28 12.0776166888 -43 34 02.660053296|351.0296637477994 -14.4182536238936|   9.171 -0.773   |10.86    |~                |    ~     ~    |    1|  289.805   pc  |  -1.2346     +1.2346    |paral   |2020yCat.1350....0G
265 |CD-43 12542                                                                                                                                                                    |Star                                  |18 27 23.8075914528 -43 42 40.583093364|350.8329316925746 -14.3436363900517|   0.859 -7.331   |10.905   |~                |    ~     ~    |    1| 1573.564   pc  | -39.8653    +39.8653    |paral   |2020yCat.1350....0G
266 |HD 167322                                                                                                                                                                      |Star                                  |18 16 30.2126177784 -39 18 35.067246192|354.0180979435855 -10.6210362277908|  2.541 -12.060   |10.05    |F0V              |    ~     ~    |    1|  314.406   pc  |  -1.6113     +1.6113    |paral   |2020yCat.1350....0G
267 |HD 167057                                                                                                                                                                      |Star                                  |18 15 25.1448996096 -39 36 34.839810900|353.6499601331893 -10.5678139807956|   0.655 -5.549   |10.17    |B9Ib/II          |    ~     ~    |    1| 1453.911   pc  | -63.2043    +63.2043    |paral   |2020yCat.1350....0G
268 |HD 167180                                                                                                                                                                      |Star                                  |18 15 51.9162403176 -39 40 04.672407252|353.6359926860582 -10.6707108861433|   4.831 -4.047   |9.37     |A2IV             |    ~     ~    |    1|  556.328   pc  |  -6.9638     +6.9638    |paral   |2020yCat.1350....0G
269 |HD 167179                                                                                                                                                                      |Star                                  |18 15 51.8619115944 -39 27 12.633776604|353.8311146721551 -10.5747304546751| -24.945 -7.231   |9.24     |K1(III)          |    ~     ~    |    1|  420.239   pc  |  -2.6843     +2.6843    |paral   |2020yCat.1350....0G
270 |HD 167365                                                                                                                                                                      |Star                                  |18 16 40.4315067312 -39 18 37.968077016|354.0323097997718 -10.6508838786588|  -5.469 -2.740   |9.85     |F8               |    ~     ~    |    1| 1416.230   pc  | -37.1056    +37.1056    |paral   |2020yCat.1350....0G
271 |HD 167581                                                                                                                                                                      |Star                                  |18 17 42.0997542912 -39 18 19.394688348|354.1269723135101 -10.8266811843646|  -1.160 -7.745   |10.79    |A2               |    ~     ~    |    1|  784.252   pc  | -13.9617    +13.9617    |paral   |2020yCat.1350....0G
272 |HD 167582                                                                                                                                                                      |Star                                  |18 17 40.1946108360 -39 32 32.208103788|353.9079565056160 -10.9261581765670|   1.955 -1.049   |9.30     |K1V              |    ~     ~    |    1|  892.857   pc  | -13.3929    +13.3929    |paral   |2020yCat.1350....0G
273 |HD 167688                                                                                                                                                                      |Star                                  |18 18 10.1317433592 -39 18 15.391207296|354.1687465844735 -10.9072193902038|  -2.901 -1.226   |9.94     |A2III            |    ~     ~    |    1|  526.926   pc  |  -6.4693     +6.4693    |paral   |2020yCat.1350....0G
274 |HD 167776                                                                                                                                                                      |Star                                  |18 18 34.7468847432 -39 31 52.859193060|353.9968504669079 -11.0785872094873| -1.538 -10.103   |10.19    |B9V              |    ~     ~    |    1|  748.727   pc  | -18.4995    +18.4995    |paral   |2020yCat.1350....0G
275 |HD 167951                                                                                                                                                                      |Star                                  |18 19 27.4151676696 -39 35 58.236144612|354.0102874514321 -11.2604992778103|   0.477 -3.910   |10.69    |A1IV             |    ~     ~    |    1|  782.167   pc  | -20.0665    +20.0665    |paral   |2020yCat.1350....0G
276 |HD 167952                                                                                                                                                                      |Star                                  |18 19 23.2292184600 -39 40 36.289540452|353.9335054388752 -11.2823102017105|  -9.830 -7.251   |8.36     |K0III+G          |    ~     ~    |    1|  501.454   pc  |  -7.1917     +7.1917    |paral   |2020yCat.1350....0G
277 |HD 168026                                                                                                                                                                      |Star                                  |18 19 44.8707621216 -39 54 47.858459832|353.7475356485962 -11.4481804824002|    0.850 1.638   |9.57     |K1III            |    ~     ~    |    1|  463.263   pc  |  -4.2493     +4.2493    |paral   |2020yCat.1350....0G
278 |HD 168105                                                                                                                                                                      |Star                                  |18 20 00.6990541032 -39 41 58.605032652|353.9661979749481 -11.4003338731471|  -3.011 -8.668   |10.46    |A8/9V            |    ~     ~    |    1|  758.840   pc  | -23.8973    +23.8973    |paral   |2020yCat.1350....0G
279 |HD 168145                                                                                                                                                                      |Star                                  |18 20 10.2839584776 -39 35 58.386998616|354.0717128488058 -11.3842504888664|  -4.278 -0.330   |8.56     |K3III            |    ~     ~    |    1|  511.457   pc  |  -6.2258     +6.2258    |paral   |2020yCat.1350....0G
280 |HD 168255                                                                                                                                                                      |Star                                  |18 20 43.9753587912 -39 28 43.322468556|354.2308490609366 -11.4288764690694| -3.518 -14.319   |10.20    |F3(III)          |    ~     ~    |    1|  592.417   pc  |  -5.9312     +5.9312    |paral   |2020yCat.1350....0G
281 |HD 168284                                                                                                                                                                      |Star                                  |18 20 45.5778227400 -39 20 53.422664496|354.3529563083307 -11.3765628991117|   1.450 -3.933   |10.32    |B9/A0V           |    ~     ~    |    1|  783.269   pc  | -17.5464    +17.5464    |paral   |2020yCat.1350....0G
282 |HD 168314                                                                                                                                                                      |Star                                  |18 20 55.3368621576 -39 39 54.400703832|354.0758586098912 -11.5429420566852|   2.317 -4.436   |10.67    |ApEuCr(Sr)       |    ~     ~    |    1| 1002.205   pc  | -26.2152    +26.2152    |paral   |2020yCat.1350....0G
283 |HD 168315                                                                                                                                                                      |Star                                  |18 20 53.8536090264 -39 56 49.458813684|353.8145483454397 -11.6612768486224|  -29.969 3.645   |9.29     |G8III            |    ~     ~    |    1|  230.144   pc  |  -0.9534     +0.9534    |paral   |2020yCat.1350....0G
284 |HD 168358                                                                                                                                                                      |Star                                  |18 21 08.8851974616 -39 35 33.775801836|354.1616970136912 -11.5505915109704|  7.016 -11.189   |9.71     |F0V              |    ~     ~    |    1|  282.614   pc  |  -1.8131     +1.8131    |paral   |2020yCat.1350....0G
285 |HD 168377                                                                                                                                                                      |Star                                  |18 21 13.4524950216 -39 44 29.909559048|354.0312810292869 -11.6285126056260|   -1.205 7.157   |9.99     |G5/8(IV)         |    ~     ~    |    1|  579.643   pc  |  -6.3165     +6.3165    |paral   |2020yCat.1350....0G
286 |HD 167026                                                                                                                                                                      |Star                                  |18 15 15.0046999152 -40 52 37.512377328|352.4804686195921 -11.1044781431876|  -6.080 -8.286   |8.34     |K1/2III          |    ~     ~    |    1|  472.121   pc  |  -7.0213     +7.0213    |paral   |2020yCat.1350....0G
287 |HD 167025                                                                                                                                                                      |Star                                  |18 15 14.5665486240 -40 15 33.363756720|353.0432387660914 -10.8279753343132|  -1.009 -5.287   |9.72     |A0V              |    ~     ~    |    1|  711.086   pc  | -14.5625    +14.5625    |paral   |2020yCat.1350....0G
288 |HD 167124                                                                                                                                                                      |Star                                  |18 15 39.6099190824 -40 06 24.006600504|353.2184969350545 -10.8312470860949|  -5.128 -6.805   |10.41    |A8/9V            |    ~     ~    |    1|  413.172   pc  |  -3.4142     +3.4142    |paral   |2020yCat.1350....0G
289 |HD 167210                                                                                                                                                                      |Star                                  |18 15 55.8363359472 -40 11 16.799122716|353.1677891246350 -10.9137445831845| -9.450 -25.768   |9.83     |F6V              |    ~     ~    |    1|  142.845   pc  |  -0.3326     +0.3326    |paral   |2020yCat.1350....0G
