C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:15:33

dec >=0&rah >=7.25&rah< 7.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6226

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 4622-1056-1                                                                                                                                                                |Star                              |07 20 27.5554521360 +84 24 09.134778960|129.2056111234533 +27.6955129249409|  1.769 -19.248   |10.88    |~               |    ~     ~          |    1| 1011.327   pc  | -11.6597    +11.6597  |paral   |2020yCat.1350....0G
23  |BD+84 146                                                                                                                                                                      |Double or Multiple Star           |07 16 44.316576 +84 02 45.07404        |129.614434656 +27.625794262        |     -7.0 -42.2   |10.129   |G5              |    ~     ~          |    0|                |                       |        |                   
24  |BD+83 179                                                                                                                                                                      |Spectroscopic Binary              |07 16 07.9435625496 +83 12 26.019938844|130.5608069487849 +27.6522208665536|   56.025 8.503   |10.34    |K2              |    ~     ~          |    1|   73.424   pc  |  -0.6248     +0.6248  |paral   |2020yCat.1350....0G
25  |BD+83 181                                                                                                                                                                      |Star                              |07 15 33.0445773144 +82 51 29.974617756|130.9551873251247 +27.6497942692959|  1.821 -22.886   |8.95     |G5              |    ~     ~          |    1|  392.619   pc  |  -1.8190     +1.8190  |paral   |2020yCat.1350....0G
26  |TYC 4618-692-1                                                                                                                                                                 |Star                              |07 16 45.9571125672 +83 36 58.015025928|130.0987498785555 +27.6500713325010|  10.353 26.297   |10.66    |F8              |    ~     ~          |    1|  258.191   pc  |  -0.6800     +0.6800  |paral   |2020yCat.1350....0G
27  |HD 53225                                                                                                                                                                       |Star                              |07 23 09.3401869248 +83 29 13.507968048|130.2307916561865 +27.8376153456928| -9.745 -16.574   |8.56     |B9              |    ~     ~          |    1|  358.539   pc  | -12.2508    +12.2508  |paral   |2020yCat.1350....0G
28  |BD+83 183                                                                                                                                                                      |Star                              |07 28 40.3340410896 +83 33 15.395107572|130.1389235960271 +27.9864197471149|   11.840 4.940   |10.54    |G5              |    ~     ~          |    1|  684.322   pc  |  -5.3854     +5.3854  |paral   |2020yCat.1350....0G
29  |HD 52029                                                                                                                                                                       |Star                              |07 16 00.4113168888 +82 26 25.639982664|131.4259696015664 +27.6809938921678| -12.526 -3.782   |7.23     |K5              |    ~     ~          |    1|  522.876   pc  |  -4.6751     +4.6751  |paral   |2020yCat.1350....0G
30  |BD+82 196                                                                                                                                                                      |Star                              |07 20 14.3640338400 +82 03 23.372790192|131.8519313240403 +27.8413238319318|  14.726 14.484   |10.42    |F2              |    ~     ~          |    1|  349.125   pc  |  -1.3408     +1.3408  |paral   |2020yCat.1350....0G
31  |BD+82 195                                                                                                                                                                      |Star                              |07 15 26.3851694040 +81 47 44.955431304|132.1542534686468 +27.6839214820343| 11.230 -15.615   |10.45    |K0              |    ~     ~          |    1|  385.149   pc  |  -1.9877     +1.9877  |paral   |2020yCat.1350....0G
