C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:29:15

dec >=0&rah >=15.5&rah< 15.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2751

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+82 466                                                             |High Proper Motion Star           |15 40 02.4203515656 +81 34 22.817914860|116.1812187355058 +33.2132775864414| -80.643 48.454  |10.12    |F8               |    ~     ~    |    1|  196.094   pc  |  -0.4807     +0.4807  |paral   |2020yCat.1350....0G
24  |BD+81 518B                                                            |Spectroscopic Binary              |15 32 30.2929937616 +81 03 17.058018780|115.9869324414535 +33.7817977129391|   0.826 -3.872  |9.41     |~                |    ~     ~    |    1|  523.615   pc  | -21.5226    +21.5226  |paral   |2020yCat.1350....0G
25  |BD+81 518                                                             |Star                              |15 32 27.0203684304 +81 03 10.391194908|115.9872323028480 +33.7846019668291|   2.611 -4.048  |9.11     |F0               |    ~     ~    |    1|  465.376   pc  |  -3.8550     +3.8550  |paral   |2020yCat.1350....0G
26  |BD+81 520                                                             |Star                              |15 34 07.6661961888 +80 53 48.616745496|115.7997423809951 +33.8510427880632|   6.717 -7.548  |10.83    |F0               |    ~     ~    |    1|  473.776   pc  |  -2.6038     +2.6038  |paral   |2020yCat.1350....0G
27  |BD+81 521                                                             |Star                              |15 33 12.1601571936 +81 28 08.458598856|116.3082662717850 +33.4644134465854| 12.709 -21.418  |10.24    |F8               |    ~     ~    |    1|  336.327   pc  |  -1.7307     +1.7307  |paral   |2020yCat.1350....0G
28  |HD 141218                                                             |High Proper Motion Star           |15 36 48.5079320280 +80 36 52.189096140|115.4681637294687 +33.9758844571666| -39.062 48.071  |6.876    |G5               |    ~     ~    |    1|  163.953   pc  |  -0.4193     +0.4193  |paral   |2020yCat.1350....0G
29  |BD+81 524                                                             |Star                              |15 36 46.7177165856 +81 26 48.930600480|116.1758614896724 +33.3875423695058| -16.862 14.406  |9.62     |F0               |    ~     ~    |    1|  227.993   pc  |  -0.7069     +0.7069  |paral   |2020yCat.1350....0G
30  |BD+81 525                                                             |Star                              |15 38 14.5666707024 +81 00 11.948387976|115.7519693227164 +33.6614539238851| -4.628 -11.838  |10.29    |K2               |    ~     ~    |    1|  759.244   pc  |  -6.8021     +6.8021  |paral   |2020yCat.1350....0G
31  |BD+81 526                                                             |Star                              |15 38 39.2187285048 +80 58 49.516661748|115.7188124206332 +33.6660785916646| -21.689 -7.509  |10.30    |K5               |    ~     ~    |    1|  522.466   pc  | -12.6658    +12.6658  |paral   |2020yCat.1350....0G
32  |BD+81 527                                                             |Star                              |15 38 59.5950428400 +81 22 24.434703300|116.0436245609186 +33.3809094972873|   -4.089 1.627  |10.59    |~                |    ~     ~    |    1| 2573.340   pc  | -84.7626    +84.7626  |paral   |2020yCat.1350....0G
33  |BD+81 528                                                             |Star                              |15 40 33.1602256056 +81 21 58.875711228|115.9885267709977 +33.3441001958678|-24.960 -20.146  |9.43     |F8               |    ~     ~    |    1|  213.753   pc  |  -0.4752     +0.4752  |paral   |2020yCat.1350....0G
34  |BD+81 529                                                             |Star                              |15 43 31.2287919552 +81 11 30.257107296|115.7443876129230 +33.3837005963275|    1.995 8.925  |10.34    |F8               |    ~     ~    |    1|  367.728   pc  |  -2.1501     +2.1501  |paral   |2020yCat.1350....0G
35  |HD 142653                                                             |Spectroscopic Binary              |15 43 22.2548784984 +81 19 10.051872348|115.8601464954024 +33.3000768499700| -95.914 67.264  |8.31     |G5               |    ~     ~    |    1|  128.465   pc  |  -0.5281     +0.5281  |paral   |2020yCat.1350....0G
36  |HD 142795                                                             |Star                              |15 44 36.5223189144 +80 55 55.817714172|115.4827337974380 +33.5303540153637|    5.445 1.129  |6.81     |K2               |    ~     ~    |    1|  498.455   pc  |  -4.9195     +4.9195  |paral   |2020yCat.1350....0G
37  |BD+80 484                                                             |Star                              |15 36 06.6256978008 +80 31 22.492933140|115.4142929523607 +34.0608037480055| -4.868 -26.698  |9.47     |F2               |    ~     ~    |    1|  208.564   pc  |  -0.5916     +0.5916  |paral   |2020yCat.1350....0G
38  |BD+80 486                                                             |Star                              |15 36 56.5330365960 +80 26 09.196331136|115.3105254171452 +34.0978146496948| -14.735 15.608  |10.06    |A0               |    ~     ~    |    1|  580.215   pc  | -10.9411    +10.9411  |paral   |2020yCat.1350....0G
39  |HD 142297                                                             |Variable Star                     |15 43 01.5760577256 +80 07 22.589371848|114.8230734630626 +34.1293649595133| -10.038 32.105  |7.98     |F0               |    ~     ~    |    1|  137.212   pc  |  -0.3219     +0.3219  |paral   |2020yCat.1350....0G
40  |TYC 4566-11-1                                                         |Star                              |15 44 34.8176253288 +80 02 26.421270360|114.6952108536704 +34.1360362148234| -6.343 -13.133  |9.72     |~                |    ~     ~    |    1|  593.824   pc  |  -3.6673     +3.6673  |paral   |2020yCat.1350....0G
41  |TYC 4566-534-1                                                        |Star                              |15 42 08.3709232368 +81 33 25.817646204|116.1035536828200 +33.1690922880700|  -5.700 -8.043  |10.86    |~                |    ~     ~    |    1|  540.103   pc  |  -3.0046     +3.0046  |paral   |2020yCat.1350....0G
42  |TYC 4566-903-1                                                        |Star                              |15 42 14.8301280912 +82 25 37.961844024|116.8446129688890 +32.5611894171796|   -3.138 6.378  |10.52    |~                |    ~     ~    |    1| 1681.520   pc  | -32.2336    +32.2336  |paral   |2020yCat.1350....0G
43  |GSC 04566-01059                                                       |Double or Multiple Star           |15 35 29.9158444584 +81 06 26.738327736|115.9310349641783 +33.6631462706557|   -5.392 8.502  |10.924   |~                |    ~     ~    |    1|  486.808   pc  |  -2.6542     +2.6542  |paral   |2020yCat.1350....0G
44  |TYC 4566-1079-1                                                       |Star                              |15 32 27.7448437344 +81 08 28.225041864|116.0602732197801 +33.7205178465785| -36.992 27.492  |10.67    |~                |    ~     ~    |    1|  249.806   pc  |  -0.6365     +0.6365  |paral   |2020yCat.1350....0G
45  |TYC 4566-1835-1                                                       |Star                              |15 38 12.9684643992 +80 41 26.928583044|115.4851179236882 +33.8815799669962| -26.839 33.490  |10.73    |~                |    ~     ~    |    1|  184.956   pc  |  -0.4652     +0.4652  |paral   |2020yCat.1350....0G
46  |HD 142498                                                             |Star                              |15 32 15.2395410744 +85 14 27.603879612|119.3603801331644 +30.7174877675307|  34.486 20.463  |8.71     |G                |    ~     ~    |    1|   99.446   pc  |  -0.1276     +0.1276  |paral   |2020yCat.1350....0G
47  |BD+85 267                                                             |Star                              |15 39 29.1933865944 +84 53 03.085689192|118.9448276888207 +30.8726569410015|  -3.633 17.796  |10.41    |F0               |    ~     ~    |    1|  348.226   pc  |  -2.0857     +2.0857  |paral   |2020yCat.1350....0G
48  |HD 144301                                                             |High Proper Motion Star           |15 44 40.1982286656 +84 34 46.184490876|118.5964193339359 +31.0056273107339|-79.439 114.444  |8.05     |F8               |    ~     ~    |    1|   71.013   pc  |  -0.6157     +0.6157  |paral   |2020yCat.1350....0G
49  |BD+85 265                                                             |Star                              |15 31 13.5696860184 +84 53 55.437867348|119.1134477469548 +30.9871084802805|   -2.540 5.093  |9.11     |G5               |    ~     ~    |    1|  633.955   pc  |  -4.4209     +4.4209  |paral   |2020yCat.1350....0G
50  |BD+84 349                                                             |Star                              |15 32 11.7071929896 +84 17 23.972705556|118.6169239641250 +31.4238342890973|  -2.770 -0.888  |10.16    |K0               |    ~     ~    |    1|  668.762   pc  |  -5.1880     +5.1880  |paral   |2020yCat.1350....0G
51  |BD+84 350                                                             |High Proper Motion Star           |15 41 08.1360379824 +83 57 00.620302860|118.1479409382412 +31.5124294101924| -41.661 55.255  |9.92     |F8               |    ~     ~    |    1|  129.450   pc  |  -0.1977     +0.1977  |paral   |2020yCat.1350....0G
52  |BD+83 448                                                             |Star                              |15 36 14.1475905480 +83 05 53.048859216|117.5634514411477 +32.2186004136526|   -4.251 4.160  |10.41    |G5               |    ~     ~    |    1| 1245.485   pc  | -20.9416    +20.9416  |paral   |2020yCat.1350....0G
53  |BD+83 449                                                             |Star                              |15 36 16.7909282664 +83 13 45.432264864|117.6697042824962 +32.1230456298488|   4.436 -4.122  |9.87     |A5               |    ~     ~    |    1|  508.414   pc  |  -3.6963     +3.6963  |paral   |2020yCat.1350....0G
54  |BD+83 450                                                             |Star                              |15 36 23.1664 +83 13 16.300            |117.6604176 +32.1267131            |        1.3 3.8  |10.34    |G0               |    ~     ~    |    0|                |                       |        |                   
55  |HD 142975                                                             |High Proper Motion Star           |15 41 29.6787391968 +83 17 19.377586500|117.5900252599138 +31.9734212435868| -55.695 40.102  |8.46     |G5               |    ~     ~    |    1|   42.902   pc  |  -0.1546     +0.1546  |paral   |2020yCat.1350....0G
56  |BD+76 566                                                             |Star                              |15 35 57.3540095808 +76 02 11.529534768|111.4416171510209 +37.1763032987357|   3.626 12.913  |8.85     |G0               |    ~     ~    |    1|  142.615   pc  |  -0.2441     +0.2441  |paral   |2020yCat.1350....0G
