C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:29:15

dec >=0&rah >=15.5&rah< 15.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2751

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
703 |TYC 3486-1265-1                                                       |Star                              |15 34 20.8498189656 +49 07 58.167001056|079.2446835484907 +51.8250941659479| -17.123 15.262  |10.88    |~                |    ~     ~    |    1|  945.716   pc  |  -8.4072     +8.4072  |paral   |2020yCat.1350....0G
704 |TYC 3486-1324-1                                                       |Star                              |15 35 53.5349830776 +49 10 27.262996140|079.1691310512353 +51.5734610823835|  -10.603 0.385  |10.65    |~                |    ~     ~    |    1|  784.375   pc  |  -7.0138     +7.0138  |paral   |2020yCat.1350....0G
705 |TYC 3486-1333-1                                                       |Star                              |15 32 46.8510896496 +49 08 59.398474848|079.4143904868459 +52.0596040637419|  1.935 -15.240  |10.77    |~                |    ~     ~    |    1|  994.036   pc  | -11.0668    +11.0668  |paral   |2020yCat.1350....0G
706 |BD+50 2205                                                            |Double or Multiple Star           |15 38 09.681816 +50 20 41.24832        |080.723159831 +50.827551234        |     -80.1 -9.0  |9.986    |~                |    ~     ~    |    0|                |                       |        |                   
707 |TYC 3489-604-1                                                        |High Proper Motion Star           |15 37 15.7490565984 +50 21 45.150013692|080.8294180827239 +50.9555388703116| -30.969 39.871  |10.05    |~                |    ~     ~    |    1|  267.766   pc  |  -0.8245     +0.8245  |paral   |2020yCat.1350....0G
708 |TYC 3489-644-1                                                        |Star                              |15 37 32.7788630448 +50 06 23.311684008|080.4232512280354 +51.0028196168792|    0.377 8.225  |10.44    |~                |    ~     ~    |    1|  395.585   pc  |  -3.0202     +3.0202  |paral   |2020yCat.1350....0G
709 |TYC 3489-727-1                                                        |Star                              |15 36 37.8493819776 +50 27 34.088991228|081.0302044935862 +51.0150852290837|  -19.106 8.593  |10.77    |~                |    ~     ~    |    1|  950.570   pc  |  -9.2166     +9.2166  |paral   |2020yCat.1350....0G
710 |TYC 3489-733-1                                                        |Star                              |15 36 26.6915565600 +50 06 53.989101324|080.5343626222417 +51.1652564514082|   3.412 -7.631  |10.52    |~                |    ~     ~    |    1|  801.025   pc  |  -7.5714     +7.5714  |paral   |2020yCat.1350....0G
711 |HD 234238                                                             |Star                              |15 30 51.2850674808 +51 00 19.485530460|082.3898261897053 +51.6568724216870| 21.260 -22.835  |9.51     |K2               |    ~     ~    |    1|  428.504   pc  |  -7.5466     +7.5466  |paral   |2020yCat.1350....0G
712 |HD 234240                                                             |Star                              |15 31 31.6140515304 +50 09 16.560412164|081.0540648353849 +51.8850381495728| -12.432 -3.188  |9.16     |K5               |    ~     ~    |    1| 1095.890   pc  | -20.2965    +20.2965  |paral   |2020yCat.1350....0G
713 |TYC 3489-76-1                                                         |Star                              |15 30 04.8077 +51 16 03.070            |082.8554117 +51.6641614            |  11.350 28.722  |10.78    |~                |    ~     ~    |    0|                |                       |        |                   
714 |TYC 3489-99-1                                                         |Star                              |15 33 13.9076264856 +50 17 52.904754924|081.1051853556789 +51.5785695620491| -46.264 -8.409  |10.91    |~                |    ~     ~    |    1| 1185.536   pc  | -18.2715    +18.2715  |paral   |2020yCat.1350....0G
715 |TYC 3489-174-1                                                        |Star                              |15 30 12.3381321696 +50 17 15.901813068|081.3838890603950 +52.0302423628924|    8.998 2.196  |10.91    |~                |    ~     ~    |    1|  455.560   pc  |  -2.6357     +2.6357  |paral   |2020yCat.1350....0G
716 |TYC 3489-282-1                                                        |Star                              |15 30 52.6107773520 +51 46 40.836525240|083.5248290153922 +51.3442591166574|   -0.106 1.533  |10.62    |~                |    ~     ~    |    1| 2778.550   pc  |-104.2246   +104.2246  |paral   |2020yCat.1350....0G
717 |TYC 3489-351-1                                                        |Star                              |15 30 54.7824610920 +50 26 38.971397868|081.5482891810568 +51.8661645489051| 38.681 -27.756  |10.06    |~                |    ~     ~    |    1|  129.126   pc  |  -0.2051     +0.2051  |paral   |2020yCat.1350....0G
718 |TYC 3489-758-1                                                        |Star                              |15 30 23.3054090928 +50 02 34.634481792|080.9974856980424 +52.0961873982498| -33.223 28.795  |10.34    |~                |    ~     ~    |    1|  266.638   pc  |  -0.8745     +0.8745  |paral   |2020yCat.1350....0G
719 |TYC 3489-937-1                                                        |Star                              |15 36 24.8801402952 +50 39 21.347933652|081.3410300956579 +50.9762837696471| 16.767 -20.790  |10.81    |~                |    ~     ~    |    1|  203.699   pc  |  -0.5062     +0.5062  |paral   |2020yCat.1350....0G
720 |TYC 3489-19-1                                                         |Star                              |15 31 06.2853168840 +50 24 10.951799508|081.4678785354128 +51.8536415075851|   0.131 -1.730  |10.68    |~                |    ~     ~    |    1| 2741.980   pc  |-115.0323   +115.0323  |paral   |2020yCat.1350....0G
721 |BD+45 2315                                                            |Star                              |15 38 54.4297749096 +44 47 11.818542876|072.1056911584883 +52.3367504836996|   2.730 13.888  |10.23    |K2               |    ~     ~    |    1|  206.791   pc  |  -0.6243     +0.6243  |paral   |2020yCat.1350....0G
722 |HD 140138                                                             |Star                              |15 40 17.6917349520 +44 49 51.630857688|072.0828666561693 +52.0870406330650|  -21.407 5.073  |7.54     |F2               |    ~     ~    |    1|   68.534   pc  |  -0.0944     +0.0944  |paral   |2020yCat.1350....0G
723 |BD+45 2319                                                            |Star                              |15 40 19.7701119864 +44 56 01.021698672|072.2429769924950 +52.0573636699820|  -9.962 -2.295  |10.98    |K                |    ~     ~    |    1|  650.618   pc  |  -5.5453     +5.5453  |paral   |2020yCat.1350....0G
724 |BD+45 2320                                                            |Star                              |15 40 49.5338491392 +44 46 32.320063596|071.9602630727387 +52.0080373340441|  -8.581 -4.318  |9.10     |K5               |    ~     ~    |    1| 1016.777   pc  | -17.5752    +17.5752  |paral   |2020yCat.1350....0G
725 |BD+45 2321                                                            |Star                              |15 42 08.3629265184 +45 00 52.899093720|072.2518629637634 +51.7272121798092| -12.145 -2.537  |9.27     |F8               |    ~     ~    |    1|  296.446   pc  |  -1.1249     +1.1249  |paral   |2020yCat.1350....0G
726 |HD 140628                                                             |Star                              |15 42 48.1378699992 +45 00 02.683321524|072.1873776779905 +51.6161960682219| -13.891 -4.671  |8.23     |K5               |    ~     ~    |    1|  305.474   pc  |  -1.4184     +1.4184  |paral   |2020yCat.1350....0G
727 |BD+44 2489                                                            |Star                              |15 37 17.5206371904 +44 24 05.828990688|071.6007821313722 +52.7062335035733|  -2.443 -2.215  |9.60     |M2               |    ~     ~    |    1| 1636.393   pc  | -37.7567    +37.7567  |paral   |2020yCat.1350....0G
728 |BD+45 2322                                                            |Star                              |15 42 27.6771239376 +44 48 23.692905288|071.9038370603767 +51.7182712690939| -43.076 -4.453  |9.32     |K2               |    ~     ~    |    1|  568.569   pc  |  -3.8469     +3.8469  |paral   |2020yCat.1350....0G
729 |BD+44 2491                                                            |Star                              |15 38 05.1205383768 +44 21 20.743567920|071.4734052569298 +52.5788617987731|  -16.342 0.604  |10.96    |K                |    ~     ~    |    1| 1927.154   pc  | -36.3964    +36.3964  |paral   |2020yCat.1350....0G
730 |BD+44 2492                                                            |Star                              |15 38 09.5673321264 +44 22 25.196090196|071.4971039552580 +52.5618758722211|  26.529 -9.193  |10.12    |K0               |    ~     ~    |    1|  312.198   pc  |  -7.2126     +7.2126  |paral   |2020yCat.1350....0G
731 |BD+44 2495                                                            |Star                              |15 38 50.3946789408 +44 15 17.527706604|071.2617472108721 +52.4701409868897| -41.690 21.939  |10.56    |F8               |    ~     ~    |    1|  266.610   pc  |  -0.8814     +0.8814  |paral   |2020yCat.1350....0G
732 |HD 140025                                                             |High Proper Motion Star           |15 39 45.2231688456 +44 18 40.277884464|071.2921830447772 +52.2981673194157|  1.258 -60.507  |8.22     |G5               |    ~     ~    |    1|  116.402   pc  |  -0.2561     +0.2561  |paral   |2020yCat.1350....0G
733 |HD 140139                                                             |High Proper Motion Star           |15 40 21.4214142888 +43 50 46.940576064|070.5118567538730 +52.2922177984737| -19.557 63.163  |7.16     |F0               |    ~     ~    |    1|   64.325   pc  |  -1.5454     +1.5454  |paral   |2020yCat.1350....0G
734 |BD+44 2503                                                            |Star                              |15 42 48.9977318304 +43 38 12.627748788|070.0318625484980 +51.8994040336601|  -25.797 0.131  |9.17     |F8               |    ~     ~    |    1|  189.807   pc  |  -0.4287     +0.4287  |paral   |2020yCat.1350....0G
735 |V* FP Boo                                                             |Eclipsing Binary                  |15 43 00.2512236000 +43 15 55.315194516|069.4301092666897 +51.9368023813925|  -0.159 19.526  |10.14    |A5               |    ~     ~    |    1|  356.862   pc  |  -1.5409     +1.5409  |paral   |2020yCat.1350....0G
736 |TYC 3059-310-1                                                        |Star                              |15 37 01.8292301496 +44 28 43.871329236|071.7427776496111 +52.7335599018974|  15.123 20.481  |10.87    |~                |    ~     ~    |    1|  371.443   pc  |  -1.3659     +1.3659  |paral   |2020yCat.1350....0G
737 |TYC 3059-1142-1                                                       |Star                              |15 43 43.8109539000 +43 36 44.237827080|069.9412675165775 +51.7419261933795|  12.900 -8.545  |10.95    |~                |    ~     ~    |    1|  404.907   pc  |  -2.2133     +2.2133  |paral   |2020yCat.1350....0G
738 |TYC 3059-1206-1                                                       |Star                              |15 42 45.5802646416 +43 33 24.146699184|069.9076784098705 +51.9250826288118|  -11.690 2.708  |10.78    |~                |    ~     ~    |    1|  343.702   pc  |  -2.3154     +2.3154  |paral   |2020yCat.1350....0G
739 |TYC 3059-1285-1                                                       |Star                              |15 40 08.0660007120 +43 46 32.743575228|070.4125646295104 +52.3462055736292|  -5.991 -8.503  |10.76    |~                |    ~     ~    |    1| 1011.941   pc  | -10.9571    +10.9571  |paral   |2020yCat.1350....0G
740 |TYC 3059-2057-1                                                       |High Proper Motion Star           |15 37 26.8257567552 +44 42 25.914565296|072.0796576441469 +52.6074213131391| -2.380 -51.019  |10.43    |~                |    ~     ~    |    1|  296.375   pc  |  -1.1595     +1.1595  |paral   |2020yCat.1350....0G
741 |TYC 3059-2102-1                                                       |Star                              |15 38 29.3090962104 +44 45 09.408175596|072.0801475273534 +52.4169685696398| -43.836 -0.299  |10.52    |~                |    ~     ~    |    1|  161.473   pc  |  -0.3155     +0.3155  |paral   |2020yCat.1350....0G
742 |BD+48 2313                                                            |Star                              |15 36 29.1507593832 +47 31 30.693025776|076.5915123254941 +52.0063273251813|  -10.180 7.699  |10.52    |F8               |    ~     ~    |    1|  336.451   pc  |  -1.2905     +1.2905  |paral   |2020yCat.1350....0G
743 |AG+47 1120                                                            |Long-Period Variable Candidate    |15 34 09.6159303864 +47 08 55.737375864|076.2001128374584 +52.4956948393083|  -7.351 -1.964  |10.40    |M2               |    ~     ~    |    1| 2536.78    pc  |-137.071    +137.071   |paral   |2020yCat.1350....0G
744 |BD+47 2234                                                            |Long-Period Variable              |15 30 39.7904913000 +46 51 31.269063456|076.0468314284812 +53.1522442811567|  -2.187 -4.762  |9.71     |M6/7             |    ~     ~    |    1|  976.467   pc  | -26.0302    +26.0302  |paral   |2020yCat.1350....0G
745 |BD+47 2231                                                            |Star                              |15 30 03.8076780360 +46 33 43.173678204|075.6287044130007 +53.3419798899526| -33.481 19.209  |9.82     |K0               |    ~     ~    |    1|  447.908   pc  |  -3.5309     +3.5309  |paral   |2020yCat.1350....0G
746 |BD+47 2235                                                            |Star                              |15 30 54.2648500920 +46 38 10.074793560|075.6724612085804 +53.1817342539862|-16.293 -14.891  |9.52     |F5               |    ~     ~    |    1|  220.376   pc  |  -0.5585     +0.5585  |paral   |2020yCat.1350....0G
747 |BD+47 2237                                                            |Star                              |15 31 09.3073129344 +46 41 47.574680136|075.7463896624343 +53.1222814225446| -24.840 -6.033  |10.15    |F0               |    ~     ~    |    1|  467.224   pc  | -10.8713    +10.8713  |paral   |2020yCat.1350....0G
748 |HD 138819                                                             |Star                              |15 32 34.4492976192 +46 33 41.697187020|075.4101064267993 +52.9308165620368|   3.323 -7.819  |9.45     |F5               |    ~     ~    |    1|  266.134   pc  |  -1.3174     +1.3174  |paral   |2020yCat.1350....0G
749 |BD+47 2244                                                            |High Proper Motion Star           |15 34 00.1787191320 +46 37 27.314196060|075.3892006269901 +52.6777941778357| 45.374 -64.527  |9.92     |F8               |    ~     ~    |    1|  148.199   pc  |  -0.2592     +0.2592  |paral   |2020yCat.1350....0G
750 |HD 139214                                                             |Star                              |15 35 03.5924673672 +46 40 34.296522384|075.3839646079817 +52.4891542213744| -25.670 26.589  |9.14     |G5               |    ~     ~    |    1|  240.993   pc  |  -0.9815     +0.9815  |paral   |2020yCat.1350....0G
751 |HD 139689                                                             |High Proper Motion Star           |15 37 39.3196695168 +47 18 46.451281536|076.1673977057997 +51.8804269529171|  56.188 -8.533  |9.04     |G5               |    ~     ~    |    1|  142.248   pc  |  -0.2813     +0.2813  |paral   |2020yCat.1350....0G
752 |HD 139798                                                             |High Proper Motion Star           |15 38 16.2430975752 +46 47 51.978816816|075.3187408998170 +51.9271656352719|71.731 -144.601  |5.742    |F2V              |    ~     ~    |    1|   36.104   pc  |  -0.2625     +0.2625  |paral   |2020yCat.1350....0G
753 |BD+47 2254                                                            |Star                              |15 39 01.8639498912 +46 41 06.777932064|075.0851714243358 +51.8330986844895| 24.043 -33.780  |10.45    |K0               |    ~     ~    |    1|  235.983   pc  |  -8.1805     +8.1805  |paral   |2020yCat.1350....0G
754 |HD 139920                                                             |Star                              |15 38 58.8839502624 +46 55 35.609022804|075.4640663580250 +51.7745696992331| -9.112 -20.472  |6.76     |K5               |    ~     ~    |    1|  396.275   pc  |  -2.6068     +2.6068  |paral   |2020yCat.1350....0G
755 |HD 140414                                                             |Star                              |15 41 33.5797422216 +46 43 05.870145108|074.9486462339744 +51.4066568529337|    3.010 9.579  |8.63     |G0               |    ~     ~    |    1|   89.185   pc  |  -0.1233     +0.1233  |paral   |2020yCat.1350....0G
756 |HD 138421                                                             |Star                              |15 30 09.5993028168 +46 23 09.911099184|075.3395673316193 +53.3800088738725|   14.854 7.485  |7.590    |K2               |    ~     ~    |    1|  423.209   pc  |  -2.4537     +2.4537  |paral   |2020yCat.1350....0G
757 |BD+46 2079                                                            |Star                              |15 33 01.5805227192 +46 13 21.235027260|074.8343076919953 +52.9556722070467|  32.986 -4.286  |10.14    |G0               |    ~     ~    |    1|  194.837   pc  |  -1.2603     +1.2603  |paral   |2020yCat.1350....0G
758 |BD+46 2080                                                            |Star                              |15 33 15.9165633168 +46 05 34.679117760|074.6085276514030 +52.9532052062703| -19.053 -9.661  |8.98     |K2               |    ~     ~    |    1|  841.468   pc  |  -9.5589     +9.5589  |paral   |2020yCat.1350....0G
759 |BD+46 2081                                                            |Star                              |15 33 26.4279298776 +45 56 32.589844584|074.3544789459779 +52.9666459077877|  -9.863 -7.599  |9.54     |K0               |    ~     ~    |    1|  580.754   pc  |  -3.4065     +3.4065  |paral   |2020yCat.1350....0G
760 |BD+46 2083                                                            |Star                              |15 35 00.2008648224 +45 55 54.362600040|074.2126666374258 +52.7085586446706| -21.757 12.005  |10.17    |F2               |    ~     ~    |    1|  302.902   pc  |  -1.8533     +1.8533  |paral   |2020yCat.1350....0G
761 |BD+46 2084                                                            |Star                              |15 34 59.9471903040 +46 14 01.076852220|074.6911973642431 +52.6254589618695| -23.971 -4.124  |10.27    |F8               |    ~     ~    |    1|  193.622   pc  |  -0.4574     +0.4574  |paral   |2020yCat.1350....0G
762 |BD+46 2086                                                            |Star                              |15 36 19.5818281488 +46 18 06.021792252|074.6934756734898 +52.3862067638761| -2.019 -18.627  |10.21    |F5               |    ~     ~    |    1|  375.615   pc  |  -2.2292     +2.2292  |paral   |2020yCat.1350....0G
763 |BD+46 2088                                                            |High Proper Motion Star           |15 36 36.9476491872 +46 08 06.850152096|074.4087450152861 +52.3837507920142| 69.885 -95.929  |10.07    |G0               |    ~     ~    |    1|   87.940   pc  |  -0.1330     +0.1330  |paral   |2020yCat.1350....0G
764 |HD 139921                                                             |Star                              |15 39 07.3624285008 +45 52 03.416153916|073.7997597925949 +52.0346189093959| -33.076 11.947  |9.03     |K2               |    ~     ~    |    1|  349.773   pc  |  -2.0309     +2.0309  |paral   |2020yCat.1350....0G
765 |BD+46 2093                                                            |Star                              |15 40 15.8923545720 +46 20 54.117652956|074.4687659410595 +51.7188133492569| -12.089 -3.240  |10.54    |F8               |    ~     ~    |    1|  372.953   pc  |  -2.3090     +2.3090  |paral   |2020yCat.1350....0G
766 |BD+46 2097                                                            |Star                              |15 41 43.8612726984 +45 52 16.835758140|073.6210046020902 +51.5942184422137| 15.386 -19.957  |9.81     |A5               |    ~     ~    |    1|  536.682   pc  | -25.8649    +25.8649  |paral   |2020yCat.1350....0G
767 |BD+46 2098                                                            |High Proper Motion Star           |15 41 59.8595054568 +45 53 19.541776488|073.6298130796997 +51.5449547262885| -53.664 -0.018  |8.87     |G0               |    ~     ~    |    1|   79.199   pc  |  -0.0803     +0.0803  |paral   |2020yCat.1350....0G
768 |HD 140771                                                             |Star                              |15 43 37.0506793416 +45 53 08.160420120|073.5154058207446 +51.2722353020579| -10.808 20.816  |8.45     |K2               |    ~     ~    |    1|  739.864   pc  |  -9.4153     +9.4153  |paral   |2020yCat.1350....0G
769 |HD 138700                                                             |High Proper Motion Star           |15 31 51.7166579184 +45 38 11.826753252|073.9941653787090 +53.3166496135423| -20.166 59.995  |9.22     |G5               |    ~     ~    |    1|  168.112   pc  |  -0.3278     +0.3278  |paral   |2020yCat.1350....0G
770 |BD+46 2077                                                            |Star                              |15 32 44.3539149072 +45 44 29.533930764|074.0906777236926 +53.1401770529669|  28.008 -5.189  |10.56    |F8               |    ~     ~    |    1|  230.176   pc  |  -0.6305     +0.6305  |paral   |2020yCat.1350....0G
771 |HD 138831                                                             |Star                              |15 32 45.8810030112 +45 45 35.074877364|074.1177426826484 +53.1308214966253| 31.897 -14.471  |9.06     |G5               |    ~     ~    |    1|  155.652   pc  |  -0.2932     +0.2932  |paral   |2020yCat.1350....0G
772 |BD+46 2085                                                            |Star                              |15 35 32.0073217200 +45 45 48.880493676|073.9042739249038 +52.6653876316540|  -18.550 3.894  |9.82     |F2               |    ~     ~    |    1|  262.412   pc  |  -1.2326     +1.2326  |paral   |2020yCat.1350....0G
773 |BD+46 2095                                                            |Star                              |15 40 30.3433756656 +45 37 58.686122928|073.3329375477337 +51.8600581796449| 12.322 -18.268  |10.00    |K0               |    ~     ~    |    1|  710.732   pc  | -16.9727    +16.9727  |paral   |2020yCat.1350....0G
774 |HD 140612                                                             |High Proper Motion Star           |15 42 37.9190881224 +45 45 43.452812340|073.3892324391422 +51.4685372205530| -36.719 57.513  |7.01     |F0               |    ~     ~    |    1|  109.503   pc  |  -2.4269     +2.4269  |paral   |2020yCat.1350....0G
775 |BD+45 2299                                                            |Star                              |15 32 32.8839456336 +45 17 20.320178316|073.3794044185229 +53.2968785733028|    5.646 4.004  |9.66     |K0               |    ~     ~    |    1|  603.136   pc  |  -4.3653     +4.3653  |paral   |2020yCat.1350....0G
776 |HD 139101                                                             |High Proper Motion Star           |15 34 34.6001296920 +44 54 51.220136916|072.6193592715759 +53.0498119665943| 63.261 -46.493  |8.49     |K0               |    ~     ~    |    1|  148.976   pc  |  -0.3773     +0.3773  |paral   |2020yCat.1350....0G
777 |HD 139116                                                             |Star                              |15 34 38.4417959016 +44 54 25.547700456|072.6030950294690 +53.0406599405165|  -9.268 26.062  |8.38     |K0               |    ~     ~    |    1|  308.147   pc  |  -1.4718     +1.4718  |paral   |2020yCat.1350....0G
778 |HD 139321                                                             |Star                              |15 35 39.4304440608 +45 26 52.299144600|073.3924892754636 +52.7282188643848| 17.839 -13.211  |8.72     |K2               |    ~     ~    |    1|  419.006   pc  |  -2.9320     +2.9320  |paral   |2020yCat.1350....0G
779 |BD+45 2308                                                            |Star                              |15 36 22.2101394576 +44 49 39.804166596|072.3488552453331 +52.7637356057884|  -7.960 -1.402  |10.51    |~                |    ~     ~    |    1|  891.822   pc  |  -8.9874     +8.9874  |paral   |2020yCat.1350....0G
780 |HD 139440                                                             |Star                              |15 36 25.3446894000 +44 57 02.072415096|072.5417582123752 +52.7244796591210|  -6.472 15.222  |8.22     |G5               |    ~     ~    |    1|  304.405   pc  |  -1.4363     +1.4363  |paral   |2020yCat.1350....0G
781 |BD+45 2311                                                            |High Proper Motion Star           |15 36 28.0890040704 +45 03 04.952264616|072.6995792606022 +52.6915737384679| 5.531 -131.723  |9.09     |F8               |    ~     ~    |    1|  105.356   pc  |  -0.1321     +0.1321  |paral   |2020yCat.1350....0G
782 |BD+45 2313                                                            |Star                              |15 38 10.6038300696 +44 51 55.063751112|072.2811929248739 +52.4439563935510| -29.923 17.355  |9.60     |K0               |    ~     ~    |    1|  589.275   pc  | -13.0564    +13.0564  |paral   |2020yCat.1350....0G
783 |HD 139937                                                             |Star                              |15 39 11.8058792856 +45 07 02.646379884|072.6109346656812 +52.2084372836830|  21.007 14.545  |8.120    |kA8hF0mF2(III)   |    ~     ~    |    1|  156.436   pc  |  -0.4307     +0.4307  |paral   |2020yCat.1350....0G
784 |HD 140869                                                             |High Proper Motion Star           |15 44 05.4776894376 +45 18 57.831873912|072.5986621427135 +51.3239224322948| -48.847 31.948  |8.300    |G5               |    ~     ~    |    1|   79.914   pc  |  -0.1150     +0.1150  |paral   |2020yCat.1350....0G
785 |IRAS 15349+4700                                                       |Star                              |15 36 34.4505355440 +46 50 59.416571292|075.5336244566570 +52.1907525120615| -8.255 -20.726  |9.66     |~                |    ~     ~    |    1| 1498.352   pc  | -27.6142    +27.6142  |paral   |2020yCat.1350....0G
786 |PG 1533+467                                                           |Star                              |15 34 42.6023858640 +46 31 47.904879756|075.1823724653333 +52.5889393282304| -10.796 10.210  |10.78    |sd               |    ~     ~    |    1| 2215.821   pc  |-159.0795   +159.0795  |paral   |2020yCat.1350....0G
787 |TYC 3483-140-1                                                        |High Proper Motion Star           |15 39 05.9655690840 +45 22 29.496462420|073.0250390219806 +52.1624149648252| -34.526 42.395  |10.79    |~                |    ~     ~    |    1|  278.715   pc  |  -1.9887     +1.9887  |paral   |2020yCat.1350....0G
788 |TYC 3483-380-1                                                        |High Proper Motion Star           |15 41 06.6060415776 +45 51 42.166955304|073.6490506194547 +51.7013338877257| -95.853 98.904  |10.52    |~                |    ~     ~    |    1|   68.567   pc  |  -0.0545     +0.0545  |paral   |2020yCat.1350....0G
789 |TYC 3483-407-1                                                        |Horizontal Branch Star            |15 38 42.4046315232 +46 26 55.763948400|074.7411395457919 +51.9510406334379| -23.675 -2.134  |10.79    |~                |    ~     ~    |    1|  935.804   pc  |  -9.9833     +9.9833  |paral   |2020yCat.1350....0G
790 |TYC 3483-455-1                                                        |Star                              |15 39 48.3177417240 +46 30 36.879712020|074.7546701649180 +51.7523730597927| -18.309 20.620  |10.65    |~                |    ~     ~    |    1|  330.077   pc  |  -1.2094     +1.2094  |paral   |2020yCat.1350....0G
791 |TYC 3483-482-1                                                        |Star                              |15 40 52.8855137208 +45 46 48.253703268|073.5373088398674 +51.7601817184728|  -35.143 7.600  |10.67    |~                |    ~     ~    |    1|  140.786   pc  |  -0.6303     +0.6303  |paral   |2020yCat.1350....0G
792 |TYC 3483-572-1                                                        |High Proper Motion Star           |15 43 19.6559783280 +45 28 10.388251164|072.8871099897875 +51.4193689186574| -29.306 64.240  |10.80    |~                |    ~     ~    |    1|  305.539   pc  |  -1.1763     +1.1763  |paral   |2020yCat.1350....0G
793 |TYC 3483-611-1                                                        |Star                              |15 43 17.2061531952 +46 23 29.082836796|074.3211159610567 +51.2039167469588|   3.341 -6.323  |10.63    |~                |    ~     ~    |    1|  976.181   pc  |  -9.7199     +9.7199  |paral   |2020yCat.1350....0G
794 |TYC 3483-640-1                                                        |High Proper Motion Star           |15 40 25.3427731536 +45 42 13.053069288|073.4496211935331 +51.8567162993872| 10.998 -50.292  |10.46    |~                |    ~     ~    |    1|  205.427   pc  |  -0.7385     +0.7385  |paral   |2020yCat.1350....0G
795 |TYC 3483-723-1                                                        |Star                              |15 39 30.4074871584 +46 46 12.760691592|075.1812477194107 +51.7314256137440|   9.436 -4.298  |10.93    |~                |    ~     ~    |    1|  488.281   pc  |  -2.6226     +2.6226  |paral   |2020yCat.1350....0G
796 |TYC 3483-844-1                                                        |Star                              |15 33 05.2059374232 +47 12 21.105156780|076.3813794757078 +52.6518889155947| -21.071 41.020  |10.22    |~                |    ~     ~    |    1|  147.280   pc  |  -0.2711     +0.2711  |paral   |2020yCat.1350....0G
797 |TYC 3483-867-1                                                        |Star                              |15 35 17.8234160736 +47 12 47.724877692|076.2053059143960 +52.2920894225166|  3.198 -11.237  |10.66    |~                |    ~     ~    |    1|  631.552   pc  |  -4.3874     +4.3874  |paral   |2020yCat.1350....0G
798 |TYC 3483-890-1                                                        |Star                              |15 33 18.7315432296 +45 28 44.348307204|073.6240322111240 +53.1162180010926|   0.654 11.878  |10.66    |~                |    ~     ~    |    1|  335.143   pc  |  -1.4152     +1.4152  |paral   |2020yCat.1350....0G
799 |TYC 3483-1006-1                                                       |Star                              |15 32 35.9458671360 +46 27 59.839643988|075.2575060945260 +52.9548894227448| 26.954 -26.603  |10.96    |~                |    ~     ~    |    1|  253.981   pc  |  -0.6257     +0.6257  |paral   |2020yCat.1350....0G
800 |TYC 3483-1099-1                                                       |Star                              |15 37 07.9622347248 +45 50 37.689668736|073.9093638358269 +52.3753718482694|   1.139 -1.860  |10.43    |~                |    ~     ~    |    1| 1011.122   pc  | -13.4953    +13.4953  |paral   |2020yCat.1350....0G
801 |TYC 3483-1157-1                                                       |Star                              |15 30 20.2265225784 +45 29 33.864448308|073.8889757661553 +53.6133100195244|   -4.291 2.280  |10.91    |~                |    ~     ~    |    1|  876.040   pc  |  -9.8233     +9.8233  |paral   |2020yCat.1350....0G
802 |TYC 3483-1162-1                                                       |Star                              |15 37 10.6899490968 +46 39 00.758768832|075.1736438841924 +52.1482232600419|   1.075 -2.793  |10.55    |~                |    ~     ~    |    1| 1374.193   pc  | -26.4377    +26.4377  |paral   |2020yCat.1350....0G
803 |TYC 3483-1297-1                                                       |Star                              |15 36 19.7765489496 +45 06 55.181724804|072.8118489187422 +52.6992141995554|  -8.037 -9.472  |10.97    |~                |    ~     ~    |    1|  401.687   pc  |  -1.8233     +1.8233  |paral   |2020yCat.1350....0G
804 |TYC 3483-1504-1                                                       |Star                              |15 35 05.6821258320 +45 25 54.436033632|073.4096557682658 +52.8276444108762|   3.995 -8.115  |10.76    |~                |    ~     ~    |    1| 1007.963   pc  | -12.4967    +12.4967  |paral   |2020yCat.1350....0G
805 |TYC 3483-1583-1                                                       |Star                              |15 35 23.9506515696 +46 52 56.269337916|075.6795918038224 +52.3735510815576|    4.081 2.887  |10.71    |~                |    ~     ~    |    1|  316.186   pc  |  -1.6496     +1.6496  |paral   |2020yCat.1350....0G
806 |TYC 3483-1628-1                                                       |High Proper Motion Star           |15 36 36.8671661808 +45 17 37.126268340|073.0752981325561 +52.6055557849506| -2.244 -73.866  |10.68    |~                |    ~     ~    |    1|  107.684   pc  |  -0.1194     +0.1194  |paral   |2020yCat.1350....0G
807 |TYC 3483-1660-1                                                       |Star                              |15 30 51.7566131448 +45 27 58.550750892|073.8023510742124 +53.5324369760170|   0.971 12.060  |10.09    |~                |    ~     ~    |    1|  167.009   pc  |  -0.3459     +0.3459  |paral   |2020yCat.1350....0G
