C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:40:54

dec >=0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4166

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
904 |TYC 3718-1592-1                                                                                          |Spectroscopic Binary              |04 13 19.7339265120 +52 52 14.316480588|150.6869246630712 +01.2399024327654|  -8.093 -6.701    |10.73    |~              |    ~     ~    |    1|  381.243   pc  |  -2.0058     +2.0058  |paral   |2020yCat.1350....0G
905 |TYC 3718-1646-1                                                                                          |Star                              |04 09 33.6351045792 +52 45 15.938073288|150.3496190986415 +00.7666208170026|  9.687 -16.279    |10.42    |~              |    ~     ~    |    1|  305.960   pc  |  -1.4135     +1.4135  |paral   |2020yCat.1350....0G
906 |TYC 3718-1704-1                                                                                          |Star                              |04 11 50.4387727872 +53 04 50.206887300|150.3798017831089 +01.2394978208688|  -7.102 -3.678    |10.28    |~              |    ~     ~    |    1|  432.432   pc  |  -2.8798     +2.8798  |paral   |2020yCat.1350....0G
907 |TYC 3719-211-1                                                                                           |Star                              |04 14 20.5880840112 +52 49 25.357000944|150.8303928665309 +01.3111776398496|   0.167 -2.768    |10.15    |~              |    ~     ~    |    1| 1150.219   pc  | -20.1096    +20.1096  |paral   |2020yCat.1350....0G
908 |TYC 3719-481-1                                                                                           |Spectroscopic Binary              |04 13 56.2253362752 +53 00 28.148778576|150.6591737877464 +01.4025187784570|  7.012 -25.765    |10.57    |~              |    ~     ~    |    1|  269.906   pc  |  -1.1146     +1.1146  |paral   |2020yCat.1350....0G
909 |NGC 1528 108                       BD+50 937                                                             |Star                              |04 14 55.2066589200 +51 10 42.275550936|152.0296478067656 +00.1811447240543|   2.157 -2.239    |10.00    |~              |    ~     ~    |    1|  988.045   pc  | -14.4482    +14.4482  |paral   |2020yCat.1350....0G
910 |BD+62 635                                                                                                |Eclipsing Binary                  |04 00 10.3737502704 +62 46 00.028159824|142.7168233516119 +07.3907768963751| 18.174 -44.532    |8.96     |K0             |    ~     ~    |    1|  325.172   pc  |  -3.4787     +3.4787  |paral   |2020yCat.1350....0G
911 |BD+62 638                                                                                                |Star                              |04 01 12.3299740992 +63 07 35.997479976|142.5661504792930 +07.7387281725383|  -13.978 3.983    |9.79     |F8             |    ~     ~    |    1|  213.579   pc  |  -1.0172     +1.0172  |paral   |2020yCat.1350....0G
912 |HD 24895                                                                                                 |Star                              |04 01 13.9782602424 +62 38 17.820910644|142.8943354810353 +07.3744689814384|   0.111 -8.012    |8.46     |K0             |    ~     ~    |    1|  546.359   pc  |  -6.0000     +6.0000  |paral   |2020yCat.1350....0G
913 |TYC 4068-1654-1                                                                                          |Star                              |04 01 58.4784880272 +62 30 41.964879312|143.0433998249434 +07.3361073506019|  -0.735 -0.726    |10.42    |~              |    ~     ~    |    1| 1002.808   pc  | -14.5815    +14.5815  |paral   |2020yCat.1350....0G
914 |HD 25090                                                                                                 |Double or Multiple Star           |04 02 55.1461730616 +62 25 16.723895520|143.1861702348303 +07.3410755470638|   0.011 -0.466    |7.34     |B0.5III        |0.0067  0.0    |    0|                |                       |        |                   
915 |BD+61 662                                                                                                |Double or Multiple Star           |04 03 45.4169772216 +62 12 06.348737448|143.4068459374950 +07.2422769660305|41.844 -110.117    |9.82     |G5             |    ~     ~    |    1|  102.903   pc  |  -0.3431     +0.3431  |paral   |2020yCat.1350....0G
916 |HD 25290                                                                                                 |Star                              |04 04 53.3479170192 +62 19 20.429781852|143.4241994275178 +07.4200337645819|  -8.369 -1.997    |7.69     |F5             |    ~     ~    |    1|  103.760   pc  |  -0.2110     +0.2110  |paral   |2020yCat.1350....0G
917 |BD+61 666                                                                                                |Star                              |04 05 49.5876790872 +62 10 24.808942956|143.6065044690652 +07.3831667662398|    2.515 3.390    |9.02     |F5             |    ~     ~    |    1|  267.137   pc  |  -1.1132     +1.1132  |paral   |2020yCat.1350....0G
918 |** ES 122B                                                                                               |Star                              |04 05 48.7976947704 +62 10 22.826728776|143.6057324006396 +07.3817253046241|    1.943 3.854    |10.9     |~              |    ~     ~    |    1|  264.718   pc  |  -1.3945     +1.3945  |paral   |2020yCat.1350....0G
919 |HD 24851                                                                                                 |Star                              |04 00 42.0107230272 +62 04 00.921008856|143.2276162600828 +06.9044544700128|    0.752 0.457    |9.64     |F              |    ~     ~    |    1|  841.822   pc  | -14.0315    +14.0315  |paral   |2020yCat.1350....0G
920 |HD 24866                                                                                                 |Star                              |04 00 46.7449688568 +61 41 00.008050992|143.4891840454333 +06.6220421375117| 10.077 -13.307    |9.33     |A0             |    ~     ~    |    1|  317.925   pc  |  -2.1731     +2.1731  |paral   |2020yCat.1350....0G
921 |HD 25443                                                                                                 |Star                              |04 06 08.0655259656 +62 06 06.607649268|143.6820312419589 +07.3543858246904|  -1.522 -1.535    |6.766    |B0.5III        |    ~     ~    |    1| 1139.471   pc  | -81.5392    +81.5392  |paral   |2020yCat.1350....0G
922 |V* UV Cam                                                                                                |Carbon Star                       |04 05 53.8499371056 +61 47 39.974061552|143.8699367776985 +07.1083765474264|    0.049 2.027    |7.60     |C-J4           |    ~     ~    |    1|  839.419   pc  | -13.1765    +13.1765  |paral   |2020yCat.1350....0G
923 |BD+61 663                                                                                                |Star                              |04 04 19.9640404344 +61 45 48.312816048|143.7526646996895 +06.9612889600568|   0.401 -1.226    |10.97    |~              |    ~     ~    |    1|  727.379   pc  |  -9.9996     +9.9996  |paral   |2020yCat.1350....0G
924 |BD+61 664                                                                                                |Star                              |04 04 41.2288965216 +61 46 22.599798420|143.7776243973370 +06.9964119287026|  -5.645 -8.619    |10.55    |~              |    ~     ~    |    1|  340.044   pc  |  -3.4111     +3.4111  |paral   |2020yCat.1350....0G
925 |BD+61 672                                                                                                |Star                              |04 07 11.3279025624 +61 49 29.692430220|143.9626645421915 +07.2337621902223| -0.072 -12.190    |9.83     |~              |    ~     ~    |    1|  334.896   pc  |  -8.5911     +8.5911  |paral   |2020yCat.1350....0G
926 |Cl* NGC 1502 DH 15                                                                                       |Star                              |04 03 11.3868510336 +61 43 04.638331632|143.6816897577012 +06.8371732376476|   -2.564 2.797    |10.92    |~              |    ~     ~    |    1|  682.175   pc  |  -8.3300     +8.3300  |paral   |2020yCat.1350....0G
927 |Cl* NGC 1502 DH 18                                                                                       |Star                              |04 03 26.7049514424 +62 39 17.392405572|143.0748415935503 +07.5556041429438|  -0.389 -5.715    |10.56    |~              |    ~     ~    |    1|  633.714   pc  | -15.4212    +15.4212  |paral   |2020yCat.1350....0G
928 |BD+62 636                                                                                                |Star                              |04 00 17.6970301035 +62 56 33.638662415|142.6104877292941 +07.5323899936117|      0.30 2.50    |10.48    |~              |    ~     ~    |    0|                |                       |        |                   
929 |BD+61 658                                                                                                |Star                              |04 02 22.5066625992 +62 05 50.999761932|143.3553992873989 +07.0570458985695|   29.667 2.373    |10.13    |~              |    ~     ~    |    1|   68.309   pc  |  -0.0621     +0.0621  |paral   |2020yCat.1350....0G
930 |Cl* NGC 1502 DH 46                                                                                       |Star                              |04 07 20.0057169960 +62 00 21.545983476|143.8517610775506 +07.3785917200395|  -0.666 -0.952    |10.22    |~              |    ~     ~    |    1| 1024.066   pc  | -20.4498    +20.4498  |paral   |2020yCat.1350....0G
931 |BD+62 637                                                                                                |Star                              |04 00 33.2868288816 +62 36 18.903351924|142.8572730333712 +07.2981864480351|  -2.965 -1.192    |9.88     |~              |    ~     ~    |    1|  708.868   pc  | -15.4768    +15.4768  |paral   |2020yCat.1350....0G
932 |Cl* NGC 1502 DH 7                                                                                        |Star                              |04 01 19.8680785872 +61 57 29.785950396|143.3558532410993 +06.8716556598286| 25.867 -36.483    |10.95    |~              |    ~     ~    |    1|  235.416   pc  |  -0.7925     +0.7925  |paral   |2020yCat.1350....0G
933 |Cl* NGC 1502 DH 12                                                                                       |Star                              |04 02 49.0611727344 +62 28 15.794857488|143.1439702138900 +07.3704040928425|  -0.718 -1.055    |10.46    |~              |    ~     ~    |    1| 1027.538   pc  | -16.8934    +16.8934  |paral   |2020yCat.1350....0G
934 |BD+61 659                                                                                                |Star                              |04 03 17.8883775840 +62 13 03.098303688|143.3560808008828 +07.2183566324865|   -2.557 0.256    |10.32    |~              |    ~     ~    |    1|  649.899   pc  | -10.2636    +10.2636  |paral   |2020yCat.1350....0G
935 |BD+61 661                                                                                                |Star                              |04 03 31.8909562032 +62 11 01.411418832|143.3992379451024 +07.2112990329573|   2.375 -8.470    |10.58    |~              |    ~     ~    |    1|  280.355   pc  |  -1.2340     +1.2340  |paral   |2020yCat.1350....0G
936 |Cl* NGC 1502 DH 23                                                                                       |Pulsating Variable                |04 04 20.8568986008 +62 25 59.718866376|143.3022599063543 +07.4603030188005|   -2.702 1.401    |10.80    |~              |    ~     ~    |    1|  655.351   pc  | -12.3262    +12.3262  |paral   |2020yCat.1350....0G
937 |Cl* NGC 1502 DH 30                                                                                       |Star                              |04 05 00.2659858872 +61 54 09.825626808|143.7179901282902 +07.1178330940392|   2.676 -3.505    |10.95    |~              |    ~     ~    |    1|  933.445   pc  | -15.5095    +15.5095  |paral   |2020yCat.1350....0G
938 |Cl* NGC 1502 DH 9                                                                                        |Star                              |04 01 43.7470175064 +62 29 42.443439828|143.0330474766346 +07.3049455737625|  -17.614 9.792    |10.97    |~              |    ~     ~    |    1|  322.977   pc  |  -1.3769     +1.3769  |paral   |2020yCat.1350....0G
939 |Cl* NGC 1502 DH 31                                                                                       |Star                              |04 05 04.1849687712 +62 24 59.140761084|143.3761806318916 +07.5038422703123|   0.875 -4.116    |10.65    |~              |    ~     ~    |    1|  673.129   pc  | -11.1010    +11.1010  |paral   |2020yCat.1350....0G
940 |BD+61 656                                                                                                |Star                              |04 01 32.1483070824 +61 54 09.558808416|143.4110751365612 +06.8458264783101| -4.188 -20.114    |10.39    |~              |    ~     ~    |    1|  197.449   pc  |  -0.5965     +0.5965  |paral   |2020yCat.1350....0G
941 |Cl* NGC 1502 DH 17                                                                                       |Star                              |04 03 23.9006816208 +62 21 53.763475176|143.2657864412052 +07.3360097324140|   -1.291 2.219    |10.03    |~              |    ~     ~    |    1|  613.083   pc  | -12.3662    +12.3662  |paral   |2020yCat.1350....0G
942 |TYC 4064-1388-1                                                                                          |Star                              |04 00 30.1589578008 +61 24 27.906985944|143.6468349066931 +06.3929220886491|  -4.846 -0.581    |10.51    |~              |    ~     ~    |    1|  248.034   pc  |  -0.9474     +0.9474  |paral   |2020yCat.1350....0G
943 |TYC 4064-1411-1                                                                                          |Star                              |04 00 10.9636798968 +61 46 15.370043880|143.3776176267257 +06.6415315465006|   -8.993 3.523    |10.49    |~              |    ~     ~    |    1|  564.940   pc  |  -4.6597     +4.6597  |paral   |2020yCat.1350....0G
944 |TYC 4068-1000-1                                                                                          |Star                              |04 06 25.9763512608 +61 57 54.900689256|143.8009344902687 +07.2771096543947|   4.407 -3.539    |10.12    |~              |    ~     ~    |    1|  619.272   pc  |  -5.2156     +5.2156  |paral   |2020yCat.1350....0G
945 |TYC 4068-1138-1                                                                                          |Star                              |04 01 42.9459150624 +62 56 52.180918548|142.7293843509235 +07.6430183544129|  -2.952 -2.709    |10.73    |~              |    ~     ~    |    1|  487.448   pc  |  -3.3978     +3.3978  |paral   |2020yCat.1350....0G
946 |TYC 4068-1240-1                                                                                          |Star                              |04 00 03.2745792576 +62 02 29.639041476|143.1870620974056 +06.8355855156188|    0.028 2.930    |10.9     |~              |    ~     ~    |    1|  412.899   pc  |  -2.0288     +2.0288  |paral   |2020yCat.1350....0G
947 |TYC 4068-1385-1                                                                                          |Star                              |04 00 58.2605831232 +62 48 15.836642352|142.7609144222230 +07.4793094635592|   -1.689 0.171    |10.88    |~              |    ~     ~    |    1|  646.371   pc  |  -6.4758     +6.4758  |paral   |2020yCat.1350....0G
948 |TYC 4068-1490-1                                                                                          |Star                              |04 05 21.3873370656 +62 07 43.578353460|143.5959106054173 +07.3131075831067|  11.661 -8.538    |9.93     |~              |    ~     ~    |    1|  693.193   pc  | -16.5298    +16.5298  |paral   |2020yCat.1350....0G
949 |HD 24852                                                                                                 |Star                              |04 00 24.3349126944 +59 32 14.789042232|144.8723472106993 +04.9747774009662| 21.927 -35.689    |9.10     |F0             |    ~     ~    |    1|  204.717   pc  |  -0.5532     +0.5532  |paral   |2020yCat.1350....0G
950 |BD+58 678                                                                                                |Star                              |04 00 36.0994947480 +59 17 23.250548940|145.0543157913127 +04.8042474439631|  -2.349 -8.874    |10.25    |F0             |    ~     ~    |    1|  427.131   pc  |  -2.4265     +2.4265  |paral   |2020yCat.1350....0G
951 |HD 24896                                                                                                 |Star                              |04 00 43.2980804016 +59 17 06.237595248|145.0690260583058 +04.8107382950919|  5.877 -20.667    |9.06     |A0             |    ~     ~    |    1|  320.174   pc  |  -1.5992     +1.5992  |paral   |2020yCat.1350....0G
952 |BD+58 681                                                                                                |Star                              |04 01 28.0222245912 +58 31 49.503254232|145.6394176033775 +04.3053034177483| 14.889 -33.347    |9.96     |G2V            |    ~     ~    |    1|  201.001   pc  |  -0.6181     +0.6181  |paral   |2020yCat.1350....0G
953 |BD+58 682                                                                                                |Spectroscopic Binary              |04 01 49.6223003304 +58 34 27.517055448|145.6458613248065 +04.3692568916477|  4.997 -89.657    |10.48    |G5IV           |    ~     ~    |    1|  117.371   pc  |  -0.2948     +0.2948  |paral   |2020yCat.1350....0G
954 |HD 237207                                                                                                |Star                              |04 02 46.1144810832 +59 06 48.692225016|145.3802460524209 +04.8545277646115|   -2.073 0.617    |9.46     |B9             |    ~     ~    |    1|  638.366   pc  |  -8.3540     +8.3540  |paral   |2020yCat.1350....0G
955 |HD 25132                                                                                                 |Star                              |04 02 43.7190905184 +58 56 57.497067312|145.4854633244209 +04.7280309706089|  -2.666 -0.156    |7.55     |B3V            |    ~     ~    |    1|  702.297   pc  | -15.5858    +15.5858  |paral   |2020yCat.1350....0G
956 |HD 25140                                                                                                 |Variable Star                     |04 02 52.8461171832 +58 55 28.103779020|145.5167149934077 +04.7224094047081|    1.846 1.058    |8.20     |K0             |    ~     ~    |    1| 1074.345   pc  | -22.8535    +22.8535  |paral   |2020yCat.1350....0G
957 |V* RX Cam                                                                                                |Classical Cepheid Variable        |04 04 58.4626302312 +58 39 35.218829196|145.8965569713816 +04.7050283560548|  -0.205 -0.428    |7.70     |G2Ib+A0V       |    ~     ~    |    1| 1584.033   pc  |-107.8939   +107.8939  |paral   |2020yCat.1350....0G
958 |BD+61 671                                                                                                |Star                              |04 06 52.3825469112 +61 35 59.955023652|144.0880905667130 +07.0427050349004| -13.109 11.191    |8.76     |F8             |    ~     ~    |    1|  258.018   pc  |  -0.9187     +0.9187  |paral   |2020yCat.1350....0G
959 |BD+61 674                                                                                                |Star                              |04 07 18.1348635336 +61 31 03.650753856|144.1820896957688 +07.0165821630199|   -7.498 2.135    |9.15     |K2             |    ~     ~    |    1|  640.615   pc  |  -7.0176     +7.0176  |paral   |2020yCat.1350....0G
960 |BD+61 677                                                                                                |Star                              |04 07 57.8930438448 +61 40 39.303130440|144.1313514795804 +07.1875882838499|  6.620 -10.206    |9.60     |A2             |    ~     ~    |    1|  535.074   pc  |  -4.0655     +4.0655  |paral   |2020yCat.1350....0G
961 |BD+60 772                                                                                                |High Proper Motion Star           |04 01 17.7399183960 +60 27 31.242501360|144.3481689750390 +05.7420406818855| 41.022 -33.463    |9.48     |F8             |    ~     ~    |    1|  148.306   pc  |  -0.2947     +0.2947  |paral   |2020yCat.1350....0G
962 |HD 25029                                                                                                 |Star                              |04 01 58.7114355120 +60 45 23.020903584|144.2138520603434 +06.0209728077420| -32.198 32.408    |8.91     |F8             |    ~     ~    |    1|   97.504   pc  |  -0.1521     +0.1521  |paral   |2020yCat.1350....0G
963 |HD 25055                                                                                                 |Star                              |04 02 16.6363548216 +60 41 36.046674420|144.2833335391613 +05.9978597061487|   4.050 -6.170    |9.24     |A0             |    ~     ~    |    1|  412.916   pc  |  -2.6086     +2.6086  |paral   |2020yCat.1350....0G
964 |BD+60 775                                                                                                |High Proper Motion Star           |04 02 59.5234908912 +60 43 37.883436780|144.3265842283454 +06.0811557886331| -44.061 32.696    |9.39     |G5             |    ~     ~    |    1|  100.000   pc  |  -0.1370     +0.1370  |paral   |2020yCat.1350....0G
965 |LS V +60 5                                                                                               |Star                              |04 04 03.2759019144 +60 16 58.539467496|144.7218969761729 +05.8364419656955|  -0.575 -0.742    |10.17    |OB-            |    ~     ~    |    1| 1460.280   pc  | -36.4644    +36.4644  |paral   |2020yCat.1350....0G
966 |HD 25474                                                                                                 |Star                              |04 06 21.1124861016 +61 02 25.348182648|144.4216463059138 +06.5873106021051|  -1.910 -0.772    |9.39     |A              |    ~     ~    |    1|  632.191   pc  |  -5.8751     +5.8751  |paral   |2020yCat.1350....0G
967 |NGC 1501                           NGC 1501                                                              |Planetary Nebula                  |04 06 59.3920909320 +60 55 14.278542024|144.5604290731865 +06.5510318417991|   2.143 -5.261    |13.0     |[WO4]          |0.863 0.863    |    1|    1.177   kpc |  -0.236      +0.236   |        |2010ApJ...714.1096S
968 |HD 25734                                                                                                 |Star                              |04 08 24.2176276536 +60 52 36.027347700|144.7177638432023 +06.6350147781690|  -2.594 -2.041    |7.45     |B9             |    ~     ~    |    1|  563.507   pc  |  -7.9068     +7.9068  |paral   |2020yCat.1350....0G
969 |BD+60 783                                                                                                |Star                              |04 09 54.7947180384 +60 33 17.243478684|145.0744273999568 +06.5247925525887|  -0.101 -0.662    |10.66    |A0             |    ~     ~    |    1|  825.559   pc  |  -9.6780     +9.6780  |paral   |2020yCat.1350....0G
970 |BD+59 745                                                                                                |Star                              |04 02 41.7955584744 +60 20 55.868492652|144.5515888157336 +05.7739553220463|   11.369 8.024    |10.68    |A0             |    ~     ~    |    1|  298.900   pc  |  -1.3848     +1.3848  |paral   |2020yCat.1350....0G
971 |HD 25640                                                                                                 |Star                              |04 07 31.8120426648 +60 08 37.205861568|145.1375915720904 +06.0228558843210|-12.110 -19.342    |8.71     |A2             |    ~     ~    |    1|  253.094   pc  |  -1.2427     +1.2427  |paral   |2020yCat.1350....0G
972 |2MASS J04073200+6008317                                                                                  |Eclipsing Binary                  |04 07 31.9997487864 +60 08 31.617921948|145.1389347815342 +06.0219746382320|-12.329 -19.415    |10.6     |~              |    ~     ~    |    1|  255.905   pc  |  -0.8382     +0.8382  |paral   |2020yCat.1350....0G
973 |BD+59 763a                                                                                               |Star                              |04 10 28.2518059560 +60 09 26.223090624|145.3982771622050 +06.2815012025735| 23.023 -27.961    |9.54     |F0             |    ~     ~    |    1|  275.156   pc  |  -4.4064     +4.4064  |paral   |2020yCat.1350....0G
974 |HD 25993                                                                                                 |Star                              |04 10 27.7251497760 +60 09 23.771156904|145.3979434878736 +06.2802576894034| 22.317 -27.584    |9.29     |F0             |    ~     ~    |    1|  267.494   pc  |  -1.1806     +1.1806  |paral   |2020yCat.1350....0G
975 |HD 237224                                                                                                |Double or Multiple Star           |04 10 45.326472 +60 21 57.49920        |145.280568793 +06.457885143        |     -3.8 -15.2    |9.418    |G5             |    ~     ~    |    0|                |                       |        |                   
976 |HD 26061                                                                                                 |Star                              |04 11 09.1977959160 +60 23 45.325319784|145.2959683946964 +06.5133783994308|  -14.275 4.622    |9.16     |K2             |    ~     ~    |    1|  428.798   pc  |  -2.9970     +2.9970  |paral   |2020yCat.1350....0G
977 |HD 26077                                                                                                 |Star                              |04 11 05.3977496856 +60 10 24.864424644|145.4435555871845 +06.3460690288276| -11.751 -5.972    |8.74     |A0             |    ~     ~    |    1|  294.334   pc  |  -3.8638     +3.8638  |paral   |2020yCat.1350....0G
978 |HD 26250                                                                                                 |Star                              |04 12 41.5072912080 +60 10 28.484690916|145.5884645261791 +06.4836719178122|   3.039 -6.763    |9.20     |A0             |    ~     ~    |    1|  335.098   pc  |  -3.1778     +3.1778  |paral   |2020yCat.1350....0G
979 |BD+59 746                                                                                                |Star                              |04 02 51.6617167896 +59 56 04.596567720|144.8429039938767 +05.4773636301839|  34.615 32.449    |9.97     |G0             |    ~     ~    |    1|  112.020   pc  |  -0.2133     +0.2133  |paral   |2020yCat.1350....0G
980 |HD 237209                                                                                                |Star                              |04 03 09.0472131936 +59 24 54.322395372|145.2163684715518 +05.1127379072983| 17.789 -12.829    |9.61     |F0             |    ~     ~    |    1|  214.578   pc  |  -0.5525     +0.5525  |paral   |2020yCat.1350....0G
981 |HD 237216                                                                                                |High Proper Motion Star           |04 07 48.7469734344 +59 34 23.692136340|145.5513169048606 +05.6263338272457| 53.541 -74.470    |9.64     |K0             |    ~     ~    |    1|   78.856   pc  |  -0.0927     +0.0927  |paral   |2020yCat.1350....0G
982 |HD 237217                                                                                                |Star                              |04 07 56.8689601056 +59 47 38.036837580|145.4140230715152 +05.8004488294664|  -11.828 3.529    |9.89     |G5             |    ~     ~    |    1|  135.040   pc  |  -0.3100     +0.3100  |paral   |2020yCat.1350....0G
983 |HD 237220                                                                                                |High Proper Motion Star           |04 09 17.1238609344 +60 01 51.544430544|145.3761743628186 +06.0883638928633| 17.881 -54.221    |9.50     |F5             |    ~     ~    |    1|  189.696   pc  |  -1.1767     +1.1767  |paral   |2020yCat.1350....0G
984 |HD 25877                                                                                                 |Star                              |04 09 27.5710891104 +59 54 29.052740304|145.4763259553218 +06.0131067579959|  -4.331 -2.204    |6.295    |G7II           |    ~     ~    |    1|  378.659   pc  |  -2.5809     +2.5809  |paral   |2020yCat.1350....0G
985 |HD 237223                                                                                                |Star                              |04 10 18.7900825056 +59 27 27.854029404|145.8640988758204 +05.7569473706094|   9.907 -4.844    |8.95     |K5             |    ~     ~    |    1|  432.414   pc  |  -3.6835     +3.6835  |paral   |2020yCat.1350....0G
986 |HD 26112                                                                                                 |Star                              |04 11 21.1864798273 +60 04 56.012459022|145.5305538433012 +06.3020104811506|  -5.711 -1.919    |8.05     |A0             |    ~     ~    |    1|  243.108   pc  |  -1.6134     +1.6134  |paral   |2020yCat.1350....0G
987 |BD+59 768                                                                                                |Star                              |04 12 24.5991953208 +60 06 40.114782900|145.6068590889005 +06.4135280904693|  3.151 -11.180    |10.45    |K0             |    ~     ~    |    1| 1001.101   pc  | -31.8701    +31.8701  |paral   |2020yCat.1350....0G
988 |HD 26251                                                                                                 |Star                              |04 12 33.0227599296 +59 26 53.781920556|146.0787134191567 +05.9448668424854|   -0.656 0.927    |8.51     |A0             |    ~     ~    |    1|  764.351   pc  | -22.0840    +22.0840  |paral   |2020yCat.1350....0G
989 |HD 237227                                                                                                |Spectroscopic Binary              |04 13 03.2486898408 +59 26 01.239919872|146.1354893313384 +05.9783982842117| 17.664 -82.676    |9.12     |G5             |    ~     ~    |    1|   91.993   pc  |  -0.5949     +0.5949  |paral   |2020yCat.1350....0G
990 |HD 237229                                                                                                |Star                              |04 13 30.9931567200 +59 39 11.119338144|146.0258262019400 +06.1776056252983|   0.925 -2.508    |9.65     |A0             |    ~     ~    |    1|  482.137   pc  | -22.7342    +22.7342  |paral   |2020yCat.1350....0G
991 |HD 26378                                                                                                 |Star                              |04 13 44.9608413648 +59 41 17.139028668|146.0228471773868 +06.2232159665367|  3.779 -17.982    |10.22    |A              |    ~     ~    |    1|  271.393   pc  |  -1.2227     +1.2227  |paral   |2020yCat.1350....0G
992 |HD 237235                                                                                                |Star                              |04 14 20.1969879624 +59 49 08.936601924|145.9852361960926 +06.3689797575068| -5.688 -12.209    |9.22     |K2             |    ~     ~    |    1|  441.540   pc  |  -2.6514     +2.6514  |paral   |2020yCat.1350....0G
993 |HD 25291                                                                                                 |Star                              |04 04 27.1629402984 +59 09 19.832668272|145.5143064384228 +05.0293996973226|   -3.380 1.027    |5.12     |F0II           |    ~     ~    |    1|  642.756   pc  | -43.2553    +43.2553  |paral   |2020yCat.1350....0G
994 |BD+58 691                                                                                                |Star                              |04 04 29.4471461232 +59 08 18.213599904|145.5294130242792 +05.0198951340886|   -2.183 1.332    |10.2     |K0             |    ~     ~    |    1|  706.364   pc  |  -8.5321     +8.5321  |paral   |2020yCat.1350....0G
995 |HD 25484                                                                                                 |Star                              |04 06 12.7349150832 +59 17 33.843985296|145.5901039187744 +05.2819715274086|  -1.350 -0.348    |7.90     |K0             |    ~     ~    |    1|  392.341   pc  |  -2.9709     +2.9709  |paral   |2020yCat.1350....0G
996 |HD 25506                                                                                                 |Star                              |04 06 23.5571630400 +59 16 06.506639796|145.6236063514977 +05.2794683491727|-19.205 -30.042    |8.83     |F0             |    ~     ~    |    1|  109.851   pc  |  -0.1919     +0.1919  |paral   |2020yCat.1350....0G
997 |BD+58 705                                                                                                |Star                              |04 08 13.7797563576 +59 05 01.942364364|145.9231376397132 +05.3018005275972|  7.901 -12.143    |10.09    |G5             |    ~     ~    |    1|  582.377   pc  |  -5.5623     +5.5623  |paral   |2020yCat.1350....0G
998 |BD+58 707                                                                                                |Variable Star                     |04 09 19.5562850256 +59 12 34.634543868|145.9412538206111 +05.4895303266686|   3.076 -8.216    |10.4     |M3             |    ~     ~    |    1| 1036.699   pc  | -35.1442    +35.1442  |paral   |2020yCat.1350....0G
999 |ADS 2994 AB                                                                                              |Double or Multiple Star           |04 08 29.50 +59 52 23.6                |145.41056 +05.90508                |            ~ ~    |10.4     |~              |    ~     ~    |    0|                |                       |        |                   
1000|BD+60 781                                                                                                |High Proper Motion Star           |04 08 29.2142233704 +61 01 35.891437332|144.6227336282216 +06.7519883293256|-32.114 -53.321    |10.12    |~              |    ~     ~    |    1|  156.130   pc  |  -1.1360     +1.1360  |paral   |2020yCat.1350....0G
1001|BD+60 777                                                                                                |Star                              |04 04 44.0589429168 +61 05 38.561659440|144.2394158180596 +06.4957832466833|-23.645 -39.061    |10.55    |~              |    ~     ~    |    1|  165.317   pc  |  -0.4509     +0.4509  |paral   |2020yCat.1350....0G
1002|BD+60 778                                                                                                |High Proper Motion Star           |04 04 51.4523338008 +60 41 05.950674672|144.5259771797164 +06.2017756818662| 52.238 -75.129    |10.60    |~              |    ~     ~    |    1|  188.129   pc  |  -0.4530     +0.4530  |paral   |2020yCat.1350....0G
1003|BD+60 776                                                                                                |Star                              |04 03 43.8845320320 +61 07 25.495514904|144.1286996218288 +06.4370121440295|  -0.247 -0.565    |10.77    |~              |    ~     ~    |    1|  830.427   pc  |  -8.8960     +8.8960  |paral   |2020yCat.1350....0G
1004|BD+60 771                                                                                                |High Proper Motion Star           |04 00 48.3238379496 +61 04 24.412062720|143.8957386192747 +06.1651647303213| -27.775 52.741    |10.22    |~              |    ~     ~    |    1|  166.497   pc  |  -0.5433     +0.5433  |paral   |2020yCat.1350....0G
1005|HD 25427                                                                                                 |Star                              |04 05 58.4812395312 +61 37 57.952679988|143.9863764827370 +06.9949402717316|  -8.917 -3.496    |7.91     |A0             |    ~     ~    |    1|  210.615   pc  |  -1.1045     +1.1045  |paral   |2020yCat.1350....0G
1006|BD+61 657                                                                                                |Star                              |04 01 48.4713 +61 24 26.151            |143.7652785 +06.4955577            |   7.285 14.702    |9.99     |~              |    ~     ~    |    0|                |                       |        |                   
1007|TYC 3730-144-1                                                                                           |Star                              |04 12 42.1564206552 +59 27 45.468367236|146.0828793462509 +05.9685951647889|  -5.366 -4.248    |10.83    |~              |    ~     ~    |    1|  678.610   pc  |  -9.9010     +9.9010  |paral   |2020yCat.1350....0G
