C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:40:54

dec >=0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4166

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |TYC 2885-2057-1                                                                                          |Star                              |04 03 01.0779749952 +41 45 32.786788680|156.9224098407482 -08.1315107498764|   -1.457 2.864    |10.17    |~              |    ~     ~    |    1|  667.379   pc  |  -7.3490     +7.3490  |paral   |2020yCat.1350....0G
24  |TYC 2885-2115-1                                                                                          |Star                              |04 00 33.9390633744 +42 06 07.062369840|156.3478928128243 -08.1778542557177|       4.7 -8.9    |10.983   |~              |    ~     ~    |    0|                |                       |        |                   
25  |TYC 2885-2214-1                                                                                          |Star                              |04 04 57.7405630248 +41 49 38.260491600|157.1482247983132 -07.8382843024708| -3.901 -10.126    |10.62    |~              |    ~     ~    |    1|  424.340   pc  |  -3.2592     +3.2592  |paral   |2020yCat.1350....0G
26  |HD 25196                                                                                                 |Star                              |04 02 09.5205505032 +45 53 08.405525436|154.0480260981057 -05.1477545593965|  8.978 -15.863    |10.09    |A3             |    ~     ~    |    1|  337.234   pc  |  -2.9683     +2.9683  |paral   |2020yCat.1350....0G
27  |HD 25197                                                                                                 |Star                              |04 02 09.5656011384 +45 44 03.399010620|154.1485749687534 -05.2612987349896|  -7.058 -3.202    |8.70     |F2             |    ~     ~    |    1|  258.311   pc  |  -1.4212     +1.4212  |paral   |2020yCat.1350....0G
28  |HD 25237                                                                                                 |Double or Multiple Star           |04 02 27.21091 +46 00 45.2669          |154.00241226 -05.01865224          |     3.79 -9.55    |9.832    |F5             |    ~     ~    |    0|                |                       |        |                   
29  |HD 24968                                                                                                 |Star                              |04 00 00.0940751808 +44 32 43.933250616|154.6478030814513 -06.4063915747118| 25.375 -30.306    |9.88     |F8             |    ~     ~    |    1|  152.683   pc  |  -0.5688     +0.5688  |paral   |2020yCat.1350....0G
30  |HD 25032                                                                                                 |Star                              |04 00 32.0162908320 +44 35 26.588329944|154.6897972305180 -06.3100660841020|  -2.285 -6.606    |10.40    |A3             |    ~     ~    |    1|  367.674   pc  |  -2.4739     +2.4739  |paral   |2020yCat.1350....0G
31  |HD 25039                                                                                                 |Star                              |04 00 36.2123680560 +44 25 48.321571044|154.8055852966903 -06.4228282888309|  -2.303 -2.231    |10.31    |A0             |    ~     ~    |    1|  667.824   pc  | -15.3420    +15.3420  |paral   |2020yCat.1350....0G
32  |HD 25075                                                                                                 |Star                              |04 00 58.5408486696 +44 25 52.984971336|154.8550350371058 -06.3781005862871|    7.492 0.392    |8.64     |G5             |    ~     ~    |    1|  330.568   pc  |  -2.5024     +2.5024  |paral   |2020yCat.1350....0G
33  |HD 25134                                                                                                 |Star                              |04 01 32.7284238864 +44 44 46.208798772|154.7228748117021 -06.0745883753799|  -0.487 -1.141    |9.63     |A2             |    ~     ~    |    1| 1180.777   pc  | -36.9472    +36.9472  |paral   |2020yCat.1350....0G
34  |HD 25151                                                                                                 |Star                              |04 01 46.0787918016 +44 32 55.537007928|154.8839040265332 -06.1966631933844| -20.056 -0.686    |8.81     |A3             |    ~     ~    |    1|  159.279   pc  |  -0.5150     +0.5150  |paral   |2020yCat.1350....0G
35  |HD 25183                                                                                                 |Star                              |04 02 00.7103688888 +44 32 45.372003252|154.9185677377678 -06.1700537664925|   6.064 -7.367    |9.66     |G5             |    ~     ~    |    1|  451.080   pc  |  -3.2556     +3.2556  |paral   |2020yCat.1350....0G
36  |HD 25182                                                                                                 |Star                              |04 02 04.7388060888 +44 44 31.964718156|154.7970016420553 -06.0149571678587| 18.784 -19.031    |8.94     |K0             |    ~     ~    |    1|  357.347   pc  |  -2.1836     +2.1836  |paral   |2020yCat.1350....0G
37  |HD 25216                                                                                                 |Star                              |04 02 18.4818496680 +45 01 42.216892284|154.6372278369494 -05.7735295542524|  -1.256 -9.649    |10.39    |A              |    ~     ~    |    1|  561.640   pc  |  -8.9585     +8.9585  |paral   |2020yCat.1350....0G
38  |HD 25247                                                                                                 |Star                              |04 02 31.0347589968 +45 18 29.771137656|154.4788346544590 -05.5393376839679|  6.483 -37.796    |9.91     |G5             |    ~     ~    |    1|  189.272   pc  |  -0.8490     +0.8490  |paral   |2020yCat.1350....0G
39  |HD 25306                                                                                                 |Star                              |04 03 17.5967947320 +44 57 54.037631952|154.8105082499617 -05.7054858676962|  -16.256 5.491    |9.80     |G0             |    ~     ~    |    1|  188.779   pc  |  -0.5809     +0.5809  |paral   |2020yCat.1350....0G
40  |HD 25364                                                                                                 |Star                              |04 03 48.0571697472 +44 44 11.061466116|155.0308475643000 -05.8163724394117|  10.347 -9.026    |9.96     |K5             |    ~     ~    |    1|  779.241   pc  | -72.4409    +72.4409  |paral   |2020yCat.1350....0G
41  |HD 25430                                                                                                 |Star                              |04 04 19.2255487080 +45 04 30.786591324|154.8729353824795 -05.5024285788241| -10.748 -3.452    |9.51     |K5             |    ~     ~    |    1|  746.436   pc  | -11.4776    +11.4776  |paral   |2020yCat.1350....0G
42  |HD 25692                                                                                                 |Star                              |04 06 34.0189565736 +44 58 51.782897496|155.2324187738197 -05.3065985297825|  -2.453 -1.073    |9.51     |B9             |    ~     ~    |    1|  681.617   pc  |  -9.9425     +9.9425  |paral   |2020yCat.1350....0G
43  |HD 25719                                                                                                 |Star                              |04 06 45.7364078664 +44 40 51.286523628|155.4609576711424 -05.5053828758124|  9.324 -16.614    |10.48    |A              |    ~     ~    |    1|  406.736   pc  |  -2.8124     +2.8124  |paral   |2020yCat.1350....0G
44  |HD 25735                                                                                                 |Star                              |04 06 50.7440734560 +44 54 50.855099184|155.3142849541239 -05.3229372484056|  -4.930 -1.234    |9.58     |A0             |    ~     ~    |    1|  637.024   pc  |  -7.3450     +7.3450  |paral   |2020yCat.1350....0G
45  |HD 25736                                                                                                 |Pulsating Variable                |04 06 52.8148097210 +44 40 15.282190188|155.4833017142764 -05.4986593147866| 24.020 -22.731    |8.97     |B8             |    ~     ~    |    1|  678.979   pc  | -11.0182    +11.0182  |paral   |2020yCat.1350....0G
46  |HD 25767                                                                                                 |Star                              |04 07 04.6837196616 +44 39 19.938452076|155.5198217313155 -05.4863281417584|   10.849 3.508    |9.28     |K2             |    ~     ~    |    1|  690.226   pc  | -10.2429    +10.2429  |paral   |2020yCat.1350....0G
47  |HD 25832                                                                                                 |Star                              |04 07 40.4762394216 +44 50 23.187197364|155.4735473583138 -05.2788698187458|   1.168 -5.197    |9.59     |B9             |    ~     ~    |    1|  734.916   pc  | -10.3159    +10.3159  |paral   |2020yCat.1350....0G
48  |HD 25264                                                                                                 |Star                              |04 02 42.2193185424 +44 18 26.782806780|155.1705712823242 -06.2668830671297|  7.330 -20.236    |10.47    |A              |    ~     ~    |    1|  352.063   pc  |  -1.8220     +1.8220  |paral   |2020yCat.1350....0G
49  |HD 25517                                                                                                 |Star                              |04 05 07.8486875664 +44 16 41.663833392|155.5158205029167 -05.9991969873733|   0.341 -2.052    |9.25     |B1V            |    ~     ~    |    1| 2294.631   pc  |-100.5678   +100.5678  |paral   |2020yCat.1350....0G
50  |HD 25569                                                                                                 |Star                              |04 05 35.9054209680 +44 21 44.054849304|155.5216677885455 -05.8808034257121|  1.061 -33.467    |9.18     |K5             |    ~     ~    |    1|  495.712   pc  |  -5.3324     +5.3324  |paral   |2020yCat.1350....0G
51  |HD 25625                                                                                                 |Star                              |04 06 03.4321174920 +44 12 40.564965672|155.6847216810402 -05.9376201296142|  -3.952 -5.124    |9.25     |A0             |    ~     ~    |    1|  425.604   pc  |  -3.3148     +3.3148  |paral   |2020yCat.1350....0G
52  |HD 25747                                                                                                 |Star                              |04 06 55.7781836280 +44 13 35.891404932|155.7905820825734 -05.8210807452434|   2.460 -6.448    |10.35    |A2             |    ~     ~    |    1|  701.754   pc  |  -8.1748     +8.1748  |paral   |2020yCat.1350....0G
53  |HD 25941                                                                                                 |Star                              |04 08 28.4826157704 +44 22 01.563731832|155.9000226359079 -05.5307319199312|   -3.914 7.914    |9.24     |K0             |    ~     ~    |    1|  346.440   pc  |  -2.1124     +2.1124  |paral   |2020yCat.1350....0G
54  |HD 25076                                                                                                 |Star                              |04 01 00.3212174640 +43 54 48.835754820|155.2027316751152 -06.7639188159350|  -2.006 -5.011    |9.82     |K2             |    ~     ~    |    1|  520.129   pc  |  -4.4368     +4.4368  |paral   |2020yCat.1350....0G
55  |HD 25198                                                                                                 |Star                              |04 02 03.5971077528 +44 03 02.817733644|155.2547793375324 -06.5355639528805|   1.144 -9.985    |9.51     |K0             |    ~     ~    |    1|  414.628   pc  |  -2.6991     +2.6991  |paral   |2020yCat.1350....0G
56  |HD 25270                                                                                                 |Star                              |04 02 48.8185207632 +44 05 38.220985824|155.3279681696051 -06.4134936142410|   1.124 -1.069    |9.06     |A0             |    ~     ~    |    1|  572.803   pc  |  -6.5293     +6.5293  |paral   |2020yCat.1350....0G
57  |HD 25365                                                                                                 |Pulsating Variable                |04 03 40.5027646320 +44 01 26.561734644|155.4910454445987 -06.3627854835438|  7.744 -11.578    |9.69     |A0             |    ~     ~    |    1|  689.085   pc  | -10.2565    +10.2565  |paral   |2020yCat.1350....0G
58  |HD 25389                                                                                                 |Star                              |04 03 59.1045856320 +43 59 19.494062736|155.5565338498001 -06.3519424473081| -21.196 -0.713    |7.71     |A3             |    ~     ~    |    1|  138.324   pc  |  -0.5204     +0.5204  |paral   |2020yCat.1350....0G
59  |BD+43 878                                                                                                |Star                              |04 03 07.4680 +44 15 55.875            |155.2552221 -06.2482230            | 11.569 -23.250    |10.26    |~              |    ~     ~    |    0|                |                       |        |                   
60  |HD 25010                                                                                                 |Star                              |04 00 23.6169552000 +46 28 40.691849484|153.4257506745506 -04.9029995514475|   2.493 -5.393    |10.35    |B8IV-VSi       |    ~     ~    |    1|  650.703   pc  |  -9.3151     +9.3151  |paral   |2020yCat.1350....0G
61  |TYC 2889-319-1                                                                                           |Star                              |04 00 18.8012155416 +44 07 39.859698936|154.9664342184158 -06.6847027726206| 13.933 -33.233    |10.83    |~              |    ~     ~    |    1|  165.224   pc  |  -0.4341     +0.4341  |paral   |2020yCat.1350....0G
62  |TYC 2889-509-1                                                                                           |Star                              |04 00 23.2655053032 +43 45 00.434466468|155.2268254129056 -06.9602535846044| 12.405 -23.346    |10.31    |~              |    ~     ~    |    1|  262.020   pc  |  -1.4692     +1.4692  |paral   |2020yCat.1350....0G
63  |TYC 2889-528-1                                                                                           |Star                              |04 02 43.6865400408 +44 55 23.755545120|154.7631610736843 -05.8030804634183|  11.938 12.213    |10.34    |~              |    ~     ~    |    1|  270.856   pc  |  -3.3233     +3.3233  |paral   |2020yCat.1350....0G
64  |TYC 2889-578-1                                                                                           |Star                              |04 02 31.4701698360 +44 49 34.513513896|154.8006365033723 -05.8996340751423|   0.734 -2.928    |10.54    |~              |    ~     ~    |    1| 1603.078   pc  | -52.4251    +52.4251  |paral   |2020yCat.1350....0G
65  |TYC 2889-622-1                                                                                           |Star                              |04 05 22.7780182464 +44 57 21.669757380|155.0928629893011 -05.4660566568994|   5.611 -3.978    |10.56    |~              |    ~     ~    |    1|  559.472   pc  |  -5.6655     +5.6655  |paral   |2020yCat.1350....0G
66  |TYC 2889-634-1                                                                                           |Star                              |04 05 50.8504421088 +44 56 27.595909572|155.1647038628125 -05.4217389529027|    1.648 6.514    |10.65    |~              |    ~     ~    |    1|  576.070   pc  |  -6.6371     +6.6371  |paral   |2020yCat.1350....0G
67  |TYC 2889-926-1                                                                                           |Star                              |04 04 06.3212087568 +44 56 26.062308420|154.9346345808865 -05.6281408008885| 17.685 -26.699    |10.79    |~              |    ~     ~    |    1|  243.120   pc  |  -1.0639     +1.0639  |paral   |2020yCat.1350....0G
68  |TYC 2889-1014-1                                                                                          |Star                              |04 02 45.0766473720 +44 31 48.261455184|155.0284136429227 -06.0946529253815| 17.643 -15.225    |10.56    |~              |    ~     ~    |    1|  316.406   pc  |  -1.5718     +1.5718  |paral   |2020yCat.1350....0G
69  |TYC 2889-1226-1                                                                                          |Star                              |04 04 39.0494954664 +44 38 27.548941128|155.2079480122634 -05.7867501503915|   1.989 -3.203    |10.14    |~              |    ~     ~    |    1| 1814.224   pc  | -60.8910    +60.8910  |paral   |2020yCat.1350....0G
70  |TYC 2889-1240-1                                                                                          |Star                              |04 00 14.9496889224 +44 47 41.400985524|154.5165018204514 -06.1894722323165|   1.609 -7.018    |10.51    |~              |    ~     ~    |    1| 1232.894   pc  | -27.3605    +27.3605  |paral   |2020yCat.1350....0G
71  |TYC 2889-1264-1                                                                                          |Star                              |04 02 59.8535067600 +44 44 54.382754652|154.9156726528724 -05.9022165677390| -8.979 -15.725    |10.92    |~              |    ~     ~    |    1|  346.500   pc  |  -1.6088     +1.6088  |paral   |2020yCat.1350....0G
72  |TYC 2889-1652-1                                                                                          |Spectroscopic Binary              |04 06 28.9726835520 +44 27 30.809119320|155.5742907301437 -05.7033623157625|  -15.497 5.887    |10.82    |~              |    ~     ~    |    1|  207.624   pc  |  -6.8239     +6.8239  |paral   |2020yCat.1350....0G
73  |TYC 2889-1828-1                                                                                          |Star                              |04 04 40.5405303288 +44 22 53.153628528|155.3855833709731 -05.9769214345307| 11.351 -12.079    |10.70    |~              |    ~     ~    |    1|  410.897   pc  |  -3.5624     +3.5624  |paral   |2020yCat.1350....0G
74  |TYC 2889-1952-1                                                                                          |Star                              |04 01 14.5296589224 +44 23 43.094345028|154.9149733051567 -06.3738480680463|  7.416 -19.006    |10.89    |~              |    ~     ~    |    1|  353.132   pc  |  -4.8759     +4.8759  |paral   |2020yCat.1350....0G
75  |TYC 2889-1996-1                                                                                          |Star                              |04 00 39.6072736872 +44 29 21.887379420|154.7739457945142 -06.3715192226060|   2.417 -3.416    |10.20    |~              |    ~     ~    |    1|  987.752   pc  | -17.3666    +17.3666  |paral   |2020yCat.1350....0G
76  |TYC 2889-2128-1                                                                                          |Star                              |04 06 30.0945721560 +44 45 40.729197636|155.3721995925428 -05.4770466312059| 25.474 -24.084    |10.72    |~              |    ~     ~    |    1|  610.128   pc  |  -5.8444     +5.8444  |paral   |2020yCat.1350....0G
77  |TYC 2889-2262-1                                                                                          |Star                              |04 05 42.0607851936 +44 24 29.180982420|155.5044146605135 -05.8344861646187|   1.758 -6.263    |10.84    |~              |    ~     ~    |    1|  394.929   pc  |  -3.2442     +3.2442  |paral   |2020yCat.1350....0G
78  |TYC 2889-2470-1                                                                                          |Star                              |04 04 38.9297656392 +44 16 54.030862740|155.4490225277071 -06.0543426669180|  12.012 -8.049    |10.63    |~              |    ~     ~    |    1|  556.948   pc  |  -6.4830     +6.4830  |paral   |2020yCat.1350....0G
79  |TYC 3327-177-1                                                                                           |Star                              |04 01 31.3530490152 +45 12 43.086031308|154.4107856011686 -05.7272909966961| 11.375 -16.798    |10.98    |~              |    ~     ~    |    1|  396.857   pc  |  -2.7089     +2.7089  |paral   |2020yCat.1350....0G
80  |TYC 3327-250-1                                                                                           |Star                              |04 03 57.1957701792 +45 19 22.341699804|154.6587508714611 -05.3608230036491| 12.260 -12.848    |10.39    |~              |    ~     ~    |    1|  607.681   pc  |  -6.7208     +6.7208  |paral   |2020yCat.1350....0G
81  |TYC 3327-416-1                                                                                           |Star                              |04 04 48.0190570656 +45 07 11.929407456|154.9062895939095 -05.4125763644716|   7.718 -8.861    |10.94    |~              |    ~     ~    |    1|  502.664   pc  |  -4.4217     +4.4217  |paral   |2020yCat.1350....0G
82  |TYC 3327-461-1                                                                                           |Star                              |04 03 55.0864119360 +45 10 33.294645264|154.7523746302751 -05.4746102231087| -11.945 -4.409    |10.83    |~              |    ~     ~    |    1|  272.874   pc  |  -1.5860     +1.5860  |paral   |2020yCat.1350....0G
83  |TYC 3327-561-1                                                                                           |Star                              |04 05 18.1661348712 +45 10 55.059871656|154.9308478617164 -05.3072603150662|   1.154 -1.862    |10.87    |~              |    ~     ~    |    1|  915.164   pc  | -18.0906    +18.0906  |paral   |2020yCat.1350....0G
84  |TYC 3327-1306-1                                                                                          |Star                              |04 02 46.4212809984 +45 39 01.872912384|154.2849969931441 -05.2531290105019|  -7.228 -5.994    |10.89    |~              |    ~     ~    |    1|  330.142   pc  |  -2.0491     +2.0491  |paral   |2020yCat.1350....0G
85  |TYC 3327-1472-1                                                                                          |Star                              |04 00 28.7558510664 +45 43 38.034965100|153.9316708759680 -05.4597421147216|   3.383 -8.173    |10.70    |~              |    ~     ~    |    1|  567.215   pc  |  -5.1156     +5.1156  |paral   |2020yCat.1350....0G
86  |TYC 3327-1602-1                                                                                          |Star                              |04 01 02.6054036736 +46 12 16.243561728|153.6909136955987 -05.0355628080195|  2.128 -19.706    |10.30    |~              |    ~     ~    |    1|  621.002   pc  |  -5.9775     +5.9775  |paral   |2020yCat.1350....0G
87  |HD 24981                                                                                                 |Star                              |04 00 02.8580348904 +43 31 45.503052240|155.3265265777134 -07.1670280407155|  -2.296 -3.255    |10.59    |A0             |    ~     ~    |    1|  754.489   pc  | -11.4420    +11.4420  |paral   |2020yCat.1350....0G
